tad 	 cautious hotel convert terrace house , since sound transmission every footfall room Pimlico ( Belgrave Road ) tourist class hotel year ago keep awake night . academy sure request top - floor room advance arrival -- read many other suffer heavy footstep upstairs neighbor , ' m glad grateful grant one ( pretty uncharming clerk repeat could & quot ; guarantee anything & quot ; ) . interior storm window effective reduce street noise . will briefly list strength -- location , location , location , near lot interesting restaurant , shop , British Museum , University London . decor charming , , reviewer already say . weakness center attention detail . ask twice light bathroom sink repair . bottled water miss last day . neither coffee packet replace three - day stay . tiny bar soap ( shape frog ) never replace , fine shower amenity ( shampoo , conditioner , body wash ) . drain bathroom smell , second day wakeup call come 40 minute late . last night attic exhaust fan whir noisily . front desk staff polite undertrained . book room hotel web site would highly recommend book Kayak another consolidator , pay american dollar , currency . ( dollar decline badly end pay $ 233 per night tiny room . ) would certainly stay Bloomsbury would try Hotel Russell . 
 Aug 8 2009 	 fail meet marketing hype 	 promise start welcome charming reception room registration . sadly , double room standard Eton Group claim marketing material . someone stay hotel regular basis , ( include central London hotel ) , take pragmatic view reasonably acceptable room certainly fail number important area . first impresion pretty good , find ensuite ' bathroom ' . consist module shoe - horn corner room ; think railway carriage wash - hand basin , small . even worse , crack several place , ( lid toilet cistern ) , neither tap give anything feeble trickle water . rather alarmingly , cold tap turn , water leak spindle hot tap , vice versa . result gradually form pool water run onto floor . shower weak flow water tap plastic ceiling ' module ' carry browny yellow splatter mark many , many month even year . also rather unpleasant smell opening door . room one we time too . other shortcoming room include water stain ceiling , flicker main ceiling light , tired , mark old decoration , bedside cabinet door hang curtain could draw across front desk mini bar locate bay window . mean access either desk minbar curtain draw rather disconcert ' belly ' draw curtain remeniscent victorian lady 's dress . tea coffee make tray find inside broken bedside cabinet , power socket plug , unless one search around already use floor - level socket behind wardrobe bedside cabinet . importantly , worryingly , one single electrical item room carry PAT label , hairdryer , label old impossible see test . legal requirement . detail hotel provide thoughtfully place ' Summit ' hotel directory desk drawer draw attention , amongst delight promise Academy , complementary mineral water , slipper CD player every room . none , even clock radio beside bed . soundproofinig floor zero , could track footfall guest room . luckily , use television cd player . ( perhaps not one either ) . plus side , bed bed good , ( although spare pillow ) , garden area conservatory pleasant calm oasis central London boutique hotel . location good breakfast room bar delightful ; fact breakfast well ' ve many year , serve friendly helpful staff . checkout provide constructive criticism receptionist , fair sympathetic apologetic . make careful note concern promise manager would contact . nothing far guess he / she go , would happen . pay £ 280 2 night bed breakfast , roughly money , could stay big hotel receive far well facility standard . 's shame Acedamy market something special fail deliver basic standard . 
 Jul 22 2009 	 find stay 2 place 	 receive warm welcome Academy stay 2 place far pleasant . the room clean comfortable bedding . large bathroom bath , shower . close shop could buy food drink . fridge room useful ; drink etc . nice malaysian restaurant close . bus across road city . 2 Tube station close . garden nice sitting room / library pleasant place read paper . Staff helpful . would recommend hotel anyone want close center london without much traffic noise convenience facility close 
 Jul 20 2009 	 Super hotel spot service 	 stay weekend Academy lovely stay . room upgrade suite totally unexpected fabas birthday . suite good size London standard find staff incredibly polite attentive . hotel quaint courtyard - style garden , rain would great sit read Sunday paper . several hotel Gower Street would not hesitate recommend hotel other . could not feel busy London try yet 5 min cab Covent Garden . staff , attention detail room location hotel fabulous . 
 Jul 11 2009 	 close action 	 Cozy hotel great location . good service . walk distance everything want see London . room though below\or sidewalk level . 
 Jun 10 2009 	 nice hotel beware room 20 	 wife stay Academy number time , ' ve previously find comfortable , friendly , excellent location , book right time , good value money . all still true occasion , stay spoiled room . we give room 20 , reasonable sized double , small shower - room , perfectly fine would come expect Academy awake 3 am sound movement room above . as guest we walk around room , succession creak bang could hear clearly loudly room . the follow night thing happen wake , third night new occupant ( accord reception ) , keep we awake move around midnight . I not think guest behave particularly noisy manner , want late clearly . also , might expect creak groan plumbing sound hotel old building , experience go beyond would seem fundamental problem sound insulation room 20.so , mean stay Academy . 's nice hotel lot go , be give room 20 , would ask anything do noise come room upstairs , not ask different room - take earplug . 
 may 20 2009 	 definitely hide gem 	 stay one one night business trip London - central enough good value money rate pay - rack rate . single room spacious certainly adequate , comfortable well equip . small downside decidedly dodgy reception in - room tv radio nice touch . the public room add lot character potential sit outside garden weather match mood ! ! would certainly return hotel would also consider romantic weekend away well half . 
 may 19 2009 	 nice cozy charming hotel 	 find hotel charming . good friendly & amp ; discreet service . location good West end , covent garden , Eurostar . Gower Street feel bit like main road although much calm weekend . nearest tube direction 10 - 15 min walk luggage . we room back hotel lovely , overlook garden small pond large leafy tree . garden bit scruffy ashtrays full butts rainwater look like 3 day old breakfast tray leave room not see . bed comfy , good sheet , duvet , pillow ; shame bath room shower worth ask one next time . would choose hotel big London hotel one always line reception , elevator , breakfast something . weekend around part town calm one never far away something . lovely street area leafy . 
 May 5 2009 	 hotel happy come back end day 	 Academy terrific location - couple block British Museum , Tube station around corner plentiful bus service West end , Trafalgar Square Victoria Station . Gower Street line lovely old townhouse , ( like Academy ) convert hotel . room ( bedroom en suite bathroom ) basement , although faced street , undisturbed trafic noise . bed extremely comfortable , bathroom adequate , electric teakettle box teabag , etc . desk . drawback , basement room , little light outside , room provide sufficient lamp not problem . staff unfailingly helpful cordial . dining room premise , not use - price seem little steep , anyway , eat hotel be heart London ? lucky choice , would gladly choose nest visit . 
 Mar 30 2009 	 great location 	 hotel great location go theatre , 10 minute walk we . really nice area away main hustle bustle . get room back hotel could hear traffic noise get good night sleep could hear every movement guest make around hotel . walk stair , round bedroom , even go toilet ! ! real shame bed extra comfy . friend another room hotel not hear noise . breakfast really good value staff polite helpful . 
 Feb 14 2009 	 Classy Cozy boutique hotel 	 seem like really nice hotel , small room several sit room decorate period ( period - ish - ' m architect ) style . unlike previous reviewer , porter carry bag room , find soft classical music radio , bowl apples desk bottle mineral water bed . continental breakfast pricey $ 11 good . I wish could stay full two night would book , weather delay arrival 28 hour bounce , bounce . 
 Feb 4 2009 	 Little London gem 	 little London gem hide away lovely backstreet Bloomsbury - 10 min walk Tottenham Court Road , 15 min Soho . price well book direct make sure breakfast include ( £ 5 extra room service ) - 's fantastic . contrary review , find staff friendly . ask room back want quiet street noise hotel can not anything . Virginia Wolff suite extremely confortable four poster bed , small living area , flat screen tv , tea / coffee make facility , music play softly arrive . bathroom little tired adequate good shower bath Molton Brown toilettrie . book car parking space one rent garage nearby - feel safe leaving car . travel lot critical hotel , 10 10 . 
 Jan 14 2009 	 Beautiful Small Boutique Hotel Bloomsbury 	 stay London 4 night nasty cold spell . could not ask cozier spot ( crackle fireplace reception area ) , nice , accommodate staff , charming pleasant room . advertise winter special able book suite good price , reasonable size London hotel room . decor lovely -- tasteful luxurious . room safe large enough laptop , well requisite mini - bar , well - stock , hot - pot instant coffee & amp ; tea bag , constantly refresh supply Granny Smith apple . large , flat - screen tv plenty offering nice radio tune classical music station arrive . wi - fi extra fast reliable . everything immaculate . one evening return late find bed turn free water . usually not eat breakfast day leave long trip back home . delectable - fresh cheese fruit good variety , yogurt & amp ; muesli , roll & amp ; croissant , assortment juice , along option substantial english meal . room service available 24/7 quite good , plenty choice , reasonable . the bed exceptionally comfortable room quiet . street noise despite double - glaze concern , one ask room back hotel . hotel well locate close museum , UCL , multiple underground sation . front desk happy make booking recommend local eatery , etc . staff international highly professional . stair ? problem -- porter gladly carry bag , fetch iron , etc . I please Academy would certainly return . 
 Nov 19 2008 	 good choice london 	 rate hotel 4 - 5 grade 1 - 2 , will give impression might help one decide stay : - location superb . walk distance 4 tube station short walking distance real magor site attraction . - service perfect . absolutly suficient , especially know ask thing do . one need help thing happen . 's spoil treatment . - room public area beautiful , nicely decorate comfortable . furniture good taste . people prefer beauty esthetic might prefer plain standard hotel . - small nice garden goldenfish pond sit corner ( summer ) . - wonderfull wonderfull breakfast , incl . amase selection fresh exotic fruit . make sure include room rate . wonderful service part hotel . - hotel 's stuff mostly foreign origin . helpful nice , english . one find tipical english behaviour accent . - front room traffic might hear . back room quiet , apart sound water fountain garden . - voice coridore room ' door hear room . coridor room , many people go outside certain room . - many complementry treat : mineral water ; safe room ; newspaper room , din room conservatory ( lounge ) ; appel room ; bath robe ; slipper ; make tea / cofee / choclate facility ; radio - disk player.- single room small . mean small . mention pro , + large storage area . bottom line : love 
 Oct 28 2008 	 cosy ! 	 return Academy , would surely recommend ! find special , cosy , situate quite street , nothing special outside , special inside / we room groundfloor 3 window garden view . felling come english aunt 's countryhouse , library fireplace pretty small garden . not like , breakfast include price , see fresh strawberry , wildberrie blueberry , give up . but : be true hear sound koridor 
 Oct 15 2008 	 definitely 	 return Academy hotel would recommend anyone ! arrive room not ready fair enough early return 2 pm check - in time room still not ready wait 45 min it . there 57 , yes 57 step room lift hotel , get top find key card not work nice realise ' ve walk back step get room ! bed room comfortable room extremely noisy . could hear everything room - shower , toilet flush noisy floorboard corridor ! mention cleaner start hoover corridor 8 am ( soundproof corridor room either ) .definitely well London money . return . 
 Sep 1 2008 	 Wonderful Satay 	 mum stay hotel one night . book twin room beautifully furnish even Molton Brown toiletry . bed extremely comfortable long day walk street London good night sleep definately important . good night sleep get . even though busy Bloomsbury would never think . area excellent 15 minute walk Covent Garden Oxford Street , require excellent map read skill easy find . staff extremely helpful welcoming , continental breakfast good . would recommend hotel anyone look comfortable stay well situate georgian town house . 
 Aug 12 2008 	 good hotel Bloomsbury 	 stay two night August 08 . hotel well locate Bloomsbury area , Tottenham Court Road far west end theatre , Oxford Street etc . nearest tube station ( Goodge Street ) 5 - 10 min walk . hotel room nice staff friendly . breakfast lovely one nice one ' ve London hotel - cook breakfast make order continental breakfast plentiful include lot different type fresh fruit . room fine bed comfortable . noise guest outside , peaceful night 's sleep . slight niggle room bathroom quite small - ok couple day stay would quite cramp stay long . also lift stay top floor not enjoy trip stair ! overall though , hotel good value money would recommend . 
 Aug 3 2008 	 great quirky hotel 	 Booked hotel searching web reasonably price hotel . dissapoint . arrive 11.00ish check bag problem . quick polite reception staff . go back hotel later go straight room . room nice size lovely soft bed , one comfortable ever sleep . fresh apple room complimentary water paper stay . stay breakfast comment there . check quick polite . left bag later day , problem . hotel great location although 10 minute walk Regent Street bit estimate .... ok Seb Co though ! ! ! ! . tube station 10 min walk . catch tube go Victoria Palace Theatre . much quick cheap taxi . £ 20 15 min journey bit extreme . 
 Jul 28 2008 	 avoid place 	 hotel stand look internet mid range price hotel good location . make 5 georgian house think would give place bit character elegance . actual fact , mean room tiny , shabby feel fitting lift . room top floor mean haul bag 5 flight steep stair - 30 degree humid London heat fun . room air conditionning though plus . plus . the bathroom tiniest ever see - fascinating really manage get fitting atall . light mirror not work , kettle not work safe . usual Molton Brown shower gel shampoo use first day not replace second day meanness never experience . would stay - area great though would definitely recommend stay somewhere nearby give place miss want really enjoy visit London . 
 Jul 27 2008 	 totally overpriced 	 review positive guided . disappointing experience . room ok small . public area v. heel staff , whilst nice , seem quite . would ok except price . expensive offer . much well value , nice part London . 
 Jul 25 2008 	 Quality small hotel Bloomsbury 	 Booked night lastminute.com last minute - good rate . small comfortable room ; hot night air - con saviour . reception staff bit do - lally cold . safe blind room work ; staff aware though . Shower bit basic okay ; bathroom small , nice smellie etc . Breakfast well present , good quality serve quick friendly manner . 
 Jul 11 2008 	 Winner Rudest Front Desk Staff Award 	 stay Academy end month long vacation stay 9 property . plus side , Academy comfortable bed sleep entire trip . room beyond small , bed piece soft heaven many hard bed . breakfast staff incredibly nice people . negative side , person work front desk rudest woman imaginable . like bother check checking . another review state , & quot ; check time 2:00 pm & quot ; . not inform solarium sit wait , offer store luggage send away . ask recommendation lunch draw huge circle map say & quot ; many restaurant area & quot ; . wow ! thank recommendation . first think we , , sit wait check , see treat everyone disdain . can not imagine hire . unfortunately 3 day stay front desk person compare . advice hotel ? hire people actually like guest . 
 Jul 8 2008 	 Pricklystaff -- not Waste Time $ $ $ 	 friend stay Academy June 29th June 30th , receive terrible service . fully expect great service normally accompany boutique hotel . instead , greet grim woman business , one bit friendly helpful . arrive 7 be long transatlantic flight ask early check - in , adamant get room 2 pm dot . addition , quote one price phone call directly reserve end charge originally state phone call . shady practice , indeed . the staff know anything local attraction dismissive question . fact , trying get basic info Sandra ( like time London EYe close , instance , not clue , offer find ) , see doorman blatantly roll eye question . rude , rude , rude . do recommend . 
 Jul 3 2008 	 Mixed experience 	 book single room Academy long weekend . hotel seem fine , location convenient , even though Gower Street pretty busy . unfortunately , room small hotel room ever stay , even London : low - ceilinge addition original building single bed , dark rather depressing . ask another room evening , nothing available . next day allow upgrade double room modest enough amount , completely transform experience : like junior suite . plan stay , would strongly recommend trading double , go elsewhere . staff courteous , bathroom usual Molton Brown toiletry , etc . , want room resemble website photo pay bit . 
 Jun 30 2008 	 Disgusting service rude pretentious staff 	 stay Academy Thursday 19th June twin room one night . whilst find room pleasant , say service provide , particular reception desk staff . breakfast serve cold . wait staff take back kitchen return 15 minute later . disgusted find breakfast re - heat ( know poach egg hard cover black pepper – sprinkle first time present ) . amazement despite re - heated , part breakfast still cold . staff ask ' try ' . tell would eat elsewhere . upon check , reception desk ask pay tea coffee breakfast . explain eat breakfast would pay refreshment whilst wait Chef cook breakfast wait re - heated . point conversation apology offer . extremely disappointed attitude reception desk staff member appear pretentious rude . also find astonishing hotel charge £ 15 breakfast standard . use hotel . Dr Simpson 
 Jun 18 2008 	 pleasant hotel unpleasant staff questionable billing practice 	 stay Academy business University College London , book we . hotel quiet , great location , pleasant room ( although rather dark & quot ; English & quot ; dark rainy weather ) staff helpful -- would pay careful attention bill afterwards . we charge twice 1 minibar item , lengthy exercise one we attempt pay . yet resolve error -- basically rip we off . we quote laughably inaccurate rate inquire taxi rate St. Pancras train station , even staff consult & quot ; notebook & quot ; .We offer breakfast part stay , find interesting reviewer get breakfast . we first put dark , cramp garret room , take lot work get move large room one become available . one staff basically ornamental ( pretty young east european woman ) incompetent . there literally dozen similar hotel Bloomsbury ( small hotel make several townhouse join together ) -- would guess well deal well staff . 
 Jun 9 2008 	 rip Us - literally ! ! ! ! 	 book partially review page say lovely thing tripadvisor . hotel continue financial nightmare month later . charge twice , 3.5 % & quot ; US Conversion Fee & quot ; refuse sign , second time without fee . ' ve YET REMOVE either charge month later . they also charge 17.5 % gratuity ( vat ) refuse remove . service mediocre good , disgraceful since home . they never remove first charge , ona debit ard go directly account , matter much proof fax still refuse even acknowledge email . horrible , horrible place . 
 may 25 2008 	 Great Hotel 	 husband love hotel . read reviews site little apprehensive . whole experience stay Academy excellent throughout . staff attentive helpful time . room clean spacious . breakfast : cook continental right , plenty choice . park reasonable secure lock garage . the hotel central easy access tourist attraction . thoroughly enjoy stay could not fault anything . Staying Academy top amazing weekend London . 
 Mar 23 2008 	 answer ` ` '' . 	 book Academy want stay Bloomsbury hotel decent rating Expedia . like idea bunch convert townhouse think might add element charm dig . . will not complain small room size 's Europe unless be stay posh accomodation . travel alone , quality staff amenity trump room size every time . will begin positive skip right bad stuff end , be inclined . room clean bathroom modern fixture , include enclose shower stall instead tub curtain like previous hotel London . breakfast , Continental Full English , nice basement restaurant cozy attentive staff . location wise , within easy walk distance several tube stop , shop Tottenham Court Road , British Museum . drag go least two block find Tesco Boots , seem every street city . , little thing wear three night stay would cause go elsewhere plan stay long . room situate near reception area small hall fire door end . People area walk , slam door hour . wall thin hear creak talk every direction . ' m one complain lack view , usually , would like little air conditioning unit rot wooden beam . inroom safe , advertised , keep get low battery message would work . never fix stay . mention bathroom fixture new , great . would , however , appreciate sit toilet shoulder not press edge sink ! not problem small shower enclosure people average height girth might difficult time . 24 hour room service shut 11:00pm ( guess not 24 hour row ! ) . little thing irksome add moderatly negative experience . bad part could laugh issue staff make effort treat like guest instead bother . three concierge 's deal said & quot ; & quot ; every single request . late check . baggage hold have check . , not know store , etc . would not even call real taxi try stick gypsy cab without marking meter inside ! last night , room service order deliver incorrecty go front desk ask blank faced girl help someone tell second part order . suppose guess 's missing ? not even slightly apologetic . ' m even close & quot ; Ugly American & quot ; tourist stereotype expect hotel staff make feel like ' m customer bother . many hotel nearby reason settle place , particularly not seem really want business . 
 Jan 2 2008 	 outdate terrible service 	 start bad way . we reservation internet , arrival clerk reserve . check take almost one hour – reservation problem , system problem , computer problem , etc , etc . one , go room – terrible , huge smell fresh paint . ask another room bad . finally , problem get decent room last floor elevator ( watch heavy bag ! ) .The room quite small outdated . the checkout another problem , take much time payment\reservation problem . the location good . 
 Dec 4 2007 	 horrible 	 room small well bed room bit dark . barthroom look allright find well shower east - european camping - bit wather came freeze cold . do not think bring lot lugage elevator carry you re stuff tiny staircase . location excellent like british museum . 
 Dec 1 2007 	 not waste time 	 beware : check - in time 2 pm . be fly States , land 0800 . will get Academy 0900 . next ? problem . check - in time 2 . accomodation negotiation : even elderly . room truly size postage stamp . 
 Oct 19 2007 	 atrocious 	 one Summit 's finer property . avoid cost . the shower mildew , curtain tear paperclippe place hang . pillow tear toilet would not flush . maid service day , even make specific request . staff also unattentive ungracious . ask get taxi , tell go take walk get one . 
 Oct 2 2007 	 work really well we 	 spend week Academy settle kids university UK . Suite good size . really king bed decent sized sitting area . tea , kettle , cup etc available along stock mini bar fridge safe . pay 1 week internet wireless connection work without hitch ... laptop open room ( ! ) , even three run . can not remember cost except number we make sense . Breakfast not include booking ( [ -- ] ) spring one morning . really nice ridiculously expensive . want breakfast try get include quote , otherwise pleanty Pret Manger type breakfast place around way less . coffee ( presse pot ) particularly good time . our son start suite 21 ( think ) upstairs ( 3 4 floor ) . think funny smell . kind like try cover smell pine eucalyptus air freshener . really like though , think nut . stay suite 15 ( 1 floor ) . darker 21 nice room . bathroom bath / shower low shower nozzle . tall 5 ' 5 & quot ; knee shower . water pressure warm water fine . staff adequately helpful , kitchen crew quite lovely . move one son single room leave . small room single bed , great bathroom nicely appoint . lot suite case would tight , keep big case room . value fine . not feel like get fantastic deal , London standard think do fairly . look around number location ( myhotel , Radissson Kenilworth ) decide would probably stay Academy get fair price . 
 Sep 20 2007 	 Charming Hotel London 	 search decent hotel fair price able book Academy . centrally locate tourist site include British Museum . also close tube station easily accessible almost anywhere would like go . area nice feel safe come back late night travel another female . hotel charming courtyard attractive lobby . must climb stair get room lift . quite climb one top floor . room small , bed comfortable room clean . could tell furnishing include carpet little worn , tastefully decorate . hotel advertise luxury ( frette sheet sparkle water ) , not see . get free still water , be . bathroom clean , however shower enough pressure . addition , take awhile flush toilet . overall , would stay right price . 
 Sep 17 2007 	 need much improvement 	 stay Academy base mostly location price . 5th trip London bad place ever stay . location great - walk distance everything . seriously positive thing say . starter , extremely difficult communicate mostly , non - english speaking staff . room ridiculously small , 4th floor . lift , pack light ! porter work spotty hour available early morning help . room date well - keep . towel provide family three 1 large towel 2 bath mat .... call several time extra towel tell hotel full . brochure states breakfast , in - room dining , etc , offer . feel like scamme . London great though - need find well hotel next time . 
 Sep 7 2007 	 nice place 	 stay hotel one night really nice . the room large clean , location really great , minute Oxford street , Totenham walk . the negative point bath , shower , hot water really long come ( nearly 5 6 minute hot water ! ) nice place stay will welcome great . 
 Aug 29 2007 	 would recommend Academy 	 stay Academy bank holiday weekend ( escape Notting Hill carnival ) really enjoy . book Townhouse Single slightly concerned might small ( read early review ) relieve see good size single room nice bathroom too . I note early comment service nothing good thing say staff friendly attentive . not hairdryer room soon sort ( Sunday bank holiday weekend ) feel nothing much trouble they . the price good premium weekend London ( book via Hotels.com ) consider good location Bloomsbury ( less 5 min British Museum 10 min new Brunswick shopping centre ) think excellent value . price budget hotel chain ( like Premier Travel Inn ) superior quality . my negative breakfast expensive . would happily recommend Academy . 
 Aug 21 2007 	 lovely stay Academy 	 husband stay Academy 3 night 1 night sister hotel Colonnade . love convenient location lovely room . room window open hotel garden table . daily breakfast good various option . coffee fruit selection well ' ve ( even compare 5 - star hotel ) . enjoyable stay Academy . 
 Aug 2 2007 	 recommend place know 	 locate near university , 10 minute walk 2 tube station , Euston Square Russell Square . room really great : super nice bed comforter , extra quiet air conditioning , nice bathtub . quiet , not ear street noise . service not great . instance , ask wake call 7:30 , likely 20 minute late ... may never get . refill shampoo soap , bottle even take without replace , leave .... express check ( not , take foreverer ) , still give credit card ( ) wait process ) . front desk will not call reservation . note not hair conditioner , hair dryer . minibar . room safety deposit box not work . phone call extremely expensive . breakfast REALLY good breakfast service really good ( nice quick ) . one stupid idea refinish hardwood floor season . top floor smeele lot . open window hour ok.over , recommend place . 
 Jul 30 2007 	 surprisingly plesant 	 husband stay weekend 28th July . book double room directly hotel good discount price . hotel 's location excellent west end , Covent Garden well British Museum University College London . also easy hail cab right outside hotel busy one way street . when arrive hotel upgrade suite . spacious elegant . bed enormous comfy . room clean bright . bathroom average adequate . however room stuffy air conditioner not work . open windows rang reception . send someone straight away could not fix say would try contact engineer asap . go drink come back bottle chill Mumm Champagne , glass bowl fresh strawberry . note say sorry inconvenience . actually room cool opening window not need air conditioning , good customer service touch . feel staff try everything help polite courteous . would recommend hotel go summer check air con work other complain review . 
 Jul 25 2007 	 stay Far far away ! 	 hotel advertise & quot ; quirkiness & quot ; . apparently quirkiness mean bathroom smell disgusting , mold shower , air conditioner hardly chug along enough keep room barely tolerable temperature . teeny , tiny shower stall not drain properly entire two week period stay , although nothing plug . ' m exaggerate size stall either ... not anywhere put shampoo bottle not enough room bend pick . even outside shower stall , single square foot space . folder contain important document go miss room , front desk staff seem care least . good part hotel two woman work restaurant morning breakfast . 's nice location , worth smell hassle . 
