great 	 Location -- wonderful walking , shopping , dining go outservice -- extremely warm , friendly & amp ; helpfulatmosphere -- historic , elegant , uniqueroom -- modern , comfortable , spotlessly clean 
 Sep 10 2009 	 huge surprise ... love ! 	 stay Ambassador East 3 night join parent Intercontinental arrive Chicago . honestly say look somewhere cheap stay , rather service , quality etc . I hugely surprised arrive Ambassador find beautiful hotel , wonderful service great room . all beat stay intercontinental follow hand fraction price . I would recommend place day - tiny flaw 's mile . transport public taxi good - really not matter ! 
 Sep 10 2009 	 Great Location Value - can not beat ! 	 beautiful historic hotel , old well keep clean . service art form . treat 4 - star service everywhere hotel . thing need update ( chip bathtub , rip curtain ) care ! many option right outside door spend much time room , miss out . the metro station two block , many restaurant attraction within walk distance count . we get great deal ( $ 89 / night ) would stay .... great destination location . staff top - notch . we even folk large dog next room never hear occasional bark - kind greeting return room night ! overall - great experience . 
 Sep 9 2009 	 Excellent Service value wonderfully nostalgic hotel 	 service Ambassador East absolutely staff top notch - without exaggeration well experience five star hotel North America . although hotel may attract less & quot ; moneyed & quot ; guest special , guest treat high class service . request , upgrade wonderful 1 bedroom suite view downtown reasonable additional charge . room furnishing show wear think add charm . Dinner Pump Room excellent wonderfully nostalgic fine service experience hotel ( see review . ) hotel within easy walk lake beach , shop Michigan Avenue close attraction . good restaurant nightlife around corner . definitely stay Ambassador East return Chicago . note : although dress guest past , notice dress standard guest drop , reviewer note ; however , everyone well behave & quot ; cover & quot ; sort material worry take fine hotel stay business economic time . 
 Sep 8 2009 	 Excellent 	 beautiful historic hotel , old well keep clean . chip bathtub , care . clean great service excellent location quiet residential street 2 block restaurant , train , beach short distance downtown Navy Pier ( firework see end block hotel 's location ) . 2 bed room leave limited space . 
 Sep 8 2009 	 FANTASTIC HOTEL -- great Bachelorette party ! ! 	 recently bachelorette party Ambassador East one large suite balcony adjoining room , room PERFECT ! plenty space hang , utilize balcony game goof ! girl enough bed sleep , hotel staff even bring cot room clean place nice fresh return later evening . really perfect hotel room perfect evening girl ! 
 Sep 7 2009 	 Outstanding 	 Staff top class . every one . location prime . look experience Chicago , start point . 2 block beach , walk distance EVERythng ! Metro 2 block away . go anywhere . can not wait go back . pump room food excellent . room need updateing , however clean . stay 4 night special rate 86.00 per . place match value . if like jazz piano bar , Jilly 's back room great . many restaurant area even mention . & quot ; Feast & quot ; breakfast amazing . 
 Sep 7 2009 	 mixed review 	 alright , hotel self nice , lobby nice , pump room beautiful etc , room pretty small , alot small expect . kind date wall , random hole wall god know patch . service good , Parking .. well .. dt chicago .. parking expensive u vehicle . big issue suspect housekeeping staff steal drink buy outside hotel . morality , do not matter cost 1 dollar 100 dollar , do not steal thing ! hotel good location , town edge kind quiet 2 block magnificant mile . 
 Sep 1 2009 	 amazing aroma walk door begin perfect stay ! 	 favorite Chicago hotel stay . highly recommend . friendly staff , beautiful room , fabulous neighborhood walking distance fabulous place . not miss one ! ! ! ! ! stay 2 year ago get marry Chicago staff find married morning , make day special full surprise ! ! ! 
 Sep 1 2009 	 friendly staff clean room great location not mind 10 minute walk magnificent mile 	 love hotel : staff friendly efficient , room lovely - big , airy , overloaded furniture - great location ; could walk Lincoln Park North end Magnificent Mile easily . loop south ; mid walking enjoy meand otherwise free trolley service get want go . finally , plenty choice eatery wise close hotel would definitely recommend place stay . 
 Aug 31 2009 	 king parlor suite perfect family option . 	 use live Ambassador East neighborhood wonderful back prime location . get wonderful deal king parlor suite . ideal size husband , three year old daughter . sleep sofa bed separate master bedroom -fantastic space ! easy walk wonderful dinner arrival another easy walk delicious breakfast - great Chicago neighborhood , great Chicago hotel ! 
 Aug 31 2009 	 Love Chicago summertime . 	 come Chicago every summer catch couple Cub game . Ambassador Hotel great find internet . nice room two . beautiful neighborhood , close Red Line , cafe , restaurant , night spot . clean safe hour . helpful staff . would definitely consider stay future . 
 Aug 31 2009 	 warm friendly ! 	 staff recognize name excellent eye contact . & quot ; welcome back & quot ; set tone stay . flower lobby reception area beautiful . house - keep staff terrific , helpful prompt . room service food serve hot make big difference . pump Room food surprising tasty impressed client . well do ! 
 Aug 31 2009 	 love .... 	 hotel need update . new paint , wallpaper , etc . , service , food , etc FABULOUS . good place stay go downtown . love ! , need paint new wallpaper , decor great . order receive good rating , need get deal room .... 
 Aug 28 2009 	 great place 	 expect . staff attentive without nuisance . room well appoint . pump room excellent food . easy access downtown . will stay . 
 Aug 27 2009 	 bit bad wear 	 Ambassador East get worn year . always bit sad see property clearly luxurious heyday become place group tourist short stay kid , frankly appal people stand around Pump Room short jean . anyway , service front desk good helpful . location convenient beach train . housekeep mis - step . leave privacy sign door one morning could sleep past 9 , housekeeping never come back day room . also check smear purple shampoo previous guest wall shower . take towel every single day , despite fact hung sign say will not take hang . another day take bath linen not replace washcloth bathmat . also , ice machine floor ( 7th ) THUNDEROUS , loudest ever hear . nowhere near , thank goodness , would request room far away . overall though , get good value price could not beat -- weeknight summer $ 100 ! 
 Aug 25 2009 	 average hotel - need new update bathroom amenity 	 second time ' ve stay hotel experience much well first overbooke stuck smoking room . several year ago little change hotel room . bathroom need update be clean appear dirty due wear tear . addition , although be big deal , tv also old small . need hotel area , okay . however , would recommend look hotel choose one . 
 Aug 25 2009 	 room 1144 good previous stay . 	 Owner eview bathroom amenity storage . think tub storage match room price City . 
 Aug 19 2009 	 Great Experience 	 Hotel staff service great . location within walk distance nightlife lake . wonderful time . 
 Aug 18 2009 	 Ambassador East Hotel Chicago - Great Hotel 	 stay Ambassador East Chicago two day July , 2009 . would definately stay . opt low price room available taxis come $ 115.00 night . 's bad hotel nice neighborhood , Gold Coast , great walking , eat barhoppe . short walk Lake Michigan beach spot . if like bike , run walk , trail along beach fantastic . also El 's Red Line nearby . about hotel ; think next time might spend little suite , trip room work fine . comment would would room show age ( couple tile bathroom lie floor ) bathroom not exhaust fan . but 's nitpicking , everything clean sleep fine . staff helpful friendly . property , indoor place park , block half toward lake charge $ 25.00 day think reasonable . also make sure drink hotel bar one nice room . 
 Aug 18 2009 	 Love location . clean . good hotel bed ever . Great Value . friendly staff . 	 pleasantly surprised first stay recent weekend Chicago ! Love Ambassador East location beautiful Gold Coast residential neighborhood . always stay south Mag Mile area , quieter still within easy walk distance lake / beach , Michigan Ave , Rush Street , Old Town , etc . $ 7 cab ride Millenium Park – otherwise walk everywhere want . parking lot across street save $ 16 per night vs. valet could see car window . staff outstanding – friendly , knowledgeable area helpful . room , although little date decor , clean bed comfortable hotel bed ' ve ever sleep . drawback free room wireless access . would definitely stay ! 
 Aug 17 2009 	 sadly behind time 	 husband recently stay wedding . ' ve visit Chicago , stay Talbot Sofitel , definitely hotel could compare . book Ambassador East town wedding , almost guest stay . want close , although instinct tell we book one one use past , go one . wish go first instinct ! sadly disappointed . lobby seem invite perfectly acceptable , rest hotel follow suit . standard king room . first thing jar we layout room . door open right room , one person sleep , come , sleep person would disturbed . second thing – decor cleanliness . wallpaper literally peel wall , rug badly stain , room smell musty . bathroom conducive easy use . counter top – small glass shelf pedestal sink could accommodate toothbrush contact lens case . keep toiletry room desk . interestingly , huge walk - in closet seem completely place give small size room bathroom . use square footage make big room ? also , noise level leave something desire . could every door hall open close , maid service start next day ( 9 a.m. less ! ) , could hear tv blaring next room maid clean . next time , go either Talbot Sofitel , , little bit money , far superior worth extra dollar ! 
 Aug 11 2009 	 stay excellent location . not stay want luxury amenity . 	 hotel select relative Chicago , base upon location , proximity family event . location excellent . quiet part gold coast . walk distance beach , MIchigan Avenue , nightlife city . yet far enough comotion noise city . travel wife two toddler . able book Harey Carey suite , two separate bedroom ( one wife , one child ) , entrance hall , well living room / dining room area table chair , etc . hotel run special time , cost suite $ 170 / night four night . size suite great definitely luxury able put kid bed , entertain living room area . guest come drink dessert one night . also babysitter one night able feed kid dining table , put bed , hang living room area kid sleep . hotel , great luxury wife consider exceptional price . the furniture room date , couch hole . good first impression . carpet wear , bathroom extremely small . unfortunately hotel , bathroom issue can not resolve hotel design way . place clean , sheet fresh clean , bed comfortable , never worry cleanliness . could afford spend money update amenity . instance , Televisions 19 & quot ; tube tv least 20 year old grainy . ' ve stay cheap motel well television this . but draw stay hotel not luxurious amenity . vacation hotel , intend stay hotel . stay location , ability walk MIchigan Avenue , beach , restaurant , etc . look destination hotel , plan never leave hotel , place you . one draw Pump Room . history interesting , really impressed breakfast serve . typical hotel breakfast . excellent . kid menu order . child able get kid meal send room excellent , well reasonably price . typically loyal starwood client ( Westin , St. Regis , W , Sheraton , etc . ) , would stay think clean , comfortable , reasonably price , location incredible . however , look modern luxury amenity new hotel , disappointed place . 
 Aug 10 2009 	 terrific Bargain Great Hotel 	 live block hotel . arrange new floor put condo away . floor finish return look inexpensive local hotel one night . think Ambassador East least expensive hotel within reasonable distance decide stay . year visit group stay . also eat bar never stay myself . the lobby elegant . service great room large clean although little outdated . location good residential area city ( far concerned -- live two block away ) convenient North Michigan Avenue ( good shopping street ) reasonably convenient Loop ( main business area ) also probably 50 restaurant price range reasonable walking distance include good city . I pay less $ 100 include tax one night . sure regular rate think deal good travel bargain around . 
 Aug 4 2009 	 be look Old World charm place . 	 overall , pleased 3 night spend Ambassador East . drive Chicago aware arrive valet parking $ 40 day . ( allow come go throughout day ) general parking $ 30 day ( come go ) . factor parking room 's still good overall deal . the hotel 's central location great ( Wrigley Field 3 mile north Art Institute Millennium Park 2 mile south plenty shop restaurant along way . the room fine king bed extremely comfortable . furnishing show age acceptable . however , tv somewhat small ( maybe 20 & quot ; ) reception poor . vend machine hotel . room small sampling item ( candy , soda , wine , chip , etc . ) sale , though outrageously price . 12 ounce Diet Coke $ 3.30 , 32 ounce bottle Fiji water $ 6.00 . however CVS pharmacy 2 block away buy goody . also , ice machine 7th 8th floor . 2nd floor Business Center open 24 hour 3 old computer available use internet access . 's charge use internet . the staff courteous friendly . we breakfast Pump Room morning leave might well feature hotel . 's absolutely beautiful service food exceptional . favor try it . if be look Old World charm reasonable price , hotel . 
 Aug 3 2009 	 good overall experience would . 	 old grand hotel , date feature room , noise hall , ice machine , street . great location , easy walk feature . restaurant expensive excellent quality . fun history . friendly accommodate staff . 
 Jul 31 2009 	 great location - need many update 	 stay Ambassador East weekend July . service friendly location great . however , feel amenity par price pay . room desperate need update musty smell . exercise equipment quite old well . upside close many restaurant shop easy walk beach Lake Michigan . 
 Jul 31 2009 	 great history service location - old hotel 	 spend 3 weekday night Ambassador East , quite comfortable left feeling like place still retain enough regal dignity warrant consideration . note reviewer , decor , particularly guest room , show sign age . however , service , history , location make flaw easy overlook . problem room utility . tell plumbing upgrade would disrupt water midnight 4 a.m. first night , not notice . not know internet service pick unsecured free wireless signal room . place clean staff attentive . drink pump room saw mostly local dining , seem like good sign . book part package deal , price reasonable give location . parking , $ 30 night , offensive location make find spot street impossible - city hotel . neighborhood quiet , upscale , residential . easy walk dining nightlife ready access cab , bus , subway . $ 12 cab ride Wrigleyville . McFaddens , block away , great weeknight drink special serve late night food . get stress small television wear hallway carpet look elsewhere . want taste old near north side check Ambassador . 
 Jul 29 2009 	 Overall Good Stay 	 pleasantly surprised hotel . old decor , fit well historic neighborhood . free internet service swimming pool kid , plenty thing . 1/2 block original Playboy Mansion . room clean , staff pleasant . try Edwardo 's Pizza . good pizza ' ve . short walk beach , less $ 10 cab ride Navy Pier Michigan Ave . park $ 40 / night valet also public parking right across street $ 29 / night . next time try Pump Room restaurant . 
 Jul 27 2009 	 Pricey little get 	 Perhaps & quot ; cheap & quot ; , really place nothing special . room fairly clean , certainly without flaw . rust around caulk shower dirt spot rug . overall room fairly small decor not appeal . kind dated , actually . finally , television tiny . bed , however , insanely comfortable . would like take home . service good , little use . prepare , bring car , pretty hefty parking fee not mention . overall hotel fine , feel would happy , get amenity dollar , & quot ; lesser & quot ; hotel . general , seem like huge waste money . ( mean , please , free wireless price ? come already .... ) 
 Jul 26 2009 	 wonderful surrounding inside outside hotel . 	 return Ambassador East return Chicago . treat great professionalism courtesy . day greet employee cross path . location within walk distance Lake several beach , Lincoln Park , northern end Magnificent Mile well El . delighted stay ! 
 Jul 25 2009 	 mediocre .... 	 son stay trip Chicago . come via Amtrak ( Union Station ) get hotel use bus system . call advance talk concierge , get wrong info end cost we multiple bus transfer get hotel . hotel provide free breakfast infamous Pump Room ordeal . nice free , mediocre food many , much well place near would strongly suggest instead . example , Third Coast Corner Bakery . the room , old hotel plain . clean bathtub crack peeling , grout tile stain , wallpaper peeling .... bathroom small hair dryer provide plug bathroom right next sink hair dryer not fit outlet , dry hair main part room . tv station free movie channel . mini bar fridge not use .... outrageous price ( 6 dollar bottled water ! ) . speak , ice machine vend machine want anything drink , need get water , juice , snack somewhere bring in . I surprise review read go kindness staff . underwhelme . not speak , speak . one day , sleep 9 am woken housekeeping staff outside room . loud , think someone fight . concierge nice knowlegeable . try sell we ticket Blue Man Group tell we 68 dollar piece good could get anywhere . afternoon , go Hot Tickets downtown get great seat show 35 dollar piece . never even mention option . us wrong bus time accord direction not helpful : restaurant meal . pre - type list keep refer none suggest travel magazine people Chicago . say deep dish pizza true . Ghiadono 's Edwardo 's great ! last least , location . say great location Ambassador really , think ask go Chicago . Magnificent Mile main destination , hotel five minute walk . rush street , . teenage son shop high list . want visit museum , Navy Pier go White Sox game , good choice . overall , okay experience . get good rate Hotels.com try . would stay , suggest friend . literally hundred hotel Chicago would try another one . go , get good map downtown Chicago plan want mostly decide . 
 Jul 23 2009 	 room definitely need updating 	 book hotel Priceline need one night Chicago move conference hotel . let start positive : location great , close shopping action Gold Coast Magnificent Mile . lobby lovely , not realize famous Pump Room restaurant locate . 's much fun look picture celebrity wall . the staff friendly helpful . my room decent size , big expect small hotel area Chicago . king bed , two night table , tv / clothing armoir , desk chair , arm chair . plenty room walk around . two people could room crowd . room also right across elevator , think go major problem , hear voice guest get elevator , quiet . although stay week night , could different matter come weekend . now big negative : room , however desperately need updating . carpeting wear frayed area , furniture scratch date . big issue bathroom . bathtub normally issue tend take shower want bathtub , might need check see room . mine . shower stall several area mold / mildew / rust stain . room may actually clean , area stain , be hard feel clean . obviously shoddy repair job do floor tile . toilet , function , position poorly seat fall . would think housekeeping would notice report least little thing - fix minor . this hotel lot potential , need invest money update room . 
 Jul 22 2009 	 great location clean room great value 	 find location wonderful . two block top magnificent mile . room clean staff friendly . 's old hotel class not expect new big suite type room will get near airport . inhouse restaurant / lounge look nice little pricey . busy thing kick havig try . Taxi 's always front subway one half block away . tourist travel highly recommend hotel really want clean room convenient location . business trip would small quibble . chair room mildly threadbare tv small . small complaint wish room safe large enough hold notebook computer passport . highly recommend hotel . 
 Jul 21 2009 	 Old World 's good 	 love elegant hotel Old World feel building , atmosphere , staff . everyone hotel attentive gracious . feel cost stay receive great value . plan return Chicago several month stay . quite lovely . 
 Jul 21 2009 	 need rehab 	 stay Ambassador East recommendation friend . hotel see well day ... room nice , wallpaper peeling , carpet stain , feel clean . additionally , awoken morning staff reason ( put hte disturb ) . shower pretty poor , . 
 Jul 19 2009 	 aspect stay excellent ! 	 everything great - service ( efficient , helpful friendly ) , cleanliness , upgrade suite room , location ( walk distance magnificent mile public transportation ) . would definitely recomment hotel . ck July 2009 
 Jul 16 2009 	 great location price 	 Hotel easily accessible great dining , metro , lake , park beautiful neighborhood . walk everywhere feel safe day night . hotel staff friendly accomodation good . room well equip clean little worn . general & quot ; makeover & quot ; seem overdue . would definitely stay . 
 Jul 15 2009 	 european - style comfortable hospitable clean hotel 	 read review hotel wonder would ok . wonderful . exactly want . expect brand new Disney hotel ; hope grand old european style hotel quiet neighborhood , be exactly get . access business center second floor check email print boarding pass , etc . , not bring laptop , nice . our room clean comfortable , think good value . need rent car two day conference city , yes , parking expensive , park Chicago anywhere seriously expensive . park garage street $ 29 / a night . mostly walk two block Michigan Ave take 151 bus go Millennium Park ( anywhere in - between ) . be also red line stop Clarke / Divison , 4 block away , take Jackson connect line . 's nice bistro two block away call Third Coast great breakfast lunch . Rush St lot restaurant sidewalk dining . happy hotel area . 
 Jul 14 2009 	 expect 	 celebrity suite suppose master bedroom & amp ; sleeper sofa family room , find go bed , couch sleeper sofa . two couple stay suite . hotel book & amp ; cot available hotel sleep floor ! expect price pay . hotel give we discount rate complain , however bargain . 
 Jul 13 2009 	 New management hotel let AE go dog 	 stay AE year 's great location friendly staff . however , , carpet wear , furniture tattered torn , TV 's 19 & quot ; CRT model . year shower handle break cause water come tub faucet . call guest service twice engineer show 30 minute later . Saturday morning main boiler break hot water noon . heyday historic hotel . AE old . 
 Jul 9 2009 	 service great building condition horrible 	 hotel excellent service great location . however , need major renovation . hotel mold odor upper floor chip paint . window room filthy massive spider webs . water turn 11 pm till 5 am due plumbing problem . need major renovation would wonderful service 5 star . 
 Jul 8 2009 	 affordable luxury glitch . 	 Lobby beautiful . staff outstanding . stay 7 day problem toilet move new ( slightly large ) room soon ready . tv not work well replace promptly . room lovely , show 's age little . neighborhood terrific quiet . would return . 
 Jul 6 2009 	 july 4th holiday weekend Chicago 	 main lobby Ambassador beautiful , staff friendly attentive room dissapointe . carpeting old , room small , tv small plus side clean housekeeping excellent . rate pay room excellent valet parking 45 buck day ( ludicrous ) course tip top . overall , sacrifice space comfort know hotel visit many old time Hollywood elite . cost valet parking pay internet , satisfied hotel look modern roomier accomadation next time visit Chicago . 
 Jul 4 2009 	 good Kept Secret Chicago . Treat Stay ! ! ! 	 WOW ! ! start ? Booked hotel Hotels.com less pay Travellodge Downtown . check breeze , entire staff friendly helpful . room huge . king bed comfortable . room also 2 nightstand , 2 chair small table , desk , walk - in closet . even furniture , room spacious . room show sign wear , think add charm rich history hotel . the hotel locate neighborhood , feel like stay condo home rather hotel . little noise , however , 2 block Rush Division street , nightlife , Red Line Clark Division 3 block away . decide walk Michigan Ave next thing know , Hancock building . stay , away noise , away action . breakfast Pump Room , story . photo take booth 1 . take time research sit booth . impressive . 1400 photo celebrity guest adorn wall Pump Room . not chance dinner , return dinner someday . breakfast anything fancy , bit pricy , history experience worth opinion . waitstaff friendly everyone work hotel . can not wait return ! 
