change 	 stay downtown 2 - 3 time per year last 6 year , 6 year ago never think El Cortez would even consideration stay . dump , dirty delapidate , somewhat scary part downtown , 2 block east Fremont Street Experience . clientele seem fit place perfectly . smoke pour casino door open ( smoke notice haze inside ) foul odor hang air . over year , would drop moment curiousity . notice , unlike downtown property fall decay , El Cortez spiffe up . early year , convince well half come . vow 6 yr early never . end spend 3 hour , shocked turnaround ( still skeptical ) .We get offer stay new Cabana Suites ( agree would go elsewhere not decent , well research remodel , etc . web showing ) book , opt Tower room Suites non - smoking . ' m glad , Cabana Suites also across street , attach main building . the change superficial . service excellent around . book give we room number . arrive hour check - in time room ready ( room number give we month early ) . see smudge print elevator panel , anywhere ( although pet peeve mine , nearly every property nice big furnish hall exit elevator knicke good maid vacuum not touch . ) . room large , clean ( fear barefoot property ) well appoint . flat screen tv , big enough . except tv , look like picture website ( believe , many property room ) . bathroom kinda small , not problem . electronic safe mount near floor closet area . will not find amenity already place room , be available , call . need hairdryer offer bring frig well . not see happen often . old noisy heat / cool unit floor window . output air intake vent ceiling control wall near door . old ' popcorn ' ceiling . gambling fun , great mix new old machine ( still coin payout , old Vegas ) limit low table ( $ 3 BJ 3/2 25 cent roulette $ 1 minimum ) nice hit cold streak . casino clean times 3 + day stay . common see maintenance people pick around place , floor people , server , security well . machine wipe trash empty cup / bottle lay round . air clear odor . Carpet floor clean . fellow patron friendly , loyal following . we eat day Cafe Cortez . great food lot cheap ( frig come handy leftover ) . yes , Jackie around , eat next table Sunday morning . not try Flame hot dog cart , hear good . not want stop gambling eat , service deliver food . forgot try , see many people use it . there still character , 's typical downtown . security abundant , inside . see disturbance . short walk experience plenty safe , day night . walk one night Binion 's eat coffee shop ( sure glad , unfortunately go couple week ) problem . fact , enjoy El Cortez much , time leave property . bottom line , El Cortez rank # 2 far downtown property go ( Golden Nugget # 1 , much expensive ) . look hip crowd expensive dud , go GN . like we , average work class people , EC place go . 
 's ok returning 	 get room tower . room clean ( enough ) roomy sitting room . however , not like bathroom - kinda old tub slope . sink outside bathroom also slanty little counter space 's low . bad thing ventilation hotel - can not stay away smoke , even non - smoking room . air casino quite bad , even restaurant . section coin - operate slot machine think old - timer preferred substance sound coin . try restaurant hotel alright decent price . friend get room Expedia $ 42 / night , 3 - night stay special . room situate top parking structure 5th floor ( think convert ) , kinda weird new furnishing decor room . 's suitable look good price . finally , must mention El Cortez 2 parking structure , one attach , one detach . also separate building ( El Cortez Cabana Suites ) across street . excellent location want Fremont Street Experience . everthing ok stay , usually look comfort excitement probably will not return . 
 El Cortez 	 totally awesome host staff totally excellent ... nice room good slot play ... new ventilation nearly totally move old smokey casino problem ... Old Vegas well ! ! ! 
 Oct 8 2009 	 $ 10 dollar night nothing complain 	 Beside location ( far strip ) service ( wait 3 hour room ) , everything good . room huge clean . parking free . casino kind crappy gambling anyway . $ 10 dollar night , worth everything penny . 
 Oct 8 2009 	 another great time El C 	 wife stay El Cortez many time last year . 3rd trip year . tower room . room large , King bed . Standard tv , Desk 2 chair love seat . room clean housekeep good job . eat Flame time past always good . eat breakfast Café Cortez . good nothing special . el C good rule bj slow limit . crap 10x odd . good amount full pay VP . play VP bar still get import micro . check bit slow time . Valet always great . 
 Sep 10 2009 	 jail without amenity : cabana suite 	 ' boutique ' hotel run security guard ... horrific hotel stay hundred hundred stay ( obviously elsewhere ) . hotel run security guard let 3 morning lobby mind - key not work front door . anything need deal front desk El Cortez main hotel ... + check need anything - like working room key - separate area guest service - make stand regular check line long one 2 surley gal max counter help . room : drawer - apparently high style - live suitcase . towel rack . door closet look iron board et al always ... reminiscent motel 6 . one help . maids mean . room key never work . walk + cross really funky street ' greet ' security guard outside lucky get security guard inside ... rent - a- cop consistency like would know . even know will not let build key not work . lucky one elevator work . oh new policy - blanket . add 2nd sheet warmth comfort - hard believe . no food . anything misery . horrible . worse horrible . oh mention escort 3 security guard check key not work pop smoke pack ? story . smoking -- area designate alley next hotel without even place sit ... except electrical box . 
 Sep 10 2009 	 El Cortez overall good deal Vegas 	 stay El Cortez Downtown Las Vegas Sept 2 - 8 pleased . book non - smoking , king tower . room 801.likes:1 . forget Limos Taxis . catch city bus airport . take right past rear El Cortez Ogden Road . bring luggage right bus . be ok . bus fare $ 1.75 $ 4 24 hour pass ) . deal convenient.2 . nightly room rate average mid - forty per night ( include 12 % tourist tax ) .3 . clean / big room . a / c cool right easy adjust.4 . two spacious comfortable chair , small couch , desk , large coffee table , great view strip gaze south.5 . free in - room safe ( 4 digit code type ) spacious enough store laptop , Ipod , cell phone , cash credit card.6 . plenty electrical outlet recharge tech needs.7 . good fun book $ 5 food , $ 5 match play blackjack , free cocktail , dollar 10 spot keno 50c . may well use freebie coupons.8 . friendly front desk maid . please tip maid ! 9 . good tv several channel . quality picture sound.10 . good security , use pass key activate elevator open room door.11 . internet access main floor print return SW Air boarding pass ( 25c per minute , $ 1 minimum , 50c print pass.12 . Free El Cortez courtesy shuttle return airport end stay . Dislikes:1 . wish mattress bit firm , still quite adequate.2 . Shower head spray , gusto home shower . El Cortez new haunt . , pleased . 
 Aug 22 2009 	 great room price . 	 search inexpensive hotel check - in reach Vegas quite late night . El Cortez great intermediary hotel . room clean staff nice enough . 
 Aug 18 2009 	 convenient reasonable old downtown Las Vegas 	 stay March 2009 . price reasonable location convenient get Freemont Street . downtown area clean significantly past year . feel unsafe hotel walk Freemont Street . the room date large clean . bathroom tiny functional . bed comfortable . room quiet ( could not hear road noise noise neighbouring room ) .The general service hotel fair ( great , bad ) . casino okay , far old casino go . table cheap . despite idea / myth / rumour slot suppose loose strip , encounter . service main restaurant slow breakfast particularly cheap tasty . there shuttle airport hotel . take bus airport expensive take much long cab ride would . 
 Aug 4 2009 	 great room price though could environment 	 friendly helpful staff . room clean comfortable . repeatedly stay hotel . fact , go week . review environmental aspect : use small bottle use lot packaging instead bulk dispenser bathroom amenity ( shower , shampoo , soap ) . towel service request : towel throw floor , change towel , otherwise not change . use compact fluorescent light bulb ( CFLs ) .environmental rating : 2 5 
 Aug 1 2009 	 Pleasent hotel stay service great room clean . 	 usually stay strip , current economic climate decide cut corner , one we stay downtown . actually make nice change stay strip bus run every 10 min strip . hotel quite rundown clean staff great . particularly impressed free shuttle service airport consist 4 guest time travel luxurious car friendly driver . would not hesitate recommend hotel one look stay strip . 
 Jul 28 2009 	 hotel work we 	 wife visit las vegas 4 5 time year . stay strip downtown . normally stay golden nugget four queen downtown . read review cortez decide give try . happy . tower room clean , nicely furnish plenty room . bathroom small manageable . hotel staff professional . gamble pretty good . wife play video poker , trip come away winner unlike strip slot . play long time gambling budget . remind good old day vegas . food pretty good reasonable price . try fajita prime rib cafe . flame steakhouse serve great lobster Chicago salad pretty good . like steak . ( check cheapovegas.com ) cortez 2 block fremont street experience . good thing , night street music , casino bar hopping leave noise people behind return cortez . 
 Jul 27 2009 	 bad thought go 	 pretty good , cheep price . thing clean can not say real complaint per - say . go , say spend night . mob own back late 1940' . see Rat Pack Back show street , drive around town , eat , lose 40 buck 2 min . strip . good time . 
 Jul 19 2009 	 good value money hotel non sun worshippers downtown 	 travel vegas play poker unable stay Golden Nugget decide split accommodation budget stay half week cheap could find half one good . use trip advisor despite mixed review decide El Cortez Bellagio . really impress Cortez , room size Bellagio new bed massive comfy bed newly decorate throughout . talk people believe use bit grotty take thebroom access car park still . spend load money place though apart bathroom room standard comparable Bellagio spend second half week addition new lift make thing easy . friendly staff clean room , sheet towel , need ? spend much time casino think bit local place good value slot area ( thing ) side pool sun terrace process build new block addition believe outdoor area hotel visitor use . finish doubt move poss 3 star rating much well standard current value place . pay less 30 dollar per night massive room cafe one well visit ( include time strip ) eat Bellagio que riddiculous , around 60 100 people line buffet time stay . really enjoy time would stay , bother prestige happy visit place use hotel home base one family hotel great adult single otherwise 
 Jul 13 2009 	 good 	 stay 3 different hotel Las Vegas stay El Cortez rank bad three . lady front desk nice . a / c not work maintainance man rude . get move another room view strip . furnishing room nice . go restaurant treat rudely leave . work casino expect certain level service . El Cortez meet standard 
 Jul 8 2009 	 one Best Bargains Las Vegas Offer 	 Husband promise agree stay Palazzo Wynn , could rent car . Soo , decide grin bear stay vintage room . room walk stair get . nice old furniture room clean enough . complaint would hair dryer . money though , can not go wrong . maid service excellent appear grateful receive kind tip . obviously appear majority give tip . sad ! hotel also martini special 2 1 5 7 every evening make great martini 's . 
 Jul 1 2009 	 perfectly fine 	 book room 4 people - 2 huge queen bed . quite clean , casino downstairs . pretty nice buffet . not expect much fine - stay hotel room Vegas ? ? 
 Jun 30 2009 	 Vintage Room Better expect 	 book vintage room casino . stairway access room . vintage room nicely furnish clean . ventilation system produce hum vibration disturb see other could bothered . El Cortez short walk Fremont St . experience make several time . property plenty free parking internet connection fair . casino seem well . security ball housekeeping considerate . overall , vintage room comfortable , bargain price good launch pad few night stay . 
 Jun 26 2009 	 Solo ! 	 really like hotel solo traveler love Vegas ! female way man , would perfer luxury . know , couple spend time room , wake , hit ground run enjoy STREET ! gamble , eat , see sight . night crash hotel fine . also get late night meal bed . new slot make worth gamble . want fun , budget , deal basic , EC place . be try impress lodging , stay elsewhere . money , EC anytime ! March , May , return August 2009 . S.C. return often , love Vegas ! ( really hate fridge micro wave EC ) good tip , take bus cab - because alcohol many casino offer you - they lock DUI heart beat car . happen friend spoil whole trip . real bummer ! VIVA LAS VEGAS ! 
 Jun 18 2009 	 Updates El Cortez make even well . 	 El Cortez make change update make anyone stay downtown area consider first choice . as always relaxed atmosphere , friendly staff , great bargain room meal make visit El Cortez worth . drink keep come . I not recognize place first , change well think . 
 Jun 8 2009 	 Clean nicely decorate 	 stay downtown first time El Cortez . think room nice , beautifully furnish clean bed comfortable . disappointed mini - fridge hair dryer room , stingy towel . downside casino - way smoky spend time , comp poor compare downtown hotel - time table El Cortez receive $ 4 compare 2 free meal Queens . coffee shop dark , breakfast great . staff friendly . also , even - number room - guest odd - number tell we trouble sleep noise concert Fremont . 
 May 25 2009 	 Cabana Suites 	 return weekend stay Cabana Suites Las Vegas . suite much part El Cortez Casino . must check EC front desk , park EC valet self park , call hotel operator room EC operator . when walk standard room ( cheapest price room ) wife shock small room ! not even bother unpack . immediately call front desk ask upgrade big room . upgrade Junior Suite $ 30 night . negative : room size fine . however , disappointed room not sit area . experience , room word Suite description , usually mean seat area ( love seat , chair , coffee table , etc . ) .The bed unimpressive . firm , lumpy . pillow soft , overstuffed . be picky pillow , probably bring . room dresser put away clothe . place hang clothe door . the lighting horrible . small lamp room . bathroom nice , lack counter space . surprising much empty space bathroom . the room attractive selection snack ( even intimacy kit ) . however price high decide open eat . example : & amp ; be $ 5 ! intimacy kit $ 6 . positive : lobby area , hallway , exterior building clean nice . look exactly like website . the lobby provide free fruit water . there security guard outside build inside lobby time . help consider seedy area ( sleazy motel ) surround EC property . the flat screen nice , hi - def , approx 42in . Ipod dock alarm clock ( good since mp3 player Zune ) .The fitness center nice ( look outside , hehe ) .The build quiet overall since 's Fremont Street . in conclusion , think Cabana Suites rename room well reflect room 's amenity . deluxe room economy room , Junior Suite standard room , Super Suite regular suite . btw , Super Suite come queen size bed king ? ! overall , nothing unbearable room , however probably will not stay Cabana Suites . 
 May 22 2009 	 good room fair price . 	 stay ElCo several time . room clean amenity good . fixture bathroom cheap , still well one apartment . nothing fancy 's like ' m stay downtown . if want excitement , stay Strip . the staff good ; customer look ... average bit rugged . ( hey , * become * haggard rugged stay ? ) hope visit soon 
 Apr 3 2009 	 Bang Buck Loose Penny 	 stay El Cortez time first state be not swanky . state join Players club good bang good comp ever get downtown casino . first time stay could not find room anywhere downtown normally stay Four Queens ironically never ever send big comp buy one room get one free one stay EC never pay room , get slot cash free food . hotel Vintage rundown recently undergo serious remodeling tune $ 25million dollar not mean room area affect Restraunt alot nice food always good reasonable price . hotel max amount money spend gambling reduce amount spend food , amenity etc . room always fresh linen , not smell clean , furniture old big room spacious , flat screen tv 's not . reccomend hotel adult kid teenager . casino floor big spacious machine push together roomy never feel like smoky even though everyone smoke unlike Four Queens push machine close together possible put always feel smokey . avoid pavillion room outside parking garage , go vintage room Tower Rooms well yet new Cabanna Suites look awesome not stay one yet take tour . People mostly friendly anyone short attribute drunkeness ( lol ) . drink not come often casino unless floor really busy staff accord amount people casino . crowd mix mostly adult senior one stay great fun college kid like place . El Cortez practical , low cost , high player reward , somewhat loose slot , good poker table , place decently price hotel room would compare say good western Holiday Inn Express roomier . since stay 5 time never pay room since first stay never pay food since first stay use point pay food player club card . stay three time vintage room pavillion room Tower room , see past two year many improvement make inlcude new carpet , new slot , flat screen tv 's , pay wifi access , restraunt remodel , gift shop add lot medicinal might need severely price surprise . would stay . btw first stay ' $ 200 quarter slot , last stay $ 300 2cent slot machine yes . new Cabana Suites business fitness center . 
 Mar 31 2009 	 Top Value Downtown 	 El Cortez good value play downtown . close enough Fremont St. accessible ; far enough away peace . room large , clean though bit date . , ' m sleep . casino quite rockin ' good , relaxed place play . bartender great . Waitresses okay . decent sport book downtown . food good . money , spot no - brainer . be expect Strip - go Nugget . low rate high value , El Cortez beat . oh , way , safe . block Fremont St . experience easily walk fro without least bit worry . deuce bus stop step away fast trip Strip . 
 Mar 29 2009 	 hotel go back enjoy stay 	 room wonderful , husband take two boy we , gratefull room big clean . staff great profetional . awesome experience stay hotel . Freemont Street Experience right across street . drive get strip since kind far . complain husband go casino time one offer drink ! would defenetly recommend stay hotel , would recommend casino . 
 Mar 29 2009 	 stay ! 	 decide Las Vegas last minute yearly vacation could not lot homework stay like like & quot ; Trip Advisor & quot ; travel agent book we El Cortez know like stay near Fremont Street . gem place ! yes could see room old furniture , room clean bed comfortable . could ask . trouble first night noisy neighbor certainly hotel fault , VEGAS BABY ! ! meal 24 hour restaurant always good meal , would think twice Robertas Flame whatever call . good service ever ( see sep review0 would stay El Cortez next time town . 
 Dec 31 2008 	 room ! 	 arrive LV day early schedule & amp ; could get strip hotel book ( full ) decide go DT see . decide upon stay EC ( 1 night ) . get vintage room queen bed ( located casino floor ) & amp ; expect much $ 30 . blow away ! suppose standard room , look like suite . bathroom small , clean , old looking fixture , work fine ( be call vintage ) . room Big L shape sofa / couch surround nice table & amp ; flat screen tv . bed comfortable ( small ) . closet huge plenty space . nice view Fremont street ( without noise problem , street casino ) . food good , great price ( LV ) .The downer ( 2 ) : casino like bingo parlor casino ( place gamble , within walking distance ) & amp ; WALK 2nd floor , elevator ( hate walk , big deal deal ) .I almost stay whole trip , reservation ( & amp ; pay deposit ) strip hotel . wish would eaten deposit & amp ; stay EC . room make Spa suite Luxxx ( strip hotel mention ) seam like cracker box & amp ; big waste money . sure , newer suite Jacuzzi tub , take FOREVER Fill & amp ; Drain ( basically worthless ) & amp ; furniture Spartan indeed ( small table & amp ; 2 rickety chair ) . could save close $ 500 & amp ; stay ( wish ) . 
 Dec 26 2008 	 heart El C ! 	 stay El Cortez 3 night , group rate price worth every penny . King Tower room , not view ( well , A / c roof ) , room nice . king bed ok , soft pillow . small loveseat , chair cocktail table . large desk WIFI $ 11.99 24 hour . bathroom small lighting poor terrible . overall great room ! El Cortez block Fremont Street Experience , close several casino . order room service surprise inexpensive ! friend eat $ 15.00 room service fee ! food come fairly quickly delicious . would stay El C anytime , tower room look fairly new clean . not expect 5 star resort fine . 
 Dec 25 2008 	 pleasantly surprised 	 first stay Downtown decide book El Cortez word TA Members stay . idea expect . get room , pleasantly surprised . think room big like layout . one bed tower room great view Strip mountain distance . thing could see someone problem height shower . ' m short , ok , tall person might find annoying . everyone meet stay friendly casino & quot ; homey & quot ; feel unlike huge Strip casino . never feel unsafe area outside casino . anyone really like glitz Strip , may place . 's & quot ; glitzy & quot ; . would stay . 
 Dec 25 2008 	 well expect . 	 say except hugely disappointed . feel like fool pick hotel family devastating walk room reality came crash around . not know think . unfortunately big factor probably TripAdvisor 's 4/5 rating people say & quot ; bad & quot ; be . now early indicator . hotel & quot ; bad & quot ; . & quot ; bad people say & quot ; . oh be nice , good ? mean , bad expect ? pavillion room parking garage . parking garage elevator work find walk 4 flight stair luggage . be ok , sometimes thing break . floor , light insufficient 's dark wet try find room . oh yeah , indoor , pavillion room lead directly outside . the professional photograph well take . open door thought must ' ve mistake . really well run - of - the - mill cheap motel . much small would think picture shabby . slight odor would rather think . bathroom tiny cheap . rust bottom toilet , fan knob literally fall , barely enough room turn around . I never walk hotel say immediately , & quot ; need go somewhere else & quot ; . El Cortez , take approximately 3 minute . call front desk numerous & quot ; can not & quot ; , & quot ; can not & quot ; , & quot ; not offer blank & quot ; , & quot ; will call whoever book & quot ; , pause moment let deep breath consider option hear , & quot ; uh ... bye ... & quot ; * click * . okay . so proceed call Expedia lot detail will not go , lot expedia say , hotel manager / supervisor say , hotel charge 100 % 3 - day stay , wait 's 1 - day not know much . supervisor say would ' ve come right away maybe would not charge , 's hour . mistake call expedia see hotel room available , happen go straight front desk cancel first . Expedia get & quot ; excellent & quot ; rating . rep savior end refund everything except $ 1.77 tell worry manager 's threat charge night Expedia would take care . hour Cortez , want Bellagio MGM even $ 200 night . unfortunately 5 - star book . run list 3 - 4 star hotel available issue provide detail even call ask internet surcharge rate . FYI , hotel offer free internet , even 4 - 5 star , be usually $ 10- $ 14 day . in end , book 3 - night stay 4 - star Golden Nugget 200 yard away El Cortez world difference . $ 60 Cortez vs $ 80 Golden Nugget 3 night . far nice room , high quality everything , thank god clean bathroom marble , oh wow actual chair table . would rate Golden Nugget average average . cortez average rating , not clue . perhaps TripAdvisor change wording & quot ; rate overall experience & quot ; & quot ; Rate hotel & quot ; . could & quot ; excellent & quot ; experience anywhere be high ecstasy . be great low expectation enjoy stay let us objectivity . must rate hotel stand competitor . give 4 rating cheap make alive . I ' ve stay many 5 - star hotel would not rate excellent would rate 3 - star Homewood Suites Sandieg - Del Mar excellent . value important factor . even consider price , El Cortez good , & quot ; okay , problem & quot ; . much well deal there . I ' ve bad hotel perfectly fine stay . have ok Cortez situation family vacation . rating mislead 's main problem . no matter good user review , hotel one star reason . keep mind scan glow comment . not jump hoop fix thing trip . 
 Dec 20 2008 	 Better Sounds / look 	 reading review check price end book ' Cortez last night Vegas chance hang around Freemont . cautious get tell upgrade non - smoking room ( read request ) end awesome room ! room flight stairs main casino floor ... reminicent room ' saloon ' lady lean rail . room give abosolutely enormous compare place stay . giant King bed , large tv large l shape couch . bathroom little small not sleep little importance . if necessarily look gamble hotel check Freemont Street , El Cortez great area free parking good deal get non smoking room ! 
 Dec 17 2008 	 Fantastic Deal Huge Room Downtown 	 book two night El Cortez via Vegas.com total $ 42 ! yes ! total $ 42 two night include tax booking fee . special vegas.com buy one night get one free free coupon book . coupon book pretty good , free drink , $ 5 meal hotel , gambling coupon , gift coupon , etc . last minute trip we , tight budget . go birthday see concert Hard Rock December 12 . creative lodge El Cortez . plus experience downtown year boyfriend never see Freemont Experience . the hotel easy find valet park car . check breeze . give room 1013 ( 10th floor ) window look straight Las Vegas Blvd . toward strip . nighttime view awesome . room huge ! two queen bed fresh brand new linen ( bed firm uncomfortable ) . plenty storage clothe dresser drawer hang space . bathroom old well maintain clean . toilet shower / tub together vanity outside room . also loveseat coffee table desk . desk & quot ; secretary & quot ; type not see often perfect wet bar . room really huge . problem keep room warm cool thermostat . Tv work fine . oh , blowdryer ! bring ask one check in . the casino part hotel so - so . 's kind & quot ; dead & quot ; , lively like strip . 's hard get cocktail gambling . play slot pay well . well luck gamble elsewhere downtown . cafe hotel GREAT breakfast . make good bacon cheese omlet ' ve ever . lobby bar make good strong bacardi diet . oh , want good mexican cuban food , go across street ( Freemont ) find darn good food . can not remember name place , Martita 's something ? anyway , people hotel know name . in general , find downtown somber mellow strip . use strip atmosphere different . hotel cater retire cowboy type . feel silly wear typical Vegas garb since seem top downtown ( would fit right strip ) . downtown fun different vibe strip . we go Hard Rock Saturday night concert cab ride tip $ 30 . yike ! get Hard Rock feel Vegas vibe use . cab ride home dollar cheaper , take quick route less traffic . overall would stay stay downtown prefer stay strip find good deal . 
 Nov 15 2008 	 Give El Cortez Break ! 	 second time stay El Cortez . name , Spanish , mean & quot ; courteous one & quot ; , & quot ; courteous man & quot ; . feel live moniker . staff beyond lovely . actually recognize mom year . name . perhaps fact be travel mother / daughter act . cater elderly crowd . however , ' m 30 's find will take courtesy wherever get . also , possibly find well rate clean place stay Vegas . love able walk Fremont Street Experience . cam home middle night , feel quite safe ! money El Cortez , . neighborhood $ 600 $ 60 start . give thumb , definitely ! 
 Nov 14 2008 	 place we 	 , sister neice book stay 6th November , read review seem favourable , take chance . I honest say first impression good , old tatty come mind . get room concern book pavillion room . car park , like 1960 's massionette badly light , window look onto walkway room glass wire imbed , room also small , even british standard , 3 woman feel vunrable unsafe hotel downtown mile strip . book circus circus night leave . go check , one hour checking , one question ask booking , feel odd . not get wrong slag hotel staff , feel review UK site , maybe want visit Vegas . 
