stay 	 go 8th time Vegas , stay new hotel visit . however , friend Vegas newbie narrow - minded plan spend time lounge pool . sister advise we book stay Hard Rock Hotel . since yet try destination party atmosphere , concede suggestion . plan trip span Thursday Monday ensure would poolside Sunday Rehab party , still advertise prominent event website , though already enter Fall season . we arrive schedule Thursday afternoon confront lengthy check - in line . die get settle start trip , allow check prior 3 pm time . tell room ready await approval housekeeping manager , take one hour . drag luggage Pink Taco restaurant grab tasty mexican salad ( see separate review ) enjoy sun patio . return check desk hour later tell room still await approval , could immediately settle room low floor . point , eager get pool , agree less room , wound provide hideous view parking garage ! room funky wallpaper , spacious bathroom , iPod dock speaker , large flat - screen television . mixed feeling regard stay . first , website mention Sunday Rehab party season pool heat . , basically , everyone relax poolside 80 - degree weather , nowhere properly cool . regard crowd , friend think back home among Jersey shore guido . fist pump definitely scene ... final note pool waitress extremely friendly Thursday afternoon , become snooty pretentious weekend . try exude & quot ; cool & quot ; vibe rowdy Saturday - Sunday crowd . pretentiousness discourage impressive . additionally , hotel 's free shuttle Strip arrive every hour even stop anywhere close Las Vegas Boulevard . wind opt taxi service instead , save time cost $ 10 way . also annoy $ 20 day fee use fitness center , attach spa rather part hotel . large room pack equipment would perfect way counteract extravagant dinner evening cocktail , refuse pay & quot ; amenity & quot ; .The main reason stay Hard Rock crazy atmosphere , terrific nightlife option , large pool grotto . however , many thing negligible find property . would recommend stay Strip instead . 
 40 th birhtday getaway 	 Loved ... music great upbeat .. find singing time . staff could friendly helpful . book pink jeep Grand Canyon consierge fantastic . leave imp . paper safe ... already checked not realize several hour later ... go back hotel safe ... secruity . safe front desk server maid wonderful . miss bottle opener .. call desk minute . location couple block strip really enjoy ... access easy price definetly well place stirp . love small accessible . like either club .. high expectation read good . people firont desk say going put new club ... also ... sad able swim ... say consider pool open year round 
 hotel terrible ! ! ! stay far away . 	 begin .... 1 ) room single glass anywhere find . drink hand . several dirty glass sit floor outside door arrive check next day.2 ) television signal . zero channels.3 ) huge moth sheet . discover crawl leg get bed.4 ) room coffee pot.5 ) construction begin 8 room directly mine ( hotel less half full judging registration desk , put room construction ? ) .6 ) staff impolite.7 ) hotel charge $ 8 item mini - bar , not touch . know item never begin . 8 ) music registration desk loud ( casino floor ) can not hear employee say behind counter . as frequent business traveler stay lot hotel ( ' ve fly 50,000 air mile around US last 6 month business travel ) Las Vegas Hard Rock , without question , worst ! ' ve stay Best Westerns middle nowhere preferable . I ' ve also stay Hard Rock Hotel Biloxi find vastly superior amazed Hard Rock ' brand ' would allow disgusting property operate Las Vegas . do favor . be travel Vegas , avoid Hard Rock cost . will not sorry like . 
 Oct 27 2009 	 enjoy hidden fee 	 October ' 09overall good time disappoint hidden cost poor service.1 ) internet service free . pay flat rate 24 hour service . mention website . rate : $ 12.99 per day . 2 ) & quot ; Resort Fee & quot ; @ $ 7.84 per day -- big hardship hide ? another tax not feel guest pay . apparently cover cost pool maintenance , free shuttle etc . 3 ) book travel group , prepaid , still bill $ 700.00 & quot ; incidentals & quot ; 5 night stay without tell . understand put reasonable deposit , be wrong . ( receive credit 3 day checkout . ) 4 ) go offer in - room snack ridiculously inflate price top thing . find item snack tray consume reseal look like not touch . report right away , not bill anything . Glad check . many staff cold courteous . deal bad attitude several occasion -- get , 's Hard Rock , be rock star . blame hotel management one . pool great , though spot limited sun . the casino relatively small appreciate space will not get lose . cocktail waitress not always come around often enough order drink might keep wait long would like . Mr . Lucky 's restaurant reasonably price decent food , 3 4 time , pretty bad service botch order . pink Taco consistently great food fair service little pricey need ( Happy Hour good time deal ) . Hard Rock Cafe great food want say good service ... unfortunately , one occassion , receive two check meal . top , second check four time actual cost meal ! point waiter apologise profusely assure would second charge . course , bank statement check day two later second charge . back home time could complain person . needless say buddy pretty livid . note : couple reasonably price restuarant across street hotel ground might want try . option . so be perfect , good good place fun atmosphere . really great staff make bad , would stay ? probably . would consider , say , one favorite act perform . would recommend friend warning . 
 Oct 25 2009 	 Luxe hotel stay 	 stayed 5th floor Paradise Tower 3 , view not - so - scenic garage . view aside , room deliciously luxe trendy furnishing , linen , carpet . flat screen huge velvet sit chair comfortable . bed little soft / plush taste - feel like swimming . bathroom also neat . run issue one night remote able turn tv ( button tv ) , quick call operator someone room 20 min . check - in breeze guy friendly . internet $ 16 - 17 / day . try Mr. Lucky 's breakfast Nobu 's dinner enjoy . parking close Paradise Tower . 
 oct 22 2009 	 good price 	 Hard Rock definitely good value guy trip Las Vegas . think great value quality room pool area especially compare strip hotel . 5 guy 2 connected room comfortable ample room need ( sleep keep stuff ) . 's much see spend less time think room . pool : nice , get lounge chair 10:00 plan near pool day . Esp Fri / Sat/ ( do not go rehab Sunday ) . otherwise enjoy strong sun people watch . strongly suggest sunblock . casino : definitely get blackjack/ roulette table day , night get crowd casino not big . Food/ club : Pink Taco 24/7 place good food . be look buffet head Caesars Bellagio . body English great . 5 guy get bottle service . strongly recommend . see concert Joint cool . why give 3 star : consider distance Strip , relatively small casino , loud music start 9:00 esp go bed 4AM , lack nearby amenities/ sight , pay Gym . might give 3.5 do not exist get 3 . be not 4 probably well 3 . would recommend people do not want shell lot money top line place . 
 Oct 21 2009 	 pretty damn good hide charge 	 read review little apprehensive . however , I d check ( give cc $ 7 day charge pretty cheeky thought ) go room 8th floor incredible view pool strip . sure loud , Hard Rock , tune awesome worry ( unless do not like rock ! ) slight pain $ $ get cab strip you re share bad ... site club , Body English , * * loud place world , I ve front row Metallica show ! pretty good stay , oh , construction seem long start 6 am , fact , do not hear , airport ... ! 
 Oct 19 2009 	 Nice hotel beware hidden cost 	 ok thing like thing not thing wish someone tell booked hotel . firstly , good stuff : • room service great . staff polite ( last guy get amazing - wish take note name send compliment ) , food delicious cost reasonable.• hotel restaurant also great varied . especially recommend Pink Taco.• be go Thomas & amp ; Mack Center NBA 's easy quick walk , also $ 10 cab ride 20 min walk strip . the bad stuff : • strongly advise take anything minibar . expensive first place end pay staff restock cost twice advertise price.• gym cost guest $ 20 per day . Ridiculous.• hotel put $ 100 per night hold credit card incidental . , ridiculous . check 5 day ago ' m still wait returned.• casino area one small city . be big gambler not hotel you.• strip ... know book not problem aware . 's think right . 's bad place ' ve ever stay . room comfortable , think hidden cost put big black cloud trip . 
 Oct 15 2009 	 nothing well 	 amazing place , terrific room , good swimming pool party ever , be tattoo shop people awesome ! 
 Oct 8 2009 	 definitely winner ! 	 love hotel . staff wonderful , theme fun ( Rock Roll ) room fabulous . disappoint wonderful hotel ! 
 Oct 8 2009 	 still great 4 trip ! 	 arrive , request non - smoking room . not available bump real nice room new paradise tower . find staff efficient , courteous friendly despite negative review read . the pool really well maintain , man 's restroom even attendant constantly mop not disgusting past visit . Rehab seem bit tone previous year , Center Bar really hot . room discount coupon italian AGO restaurant use . waiter Italian get practice italian study past year . the George Clinton concert fabulous , sort promos complimentary 3 - olive vodka , budweiser lime , Cruzan Rum . 
 Oct 8 2009 	 Fun atmosphere great service . 	 really fun place stay . arrive early ask could check early request deny . say would call we anything open early receive call 10 minute regular check time . big deal consideration would nice . hotel strip never much trouble grab cab get want . would suggest get cab take free shuttle get strip . take way long shuttle make round pay $ 10 cab fare worth . hard rock casino fun place gamble small side less overwhelming large casino . gamble much lot cozier compare large place ' stay . pool great drink amazing . restaurant great left happy many stop Mr. Lucky 's . pink taco amazing food service suck ! table & quot ; someone famous & quot ; able see hear niceness available waitress , however receive anything close smile . overall make good stay not let service get we much would go back many place choose Las Vegas Hard Rock Hotel really offer anything ordinary . 
 Oct 8 2009 	 Awesome Hotel ! ! ! 	 go Hard Rock see concert love every minute experience ! first drink Center Bar 4 am dinner Mr. Lucky 's , great experience way around ! hotel ooze rock roll service exceptional . conceriege even find we ticket second night show sell - could ask well experience . hotel stay Vegas ! 
 Oct 7 2009 	 would rate high first last day ... 	 Hard Rock definitely hotel cater young crowd music connoisseur . pro : Quick ride airport semi - close strip ( $ 11 cab ride ) . room clean , french door open ( old tower ; Casino Tower ) great , food average pool nice ( however one side open weekend ) . body english great club . con : get server drink pool horrible ! able get someone Cabana within 2 1/2 hour time frame . play hip music pool , loud , could not ' relax ' want . could hear way 11th floor room 8AM . price bottle beer go $ 3 depend hotel ( casino floor bar = $ 4 ; wing club = $ 5 ; body English ( club ) = $ 7 ! ) . massage work back kink nicely ' noodle rub ' rest body ( horrible ! ) , facial nice though . smoky Casino ! know 's expect Vegas , ventilation system horrible ! one guy BlackJack table complete JERK ( tip ! ) RAW SEWAGE come thru sink shortly check . RAW SEWAGE ! ! ! ! rating room ( fairly clean ) would 4 raw sewage come sink ! brush tooth sink ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! sure would stay . 
 Oct 6 2009 	 Paradise Tower Rooms luxurious ! 	 helpful reservationist - call room land overnight stay . tried & quot ; code & quot ; AAA not give we & quot ; good rate . & quot ; Room mid - high Paradise Tower re - furbish August . luxury ! ! comfy bed - darker wood ambience - great romance sleep - in ! not need 42 & quot ; flat screen tv , nice option . mini - bar fridge room / typical expensive hotel price item . would definitely stay . recommend valet vehicle luggage bring room - tower opposite side facility entry . fast self - park get Paradise Tower . [ not like tote luggage thru casino ] 
 Sep 26 2009 	 Young atmosphere loud 	 & quot ; & quot ; & quot ; young & quot ; customer differ typical huge Las Vegas hotel expect sleep afternoon check - in 2 pm . arrive 09.00 morning conference ask priority obviously obtain . guest service agent deceive ... solution phone Customer Service ( 0 - 800 number ) say receive call confirm room ready ... friend try room 12.00 ! moreover beach party go , expect rest afternoon & quot ; siesta & quot ; . 
 Sep 25 2009 	 great welcome Las Vegas 	 sure expect mixed review post two mind whether come . stand disappointed . I arrive early evening , mid - week see couple minute . check fast efficient . place small compare Vegas hotel actually big compare international city standard hotel . check advise take anything mini bar unless intend pay pressure sensitive . the casino situate sunken level main atrium . everything accessible main atrium . ever head pass casino floor . room big spacious . one big see standard room . clean tidy . bathroom also big nice shower bath . beware , load & quot ; sale & quot ; item offer dot around room include shampoo conditioner . make sure read lable . load bottled water sale . want pay hotel rate drink CVS ( american version Boots ) accross road everything regular retail price . I package set hotel prior arrival , on - line shopping take advantage low US exchange rate . collect package easy bell hop deliver room . free service although obviously tip bell hop . however beware , go send package hotel going stay , mandalay , charge $ 10 fee per package ! go Lucky 's Diner enjoyed & quot ; Gamblers Special & quot ; ( order name advertise ) get pretty good lean cut steak 3 large shrimp top along real mash potato . come side salad , however serve main course plate , huge side salad . $ 7.77 . probably good bargain Vegas . understnad , long go day cheap food Vegas . realization make good money food well casino hit . there starbuck hotel wish coffee go morning time . unless need paper receipt , check easy . do hotel tv . advise charge incur . I pay € 72 Expedia room fantastic value . charge additional & quot ; resort fee & quot ; $ 14 per night . advise Expedia small print . I wish stay long . go back , look stay first . 
 Sep 18 2009 	 great hotel 	 fantastic stay . room new Paradise tower comfotable , spacious date . pool great atmosphere hotel ( like Rock Roll ) excellent . go back . 
 Sep 18 2009 	 horrible service HARD ROCK HOTEL 	 Hard Rock Hotel & amp ; casino small hotel Las Vegas Strip . considerable construction nearby terrible traffic long cab ride . average 2 person cab ride center strip vary $ 15 $ 25 depend traffice congestion . new paradise tower back side hotel long walk casino floor . tower nice new open without working & quot ; kinks & quot ; , many thing not work correctly . try express concern literally 20 minute hold staff say would & quot ; take care & quot ; never . trip request King bed receive two double . bribe front desk staff sudden find King room purchase . request tell could late check - out book push come shove not plan . problem equate normal hotel flaw not bad overall . casino drink server nice work hard , although take 15 20 minute drink order problem saffe level server . big main problem keep anyone stay hotel service . many casino employee friendly easy work , say hotel staff . hotel staff probably rude staff ever encounter hotel calibur . enough room go detail 's clear young staff HRH industry could care less guest hotel . mislead treat like trash . horrible service alone worth visit hotel cause hotel either sell go bankrupt shut together . can not treat guest pay premium stay night poorly get away long . & quot ; cool & quot ; factor wear empty casino maybe be late consider treat guest deserve treat , respect kindness . 
 Sep 17 2009 	 life 's well strip 	 friend hesitate staying strip , choose Hard Rock good value . after spend long weekend Vegas would say , would stay Hard Rock . hotel not huge casino feeling like many hotel strip less senior there . we go club bar strip would get back hotel & quot ; night cap & quot ; seem fun would begin . guest friendly staff great too . the pool convenient enjoy friday saturday : ) ( tip waitress well , put we 3 vip list 's great club ) room nice , hallway quite . I disappoint internet not free , call front desk sewing kit , never come . 
 Sep 14 2009 	 Hard Rock come thru excellent service 	 frequent guest Hard Rock ( 7x / year ) , stay 's fun crowd , great pool , much small behemoth hotel Strip . post previous review , update . sometimes thing go wrong trip . , test : hotel make happy restore situation ? problem reservation , speak Laura , evening manager , quickly resolve issue extreme satisfaction . treat value customer , appreciate it . while , hotel fire . something not often think vacation , HR 's response excellent - quickly evacuate hotel , give we water wait parking lot , everything return normal fire extinguish . lot construction go resort right finish second Tower addition double size pool . since Las Vegas still 100 + degree day , work do night , yes , hear . general , Hard Rock noisy place stay , party people scene not work , recommend Bellagio , peaceful . we , keep go back Hard Rock . 
 Sep 13 2009 	 great intro Paradise Tower minor glitch 	 Booked Paradise Tower via 3rd party . Magic convention town strong presence property . valet taxi line seem little slammed past ( ' ve probably stay Hard Rock 20 time ) understand temporary situation . I 3rd floor pool / strip view . directly construct Euro pool . small jack hammer like day not problem . lot landscape relate . room similar size casino tower . much dark color scheme , dark brown black . Ed Hardy look wallpaper carpeting . dimly light , way could read anything evening unless bed . bed comfortable many pillow . awesome flat screen tv.due dark nature furniture , counter , etc . lot water spot finger print visible . day take long time run hot water turn hot . large glass shower , tub . shower door lack gasket despite good effort always puddle water floor shower . glitch . paradise tower exclusive feel security lobby 24/7 checking room key . couple desk personnel morning check without walk main front desk casino . the glitch come mind Friday night Puddle Mudd concert pool Santana Supernatural show Joint . exist parking structure capacity take long time empty follow show . the first night loud music event Magic pool another reviewer mention go 1 . country theme event follow night problem neither volume Puddle Mudd . great service Mr Lucky 's , Pink Taco , pool ( thank Susan Alex ) . pool complex fully open ( 1/2 open Spring 2008 ) uncrowde . very good visit . think next time will book Casino tower , be like overall not think Paradise tower worth premium . 
 Sep 9 2009 	 could live would 	 hotel one good stayed make trip Vegas even outstanding . to set scene - buddy , 27 year old english lad go Vegas sole intention party extremely hard . we could choose well hotel , yes play good music loudly full young hot people party ... nightmare ; - ) casino small personal , preferred casino strip hotel go ever ever , bar superb , everyone friendly , restaurant cure killer hangover , pool Rehab UNREAL ( quee either .. woop ) body english cool club . can not fan since party next Paris Hilton night . we get updgraded room new Paradise tower pool strip view .. love . would stay instant . Yep , taxis strip $ 10 .. boo hoo , concerned $ 500 lose gambling 5 am - 10 am , still love free drink , free smoke experience all . if group friend go Vegas party , get mess time life - need Hard Rock life . 
 Sep 8 2009 	 Outstanding 	 stay Hard Rock Sept 4- Sept 7 , aka Labor Day weekend . go , read review upon review bad customer service , noisy hotel , overall horribly overprice hotel far strip . nervous . arrive hotel right around midnight Friday night . standard room - room reservation- upgrade we , free charge , brand - new , amazing suite night , apology . suite beautiful , 2 bathroom , several flat screen & amp ; mostly white funky decor . love . next day go back check little slice heaven , nervous . mean , hello - spend night deluxe suite , room bind suck . get new room , put we Paradise Tower 10th floor pool view . not suite , one nice hotel room ever stay Vegas . book 3rd party site & amp ; get room less $ 90 night . room - wise , thrilled . onto customer service . without fault . registration bell - hop staff restaurant housekeeping , everyone friendly , nice , helpful & amp ; always smile . reminder - ' m talk labor day weekend , people . place PACKED- one ever rude short we . , thrilled ( slightly shocked consider negative read ) .Is hotel noisy ? yes , course . be hard ROCK . come . pump excellent rock music casino elevator 's loud.but 's deafen frankly , enjoy . add atmosphere . rooms- neither one- noisy . could not hear people room next we ( state site ) . could not hear people pool - even Rehab Sunday . yes , could hear pool music , beat - be not loud enough hear words.yes - strip . everyone book room know . be like hotel keep secret . sometimes 's nice strip & amp ; hotel much & amp ; many place eat really do not miss strip time.oh- spa wonderful . steamroom , jacuzzi womens locker room & amp ; full use day make spa appointment paradise.so , overall , pleased experience . negative thing $ 150 / night hold put credit debit card release check . dissapointe , enough dissapointment ruin trip . 
 Sep 2 2009 	 exceed expectation far . 	 stay new HRH Paradise Tower Aug 28 - 31 pool face room 424 . 4th time Vegas past 3 year 1st time stay HRH . lucky enough invite treat like vip check - in check - out . read bad comment hotel guest know hotel gear toward 21 - 40y / o . entire atmosphere ideal . loud music , dim light great club / bar / food make place work . never stay anywhere else . Paradise Tower little far casino ... not necessarily bad thing . pool Rehab beyond explanation , see believe . look forward check HRH Tower Suites next summer . pro : vip service , Music / atmosphere , size property , POOL REHAB , Nobu , Rare 120 Body EnglishCons : not know ... guess room service take little long ( 45 min ) , expect . 
 Sep 2 2009 	 stay business skip hotel 	 hardrock hotel place stay convention work . stay magic deal hotel tradeshow . do not know poolfacing room 8th floor would keep noise pool party host house music bumping till 1 a.m .. mention could not relax pool hard day work obnoxious party invite . charge daily resort fee , day can not use pool night loud party guest . book sunday night feel like walk drunken spring break party fight douche bag get room ... room nice , shower cold , remote do not work , 13.99 day wi - fi . charge everywhere everything . enough casino like either . be not really cool stuff around hotel .. cab alot place get little annoying . I understand Vegas people come party .. want go vegas party face never sleep .. stay hardrock , business traveler need sleep .. stay elsewhere 
