off 	 Willows website boast parking & quot ; unlimited privilege . & quot ; well , know Willows Hotel & quot ; Parking & quot ; on - site . so - call hotel parking actually unmanned public parking garage ALLEY hotel . complain website mislead clerk say , & quot ; none hotel Lincoln Park parking . & quot ; think 's risky walk parking garage hotel night , wait get credit card bill . immediately use credit card garage 's unmanned kiosk , enterprise credit card thief ( NY area ) begin frenzied & amp ; fraudulent spending spree . within four day stay Willows -- 's off - site public parking garage -- $ 10 k fraudulent charge post credit card use pay parking . never would stay Willows know lousy parking situation . , idea stay Willows off - site parking would costly mistake . 
 Nov 20 2007 	 perfect location 	 stay Willows three time year , time positive experience . , three season ( Feb. weekend big snowstorm close airport , Labor Day weekend , end October ) , vouch excellent heat , air conditioning , good ' ol fresh air open window . hotel old , care . criterion clean , safe , comfortable bed , decent bathroom ( include hot water showering ) , air conditioning summer . room description say small , honest . joke go outside change mind , travel reason sit hotel room , Willows accommodate need perfectly . love sit lobby cup tea morning , read paper watch guest . interesting cross - section world come door ; everyone include guest smile speak . ' ve walk throughout neighborhood , include Wrigley Field ( yes , Cubs ) , Filipo 's ( great italian restaurant ) end Lincoln Park , feel perfectly safe . also deal car . fortunately , extra $ 20 day , hotel provide parking pass garage locate right behind hotel . well - worth , since parking space soooo limit Lincoln Park . the downside elevator - 's quaint , however , use elevator luggage , difficult hold two door open , load luggage , . use stair except upon arrival departure luggage . would also recommend call hotel directly make reservation . time make reservation , start online website ( Hotels.com ) , room availabilitly date go , quote rate $ 50.00 high . call hotel directly , room available discount room time . hotel encounter issue room availability use online service ; may old fashion , prefer direct contact . 
 Nov 11 2007 	 first choice lodge nice hotel 	 Chicago area convention want stay downtown near McCormick Place . however , available room could find Willows Lakeview . really enjoy neighborhood ! love walk small shop , nice hectic day downtown . ride CTA save transportation easy . hotel room small bed comfortable . would stay hotel . 
 Oct 27 2007 	 wonderful willow 	 read several positive review Willows ( convenient location near public transportation , clean room safe ) not hesitate book reservation colleague attend trade show business trip . late night flight delay , time get unusually long taxi line , pretty worn ( have spend well part day prior international flight ) .hotel impression make break stay , welcome staff make want weep . check quick effortless two gentleman graveyard shift lighthearte , funny accommodate - provide direction recommendation late night eatery . the hotel quaint , & quot ; old world & quot ; feel . give decorative lobby ( plush carpeting , column , ornate sofas ) , feel though have step timepiece movie . particularly amuse old style elevator , complete swinge metal grate , latch door . downside : bit difficult maneuver luggage , reduce elevator room capacity ( wait time lobby / at floor ) , get room within proximity elevator , would hear loud & quot ; bang ! & quot ; patron exit . the room pretty much standard , nothing complain . wi - fi work without interruption ( ask staff access ) , iron complimentary cable . particularly like additional layer velour blanket , well Pascal Morabito toiletry ( although not understand provide bath salt room without bath ) . room come two AC / heating unit side bed , allow individual climate control . there variety complimentary breakfast morning include cereal , pastry , breakfast sandwich , juice , coffee tea . morning staff friendly -- ! -- -and tell afternoon social ( helpful extended stay ) .All , Willows make stop Chicago -- last multi leg business trip -- relax sorry leave . ' ve already recommend place one stay colleague will not hesitate . 
 oct 9 2007 	 Awesome Hotel ! ! ! 	 husband stay Willows honeymoon . love property neighborhood . within walk distance Wrigley downtown short taxi ride away . plan anual trip Chicago stay willow again . the breakfast good afternoon cookie lemonade add extra touch stay . staff awesome friendly . room spacious clean . bathroom floor heat . 
 Jun 20 2007 	 great neighborhood 	 stay Willows several time due daughter see specialist Children 's hospital . sure hotel old , clean comfortable . staff excellent every time stay , helpful friendly . the coffee tea available 24 hour nice bathrobe room . the good pizza family ever eat small pizza parlor around corner . on side , sink bathroom small lie thing get ready . the parking garage bit walk , secure private . love Willows stay every time be Chicago ! 
 Feb 13 2007 	 nice neighborhood hotel 	 need hotel visit son recently move Lincoln Park area . willow perfect we , hotel close apartment . Willows remind one hotel UK break run mill chain hotel . warm , comfortable lobby fireplace coffee . continental breakfast morning great cookie 4 pm . excellent value Chicago hotel . definitely stay visit son . 
 Nov 20 2006 	 lovely stay Willows 	 husband stay willows couple night wed Chicago . palmer House Hilton ( lovely ) look forward get downtown . willow great neighborhood peaceful quiet . hotel charming love lemonade cookie . everything clean room comfortable . 's nice day be walk , Wrigley ( bit hike ) definitely doable . would stay . 's location great - downtown , close enough accessible . 
 Oct 8 2006 	 careful ! 	 will start positive . staff amazing room ok ( large , clean , tastefully decorate ) . location great - close restaruant , Starbucks , lucky we , hospital . bathtub INCREDIBLY slippery . shower first , slip tub warn travel buddy careful . well , end slip land low back side tub . spend rest day ER rest trip pretty much ruin . say - staff nice accommodate possible incident . due check morning , friend unable travel , staff everything could accommodate we two night ( easy task Chicago book ) . be lucky not elderly person slip , etc . situation could lot bad . all , like hotel price / location right . Believe , would stay . hope fix tub ! 
 Aug 9 2006 	 Great Location 	 ' ve stay Willows Hotel several time 's great location . be locate lovely neighbourhood lakeview area Chicago walk distance Wrigley Field lot interesting restaurant Clark Street . experience hit miss . front desk staff friendly knowledgeble , clueless . love small elevator brass fold gate . make feel like ' m Europe . room generally small , comfortable . lobby classical music play excellent coffee , average breakfast snack . stay room temperature control , die heat . front desk offer change room , bed move , not take . beware room front building : room 200 , 201 , 300 , 301 , etc . none temperature control . stay ? probably . be cubs fan . location , location , location ... 
 May 1 2006 	 Victorian Stay 	 stay 3 night willow first time April 2006 . hotel clean comfortable , keep mid new hotel . victorian , quaint quiet . room one queen / king bed - non smoking room . one side bed wall , make difficult two sleep , get night use bath room . cuddler bed - bed work . think mattress need replace sink slightly middle . size room rather small medium - adequate storage space clothe , desk lamp chair , luggage rack , tv , adequate drawer , bedside table lamp ceiling fan light . room also new air conditioner window . bathroom victorian & amp ; clean , newly decorate nice size - even vent window tub open showered , consider plus since fan vent bathroom . music play lobby extend complimentary breakfast hour , find plus . location hotel wonderful . one block everything want restaurant book store shopping . area hub hussle bussel , hotel quiet restful . staff nice helpful . parking short distance away , half block - park car . 
 Dec 12 2005 	 home away home 	 stay Chicago Marathon find great little hotel internet . I ' m small town use big city find Willows charming safe . staff friendly room clean . see someone write floor dirty mine look like new carpet . 
 Nov 29 2005 	 hate 	 stay wedding night . although room clean nicely lay , would never stay regret stay . 's metal cage ( radiator ? ) wall right toilet , pleasure ram shoulder middle night accident . door hallway slam get good night 's rest . check - out staff apparantly could not bother ask stay . recall mumble goodbye . pit . 
 Nov 19 2005 	 filthy carpet . place rat hole . staff great . 	 think good review write put staff people take happy pill . bare bone hotel old worn carpet bedroom . sure , lobby nice , not sleep lobby . carpet room filthy scared step sock ! hot water shower , weird since faucet plenty . room dark stuffy look brick wall . shower not work well tub miss 's drain stop . cell phone not work inside hotel . elevator ancient . People run hallway till 2.30 ! card get door fail many time . staff friendly helpful breakfast ok . staff good thing place . please stay want save money . otherwise , place suck . 
 Oct 1 2005 	 Fantastic ! ! 	 get back Chicago go medical appt daughter . staff hotel helpful . even print direction get around town . comfy room , suprisingly quiet also . hotel almost like oasis hustle bustle city . tree line street hotel locate lovely ! conveniently locate . ever return Chicago matter budget trip hotel business . great . coffee tea vailable 24/7 lobby . coffee great . can not say enough much enjoy stay . would recommend anyone . 
 Sep 12 2005 	 nice enough hotel 	 stay two night - friendly staff , nice location , presentable accommodation . would stay look Lincoln Park area although would probably stay downtown next time . 
 May 10 2005 	 Great Locale accomodate nice stay indeed 	 fantastic little hotel want Lincoln Pk area - nothing fancy , fine - clean & amp ; quaint . staff helpful - nice residential street - charm european inn . 
 may 8 2005 	 great place stay ! 	 brother come visit Chicago family wedding . bride groom make reservation lot family stay Willows Hotel , generally stay downtown business , surprise nice Willows ! quite really nice little shop / restaurant / bar area ; mention fact walk lake , zoo , conservatory . cute quiet little place helpful friendly staff , would definitely stay ! 
 Feb 28 2005 	 great place stay Chicago 	 world prefer stay independent hotel b - n - b 's ever possible . I spend time look place downtown Chicago area . we find look willows.my girlfriend Vegetarian ask area resturant might enjoy . recommendation hotel staff outstanding.we would rate hotel FOUR STAR -- -- definate Europeon flavor without bathroom HALL . DEFINATELY stay willows . 
 Jan 20 2005 	 stay Lincoln Park - guess Willows 	 husband stay Willows 5 night Dec. 04 b / c blocks daughter 's apt . forwearne - internet ad MUCH nice reality . 's centrally locate want stay Lincoln Park - not cute , boutique hotel , even though advertise one . the lobby bit shabby - free continental breakfast fast - foodish , carb - laden , recycled . not eat . hallway long narrow - invite . felt walk old - fashioned rooming house kind place - invite little hotel . elevator small , old cage affair ( cute movie , real life ) .Our room 1950 's - beige , dingy , dark . twin bed , think - two queen . window overlook parking lot all - night light shined make loud noise ( wear ear plug keep shade ) . bathroom large - clean - product replenish daily . could hear someone practice flute hall - people sex room we . people next door small kid - could hear clearly wall . tv small - hooked cable . not closet - old armoire . check day Inn block away - willow definitely well - not great , charming , adorable place stretch imagination . 
 Oct 31 2004 	 stay willow 	 stay one night Willows downtown work . think hotel nice , staff helpful us find restaurant recommend we . small town , really appreciate relaxed , friendly atmosphere middle big city . 
 Aug 17 2004 	 ... 	 fall love Willows hotel arrive two night stay last weekend . lobby cute & amp ; room nice & amp ; clean . minor issue pop though alter original impression . I manage score one previously mention 01 room view tree - line W Surf St . although small , room bright & amp ; fresh , clean smell . when walk back hotel parking lot , notice many air conditioner window room , however room not seem one . fortunately not get warm & amp ; not issue , would not want stay room hot , sticky day . the bathroom clean , cute & amp ; little small . main issue bathroom though , water pressure . shower become difficult water quickly go hot , cold , back hot , slow trickle , back cold , etc ... spite inconvenience , would recommend hotel other . great location & amp ; staff friendly & amp ; helpful . prepare , not luxury hotel not expect perfection . 
 Nov 26 2003 	 charming alternative Loop hotel 	 travel Chicago 15 - 20 time per year weekend stay many hotel town . find often return Willows pleasant alternative downtown scene . perhaps great asset hotel neighborhood : be nice residential area fill lively service business ... access real Chicago live away bustle ( cost ) downtown . hotel perfectly serviceable well maintain , charming little lobby area , relatively generic non - descript room . prefer room front hotel ( 00 01 room ) small , cozier somehow . staff always friendly helpful , 2 convenient parking garage nearby . easy place stay , will not fuss . terrific value . 
 Nov 16 2003 	 great hotel staff 	 stay willow three time year always find service excellent . good value also . recommend all . m . Jones 
 Apr 14 2003 	 not stay willow 	 unfortunately , barebone staff poor security make hotel undesirable . stay extended weekend cd player steal belonging . manager rude antagonistic situation . would never stay . 
