Great 	 take girlfriend Chicago surprise anniversary present weekend Thanksgiving . unfamiliar Chicago , know want stay near museum Millenium Park . value travel website , find rate Hotel Blake less half advertised rate sell . review say 3 - 4 star , really not sure expect . when show , pleasantly surprised . 's good neighborhood , minute walk Michigan avenue . check late , desk staff courteous helpful , though unpack carry bag . Valet - parking available hotel , half price parking available literally street hotel . make room 9th floor , amazed room . large room , magnificent bed , good decoration , huge bathroom . train traffic noise 9th story , get excellent sleep comfortable mattress . free wifi , excellent soap , shampoo , body wash , etc ... even sew kit . room definitely deserve four star , minor quibble little mold shower stall otherwise impeccable bathroom . never really try tv , room clock connect ipod , think neat . the free breakfast great unexpected , recommend get early ran donut danish well post closing time . service uniformly cordial helpful , recommend good restaurant nearby attraction . ( awesome , get early ) . picture Chicago post Hotel Blake website representative actual view hotel , google map let know expect vicinity . overall , heartily recommend Hotel Blake probably stay get rate . 
 oct 9 2009 	 Convenient Quiet -- Affordable ! 	 fiance stay first trip Chicago . feel safe walking around Loop area , enjoy convenient several train line want get explore Chicago 's neighborhood . staff friendly , especially man serve breakfast , recommend fun restaurant . breakfast basic enough start day . bathroom huge ! 
 Oct 8 2009 	 Chicago 's hospitality leave something desire . 	 excite location , center Chicago , far Shedd Aquarium Field Museum . also excited price , not expensive Chicago supposedly include breakfast . old printing factory , bit history . location , room , live expectation – entirely walkable destination choice . however , service really something desire . staff curt , brusque offer helpful detail . explain early start day leave ( 5 minute breakfast suppose serve ) - yet like bad , loss will not able participate include breakfast service . hover breakfast staff , even banana put early departure , 5 minute suppose start time . call request car bring valet specific time , also bring 20 minute early , get upset not take soon -- not ready leave yet . would say price conscious , consider stay – good location room clean quiet . ' get expectation folk friendly helpful . another town stay nearby , actually get thank travel recession spending dollar – draw comparison service Hotel Blake even firmly . 
 oct 8 2009 	 great hotel - great staff - pricy parking 	 enjoy stay . staff helpful attentive . room well appoint . bit street noise evidently & quot ; garbage pickup & quot ; morning . otherwise great hotel location . printer 's row area , near old stock exchange . close quite bit right bus line . negative overnight parking rate seem high even Chicago . not help 's surface parking lot right across street , not appear anyone tend . would enjoy hear 's anyone 's try lot 's attend lot nearby someone use ? 's Hackney 's ( local Chicago favorite american food restaurant ) within walk distance well potbelly sandwich place right next door . be also 24 hour convenience store 's well stocked ( 7 - 11 ) right around corner . 
 Oct 3 2009 	 Pleasant Stay Hotel Blake 	 impress comfort room courtesy staff hotel Blake Chicago . bed room exceptionally comfortable , amenitie complimentary cocktail continental breakfast definite plus . continental breakfast unusually high quality . important , value price exceptional major city . hat ! 
 oct 2 2009 	 comfortable modern great location . 	 Blake downtown chicago short walk Lakefront even short walk lot really nice restaurant . comfortable room excellent service . would stay , sure . 
 Sep 19 2009 	 affordable comfortable stay downtown Chicago 	 Chicago five - day conference stay Hotel Blake . came sightseeing well . room extremely spacious , bathroom , good - sized desk , couch , free internet access . hotel also serve light continental breakfast . staff friendly helpful . like decor . book reservation use online vendor , significant discount rack rate . find hotel superior other stay downtown Chicago . two block subway . 
 Sep 19 2009 	 mostly positive exerience . 	 Stayed Blake wife town business . & quot ; mostly & quot ; positive experience . desk staff night door attendant extremely helpful polite . room slightly small . however , furnishing date . negative day / morning door attendant get little snippy wife ask would store bag hour . besides , mostly positive experience . disappointed stay Blake . 
 Sep 15 2009 	 friendly helpful staff - Clean Comfortable Room . 	 select central convenient location , pleasantly surprised comfort room friendliness staff . truly one good bargain Downtown Chicago . book least two return trip soon . 
 Sep 14 2009 	 great value 	 Hotel Blake lovely hotel spacious standard room huge , beautiful bathroom . location Printers row extremely handy easy walk shopping , theater , Grant Park . front desk friendly helpful . would definitely stay again . the one small problem small amount mold spacious shower . 
 Sep 9 2009 	 Acceptable Hotel 	 please stay . staff friendly extremely helpful select dining location . check bag early day obtain late check - out follow day ( 2:00 p.m. ) reserve one king bed request upgrade check - in got . room spacious clean comfortable bed . in - room safe . good , shower . shower huge half - door amazingly water stay contain within shower . negative access room get elevator , go 4 - 5 step access room . luggage heavy bit nuisance luggage . 
 Sep 4 2009 	 pretty bad . 	 stay hotel refrigerator leak dangerous gas . pregnant decide stay somewhat decent hotel . reasonably price one could get last minute . come find mini frig . , computer access unreliable ( also student paper due ) , business office 1 computer expect use briefly , show breakfast rudely tell come back . breakfast avail . 7 am show 7:05am . bad leave message manager call . never . call day later . try get phone saying would call back yet hear . oh , forgot , offer drink ticket nearby restaurant exchange problem . mention pregnant ? one good thing doorman . probably well ever meet . 
 Aug 27 2009 	 excellent location friendky staff 	 back 3 day Chicago . find hotel blake lonely planet guide book . excellent location , nice big room friendly staff . unfortunately wi - fi connection work properly breakfast expectation , whole good choice 
 Aug 26 2009 	 always choose Hotel Blake ! 	 love Chicago love Hotel Blake . stay every summer past 5 year . usually stay least 4 - 6 day . the hotel good location one take short bus ride get Field Museum walk couple block get Michigan Avenue touristy stuff . the room large , well decorate extremely clean . get upgrade premium room would love suite ( loyal patron ! ) staff friendly helpful . give we good tip good restaurant nearby . we always come back Hotel Blake wonderful stay . see next summer . hotel deserve high star rating ! ! 
 Aug 21 2009 	 Blake Hotel good everything great stayanytime . 	 return Wisconsin wonderful 2 day stay Hotel Blake Chicago . my wife find Hotel internet . need Hotel would close sight want see . enter Hotel find Consierge friendly funny . front desk clerk also friendly attentive need question . enter room please size cleanliness . room faceddearborn noticable noise issue . quiet . say , next trip Chicagowill include wife stay Hotel Blake . 
 Aug 20 2009 	 Blake exceptional hotel 	 wife , four year old son , stay Blake two night . hotel nice , contemporary , hip . view suite great , Sears Tower block away . free continental breakfast nice variety choice . employee friendly know area Chicago quite well . room clean decorate like style make we feel right home . go back future would recommend Hotel Blake anyone visit Chicago . 
 Aug 18 2009 	 great leisure get away 	 husband stay Hotel Blake first overnight trip Chicago . mainly choose price purpose trip explore city . not use valet service since take train Indiana please discover hotel 5 minute walk train station . Greg door man helpful , check promptly room immaculate . Loved Gilchrist Soames toiletry shower ! bed super comfy room spacious . abundance shop restaurant immediate area , far away . eat dinner Hackney 's Irish Pub ( recommendation Greg ) authentic pub grub ' ve well fish & amp ; chip England . Greg also suggest great jazz club Clark St. call Close 2 , change evening , drank cocktail Custom House restaurant set great night live music . , opinion , be go get away not mind get little fresh air ( everything want less two mile away include shop navy pier attraction ) take inexpensive cab ride destination recommend Hotel Blake . price excellent , great service , quaint neighborhood , yummy drink food . 
 Aug 13 2009 	 Hotel Blake - Gem 	 first trip Chicago . Hotel Blake recommend we friend . rate excellent location central ( walk distance Art Institute Millenium Park plus ) . also easy access Interstate , room beautifully appoint large , necessary amenity . staff courteous , friendly helpful . hotel quiet , necessity we . the two drawback follow : 1 ) shower bathroom & quot ; half door & quot ; , i.e. , way close result , quite bit water floor shower , matter careful . 2 ) continental breakfast excellent , limited seat area breakfast serve . seem well idea carry breakfast room place sit . these minor complaint . general , enjoy stay Hotel Blake immensely ! thank . 
 Aug 11 2009 	 lousy child sleep floor 	 would recommend hotel anyone , meet star quality rating . Pre pay 2 room , ask adjacent , close proximity one rollaway child . problem front desk say around 2 pm per phone conversation . when arrive tell roll away , give already checked pay . pre pay , say desk clerk , even call ahead . pre pay Priceline say demean manor . ( financially rape hotel pay 140 per room per night ) . son sleep floor , offer suite visible complaint front desk husband , floor mother small child , forget say . we leave mother 2 small child room next morning dive harbor . find morning room service , go without breakfast . appproximately 0615 leave hotel travel short distance harbour dive . meet road block every block . take we 65 minute get harbour dive charter drive boat meet we marathon go . ya think front desk could give we head come event next morning , check ? staff Blake could careless guest . 
 Aug 3 2009 	 definitely value money 	 second stay Hotel Blake 's definitely recommend . location Printers Row point interest – eg good little local restaurant , Millennium Park Art Institute within walking distance . local transport close want go N Michigan area river . the hotel staff friendly , welcome helpful . room comfortable , be great something different usual bland hotel decor . all , blake good quality hotel reasonable price . 
 Aug 1 2009 	 Outstanding ... good place Chicago 	 Hotel Blake awesome . service phenomenal . room HUGE . exercise facility outstanding . Custom House resturant wonderful . go ... say enough good thing Hotel Blake . planning stay Chicago trip . 
 Jul 30 2009 	 luxurious surrounding excellent service comfy bed 	 find Hotel Blake hotels.com , & amp ; great find . room spacious , great view city , bed wonderful . hotel staff extremely friendly & amp ; gracious , always eager meet need . location convenient get museum & amp ; site around city use public transportation . use taxi , another big saving . rate reasonable , yet hotel feel something much expensive . would definitely stay ! 
 Jul 21 2009 	 modest hotel good location 	 might historic hotel show age . room even public area badly need renovation . location great walk Magnificient Mile surround area 's . got great price Priceline & quot ; name price & quot ; 4 star deluxe hotel . would rate 3 star . happy stay room thae price definitely pay retail . 
 Jul 21 2009 	 Loved ! ! 	 husband stay wonderful hotel June 3 - 6 . love . hotel super nice staff really friendly . like area , close everything . actually book fair outside day leave . really nervous area never stay downtown Chicago one time . work great we . go site seeing go see family suburb . close transportation . think take we 5 min get . eat Potbelly 's next door yummy . perfect quick lunch back sight seeing . would definatley stay . think really bother vent look like need replace . think grimy end paint . consider old hotel , nicely update decorate . great view street barely hear anything . sleep 10 11 maybe hotel 8 seriously noise issue . favorite thing hotel bathroom , killer ! ! oh , careful floor go get ice . husband went say quite scary especially 11 pm . can not wait go back give hotel A+ ! ! 
 Jul 17 2009 	 New City 	 daughter travel City register college . attend Columbia College fall . idea stay , eat tour city . hotel perfect every way stay . close walk access college , free breakfast every morning , across street Lakefront ( love run could easily get lake path ) , friendly staff . know evening staff know send we get around . hotel extremely clean beautifully decorate . hotel choice time visit daughter Columbia . 
 Jul 17 2009 	 Excellent hotel Loop solo traveler want good value 	 recently stay Hotel Blake leisure trip Chicago 5 night 7/7 7/12 . say good thing stay . consider want pay less $ 150 / night travel Chicago stay would via public transit , hotel excellent location , close various Chicago & quot ; L & quot ; station many line ( Library stop Loop , Jackson stop Blue Red Lines , LaSalle stop Blue Line , Harrison stop Red Line ) . though area near hotel not build - up location downtown Chicago , still restaurant convenience store nearby ( latter , 7 - Eleven CVS , utilize numerous time ) . service hotel good - room clean thoroughly early day , free , 24 - 7 internet access ( though one computer sometimes wait get ) , continental breakfast available morning ( though use day check option somewhat limited ) . cool unit room work well , make comfortable sleep . room , even excellent view Sears Tower ( never Willis Tower besides , still officially Sears Tower ! ) . staff seem friendly enough , though not need service much stay . all , Hotel Blake serve excellent base operation stay Chicago ( primarily involved go pair cub pair White Sox game , ride around CTA & quot ; L & quot ; system , check major train station , check various neighborhood attraction via transit foot , take day trip Milwaukee check city go Brewers game - Hotel Blake probably 3/4 mile Chicago Union Station ) . would definitely interested stay Hotel Blake future Chicago visit rate remain relatively low . 
 Jul 16 2009 	 Motel 8 well service ! ! ! 	 planning trip see Chicago first time w / several friend month spend week make sure stay luxurious conveniently locate hotel downtown Chicago . unfortunately hotel offer we nothing one headache . check room realize room two queen size bed reserve . confront front desk staff reply huffy manner ' problem " LAW " hotel ' obligation room lovely establishment . ask speak manager tell we ' manager duty ' go manager come . proceed let we know would able put we room 2 bed next day roll - a - way current evening . 3 call front desk 3 be still roll - a - way room ! let we know ' roll - a - way us evening someone check - out midnight could move room night . friend give handicap room , ' huge deal accept fact room décor ' nearly nice non - handicap room shower head low accommodate someone wheelchair . clearly ' realize handicap people travel people wheelchair different disability . friend call front desk see could move room tell ! friend ask could unsatisfie say could give drink ticket bar already close evening . next morning call see could room move front desk say . ask speak manager surprise apparently manager duty next day either . appal hotel ' guest ask staff help accommodate response seem " " . run - in establishment . strange travel working hotel establishment . currently work 4 star Travel + Leisure top 50 hotel North America reservation department . , yes expect exemplary service know provide . time forgiving shortfall know hotelier face situation . ' unfortunate beautiful well locate hotel sense service ; may due lack management . 
 Jul 13 2009 	 Dissappointed - not other saying 	 stay two night hotel book price other say hotel TripAdisor . dissappointe . day shift bellhop rude minute get car . ( night shift bellhop , Greg , excellent funny ) arrive 3 pm realize 8 pm 2 towel room ( 4 room ) call towel , get towel 8 6 housekeeping ! many place eat shopping , close 5 pm 7 pm . concerned call ' secure parking ' part $ 39.00 valet parking . car actually public parking garage underground key stay car window ( flys bugs crawl ) , take every hotel . room ok ( charge extra $ 50.00 checkin refund leave long not mess room steal anything ( ha ) - bed comfortable , hard . next time , stay River North area , eatery , shopping , Navy Pier close ' el ' train subway . 
 Jul 9 2009 	 Blake Hotel Chicago - WOW ! ! ! 	 first time Blake Hotel Chicago . would definately go back . service excellent , well service past . Jesse , doorman helpful information certain eatery locate also th good way get around town . room fantanstic king bed large walk - in shower . staff courtious time . continental breakfast also good . overall , would say stay Blake relax general excellent experience would . 
 Jul 8 2009 	 Weekend bust due hotel blake 	 book Blakes website month advance deal room cancellation allow . get ramp congress .9 miles hotel take 2 hour get due traffic . finally show deal traffic come find give away room stay hotel night . good start since go Brewers / cub game morning bright early . end put we holiday inn night free pay taxi get we . park car hotel night hope need . get holiday inn , record Blake send we , 4 reservation one . another wait , write name person reservation Blake ( sure person show ) . get room , smoking room ! girlfriend allergic smoke room . horrible night , wake pack bright early go back blake . find holiday inn complimentary breakfast like Blake go . take cab back blake , go luggage check since room would available 3 pm 3 hour Brewer game start . get luggage check , say could breakfast . bad possible breakfast ever see . one guy cut toast bagel 4 slice toaster , pound cake cut wrap individually honey bun . juice stick bucket ice run even cold . bagel girlfriend get mold bottom bagel well . go game ( brewer kill 11 - 2 ) get back , upgrade we large king size room . room nice well maintain . wake next morning , hot water ! call front desk bring key card take show open room nice . end take total help end make thing somewhat right . seem like decent place long room go breakfast . good location . 
 Jul 7 2009 	 not spend Money expensive Hotels 5 Star Service ! ! ! 	 wife spend 4th July holiday ( 3rd thru 6th ) Blake suprise ! read survey leave , bit confused make right decision . take 3 second put mind ease . arrive , Greg & quot ; Showtime Blake & quot ; ( doorman ) greet we like royality ! Welcome Blake boom voice , like good client ever grace hotel . approach reception desk promptly tell extremely glad we . Michael deskman say problem , upgrade suite extra charge ! head spin like crazy ! ask , reply want enjoyable stay we . happend within first 3 minute arrival . would stop , would satisifie , ! take suite , door open penthouse , suite ! extremely large room complete living room , multiple chair lounger , 42 in plasma tv , 6 piece dining area , wine bottle cool , beautiful dark wood accent huge picture window magnificent view . right spacious bedroom king bed accent rich bedding , another 42 in tv . another right palatial bathroom garden tub , dual basin , full seperate marble shower rainhead . word describe decadance . staff , numerous name , patronize hotel waste hard earn dollar ! wife , thank bottom heart ! see december christmas shopping ! ! 
 Jul 1 2009 	 Charming 	 arrive NY fraught , dirty hot . reception staff Hotel Blake sort first - efficient courteous fault - wonderful rain - head shower bathroom sort last two . room service late lunch good reception , much tempt room service menu . felt completely restore within hour . the bar staff friendly helpful , food restaurant business dinner good indeed . I also greatly appreciate breakfast provide - much ' m use , come UK . location quiet , perfectly convenient , room spacious , bed wonderfully comfortable . quibble , provision one computer business centre - always queue use ! would certainly stay . 
 Jun 22 2009 	 would stay 	 new husband decide spend honeymoon Chicago , much look , find good deal Hotel Blake . new city would stay numerous time never stay south river . , pleasant surprise ! hotel wonderful . room great . bathroom huge . grant , refrigerator microwave , survive nicely without . walk everywhere . weather beautiful , take advantage City Pass , get ticket Adler , Hancock , Shedd , Field ( run time not make Science & amp ; Industry ) . walk , also Navy Pier spend lot time Grant Park Millenium Park . while be , get hotel walk . lot restaurant around , walk , delightful place will find . the front desk staff friendly helpful . never make downstair free breakfast can not comment . parking garage around corner $ 39 day , think , in - and - out privilege , never use car . think new favorite hotel Chicago . 
 Jun 13 2009 	 great place stay 	 husband , daugher stay Hotel Blake May - first time Chicago . everything great - hotel staff friendly , helpful professional . room large well appoint , bathroom large luxurious . bed comfortable . continental breakfast ( include ) simply bagel , juice coffee serve lobby , good enough start day . think location good - block waterfront Buckingham fountain . walk Millenium Park Michigan Avenue , Magnificent Mile shopping area Hancock Tower ( recommend view Chicago - go hour sunset stay afterwards get day night view ) . Hotel Blake locate business area quiet evening , concierge / doorman recommend bar / restaurant could walk . also find taxi reasonable . valet parking pricey , check area parking seem quite expensive . convenient safe , worth we . son since stay Hotel Blake weekend king bed room also positive experience - room large , luxuriously appoint comfortable staff great . Chicago , definitely stay Hotel Blake ! 
 Jun 13 2009 	 fool photo ... 	 choose hotel photo online price package Priceline . generally trust site always double check Trip Advisor obvisouly slip . greet Lobby drunken guest , andf super loud doorman . tell counter agent flight 10 hour late , early morning meeting put floor girl night party face street ! temparature Chicago right 60 room freeze cold . call blanket tell ? ? ? ? huh ? amenity dinner bag Hot Fries 7 - 11\ park car going pay $ 39.00 park . kid ? okay , think deal dud ... 
 Jun 10 2009 	 Excellent stay Hotel Blake 	 stay Hotel Blake Chicago , Illinois May 9 May 15 . service hotel great . people front desk / doorman / cleaning lady friendly helpful . room clean nice .... bed comfortable . love location hotel . 's locate south end downtown area . lot nice restaurant near hotel . walk Art Institute , Millennium Park , downtown Michigan Ave shopping . catch bus Field Museum , Navy Pier Chinatown . price hotel reasonable ( get 30 percent discount spring sale hotel ) . complaints- refrigerator microwave . definitely stay hotel recommend anyone visit Chicago . 
 May 12 2009 	 great value Hotel Blake Downtown Chicago 	 travel frequently Chicago business first stay Hotel Blake . really impress Hotel attach restaurant . check / friendly , fast , easy . room extremely nice overall facility excellent . would strongly recommend Hotel Blake business leisure travel . great value , great location , great place ! 
 Apr 21 2009 	 Great Hotel Great Price 	 although be situate middle everything , main attraction Chicago relatively close either walk ( time ) , utilize bus / train take cab . cab ride place $ 10 ( include tip ) . hotel nice , room spacious , bed comfortable , shower nice , thing make hotel great one service . people work front desk well doorman ( Showtime particular ) friendly , matter need extremely accommodating . often ask be go happily give tip suggestion , sometime even coupon deal . fiance throughly enjoy stay would hesitate come back . 
 Apr 15 2009 	 nice classy hotel 	 Love hotel ! neat clean . comfortable bed . beautifully decorate . great location . friendly staff . price unbeatable ! not use vallet parking vehicle cost much one night stay ! 
 Mar 29 2009 	 Acceptable spectacular 	 husband recently vacation Chicago four night Hotel Blake . room nice little , seem reasonable Standard King $ 117 night ( AAA member ) . upgrade King room desk furniture , internet work hotel , desk seem worthless . bathroom huge . notice room coffee maker website indicate , mention desk woman kindly write , never hear . go back next night ask person , tell hotel full coffee maker available . seem acceptable , make issue . make issue , perhaps would ' ve get coffee pot , be fun vacation . continental breakfast offer 7a.m . came get coffee p.j 's . one night , husband get waft sewage smell . one night , fifth floor . read review Oct. 2008 someone also smell sewage 5th floor . warm weather , might concerned bad ? not know deal there . the door man nicest helpful people . desk reception cordial , respond though ' ve push button pre - program response . suppose 's funn job world , door man seem make . would not expect reception solve problem , unless problem , 's reason find reception unacceptable . hope problem . will look place future , price certainly right . 
 Mar 16 2009 	 enjoy Blake : nice boutique ( -like ) hotel ! 	 Located Printer 's row district ( Loop - South Loop border ) Hotel Blake , center action , conveniently locate . easily walk , ride either bus El Train interesting venue . good lot restaurant ( Potbelly 's , Amarit ( thai ) , etc ) coffee shop ( Starbucks , Panera Bread ) neighborhood not want eat Custom House , main floor hotel . , walk Loop enjoy well . regard room , well furnish seem quite newly renovate . light sleeper : ask room away street windows thin let street noise go usually . downside : loose view . call boutique hotel , would say be fairly close edge & quot ; mainstream & quot ; hotel . aside , staff desk friendly , yet joyful , completely opposite doorman , always willing help we journey ! time cheap comparable hotel , Blake definitely good bet ! 
 Mar 16 2009 	 find ! 	 stay Chicago every year Hilton St Paddys Day Parade . year go limb stay Blake half price . thrilled boutique hotel . location great ( 1.5 blk cta blue line , come O'Hare ideal ) . 3 blk Michigan Ave several store , restaurant , coffeeshop area quick pick - up . staff friendly room spacious , nicely decorate , clean . could tell hotel try provide special extra make stay memorable . also provide basic continental breakfast , great . go bar restaurant look lovely . hotel also free access work area free WiFi , Hilton provide . new favorite hotel , get - away kid ! ! ! 
 Mar 10 2009 	 Nice stay hotel Blake 	 spend four night Blake . location convenient : near blue train close Art institute . room clean , pleasant quiet . not try breakfast look ok . overall nice stay hotel Blake . 
 Mar 3 2009 	 Splendid time Hotel Blake ! 	 husband spend four night Blake last week splendid time ! room bathroom spacious well appoint , bed comfy great view Harold Washington Library . Hotel Blake serve complimentary continental breakfast ... appreciate ! great location , close & quot ; L & quot ; subway walk distance Art Institute , Cultural Center , Buddy Guy 's theater . first time Chicago look forward return ... stay Hotel Blake ! 
 Feb 16 2009 	 great weekend Blake 	 girlfriend decide weekend getaway pick Blake Hotel price location . blow away service , friendly employee excellant location . locate mile two Sears tower , Amtrak Museum Campus , find extremely easy navigate way around town . minute cab ride restaurant north we , bar anywhere city . room clean modern not worry bother staff . question regard location , staff assist we map door man hail cab direct we different place around city . would go back heart beat . would also recommend city pass , $ 59 go 5 spot around city . go Shedd Aquarium , Sears & amp ; Field Museum . pass good May , keep voucher another day . also allow skip line see show normally cost extra . 
 Jan 3 2009 	 great hotel 	 read previous review wife decide take chance Blake . experience none thing reviewer issue plan stay hotel next time go Chicago . staff courteous helpful , point we direction good local restaurant make sure knew way head public transportation . good find great part town ! 
 Dec 6 2008 	 great location 	 stay hotel conference December . location hotel good . near Museum campus , Grant park , art institute two block away blue line subway . Panera Bread nearby , grab breakfast lunch easy . the reception counter nice friendly . name Desiree . first stay Hilton Hotel , block away , move hotel problem reservation . arrive early , around 10 . Desiree learn head conference , search clean available room let we check right away . thank helpful . Hotel Blake really good value money . cheap Hilton similar location room amenity . look grand entrance fancy lobby , think Hotel Blake good choice . wireless connection free , charge 5 star hotel Chicago . 
 Oct 31 2008 	 Great Place Location 	 contrary many conflict review , stay Blake October 1 - 5 amazing time ! check - in smooth welcoming . drive Chicago late check doorman helpful pleasant point we Edwardo 's across street Chicago Deep Dish pizza . get amazing deal hotel Old Printers District . not let anyone tell hotel great area true traveller , accessible everything either foot take local transporation - short 20 minute walk Field Museum Shedd Aquarium - beautiful walk along water far outweighs cab ride get experience Chicago . short walk Buddy Guys legend absolutely amazing ( thank Showtime - front doorman think make Blake even amazing - 's hub Chicago give great tip ! ) . price pay hotel would say room great . yes , slight odour Hotel hallway , extremely old re - furbished building quite frankly not & quot ; ruin & quot ; stay . room large boutique like bed super comfortable . Maid service great coffee downstairs every morning . not hang hotel busy see Chicago great place come end day . oh , yes , noise night hello ? ! use big city , welcome ! big city , big noise . , nothing ruin stay , accept hotel Congress Dearborn busy intersection . get Blake Hotel reasonable rate , really truly beat . plan visit Chicago awesome would re - book Blake ? absolutely would ..... thank Blake Hotel make first trip Chicago memorable one . 
 Oct 5 2008 	 bad experience 	 come Oct 5th 2008 4.30pm . ( funny today ) . give Rm.520 . within 15 min could get septic drainage smell inside room thru vent call guest service . say , give another room type room . smell hallway stink . room man say & quot ; least not smell inside room & quot ; ! ! make thing even bad , previous room even drape . , please think twice choose hotel . get soon . 
