` 	 past week stay Sutton Place Hotel downtown Chicago . attend medical conference location hotel , within walk distance & quot ; Miracle Mile & quot ; , downtown Lakeshore make perfect location . & quot ; stay many Chicago 's fine hotel , many typically price well level Sutton Place Hotel . never stay fine hotel Chicago . comparison , medical conference hold & quot ; Five Star & quot ; hotel , five minute walk distance Sutton Place . several room & quot ; Five Star & quot ; hotel guest fellow physician . fact stay & quot ; Five Star & quot ; hotel several time past , yet without question Sutton Place Hotel finer , opinion , respect . Sutton Place Hotel 's price one quarter & quot ; Five Star & quot ; hotel . place Penthouse Suite Sutton Place , perfect view , room spotless . room service attach restaurant / bar excellent . hotel offer business center guest able use internet free , allow leave laptop home . valet parking rate , hotel validation , good deal . would HIGHLY recommend Chicago traveler , business pleasure stay Sutton Place Hotel . 
 Jul 7 2009 	 Excellent Hotel would stay 	 thank review settle Sutton Place glad . worried would ideal location touriste wrong . Chicago big can not ideal location everything ! walk distance Mag Mile Hancock building , across street good chicago restraunts nightlife . hotel clean efficient although bit pricy . in - room coffee ( $ 15 room service ) , on - floor ice machine ( free room service ) . internet cost $ 10 etc ... expect high end hotel . Beds AWESOME . comfortable clean . & quot ; splurged & quot ; Jr Suite nice . stayed 11th floor high want view still excellent . very nice staff decent conceriege although mistake mostly fault ask right question . able call downtown ask reservation Gibsons get problem line . would definitely stay and/or suggest friend . 
 Jul 3 2009 	 great location 	 great location N. Rush - lot cafe , bar , restuarant right outside . hotel lovely , staff polite great rate travel - ticker - $ 99 . bed extremely comfortable . parking $ 48 24 hour . 
 Jun 30 2009 	 absolutely place stay Chicago 	 two day Chicago need make count , hotel perfect every respect . right centre everything , not spend much time hotel sleep . room bathroom spotlessly clean , bed comfortable service impeccable , hotel definitely base next time come Chicago . per previous review , breakfast little pricey , make good use lovely little pancake house opposite . 
 Jun 29 2009 	 Birthday Trip 	 love everything close feel great enjoy weather able walk beach , Michigan Avenue ! ! : ) hotel great decision celebrate birthday ! ! ! ! 
 Jun 29 2009 	 Phenomenal ! ! 	 amazing Hotel ! stay wife leave Honeymoon great time . service great ( Bell Captain , Front Desk , Housekeeping Staff .... everyone friendly ) Suite well . go dinner Gibsons Steakhouse , right across street , walk around neighborhood take afterwards . location hotel ideal ! look forward next stay . 
 Jun 27 2009 	 Awesome location spacious room ! 	 great spot stay fun weekend Chicago ! awhile since last visited city , Sutton Place right heart ! 's tuck Rush St. Michigan Ave . , far John Hancock Center . lot cool restaurant nearby , great shopping Michigan Ave . , cool bar style within easy walk distance . room fantastic ! stay junior suite , corner room large window make expansive view city . way even sleep get back early , still feel like middle . noisy , though , trouble sleep . staff curteous attentive , valet parking convenient . not spend anytime restaurant bar hotel ( think breakfast little pricey , especially since many cute restaurant area ) , take advantage late - night room service . price reasonable give everything hotel offer phenomenal location . would certainly come back ! 
 Jun 22 2009 	 always stay Sutton Place 	 stay Sutton Place tird straight year year visit Chicago . top notch hotel , great room , good service . could spend less , close beach , surround good restaurant , quaint relax area city . could stay anywhere , stay . 
 Jun 15 2009 	 WONDERFUL stay ! 	 actually live Chicago parent town decide would give condo cozy bed stay hotel take condo ! block home check Sutton Place , nice welcome , quick easy check . room great , spacious amenity bed unbelievably comfortable ! bathroom , favorite room , large , great lighting exceptionally clean ! hesitant give condo night street would heartbeat Sutton Place ! 
 Jun 12 2009 	 three star hotel four star price five star location . 	 stay hotel three day far . good thing hotel reason would recommend come back location . heart Rush Street scene short walk everyte else include Magnificent Mile Art Institute . everything right outside front door - numerous great restaurant , shop i.e . Barneys New York shop Oak Street . small park across street nice day appear center activity neighborhood . hotel , sit hotel room look around hard tell difference room one Holiday Inn . hotel pool lobby small . outdoor patio seat area part hotel . see would qualify hotel ' facility 4 star . maybe 3 star plus . plus one factor really disturbs pay additional $ 9.99 day room wifi pay $ 200 night hotel room . bother pay go park mention huge Starbucks next Barneys New York free wifi . say would recommend hotel stay want stay neighborhood could get good price room . could get Sofitel 2 block away Rush Street price , would prefer go true 4 star experience . great eating experience go wrong outdoor restaurant across street hotel . see pack ( 1 hour 45 minute wait seating ) every night good reason . one thing find spectacular carrot cake desert Gibson ' Steak House . large portion cake ever see - I bet weigh 4 pound . love carrot cake , treat . eat large box take rest home . 
 Jun 10 2009 	 Pleasant hotel 	 Sutton Place boutique hotel , extremely small lobby , practically , non - existent ; however , staff friendly , helpful & amp ; accommodate . hotel surround many nice restaurant , store , nightspot . really great location . spend 2 night May'09 junior suite . modernly decorate , nice plush bathrobe / slipper , room much less amenity expect Junior suite . comfortable , clean , impressive . suite 17th floor view Chicago fantastic room . pleasant stay ; Pancake House restaurant directly front hotel serve delicious breakfast . would definitely stay hotel 
 Jun 9 2009 	 great place stay Chicago . 	 husband stay great little hotel past week - end June 5th 7th , get back Chicago would want stay Sutton Place . location fine we , trendy area 2 3 block great shopping Magnifient Mile . also plus location wonderful restaurant step away , eat LUX bar , Travern Rush , Hugo Frogs Bar . walk Navy Pier take we 30 min . easily find taxi right front Sutton ever need . hotel , lobby fairly small , room ( 1405 ) huge , along bath separate shower stall tub . extremely clean great water pressure . enjoy use complimentary bath robe . negative bathroom magnify mirror . bed king size comfortable . one good thing place staff , helpful , competent , friendly especially concierge Cheryl Rule , fantastic job we . 
 Jun 5 2009 	 worth every penny ! 	 stay hotel several time . centrally locate , quiet despite busy active neighborhood . staff excellent , place always clean fresh , decor amazingly soothe view downtown and/or lake breathtaking ! last time stay hotel , host birthday sleepover son friend . kid LOVED penthouse get , view lake incredible , low level spacious kid friendly , big screen television surround sound , perfect movie watching adventure . 
 Jun 4 2009 	 Wish stay night 	 spend night Sutton quick overnight trip impress . staff welcome check - in seem genuinely interested stay check - out . offer complimentary car service driver personable ( pleasantly chatty ) , . stay room 614 tuck corner end hallway , quiet . face Bellevue Rush concerned may street noise , ' . room incredibly spacious sit area , decent sized desk / chair plenty closet drawer space . tastefully decorate large flat screen tv . bathroom also big include shower separate jacuzzi tub . two minor complaint : 1 ) light seem bit dim even bright ( really issue night ) , 2 ) ' enough outlet . cel phone laptop plug , yet need finagle . use fitness center morning , ample equipment bit cramp . ' steer clear room around 509 , fitness center right across hall ( 510 , remember correctly ) . seem like could slightly noisy ' right next door across hall . room service tasty price less line ' expect room service ( high ) . offer " recession menu , " , although ' order room service guess ' terribly concerned save $ 2 … overall really happy stay would ( already ) recommend friend . 
 Jun 2 2009 	 Sutton Place .... EXCELLENT VISIT 	 wow ... hotel , view location fabulous ! highly recommend hotel . 
 May 31 2009 	 great hotel near Mag Mile ... love ! 	 skeptical hotel first , since ' m use stay right Mag Mile since get good rate Priceline . ' m happy say prove wrong ! hotel beautiful staff nice accommodating . location great ! Gold Coast area close Mag Mile . however , neighborhood feel . go breakfast place across street place call Tempos block away . place great ! 's good thing early riser , line breakfast every day finish ! go Tavern Rush , also across street , lunch . great place people watch ! el station block away , could easily get Wrigley . ( go cub ! ) also beautiful area walk around LOTS shopping ! definitely stay next Chicago trip ! 
 May 28 2009 	 Class Act ! 	 stay 4 night Sutton Place Hotel pleasant comfortable stay , add another night ! 3 time stay hotel hope would good past since last trip 4 year ago - hotel good remember . the Sutton Place locate wonderful location Rush Street right heart elegant shop , club great restaurant ( weather allow ) outdoor cafe happy Chicagoans enjoy infrequent sunshine . outdoor cafe remind Paris . our room , past 3 stay , perfect ! city view little money lake Michigan view , opt gorgeous city light . room size right bed linen top quality luxury . the good fabulous bathroom - large perfect two . pleasure able soak large soak tub husband shower time . sure convenient rush meet friend dinner . the staff friendly , maid service time efficient . bar restaurant ground level , bar jumping stop every night rest evening town . right across street pancake house wonderful breakfast ( long line weekend ) fun , lively bar restaurant call & quot ; Lux Bar . & quot ; food delicious reasonable later find & quot ; Lux Bar & quot ; own & quot ; Gibson 's & quot ; high end , expensive steak house , wonder food drink great ! like much , go back second time manager buy we drink appreciation - nice . I love Chicago , rain time spoil trip stay Sutton Place walk cab distance everything city ! Sutton Place large hotel 's charm . personal touch get small hotel , staff recognize treat like really happy stay there . I would not want stay anywhere else ! 
 May 27 2009 	 one nice hotel ' ve stay 	 boyfriend go Chicago Memorial Day weekend . find great deal Expedia ( $ 109 / night king room ) , upon check , informed receive complimentary upgrade junior suite . suite large corner room clean , spacious , modern . excellent view city part town wide variety restaurant shop block Michigan Ave . staff friendly minute call let know would late arrival checkout three day later . extremely pleased whole experience would return without hesitation . 
 May 4 2009 	 Perfection 	 husband stay Sutton Place 10 year anniversary could happy . moment walk , need meet . arrive early able check right away . room beautiful , sleek , clean bed comfortable bed ever sleep flight attendant many year , ' ve stay many hotel . staff attentive , knowledgeable extremely friendly . location awesome close everything ! ! happy definatetly stay . wonderful ! ! ! ! ! 
 Apr 29 2009 	 Fabulous ! 	 take husband 40th birthday another couple join we . staff friendly courteous . door man wonderful right whenever need . room clean every night note bed advise weather would like next day . avoid order coffee room service , $ 15 US 4 small cup . complementary coffee lobby 7:30 a.m . otherwise walk one block Corner Bakery Cafe , also great light breakfast reasonable price . Gibson be across street nice place lunch be 2 block Magnificent Mile shopping ! otherwise cab beck call take anywhere ; however , may like drive ! fast pace city definitely must visit ! ! ! ! 
 Apr 23 2009 	 know ? 	 stop desk ask black lady buying bus pass print boarding pass , direct currency exchange buss pass tell go business center boarding pass . keynote say hotel sell bus pass print boarding pass ; could not services perform right ? russian Czech lady front desk , use nasty tone another gentlman desk ; immediately stop turn around . walk 4 - 5 block get buspas , find give wrong train information . big disappointment . 2 day stay , different operator one direct right place .. thank Missy Shawnna . 
 Apr 20 2009 	 good location ! 	 great hotel , good location city ! exc ellent staff , super nice , responsive need . first assign smoking room , ask change , bring new key we , walk we another room ! corner room , lake view , spacious . hotel clean , modern look . 's fancy Four Seasons , everything need feel like visit Chicago class ; - ) hotel near good shopping , lot wonderful restaurant , great late night spot . whiskey bar Hotel , great spot drink watch people street pass . Doublin be across way , serve food 4 am ! Jilly 's great piano bar ' Rat Pack ' rendition 2 am . be must stop least 1 drink , bottle champagne . price reasonable . Staff Hotel get big kudo ! well train customer service , make stay feel special . keep good work , Sutton Place ! 
 Apr 14 2009 	 Best Location City ! 	 room large beautiful contemporary decor , great bathroom ! love shower course robe great touch ! good part step away good shopping , dine great jazz ! will definately back . 
 Apr 11 2009 	 fantastic hotel amazing location even great staff ! 	 absolutely love staying hotel . stay one night since next day fly back home . room 18th floor look city even tiny bit Lake Michigan . room great , beautiful european style interior , great bathroom , fantastic king size bed sleep great . what make stay good though service . Booking.com parse reservation , however friendly people desk , make sure room nonetheless . Samuel , bring bag , fantastic friendly guy one definitely talk . Garry , concierge , know perfect recommendation restaurant blue club really take time we . overall general atmosphere fantastic people work great ( also Heleen Cameron , forget ) .p.s . sure enjoy Jazz / Blues backroom - walk distance 
 Mar 30 2009 	 Sutton Place Hotel Chicago good location offer friendly service make pleasure trip . 	 recent stay Sutton Place Hotel fabulous . first minute arrive , every staff member offer polite , professional service genuinely seem love job . pet friendly hotel heart Gold Coast . location great locate next great dining shopping . my room awesome view , clean great amenity . highly recommend hotel anyone travel Chicago . 
 Mar 6 2009 	 Best Chicago - Sutton Place 	 ' ve stay many hotel downtown Chicago , Sutton Place absolutely favorite ... hand . husband return 4th trip Sutton Place , four trip wonderful ! location great , room fabulous , make hotel top - notch staff . Gary , head doorman , make feel like one guest stay hotel . FANTASTIC ! ! couple block Michigan Avenue Water Tower , several great restaurant nearby ( must try Gibson 's Steakhouse look place eat .... plan ahead .... definitely need reservation weekend ) . treat stay Sutton Place . will not disappoint . 
 Mar 5 2009 	 good place stay Chicago business trip 	 spend 2 night - room much well average . clean , quite ( 19th floor ) . check / check smooth . good internet connection . $ 10 cab ride Sears Tower . $ 50 ride Airport . lot place eat shop within walk distance include grocery pharmacy . 
 Feb 25 2009 	 absolutely Perfect 	 Sutton Place hotel absolutely perfect ! room 22nd floor give we plenty space , spotless . view spectacular , balcony great place see cityscape ( little chilly February ) . bed extremely comfortable ; well hotel bed sleep . service hotel amazing . never take 2 minute get bucket ice room service . Mark , concierge , perfectly set - up chocolate cover strawberry champagne Valentine 's day . room arrive . Louis , Cheryl drive seminar every morning hotel Cadillac , extremely nice , clearly well maintain . Louis always fun morning . tell hilarious story morning ride . definitely , real character . location tremendous . gold Coast area Chicago , Sutton Place locate block Magnificent Mile . also , good restaurant bar couple block hotel , ( include Hugo 's Frog Bar , Gibson 's Steak House ) across street . Whiskey Bar locate Hotel . overall , Sutton Place deliver understated elegance , impeccable accommodation , outstanding service great value . 
 Feb 18 2009 	 warm elegant 	 wonderful , friendly , classy service door man ( Gary ) , concierge ( Cheryl ) , front desk staff . lobby small lovely cozy , room spacious modern clean . great -- mean great -- mattress . luxurious robe , convenient slipper , big fluffy towel , nice toiletry , excellent shower large , separate tub bathroom make come back . surprisingly good mexican restaurant lobby . many restaurant choice Chicago , eat breakfast , delicious plentiful finish ; tell friend , arrive several day early , dinner exceptional . Cheryl , concierge , get we standby Oprah - show taping , get ! convenient everything , many attraction within walking distance , short $ 4 - 5 cab ride get anywhere want go . Chicago 's Symphony Hall beautiful . 
 Feb 3 2009 	 can not wait stay 	 Sutton Place Hotel simply wonderful ! room large , spotless , extra comfortable bed , view amazing ! hotel staff extraordinary . perfect location dining shopping . could not ask . definitely back . 
 Feb 3 2009 	 Perfect Chicago Location : Sutton Place 	 look hotel centrally locate Chicago , access great restaurant attraction . Sutton Place perfect . room 15th floor nice view city . staff cordial . ask doorman name place could shoe shine . say would . ask would charge , say , & quot ; whatever see fit , sir . & quot ; restaurant choice around hotel excellent , lot must see place within short cab ride . great place , great price , great night . 
 Jan 19 2009 	 would stay fantastic location 	 stay Sutton Place Chicago 2 night . location hotel excellent within walk distance Magnificent Mile shopping could desire . walk everywhere shopping meal . service excellent room small side comfortable . room clean bed sumptuous . good part separate bath shower bathroom . cold snap nice hot bath perfect walk around ! parking charge ( $ 42 / night ) steep side comparable parking town include in / out privilege . concierge doormen friendly offer great recommendation dinner . could get comparable rate ( $ 150 / night ) would definitely stay . walk everywhere . like another reviewer , would also recommend Pancake restaurant across street . 
 Jan 8 2009 	 exceptional choice Chicago 	 recent business trip Chicago find search hotel heart city . choice stay Sutton Place Hotel meet great delight . accommodation exceptional spacious upscale intimate atmosphere . staff extremely professional helpful . location fabulous allow easily get business meeting locally exceptional restaurant . regret stay long . great hotel ! 
 Dec 25 2008 	 ghost Halloween Sutton Place Hotel 	 wife spend 3 night include Halloween Eve participate revelry Division Rush street . hotel fantastic location 1 block away Lake Michigan street line beautiful 4 story brownstone home stone 's throw famous shopping Michigan Avenue Miracle Mile . stay numerous occasion always enjoy stay . take advantage Louis chauffeur get around town . room quiet , clean tastefully decorate . every request housekeeping immediately address . efficient check - in . staff always friendly helpful . love visit Chicago hotel always ice top . 
 Dec 18 2008 	 Excellent Choice ! 	 love Sutton Place Hotel Chicago ! amazing part experience never forget bed ! enjoyable night sleep long time . room cozy , beautiful comfortable feel like home . usually hard sleep Hotels , sleep good feel rest morning ! would recommend Hotel anyone know . hotel staff room location - rate Hotel 5 star ! can not wait go back . it great experience ! 
 Nov 27 2008 	 Sutton Place Chicago ..... First Class 	 overall experience Sutton Place Chicago first class . staff friendly knowledgeable every request handle quickly efficiently . hotel 's location close really good shopping ( Michigan Ave . , Oak Street , etc . ) , excellent restaurant . room nicely decorate great view Chicago 's skyline Lake Michigan . 
 Nov 24 2008 	 love Sutton Place ! 	 exceptional hotel ideal location . wonderful staff - friendly helpful . luxurious bathroom good shower think ever use ! wonderful view , comfortable bed , clean every respect , delicious coffee morning ... heaven ! definitely stay next time ' m Chicago ! ! 
 Nov 23 2008 	 Fantastic ! 	 love ! staff wonderful attentive . room spatious , clean , comfortable . fantastic stay ! 
 Nov 3 2008 	 definitely return Sutton Place ! 	 first stay Sutton Place definitely return . location unbeatable ... service exceptional , room outstanding every way .. return hotel future trip Chicago regardless whether ' m travel business fun . first rate every aspect ! 
 Oct 9 2008 	 Fantastic Evening Downtown 	 wife celebrate friend 's birthday downtown . stay could not well experience . location perfect . plenty fine dining bar option . also close Michigan Ave -- lady love ! hotel service first class . treat like royalty time pull time drive away . can not write enough explain pleasent experience hotel . definately stay hotel ! 
 Oct 7 2008 	 believe excellent review ! 	 choose hotel base tripadvisor review , location , hotels.com total price $ 200 day ( book 9 month advance six night ) . , splurge end ten week Europe trip . location outstanding ! northern end Magnificent Mile , great neighborhood lot restaurant . especially like minute walk Division St. bar pub ( try Butch McQuire 's ) , restaurant street west Mile . feel much nice mile - original architectural gem still survive ( although long ) . find service hotel outstanding . arrive around 8 pm , give low floor room face back courtyard , view machinery . ask another room face front , despite deal hotels.com , immediately move 18th floor room fantastic northern view ( lot low rise go north parallel lake ) . room would expect expensive hotel chain . since be usual ( see review ) , need read other see 's worth full price . extremely happy everything , feel definitely worth money . hilton , Marriots , Sofitels , etc . , cut . case wonder , Sutton Place Hotels , original actually Sutton Place . would definitely stay . 
 Sep 11 2008 	 Impressive Hotel Location 	 celebrate 20th wedding anniversary Chicago stay Sutton Place Hotel Gold Coast neighborhood . could not happy hotel location . room large lovely decoration outstanding view . bathroom also large luxuriously appoint soaker tub separate shower . arrrive bottle chill champagne plate lovely snack waiting room along card congratulate we anniversary . nice touch certainly start vacation right . staff encounter hotel professional helpful . the hotel locate lively neighborhood great restaurant bar short walk Miracle Mile shopping attraction . would definitely return hotel . 
 Aug 11 2008 	 great location tired hotel 	 Sutton Place ideal location - set middle Gold Coast within walk distance ton great restaurant nightlife . block lake terrific running biking path . hotel need major renovating peel wall paper stain furniture . not bother exercise room 's essentially machine size small hotel suite . staff inconsistent - nice professional other . room service delicious hotel restaurant good . 
