far 	 first stay Rio , check four night . Rio seem intent get little money . friendly check - in receptionist try many trick trade get we agree upgrade : first ask we room upper floor view Strip would o.k . , later mention would cost ; engage we personal conversation present document signature state agree upgrade ( even though already say , & quot ; & quot ; ) . evening departure flight offer late checkout 4 pm $ 40 . decline offer noon checkout time additional fee . we happy & quot ; low floor & quot ; room . huge ! view Strip , view mountain light night sufficient . room clean . surprisingly quiet night even though Rio focus entertainment young adult look & quot ; good time & quot ; . ( think Brazil , Rio de Janeiro Mardi Gras . ) in - room coffee maker . call ask , told & quot ; low floor & quot ; coffee maker - & quot ; high floor & quot ; . arriive noon Thanksgiving Day find buffet open . option except pricey champagne buffet dinner since restaurant hotel close . even day restaurant open , option cheap fare . cafe open noon 1 pm , depend day week . starbuck seem least expensive dining option available . ( not accept Starbucks gift card ! ) Rio locate quite distance Strip . unless want good hike , car take Rio 's shuttle ( not start 10 ) sister hotel / casino Strip , be stuck . easy way go downtown without hire taxi . if look & quot ; adult - center & quot ; entertainment bar , Rio . many reasonable option gaming , meal , entertainment Strip . will stay next time . 
 hotel equivalent Wallmart . 	 like noise Casino , ' m talk usual casino hub - bub , love Rio . enjoy haul luggage escalator long distance crowd gaming area , Rio place . not mind wash hand cold water rest room ( man 's least ) , gripe . & quot ; huevos rancheros & quot ; breakfast café bore little resemblance eat anywhere . fairness , room large clean , staff friendly , bed reasonably comfortable . recognize always & quot ; different stroke different folk & quot ; , Rio major disappointment . 
 Oct 29 2009 	 Fabulous Time can not wait go back 	 conference get change Caesar 's Rio almost consider go . big suprise ! Rio friendlist personnel working . front desk maid . hotel room clean , quite comfortable bed . slot machine even pay . go , not miss seafood buffet . $ 40 steep , worth every penny . ever hear creme brulee buffet line real thing . get eat 3 place , none disappoint . Rio Sky show litte risque , much fun . drink people ( waiter & amp ; waitresses ) around every 10 minute , never without . downside , be minor , taxi fair . be $ 20 downtown $ 14 airport . go back soon .. 
 Oct 27 2009 	 conference spot 	 husband travel speak . say conference room food nice student . read review other say trip advisor , say Rio 's problem sit far away main strip . basically true . room old , nicely keep add space get simply give feeling relaxation . see show Las Vegas Gray Line Tours , skip watch show night . enjoy play slot machine , Las Vegas anyway . simply take taxi strip , though probably economical way . would difficult walk strip , would walk busy highway area . look good spacious room nice price , place stay . 
 Oct 27 2009 	 Rio Holiday Inn Vegas 	 average size room basic ammentie strip location make ok experience . pool heat half closed . resturant ok nothing special . price right ok deal . 
 Oct 27 2009 	 upgrade worth ! 	 ' ve Vegas several time always rent car , usually stay Strip well deal , decide try Rio . check ask strip view , say $ 30 / night , jacuzzi suite $ 75 / night strip view , choose . ' m glad , 180degree view , dining room , small kitchen area , 2 bathroom large living room , jacuzzi overlook strip . great . not noise complaint room clean . room upgrade also get 2 1 offer Harrah 's show , choose Penn & amp ; Teller since right Hotel . excellent show ! far restaurant , one go Rio eat seafood buffet , $ 40 / pp service good , ton option , include lobster . not dissappointe . also go spa , fine add 18 % tip bill also give slip sign another tip spot , envelope tip . not really like force tip , prefer tip base service ( always tip ) , seem norm now . we also go pool daily , nice . music not loud not ever crowd . 3 pool include sand pool , plus adult pool pay go , empty every day there . as far casino go , gamble not great , Harrah 's comp not give much . play mostly Rio also Caesars Paris , not even get enough comp $ 10 credit . overall , enjoy stay , would recommend Rio anyone would not mind strip . 
 Oct 27 2009 	 great Time Rio ! 	 first time stay Rio , visit Vegas two three time year belong Harrah 's player club choose stay Rio comp time around . pleasantly surprised room . Ipanema tower 19th floor room clean much big expect , fridge awesome ( many place Vegas make jump hoop get fridge room flat refuse ... fact apparently standard Rio get thumb - get to cold water ! ) room either meticulously care year remodel point everything seem new clean , spot carpet , nice flat screen tv big closet . bathroom vanity area sink mirror sink toilet husband could get dress without other way . Voodoo Lounge Roof pretty much awesome thing ever - take glass elevator 50 story bar half inside half outside . unlike indoor / outdoor club outside portion really part club dj , outside bar go go dancer , smoke patio like club . dance open air 50 story 360 degree view miss ! eat Cafe Sports Deli excellent food service . remember stay Rio not strip ! ! aware take tram problem never wait - although previous trip wait tram 20 min . tram run Rio several location strip 1 . show sky fun happen pretty frequently Masquerade Village area casino . one tip planning stay Rio text & quot ; rio & quot ; 227466 three day go - get discount like 5.99 buffet , half penn teller , etc . advertise get text course 72 hour period not expire week might well ready go plan accordingly - receive text penn teller 5 min show start already strip kind bum would gone know ahead time could get half ! show phone total reward booth give promotion . all great time Rio - friendly service great accomodation ! 
 Oct 26 2009 	 room nicer expect . 	 not realize strip . approximately 30 min walk . provide shuttle Harrah 's hotel every 30 minute still always convenient . end take cab time . get costly $ 10.00 way . fyi look inexpensive stay transportation may costly strip . swim pool adequate spa hot tub service leave desire . need good cleaning . 
 Oct 24 2009 	 Suites 	 stay Rio weekend September . truly enjoy hotel room suite . also refrigerator room make nice bring item convenience store . stay upper level great view strip night . head top hotel enjoy drink incredible view . hotel locate strip - worry - short cab ride shuttle numerous hotel strip . staff always helpful friendly . pub hotel great place watch football Sat Sun . will back ! 
 oct 22 2009 	 hotel forever know crappy hotel 	 Vegas many time past stay different price level hotel honestly surprise bad Rio . first need major room renovation order compete hotel . yes , suite room bathroom mold shower curtain tile , bedroom curtain will not shut completely , fiddle light bulb every time try turn lamp put sour note stomach . would possibly worth hotel strip , since can not even really walk strip safely hotel ( walk busy interstate narrow sidewalk ) 's disappointment . plan stay weekend honestly not plan party night plan awake anyway room not sound proof hear Show Sky hour night . one good thing find hotel spa . receptionist lovely give comp use workout facility since use day spa treatment . however , $ 22 dollar seem little overpriced size facility ( 2 elliptical , 2 bike ) . thank god pay ! windy unable use pool look ok , restaurant . money much well option strip especially research . 
 Oct 21 2009 	 happy stay ...... 	 would like start say little nervous stay Rio bad review , stay nice room Ipanema Tower great view pool srtip ( nice view come back night ) room clean except stain carpet , love size room fact two sink , one shower area one outside ( foggy mirror ) , late need unwind tv pull turn could watch bed , must add comfy . staff nice , not understand many check counter 3 check counter open , check room . arrive around noon able get right room , pool close early day band would play night ( 90 degree day ) little unhappy , go strip instead , problem get shuttle srtip ... would stay fact stay strip many time feel less croud peacfull , like fact frig room .... Liked Carnival Buffet . remember can not always go ther review say learn stay . 
 Oct 21 2009 	 Rio still great 	 friendly staff Rio make stand . sized room ( suite ) make hotel well value . 's location strip compensate convenient shuttle close walk proximity caesars- Bellagio - Paris . pool area great good value . 
 Oct 21 2009 	 Beautiful 	 Rio great hotel strip . husband travel bowling tournament Las Vegas . decide stay Rio group . one good decision make . since Rio strip make travel much easy strip . rent car week use visit Hoover Dam , Red Rock Canyon , Grand Canyon - well get bowling center . long trip rental great . decide since split rental another couple would able go strip via taxi . also great decision ! attempt drive strip . spend dollar take get Rio Strip even cheap take bus go back forth day night . Rio Suites : fabulous room amazing view ( floor ceiling window ) . large separate bathroom / bedroom separate living area . Rio Casino : large nicely lay . table machine top comfortable setting . Rio Spa : one well ever ! ! amazing ! ! ! Rio Buffet : huge ! must Vegas even stay . expensive prepare worth every penny . Rio Rooftop Lounge : even stay hotel GO see view Strip . breathtaking ! ! mix mean drink . overall amazing strip hotel . flair Las Vegas without hassle Strip . defiantly go Strip walk street see amazing building ! Rio everything offer defiantly look one strip ! ! 
 Oct 20 2009 	 bad see Start Finish 	 start 45 minute wait check ... 7:00 night 15 folk line front -- three open window . room poor -- old , shabby , look room 15 year ago previous visit -- right carpet . service average , location bad world ... far Strip easy fun walk , close enough get traffic noise issue . even leave painfull . checkout tell system copy bill would e - mail . e - mail never came call . can not talk RIO directly , part Harrah 's combine accounting center . center talk ( e - mail ) require 3 - 5 days respond inquiry . anywhere rio next time . 
 Oct 19 2009 	 big room Vegas 	 beautiful large room couch table . 27 inch tv . count foot 18 x 18 foot room . refrigerator room vegas rarity . double sink toilet tub another room . fog mirror . fun show sky free . not like food court late night treat . great pool - four sand waterfall one . there free shuttle take strip Harrahs casino . walk across street Gold Coast Casino Palms casino . 
 Oct 19 2009 	 trust review ... honestly great place 	 stay several place Las Vegas Rio disappoint we . suite everyone else describe ... one large room . know large suite two room compe first 3 nite pay fourth take offer . arrive early check - in time able get room right away . easy work front desk . give mountain view fine we not spend lot time room anyway . say pleasant surprise find refrigerator safe closet note traveler . really concerned read negative review last week . honestly say apparent age hotel elevator ... oh replace door upgrade not really care . much time plan spend ? , will say loved bathroom set - up . separate toilet / shower facility nice sized vanity . outside door large vanity another sink magnify mirror love . extra room sleep area great couch , chair , coffee table tv set useful like watch tv bed . not problem we . last room end hall quiet distrubance . take travel coffee pot avoid line price gourmet coffee . first time worth little effort take pack travel coffeepot fixing . we rent car know shuttle bus lot take back forth strip ' ve use trip decide drive Vegas easy route . actually nice go back & quot ; quieter & quot ; atmosphere spend time mass people strip . halloween full swing . we two buffet fine . seafood buffet pricey ( $ 36 ) per person enjoy every crab leg , mini lobster , shrimp , sushi wide variety offering . will not disappoint like seafood . and , lucky enough jackpot slot machine . show sky limit really like kind show , make sure right time . ask someone time date cut lot . never want service though . someone always ask we want drink . beware offend & quot ; skimpy & quot ; dancer server . wow girl beautiful husband certainly enjoy gawk skimpy mean skimpy outfits . 
 Oct 15 2009 	 Lousy Hotel 	 without doubt bad service area ! injure unable walk step time . husband business meet hotel . ignore staff , refuse access wheelchair could get assistance get luggage room . finally find place rent wheelchair ( assistance hotel staff ) decide visit casino . child run around casino floor , one waitress offer take drink order entire time husband call slot attendent watch machine could help money attendant disappear ! Managment give hoot report Rio Harrah 's own property never see dime money . 
 Oct 11 2009 	 spacious room great view close strip 	 stay Harrah 's property quite often favorite , Las Vegas , RIO . suit spacious bed comfortable . Ipanema Tower newer spacious like Masquerade Tower also . not problem shuttle service either drive rent car check limo service airport , not much cab hassle . rio within walk distance strip find stay strip hotel hectic say least . rio also note one BEST seafood buffet 's Vegas ! 
 Oct 11 2009 	 great steak 	 rio really nice place stay affordablethe room really big . buy upgrade get really nice view strip be low ground might view airconditioner ask move floor regular price.there shuttle strip run till 1 be free paris harrahs.the steak american well expensive.there nice dining room back relax.i ' m return november 
 Oct 9 2009 	 Nice Hotel Okay Location 	 room Rio Suite hotel large easily sleep 3 large adult . finish room bit date , acceptable price . strip location slight negative , free shutle Paris / Harrah be make . 
 oct 9 2009 	 Wonderful 	 Valet service prompt , hotel check go smooth , online request meet , ex : smoking room , coffee pot , room close elevator due disability . extra request fulfil day within minute call place . housekeeping service good linen clean . all question ask answer connected phone extension could answer question . we would stay hotel . 
 Oct 8 2009 	 Hotel nice staff friendly 	 stay rio several time . trip nice room , request old style room . switch room next day bad . later week long stay , security stop husband , tell hold check i d , look suspicious . go security ask find security person stop say look like someone previously throw . husband say hold would not tell come back say , ok go . Iwas upset never even say , sorry mistaken someone else . lady security male guard stop stand laugh ask stop . stay . 
 oct 8 2009 	 Remarkable Hotel 	 stay RIo brand new , second time year later . love , love . food Voodoo restaurant outstanding , pricey , outstanding . food World Buffet outstanding also . also dine American Grill - hamburger , outstanding . bar attractive however also bit pricey . receive 2 1 coupon book helped greatly costx food beverage . room really great , end suite view north strip . amazing . Loved every minute would go back instant . also go Stratosphere see like well surprised cleanliness total appearance , great shop cool restaurant . not go top windy couple day , would go back . 
 oct 8 2009 	 Masquarde suite AWESOME ! 	 book regular suite ask upgrade Masquarde suite . 1600 sq ft wall wall windows floor ceiling ! ! 180 deg view Vegas ! ! ! night lay fabulous jacquizzi view Vegas strip night ! ! dining room , seat 5 seat dining room table view mountain could watch plane take ! suite coffee maker refrig wet bar . ( regular suite do not coffee maker ) stay Masquarde Towers , soon get elevator area , leave coffee / pastry shop . reasonable price too . the sandy beach pool waterfall incredible ! however forewarn , unheated pool freeze ! ! even 101 deg day , one could stay unheated pool ! ! pool snack area , fountain drink less 3 buck could get free refill ! ! ! negative Rio still big , old tube type TV 's . suite 2 tv 's , never watch . flat screen would nice , would make price go ! Taxi fare strip 7 buck ( without TIP ! ) free shuttle would take Bally / Paris Harrah 's free every 30 minute . the Masquarde suite also quiet ! ! dining room connect next room . bed soooooooo wonderfully comfortable ! ! also , large half bath area living room . 
 oct 8 2009 	 awesome hotel 	 Rio room large sit area watch televison , staff friendly lot show offer lot restaurant choice 
 Oct 8 2009 	 wonderful place 	 recently stay conference . love hotel , room large . several restaurant choose . always accomadate . shuttle service strip work well we . time right never wait 5 minute shuttle . disadvantage strip , since shuttle can not run bit strip without shuttle . would diffinately stay . 
 Oct 7 2009 	 go back 	 stay 3 year ago enjoy enough return . seem hit spot we time . favorite pub Tilted Kilt go .. replace load music chair not feel safe . inform one night 2 power going shut . go get early set alarm clock get ... besides dangerously dark try find way bathroom , wake start power come back radio blast we awake ! ! happy toilet break quit flush one morning also . seem like place eat 11 pm . price buffet meal seem always high many other around town . credit use Sat . going get regular breakfast buffet ( info packet say would available ) serve expensive champagne brunch instead $ 10 per head . sit far end ... butter next roll , gravy thin syrup , hostest tell omelet bar clear end ... anyway down champagne 8 morning make . rent car time . make easy less expensive get around . first thing next day go buy water . really gouge water ... 2.50 $ 4 one bottle . maybe rio younger ONES like noice , smoke VOO DOO LOUNGE ... one couple stay . 
 Oct 6 2009 	 great Stay ! 	 love hotel room ! large spacious ! disturb next door neighbor partie night , love highly recomment stay RIo ! 
 Oct 5 2009 	 Rio Rocks 	 feeling could stay Rio week two run thing much variety entertainment , food , fun leisure ! everyone nice accommodating . the room clean coffee maker : ~ { . thing really not like check , desk clerk tell we not smoke room clean available despite fact make reservation 6 month ago . say ' reservation ' , ' request ' proceed show fine print . magically ( prior blow stack ) room become available . wonder suppose slip tip ? ? ? anyway hotel gorgeous , everywhere . buffet food everywhere eat good . like could not bring beverage pool bottle water $ 5 ! ! ! overall though , love would definitely recommend ! : ~ } 
 Oct 5 2009 	 good off - strip property 	 second stay Rio , last time 4 year ago wife . part 50th birthday trip friend . start whitewater raft Grand Canyon finish Las Vegas . I come Las Vegas year since 21 prefer stay strip possible avoid traffic . receive comp room 3 night stay . , value phenomenal ! 3 friend , 2 suite locate near floor Ipanema Tower . bed comfortable like safe fridge room . would nice update flat screen tv . low floor , view speak , although could see mountain distance . on 2 night stay power go . tell advance would happen work do . letter place couple place throughout room describe outage . power would 2AM 5 . guess something do , do time would minimally affect guest . however pay room , might ask compensation inconvenience - particularly A / c . prepare go , set thermostat 60 room cool enough schedule power outage . we not eat restaurant . pool area nice least one heated pool three . table game casino pretty high minimum bet . mainly play video poker , one time play blackjack , could not find table $ 25.all enjoy stay major complaint Rio . 
 Oct 4 2009 	 Service great - would definitely stay 	 though hotel get year , service provide staff 110 % ! room nice carpeting stain - send maintenance guy industrial carpet steam cleaner clean spot . bathroom part room great - shower curtain old stain toilet paper holder break . bed fine - tv work view strip room beautiful . provide many free drink , discount show 1/2 price meal restaurant end spend less thought . shuttle strip fine We d Thur crowd Friday Saturday choose stay hotel day - eat seafood buffet ( great ) see Penn & amp ; Teller show Sat . night ( * * * * ) . would stay NY minute - less crowd hotel strip service well . could ban cigarette smoking , would perfect . 
 oct 4 2009 	 up down 	 first time Vegas Virgins . book hotel base price value fact shuttle strip . please promise go hotel , write review return . get much good information site , really help plan trip . review . I ask early check , smoking room , room high would give nice view moutain strip . arrive 10:30 Monday receive fast , friendly efficient service well everything request . we get room 13th floor , nice size , clean , comfortable bed , view overlook pool could see mountain strip . fact could see stratosphere tower lie bed . Maid service good leave token appreciation day . the pool beautiful , busy weather super hot , not indulge . slot machine ok , follow advice find find certain machine good play value . Loved Wizard Oz , Deal Deal , Zeus , Slingo funny one penquin . sad note , play two day , casino without ever ask drink ? play penny slot , come play 60 - 90 cent per hit . take shuttle strip back many time . wait times long sometimes crowd fill shuttle wait next one take cab . also awful two tiered system let Platiunum Super Seven member first front line . ask take become member tell thousand thousand $ $ $ gambling point . point , people kind dough throw around , need free shuttle service . take cab , limos , etc ... rent car , hotel would good place staywe eat Rub BBQ resturant.com coupon . food good portion size large . server fantastic , not catch name tatoo arm . take leftover back fridge room eat breakfast next day . ( not microwave coffee maker room ) eat Voo Doo lounge one night . food good , wine great , service fine , price high . , view ambience nice . picture resturant justice . also go th Voo Doo bar . indoor outdoor venue . drink expensive view great . visit , elevator ride alone worth adventure . last day eat carnival buffet . huge ! good food , lot variety , drink special bar , good service . cheap , good . we finally get see show sky Thursday . short cute . get bead . glad show free . we ask late check , give we extra hour . get check bag go play slot etc .. time catch shuttle airport . make two call room . one short one Toronto , one book airport shuttle . still not know one long distance & amp ; expensive . telephone bill $ 20.00 . would avoid use . Book return shuttle airport . overal , hotel excellent room , expensive good food , nice pool poor drink service good play value slot . would go back rent car shuttle service increase frequency . say weekend busy summer season run every 15 minute . , would also triple occupancy rating shuttle use people hotel guest . , plan cab budget strip . Approx . $ 6 - 7 dollar per trip rent car . 
 Oct 3 2009 	 K 	 first time Rio ( boyfriend twice past ) absolutely complaint , well ok , pillow . decide stay Rio time trip Vegas absolutley complaint hotel . yes strip shuttle bus take strip use man create - foot . walk every day strip 20 minute refreshing say least . room spacious , clean , ready upon check . complaint would pillow hard taste 's complaining . casino other , loud , exceptionally smokey ( other ) expensive other visit . honestly not spend dime reason . restaurant offer wide variety choice hide gem choose instead property . check fast , courteous , complaint . the Rio meet expectaction , perhaps next time may take advantage ammenite offer leave feel satisfied willing return property consider Vegas again . this 8th visit Vegas indeed one well one even though not much say , thank Rio , thank Harrah's . give try , ' m sure will not disappoint . 
 Oct 3 2009 	 huge room sacrifice location 	 stay rio four night September nice enough stay , thing definitely change year . the room always huge - all - suites great perk - would wonderful group young girl guy try save money cram one room . check - in line really long quite hassle realize long line two people work . honest , bunch people also check ' ve never figure , unless 's discrepancy , can not use video check - out room save customer wait time ! ! change room mid - way stay , Ipanema tower . old tower , be remodel recently . room refrigerator , neither coffee maker , one internet ethernet connection . internet cost $ 9.95 per 24 hour compare hotel ' ve stay bad . let front desk know check - in need internet service put room without . bed room extremely comfortable ! first room huge bathroom two separate dressing area , second room small bathroom . chinese restaurant sport bar ( next ) great food huge portion easy split entree feed two people . American Grille place also good . usual , Carnival World Buffet great - ton food something everyone . also walk across street Gold Coast ( ? ) affordable breakfast buffet one morning ( $ 5.65 ) .The pool crowd , let take two towel , beverage service fast one night free concert pool . the shuttle strip handy , line get long be try make showtime dinner reservation , allow extra time . disappointment shuttle last day not depart 8 pm plan spend afternoon strip leave bag bell desk . backpack luggage not think would big deal bring aboard , tell luggage allow catch cab . particularly disappointing since shuttle half full . dealer hit miss term friendliness table limit low traditionally ; recession definitely impact . also , never see Sky show ... think close due recession . cashier cage window line long , see lot people slot ticket wondered not use redemption machine get money ? ? not wait line y'know ! nice enough trip , night not comp would ' m sure would choose stay strip - even free shuttle . 
 oct 2 2009 	 Bad Great 	 like other , bit leary stay Rio previous review . never stay noticed lot bad review people previously stay . expectation dissapointe . the room great ! stay Masqurade tower view pool mountain . AC ok last day hot woke . 3 pillow per bed ask another , housekeeping quick get one . check fast well check out . breakfast good , eat Soa Paulo Cafe every morning , service also good . pool fun , real exciting atmosphere . now truly dissapointe part ........ CASINO ! ! ! ! lack staff . lay 100 casino floor worker . dealer friendly , mass restructure deal particular game year . everything tight . enjoyable gamble . not we . excitement floor . would suggest casino like gamble . high limit day . boot , show sky vacation , really atmosphere . we recieve 2 night free , respect , worth . however , nothing special Rio really feel need return anytime soon . 
 oct 1 2009 	 GREAT TIME ALWAYS RIO 	 stay 27 29 September Rio . request grant room Ipanema Tower - definitely good location relation get anywhere casino . slot kill first day morning second day hit $ 1003 jackpot late evening take another $ 500 . eat Carnival World Buffet - everything fantastic . almost mad could not eat - could not even get italian section first night - many great item choose . 2 tacky thing write - first - hooker ? ' ve never see many & quot ; work lady & quot ; flagrantly strut stuff open . maybe 's economy , tell lady amateur . not know hooker school anywhere lady attend . cop could arrest 5 woman first night . discretion whatsoever . second - maintenance staff perform upkeep backup generator , trap room 2 4 a.m . casino , could not get room , room , not go anywhere . two hiccup , say , will not stay anywhere else go Vegas . Love Rio . great location , great room , great food , pretty decent pay casino . ask ? 
 oct 1 2009 	 Pool area disgust ... rest hotel okay 	 room not dirty public area quite clean , pool area gross . pool & quot ; ring around tub & quot ; gray brown soap scum like stuff . sand surround pool use one large ashtray cigarette cigar butt everywhere look . also , little thing , elevator room Masquerade Tower , stay , reach garbage press elevator call button . gross reach garbage like . ' m normally ultra fastidious person . warn , smoke allow gaming floor , public area first floor seem quite smoky . reason , seem bad Rio casion enter . good side , nice hotel strip , restaurant resort quite good Penn Teller play resort . room quite spacious room come small fridge . resort run shuttle Rio sister property get strip want quite convenient . 
 Sep 30 2009 	 great stay -- RETURN 	 check tell not room we already pay . put we penthouse SUITE . WOW hard leave room next day & amp ; go regular suite , 2 us 3 bathroom , floor cele window view & amp ; two bedroom . feel like rock star . slot tight , Ghost bar blast & amp ; whole stay excellent complaint ever . return ! ! 
 Sep 28 2009 	 second visit well last time 	 stay Rio twice business . check around 3 pm Thursday long line three employee check people . since convention town would think would staff little well . stay time Masquerade Tower new Ipanema Tower difference . remember Ipanema tower outdate water pipe room gurgle every time someone nearby flush . masquerade tower want stay . room king bed ; room clean update complaint . casino average opinion , prefer other many group enjoy winner loser . still disappoint Rub BBQ restaurant LOVE BBQ reading story behind , food stink plain simple . eat four time four different entree nothing do well price pay . side - sauce table excellent . American Grill good sandwich quick bite . be Starbucks fan two hotel . like workout , $ 20 / day use health club .... really . check quick .... well staff end . would not go way stay Rio fine time around . 
 Sep 26 2009 	 never . 	 wife stay Rio first time 2000 wonderful time . visit Las Vegas five time since , stay various casino . month , September 2009 , decide stay Rio . difference nine year ( recession ) make ! first , take several hour actually secure room , check . room give work safe , coffee maker . two amenity important us lead believe would . also , show Masquerade Sky show Thursdays Sundays ( every day like nine year ago ) , also completely cancel weekend . never get see . stand line quite cashier ' counter cash traveler ' check ( clearly casino under - staffed ) , turn proceed , interrupt fellow " silver card " member , give priority . feel pay good enough money casino treat equally , second class guest . all - in - all , stay disappointment . pleasant memory dissolve back . 
 Sep 23 2009 	 great trip - excede expectation 	 read many negative review , little hesitant stay Rio . glad . stay Rio , 3 year ago . imagine old run hotel reading review TA . case . time stay Impanema Tower , remodel king non - smoking room . ( 937 ) . great view strip pool . yes , casino brand new , love Rio casino . dealer friendly say several 5 star casino . we room service every morning . first morning order complete breakfast , caraffe coffee .. ( coffee maker room ) . two breakfast much food we . , morning order one breakfast split . huge breakfast eater , enough . , also ... half caraffe plenty coffee we . also eat all - american Bar Grill ... great food , terrific burger salad . also , Hamada Japanese wonderful . eat sushi special ! ! good sushi ! not eat RUB BBQ time , awesome ! , South , picky BBQ ! check - in breeze , checkout . comp , take charge bill . charge everything room , gamble , ask use comp . stay Rio comp . always generous . stay Monte Carlo , Harrah 's , Bally 's , Cesear 's , NYNY ... prefer Rio . yes , take taxi shuttle strip ... love Rio ... be worth . want walk much desert heat anyway ! ! overall , great trip ... can not wait go back . 
