move 	 husband shock standard room * first room bathroom window jammed open bathroom towel use block freeze night air * porter arrive assist we move second room - already unpacked * second room plug bath request one tell use towel plug bath plug available * double glaze room face onto Broadway could sleep ! * carpet passage filthy * one redeem feature receptionist allow we check hotel follow morning thus cancel 5night stay - thrilled move fantastic midtown hotel could relax superb room enjoy service facility high standard fraction price . 
 check today verdict still impressed though 	 check afternoon happy rate decor , first room show extremely small . , carpet need cleaning , shower , bath . think unusual superior room . see review warn standard room , book superior room , still small . small ask desk really superior room , say . also , tv mount wall apparently work , second tv place front desk , make desk unusable . call different room well treat give another room , slightly large , bath . however , window extremely drafty , horrible time get shower work , get hot water , eventually pipe make noise could wake dead take shower , realize hair dryer miss , luggage rack ( discover early bring ) tonight go wash hand , hot water ! call morning , water also look discolour ! say , decor fine , bed nice , clean , many thing look small . would recommend hotel ? probably -- -I usually recommend place impress one do that . also , business room small hot would impossible spend amount time computer $ 2 10 minute plus charge printing . let tell , eat dollar bill like one armed bandit . wireless room charge , need printer ! select hotel free parking package want leave car park . definite plus , need get something car hopefully cost we $ 55 . let us see tomorrow go . maybe thing get well ! 
 Nov 4 2009 	 well situate 	 stay long weekend Oct 09 find Ave extremely nice . Friendly & amp ; helpful staff , clean & amp ; comfy room . could not really fault honest . maybe noise street outside could ' ve reduce glaze not seem effective 's . not hesitate check Manhattan Diner road breakfast 's delicious & amp ; - excellent service . forget Zabars & amp ; allege cool NYC coffee / breakfast place nearly always totally overrated .... 79th street station ( express ) 72nd street ( local ) station nearby & amp ; park 5 minute walk . 
 Nov 1 2009 	 excellent choice ! 	 third time 9 yrs Ave - not think will ever go anywhere else NYC . ( Tried go Ave first night ... ) . location wonderful . staff friendly helpful room nicely decorate . good bed , functional shower ( showerhead mount wall ) . right always long back , especially get good deal like ' ve do ... 
 Oct 30 2009 	 Fantastic Hotel 	 Brilliant location exceptionally convienent clos nuber subway line , central park number museum . hotel staff extremely fiendly helpful . room great size unbeleivably big tv clean well equip . would gladdly recomend stay . 
 Oct 29 2009 	 one good hotel stay New York 	 beautiful room ... lovely balcony wicker chair take wine / beer enjoy view ... helpful staff ... relatively quiet Manhattan ... close Central Park ... nice restaurant nearby ... 
 Oct 25 2009 	 local television channel 	 imagine NYC Yankees play Game 6 ALCS local Fox channel carry game not available . front desk not even apologize . say something like not local channel time might next time stay . right , hell might freeze time . fortunately , satellite pick spanish language channel carry game . mucho gracia . 
 Oct 16 2009 	 less enthralled 	 choose hotel location description glossy website . never NYC , expect accomodation service par hotel similar acclaim cost stay . disappoint . & quot ; Standard & quot ; room 9'x12 ' , include hall bath . chair ( room ) . shower bath ok . telephone noisy mini - bar ruin . front desk response towards question ( direction , phone # 's , etc . ) & quot ; See concierge & quot ; ( pay ) blank & quot ; not bother & quot ; attitude . breakfast voucher restaurant useful pay customer show . wait 30 min not - crowd restaurant , walk . front desk response & quot ; Sorry experience & quot ; . perhaps hotel norm NYC , even par . know nothing NYC hotel , hope $ 1,300 . 5 day would well spend elsewhere . fall love NYC hope rerurn ... elsewhere . 
 oct 13 2009 	 Good Option Uptown 	 convenient location Central Park nearby museum . room nice lobby suggest . staff nice friendly . good option get good rate . 
 Oct 12 2009 	 Staying Ave mostly positive experience 	 guest Ave Hotel September 30 October 6 , 2009 . second trip New York trip want stay different neighbourhood stay first time . explore number option . think first might like find place Chelsea Greenwich Village eventually choose Ave Upper West Side also Manhattan neighbourhood wanted explore great depth get know well . Upper West Side ( UWS ) location also make sense know would going see number event near Lincoln Centre UWS perfect home base regard . there number good hotel choose Upper West Side decide book reservation Expedia Ave sleek , minimalist décor room appeal . 16th floor terrace view UWS bonus feature also find attractive . read number review Ave make reservation majority review quite positive confident make good choice . a month vacation , however , notice number negative review Ave , cause concern . remember one review particular call hotel " dirty disaster " . one point wonder try cancel reservation book somewhere else eventually decide effort would trouble worth . as thing turn ' glad ' cancel reservation , balance , enjoy stay Ave positive thing say hotel negative . notwithstanding overall positive experience ' begin discuss negative thing hotel could issue traveler . think part reason Ave receive number bad review recently hotel try market luxury , upscale boutique establishment ( least ' impression ) . regard , guest expect kind accommodation service would get luxury hotel like Ritz Carlton Hotel Carlyle Hotel Elysee probably go disappointed . suspect Ave may problem recent year keep maintenance hotel . ( staff turnover ? change management ? ) understand hotel completely renovate refurbish 2004 . ' five year ago yet room already show sign wear tear . one guest post review complain stain carpet room certainly carpet room ( Room 911 ) , although stain , dirty spot definitely need good deep steam cleaning . meanwhile , dresser room bang bit also observe grout shower stall rather dirty . blind window . another hotel guest ( maybe guest ) complain dust room ' question blind room need good dusting ! hotel provide staff feather duster ? : - ) anyway , mention show Ave perfect , particularly fussy person , Ave might suitable . none problem cause great deal concern admit create good first impression . I notice management take note review hotel TripAdvisor respond . although many reply boilerplate response , fact Ave respond good sign suggest hotel take step address problem complaint raise guest . anyway , negative positive . think good Ave . hotel primarily place get good night ' sleep day spend see sight . want hotel therefore nice quiet room comfortable bed . another feature important shower provide lot hot water lot water pressure ! finally , also important hotel well - situate , close public transportation amenity . point Ave score high . bed extremely comfortable although wonder hotel provide many cushion pillow bed ! like pillow ' love bed Ave ! meanwhile , find hotel quiet . occasionally would hear voice hallway morning evening ; sound ever disturbed sleep night wake morning feeling well rest . shower work well . couple time , usually later day , would take water heat never long 15 20 second . finally , many guest mention hotel great location . two block north Broadway one catch # 1 subway train whisk theatre district minute bottom Manhattan good time well . westside Fairway market / grocery store nearby great place shop food want save money dining . Fairway Market buy " Honey Crunch " apple trail mix keep go day ' time inclination look lunchtime restaurant . absolutely problem staff front desk ; unfailingly helpful , courteous professional . doorman great , young enthusiastic . ' fast , ; ' baggage suitcase load delivery room even know happen ! good ensure taxi wait ready depart LaGuardia . finally , mention truly EXCEPTIONAL service receive member housekeeping staff . arrive hotel notice one item forgot pack aerosol shaving cream . evening make point purchase shaving cream Duane Reade store . tried use shaving cream next morning ' get cap top canister . tried try ' budge . strain get cap eventually result take entire top shaving cream canister ! point assume irrevocably break canister aerosol nozzle everything beyond repair . toss canister bathroom ' wastebasket , resign accept fact would buy another aerosol shaving cream . imagine surprise arrive back hotel room evening discover shaving cream canister top bathroom countertop . whoever clean room day ( October 1st ) take trouble remove canister wastebasket , realize completely beyond repair take time fix problem . top aerosol canister place back shaving cream could come aerosol nozzle , cap cause trouble first place long stick top canister ! amazed thoroughly pleased housekeeping would go length solve fix problem save spend extra $ 3 $ 4 dollar another shaving cream ! person clean room ' think would question guest ' decision throw something , whoever clean room day show remarkable initiative good judgment , mention great skill fix shaving cream canister problem . hope management hotel read acknowledge good work housekeeping employee . ( mention always leave tip housekeeping morning make point add extra dollar next day shaving assistance . obviously much appreciated person cleaning room receive thoughtful , hand - write thank - you note . ) one thing . probably mention solo traveler size standard room Ave issue . guess people find standard room small need want lot space hotel room may want consider book one hotel ' superior deluxe room , else one hotel ' suite . 
 Oct 10 2009 	 great NY choice - not let review scare 	 ota great place stay NY City . nervous reading review suggest bad tv reception , unhelpful staff , etc . staff terrific moment arrive ( maintenance truck park front hotel leave car immediately bellman helpful ) store luggage go sightseeing room available , help we dining option finally checkout . tv 's great ( two , one hd not get wide array channel well ) room really quiet - thought might guest leave room get common / public area plenty people . room small since upgrade 14th floor & quot ; suite . & quot ; recommend online option reserving typical room take less expensive internet upgrade available go likely high demand room . $ 60 night difference well worth two room suite outdoor patio attach ! thank OTA , great stay ! 
 Oct 7 2009 	 nice hotel good LOCATION 	 hotel recommend Joanna Pop . dissapointe . great location , good service spacious room . doubt go back . 
 Oct 6 2009 	 Nice really small 	 book hotel hot wire decent price , NY city . entry nice staff pleasant . room however small - mean really small ! 1 large suitcase 2 carry on could barely fit room . bed linen lovely , room clean , bath modern . ' m sure go different booking service would get well room , claustrophobic one . 
 Oct 6 2009 	 poor service good location 	 hotel great upper West neighborhood diner across street great food reasonable price . easy get subway block Central Park . disappointment primarily front desk staff . check , argue we Wi Fi breakfast complimentary online booking special . worked not even apologize know get . ask upgrade email coupon receive , not seem understand work , state suppose online clearly state email , available check , room available . hotel restaurant limited hour not serve breakfast 11 weekend . weekday , hotel restaurant staff seem understaffed serve guest . room small nice , hotel seem need TLC . lovely 16th floor terrace great view city . discount room rate , would pretty good value , unfriendly staff . 
 Oct 5 2009 	 nice hotel 	 nice time ota . room smallish ( however seem norm NYC ) . well locate 1 , 2 , & amp ; 3 train stop within block ( 1 train 2 block away ) . central park close great , easy walk Met etc . room inside hotel view afford great deal quiet usual noise NYC traffic . find staff friendly helpful . big thank Greg organise car JFK also big thank young russian lass restaurant 's prompt service make breakfast enjoyable . complaint elevator slow make quite bit wait hallway . aside great experience would stay . 
 oct 4 2009 	 not expect much 	 pros- nice location away tourist . great diner across road one street open 24 hour . price diner half pay Times Sq . get hotel 30 % less regular rate . around $ 280.00 night . con - elevator way slow . room DB bed . typical small hotel room NY . enough room walk . bathroom big enough toilet shower . sink counter completely stainless steel ! uncomfortable lean . housekeeping leave two bath towel hand towel . last day not get washcloth . lighting room horrible , bright , make put makeup nearly impossible . really need work include staff . 
 oct 4 2009 	 great location comfy hotel 	 first trip NY recently tourist see sight attend US Open . check quick give queen reservation king . resolve new room 3 minute later . room tight comfy could upgrade large room $ 50 night & quot ; glad , go much get use size . concierge nice helpful , great cafe across street many eatery starbuck nearby . floor 5 near elevator hear bell couple time . wall make concrete hear neighbor . have nice window look onto Broadway . two three block Hudson one side short walk central park side . easy subway access . shopper : Feline 's Basement 72nd street subway must affordable clothing . laundry around corner friendly , quick easy . also wine bar , rental car firestation street . wake neighborhood even night comfortable fun . always feel safe . would definately stay . 
 Sep 25 2009 	 would definitely stay 	 return stay H. Ave . could not fault it- standard room comfortable good sized bathroom shower - bath would treat foot ache day sightseeing . there good range shop area evening district nice & quot ; villagey & quot ; feel lot restaurant . the hotel staff friendly helpful time . would stay would recommend every time . subway station 72nd/79th street couple block away save ache foot . iconic moment sit Starbucks drink coffee Broadway Frank Sinatra singing background ! ! could not got well . 
 Sep 21 2009 	 great location stay NYC ! 	 ( spouse ) first trip US decide start NYC . long research & quot ; right & quot ; hotel trip find hotel appropriate price ; find good imagine . hotel nice . also location outstanding say tourist . nice restaurant around ; travel around NYC easy subway station 79th st close . also express train use 72th St. station . Superiour Suite bite tight . however , super bathroom really nice roof garden . staff , friendly helpful . really recommend hotel would book . 
 Sep 17 2009 	 good get discount rate 30 % 	 like many reviewer , location fabulous nice stay , pay ful price would rate low look elsewhere . nothing particularly go wrong , hotel showing age , could clean , staff friendly . small room , 1226 , plenty big enough two . main gripe small thing , picture wall clearly fall point , glass break mat bent yet put back wall damage , look tacky . decorative bed pilow dirty , bathroom could cleaner nothing desk write book describe hotel amenity restaurant . 
 Sep 12 2009 	 Modern Friendly 	 shopping around reasonable hotel annual US Open trip , find Avenue discount site . information rating star go , know expect . check - in quick painless , room , though compact , sparkle clean , modern odor - free . also probably comfortable temperature level ' ve ever experience hotel . . . neither hot cold . king bed comfortable . the staff friendly helpful , gracious fault . check - out , helpful regard storage luggage , direction transportation . the neighborhood terrific , good restaurant plenty option coffee / breakfast snack . attach restaurant elegant seem well receive . public transportation ( bus subway ) extremely convenient . we will stay . 
 Sep 11 2009 	 addditional credit card charge submit proper check 	 repeat customer hotel satisfied service special attention staff ; last stay use internet charge include folio.once get home discover accounting department add unjustified 49.95 additional charge approve ! contact accounting department representative arrogant abusive refuse make correction third callbeware ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! 
 Sep 8 2009 	 Ave great ! 	 stay 5 night Aug 30 - Sept 4 . room two double bed 6th floor . pleasantly surprised hotel , bit nervous read late review . maybe hotel full stay , exceptionally quiet , hardly see anyone else floor . hear street noise ( commercial vehicle ) early morning , likely accustomed city life . employee encounter friendly helpful . great location , restaurant shop nearby . also close subway 2 block away subway system take we time figure , would do travel Manhattan subway . walk around neighbourhood really enjoy residential feel . walk Riverside Park west Central Park east . 
 Sep 7 2009 	 pretty surface disastrous underneath . lousy / break HVAC use - up mattress . 	 hotel 's check - in efficient room seem lovely , soon check - in two previous stay , be become disastrous . first , heating / cool system unbelievably loud ; second , break lot . twice ' ve room 's temp go 90 degree ( kidding ) . one time mid - day change room , another time wake 2 bathe sweat lose hour precious travel - time sleep . addition , mattresse popular room need replacement ; hotel much city full move , end sleep crosswise across bottom king - sized mattress remainder trip , spring wreck mattress clearly sway pit middle . say , spite decent price , perfect - for - I location nice seem surface : stay . number one thing want hotel good night 's sleep , faulty HVAC system wear - out mattress , not get . 
 Sep 7 2009 	 location good - shame staff 	 good bit - excellent location Broadway near subway station . panoramic Deluxe room nice view Hudson river balcony . room spacious comfy bed big tv . bathroom also spacious nice decor . liked 16th floor roof terrace . average bit - hotel expecially clean , certainly dirty either . room look clean first look , close inspection reveal fair bit dust , couple hole sheet . attention detail need . price ok - get 30 % room book - pay full price would feel bit rip . minibar PPV movie overprice , even ny standard . bad bit - staff ! , doormen friendly helpful . mention , cleaner could well job keep room reasonably clean . main gripe front desk staff . Refused let we check early ( arrive 12 check 3 ) . ask chance room could clean early could check flat . Said would let we know room ready not . although fairly efficient , never smile never go way help . leave , sneakily overcharge $ 250 - bill say one amount , get home see credit card statement , take ! Appalling really . also , door securely attach hinge hard shut properly , water shower seem go warm scald hot whenever want to . finally - avoid Manhattan Diner next door . girlfriend catch food poisoning first night . 
 Aug 18 2009 	 fine choice far roomy mid - town hotel 	 ' ve over - price shoebox call hotel room mid - town . pleasantly surprised room Ave . roomy two window , overlook wall privacy . worry first location subway stop close - by frequent express train get everywhere quickly . good restaurant nearby friendly staff downstair bar . room seem pretty clean can not speak problem poster . pretty self - sufficient trip not need much support staff can not speak service say everyone polite . 
 Aug 17 2009 	 Dirty Distaster 	 stay hotel 2004 move NYC . like location boutique style . year stay 3 x see steady decline propriety . time hotel less less clean service seem none . door open , greeting dead landscaping May . hotel full get small room ever . flat screen break wall small flat screen put desk space 3 channel . every surface dust sheet stain . floor vacuum towel change wet last guest . shock broad health get shut clean . front desk say new management . shame . well price great location . lot great hotel book .. please not waste money dirty dirty hotel maintain . 
 Aug 8 2009 	 AWFUL 	 room dirty small . customer service . inaccurately charge credit card fight like dicken get refund . BEWARD - poorly run . 
 Aug 2 2009 	 Dirty Fantastic Location 	 read review decide stay , must room . filthy grout shower ; frosted glass bathroom door need clean ( know smear ) ; carpet hallway debris since arrive three day ago generally need sweep ( not hear vacuuming sound ) ; rack hook hang towel . , Ave stylish , location beat . be close park , surround charming restaurant essentially part town 's & quot ; real neighborhood . & quot ; 's welcome respite Times Square crowd , be perfectly accessible anywhere want visit . 
 Jul 26 2009 	 Charming hotel Upper West Side 	 birthday present decide spend day NYC . stay choose " Ave " Hotel , summarise good choice . unexpected June , NYC hot muggy 7 hour flight keen get new home next week freshen . upon arrival impressed look hotel , inside . staff reception desk behave professional friendly manner time ascend lift room , panoramic deluxe , 15th floor . room little small imagine , base expectation picture supply hotel web site , say way felt cramp . plus side bed large comfortable wall mount television huge ! bathroom good size include small shower room . hotel room finish large balcony providing view North Manhattan , stretch Central Park . décor room bit date could freshen , favour clean regular maid service keep . unfortunately maid service extend balcony room higher use ashtray . quick sweep arrival would left well first impression . two point note lack room safe slow lift . find bit hassle use hotel safe daily basis would much prefer safe room . the Hotel Ave tuck away behind corner W77th Broadway , Upper West Side , well situated explore NYC . easy access subway line 1,2 & amp ; 3 station 72nd street subway line 1 79th street , travel neighbourhood take time . hotel also great location explore Central Park Upper East Side , short walk away . surround area hotel " quiet leafy " NYC standard convey nice relaxed atmosphere lot brasserie style cafe great little super market . also note Manhattan Diner face hotel opposite corner great / cheap place eat traditional american cuisine . to sum , would recommend stay Hotel Ave anybody go NYC visit would definitely consider stay future . 
 Jul 23 2009 	 gem Broadway 	 stay three night OTA . spend three week different hotel vacation US ota beat other . room nice clean . staff friendly helpful . check six hour ahead ordinary check time problem . terrace 16th floor superb . walk Broadway Times Square take , good condition nice walk . Central Park block away . breakfast diner across street . minus internet access include price . fly JFK , take subway way hotel . Taxi recommend Newark . would definitely stay ! 
 Jul 23 2009 	 Ave hit spot 	 Ave delight moment bellman open door drawl New York welcome . the room , window overlook Broadway , perfect . 16th floor balcony look uptown add extra could take picnic bottle wine evening . and location pretty good , surround restaurant diner , Central Park couple block away 79th Street subway station hand take downtown Times Square onto South Ferry . by way , New Yorkers get reputation rudeness ? lot could not helpful polite get 42nd street east west mix up . overall , Ave great place camp seven - day visit competitively price compare other . 
 Jul 18 2009 	 Nice hotel great location . 	 Ave nice hotel locate wonderful neighborhood upper west side Manhatten . room quite small , clean comfortable . bathroom nice sort see door bathroom little weird . incovenience hot water period time overnight . nice hotel would stay . 
 Jul 15 2009 	 Great Hotel 	 get back NY stay Ave 6 night . loved hotel , service excellent , friendly staff move room first night first bedroom face brick wall . location great , lovely market across street . subway local hotel restaurant good . 's 5 star hotel pay get really good value hotel . 
 Jul 13 2009 	 great service location deal ! 	 happy choice - Ave Hotel - location excellent . walk everything want see . room bit small not go New York stay room . clean staff polite helpful . Ave surround great restaurant lot choose . would definately stay hotel . 
 Jul 12 2009 	 nice place UWS 	 attend conference Upper West Side , usual stop place available . find Ave web search , glad stay . not know original reservation ( standard single room ) would like , , reason , get complimentary upgrade . room huge one person , furnishing , include bathroom , clean modern . not make use hotel servcie , check one afternoon next morning ( conference , go straight airport ) , not experience problem . 
 Jul 11 2009 	 Fantastic hotel 	 book loft , huge beautifull room terrace . live like newyorker neighborhood sooo cool . stay 10 night . staff fantastic , helpfull , smile . for long stay New York 's definitively place go ! 
 Jul 7 2009 	 good choice 	 husband never America think New York would good starting point . trip 50th birthday 4th July unfortunately could not afford America day go week . book flight Virgin Atlantic Christmas get amazing price Premium Economy . book hotel website get 40 % discount normal price . book superior room kingsize bed . we take taxi JFK airport flat price $ 45 plus toll tip . good drive Manhattan . return JFK take subway airtrain - excellent value money ever go back NY would definitely save cab fare take airtrain / subway . on arrival hotel greet pleasant helpful staff room ready we . room reasonable size everything need view not great - although not really expect much not disappoint . room clean TV work perfectly well . mini bar ridiculously expensive move anything not replace within 20 second automatically charge room . coffee machine room Starbucks Coffee iron ironing board . bed huge comfortable lovely white linen . bathroom quite small perfectly functionable shower bath , nice toiletry small hairdryer . towel good quality lovely fluffy . the hotel terrace 16th floor pleasant seating area view city . the staff hotel always extremely polite helpful . show interest everything give advice ask . safety box reception use guest charge service . appear not enough box amount room though . concierge helpful . last day hotel store luggage us day collect way airport . its difficult say room good value money ' ve never New York judging price everything else City would say get good value money . there diner road hotel good value money . breakfast every day good . number place eat area . the subway two block away take minute walk . also bus stop across road bus take downtown time . couple day manage work bus route find travel bus easy well subway . on second day bus tour Board Tours would highly recommend anyone never visit city . guide driver excellent tour well worth money . if return NY think would stay hotel . 's pleasant area easy get midtown / downtown Manhattan sub - wqy bus . 
 Jul 6 2009 	 not get much well NYC budget 	 husband stay Ave two night early July . book ago Quikbook.com get amazing deal standard room . arrival , find give complimentary upgrade deluxe room 11th floor - nice ! hotel clean modern , room spacious service great . tv not work , not care much not spend much time room not complain it . on budget , not expect actually like hotel could afford stay . ave huge , pleasant surprise . 
 Jul 5 2009 	 Greatness 	 Midtown pricy nowadays , great rate christmas week . location uptown well worth it . right subway station always get downtown . room amazing date nice . go top balcony sit area really get nice view city . favorite part hotel . feel like upscale apartment hotel . New york city stay many different hotel , mostly mid town , one well worth ! 
 Jul 4 2009 	 nice need speak ! 	 return Toronto second stay hotel within last year . people ( like ) love Upper West Side , hotel good choice . room clean nicely decorate . service efficient polite . subway 2 - minute walk away . one note caution . agree reviewer room substantially inferior other . first room offer tiny , dark two wall window face brick wall less 10 foot away ( exactly experience another reviewer ) . immediately ask switch move much spacious bright room . consider & quot ; standard & quot ; room . 
 Jul 1 2009 	 great location good value 	 location hotel fantastic , primarily residential Upper West Side Broadway . locate two short block subway allow go anywhere Manhattan pretty quickly . room huge Manhattan standard , clean , staff courteous quite pleasant . recent renovation bring room comfortable bright ambience . very good value price . would definitely stay . 
 Jun 29 2009 	 wonderful hotel great location fabulous view 	 choose hotel husband 's birthday weekend trip . love visit New York time year . place GREAT ! visit late May room 14th floor balcony . day sightseeing , head Zabars , ( block must see love food ) get wonderful cheese cracker bottle wine sit watch sunset Hudson River . sit comfy chair , drank wine eat cheese little table balcony could watch city light high . room nice well . room modern , sleek design quiet . find small . staff friendly wonderfully helpful stow thing day check . parking available $ 50 night- bit pricey -- hey , 's New York . expect ? look classy , modern place access private outdoor area New York , book night ! 
 Jun 25 2009 	 last - nice hotel NYC ! 	 7 visit NYC many disaster find good hotel , time stay Avenue Hotel Broadway 77th . atmosphere unpretentious good taste . location upper west side pleasant - would call & quot ; hip & quot ; nice . short ride 2 3 subway Times Square , plenty restaurant nearby , 24 hour excellent Diner opposite corner 24hour supermarket across road . husband delight could open window get real fresh air ! well - travel middle - aged couple , love NY spite previous accommodation disaster . be look forward come back . 
