great 	 check check fab time Ny Ny - location central hotel ' ve stay new book . great room ( newly refurbish ) relatively low floor view unimportant casino bar great fun . lovely little coffee shop use bagel coffee breakfast round past starbuck piano bar . place buzz 24hour know not sleep 4 day visit . 
 great casino great people - not stay hotel 	 arrive Thanksgiving day San Diego , need family getaway ( say get away family : - ) book priceline put $ 90 four star well hotel , not lot choice hotel , price come back NY NY . read previous review online , want come open mind , prepare bad hope well ! arrive hotel , front desk extremely nice . not long line relatively painless . read previous review room , opt upgrade nice room $ 10 per night say remodel . enter room , like , way 4star hotel thank goodness upgrade . however , room noisy , every thirty second think hear roller coaster . imagine hear coaster Space Mountain pull , exact sound . call front desk ask time roller coaster stop run tell 11 pm . fine not plan room day , want make sure would able sleep . however , phone , bag arrive bellman informed roller coaster hearing , elevator shaft . ask move . accomodate . room ( moment write ) . room quieter , still hear elevator shaft . speak people work hotel , tell would not stay one room either & quot ; think design hotel room & quot ; . aestetecs ( sp ? ) , attempt remodel well state , update room . four star hotel Las Vegas strip - miss boat . new hotel go , getting completely revamp , afraid NY NY room look feel old Statue Liberty . popcorn ceiling , parquet panel armoire ( really , would think ? ) hideous bedspread look worn . sorry long write - up room , want let know expect stay . live forementione , good shape . the staff friendly throughout hotel , casino restaurant . absolutely would recommend gambling hear want play crap blackjack . table limit morning $ 5 11 am move $ 10 , depend busy . compare many 4 star hotel , great want play low limit . hotel minimum experience $ 15 friendly . huge shout Calvin Craps table , never miss bet chat everyone up . the nightclub ok , line . think indication economy location . club Encore hot spot Vegas time . NY NY hotel end strip , Excalibur , ideal location I . and , can not forget , LOVE LOVE love duel Piano Bar . go three night always fun ! always meet fun people really enjoy variety music . btw- ' m huge roller coaster fan , get talk go . sooooo much fun . however , everyone line agree not worth $ 14 per person . travel family , add quickly . in summary , recommend come NyNy little gambling duel Piano bar . , many GREAT deal strip , stay another hotel want peaceful night sleep . 
 great place stay . 	 nice location strip , many nearby attraction . hotel clean , nicely decorate , many thing . 
 great location okay price in - room coffee maker 	 stay NYNY , Las Vegas Halloween 3 night follow . excited 25th floor view diappoint . room clean modern , however bed uncomfortable . the air condite heat quick adjust comfort level bad part room probabaly reason stay return Vegas room coffee maker . call request one tell available . ( course could purchase pot coffee room service $ 9 plus $ 3 service fee ) . pool hot tub area clean entire casino . lot amenity site italian restaurant hotel excellent ! ! 
 Oct 24 2009 	 Loved NYNY 	 need break work take day week NYNY . small MGM / Mirage property tell . never hit real crowd . wait check 11:30 check do tv dropping & quot ; key & quot ; drop box . reserve Spa Suite wonderful . lot room move everything great shape . smoke residue , cigarette burn , room clean view great . run problem whatsoever . everyday room pick stock replenish . spend time pool since hear small . venture really small not spend time there . the gaming situation fine . although dealer cold , slot generous . choice dine good well . love fish & amp ; chip $ 10 . food food court good reasonably price . my real regret coffeemaker room , hotel either . , good hotel . be look affordable , cheap , close action , overwhelmed , something clean date , happy hotel . like much , book room December 22 - 25 . 
 oct 22 2009 	 great stay New York New York 	 last visit Vegas nice . first visit we stay New York New York . find hotel comfortable . 2 free night . check - in smooth & amp ; fast & amp ; employee friendly & amp ; helpful . room typical hotel room , nothing fancy comfortable & amp ; need . thing would like coffee maker did'nt go order usual cup morning coffee . would definitely stay . 
 oct 22 2009 	 's Venetian 	 well ... go stay venetian two night NYNY bind disappointed get GREAT deal room switch hotel remainder stay . upgrade ' suite ' ' m sure call . room tiny bed comfortable . 32nd floor could still hear roller coaster , airplane , traffic noise ( impressed ) . room date . love restaurant ny offer . 
 Oct 20 2009 	 Loved hotel ! 	 get free upgrade Spa Suite amazing . everything clean well keep . hotel right across street MGM Excalibur pedestrian bridge link NY NY hotel . make easy walk different hotel . definitely worth money ... stay Excalibur one night definitely subpar price . definitely recommend hotel stay anything less Vegas anymore ! downfall internet cost $ 14 / day . 
 Oct 18 2009 	 Best Hotel Las Vegas ! 	 say , hotel , like Las Vegas simply amazing . stay 4 night freind , first time Las Vegas . room start huge , 800 square foot , worth pay . spotlessly clean , could not fault . could not get big hotel . check - in easy , quick hassle - free , busy time month either . thing find dissapointe though ... rollercoaster roof - worth $ 14 one go . ask high floor - fifth view ever , sight rollercoaster go past window 2 minute ! one swimming pool small grand size hotel . price breakfast room service - quite outrageous honest - $ 8 coffee ! ! ! ! ! overall though would give 8/10 . 
 Oct 18 2009 	 great Stay Pool break 	 great stay room clean , atmosphere good . complaint pool brok whole time stay . enjoy hotel go . 
 Oct 17 2009 	 nice place stay play 	 hotel actually much well expect . room clean , wall thick , bathroom maintain . like hotel convenience check in / out fact elevator fast efficient . move lot people get be go quickly . pool look nice enough nearly large Vegas pool . interior hotel quite interesting make replicate New York City : walk look alleyway , narrow street . location hotel speak : across street MGM Grand , South Excalibur , North Monte Carlo . find casino accessible lively . 's layout pretty good opinion . cocktail waitress plenty really quick getting order . would definitely stay , comfortable stay , location . 
 Oct 17 2009 	 Nice atmosphere hotel 	 stay NYNY third visit - time hot tub suite , enjoy every minute stay . nice atmosphere , especially ' street ' around duel piano . 
 Oct 15 2009 	 great ! ! 	 love , everything could want right hotel ! ! 
 Oct 14 2009 	 good value 	 check - in go smoothly - reserve & quot ; playcation & quot ; room package , $ 69 per night include park ave strip view room coupon . check around 11 a.m. room ready . room 27th floor king - sized bed . ' ve stay almost every hotel Strip , include Wynn , Bellagio , Paris , MGM , Flamingo , Circus Circus , Mirage , Treasure Island , etc . obviously not nice big high - end hotel , room look recently remodel , clean , quiet comfortable . rent car , get parking garage easy . also , hotel close freeway easy get . not think would use coupon , end use welcome cocktail coupon , 2 - for-1 breakfast Il Fornaio , 20 % Nathans coupon . add bonus ! 
 Oct 14 2009 	 Great Place 	 stay NYNY Las Vegas & quot ; girl weekend & quot ; . clean comfortable . location towards end strip difficult get around . room small other , price could beat . great gaming table . duel piano worth see . great entertainment . 
 Oct 12 2009 	 Awesome ! 	 well view room couple travel we stay hotel . also pay lot less . location wonderful , shops/ restaurant great , casino fabulous ! staying go back ! 
 Oct 11 2009 	 beyond expectation 	 say , nervous hotel . never Vegas not quite sure expect walk room pleansantly surprised . quite large , great view strip clean . nice decor not flat screen tv anything particularly fancy , bed comfy bathroom good size hotel ( marble flooring ) . hotel New York theme kinda neat , roller coaster fun ride ( though ridiculously overprice , find , thing Vegas ) think next time would stay center strip quite walk & quot ; action & quot ; . try stay room 10th floor apparently quite bit noise roller coaster . totally ridiculous ' m sure standard hotel Vegas also $ 3 / day charge phone . not even use phone charge . also , free internet , be $ 15 per 24 hrs . think day absurd . really , fine hotel stay , long not look luxury . location , would stay sure . Pj 
 Oct 11 2009 	 would stay ! 	 mom stay New York New York 3 night . room small , clean comfortable . love atmosphere - it lay back hotel / casino , plenty . pool close last day due water problem , arrange we able use pool 3 nearby casino . wake - up call late - luckily already . room super quiet - we strip view roller coaster outside window hardly hear noise . 
 Oct 11 2009 	 beautiful hotel great casino ! 	 fabulous time stay New York New York Hotel Casino . room beautiful view window . staff friendly helpful . plenty entertainment good restaurant locate right inside hotel . also locate right strip easy access ton casino , restaurant , fabulous shopping . can not wait go back Vegas definitely stay ! 
 Oct 11 2009 	 Perfect Location Strip 	 stay New York New York 3 night July 2009 . could ask convenient location strip . 
 Oct 10 2009 	 hotel / casino wide variety entertainment eat venue . 	 New York New York great experience . locate near monorail ( MGM Grand ) , lot choice dining , entertainment , relaxation . service good , particularly love Il Fornao - wonderful italian restaurant centrally locate hotel . 
 Oct 10 2009 	 Loads fun ! 	 really fun hotel stay . room quiet night . like big selection place eat , neat place shop . New York theme really neat , ' ve never sort know must like New York ! husband like roller coaster , expensive thought worth . can not wait come back day ! 
 oct 9 2009 	 great stay ! 	 place fantastic , room century tower look 4 corner , veiw ! staff freindly room clean nice , houekeepe leave u lot goody u leave small tip ! $ 2 sign email deal , include alll mgm , mirage property , get great email deal . pay $ 29 per night ! 
 oct 9 2009 	 Great room Great Value 	 hotel close everything . room great price . view MGM Grand could see sun rise morning . 
 Oct 8 2009 	 Fun place lot ! 	 take trip friend friend 's 40th birthday bash . great time ! 2nd time , disappointed . room nice , great view strip . drawback bit hike elevator . nice casino , great restaurant bar house . Coyote Ugly blast ! ! great choice & quot ; homebase & quot ; Las Vegas stay . 
 oct 8 2009 	 Great Place 	 second time ' ve stay NYNY pleased time . hotel full fight MGM weekend , still enjoyable stay staff quickly take care everything . 
 Oct 8 2009 	 NewYork NewYork Hotel 	 spend 3 night hotel Las Vegas June 9 friend . service outstanding eat several restaurant / food stand hotel great food every time ... fancy restaurant way Nathan 's mini corn dog ! not win money casino , sure lot fun . great location . downside freeway run rather close pool get bit noisy stinky certain time . otherwise really like pool atmosphere : ) 
 Oct 8 2009 	 Faultless . 	 could find fault NYNY , last time stay MGM Grand suffice say feel NYNY far well hotel . century building room spotless , bed comfortable appliance etc working order ( include handy ipod docking station ) .We breathtaking view south Strip , pool small find space nice indeed . nyny had ton site dining option , could ever need good stay overall 's moderately price hotel great location atmosphere . excellent ! 
 Oct 8 2009 	 room really big ! 	 book & quot ; couple package & quot ; New York - New York Sept. 27 - Sept. 30 . room upgrade Park Ave . room . room bathroom large . also quiet . Booking & quot ; couple package & quot ; , receive coupon book good 2 free drink , 2 1 breakfast , 2 1 roller coaster ride . would definitely stay . 
 oct 8 2009 	 great view . room okay ... 	 HOTEL ROOM : stay ny , NY hotel strip . reserve 2 night stay $ 109 / night . check smooth problem except room ready . early check - in not fault . however , still offer we free upgrade big room 34th floor view . room long hallway get sleep area justify square footage . though hallway georgous , function . actual location sleep area sit area quite small . TV & lt ; 26 & quot ; locate way across bed . watch tv bed difficult . bathroom good size walk - in shower , tub . showerhead old type not spray well . look like fridge sink area . actually ice maker . not make ice make loud humming sound every 10 minute . good thing room view . 4 large window face West . backdrop mountain range , Orleans casino seem like residential community . day not much sunset night view well worth . FITNESS CENTER : fitness area one side property 3rd floor . cost $ 25 get . provide free bottled water , fruit towel . lounge area clean nicely decorate . 6 treamill , 2 ellipticle 2 stationary bike . individual tv monitor . also , olympic freeweight . staff fitness center friendly helpful . food bar : many restaraunt hotel . food good . & quot ; America Grill & quot ; charge every little item . believe ... $ 1.50 side ranch ? otherwise food good . bar & quot ; Dueling Pianos & quot ; major rip . charge we $ 9 domestic draft beer plastic cup . well place drink back & quot ; America Grill & quot ; .BEST thing : best thing like NY , NY location strip . across MGM , Tropicana Excaliber . connect via pedestrian bridge . bad thing : thing hate hotel front desk rep . always get different answer . try stay extra night . night , rep say would rate pay previous night ( $ 109 ) . come book extra night , differenct rep say would $ 149 would not budge . night , decide take $ 149 say go . figure SOL . morning another rep say , & quot ; oh , problem stay another night $ 79 . & quot ; frustrating . one could get story straight . bottom line ... not try modify reservation . will get confused . 
 Oct 8 2009 	 New York New York Las Vegas 	 great trip Las Vegas disappoint New York New York . like location , food okay , small pool , gamble okay enjoy trip . we probably stay NYNY , many really hotel big nicer . 
 Oct 8 2009 	 wonderful hotel friendly staff ! 	 boyfriend come Vegas day book Park Avenue room view Strip . really high hope NYNY bad experience Stratosphere early trip . upon arrival , inform room available . state would take 2 Queen bed tell King bed take Park Avenue room . not get angry go along . not know calm demeanor , desk attendant decide upgrade we Ziggurat Suite ! ! excited . room amaze able King bed . show courteous thing not go planned go long way ! ! thank NYNY ! ! 
 Oct 8 2009 	 use good 	 Dirtier average . charge internet use approx $ 18 per 24 hr . even airport wireless access nowadays . offer coupon breakfast , bet , spa , etc difficult cash . end eat MGM next . 
 Oct 5 2009 	 bad place stay ! 	 stay NYNY late August Chrysler wing . room face mountain rollercoaster ( thank goodness ! ) . room kinda lack - luster .... clean ! flat - screen tv & amp ; no - frill bathroom . great food & amp ; great location ! would rank hotel 3.5 . 
 Oct 4 2009 	 Fun hotel amongst Vegas glitz 	 second trip Las Vegas choose New York New York mid price range fun facade . happy choice - four night spend comfortable entertaining . I see review complain long check - in line - since arrive 1:30am not trouble . think receptionist could tell jet - lag ready drop quickly confirm everything , show map hotel ( hotel need MAP ? ! ) point direction correct elevator . room fifteenth floor New Yorker tower view roller coaster Monte Carlo parking lot behind . two queen bed whole lot extra space comfortable . air conditioner bit noisy end turn - room keep cool quite well overnight air con run day . hear little & quot ; noise & quot ; room next door one morning faint say good luck . ; - ) marble bathroom really nice , good bath shower . little bemuse though despite sign ask conservation water reuse towel , maid change towel every day matter hang . someone dry climate really try environmentally friendly maid service not cooperate . perhaps go late afternoon perhaps outside main holiday season , not think pool small crowd like reviewer . would like deep section ( 3 foot pool 4 one small area ) perhaps bit cool give hot outside temperature lovely able kick back margarita pool sun lounge late afternoon . not go Vegas sit beside hotel pool day ! perhaps one criticism would hot dog place try late one evening - pathetic revolt hot dog ever , couple burn fry & quot ; root beer & quot ; taste like cough medicine . bad go lobby half asleep choose first hot dog stand saw - think well one may near bar ! also try get room service breakfast final morning first two attempt get answer third attempt give wait hold 5 minute . New York New York fun hotel stay . 's convenient rest Strip ( although central - not want walk , catch bus monorail ) , casino section reasonable enormous get lose great facility . could stay week eat different outlet / restaurant every night still cover suspect . 
 Oct 3 2009 	 Honeymoon vegas 	 stay hotel honeymoon first time Las Vegas . location hotel great . corner room spacious amazing view strip mountain . nothing luxurious room nothing complain . hear roller coaster really listen . eat many restaurant . nine Fine Irishmen favorite . nice atmosphere great food . Chin Chin Café overprice nothing could get everyday takeout restaurant . Il Fornaio good great value . America large portion split food since fridge room . one thing soon discover Las Vegas not much open 8 am . East Coast ready 6 7 am Vegas time walk across street McDonalds . go Zoomanity wonderful time . beware intend sit first row not interested interactive . visit many hotel show . plan walk lot keep traffic mind taxi show another hotel . great trip . likely try hotel future trip many choose . 
 oct 2 2009 	 Nice Hotel Expensive Phone Charges 	 great hotel stay , room dark . make ten minute call Las Angeles , phone bill come expensive room cost . not use phone . pool limited hour . fridge room 's . close fun activity Vegas , well worth stay . 
 Sep 29 2009 	 AWESOME AWESOME AWESOME 	 stay 6 day still could stayed long ! fab place , Neat tidy well equimpt room . excellent room service cleaning . get chance treat & quot ; Spa & quot ; would highly recomend . staff super friendly . casino stair several top class restaurant , fab little french cafe great fresh fruit breakfast . nightlife excellent piano bar & quot ; Rok & quot ; nightclub . roller coaster must , cause else world & quot ; coast & quot ; around hotel ! really not even need leave hotel get good vegas ! ! can not wait go 
