after 	 customer - orient hotelvery low service levelboor reception 
 hotel brilliant ideal theatre break 	 friend stay theatre break . hotel clean , staff helpful , room comfortable , breakfast superb . could not fault thing . great location tube cram fair amount sightseeing short time . london aquarium , natural history museum harrod name either short walk tube ride away . nice pattiserie couple minute away tesco 's express . tube less minute away .It good stay early 2010 couple night another theatre break . I would recommend hotel anyone . 
 expecto Holiday Inn 	 arrive 23,30 hour could recommend restaurant decide go Tesco , limited choice hingry carenext day rang bell 8,00 hour clean room , nice waken earlyevery day give we candy bar two bottlet water whic nice touch . all , normal chain hotel nice location ( close chelsea , 45 minute walk Picadilly ) , back find anthe close picadilly well price ... 
 Great Price Terrific Location 	 stay Kensington Forum October , visit London mother . room two double bed surprisingly roomy , consider small hotel room previous trip London . the room quiet , clean , bed pillow comfortable , service adequate . service issue speak , be overly - friendly hotel . ( expect Holiday Inn . ) location absolutely wonderful . number coffee shop small restaurant nearby , well grocery store mall next hotel . pick apple fruit , add coffee muffin / pastry cafe . subway within one block hotel , could not ask convenient . well , good weather , walk everywhere ( probably average 10 kms day ) . be nice neighbourhood safety concern . our main focus book look low price good location . absolutely find Kensington Forum would hesitate stay . . .or recommend friend . 
 Oct 20 2009 	 save grace location 	 Holiday Inn Kensington Forum fine like large , impersonal hotel mediocre service , overcrowded breakfast room not mind tired decor . we use Holiday Inn brand lot trust . first time stay Kensington Forum probably last , unless get incredibly good deal . we find front desk service unfriendly indifferent . hotel busy night stay queue lift little tiresome time . room clean tired public area see . bedroom , although recently upgrade new bed ( comfortable ) wall paper unstuck seam throughout room rest furniture appear quality budget hotel brand - tv outdated model . room quiet apart hum minibar . Breakfast felt hassle . room pack capacity queue food buffet . zealous ( attentive circumstance ) staff clear unfinished drink collect cook food movement around room plate difficult crowded circumstance . location excellent - near Tube walk distance lot attraction . think could well next time however . 
 Oct 15 2009 	 Lucky Us ! 	 use Hotwire first time , request 4 - star hotel Kensington - Chelsea area . turn excellent property prime location . half expect noisy room elevator bargain price pay , instead get 17th floor room awesome city view . location could well Gloucester Road tube station minute ' walk hotel . Piccadilly Circle line take we everywhere want go quickly conveniently . excellent grocery store corner make easy keep in - room fridge stock breakfast item . concierge desk staff knowledgeable friendly gent whose recommendation consistently excellent . room comfortable , well light , well maintain housekeeping staff . negative room , fit twin bed , small even two adult . also , suggest take wash cloth , remove daily always replace . bottom line would definitely return property comfort convenient location . 
 Oct 14 2009 	 Great Location clean good place stay ! 	 sister recently stay spend week London . hotel conviently locate . tube stop within close walking distance . grocery store two pharmacy . couple pub , great patisserie even fast food restaurant within block . hotel clean room decent size . concierge ( Peter ) awesome ! friendly , helpful reccomendation direction . front desk less helpful much less friendly . housekeeping staff efficient helpful . overall , would recommend hotel friend , would probably stay , great location clean . 's great place stay need clean , well locate , safe place stay not plan spend much time hotel . 
 Oct 13 2009 	 room big enough family 3 	 pay executive room big enough family 3 . daughter old enough adjoining room . room sofa bed climb get toilet daughter bed . ' m glad fire alarm not go night power cut doubt one we would ' ve accident . room tiny . complain staff tell we good room . must kid . when check hand Scottish £ 20 note FIL ( Woman ) give huge sigh , seem bother accept although say nothing else . 
 Oct 11 2009 	 Girls Trip 	 hotel ideally locate next tube make perfect get anywhere need go . great museum within walking distance . room bathroom clean . little small US standard big enough two we . complaint staff front desk . one lady could rude act like want bothered job . other friendly follow say would . many phone call visit front desk regard able connect internet finally tell working room knew not check . even tell upgrade special occassion trip . however , pay upgrade make reservation . the conceirge good knowledgable . several place eat close . trip wonderful . mean , London . be look place sleep ideally locate sightseeing would recommend hotel . 
 oct 9 2009 	 great hotel great location 	 read review hotel bit skeptical due fact cater group , really like . even though 's chain , staff helpful friendly . not feel like another number . cater group , mean airline pilot , flight attendant , school group . large group japanese student stay sometimes could get little loud . could see large group pilot something check , could problem one try check time . really like hotel - room decently sized , nice bank lift lobby , , staff friendly , go long way ' ve get ten hour flight . be right around corner Gloucester Road tube station , also , great . 
 oct 9 2009 	 favorite affordable hotel London 	 stay several place London - comfortable serve perfect spot recover full day explore city . be great ? starter , be clean , relatively modern , well - appoint . room spacious London standard amenity need . even well hotel 's location - literally two - minute walk around corner be Gloucester Road Tube Station host small shop , pub eatery . even well , within walk distance number attraction include museum shopping . little touch complimentary candy bar juice stock room day nice touch . be London fan intend stay ! 
 Oct 8 2009 	 adequate 	 hotel not wow , not bad either . perk : right block tube , nice staff bar , comfortable room . however , downfall : rude front desk staff . this hotel favorite among airline personnel seemingly check hour however group allow check one moment soon . also , one colleague want leave room key wife front desk staff would not allow so . you could bad , hotel 's proximity tube . 
 oct 8 2009 	 absolutely wonderful experience ! 	 parent stay Holiday Inn Kensington Forum early year . seventh visit London first stay area . pleasantly surprised hotel . european standard , room big . clean quiet . breakfast fill pretty good , . hotel within walk distance Tube make travel easy . also within walking distance Harrod 's lot restaurant . restaurant hotel not eat prefer try luck local eatery . staff pleasant helpful . we always nice stay London , feel Kensington Forum head shoulder other . would definitely stay highly recommend other . 
 Oct 6 2009 	 ok other nearby well . 	 large hotel , well place . room small expect . the bathroom tiny . breakfast room get busy time . long wait time use lift . nearby hotel nice lounge area well room . 
 Sep 23 2009 	 never 	 book hotel Europe never poor experience .... fact , never write complaint . husband check give regular room . show room smell terribly musky . go front desk , stand line half hour , interrogate clerk finally give similar room different floor smell . mold corner tub , well malodor . experience small size european hotel , hotel room smallest encounter . practically go sideways get bed window area . tv circa 1995 . , important , room telephone work , emergency , could serious matter . report phone check . stay Sept. 18th thru 19th glad stick one night . never would recommend hotel . KHR , tenafly , NJ 
 Sep 21 2009 	 great stay friendly service great location 	 spouse son fiance book two standard room 10 - day stay . arrive e - mail hotel ask whether room in - room safe . prompt reply indicate reception area deposit box temporarily service , offer upgrade room executive room extra cost . room ready mid - afternoon check - in . request double queen bed no - smoking floor 's get . staff reception friendly , helpful . room clean quiet . housekeeping staff good job cleaning re - stocking room , , like rest staff , friendly . booking include continental breakfast , selection include cereal , fruit , yogurt , juice , meat , cheese , bread pastry . full - english breakfast upgrade available small up - charge rate . american traveller , room US - spec 110VAC outlet use without adapter converter . price pay room reasonable . all staff encounter knowledgable friendly , make we feel welcome . negative call make room friend 's mobile phone -- £ 14.00 7 minute . the neighborhood upscale residential area full restaurant easy walk distance range & quot ; fast food & quot ; up - scale wide variety cuisine -- never bad meal . other note , Gloucester Road tube station within couple hundred meter serve 3 key tube line . we please hotel staff rating category five tick without hesitation . 
 Sep 20 2009 	 locationlocationlocation 	 love Gloucester Rd neighborhood first time stay HI Kensington Forum . quick block Gloucester Rd tube station turn immediately right Tube walk first street Milleniums be - try enter Cromwell rd confusing ) . ton restaurant , boot , Waitrose , Starbucks , Tesco open 24hrs Cafe Paul 's die - for pastry . the hotel look much virtual tour . double book HW fantastic rate . give smoking room request check . several airline use hotel staff also cruise line group conference go , hotel staff never harry busy help move quickly pleasant . check quick easy . the double room small London one person walk bed time . however , layout give storage space closet fit 3 bag completely . 23rd floor great view Albert Hall Eye . elevator always prompt despite many guest . mark rips wallpaper etc overall room good shape room bath clean . great hot water good pressure shower . middle re - branding 4 day stay mean new signage new pillow . bed firm , bad back , sleep well . one odd thing : give 2 bath towel 2 people . maybe ' m towel hog , like one hair one overall dry . next morning ask maid receive another towel . however , another maid come make room take back extra towel also take personal facecloth travel . case , hotel steal towel lol ! would say well standard HI location can not beat . overall good job hotel see much turnover . would pay get hw still feel worth stay . give ' very good ' base staff , rate , location . would stay hotel . 
 Sep 19 2009 	 would stay 	 stay 5 year ago . like location decide stay . even well . hotel update staff friendly . busy location . room size good . everything comfortable work well . location close tube station grocery store ideal . would stay . 
 Sep 8 2009 	 average hotel good location 	 hotel good location . tube block away restaurant grocery store within easy walk distance . hotel typical chain hotel . room small adequate empty fridge great ammenity . like able open window air conditioning also need . want reasonably price place stay London convenient location , good choice ! 
 Sep 8 2009 	 great get decent deal 	 got double room 99 dollar hotwire . amazing deal place . 's elegant beautiful -- definitely & quot ; boutique & quot ; hotel feel be look . nice gym , nice restaurant , great reception desk , helpful concierge , nice room , option get different pillow uncomfortable . overall comfortable pleasant stay , would definitely return . however , lot charm London feel hotel could anywhere . really feel like & quot ; London & quot ; try boutique hotel -- ton South Ken area . 
 Sep 7 2009 	 Excellent Hotel Excellent location would definately stay ! 	 slightly worried read review site wait hotel however could not pleasantly surprised . room spotless nice selection toiletry bathroom re - stocked day , also bottle water , fresh orange kit kat chunky leave day nice touch . excellent choice breakfast time serve til 11 am weekend do not mean early get make time . 2 min walk tube ton little bar restaurant within walk distance along boot , Tesco , Waitrose & amp ; sainsbury . although arrive 12:30 pm could not check 2 pm secure room leave luggage able go wander mean time . overall great hotel great price , would definately stay ! 
 Sep 3 2009 	 Great Customer Service 	 London often hard find good location good customer service place - Holiday Inn Kensington Forum could not ask more . the food ( buffet lunch ) wonderful , selection sandwich , salad , cous cous spicy wedge potato 's , fruit salad cake good fill need . bedroom fine need ( good night 's rest ) feather pillow request greet friendly confirmation way . I would definately stay - business leisure . just short walk Harrods . short walk tube hassle walk mile road . 
 Sep 2 2009 	 much Better Reviews Suggest 	 first hotel review ever . wife Portland , Oregon , USA . stay 16 night Holiday Inn London Kensington Forum June July , 2009 London attend Wimbledon . less enthusiastic review give hotel reflect experience . cleanliness throughout excellent . room size adequate . room well insulate outside noise . breakfast good , many choice excellent service . service area , level good . reasonably price business center on - site . Gloucester Road tube station one short block away . many shop , grocery store , restaurant close hotel , include internet cafe . many London 's famous attraction within walk distance . little thing , take grant work , irritant not , fine , : firm , comfortable bed ; window open ; adequate mirror ; clothe dry line across bathtub ; sink shower drain properly ; stopper sink seal , good laundry ; night shade overlap window enough keep light ; mini - bar refrigerator run quietly ; free newspaper daily elevator waiting area ; in - room safe ; american sized wash cloth ; light work ; enough electrical outlet ; enough hanger ; central air conditioning work run quietly ; adequate elevator ; toilet problem ; shower curtain seal water leak onto floor ; anti - slip surface bathtub / shower ; exhaust system bathroom remove condensation shower ; always enough hot water shower . free short term parking hotel 's entry area friend come pick we drop we . use , taxi rank right hotel . room rate include two full breakfast , free bottled water Kitkat candy bar day competitive rate hotel consider . complaint : exorbitant phone charge , even local call , use in - room phone . 
 Sep 2 2009 	 Hotel average ... serve 's purpose 	 get $ 70 / night deal hotel Hotwire . sure regular rate room , personally would pay $ 100 hotel . be rate 4 - star , also stayed equivalently rate Marriott London , 3 - star Holiday Inn Express Scotland , service room much well location . hotel one block Gloucester Rd station Picadilly line . room small , large enough fit bed get around . bed comfortable room clean . in - room internet outrageously expensive 15 pound ( $ 30 ) per day . not try restaurant bar locate Lobby , check menu price .... 8 pound ( appx . $ 16 ) burger , would definitely venture neighborhood get something else . overall , hotel ok serve 's purpose place clean bed sleep . hotel appear get lot hotwire customer , treat accordingly ... word , not expect staying room view be likely go get room near elevator ... hey , mean save cash spend well thing London , will sleep elevator necessary . 
 Aug 30 2009 	 great hotel lovely location 	 get great deal hotel overall impressed . excellent location next Gloucester Road tube station 3 train line make get around London really easy . area around hotel safe lot restaurant , cafe shop nearby . not breakfast hotel find problem find place eat morning . room decent size , appreciate fridge room . Maid service good staff always pleasant . would definitely go back ! 
 Aug 22 2009 	 extremly helpfull staff 	 spend one night hotel , , myself boy ` ( aged 11and 12 ) never london , staff could helpfull , help place see get , treat respect question ask treat silly waste time . the room clean , tidy good size extremly quiet . plenty cheap place eat , Gloucester road tube station around corner , also tesco express waitrose nearby . good place stay easy get museum , buckingham palace etc . would highly recomend . 
 Aug 21 2009 	 good location one excellent concierge problem 	 family stay 6 night Aug. 15th , 20th , 2009 . location hotel really good . two room room clean bright bed comfortable enough come breakfast kid 12 eat free . make reservation 2 moth ago request 2 connect room tell could guarantee connect room later . call long distance front desk hotel night leave make sure remember assign connect room child 12 year age need monitor night . big surprise hotel assign connect room family complain profoundly , finally arrange connect room arrival . , house keep another annoying bit hotel . House keep staff good job cleaning cup spoon . nice friendly staff professional concierge name Peter . good job wonder work . work much well establishment hotel . 
 Aug 18 2009 	 Maid Service Poor 	 arrive hotel around 7:00 . know check - in time 2:00 pm , think have ask room might ready . front desk ( trainee ) tell we might & quot ; couple hour & quot ; . step away desk , employee next area show we brochure say pay 30 pound breakfast two , could guarantee room would ready hour . , would wait . breakfast airplane , decide wait lobby & quot ; couple hour & quot ; . think tacky hotel kind offer . ' ve never run anything like . either room readie , can not . wait , ask reception . say give & quot ; five minute & quot ; . wait hour long . finally ask woman sit ( read email ) Customer Relations desk status room . want know wait little long come back 2:00 pm . call housekeeping , room ready 10 minute ! .... bathroom smell urine . coarse 6 - day stay , housekeeping spotty . dirty towel take , replace . use coffee mug cup . last day , leave toilet paper ( even square ) . plus side : near Gloucester Tube , walk distance Harrods . room decent enough . queen twin ( apparently many ) . 
 Aug 17 2009 	 never read book cover ! ! ! 	 get hotel price line 4 night stay boyfriend anniversary , £ 80 night inc taxis , however read review hotel worry stay .... although admit need ! ! ! side hotel look horrible , inside quite nice ! arrival staff helpful , arrive 10 am take bag go national history museum ( 10 min walk hotel ! ) , arrive back hotel 1 , room ready upgrade we executive room . room perfect size , spotlessly clean , well equip ( hair dyer , iron , trouser press , tea / coffee facilitate etc ) .after return dinner staff leave bottle wine room card wish we happy anniversary , lovely touch ! hotel nice neighbourhood also right beside tube station , Glouster road , provide direct route majority main sight . additionally amount room people stay hotel hear see one person corridor whole 5 day ! stay 5 star hotel 4 star , may facility ie : pool / spa etc , however rounder kensington forum defiantly . currently appear renovate room one sure even well ! book hotel , look forward enjoy ... can not wait next visit ! 
 Aug 15 2009 	 Great Location Sightseeing 	 almost right next Gloucester Rd underground - easy walk entrance hotel well signpost , end walk three side hotel get arrival ! little biy delay check staff pleasant helpful . have request double room , available time book note reservation could double want wait . keen get take twin fine . the room expect Holiday Inn although could use bottle opener give mini bar . shower pressure could better 16th floor great view . full english breakfast include rate good indeed - staff busy clearing table promptly fresh food keep arrive time . we also dinner hotel one night would probably go check local cafe next time . easy walk Kensington Palace Park Hyde Park , museum Harrods easy get around underground too . all , hotel great weekend stay would stay . 
 Aug 14 2009 	 efficient hotel good location 	 room small expect , everything need . room excellent view London Eye . location block away underground station Picadilly line direct Heathrow Airport . internet extremely expensive 15 pound per day . breakfast ok , worth pay 's include room price . arrival day hotel overbooke , seem manage fine , offer drink coupon make wait couple hour . 
 Aug 13 2009 	 good quality great location 	 literally around corner Gloucester Road Station , go anywhere London within minute tube . sightseeing main priority hotel great base explore city . stay begin end trip , time double room clean , comfortable , good size . bathroom compact modern clean . be look clean place rest head decent price want flexibility check please , good place . be look luxurious room spend day , London anyway ? P.S . not bring car avoid , parking EXPENSIVE . 
 Aug 9 2009 	 Good service 	 first impression hotel ok , altought lobby roomy quite good looking . reception service exelent - altought five minute stand , receptionist appologise three time ! first short que ( one receptionist , people start show , three come ) , need go back room check could give double room instead single thirth time printer slow . time tought little much ... room ok , wallpaper detahced place . continental breakfast good assume . 
 Aug 8 2009 	 Excellent Hotel - Great Location 	 really good hotel choose area book concert Apollo Hammersmith . pleased room also aircon hot London time . superb breakfast great fitness room . close Kensington Gardens Natural History Museum . tube station round corner . 
 Aug 7 2009 	 Staff super every assistance give disabled son 	 stay hotel 3 night end July adult son want see West End Show . bit nervous severe disability make find suitable accommodation difficult need worry . find hotel easily Sat Nav two disabled parking space front . easy access hotel even though arrive early book we soon suitable room become available shortly afterwards . two room interconnect door perfect arrangement accessible room plenty room wheelchair big bathroom ( bath rather walk - in shower problem we ) . check Stephen offer we use hoist , something never offer hote beforel . fil arrange breakfast bring room morning extremely reasonable tray charge 2.50 per tray ( need two ) breakfast delicious . public area spacious , plenty room lift corridor door wide enough large average wheelchair . accessible London Taxis outside door time want go driver extremely helpful . many place interest V & amp ; , Science Museum etc . actually within walk distance theatre fairly short taxi drive . concierge provide information need various door man could helpful spite volume business ( big busy hotel ) . really relax short break hotel would look accommodation London . 
 Aug 7 2009 	 Good Location New Room Bad Service 	 hotel great location 1 block Tube , Grocery Stores , pharmacy 2 block natural History Victoria & amp ; Albert Museums . hotel 's good feature . alas service not . my room good size european standard , recently overhaul include hair dryer , fridge , air conditioning . everything work fine . cleanliness complaint cleaning service remove dirty glass decay lemon wedge room kettle service . get room slow construction crew work floor horrible elevator require room key operate . I unable check room 5:30 pm lose afternoon sightseeing , well other line send hotel overbooke . ridiculous delay , get upgrade breakfast demand get 50 % internet . substantial saving internet 15 GBP 24 hrs .. employee could care less serve , constant problem front desk , coffee bar , porter . concierge desk exceptional . gentleman help we speak doctor , give good direction , help we find excellent indian restaurant . breakfast good , never wait seat . run well . recommend Forum despite service problem . get good room rate , worth overlook . try get upper floor room , seem clean first . 
 Aug 1 2009 	 Excellent stay 	 stay 8 night two executive room . staff friendly helpful . come early get us room noon ( normal check 2:00 ) . hotel clean excellent A / c system . bed though bit firm least queen size sport comfortable pillow . provide we free bottle water , OJ candy bar every day . elevator fast , never wait pore 1 - 2 minute ( unlike one review complain slow ) . like sleep late often get noon later . maid always make room . conceirege available 24 hour per day always helpful . hotel locate block away Glouster tube station ( station multiple line ) make get around London easy . hotel locate quiet upscale area . always feel safe walking around . try hotel restaurant . one local restaurant stand excellent food , & quot ; Olives & quot ; locate one block away . go back London , would definitely go back hotel . 
 Jul 28 2009 	 Poor serviceNot friendly assistance 	 hotel entrance easy find main road station . small sign . reception staff unfriendly , talk long time , even ask question . 4 star hotel service . room key not work , force come reception desk nothing appologize . concierge also kind customer . let we wait , answer rude . lobby big room small , will not stay . 
 Jul 27 2009 	 Poor Customer Service 	 & quot ; Guest & quot ; room small come twin bed comfortable . suppose double bed tell book . would upgrade use travel agent . poor attitude reception thing worth mention mold shower absolutely nothing mini fridge . exactly point room 's nothing ? upgrade next level room , fridge stock . stay cruise happen decide go Paris one day . hotel confirmation make copy want give we room even though already pay month advance . 
 Jul 23 2009 	 GREAT HOTEL ! : - ) 	 think hotel great . travel alone feel completely safe . hotel staff friendly helpful . room clean , bed comfy always make time arrive back day . ( stay 9 night ) tube station 2 min walk hotel awesome . across street tube station Tesco ( grocery store ) , Burger King , KFC restaurant . also internet cafe nearby . walk History Museum Science Museum . location perfect . it would ve even perfect throw microwave mini fridge ! hey , enjoy stay would definitely return . 
 Jul 21 2009 	 convenient location 4 - star room service ok 	 convenient close tube station . check , give we smoking room 2 twin bed although request double bed non smoking book expedia . claim 's request guarantee . manage change non - smoking double bed room 2nd night . 7 - night stay , ' ve re - program key ( ) couple time , not know owe put close Oyster Card not . room size fine european standard , be clean tidy . good different kind electic outlet , charge camera , laptop without adaptor . during last day stay , ' ve got invoice charge we $ 67+tax accomdation , ' ve pay everything come , go ask . although take we apology ask we pay $ 2.50 phone charge . concierge desk - one good , either polite knowledgeable . because be $ 67pounds/ night ( internet rate ) , be many AA crew stay , see every day be . 
 Jul 19 2009 	 great location definitely 4 star hotel 	 hotwire 4 star hotel gym Kensington area hotel end $ 170 / not . great serve purpose decent hotel bustling area . LOCATION - hotel locate around block Gloucester tube station ( get Oyster card ) , 3 grocery store , several fast food restaurant open 1 ( KFC , Burger Kind , starbuck , falafel place ) , several restaurant 2 great gastropub ( Hereford Arms one go ( free wifi ) -- skip & quot ; aim american tourist & quot ; Stanhope Arms ) ATM machine . tourist bus pick up / drop tube station hotel walking distance many museum Harrod 's . Bobo 's Bubbles must anyone want save money launder clothe . 's street convenient . ROOM service - room obviously one renovated one . even though request true king queen bed , room 2 twin hastily assemble king mean one we always fall gap bed . tv primitive fridge thought would absolute must utterly useless empty mini bar little liquor bottle space fix shelf could put anything except can . bed comfortable door bathroom slide door lock . service joke -- & quot ; evening concierge & quot ; double day doorman knowledgeable anything -- honestly , last thing want hear ask cool pub go & quot ; not go bar hotel ? & quot ; -- really ? day concierge , hand , quite amicable know lot tourist attraction great suggestion . sink room clog completely 5th day call downstairs 4 time noone come resolve problem . end brushing tooth wash hand tub ( joking ) . room key problematic -- 6 night stay , key reprogramme 4 time . another gentleman also note problemamenities - gym actually bad . cardio machine new computer issue cause either completely stop reset program . leak water dispenser cause slight flood near electrical outlet - little scary . fitness room key also work rekeye 2 time . 's 21st century -- unacceptable 4 star hotel offer free wifi . end story . long perk -- 's necessity . as SPG member , try stay loyal starwood hotel would stay anymore Holiday Inns one indicative quality European Holiday Inns . , would recommend anyone look well locate , frill hotel cost issue . 
 Jul 18 2009 	 great location really 4 star ? 	 stay september last year partner day go theatre see sight London . rather write novel , will give list good bad point . good : - great location ( 2 min walk tube station ) - good selection food breakfast buffet.- restauraunt staff efficient helpful.- good pub , late sport show multiple tv 's , friendly bar staff . got busy weekend , expect really.- helpful staff front desk , give good advice eat locally.- clean bedsheet ; bathroom.- local shop , mini - market etc- situated quite up - market area.- Nice view city hotel goodness know many floor . 9th floor get decent view.- Quiet room , get good sleep comfy bed . know important comfy bed be . bad : - convinced class 4 star . can not see set apart 3 - star hotel ' ve stay - fact 's London , posh area good food.- Building bit date , be stuck era.- Decor room bit dated.- Room small thought go . really crash night . would get depressed sit day ( due bad weather etc ) .- ask non - smoking end smoking room . naturally smell smoke.- Air - conditioning make smoke smell even worse , point eye almost water . woke sore , dry throat every morning.- iron ironing board . handy see go theatre night able iron airplane baggage hold crease clothe ! know book though , would nice addition ( consider pay ) .All , decent hotel , think may try somewhere else next time purely see else available kind price . would recommend day stay 's close tube station get good breakfast comfy bed . make sure , however , get non - smoking room , smoke smell begin annoy we bit . fact 's decent area make feel quite safe too . as 4 - star rating , ' m convinced - reckon lot hotel London get away high price top star rating purely London . hotel city UK , would definitely 3 - star book . Hope help . 
 Jul 16 2009 	 Great Location . 	 good time Holiday Inn London Kensington Forum . location five minute walk Gloucester Road Tube stop . snag check , good stay . eat breakfast hotel couple day think overprice quality food . 
