rude 	 second time short hotel . will not come back ! state other , would hard pressed find well location . also , room clean tiny . tiny ok 's expect , complaint there . on occasion however , staff less helpful . accentuate fact simply know much English . eastern european accent clearly shine , problem English stretch beyond basic vocabulary . sadly , doesn't . this make conversation difficult , open misunderstanding galore . also , never offer extra be suppose IPrefer member ( even ask ) . not bother try explain expect ' ve promise thing book , 1 ) understand 2 ) seem simply care anyway . 
 mixed feeling 	 hotel location make several inconvenience ! put ' spare ' room first 2 night : small washing table , bed corner room shower design disabled person . also bad smell come airco . finally get well room : spacy bit noisy . tv set small need binocular watch tv . breakfast disappointing breakfast staff unprofessional . Wifi available extra cost , find strange expensive hotel like . say : be locate close shopping street Bond Street Underground station make disappointment . 
 Oct 13 2009 	 incredibly helpful staff adorable hotel . 	 location beat Mandeville . two block Bond Street tube station Oxford Street . great variety restaurant around hotel - two favorite Pontefract Castle pub Woodlands Indian Vegetarian Cuisine . staff Mandeville could helpful . Carlos other staff concierge desk pleasant efficient restaurant staff wait we breakfast every morning , hotel make sure stay perfect . 
 Oct 6 2009 	 Excellent location service style 	 stay 4 night - clean well appoint room - location excellent oxford street end Marylebone High Street approx . 2 min bond street similar distance selfridge . staff polite , helpful efficient ... ( shirt press 15mins request , room service prompt etc . ) lunch client restaurant good discreet .. not manage spend time bar tea room hopefully next time . Decor style hotel exceptional without doubt ' unique ' hotel . 
 oct 4 2009 	 fantastic location excellent staff comfortable room 	 wife stay Mandeville 1 week vacation London . hotel staff fantastic , room comfortable nice , location great . location : location hotel awesome . neighborhood fill cafe , restaurant , boutique shop . find multicultural area , italian , french , turkish , Thai , Spanish , indian , chinese restaurant within minute walk Hotel . course , also several traditional English Pubs well American & quot ; Grill & quot ; block away ( see Restaurant Tips ) . weather great people sit outside table line sidewalk . great atmosphere fun people watch . Oxford street couple block away fill store shop ever need . additionally , good Antique market 10 minute walk hotel kind goody . since come London visit site , see play , experience culture , want somewhere convenient tourist type attraction . major site close Mandeville walk , however 5 minute walk hotel Bond Street tube station use visit site want see London ( Central Jubilee Lines want look Tube map online ) . site one three stop away recommend get pay go Oyster Card go town day pleasure trip . ' m glad select Mandeville hotel consider near major site lack variety cafe restaurant Mandeville . nice end day vibrant neighborhood stroll several quaint place stop drink , coffee , desert . hotel : deluxe room 2nd floor ( actually third floor we Americans lobby Ground floor , room start 1st floor , etc . ) . room huge spacious european standard . plenty closet space , room safe , desk area , good size bathroom . bed comfortable even though face street , relatively quiet night problem sleep ( window double pan ) . complaint room carpet bit worn need good steam cleaning . the staff friendly accommodating . Ian concierge give we several great lunch dinner restaurant recommendation base area town would great job balancing cost vs. quality . always greet come go friendly doorman porter . request extra towel soap , someone knock door within minute . internet access room offer expensive ( around £ 12 day believe ) . however , offer free lobby bar area fine get initial disappointment cost room service . turn need access internet much expect comfortable use free WiFi lobby . travel business expense , go room service . the Bar hotel nice hip although prepared pay drink cheap . enjoy drink well late night snack bar one occasion , include Saturday night . bar never pack crowd always small good crowd there . the Restaurant nicely appoint however many good choice neighborhood never eat dinner . first breakfast would recommend unless include room rate . food fresh good , price ( around £ 18 continental breakfast £ 22 full english breakfast ) dozen alternative short walk away . enjoy James Rotisserie Café front door 1 ½ block leave . £ 5 get full english breakfast organic egg , Sausage , Bacon , mushroom , tomato , toast . wife love fresh fruit salad Café Mochas . typically breakfast coffee two us outside hotel less £ 18 , price one continental breakfast hotel . a couple restaurant 2 – 5 min walk hotel try : Sofras – Excellent Mediterranean tapas type restaurant . price reasonable plenty choose from . Café Caprese – French inspire crepe café serve lunch , dinner desert . ham cheese crepe lunch one day wife enjoy spinach , egg , cheese crepe . separate occasion share desert crepe fill Nutella Bananas , top vanilla ice cream . excellent . we also eat italian pizza place well spanish tapas restaurant area , ' remember name . however good . lastly , little " convenience " store block leave front door hotel sell bottled water , magazine , liquor , cigarette , snack , etc want stock save money vs use mini bar room . overall great experience , would definitely return . 
 Sep 29 2009 	 Excellent value 	 room nice - comfortable , generous , size ; luxury amenity heat mirror towel rack ; spotless maintenance housekeeping ; good mechanical ( quiet AC , fast hot water , etc ) . complaint would desk chair low typing , towel quite scratchy , elevator little slow . great location , central , easy access underground , lot nearby restaurant shop . good news price - pay 120 pound per night ( less $ 200 ) London 's bargain . would stay . 
 Sep 20 2009 	 good choice 	 first time London . shock expensive hotel , feel pleased $ 220 rate get . know nothing include rate ( room ) , not surprise lack coffee / tea small size room . nicely decorate , great concierge staff cleaning staff ( front desk staff leave little desired ) , great location . overall , would recommend ! 
 Sep 16 2009 	 expensive hide charge watch . 	 stay hotel 9th 15th september reception ask want upgrade adeluxe room book superior room find strange , seemingly superiour room bog standard double room fancy title mini bar seal ` use use thing bring half bottle wine two glass top mini bar , think nice gesture leave wine decide look label neck bottle say dear guest want drink wine room service arrange add bill , sneaky one porter insist show we room get notice tea / coffee make facility ask say want cup tea would bring we hot water tray charge £ 10 tv tiny wall window bit hanging seem hotel run italians helpful , booked b & amp ; b continental choice terrible bad cornflake ever taste life muesli sweet croissant [ sp ] tiny hard ask toast ask want brown white decide one get two slice cut angle one side brown side toast ask tea get teapot fill water t - bag , bathroom excellent three shower expect toiletry re - stocked day , bedroom first class hotel beautiful clean , expensive , get room front hotel near traffic light sound siren night disturb police / fire / ambulance car scream tyre 
 Sep 15 2009 	 Adequate expensive 	 wife stay Mandeville 9/3 - 8 . room small , yet neat clean . tv small could watch bed . rate include continental breakfast $ 220 usd per night , really surprised . contenental breakfast exhorbitant 17 + bp per person $ 30 usd ! ! needless say , pass it . location good Oxford shopping district . we take Evan Evans Stonehenge / Bath / Windsor tour highly recommend . also take city tour would recommend . 
 Sep 9 2009 	 nice hotel overall great location 	 hi get back yesterday 6 day extend family . include age 17 76 . minor inconvenience write first , spend time wonderful aspect hotel ! shower half glass door ... water get floor shower use . hassle dry use waste towel . Bathroom door smoke glass ... night someone use bathroom turn light ... whole room illuminate door . light sleeper , problem . when book room , take consideration issue read , choose anyhow , glad do . for central London ... room quite spacious typical area . could drawer space traveler prefer unpack everything , large wardrobe ample space need .... 2 people 6 day . bed linen comfortable . the bathroom water pressure great towel HUGE . shampoo , etc good quality . the concierge superb professional helpful throughout entire visit , help we daily . able help book excursion , find obscure restaurant , get we taxi 's , rectify problem airline , .... superb enough say level service . housekeep great .... within minute need anything ( ironing board , hanger , toilet tissue , etc ) . AC superb room temp always comfortable . we eat restaurant , Sat PM crowd local seem popular . hear noise room . many local restaurant walk distance every one eat great . soooo many close , never problem meal . Tube stop block away . shopping block away . perfect location everything . try Mimosa dinner , Cock Lion Pub well . close great ! ! ! would absolutely stay , without hesitation . 
 Sep 3 2009 	 GREAT ! ! 	 upscale location great first - timer London : couple block tube , plus restaurant & amp ; shop around . staff friendly always available answer question make recommendation . room cozy clean , would recommend request room street - side . cafe / huka bar alley behind hotel bit loud room first floor . DeVigne bar nice drink stay open late hotel guest . pub / bar within walk distance close around 11 pm . check regent Hyde Park . within walking distance hotel ( maybe 15 minute ) . London Zoo backside Regents Park & amp ; performance weekend . Hyde Park lovely little pond want see something uniquely London , walk Speaker 's Corner Sunday afternoon . 
 Sep 2 2009 	 nice enough ! 	 arrive hotel , want precharge card extra , already pay bill , sure common practice . recpetionist posh . hotel spotlessly clean room . romms small , good use make space . bed comfortable , lot clean towel , robe slipper . need buy shampoo etc one bathroom tiny ! someone call around hand weather infor next dat ask want room service ( price ) , hairdyrer tea / coffee facility room , standard 4 star ! lift bit rickety ! hotel location perfect , round corner form oxford street , lot cafe restaurant . continental breaffast ok , toast cold toast , service bit formal liking ! would stay area maybe , unless proce right ! 
 Aug 17 2009 	 nice place stay good location 	 stay hotel couple week ago weekend . stay standard room ( offer deluxe upgrade £ 35 decline ) . get excellent price hotel part offer travelzoo.com £ 99 per night room continental breakfast included - believe normal price hotel quite lot . door man friendly , concierge try helpful nearly argument another member staff something ask advice . air con room great . bathroom good although bit annoy second night one towel take leave one share . good use space standard room be use pop long stay fine size wise . good location ( near tube Bond Street ) . lovely little cafe restaurant road hotel . overall would recommend hotel friend kind discount rate pay , not think would pay normal full rate price one room . ( thing would advise go hotel bar 's expensive , go one night without realise , recommend cocktail end pay £ 25 2 cocktail normal size load ice careful venture ! ) 
 Aug 14 2009 	 comfortable stay 	 room clean comfortable restaurant superb . staff warmth , professionalism friendliness stand stay . location ideal Oxford Street many restaurant moment walk distance away . two minor point : - window fit poorly result street noise issue , tea coffee facility room . otherwise 9/10 
 Aug 5 2009 	 Excellent Location 	 boyfriend stay Mandeville two night , Saturday Sunday , end July . although arrive early morning ( half past 9 ) go hotel drop bag tell room available we check straight away , pleasant surprise . offer upgrade Superior Double Deluxe double , additional charge £ 30 per night , take would read review worthwhile due difference size room . ' m glad , would definitely recommend , see Superior Double whilst walk along corridor shock small room ! typical centre London though . aside , hotel really lovely , gorgeous interior decor friendly , helpful staff . disappointed lack tea / coffee make facility room , something think would standard 4 star hotel . location hotel really 's good asset . literally two minute walk Oxford Street , five minute walk Bond Street Underground . Hyde Park , Regents Park , Notting Hill , Madame Tussauds , Covent Garden ... withe walk distance though not mind stretch leg ! road hotel lot place eat , handy . would recommend Ping Pong excellent , reasonably price dim sum ! despite central location room stay quiet night , make excellent night sleep . overall , brilliant base city break London . 
 Jul 31 2009 	 would recommend Hotel Anyone ! 	 teenage son return visit London stay Mandeville . could not ask well location attentive service . head concierge , Ian , attend many request smile excellent advice . continental breakfast plentiful beautiful dining room . would recommend hotel anyone want close action , yet lovely street line small cafe shop . definitely stay Mandeville future London visit . 
 Jul 21 2009 	 high praise Mandeville Hotel fantastic base London 	 stay ten day Mandeville could happy . less $ 200 per day include non - stop airfare East Coast Orbitz package , find sit pretty ideal location explore London . set back enough frenzy Oxford Street , mow woman full burkha wield Gucci bag , Mandeville stylish boutique hotel stone 's throw Wallace Collection , Old Bond Street tube station , bus everywhere . staff unfailingly pleasant . concierge well - inform , cheerfully helping locate obscure address outskirt London . well - soundproof room , lovely sheet , Penhaligon 's bath product marble bathroom , stylish decor , attentive doorman : be like ? hair dryer room ? ask ye shall receive . coffee maker room ? ' ve always wonder drank stuff . walk outside get real coffee two minute away . enough sport channel telly ? lose baseball cap , buy shirt collar try fit elegance Mandeville . room small ? take good look big bathroom mirror ask tough question need ask . , would go back Mandeville hearbeat . find . 
 Jul 21 2009 	 lovely hotel fantastic location 	 second stay Mandeville . love hotel defintely stay . location fantastic . right Marylebone High Street boutique shop , deli restaurant . less ten minute walk Regents Park , one good park London offer . opposite direction hustle bustle Oxford Street . the decor room modern , little small . our room rate include continental breakfast great adequate . one negative high price item minibar room service . 
 Jul 15 2009 	 good convenient hotel . price charge internet access include . 	 agree reviewer post comment : Mandeville good hotel . find staff unfailingly helpful polite , room comfortable ( housekeeping service morning evening ) . hotel ' location convenient want visit main tourist sight London . Oxford street close , Soho many London ' theater museum . Bond Street tube station short walk hotel . all come price , though . cheap hotel ; manage get good deal online booking service ; hotel ' normal rate place would league . high price hotel charge , really include free in - room internet access . age internet access come free cup coffee , GBP 12.50 ( $ 20 ) day access hotel room cost $ 300 really extortionate . 
 Jul 15 2009 	 excellent service bed location 	 can not say enough , highly recommend . book two room four night , family four ( 10 17 ) . obtain excellent weekend rate . small boutique hotel smallish well lay - out room . excellent service , greate morning name concierge . bed , linen outstanding . perfect location centre shopping , theatre . one hickup - internet room not work despite assurance time would not charge not remove bill - rectify quickly without issue checkout 
 Jul 14 2009 	 long style spotty service 	 hotel perfect location - end Marylebone High St , great shopping - plenty bar restaurant around , close Oxford regent Sts , Soho etc , less block Wallace Collection . hotel small , lovely . usual London , room small , get weekend deal online get cheap upgrade check , be worth take extra space . shower junior suite lovely , good pressure . bed comfortable , quality linen plenty feather pillow ... pretty dreamy . afternoon tea great restaurant bar staff delightful . would perfect thing . thing traveller expect kind hotel . - tea coffee available room- hand soap bathroom , shampoo shower gel . arrive ask twice - hotel run international charger - second day , room key stop work . call house phone ask new key bring carry lot bag , front desk tell come get ! ! - check , clerk confused rate upgrade fee . could sense write , inclusive taxis . ( confirmation reference original room rate ) end stay , rate high have quote check . checkout clerk resolve properly thereby save guestmost service issue seem associate Front Desk . departure , concierge Ian truly helpful store luggage complete online check flight could not access free wi - fi lobby . summary , prepared pay handsome fee stay lovely hotel , great location , bright moment , still get spotty service . seem matter find right person help . say , issue , scheme thing , minor , leave happy would return rate right . 
 Jun 26 2009 	 Perfect location great hotel wonderful staff ! 	 London 3 night stay Mandeville . travel alone , single room lovely . room , though large , perfectly suitable one person big normally get NYC . bathroom immaculate decor modern . location Mandeville PERFECT . block Bond Street tube station Oxford Street , provide easy access shop get need go . however , nestle back Oxford Street , nearly busy . 1 - 2 block St Christopher 's Square wonderful restaurant , pub , brasserie , etc . never want leave area . staff Mandeville accomodate friendly . allow early check always willing provide advice . bar lovely fun place relax . definitely go back ! 
 Jun 16 2009 	 Superb Location 	 hi , name Helder Tembe , Mozambique , stay Mandeville wife small baby recently experience good . location could not well , eat , shopping , etc . be situate close Oxford St New Bond St . negative aspect room SMALL , choice room service menu limit . choice tv channel available also poor . sport channel . 
 Jun 16 2009 	 good ! 	 nice entrance hall breakfast good . unfortunately typcial small room hotel , also Tea / Coffee making room . great location shopping & amp ; Theatre . would not stay , could find well easily ! 
 Jun 15 2009 	 staff not care . 	 great part hotel : amazing location . beatiful design / decor lobby , bar , restaurant , way room . the bad part rest staff . story pretty unbelievable . let preface say GREAT people staff . unfortunately work everything fall apart . first , one night / morning awoken 4.40am someone violently try get room . shake door handle , kick door , run next room thing . terrify . even terrify discover man NAKED actually successful break room next we ! Imagine wake dead sleep naked man kick door . husband physically restrain door keep man . call front desk panic . first , could not understand hardly speak English ; second , figure go , not concern . casually send someone check thing ten minute later . nonchalantly gently knock room man break ask everything alright . answer , leave ! oh GOD ! next issue purchase two ticket Original Bus Tour concierge . tube strike start day , bus schedule time find one , turn away door . bus driver say tour cancel due tremendous traffic city . go back hotel ask concierge refund , concierge man would not even make eye contact , stare computer , shake head say & quot ; nope . & quot ; serious ? WTF . end . sell we worthless ticket would not even apologize . travel quite bit , never treat poorly life . place blow . 
 Jun 13 2009 	 almost 	 would give 5 star important item . hair dryer , wear bedspread , complimentary computer lobby . oh one thing . credit card reject store always concern travel abroad , ask use phone hotel call card company refuse front desk . believe . use phone pub eat dinner instead . pub accomodate understand panic . hotel otherhand . bad pr ask . otherwise hotel beautiful . bar restaurant staff extremely friendly call name . complimentary breakfast wonderful coffee strong hot . decor lobby public area contemporary impeccable . room also nice size closet . location perfect local posh neighborhood , chock full pub , cafe shop . bond street tube block away . take Heathrow express Paddington station take cab hotel . try take suitcase tube , full step escalator . 
 Jun 4 2009 	 absolutely worth ! 	 moment enter hotel , good reception . helpful staff member . arrive early check - in immediately direct room . pleasant suprise upgrade big room cot small charge per night accommodate aunt 18 month old baby come visit . room pleasant , good size tidy . location absolutely fantastic . hundred meter heart shopping centre London ( Oxford street ) . wonderful restaurant neighbourhood , great assistance taxi 's everything hotel . the fact wireless internet available free hotel lobby good thing , reason leave hotel room ! really nothing negative complaint give hotel . thank much wonderful reception come back soon . 
 Jun 3 2009 	 Second stay 	 get good deal ba site return night . overhelpful brilliant . Carlos Ian brill concierge desk . stay place 
 May 28 2009 	 highly recommend 	 stay 4 night may travel package discount room rate . local friend well impressed selection posh hotel . Location - Mandeville well locate shopping , restaurant course Tube ( Bond Street ) . staff polite . Ian G , concierge , tremendous ! wealth information wonderfully helpful ! room - room ( # 217 , deluxe room ) fair size Europe well appoint . bathroom large immaculately clean . room quiet street noise rarely hear . tv small never turn . ( see hotel pic label " one - bedroom suite " two chair foreground bed behind see room . ) Breakfast - include breakfast pleasant pastry , fruit , juice , yogurt , cereal , toast , tea coffee . breakfast offering sample . restaurant stylishly attractive staff polite . WIFI / phone - free WIFI lobby , room . local phone call bit pricey 4 GBP minute . we recommend hotel without reserve . 
 may 26 2009 	 Outstanding Bank Holiday Weekend 	 stay Mandeville Hotel 5 night deluxe room double bed quite large comfortable . many mention , hotel perfectly locate . room face street midnight , slight traffic noise otherwise fairly mute . bathroom huge London standard contain stall shower well shower / bath combo . two we , dual shower make get ready morning efficient . decor stylish housekeeping service top notch . not merely offer standard turndown second bathroom clean tidy us day afternoon shower sport . the service extremely friendly ( sincere ) London . staff smile exceedingly forthcoming help . example , buffet continental breakfast include rate , run yogurt ask , go market buy bring table . general service every day restaurant breakfast outstanding friendliness , professionalism , attention detail . want try restaurant dinner close Sunday Bank holiday miss opportunity . I similarly impressed concierge staff , doorman , mention , housekeeper . negative least ( ' m picky ) bathroom amenity penhaligon highly perfume taste . though not watch television , screen tiny guest wish watch movie sport , experience may less satisfactory . daily internet rate quite high well around 12 pound . ' ve probably say trouble apply charge front desk , get password etc hassle hotel charge service love find free easily accessible wireless room without go much trouble . I get discount rate stay 5 day value considerable get . base regular rate , value would somewhat less ..... honestly would pay due success stay time around . good stay London hotel . ' ve pay considerably considerably less city . hope return soon . 
 may 25 2009 	 great solo shopper 	 u london town shopping spree .. go ahead book without think twice .. boutique little tiny hotel behind selfrige oxford street 2 min way foot ... lot boutique shop around cafe resturant u million choice around corner ..... recommend also solo business man fashionble sense ..... good value ur money .... definatly stay . 
 may 23 2009 	 great location reasonable price 	 know review somewhat outdate still remember pleasant stay there . what like hotel location price . London expensive place location wise think place would much expensive reasonable . room service also great ! badly jetlagge still remember great food 4 am . just minute walk Bondstreet station . room bit small expect otherwise great ! 
 May 19 2009 	 even well Second Time 	 wife hit Mandeville second weeklong stay three year ... even well time . standard room great , offer nice view plenty space . location hotel fantastic , tuck away quite Marylebone still close enough London 's gem . 
 Apr 29 2009 	 cute hotel beware size room . 	 admit get major bargain rate include breakfast three course dinner include £ 150 . rack rate something around £ 300 . admit pay room would horrify . room lovely oh god sooooo small . smallest ever stay , London . however , positive note , furnishing sexy bar restaurant beautiful worth visit even be stay hotel . dinner great . main selling point hotel location - pretty much behind Selfridges St Christopher 's place - ton ton restaurant area . Bond Street Oxford Street almost end road fabulous Wallace Collection Hertford House one well free attraction London around corner . 
 Apr 26 2009 	 lovely hotel great location 	 return two night stay Mandeville hotel honestly say great stay . my husband run London marathon manage find deal Travelzoo dinner bed breakfast good price book two night . we ask upgrade room give quite small stay two night decide little room would benefit we pay extra . room give front hotel light airy good sized walk shower . we eat hotel night part deal could chose set menu . food night excellent , drink however , little pricey side . breakfast deal continental also good plenty fill Sunday marathon hotel put breakfast 7am instead 8 appreciated husband able eat setting ! staff friendly helpful happy keep bag marathon . yes manage make finish line hot April afternoon ! ! certainly stay hotel visit London especially special offer , sure marathon next year though may make decision day recover ! ! 
 Apr 24 2009 	 Loved would definitely recommend 	 love Mandeville , spend three night April . start staff efficient , professional friendly . love location short stroll Oxford street Bond st tube . good choice restauranst nearby want stay local last night go lovely tapas restaurant call La Tasca . decor Mandeveille funky colourful . not eat restaurant apart haivng breakfast nice . bedroom lovely ' m honest find room small everything else make , would negative thing could say it . overall would definitely recommend . 
 Apr 13 2009 	 gorgeous hotel great location ! 	 recently treat boyfriend night Albert Hall follow one night stay Mandeville . see great offer Travelzoo thought would take advantage . £ 149 3 course meal ( set menu ) lovely double room continental breakfast . fantastic value ! ! ! staff come contact courteous helpful . hotel beautiful unique , decor sooo coool ! ! room perfect , nice size , welcome interior , clean . cocktail bar go evening good end 30 min late performance ! ! ! ! unfortunately moan something though . great night return hotel absolutely starve order 2 club sandwich . VILE ! ! ! ! wait half hour £ 30 worth sandwich honestly inedible . horrify anyone would think acceptable serve . bread somewhere inbetween toast . chicken sooooooooo dry , cheese weird little piece slice grated bacon pale microwave ! Gross ! lettuce tomato , load mayo add beige plate expensive crap . give tray back next morning untouched charge . get sincere apology reception check out . I feel bad ' ve winge everything else perfect club sandwich luxury hotel perfect , do not care time order . all fabulous stay i d recommend anyone especially get good deal like . 
 Apr 12 2009 	 Great Boutique Hotel- Perfect Location Perfect Price ! 	 husband stay week March vacation please . hotel premier location London , Mayfair Marylebone . walk door literally block two great cafe , shop , pub , tube Oxford Street . upscale area pack high - end shop restaurant absolute perfect home base traveler want close action . room small , ( keep mind U.S. use big room ) . upgrade deluxe king standard room extra 15 pound night . well worth plan staying night . room well decorate contemporary furnishing keep unbelievably clean entire stay . houskeepe great job , friendly , offer turndown service evening . our marble bathroom nice quite large seperate shower tub . service good . treat especially well concierge , Javier , secure we highly seek - after reservation ( able get ) afternoon tea Ritz . also help we tour arrangement . concierge work , doorman , houskeeping , front desk , room service staff friendly professional . overall , surprised , pleasantly . not think would able find solid four star accommodation one good spot London well $ 200 usd per night . would definitely reccommend Mandeville . 
 Mar 31 2009 	 great hotel awesome location - will back ! 	 stay literally dozen hotel London year . travel often , always want good deal central London 4 - star property ( hard find time ) . first stay Mandeville ; friend travel choose little research find incredible price online . the hotel common area small , well - do ( think W - esque small scale ) . bar cool . never eat restaurant , look nice , lamented time afternoon tea there . the service great - front desk concierge staff accommodate , housekeep always timely complete . I single room , small ..... surprise , give London . however , furnishing excellent bathroom ultra - modern . one clean hotel room ' ve ever stay . friend ' room double -- twice size mine , also nicely furnish , include big marble bath separate tub shower . room quiet ( back hotel ) , friend report street noise theirs . location - wise , hotel absolutely can not beat . 's 5 - minute walk Tube ( Bond Street station ) , many restaurant pub around corner hotel . want shop , Oxford Street less 5 - minute walk away . I will back Mandeville next trip London ! 
 Mar 30 2009 	 Superb location small room 	 pay 350 £ three night stay March 2009 . location excellent plan shop Oxford Street want hotel near . staff polite helpful . order cab we , carry luggage book us table hotels restaurant ( yes reservation ) . 3 - course lunch price 15.5 £ per person , little know additional 10 asparagus recomende accompany main course would set we back extra ten £ . service however fantastic food delicious . pay 350 £ three night - breakfast - iwe concider good deal , would go back summer time . think would cold we winter , wind blow room window , blancet , duvet . 
