trendy 	 like traveler , scour web guidebook great advice come hotel stay . expecially crucial booked room Priceline ( case ) . want correctly set expectation prior arrival . instance , really get small room mindset check Hudson . arrival : hotel not sign . sure look pic website know be going come via subway train . small line check - in front desk staff great job keep everyone move . one important woman ( trendy i - think - I'm-20 - but - i - am - really-45 ) feel compel jump front & quot ; ask question & quot ; course attempt jump line . go ! yay front desk . make joke take pity we get we high level room face atrium . : - ) score ! room : ok . know . be small . 's end world . unpack stuff . organize plenty room . not throw stuff room . will need sit toilet sideways take turn bathroom .... good part ? incredible water pressure roomy shower plus comfortable bed . not come New York hang hotel room ? well , shower bed top notch . do . husband sleep like log Queen size usually challenge . think really pillow . noise : try get room 6th floor . street noise . 's ny . buy freaking Tylenol PM 's big deal . big issue nightclub . be loud . loud popular . therefore Floor 6 , probably hear . join fun get something knock . location : say real estate .... superb location . subway close get need go quickly . walk Columbus Ave visit Natural History Museum really enjoy . great shop , bar restaurant al way . lots dog local give nice neighborhood feel . be great 24 hour diner pizza place right corner 58th 9th . open late . enjoyed stay much . appreciated think design work go place . staff friendly except one woman carry clipboard look like deer headlight ask question check .. overall good bet . even well one score Priceline . 
 great explore Manhatten great party 	 hotel 30 second walk Columbus circle south west corner Central Park - great location . room small , New York hotel room budget small . despite size room , comfortable , clean good ( compact ) en - suite facility . lobby area hotel two bar . popular . rather noisy night noise affect room upstairs . this hotel great base explore Manhatten , great party well . 
 Nov 14 2009 	 nice 	 Close Columbus Circle , localization pretty good hotel look really nice , fair rate . 
 Nov 12 2009 	 well expect 	 experience much well expect read review . yes room small , typical price NYC . staff much friendly hotel ' ve stay . sign outside look small square window show hotel website , eat drink hotel . enjoy . 
 Nov 9 2009 	 terrible 	 ' ve Hudson many time reason time really feel last time sure . look hallway carpet really dirty , restaurant close due renovation , breakfast serve bar not breed offer . price definitely yes room SMALL ! omg toilet / restroom can not even sit toilet bad . oh yes party hotel aware bouncer everywhere hotel even floor book one elevator & quot ; special & quot ; guest take like 15 minute get . not want sound like douche definitely bad stay recommend place time . 
 Nov 4 2009 	 room tiny overpriced ; ` ` suite '' upgrade much well . 	 standard room large enough double bed , insufficient space walk around . ' ve see large jail cell . upgrade , additional $ 120 / night , descibe suite . double bed , 1950 's style rec room wood paneling wall dresser . find hard believe anyone would knowingly stay hotel price charge room . 
 Nov 2 2009 	 tiny roomscool decor ... recommend not pay full price 	 -The room picture ... tiny okay sleeping . much room luggage one steel , uncomfortable chair . room clean nice linen , bathrobe advertise . friendly staff . sky terrace close even though low60' . lobby cool , dark loud night , although disturb sleep . place really sit relax . Cafeteria close renovation stay ... complimentary coffee breakfast buffet nice . also offer umbrella 's use rain nice . get really good deal Priceline ...... would happy pay full price . 
 Nov 2 2009 	 Style comfort 	 great lobby standrard room extremely small , cool style comfortable . suit business traveler ; easy outlet laptop , & quot ; desk & quot ; tiny , comforable chair , metal desk chair chair room 
 Nov 1 2009 	 clean hotel would stay 	 search ALOT hotel new york trip three friend . check hudson hotel tripadvisor snazzy website ! book two double room four we . get fright video youtube guy show room .and say small room ever .. picture website exactly room look like good ! room CLEAN NEW ! love contemporary design room . small ( give measurement website ) suitcases.but manageable . perfect room ju sleep hang around ! shower nice clean . there s flatscreen tv ipod dock .handy ! inside hotel u never know wat time load dim lighting . love design . nighttime would come back would loud music bar lobby . u can not hear anything room ! think alot function . do not bother we . window fall ! ! ! put back tell reception .and take money bill.there one girl front desk , smil do not really care ! girl check we lovely . location good . right culumbus circle subway - across street . there s deli , supermarket , pharmacy , starbuck etc ... block . good thing ever.wholefood supermarket shopping centre near subway . really cheap gorgeous food . u budget ! right near walk central park .broadway , rockafella , time sq . get subway downtownoh yea , wifi room like ten dollar day .. rip ! ! buy fon card ring friend new york charge use fon card .. I m upload pic theyy wer reallly lik website one .. 
 Oct 30 2009 	 terrible nobody care 	 recently stay Hudson night hotel book rest weekend ( Parker Meridien ) available rest weekend . arrive tell room book available & quot ; Downgraded & quot ; . travel lot business use occasional & quot ; upgrade & quot ; never hear downgrade . tell unless want pay upgrade . when get room not even double bed , somewhere single double . manager indifferent finally give we larget still small room . without tell we raise rate however . room still small nice . the funny part send survey , complete terribly not call follow - up still add mailing list . ask take not , finally call complain headquarter not respond take mailing list still ! bottom line , stay Parker , excellent ! 
 Oct 29 2009 	 Great Stay 	 ok room small , not plan spend time . rest hotel amenity make . exciting vibe since alone work well couple bar hotel hang ... great place . 
 Oct 28 2009 	 Mini - Vaca 	 first time stay NYC hotel alone , normally friend family . read review good & amp ; bad , pretty decent stay . really like dark entrance , hallway ... add touch cool . say lobby bit hectic 9 pm , party shop .... do not mind . especially invite private party club . room small ... honestly go NYC sit hotel room . enough room sleep , rest , shower change clothe . thing do not like 300 $ deposit slap card check . another thing room key keep gettin demagnetize , get new key twice .... one 2 time , wait almost 30mins line key . overall nice stay , could work customer service speed . 
 Oct 28 2009 	 HORRIBLE HOTEL 	 live work NYC . stay Hudson one night close event need early . stay ! ! ! room horribe . tiny ( much small average NYC hotel rate ) room city window . NYC know city window . double window keep sound . chinse not put . room noisy might well slept street . not fool picture . bar cool bar numerous time . think hotel would OK . MISTAKE . sleep 2 hour . like pic go bar , definetly stay somewhere else . 
 Oct 28 2009 	 Quirky ! 	 spend 4 night Hudson - recommend travel agent . arrive late evening - suppose taxi driver know well indication roadside Hudson . lobby reception end fluorescent green escalator roadside . lobby reception dark moody lot dark wood everywhere . Dark corridor lead library bar access courtyard garden / seating area ( outside ) . check 3 minute . room 4th floor . strike first size room - quite small comparison US city . white net curtain draw entrance area bed area . dark wood panelling , dark wooden floor . interesting bathroom . small functional . large glass partition shower bed area could lead interesting view shower curtain net curtain mask view might . careful sit toilet bang head wall 3 inch infront ! comfortable bed , air con noisy time ( excessively ) . bedside lamp swivel show white green light - nice . flat screen tv , CD / radio ipod docking station available room . mini bar , outside elevator door vend machine food , drink ( soft ) ice , cheap traditional minibar price . breakfast take large room lobby look last scene movie 2001 . breakfast expensive - eat one 2 cafe 50 yard either side front entrance . outside - turn right , shopping mall , Columbus circle , beyond - Central Park . about 15 minute walk Times Square theatre . see Rock Ages - 1980 's rock music - good , funny - well worth look . have reservation View - revolve restaurant overlook Times Square - beautiful food , attentive waiter , water $ 10 bottle ! also ticket Top Rock - Rockerfeller Centre . similar top Empire state - excellent view Central Park , good Chrysler Building . also visit Liberty Island . prepare airport style security check get ferry . ticket crown statue - sell till January hear . Use subway get - buy metrocard ticket machine subway - $ 8 4 ride , share couple . fast , efficient , clean - worry all . walk leg - blister , wonderful city visit . 
 Oct 28 2009 	 find another hotel 	 first room one sixth floor loud , loud enough could not sleep even window close . street outside constantly people yell , car honking , garbage truck bang . room tiny mildew ceiling . 's ask move another room high , hotel agree . city hotel staff without consent presence go room move belonging another room . process friend purse , shoe , make , basically whatever value lock safe steal . report & quot ; security & quot ; like talk wall send circle staff refer we another staff refer we another staff , time leave hotel go back home . much luck think try get look come home useless talking face face . favor , find reputable hotel even cost little little way . 
 Oct 27 2009 	 Imagine kid work Abercrombie hotel . 	 say , hotel quite disappointment . housekeeping lousy ( never replace dirty glass ) , every bulb go room week 's stay , bathroom tiny ( move aside door open ) , feel amateur . stay weekend , place . we feel & quot ; cool & quot ; kid work Abercrombie Fitch decide , Little Rascals ' fashion , & quot ; hey gang , let us open hotel ! & quot ; . like bar ( like Library bar much ) , stop , not stay hotel . worth . walk street 6 Columbus ( move , love ) Mandarin Oriental learn basic Hotel 101 . 
 Oct 27 2009 	 Absolute Joke 	 Location : goodlobby : trendyroom : absurd ! hotel get star ? book room two . get bit worry hallway look like imagine NY state penitentary , dark , dreary , grey . open door almost hit bed , know trouble . would walk sideways get & quot ; bed & quot ; , use term loosely . top bed knee . bathroom make airline bathroom seem spacious . another wonderful touch glass window bathroom bedroom . plastic cup , bathroom sink not drain , poor air circulation , paper thin wall , business center not work .... favor book motel 6 . would definite upgrade . 
 Oct 26 2009 	 great visual extravaganza 	 Phillip Stark design make hotel quite unique . outdoor bar , library indoor bar paint ceiling , quirky furniture , make interesting share space . room small adequate- clean sheet towel every day friendly staff . great view window 16th floor . 
 Oct 25 2009 	 small small ( NYers ) 	 ok , review say room small not kid . queen size room maybe 2 foot space around perimeter bed ... . Hudson Cafeteria ... close . Sky Terrace ... close . library ... jam pack even walk . hudson Bar ... loud young . would rate hotel & quot ; trendy & quot ; 20 - 30 year old crowd . us 40 's , really place felt want spend much time . location convenient would happy pay regular price oppose use Priceline . would go way stay . 
 Oct 25 2009 	 cool lobby shoe box sized room 	 stay Hudson merely price right ( $ 200 ) . positive attribute Hudson include unique lobby , several nice bar include one roof , ideal location seek near Columbus Avenue toward bottom Central Park . major negative room size . early week stay another 4 star major hotel chain NYC room three time size $ 60 more . I travel solo trip leisure business . however , could not help think travel partner gravely disappoint would room . cramp tall large sized person believe would find bathroom challenge move around . also nothing romantic room . modern , sparse , dark wood paneling . one nice touch iPod docking station . stay twice , times small room . last time though exceptionally small . know go price point consideration room size matter , Hudson fine choice . look pleasant room walk space / hotel comfortable perhaps nice get away partner , would recommend Hudson . value location matter room size , would logical choice . 
 oct 22 2009 	 design Starck = Minimalist = Bedrooms plus DARK 	 arrival - austere frontage entrance ( name building ) escalator lead large dark lobby area . Helpful Staff - ( especially concierge first class - particularly Brian ) Corridors floor room paint DARK BROWN ! - room = small . even upgrade still small plus drawer = live suitcase ! ! ! ! ! heating switch night every two hour - wake everyone plus sound like someone run stick rail ! other mention curtain - lucky ! us blind draft window quite severe . great location - spoil size room dark decor everywhere - ( include restaurant two candle put table - read menu ! ) .good external ' roof terrace ' behind reception - spolit ' cocky ' barman state could not sit drink ! ! ! ! 
 Oct 20 2009 	 o.k . -- great location nice room 	 great location . attentive staff , nicely appoint room public space . problem heat ( pump lava - hot air even thermostat set 60 degree ) . eventually give , shut thermostat open window ( not function , prop open towel ) . lot street noise relative NYC hotel ( even 14th floor window shut ) . colleague similar issue noise adjacent room temperature control/ 
 Oct 19 2009 	 great location 	 want stay central location visit Manhattan place . hotel locate less block Columbus Circle subway stop . travel JFK airport subway way go . catch Airtrain Howard Beach catch train subway Howard Beach Columbus Circle ( 59th Street ) . buy $ 7.25 Metrocard ( $ 5 Airtrain , $ 2.25 subway ) subway station exit Airtrain get subway . travel one person purchase one ticket 4 people . , first person swipe card 4 time rest party walk right through . if travel two people ’ mind snug quarter get one small room . travel 2 people get double . travel three adult plenty room double . pay big room well worth money . locate next hotel Europan cafe . get great breakfast late night snack . two great pub around corner W 57th Street ( one block away ) Kennedy ' DJ Reynolds . good food drink easy walk . Central Park block away Times Square within walk distance . good map see hotel great location . ' fancy , clean easy way get around Manhattan . 
 Oct 19 2009 	 Great Location 	 stay 4 night great time , even though room small well lay spotless . brilliant decor reception even though night club loud lobby not hear thing bedroom . restaurant little dark , difficult read menu , food great . would defintely stay . 
 Oct 14 2009 	 room need refurb badly - dissapointe ! 	 stay recently upon arrival say live expectation . public area stunning , however downhill fifty foot drop hotel room hell . firstly despite check time , room not ready , problem happy wander coffee come back later . return back accidentally give room someone else surname problem another one . great . check . god . book room 2 people , myslef sister new room single occpancy room try pass double . first clue 1 bed even double fact room set 1 towel 1 glass etc . call complain greeting attitude sorry 's style double room . Hmmm nothing woth fact make mistake . 3 phonecall trip reception finally track teh guest manager move room suitable 2 . great . nope . drawer break shower pressure bad like drip tap mention teh orange mould encase shower head . mention shower politely recpetion say & quot ; oh yeah issue water pressure - sorry nothing & quot ; . overall hotel nothing cocktail bar bedroom 2 - 3 star stretch . sorry Hudson Hotel come back stay hotel ever tell many people possible poor standard . favour splash profit room refurb plan make room live reputation . least scrub shower fix water pressure . 
 Oct 14 2009 	 Arrogant Trendy B.S . 	 stump one large room # 549 . still avoid bang head tv get bed . questionable stain behind toilet report housekeeping 3 time . air con / Heat break . window crack 24/7 vent main air duct entire bldg outside window . Shower drain block . Hole wood flooring beside bed . hallway carpet filthy . wait 3 time hour engineering never come . $ 9 Heineken . dark / no light check - in . asked & quot ; Ryan & quot ; - say name ask sign initial , say , & quot ; well be like be sign life away & quot ; . Shame Morgan Group . know well . Viceroy LA Hard Rock Vegas well run . maybe review management staff location . 5 day large wedding party spend plenty still treat like dollar walk thru revolving door . pretentious place economy . leave note 36 hrs ago email phone check no - one even bother call apologize . 
 Oct 14 2009 	 tiny room ikea sensibility Design within Reach aesthetic make work 	 be look super - chic centrally - locate NYC hotel experience , be tight budget , Hudson way go . get next Columbus Circle ( southwest corner Central Park ) $ 200 -- steal neighborhood kind hotel . you be greet one swankiest lobby around , lounge decorate like mystical outer space - time room end 2001 : Space Odyssey . watch hipster grind dance floor ( admit sexy bunch ) , music fun , beware drink tab -- two drink cost $ 35 tip ( ! ) .Even elevator cool -- overhear three different group comment interesting wall elevator . ( be cool metal pattern -- will visit see mean . ) room clean , neat , well - decorate , comfy bed . so $ 200 ? well , room tiny . matchbox - sized . bring Tokyo mind . room barely enough space walk around bed , shower standup right next toilet sink . make work -- everything fit , clever shelving furniture configure 's enough room shower , sit desk , move around bed , put luggage . get initial & quot ; wow , tiny & quot ; shock , will impress well work . take spin -- great date trip , outing friend , entertain favorite Euro - guest . 
 Oct 13 2009 	 Chic Hotel 	 Hudson Hotel chic hotel . room cute little uncomfortable small . realistically bathroom difficult sit toilet bang knees wall . minibar take room everything locate elevator make sure request room not face courtyard area becuase hear noise night bar . otherwise hotel locate great spot , across street Time Warner Center shopping Porterhouse great steakhouse . Pinkberry Starbucks street great sushi restaurant also block . would definately stay : ) 
 Oct 13 2009 	 Hudson Property room sleep ... 	 really enjoy Hudson . review complain room size Hudson , go spending alot time room look & quot ; spacious quarter & quot ; , Hudson not . property , however , brilliant , would stay heartbeat . 3 bar , one roof amazing view , nightclub that s open least 2AM Library Bar something bit conservative , stay Hudson kind like move well appoint service orientate nightclub 5 star Restaurant ! comfortable & quot ; small & quot ; room quite acceptable trade property overall comfort service . travel business , 's white collar day leather jacket night , awesome know get back Hudson , scene Hotspot ( Lady Ga Ga 's dancer stay time VMA 's ) .one block away 59th street station , easy access Penn Grand Central ever business may take . 
 Oct 13 2009 	 ok ... well place 	 arrive back morning long weekend Hudson . I well prepare size bedroom , bathroom make laugh ! petit young lady still 6 cm ( measure ) knee wall sit loo ! bathroom WAY small , anyone large would climb toilet get shower , kid ! bathroom amenty kit basic , even show cap , let alone bath robe . Air Con rattle old machine situate behind bed , lucky use whilst room , far noisy imagine lot grumble american guest can not seem live ACThe room clean , bit basic , like mini bar ( empty put Whole Food goody ) , Tv fine although easy wack head . people comment & quot ; cabin & quot ; like feel , good way describe , however bathroom boat big Hudson ! 6th floor face south , look peace quiet hotel , sound like rocket race 8th Ave night , bother , sufficiently pickle care . although room spotlessly clean , note corridor need good vacuum , edge dark grey carpet dusty . corridor general look tired , carpet start fray area , nasty scuff service door guest room door . well good dim lighting , perhaps need turn clean see do . staff friendly helpful . although concierge desk always busy busy busy glad know New York well enough need line ask question . as front desk time , would recommend Express check case , people well thing line last day Manhattan ! bar interesting unique , like , expensive drink Manhattan , trendy hotel . we eat Hudson Caferteria first night , nothing amazing ... dark could even read menu let alone see food ! meal memorable put way ! nut shell hotel young , trendy crowd , actually feel sorry see old generation exit lift morning , wonder slept noise manage get bathroom walk stick zimmer frame . there well hotel New York , glad go would first choice next visit honest 
 Oct 11 2009 	 great location small room 	 stay hotel business leisure . get deal Priceline , otherwise regular room price expensive consider room small . though small room , nice clean design furniture . also restaurant area bar nice . the service good . initial impression negative room ready time make we wait 2 hour , apologetic treat we free drink bar free breakfast . the location awesome , one block central park . 
 Oct 10 2009 	 uncomfortable room ! 	 not waste time look comfort . what think Bathroom designDark tiny room , never , ever go back ! 
 oct 9 2009 	 great 	 Superb hotel great staffgirl help desk patiance knowledge go 
 Oct 9 2009 	 Pack light ! super teeny tiney room . 	 get & quot ; upgrade & quot ; well room pay still soooo small . room barely closet , be like cubby hole . bathroom even small ! be tall , will hit knees wall sit toilet . hall way soo dark dismal . staff nice enough room clean uncomfortable staying guy friend . unless pack light 1 suitcase not plan go shopping , place claustraphobic . would happily stay though . be nice enough locale convinient pretty much anywhere NYC convinient since mostly like go shop . 
 oct 8 2009 	 4 5 	 small room bathroom . little light room , hard read . skybar 15th nice place relax . staff nice . try get buffet breakfast include package , good room coolnice gym new equipmentHotel feel like nightclub , may appeal traveler . good location attraction 
 oct 8 2009 	 worth every penny . great design hotel 	 great design hotel . even though Hudson household name year worth every penny . stylish , comfortable mix electric atmosphere friendly undertone . bar famous hotel still get busy young crowd weekend do not expect drink stop late hour slightly noisy room like peaceful night sleep be not hotel . drink expensive great bar start end night . room modern small clever design try disguise . great area access city great independant bar cafe situate near hotel . would recommend hotel anyone like lively stylish hotel close major attraction . would definetely return . 
 oct 8 2009 	 Fantastic Location Fantastic Hotel . care Small Rooms ! 	 want NYC without pay small fortune room Hudson Hotel perfect . staff professional , friendly happy . Loved Skyview Terrace . Great Drinks , great food absolutely fantastic view . the Hotel understate sophistication . look Hilton Marriot experience Hotel . location fantastic . close Central Park . close Columbus Circle subway pass through . ok room small . come enjoy NYC really go sleep / shower room . business traveler need work room place . want nightlife , sightsee nice hotel Hudson perfect . 
 oct 8 2009 	 great hotel everyone 	 hotel great location design BEAUTIFULLY ! ! ! ! lobby look like something fairy tale . hotel young , hip , trendy vibe . room small , kind like cruise ship . care room size , probably good choice , like spend hardly time room , hotel great . 
 oct 8 2009 		 hotel look tired . mini bar , even large ( use term loosely ) room . light low , inspection , seem hotel look tired maintain well . lobby level garden great . check personnel friendly . bed comfortable . tv good picture . bathroom amenity sub par . terrace 15th floor terrible service terrible food . 
 Oct 7 2009 	 awful . Cheesy . worth . oh find cockroach . 	 ' ve die find time week write review . everyone need know awful experience Hudson Hotel . so husband waste close $ 700 two night super cheesy hotel . 's wannabe & quot ; see scene & quot ; hotel , obviously spend time , resource , money lobby three bar , hotel room horrendous . walk dark , gray hallway begin feel like be insane asylum . let take step back . first arrive hotel , stand one several line almost 40 minute , wait check . husband notice almost every single person talk someone behind desk complain something . could not believe long take simply check in . when finally get desk , person behind not even apologize wait . , like rest staff , look bored , unenthusiastic , grim . way welcome guest ! doorman ( aspire model , assume ? ) concierge , check - in staff , everyone seem clueless . anyway , get room key walk aforementioned hallway , look straight horror film . get it — you be try minimalistic . get room , could not really call room — more like broom closet . bathroom obscenely tiny , anyone 5 & quot ; 4 avoid place cost . they put we 4th floor , could not avoid horrendous traffic noise outside . could not sleep first night . top thing , find dead cockroach bathroom . ask change room next day , woman behind desk give we apology & quot ; upgrade & quot ; we another crappy room . HORRIBLE , horrible service ! be tourist plan party weekend , place definitely . ( not wine bar . selection awful . ) will also sure run drunk people elevator . be like Vegas ! overall , one blemish trip NYC . 
 Oct 7 2009 	 style great location ... could get small room ? 	 Hudson enjoy great location upper 50 , short hop Central Park across road subway stop great connection mid downtown area . be one modern , minimalist hotel attempt disguise entrance , inside communual area dark wood subdue lighting ( much time - pretty silly can not read see sign door ) . Hudson comfortable , great , lively bar , reasonably well - equip basement gym , staff warm , friendly helpful . big drawback property size standard room . ' ve stay numerous hotel , even city 's standard tiny point actually almost uncomfortable time - able move around hotel room , sit , without bump thing . good choice get right rate maybe deal - get four night price three . otherwise , look elsewhere . 
 Oct 7 2009 	 think Hudson great room small location brilliant 	 check apprehension read review . hotel book via ' priceline ' . however , could not fault Hudson . prepare small room small bathroom whilst could live room , bed small 2 girl 3 night trip . upgrade extra 40 $ per night get deluxe kingsize perfect - issue . hardly room anyway much see ! location close subway right central park . staff helpful friendly , rooftop bar lovely . drink expensive probably NYC hotel . think Hudson get unfair press . real atmosphere saturday night ! ! ! would recommend friend . 
 Oct 6 2009 	 great stay ! 	 first , room small many hotel ny , however realistically spend much time room anyhow NY . lobby , bar , restaurant terrace beautiful , staff extremely attentive helpful need . would definitely recommend hotel , long live small room . 
 Oct 5 2009 	 European Hotel Manhattan 	 read review trip little nervous Hudson , arrival happy . hotel modern , bar restaurant interesting fun room , although small american hotel quite charming . staff friendly helpful location fabulous . less one block subway station walk everywhere . negative review must come traveler never Europe experience really small room . can not wait go back . 
 oct 4 2009 	 do not bother 	 like vacation tuna place you . the room incredibly small . New york stay many NYC hotel .... guest room half size other . service good bar / lounge beautiful , would definitely stay elsewhere . People say NY expect small room . true . plenty nice size room . 
 oct 4 2009 	 great place stay 	 husband take short trip New York happy hotel . entire staff extremely helpful friendly begin end . love decor different bar could relax drink . room extremely small , not going spend much day , care ? bathroom interesting , toilet close wall . heavy tall people would difficult time - one person could not . also shower see - through , something consider . location hotel great , really close park , Columbus Circle , theater district . would definitely recommend stay Hudson ! 
 Oct 1 2009 	 outstanding client focus entire staff 	 check check , hotel staff friendly , helpful fun . enjoy location amenity hotel . would highly recommend other stay next visit nyc . thank . 
 Sep 29 2009 	 memorable experience would happily relive 	 arrive Hudson trepidation read negative review , moment walk lobby , concern instantly dispel . staff friendly courteous ; room ( small , yes , not come New York hang hotel room ) quiet , clean well appoint ; entire atmosphere design place impressive . we look forward stay Hudson certainly recommend friend . 
 Sep 29 2009 	 terrific hotel great location helpful staff 	 get back weekend Manhattan stay Hudson glad stay great hotel ! love film noir atmosphere many different venue lounge -- rooftop bar , garden bar , library , nightclub . room tiny yes , minimalist chic . staff could not helpful , even loan we umbrella rainy Sunday . not miss Thomas Keller 's Bouchon Bakery Time Warner building block ! 
 Sep 25 2009 	 tiny badly light room 	 do not mind stay tiny room badly light cost fortune , treat.great bar funky public area ( enjoy without guest ) 
 Sep 24 2009 	 always favorite ! 	 husband stay Hudson August second time , first . love Hudson Hotel , be beautiful , affordable , comfortable , staff always competent friendly . enjoy wine dessert amazing cafeteria one evening , drink outside terrace another . NYC , Hudson great place end day come & quot ; home & quot ; . 
 Sep 24 2009 	 Great Location Price cost ? 	 great hotel not care room size want clean hotel cheap price around central park . definately people 50 . room tiny , clean comfortable . 2 people can not use bathroom time , glass window let watch one take shower sit bed ( ) roof top patio great , lobby nightclub blow ! istouristy , horrible service . real NYC nighclub . happy stay , hotel worth $ 150 night not expect get treat like individual . 
