great 	 stay weekend 28th Nov , 3 lady . brilliant room , great value money . can not knock anything , fab . would definitely recommend . location ideal tube right outside door . staff could not enough , deserve 4 star . Kensington lovely place , quiet safe . 
 oct 9 2009 	 wonderful friendly convenient 	 stay four night , delighted see free WiFi work , get lot use . receptionist friendly , room impeccably clean ( Room 510 ) good view side church behind hotel . I amaze quiet room , traffic noise , bang door , shout corridor . room ironing board , maybe little thing find irritate phone room service get one deliver . problem here . the bar staff friendly , little slow perhaps hey , get find something wrong ! yes one lift ( elevator ) get use allow extra minute two come . food expensive 's supermarket road , plenty restaurant within 100 metre radius breakfast evening meal . if change one thing , one thing would alarm clock bedroom stuck worktop , can not move . mean could not actually see time bed , therefore want check sit up . in nutshell , safe , convenient , clean friendly . 
 Sep 30 2009 	 good value quality Gloucester Road Area 	 good hotel get good rate , value money . stay twice last week . first room small nice . single business traveller perfect . couple family lot luggage , room would major problem . second room upgrade ( PClub platinum member ) . room large nicely fit . go new hotel choice area town . 
 Sep 28 2009 	 great place relax 	 lunchtime flight Heathrow decide CP Kensington would ideal place stay flight 's easy reach tube . flight early would book airport hotel none airport hotels league CP Kensington . I pay room use priority club point pay £ 50 lounge access upgrade ( be £ 50 per room , i.e . £ 25 per person , bargain ) . let us put perspective , have stay home would pay £ 65 get taxi airport morning , either face hassle two bus , Bakerloo line Heathrow Express meaning would get really early . consider have crazy stay hotel . for less airport taxi get free drink canape evening superb breakfast morning . evening drink service provide seat , unusual Crowne Plaza hotel 's common help , breakfast consist continental buffet ( standard CP offer ) , CP Kensington go one offer full english breakfast make order great way start morning ready face hassles airport security . breakfast alone enough make good Crowne Plaza lounge ' ve use ' ve try lot ! lounge also offer choice Windows PC Mac work , great someone work Linux use Mac home , really hate hotel pc setup particularly awful iBahn kiosk software . staff , great always even remember ! barman remember favourite drink staff around building welcome back . think quite impressive ' ve spend three night hotel previously last time back July . my room decent size big massive room receive July . priority Club Platinum member , ' ve always stay hotel point although always get allocate decent room understand Priority Club member pay room first line super upgrade multi - level suite . the bed good size comfortable , tv good range channel movie , bathroom room little small side ( compare previous room ) bath decent size room well light 's matter . the lounge definitely highlight visit let us forget superb gym . obviously good place go free booze canape , spend hour upon arrival make use lounge . bad point : ' ve still success free wifi , first stay not even aware suppose free wifi . know be work improve ' m sure end will work . ' m sure can not make wired internet access free meantime ( contractual obligation ? ) . check - out complete without issue , quick walk across road Picadilly Line soon Heathrow enjoy another drink new bmi lounge Heathrow flight Munich Oktoberfest . sorry : never chance pop curry , free mention nearby restaurant . will try well next time : ) 
 Sep 26 2009 	 upgrade upgrade ? 	 ' m big fan InterContinental brand hotel . ' ve get Platinum status Priority Club generally try stay one brand . little extra get loyalty nice . so thought would try Crowne Plaza whilst room nice ( although mine hot A / c not seem much ) great bathroom fab towel . thing leave bit desire . now understand upgrade & quot ; subject availability & quot ; like Hilton can not upgrade , offer something ( wine free internet least something thank loyalty . ) however , hotel , tell completely full upgrade . bit prompt lady check seem find Club room . however , not tell & quot ; upgrade & quot ; room . first time stay hotel upgrade , seem Club Room limit . find try use . guy reception not seem interested point tell . keep repeat could pay want . tell lounge access would ok , tell . point loyal ? finally check , & quot ; nice stay & quot ; interaction . give copy bill . , nice ( albeit warm ) room cold staff ( least experience . ) bed great nice chair desk work . location great . close tube . make decision stay ! 
 Sep 24 2009 	 nice room London 	 room nice standard well alot Hiltons stay . also public space good . unusual find family room standard hotel reasonable price . choose . surprised huge garden would lovely child run around matter grow up , unfortunately secure take stroll rear realise open back street wwith lot people sleep rough . need fence feel safe kid play . problem kitchen night wait long time meal , however apologise give we free drink meal . food good portion small . close natural history museum etc . ideal . overall pleasant stay . 
 Sep 22 2009 	 Hot Stuffy ! 	 stay one night way back 9 month trip Asia mostly 30c heat . check - in ok , hotel one lift moment tiny , take get room luggage ! room far hot , even get engineer come take look , guy find filter badly clogged , honest even hoover room still hot , point awful headache morning . apparently manager 's instruction window lock shut ! ? ! another gripe space room , virtually impossible get round bottom bed without kneecapping , partly due oversized bed also bad design room furniture . location ok , opposite Gloucester Road station . fiance stay many Crowne Plaza Holiday Inns Gold Priority Club member bneen one bad stay ! money pay really disappointed . 
 Sep 21 2009 	 Fantastic every way 	 husband , brother , girlfriend stay crowne plaza two night 18th 19th September . having stay Holiday Inns Crowne Plaza 's UK impress everything crowne plaza kensignton offer . firstly location brilliant , across road Glouster Road tube station . within 5 min walk access wonderful bar restaurant , want good english pub great food visit stanhope arm , along tesco's . if turn leave hotel walk 10 min find heart Knightsbridge ( Harrods , Hyde Park , Harvey Nicholls ) , turn right walk 10 min reach Earls Court , lot restarant bar . the hotel modern , bar great cocktail fantastic . service wonderful concierge helpful . our room lovely 2 double bed , plasma screen etc . overall thoroughly impressed definately stay next time London . 
 Sep 15 2009 	 Nice hotel great location 	 Hotel lovely , great location easy access airport Eurostar . room picture website other exception room little tight bed furniture tv wall . dresser desk bit wide room ( see photo ) . , hotel fabulous . love back garden area . would definitely recommend hotel family friend . 
 Sep 15 2009 	 fantastic stay 	 level attention pay every review doubt would one great hotel , always look way improve service , really . location excellent , across road Gloucester road tube problem arrive either Paddington case King 's Cross . nice area , walk Knightsbridge ( Harrods , etc ) , Hyde Park , lot supermarket ( waitrose straight across ! ) open late case need . drop nearby south kensington branch Ottolenghi grab fantastic takeaway lunch treat . we check bit early ( 1 pm ) problem , room ready great joy full Platinum member benefit apply . lady reception friendly efficient , tell we recent trip native country make we feel welcome . purchase club room option already treat nice pre - dinner drink snack club lounge well breakfast next morning . well worth extra opinion . request would get espresso ( nespresso like radisson ) machine nice morning cappucino : ) ( maybe would possible , not ask ) fantastic weekend , make even well thank fantastic experience Crowne Plaza . be definitely go first option , everytime need stay London . 
 Sep 12 2009 	 Good Hotel 	 sister stay 4 nite . location great -- right across street Gloucester Rd tube stop Picadilly , Circle District line . within block hotel several restaurant , gourmet grocery store , Starbucks , Paul 's bakery . hotel comfortable quiet . room 2 double bed suprise spacious . european hotel notoriously small , would expect find U.S . highly recommend ! 
 Sep 7 2009 	 NIce hotel 	 daughter stay 1 night prior cruise . nice hotel great location . room 2 double bed good space three we . book use point add club program great internet access , breakfast drink . drop early evening snack little left . room nice , clean look courtyard . complaint would slow elevator service one . think add second shortly . we come via Heathrow buy full day travel pass metro train . direct train ride via PIcadilly Gloucester short walk hotel . we walk use subway suffer jet lag want sit meal dinner . stop Whole Foods great food food market nice treat bakery . 
 Sep 2 2009 	 Excellent hotel fault 	 return 2 night stay , book triple room last minute recommendation friend disappoint . give free upgrade junior suite arrival , not ask notice post receive ! ideal us 2 storey suite provide we privacy teenage son able sleep downstairs seperate tv . hotel provide we everything would expect 4 star hotel staff exeptionally friendly helpful 's location superb , Gloucester Rd tube station literally across road provide easy access everywhere London also several restaurant close proximity , unfortunately not get try . Waitrose Tesco supermarket also doorstep enable limited budget shop take drink , snack etc room . thoroughly enyoye stay certainly return hotel next visit . excellent ! 
 Sep 1 2009 	 Lovely Hotel Excellent Ammenities 	 terrific experience London Kensington Crowne Plaza .... room 3 adult - rarity many city ! - decent size . everything work well . even beautiful english garden back property . staff pleasure us work . next time London : already know shall stay ! location : fine location . many restuarant shop around corner . night , still busy feel safe coming & quot ; home & quot ; area late hour . 
 Aug 31 2009 	 Ideal London hotel 	 extremely happy stay Crowne Plaza . spacious ( especially London hotel ) twin double bedded room clean bathroom . excellent buffet choice breakfast garden quiet oasis sit rather staying room . unfortunately , one computer access internet free guest hotel foyer constantly use . hotel ideal location easy access either foot , bus tube shopping , tourist attraction , museum place eat . recommend Tower London - arrive 9.00am - Crown Jewels first Beefeater tour . lady time pamper highly recommend facial Liz Earle ( www.lizearle.com ) within walk distance hotel tube Duke York Square Sloane Square , Kings Road . 
 Aug 31 2009 	 Great Stay 	 husband , daughter return three day stay last week . first stay hotel August 2007 pleased upgrade . closely monitor review prepare slow elevator service non working wifi . second elevator instal sure problem resolve . renovation make place much bright comfortable . double room fifth floor give we decent amount space three we . room small manageable come London sight see , spend time room . like prior reviewer note - need keep clothe suitcase really not storage space clothe outside closet hang thing . overlook garden request time reservation last spring nice . . opt breakfast plan impress new bright dining room ( two year ago eat downstairs somewhat dark dank ) good service . food , plentiful ok . hand , extremely convenient three we tend wake different time , nice place go wait rest family get . note book prepaid room three four month ago really good rate sure make we tolerant slow elevator etc . location hotel terrific . Glouster Road tube station half block away several reasonably price restaurant short walk away well . eat Little India , Memories India Prince Regent . decent food . waitrose supermarket directly across street small Tesco block away . hotel staff kind attentive . small problem tv rectify within 20 minute taxi arrange we bring we back Heathrow . would certainly stay would recommend hotel friend . 
 Aug 30 2009 	 really good value London staff outstanding 	 one night London transit Spain not want spend fortune . base revie Trip Advisor , stay hotel disappoint . 2 adult 2 teenager one room -- 2 double bed . bit cramp . hotel well - maintain quiet despite noisy road . really stand staff . desk clerk check we hear way Barcelona , ask stay offer advice . issue tv , manager duty come upstairs right away fix . concierge work we make day London organizing travel Stansted ( train strike - eek ! ) arrange alternative transportation without glitch . breakfast lovely - veddy British . complaint 10 pm get food bar ( open - bartender sweet- Australia ) order room service . many way perfectly ordinary hotel make well attentive staff . exactly want need . 
 Aug 30 2009 	 Disappointed 	 think perhaps incredible review hotel gain lead unrealistic expectation ... expect something special not . perfectly adequate , special . book reward point rate maybe get small room free small ... space one side double bed bedside table stand sort really space anyone get bed . window type frost apply view whatsoever . everywhere clean tidy , bathroom small - have love say perfectly form unfortunately toilet paper dispenser attach side bath lead damp paper one us shower . apart short bath , lovely ... clean modern . my main concern air conditioning ... fine Saturday afternoon , return West end 11 pm room stifle , window lock really poor night sleep . check next day receptionist intimate problem night maybe unlucky . do not get wrong , hotel stylish , staff friendly , problem lift , toiletry lovely pillow soft . think particularly small room , unfortunate experience air conditioning possibly inflate expectation . would stay ? possibly , would pay deluxe room could get decent price . 
 Aug 30 2009 	 chain dependability boutique feel 	 wife , daughter stay hotel week . be look boutique hotel seek dependability quality chain hotel , great place stay . former Holiday Inn renovate / modernize current Crowne Plaza brand . mean lobby room modern / trendy comfortable . yet , feel boutique hotel - not ten thousand room staff quite friendly helpful . picture hotel website quite accurate . service excellent front . need ice ( ask every night ) , room service staff bring within 2 - 3 minute . concierge helpful knowledgeable . steer we excellent family run indian restaurant within five minute walk ( Memories India , way ) . hotel huge , get know staff . one night daughter need scissor open one bullet proof plastic package , concierge immediately produce pair skillfully cut open . go room opening package , leave , thing , dog toy buy Harrod 's . next day concierge recognize we give we package . little thing like huge I . our room , part , comfortable roomy enough three we . face rear courtyard , great place sit . street noise . complaint air conditioning bite weak weather quite warm London standard ( 90 degree ) . mention front desk morning ; return afternoon , adjust left fan we . elevator situation problem ; however , be low floor ( 3rd floor ) easily walk step . be work get new second elevator instal . the location awesome - block away Gloucester Road tube stop . plenty good restaurant nearby . , grocery store ( Waitrose ) , drug store ( Boots ) , convenience store ( Tesco ) , ubiquitous Starbucks block hotel tube stop . altogether , flaw minor inconvenience greatly outweigh quality common area , room , fantastic staff , reasonable rate . 
 Aug 26 2009 	 great hotel 	 great stay Crowne Plaza . the hotel short walk Gloucester Road station therefore access London . we room back hotel overlook lovely garden . room quiet London , bed great . yup one lift break therefore full time not affect we first floor walk stair . food good hotel favourite bit stay hotel ability go sit outside nice quiet garden , sit gin tonic . ( first hotel London ' ve stay garden sit outside in . there couple family make good use large garden . 
 Aug 23 2009 	 good hotel great location 	 pick Crowne Plaza location , love . room standard double room , rather cramp family four . stay three night keep clothe suitcase storage tiny wardrobe four hanger . breakfast good staff friendly helpful . pay room internet never work ( refund we , nice , would prefer work email ! ) Bathroom , although small , nicely decorate , upscale soap shampoo . room look Cromwell Road quiet , thank good sound - insulate window . room clean corridor outside smell something would rather think hard carpet badly stain place . big drawback lift , lack . one tiny temperamental lift , sometimes refuse stop floor . , always full . use stair involve learn tortuous route along various corridor fire exit . still , meet people way everyone enjoy complain poor lift . would stay would pay one suite , hear other say excellent . 
 Aug 21 2009 	 proirity club ... ? 	 London family ( 4 person : 2adts . +2 Child . ) Guest Crowne Plaza Kensington 4 night ( 11st & gt ; 15th August ) . ' m member priority club since 1994 severl year ' m platinum member . unfortunately notice part priority club platinum card priority zero . standard room ( two double bed ) make on - line reservation May 26 4 night reward night . upon arrival , propose formula 50sterle per day breakfast free access lounge . discover price ( 50 sterling charge free access lounge ) apply anyone . upon check reception ask speak manager , present Mr. Lee Sylvester ( Hr manager ) confirm hotel fact make difference participate program priority club platinum priority club , except check time extend 14 : 00 instead 12:00 . room up - grade , proposal ..... nothing .i will remember next time kensington area many nicehotel chain Marriott etc , careful ee distinction affiliate customer not . Graziano Sampieri 
 Aug 17 2009 	 probably good Crowne Plaza London 	 usually stay Holiday Inn Kensington Forum , intrigue upscaled Kensington Holiday Inn Crowne Plaza , not disappointed . far well Crowne Plaza St James , even modern Crowne Plaza Blackfriars , hotel will not disappoint you . the reception staff friendly helpful . reception area large airy . book club room , tip top condition , view gardens / towards chuch , peaceful could get centre london . french door open could get fresh air . room modern leather comfy seat , good desk area , real haidryer independent fix plug ( big plus ! ) , enough wardrobe / drawer space week stay . ironing board , umbrella ( not use ! ) . large Philips LCD tv screen , not realise point remote top screen rather infrare port bottom leave ( silly ! ) . pure DAB radio integral alarm IPOD dock . unfortunately night could not move radio 's fix position ( stop someone take suppose ! ) , could not see time - keep put mobile phone check time . air con efficient . the bathroom full length bath separate shower . huge heavy bathrobe ( gorgeous ) lovely cotton slipper . sensuous large edition aran toiletry ( resist mandarin mint body lotion ? ) modern bathroom . illuminate vanity mirror pair weigh scale check much weight gain eat restaurant ! club lounge away noise london . comfy seating , free internet access . free evening drink / canape free full english breakfast ( first time experience club lounge love ! ) . however , one door not secure mean people not access come say tell ok eat , little less exclusive thought . negative - one lift undergo renovation , busy peak time . especially lot luggage lift mean many people could get . perhaps management might want think point alternative route time , would not minded walk stair use service lift . room deadlock not work despite ask sorted , work , not work . thing trivial compare lovely time have . I would not hesitate visit , would like thank staff come contact - happy attitude , refreshing . 
 Aug 13 2009 	 wonderful place stay London 	 stay hotel July weekend treat . admittedly one thing sell hotel we anything else ' quality review Tripadvisor , although impressive , brilliant management response – hint establishment run human being , intelligence dry wit sense fun . arrival , initially delighted tell ' give free upgrade suite , actually see split level , deluxe accommodation , squeal excitedly would jump , ' two sensible woman . apology neighbouring guest shrill squeal disturb frighten you . the room simply , yet stylishly decorate , bed huge comfortable , extra touch wonderful , large brolly umbrella stand Arran toiletry well appoint bathroom . towel big fluffy , bathrobe luxurious heavy ( tempt request option strong man lift we floor fall wear , ' find number ) . room service also good , particularly enjoy flavoursome chilli trout . breakfast main restaurant also good . , tell suite , amazing , clean , well equip , even though face onto main road , double glaze cut exterior sound . however , really make stay special service provide incredible friendliness staff . every member staff dealing , receptionist concierge , waitress manager , cheerful happy help whatever way could . it ' luxury find easy justify , stay smart hotel central London , option ever avail ' hesitate stay Crown Plaza Kensington , put smile face make we happy . 
 Aug 8 2009 	 NIce Place return 	 nice hotel entirely within keep Crowne Plaza . good location , accommodate staff good overall experience . 
 Aug 6 2009 	 Excellent Location - recommend reason alone 	 stay mum sister theatre break weekend . location hotel perfect especially people not know London well almost see hotel exit tube station . room lovely standard would expect type hotel . hotel undergo renovation whilst stay staff well make sure happy comfortable . one exception barman . useless ! ! 
 Aug 5 2009 	 Excellent Hotel 	 stay hotel wife Anniversity Suite . good room / suite stay . Suite split floor living room downstair bedroom 2nd floor . bathroom clean water presure great . Staff Excellent location hotel excellent . also around hotel free parking Saturday 1.30pm till Monday morning . one thing would recommend hotel management put clock room . small digital clock ipod player small . would recommend hotel friend family , afford go suite ( Room 111 ) 
 Aug 5 2009 	 Excellent Place Stay 	 stay 4 night 2 kid . one hotel London allow 4 people room . bed comfortable room clean . wide screen LCD tv safe room nice . room face Cromwell Steet , quite noisy window open go bed close window turn AC . excellent location , take train Heathrow Gloucester Road Station hotel across street . kid want ride double decker bus # 74 bus stop right hotel take right central London . supermarket like Waitrose across street Sainsbury 's street make easy pick late night snack kid . ice order room service took awhile arrive find convienent pick bag across street . use free WiFi Internet offer hotel , speed good sometimes take awhile would connect complaint . computer setup lobby not bring laptop . shower glass tub look nice thought 12 & quot ; long water not splash easy . staff great especially concierge greet we everytime walk . one day raining ask we need couple umbrella take we . Awesome , would definitely stay next time be London . 
 Aug 4 2009 	 Nice Renovations Great Location 	 opportunity stay three different room 3 week stay . extend stay time room available keep . problem though next room ready not lug bag hotel . room newly appoint comforable . room size & quot ; Western & quot ; & quot ; European & quot ; .Shower feel bit tight glass partition instead shower curtain , & quot ; feel & quot ; . never bump anything .... free internet service plus many hotel London charge $ 30 / day wireless access . certainly add week . no ice machine floor room service happy bring bucket . ' m sure renovation permanent thing . front desk always helpful , seem push upgrade executive floor bit much . almost like telemarketer be say & quot ; & quot ; , keep pitch be do . I not try restaurant get room service time . ok , great , typical guess ( expensive generally tasty ) .If complaint , would elevator . replace get stick really slow stay . would bad stair tough get lobby . single stair well go way . switch floor time end go kitchen guest . location perfect take tube . Gloucester road station right across street plenty restaurant within 2 block radius . even KFC Burger King US get homesick . also find great eatery call Nando 's street . check will not dissappointe . I come back London July really want stay , rate go 200gbp . Marriott road ( review come ) offer 135gbp night two week , could not justify difference . get good rate , would certainly recommend hotel . 
 Aug 3 2009 	 can not go wrong ... unless 	 spend one night hotel , must say beautiful great location , close subway station . would say bedding hotel impressive ever see . do not know , sheet , pillow case bright white , crisp , smell great possibly clean feeling sheet ever sleep . comforter also clean crisp . bathroom , large clean . my complaint hotel , use room service everything ..... want bucket ice ? wait 40 minute room service bring ! ! ..... self serve ice vend kind . really begin feel force tip every small convience ... grant small complaint stop anyone stay great hotel . nice look bar lobby , do not get use , look like other enjoy . overall , would say can not go wrong hotel . 
 Aug 2 2009 	 hotel provide Platinum Priority Club member full benefit . 	 pleasant conveniently locate hotel . unfortunately neither Priority Club site hotel warn advance & quot ; hotel policy & quot ; give platinum member access club lounge . also noticeable , apart room key wallet one item room , Priority Club not promote hotel . time many year Priority Club member , experience . 
 Jul 31 2009 	 Great stay- convenient comfortable hotel 	 please stay . arrive early ~12:30pm accomodate allow we check . get nice room decent size ( standard ' m use Texas large compare expectation set review London hotel ) .The hotel perfect location right accross tube station service Picadilly line go directly Heathrow . also lot nearby resteraunt . 2 day stay , tube one day bus next convenient . breakfast good good service . the room clean comfortable recently redone . the issue minor:1 ) door hotel room close way maid leave . find pushed open without key . way first get room maid leave 2nd day . inroom safe leave nothing valuable issue something check.2 ) 2nd lift replace . issue wait stair convenient . solve quickly make perfect hotel . overall , highly recommend hotel happy customer . 
 Jul 30 2009 	 staff impressive location 	 stay Hotel recommendation travel friend european circuit end 4 night stay hotel . location convenient recent renovation give Hotel plush pleasant ambience . situate across road prime transportation hub Gloucester Rd station Hop Hop bus make travel easy . we pleasure stay one 2 floor suite , sumptuous indeed , wife recover break ankle could easily run downstair see much spend Harrods . ( Handy ) Privileges associate room category include use Cub room breakfast morning , drink / canapés night free internet , fantastic , garden area great afternoon drink naughty cigar smoker . all staff display personify efficient friendly courteous manner reception , concierge general service staff . would also like thank Michael , General Manager excellent host drinking partner .We travel Debbie ( reviewer ) yes assist we get Tower London , time . we return London certainly stay Crowne Plaza / Holiday Inn Kensington . thank . 
 Jul 29 2009 	 lovely friendly hotel 	 brilliant stay Crowne Plaza hotel London . stay child age 7 10 two night american style double , double room stylish bathroom . bed extremely comfortable , need long day sightseeing . kid ask could buy bed take home . the Hotel clean efficient cheerful friendly atmosphere . breakfast nice service excellent . hotel well situate close Gloucester Road tube station , Natural History museum , V & amp ; Science museum . overall hotel perfect trip would certainly recommend friend firm belief would still friend return . delighted meet Mr Lee Sylvester , author trip advisor hotel reply , well guest service lift notice . keep entertained internet evening reading comment . say lift cosy get know guest intimately long journey building . ( hotel busy start school holiday ) understand another lift instal . almost shame really ! thank great stay . ( hope punctuate properly know someone may check . ) 
 Jul 27 2009 	 excellent location pretty good overall ( esp rate ) 	 pretty good stay Crowne Plaza Kensington . location excellent . easy catch taxi front hotel , also tube station ( serve Piccadilly line also serve Paddington - Circle line , think ) , short walk away , make convenient get to / from Heathrow whether catch tube Heathrow Express . the front desk staff helpful let check despite rather early arrival ( around 11:30 memory ) . concierge , Raj , initially appear potentially little gruff turn rather helpful , nice chap . I think get upgrade ( ' m Priority Club gold ) give fairly small room , not really matter somewhere sleep . room small adequate size repack multiple suitcase thing spread everywhere , ' that ' small either . the room decorate fairly modern way , without go minimalistic . nice halogen ( ? ) downlight ceiling desk . good room reasonable level lighting ( say many hotel ) .The bathroom small functional pleasant enough . lighting could bit bright though ( like bathroom , bright - 's environmentally friendly , guess ) . magnifying mirror high height , suppose 's bit hard please everyone . quite like presentation bathroom toiletry - little , although throw bit initially . also like product produce UK ( well , Scotland ) .Also provision free bottle water , packet kitkat packet biscuit tea / coffee make tray rather nice touch , inclusion hot chocolate tray ( , 4 * /5 * hotel provide hot chocolate sachet ) .The problem knock door 8 housekeeing mention someone happen , , put Disturb sign door , mea culpa . besides well truly awake anyway , luckily cause inconvenience . besides , housekeeping lady rather apologetic disturb ( even though not complain ) , forgive somewhat early morning knock door . I could get laptop get allegedly free WiFi - signal weak . inconvenience carry USB dongle mobile broadband , reliant hotel Internet , may find annoying ( in - room information say WiFi free cable connection provide room ) .I also could not find room service menu . not hungry go order , look curiosity . contact anyone ask point troubling anyone something going really use , place somewhere prominent would good idea , management read this . just information traveller may fancy get ' random food ' ( crisp etc ) , late - night Tesco Express nearby , well Waitrose across road , make hotel even convenient . ( non - uk traveller - supermarket . ) overall , happy stay , especially consider pay £ 100 room . 
 Jul 27 2009 	 nice hotel many mistake 	 previous writer wake eight eager cleaning lady let tell , ' near bad part stay . check ' use corporate visa card cause ' PIN . ' use card fifty hotel never mind .. explanation might steal . card name , passport , EU driver license sure … steal . transfer money account reserve 550 pound private VISA . anyhow , give we key ; wait one work elevator couple minute , enter room oh ; people already stay room , big surprise ! 30 min get another room , time unoccupied . go talk duty manager ' , call 20 min one showing decide hit city , ' bother . checking , charge 400 pound two night . also keep 550 reserve another ten day , something ' problem ' fact use private VISA cause ' let use corporate card . apart hotel nice , clean , breakfast ok location superb like stay west London . also excuse English , native language . 
 Jul 21 2009 	 thank wonderful stay ! 	 return european adventure end 4 night stay hotel . stay , return convenience delight sensational renovation . hotel situate right across road Gloucester Rd station incredibly easy get airport fuss simple ride away London site . upgrade lovely 2 floor suite much room not know . fantastic ! read previous review towel - yes , thick , warm cuddly ! ! : ) able use club room breakfast morning ( delicious ) bonus able use free internet facility . also make sure make back day free canape drink . great way relax spend heavy shopping day Harrods ( husband drown sorrow ! ) . weather last day pleasant also use garden area afternoon drink . staff come contact efficient ( without efficious ) , friendly professional . lovely polish girl reception beautiful Australian Sarah serve drink club room - thank . extra thank Michael wonderful host tell we get Tower London - travel underground we . can not wait go back London definitely return Crowne Plaza / Holiday Inn Kensington . 
