Roomy 	 stay room one standard room ( free upgrade ) . room super roomy , various furniture feel comfortable . remember great view cityscape night spotlessly clean bathroom . forget pjs sleep really comfy robe . 's also free wifi room lobby . elegant room , staff super nice . locate right near market street - pretty good base go explore city . 
 Sep 14 2009 	 good hotel great location 	 stay 5 day Sept long weekend impress hotel . easy check . Maid service excellent . great location form transport right next hotel . room somewhat small adequate need . 
 Sep 13 2009 	 everyone Loved -- 20 - something Grandma 	 stay ( family vacation celebrate mom 's 75th birthday ) everything could hope -- great room , excellent service , convenient location . everyone love , 21 - year - old niece boyfriend , us middle - aged folk , Mom . although initial misstep room assignment family , hotel staff quickly politely give we new room . moreover , entire staff -- one -- notably pleasant , efficient , responsive . room immaculate , comfortable , pleasant , classy without pretentious trendy . size vary quite lot . street - face handicap room enormous , kind noisy -- even noise - harden New Yorkers like we . whistle use summon cab begin drive we crazy . bathroom fancier shower other , nice . we enjoy indoor pool , room freeze Jacuzzi bit rundown . tips1 . ask room overlook glass - roof swimming pool ( floor 5 ) . will get light relative quiet way . 2 . Breakfast Garden Court Restaurant transporting experience . food decent -- set die . despite menu seem say , order la carte . ask wait staff.3 . BART station ( Montgomery stop ) literally outside hotel 's front door , bit environment ( save $ $ ) take SF 's excellent public transportation airport . streetcar stop also step hotel 's door . 
 Sep 12 2009 	 lovely hotel 	 stay August 3 night part family holiday . get good deal price & amp ; great time . love grandeur & amp ; history hotel . stain glass roof dining room absolutely stunning although could not affod eat ( £ 25 per person breakfast ) , hotel provide complementory tea / coffee braekfast & amp ; relax bring food . there s great bakery around corner . 4 us room small compare normal US standard - however nicely furnish & amp ; decorate & amp ; really enjoy stay . pool decent size & amp ; use every day . hotel right main street convenient get trolley & amp ; bus & amp ; place eat . 
 Sep 5 2009 	 great stay Great Hotel 	 family stay Palace Hotel August 22 - 27 , 2009 . like everyone else see negative comment hotel , especially noise factor , little apprehensive arrive , negative comment turn opinion , unfounded . beautiful old , classic hotel great central location . public sit area bit small consider size hotel mean nothing we . nothing short great historical place . book junior suite great price Expedia problem room size approximately 450 sq . foot . housekeep excellent job nightly turndown service great touch . hear absoutely noise adjacent room hallway . AC could little well able open window remain comfortable whole stay . people write problem wireless internet , Verizon mobile broadband problem connectivity . kid really enjoy pool much large expect . pool also clean not know people would write contrary . use hotel parking lot 2 five night since find parking directly across hotel right street . leave car whole weekend allow find cheap nearby lot afterwards use 1 day becaiuse in - out parking . number 5 bus right across street main mode transportation Fishermans Wharf end night . anyone travel family , highly recommend Muni Passport save quite buck extend stay . would definately stay Palace get get good deal , check travel site , starwood site seem offer decent bargain without pay fully non refundable rate . atl least travel site , wil penalize 1 night cancellation circumstance . 
 Aug 30 2009 	 truly wonderful hotel 	 traveler photograph website really not Palace justice . we wonderful experience could not fault single aspect stay . the perfect mix traditional charm modern amenity . a truly wonderful hotel truly wonderful city ! 
 Aug 29 2009 	 fur coat - knicker 	 do not get wrong Palace impressive , downtown location impressive , lobby elegant lush red carpet ornate chandeliers- get room disappointment kick . staid , unimaginative little bit grubby I m honest . bathroom small white sink plastic bathtub dubious grouting . toilet flush break first time use think sum up . no free tea coffee room ( road trip hotelroom even cheap ones- come call ' palace ' ) internet free lobby ! ! ? ! room - need use laptop sit everyone else foyer , yes could pay $ 16.95 non - pay guest get use I . so end low fitness centre indoor pool great . palace good want dump bag room spend day explore wonderful city San Francisco make hotel location . 
 Aug 13 2009 	 ` ` Palace '' 's ! 	 stay two night Palace Hotel attend conference . 's beautiful old building excellent location Financial District . be right across street BART station , make convenient get airport . be also within walking distance Chinatown , Ferry Building , Union Square , short trolley hop Fisherman 's Wharf . front desk check - in good , room ready accommodate early arrival . room high ceiling wonderful molding . mini - fridge , nice new flat screen tv.that be pro . con . there desk one corner 's something afterthought , cheap office chair would not go high enough comfortably use laptop . one heat / air conditioning vent high wall door bathroom , blow directly across bed straight desk . be try use desk , end sit continual stream ice - cold air . every minute would readjust thermostat stop cold air , room would get hot stuffy time . would like use window , suppose open , stuck shut . problem night , since AC also blow right across bed . there wireless internet lobby , use people conference . want use room well , ' connect . call front desk , tell internet room $ 16.95 per day ! non - pay people lobby could use free , pay guest room pony 17 buck . absolutely ridiculous ! bathroom cute , definitely small side . door partially block toilet shower . grout miss dirty tile , tub definitely show age . housekeeping maintenance terrible 4 - star hotel . furniture – batter side – be dusty . front cover come desk phone , also layer dust . soap dish shower still remnant old soap . carpet show wear dirt . wall lamps bathroom hang crook , shade fray edge spot who - know - what . even pen pad paper room ! in - room coffee . ( assume ' would prefer order breakfast room , tax , tip , delivery charge would push $ 40 basic breakfast . ) , however , bottle type fancy water next tv , could mere $ 7 . cover dust seal partially break , ' trust drinking despite hefty price tag . then noise . could hear every bang door every conversation hallway . bad snore come person next room . loud literally feel like room . realize old building , wall bad cheap motel . great location , really ' see anything special hotel , especially price . ' definitely see well day , despite suppose recent renovation . number good hotel motel San Francisco , favor choose something Palace . 
 Aug 8 2009 	 Best San Francisco 	 seven trip San Francisco good . get Bart Montgomery station walk hotel . junior suite quiet , spacious close pool . take tour hotel . fantastic ! nice thing close everything Union Square Tenderloin problem . wine close K & amp ; l winesand food close whole food , Capital Chinatown Salt pepper chicken wing salt pepper crab . Muni Buses f - street street car stop right outside . 
 Aug 7 2009 	 nice good location nothing special give price 	 impressive looking , even & quot ; grand & quot ; traditionally style hotel , price pay definitely overrated . even though upgrade suite free find service staff good , still would go back . the room suite nicely furnish , quite small . would happy large single room . though hotel seem design conference , business - friendly . cell reception poor internet access wire expensive . never able get work stay despite multiple call customer support ( travel frequently never issue hotel ) , go lobby check email free wifi . might time put room , folk ! many wonderful hotel - chain boutique SF even central neighborhood , hard time recommend Palace . 
 Aug 5 2009 	 palace perfect 	 husband spend 3 night Palace weekend getaway San Francisco . hotel exceed expectation - room large high ceiling , quiet . overlook courtyard sort , turn away busy street , peaceful . room floor pool sauna , use twice day - fantastic contrast bustle downtown street , pleasant way wake morning . love stay hotel , definitely return visit city . 
 Aug 4 2009 	 great stay 	 return spend 6 night beautiful hotelwould thoroughly recommendthe BART airport stop literally outside convenient transportIf food drink expensive hotel many option nearby happy hour hotel japanese restaurant recommend 
 Aug 4 2009 	 Classic Hotel super location 	 stay 1 night free . public area gorgeous - staff nice . upgrade junior suite mean sofa room two large window . bed bite lumpy room little worn .... scuffed paint , tired sofa , etc . also can not say room immaculate - decent . the location great walk Chinatown , restaurant , shopping , convention center , public transportation etc . stay 10 year ago feel though not change . valet parking $ 50 / night . public lot nearby $ 10 less per night . would stay ambiance location price right ! 
 Aug 2 2009 	 Majestic Historic Convenient Hotel SF 	 overall : majestic hotel past , well appoint modern convenince middle sf.location : easy subway trip airport straight hotel . cross street be hotel . hotel : beautifully maintain old building retain glory past , upgrade modern convenience . STAFF : polite , thoughtful , five star . pool : make sure check indoor pool hot tub . nice , unexpected treat . ROOMS : small , comfy . nice bed , linen , bathroom . complaint all . TIP : ask quite room face indoor . Less view , completely quiet experience . spa nice massage pricey . be look mani / pedi check affordable nail spa right across street hide alley way . leave car home . take advantage location fabulous public transportation . 
 Jul 28 2009 	 Palace Hotel absolutely beautiful 	 love location hotel inside , see many people recommend stay . room clean spacious , food excellent every form public transportation stop door . floor pool / exercise room / hot tub odour pool , also noise whatsoever . staff friendly helpful . could not ask well place stay . 
 Jul 24 2009 	 Wonderful hotel - go ! 	 think previous poster must different hotel unlucky . agree poster , PL Ramirez . location could not well access Union Square , tram / trolley /bus service ( sorry UK can not remember different name ) access Market Street New Montogomery get sfmoma simple . our room huge , clean , fabulous comfortable bed , lovely desk leather writing chair , plasma tv , robe we . bathroom small care really suppose . plenty thick fresh towel , lot Gilchrist Soames toiletry , four day bed change everyday , ' green ' nice . problem plumbing noise anyone kid run corrridor . only complaint would pool kid say not clean 19 year old dughter sauna area ( costume towel around ) leave man come despite notice keep towel take everything sit bench near , really even scandinavian . the Concierge bit stuck speak not bother . get brilliant rate room book back January totally ( apart LV perhaps ) good valuse money ever . would go back flash could get similar deal . 
 Jul 24 2009 	 Great Location nice hotel room quite grand past . 	 Mellia , concierge , make stay -very knowledgable friendly . hotel staff could take pointer two female concierge . know provide top - notch service . when enter , public space wow . room nice , not feel grand public space . large flat screen tv 's nice , fridge , safe , plenty storage space . wall thin ! temperature difficult regulate . bed comfy . GREAT LOCATION . muni across street , close Union Square , museum , restaurant , etc . I recommend tour wine country . concierge set ( take small two tour ) .if price right , would stay palace . 
 Jul 24 2009 	 GRAND OLD HOTEL - kid want go back - super convenient location 	 start 15 night trip west 3 night . arrive flight , grab car drive downtown find hotel . 1 pm not expect able check we room ready . hotwire $ 109 / night know low class room - mention SPG number upgrade street view room instead inner room . consider mor expensive hotel near Fisherman 's Wharf tour area glad stay far away area ..... pleasant staff - Fantastic Pool - Steet car subway right front , cable car nearby well . great shopping 3 -4 block away - californai pizza kitchen takeout counter 2 block away make easy room chillaxin movie end long day . park garage around corner save $ $ $ - free Wifi lobby - room connection expensive . 
 Jul 19 2009 	 bad 	 get decent rate $ 156.00 per night 2 double bed , deluxe room 3 night . bad deal , taxis etc . around $ 200.00 per night . bed old uncomfortable . plumbing noisy neighbouring room . , room . clean spacious . the hotel beautiful . location good . central . go North Beach twice food coffee . concierge hit miss . female staff knowledgeable helpful . male staff much 
 Jul 19 2009 	 Fabulous 	 take husband romantic weekend . hotel one fine ever see opportunity stay . especially love Pied Piper Bar , sister bar King Cole Bar New York St. Regis . our room Market Street enormous rounded window , comfortable bed stunning bathroom . Sunday brunch miss . bring appetite ! great business vacation property . impress spouse ! book room . 
 Jul 18 2009 	 could use TLC 	 walk lobby Palace , expect completely awed gorgeous , historical first floor . room , however , find disappointing . dust everywhere -- hang curtain , along crown molding , along top row tile bathroom -- like nothing have experience hotel expect high caliber . look like hard - to - reach area room not touch month . say , location great . unfortunately , hotel nearby will choose instead future . 
 Jul 15 2009 	 Comfortable Bed Great Location Sharp Concierge 	 perfect stay Palace . Great Staff , exceptional location right BART stop muni stop . stayed 4 night not bed soreness- important difficult find . fantastic housekeeping crew . fault found- beautiful building top ! 
 Jul 12 2009 	 Beautiful Hotel - need update 	 short one night stay 4 day biking trip Sonoma . common area hotel amazing . like old - style , classical grand hotel like Waldorf Astoria , etc . , like hotel . small room need update although comfortable . noisy . could hear lot conversation activity thin wall . service perfunctory . unless get great deal like location place , would think lot well choice San Fran . 
 Jun 28 2009 	 Call Palace check special 	 Palace one old hotel San Francisco update . think room great -- big high ceiling . locate financial district mean lot restaurant keep late hour not open weekend close coin laundry 7 8 block away . Bart cable car step away hotel entrance Market . easy walk distance Chinatown North Beach good food find close . Saturday library sponsor hotel tour fascinating get see room generally close public . hotel share famous people scandal . staff helpful friendly ; concierge go way accommodate we . get terrific deal room Thursday Sunday -- $ 135 per night plus coupon worth $ 25 ( $ 25 room ) one restaurant room service . day room $ 200 . would suggest call see arrange . location , hotel likely full week likely weekend special . downside fitness room chock full people 7 . week . good assortment equipment use 8:30 . indoor pool hot tub along nicely appoint woman 's locker room ( can not vouch man 's ) . gripe hotel . WiFi room cost $ 18.95 / day plus tax . presume many traveler business charge expense account . free WiFi lobby public area hotel . parking $ 48 / day . hearst parking lot locate close hotel ( main entrance New Montgomery -- turn right 1st street ( Jesse ) right Annie , leave parking lot . miss turn right 3rd St. enter . ) charge $ 20 / day privilege -- -however , pay re - park not cost ( unless take day ) . important check hour hearst -- not open 10 Sunday . 
 Jun 27 2009 	 Palace -- 1900 	 lobby gorgeous , room old tired , furniture not seem update century . room face Market , aware ... be go loud ! ! , city construction night , apparently allow 11 pm , something front desk conveniently fail mention check . will not back . 
 Jun 25 2009 	 Elegance San Francisco 	 location : good location . close tram stop metro stop . 5 minute walk Union Square . quieter location away major attraction . ROOM : small adequate size . kept well historic hotel . STAFF : nice knowledgeable staff . hotel : Detailed well keep interior . elegant . CITY : San Francisco cool . ton see . couple day , rent bicycle half day . ride across Golden Gate , Sausalito , take ferry back Piers . 
 Jun 25 2009 	 Gorgeous Old Hotel 	 love gorgeous old hotel history character . Palace Hotel fit perfectly category opulent ceiling Garden Court mahogany bar Pied Piper . minute walk Chinatown downtown shopping add lure stay Palace Hotel . hidden bonus dry sauna locate next indoor pool . deal offer , get tremendous value hard earn dollar . the inconvenience long line accumulate front desk . 
 Jun 24 2009 	 Great Place Location 	 spend several night hotel , tell great place stay friend family . look great location , comfortable place stay , . block Union Square SF MOMA . quick cab ride Golden Gate Park easy walk distance great restaurant city . the room rate reasonable major city hotel . sure shop online good rate . look major travel site find good deal . I occassion email hotel extra service prior arrival respond quickly everything ask avialable upon arivale . the Garden Court fun way eat breakfast morning , expensive . sure take time enjoy . history hotel interesting . take 90 - minute tour . hotel near Bart come San Francisco Oakland airport easy Bart ride . otherwise cab cost $ 40 - 50 + plus tip . 
 Jun 24 2009 	 Beautiful Hotel lot character great value price . 	 hotel financial district , make easy walk San Francisco 's major tourist attraction . hotel old hotel beautifully maintain , large , spacious room . despite hotel 's beauty excellent location , price reasonable central San Francisco hotel . 
 Jun 17 2009 	 Loved Palace ! 	 stay Palace Hotel week . little worried reading review post problem quality room service . comfortable bed decor keep old - world elegant charm hotel . great , central location . short walk Union Square area without close crowd . free coffee lobby , many coffee shop stone 's throw away want grab quick , cheap breakfast . wonderful Sunday Brunch Lunch Buffet Garden Court ... yes 's bit pricey worth try even one time . 
 Jun 16 2009 	 bad .. little pricey .. excellent food .. bad cell signal though .. 	 get pleasure stay Palace Hotel work . build neat outside inside lobby gorgeous . room stay also beautiful . bed comfy LCD tv nice also . lady working concierge desk nice helpful - guy , much . check - in staff friendly well . , food lunch amaze - definitely eat hotel least . conference room ridiculously cold though . big problem hotel lack cell signal availability . could get signal save life unless sit hallway outside lobby . & amp ; T. also , use internet room expensive . internet free lobby spend $ 40 72 hour internet room . top $ 200 + room cost . overall hotel nice . cell signal issue huge problem though . 
 Jun 9 2009 	 beautiful lobby . stop . 	 stay Palace 2 night . impressed upon arrival 11 , give room . lobby breathtaking . upon get room , note " view " window . understandable . start look around room , notice thin layer dust everything ring glass wood glass table top . go bathroom , floor look clean . take shower , take hairdryer wall see lipstick . last straw . complain front desk tell could change room . decline already unpacked thing way meeting . tell room would re - clean member management would inspect . say fine . return 8 pm look like nothing do room save remove used towel . dust , water mark , lipstick , floor grime remain . use towel even replace . call front desk tell nothing could do management would contact . never . additionally , water pipe bathroom alternately run drip night . newspaper morning . never issue Westin property dismay poor service quality property . let emphasize age property issue . would stay get great deal . 
 Jun 4 2009 	 San Francisco Palace 10 year old boy 	 Spring Break March , take 10 year old son Palace San Francisco 4 day ( time Arizona , Grand Canyon vegas ) . nice one bedroom suite , comfortable pull couch living room large bedroom small date bathroom . hotel , old style elegant hotel extremely long hallway , well locate Union Square , find spend time Wharf , probably would well stay . pick Palace pool , never time use ! breakfast beautiful garden court -- delicious expensive buffet . less expensive place nearby son really enjoy go every day . concierge helpful child 's activity well restaurant good still family friendly ( go two ( near hotel , family friendly ) , Houstons , Fog City Diner ) . love Exploratoreum -- go twice , Alcatraz , Pier 39 bungee trampoline thing overlook marina . ball famous Fire Engine Tour , learn fire history San Francisco ( tour leave Cannery go Presidio GG Bridge Sausalito back ) -- husband wife team run real hoot great story even song -- even tap dance get back ! ! corny fun make smile ! also go Muir Woods Sausalito , ride cable car , go Cable Car Museum , Coit Tower , Lombard Street , walk Little Italy Chinatown ( thing would expect ) . also take behind scene tour ATT Park -- guide knowledgeable park nice -- think highlight trip son ! luckily weather beautiful sunny every day , little crisp . definitely enough 3 day San Fran kid , beyond really need hit road environ . 
 May 30 2009 	 worth $ 150 per night less 	 husband stay Palace Memorial Day weekend . lobby dining area hotel beautiful . Grand Deluxe room , ok . go back , would spend less small room b / c difference seem high ceiling extra foot space . room clean & quot ; old elegant , & quot ; bathroom small need update . turn service . mention front desk last night say request ... one tell we begin ! concierge helpful , actually recommend restaurant overprice poor quality ( Aqua ) . palace good location , plenty choice Union Square . Breakfast outrageously price ( $ 60 two ) . room service fortune well . overall , hotel charming pleasant stay . be one spend much time hotel , not visit pool anything . book 's bargain ! 
 May 26 2009 	 great hotel - overprice 	 nice hotel - great location , decent sized room - problem speak . however price pay ( can not quite remember much pay ) hotel seem bit average . decor ' date ' tad old fashioned . maybe target market - bit chinzey . stay last 3 day trip California , first night stop Hilton street . low stare hotel cheap price tag - qualitity Palace . pay highter price stay Palace not know get it . the hotel good - special . wish save money stay Hilton . 
 May 22 2009 	 beautiful old building 	 Palace beautiful old building , lobby room . really feel like go back time . room nice , perhaps little bit date . 
