hotel 	 hotel prime location right across Buckingham Palace heart London . short walk Green Park Victoria Station . service accomodate , though price little steep , be travel budget . probably ideal couple small group friend 
 impeccible service lavish setting perfect location . a+ 	 pleasure stay girlfriend weekend away London anniversary , recommend highly enough . arrive late ( 11 pm ) friday night due flight delay arrival greet manager ( Andrew ) warm welcome greet we name . hotel actually 5th floor reuben hotel mean order gain entry hour ( without room key ) one must go reception adjoining hotel . check - in fast , efficient friendly . book king - size room hindsight good idea even king size room small expect however finish touch amazing . hot water bottle bed ( sound silly cold london night November welcome surprise ! ) small cake & quot ; Happy Anniversary & quot ; ice waiting room . detail room brilliant everything little bit well would expect ( even 5 star hotel ) , toiliterie dainty bottle ornate screw top , toothbrush toothpaste set good quality design , shaving set excellent razor ( gold wooden finish ! ) ample towle , dress gown ( one cloth / cotton one one lounge one per guest ) . mini - bar well stock little pricey- 5 pound sterling portion cashew nut 5pounds bottle beck alcoholic beer . entertainment provide in - room fantastic movie literally cinema available on - demand . free wifi , tv - internet ethernet , guest service wake call etc course available . from moment arrival staff exemplary- absolute credit hotel . decide day arrival would like take show westend- & quot ; Wicked & quot ; performance- sell every online source could find rang hotel see could arrange ticket we . , find ticket sell show get we ticket four row front , centre - stage ! ( show fantastic anyone get opportunity try catch ) . similarly recommend italian restaurant near Apollo ( request ) organise reservation time show finish ( 10:45 ) even though restaurant usually not take reservation ten thirty ! summary , hotel lavishly decorate modern black white theme , staff amazingly professional accomodate location hotel perfect ( 2 minute walk Victoria tube station ) .The drawback ( call ) room small one would expect arrive late evening gain entry must go adjoining Reubens 4star hotel . 
 good hotel ' ve ever stay 	 Hotel 41 elegance charm without stuffy upper class attitude . greet name throughout hotel add nice personal touch . spend last night honeymoon upgrade suite complete fresh bowl fruit special dessert . room amazing - spacious , luxurious , comfortable . fireplace , two tv equip surround sound . shower incredible pressure , robe / slipper nice amenity . afford , ! ! 
 Oct 29 2009 	 hotel location room food 	 first time London want stay really nice hotel . pick 41 TripAdvisor review . ' think could make well choice . 5 night spend London stay . moment walk , experience awesome . staff welcome ready whatever need . stay Executive King Room , beautiful roomy , bathroom . celebrate anniversary day activity , return find cake room . package include complimentary dinner Library ( hotel restaurant ) . expect good excellent . food service wonderful . full english breakfast day also include package . nice selection , food great service wonderful . believe hotel excellent location see London . Victoria Station nearby underground access . Buckingham Palace right road walk little bit get Big Ben , Parliament Westminster Abbey . complaint stay return London , know ' stay ! 
 Oct 28 2009 	 pearl 	 relax atmosphere ... room roomy clean well furnished . I recommend . staff welcome helpful . 
 Oct 23 2009 	 Hotel 41 outstanding every way 	 boutique hotel absolutely surpass expectation . travel many world 's beautiful city region , never relax stay fine surrounding , due part wonderful staff level service . decor stylish well do , attitude staff level amenity service elevate experience one true excellence . Daily complimentary cocktail canape hour ( actually last two ) , complimentary internet ( yet common London hotel ) , wonderful suggestion staff thing see London enhance stay . location outstanding .... directly across street Queen 's Mews portion Buckingham Palace . room stylishly finish quality priority , turndown service surpass previous experience ' ve ( include soft music play , float candle light , etc ) , washroom separate shower addition charming bathtub , appreciate heated towel rack ..... go . gorgeous glass ceiling part executive lounge ( available guest use ) . thank wonderful staff Hotel 41 . hope return London future look forward stay . 
 Oct 21 2009 	 good stay anywhere 	 stay many beautiful hotel , Hotel 41 set standard hard match . room luxurious bed like sleep two cloud . single thing make Hotel 41 stand personal , friendly service . staff provde outstanding service every level genuine care comfort enjoyment . location could not well transportation walk destination easily accessible . gorgeous lounge , complimentary snack beverage offer anytime day night . daily delicious breakfast availible begin day . visit remember ! highly recommend Hotel 41 return someday . 
 Oct 19 2009 	 absolute treasure 	 favorite 5 boutique hotel 3wk trip London Scotland . entrance little tricky find worth search . another world await guest inside . understate , unpretentious elegance permeate every aspect hotel , personal service appointment guest room food . every request tend immediately graciousness . quiet midst hustle Buckingham Palace Road . sad leave . 
 Oct 19 2009 	 Fantastic 	 daughter husband book we describe magical hotel celebrate 40th wedding anniversary 60th birthday . heaven hotel 41 staff fantastic bowl whole experience . shall go back would recommend hotel everyone . resident manager Andrew Gortchacow make welcome moment step building last moment leave . truly fantastic . 
 Oct 18 2009 	 cozy clubby - staff try hard '' 	 really & quot ; clubby & quot ; hotel traditional hotel . without sound & quot ; top & quot ; first time 40 year travel London stay one particular 5 star , world renowned hotel - past London hotel compare . impressed get use size . room great staff give please - time spot . be NYer rush - bring patience pill . & quot ; front desk staff & quot ; ( someone table ) treat everyone great detail someone ahead , bring magazine blackberry kill time not level expertise 5 star luxury hotel would recommend get reservation top / hot restaurant . 's downside ... staff absolutely willing anything accomodate . tea lovely many personal touch throughout stay quite frankly , cost room , good 5 star luxury hotel . happy , charming place . 
 Oct 14 2009 	 Absolute perfection ! ! ! ! ! 	 wow - hotel perfection second step . service impeccable . everyone nice ! room beautiful - shower AWESOME . think could stay shower bed entire time , be much see London ! ! location also really great , less two block walk Victoria Underground station - underground ( subway ) really easy maneuver , fact station close hotel convenient . also walk distance simple eatery like EAT garfunkle quick meal . hotel even cozy bathrobe slipper . also complimentary snack every night . like place much not want leave ! ! ! honestly say get 100 % positive rating . can not wait go back ! ! 
 Oct 14 2009 	 Unbelievable service 	 brother spend 2 night 41 . service unbelievable . seem anticipate every need . location perfect take several walk nearby spot interest . always little snack we even early breakfast ready we morning early departure . bellman wait 6:30 call luggage door less 30 second . would love go back let take care month . 
 Oct 11 2009 	 Excellent Service Beautiful Hotel 	 & quot ; Splurge & quot ; hotel anniversary trip well worth . staff polite attentive check - in check - out . stay 2 night high tea breakfast Library , nice . even hold bag send next hotel , small fee . this cheap hotel budget stay 's choose hotel . want luxury hotel convenient location excellent service . disappointed . 
 Oct 5 2009 	 pure indulgence 	 second time Hotel 41 everybit good first experience . hugely expensive worth every penny stay somewhere gorgeous make feel special excellent staff surrounding . extras ( plunder pantry , welcome drink etc ) help set apart 5 star hotel really make excellent customer service staff give - make seem though nothing much trouble level attention recieve right . hopefully back save enough ! 
 Oct 3 2009 	 Amazing Service make small room 	 stay 5 night September , find & quot ; con 's & quot ; surpass large number & quot ; pro 's & quot ; . Pro 's : 1 ) execellent service- hotel & quot ; whatever , whenever & quot ; policy- staff always ask could get we something . staff helpful recommend place go see , staff always friendly . 2 ) room hotel clean3 ) bed comfortable & amp ; linen soft yet crisp4 ) breakfast , snack drink always available & amp ; plentifulCon 's : 1 ) hotel desperately need wireless internet throughout ( room ) 2 ) room extremely small , bulky unneccessary furniture remove could make room seem larger3 ) tub / shower need shower curtain- set look sleek , allow water get everywhere bathroom - make thing slippery 
 oct 1 2009 	 absolutely magnificent ! 	 wonderful experience ! ! arrive really early morning ( remember tell taxi driver Hotel 41 next Rubens Hotel know ) . allow freshen another room still occupy . room small gloriously luxurious : gorgeous range toiletry ; olive ice bucket ; candle illuminate bathroom evening ; heat towel rail ; fluffy towel ; wide choice pillow ; billowy mattress ; large mini - fridge selection ; excellent room service food ; , good , & quot ; midnight & quot ; snack available dining area / library 20h30 . hotel really central : able walk everywhere want catch underground miss experience London ( although underground nearby ) . hotel arrange chaffeur airport ( arrange anything else require stay ) . time Hotel 41 absolutely fantastic ! ! ! big thank staff spoil we much ! ! 
 Sep 29 2009 	 Service dream 	 stay Hotel 41 perfect . staff treat great respect belong exclusive club . request tackled gusto pleased aspect hotel . you get stay Hotel 41 like terrific service small hotel everyone know . 
 Sep 27 2009 	 wonderful 	 fantastic service great attention detail . room beautifully decorate thing would expect . location brilliant , two minute tube office . love fact beautiful entrance hall go lift floor Hotel 41 room . room quiet safe , Breakfast la carte good . I would stay . 
 Sep 24 2009 	 Fantastic birthday Treat ! 	 book Hotel 41 2 night purely fab review receive TripAdvisor disappoint . room facility pretty much par similarly price 5 * hotel London , set apart other fantastic staff . lady genuinely friendly , polite nothing much trouble . highly recommend ! 
 Sep 10 2009 	 good place excellent service 	 want place relax spend couple day disembark Northern Europe cruise , nice transition head back home . 41 ideal - husband put , close cruise ship without actually sea . service attention detail wonderful . husband diabetic , & quot ; plunder pantry & quot ; feature great - could nibble throughout day keep blood sugar control . afternoon tea wonderful , good scone ' ve long time . hotel locate wonderful spot , right across street Mews , Queen 's Gallery , street Buckingham Palace . staff assist anything need , make dinner recommendation / reservation , book theater ticket , provide map , arrange airport transportation , confirm flight arrangement - whatever need . make point know addressing name . private entrance nice touch add feel exculsivity hotel . our room nice size , little touch ' ve come expect : thick fluffy towel , nice tub soaking , luxurious robe / slipper , heavenly bed comfortable . yes , be pricey ( especially current exchange rate ) , worth . 
 Sep 9 2009 	 one good hotel ever stay ! 	 place ! location perfect like center attraction London offer . the hotel fantastic - small smart . black white color . my room although big want . clean . bed comfortable linen really soft . 41 logo . spotless bathroom equip tasty toiletry . clothe fold place bed . even pajama ! morning breakfast great , food hot tasty , service fast efficient . Monika , waitress always real smile face nothing much trouble she . all receptionist helpful , especially Pauline . lady ! Sebastian , housekeeping staff always greet use name ask . keep room 100 % time . PJ seem always question city . answer everything ask ! turn service always time . little treat pillow , soft slipper next bed , weather forecast , ice olive spotless room come back sightseeing make we feel really special . check check well organize do professional manner . delay check , room ready upon arrival . I recommend beautiful hotel everybody wants treat like someone special ! 
 Sep 8 2009 	 perfect every way ! ! 	 get back two week holiday London , Paris , Venice , Florence , Rome Barcelona , Hotel 41 far good ! ! ! hotel beautiful , quite , charming , great location , staff outstanding ! really anything great thing say Hotel 41 , regret remember names staff member could mention review . however , remember one resident manager , Andrew Gortchacow extremely helpful go way make sure girlfriend special 30th birthday surprise us fabulous birthday cake room . 
 Sep 1 2009 	 superb service always 	 not normally write review , could not believe someone see fit write poor review wonderful hidden gem . guess people never satisfied . hotel small . 's point . mean get wonderful personal service . ' ve stay Landmark , 1 Aldwych big 5 star hotel , yes nice spa hugely expansive menu , feel like hotel dweller . , wonderful staff get know , find stay add nice little touch suit . example , romantic turn - down service anniversary , cake birthday , etc . staff attitude , politeness , over - the - top stuffiness , simply good hotel London . 
 Aug 31 2009 	 Hotel 41 never fail deliver 	 return second stay Hotel 41 special 1st visit little anxious sometimes happen thing may changed 2nd visit . worried moment enter intimate pre - reception hall welcome special friend smile & quot ; good back & quot ; despite year since 1st visit . guide private lift go 5th floor boutique hotel . First Executive Lounge process formality check , lounge still exude calm excellence exclusive gentleman 's club . throuhgout stay staff attend we friendly courtious way take genuine interest daily plan unobtrusive way make clear help way possible make stay Hotel 41 indeed London enjoyable one . room immaculate upon checking keep way throughout stay housekeeping staff . ordinary Hotel experience , love Hotel life go make mission travel world find hotel good Hotel 41 ..... not doubt take long time .... treat friendly way make feel special special occasion Hotel 41 place . 
 Aug 28 2009 	 FIRST CLASS PERFECTION 	 return stay we , private entrance side Reubens hotel top floor much like gentleman private club old day , amazing minute enter door treat utmost respect care highlight genuine way speak . say nice day really mean it . we double exec room face royal mew , room quite large , lovely bathroom every amenity provide , nice hotel room look plush classy not girly design . the food bring hotel downstairs high quality , good menu part day night , even light menu 11:30pm 7am . breakfast lovely substantial go hot food . love honesty bar nice feel trust every night complimentary nibble too . for location can not fault , door turn right 5 min stroll front Palace , Mall Trafalgar park Ritz . basically hotel good service , quality attention detail . to team thankyou make stay perfect again . C.Sunley 
 Aug 18 2009 	 perfect wedding night ! 	 stay hotel 41 night wedding follow night . expect perfect stay let ! staff extremely hospitable , cosy well decorate room little extras lovely . excite wedding reception party husband eat little . return hotel 2 am starve ! go lobby staff prepare us platter ham , cheese , salad bread ! delightful ! breakfast first class . on second night 3 course meal Library ( part 2 night hotel package book ) PERFECT . elegant romatic experience , staff wonderful . we recommend hotel friend family ... ! 
 Aug 17 2009 	 hotel fantastic 	 hotel really go extra mile . spend weekend husband , brother sister law fault . far well many well know five strt hotel . staff exceptional ( Andrew manager , lady serve breakfast staff library restuarant particular ) lay many extra hotel promise never quite live expectation . hotel exceed expectation every turn . location great - right beside Victoria tube station two minute walk b palace . lovely breakfast dinner Library , great bar pianist , v. comfortable room turn service include water chocolate , nice toiletry , drink arrival . one observation ( criticism ) room fact whole hotel compact . would certainly recommend return ! ! 
 Aug 16 2009 	 live expectation ... 	 stay Hotel 41 one night celebrate anniversary disappoint . staff make we feel welcome minute walk door , although book Sparkle Package ( anticipate welcome bottle Laurent Perrier ice return long day 's shopping ) unexpected extra touch make stay . room lovely , big bed ' ve ever see ( dock station iPod nice touch ) bathroom clean well stock luxury would need . hotel perfectly place anyone arrive Victoria Station , be short walk away . exclusive entrance reception Hotel 41 guest ( separate Rubens Hotel occupy low floor building ) give vip feel . reviewer say , executive lounge greet / check also incorporate bar breakfast room style elegant gentleman 's club . , course , cheap hotel London , want treat look somewhere bit special , would wholeheartedly recommend hotel . 
 Aug 12 2009 	 Outstanding Comfort Service Hospitality 	 husband recently stay Hotel 41 . impossible share every reason stay delight . room beautiful , comfortable bed luxurious linen . & quot ; standard & quot ; service beyond expectation ( ice , lemon slice , olive , cookies candlelight deliver nightly turn - down service ) , staff go way meet individual need . instance , first night stay , telephone front desk ask could give weather forecast next day . , night return long day sight - seeing , perch bed neatly type notecard next day 's forecast .. one example many attempt fulfill anticipate every need . highly recommend 41 ! 
 Aug 11 2009 	 treat like Royalty 	 stay 41 5 glorious night room 4101 . travel 13 year old daughter celebrate birthday . room beautiful face Royal Mews around corner Buckingham Palace . like Queen ' next door neighbor . every morning greet friendly wake - up call ( real live person mechanical prerecord voice ) follow coffee pastry room , would go Executive Lounge enjoy breakfast leave full day sight - see shopping . Andrew team staff could do we stay make truly amazing trip daughter . evening would retire lounge drink one occasion would " Plunder Pantry " delicious treat return theater shopping . it would pleasure return 41 would highly recommend hotel anyone would love live like Queen , even day . staff 41 , guy good hope see next year . 
 Aug 8 2009 	 could afford luxury everytime 	 wow , place , beautiful boutique hotel , fantastic location , impeccable room fantastic service . love whole atmosphere seem nothing want for . the old gentleman club feel , black white decor , armchair breakfast attention detail would mean would always want return , be little costly therefore would ever treat . the negative point front door around 20 foot inside congestion zone therefore end pay £ 8 midweek drop luggage off . if afford be well worth visit , absolute delight . 
 Aug 6 2009 	 disappoint 	 let begin say girlfriend 's birthday , want take somewhere special , Hotel 41 seem though would perfect place stay London . website sell really well , nice little touch complimentary glass champagne arrival , complimentary fruit jellybean room etc . ' extra touch ' exist . fallacy ; offer champagne reception , jellybean etc actually chargeable purchase minibar ( price print side ) . despite confirm staff beforehand would arrive early , still make wait hour room even though assure would not happen . with regard room , generally clean although small . ' state art entertainment system ' however , old small tv without good enough reception watch channel . although find bathroom generally clean , excuse PUBIC HAIRS find bathmat bath . needless say decide use . last point make staff , although friendly , appear understand concept ' do disturb ' light . despite stay one night , disturb whilst indicate not wish , ask want clean sheet . assume sheet clean arrive , have hour , hardly emergency worth annoying guest make clear not want disturbing ! overall disappointing experience . hotel nice time mar receiving promise , hair bath disturb offer clean sheet hour check . stay many hotel London tell clean honest hotel less half pay stay . huge letdown experience promise partner . 
 Aug 2 2009 	 City centre opulence 	 stay two night celebrate wife 's 40th June weekend troop Colour ( plan ! ) discreet entrance road trip lift ' reception one ' take place luxury ' reception two ' imagine resemble scene discreet House Lords Gentlemans Club 50 year ago ! ( wood pannelle , great fireplace , leather sofas large bookcase small bar area night porter serve night cap ! ) overlook mezzanine floor atreum like look fellow guest ! bedroom / lounge bathroom tastefully decorate signature black white . imagine bedroom little spacious ' m loss need flat screen tv bathroom situate twix bath shower result poor view ! staff attentive breakfast faultless . location superb minute front Buckingham Palace short stroll Victoria Train Station . 
 Aug 2 2009 	 complete comfort luxury style 	 boutique hotel transport comfort , luxury style moment walk door . our Eurostar train Paris London break 4 hour late arrive . feel tired , dirty frustrated get Hotel 41 . several staff immediately jump action offer we whatever want drink even begin check hotel . request glass red bordeaux husband specific beer within two minute , hand . complimentary . my husband 's birthday next day request cake deliver room depart airport 9:30am . even though 6 pm make request pastry chef leave day , concierge say would take care , . bring beautiful - delicious - cake coffee we precisely finish breakfast . complete candle Happy Birthday lovely fondant present decoration top . husband surprise pleased . the room stylishly decorate immaculately clean . bed comfortable wonderful . check option aroma therapy pillow checked deliver promptly nice touch . the treat room tasty . even though not enough time enjoy pantry tea service , look fantastic . the possible criticism could offer room rather small , not Europe ? look forward stay Hotel 41 next time ' m London . 
 Aug 1 2009 	 luxurious sanctuary west end London 	 select hotel recent trip London , base excellent previous review trip advisor website . ten day stay , confirm wonderful comment . contact email manager prior arrival determine whether need theatre dinner reservation , transportation Heathrow . hotel easy find conveniently locate 5 minute walk Victoria station . ( also close theatre Wicked Billy Elliot currently play ) arrival warmly greet reception escort upstairs Hotel fifth floor . offer welcome beverage check straightforward . we south face room two day , lovely . previously request room overlook Royal Mews become available third day every evening arrive back hotel cool ice tray lemon lime slice olive , bed turn , candy leave pillow candle light bathroom .. also invitation join staff lounge sweet . the room beautiful . photo hotel website accurate . ceiling high , lovely multi layered moulding , : wainscotting divide contrast texture creamy white wall . drapery , many mirror black white mofif create rich affect . the bed comfortable superb quality linen duvet . embroider 41 logothere white orchid bedside table view Royal Mews lovely every morning room flood light . a hair dryer , iron , ironingboard available bathroom , dental kit excellent quatity toiletry , include shampoo , hair conditioner , shower gel etc . the room quietthe staff client ratio high anything ask accomodate . manager , Andrew secure excellent seat we wicked musical . continental breakfast include room rate excellent- variety cereal , fruit , artisinal bread , good cheese , juice , yougourt , cold cut , etc . at night staff leave fruit , salad , smoke salmon cold cut bead etc lounge guest . I love location hotel . quiet area overlook Royal Mews Buckingham palace within walking distance we major attraction . I would stay return London recommend highly . 
 Jul 29 2009 	 good service hotel 	 wife stay go Wimbledon final July . we really like ' club style ' atmosphere service incredible -it feel like 10 personal assistant call ( breakfast also superb ) . room enormous may much furntiure like minimalist room nice bathroom suberb 
 Jul 28 2009 	 worth cost 	 ok - ' m sure people disagree ... small hotel next Buckingham Palace . stay 1 night July 2009 . frankly place massively overprice - pay £ 499 suite one night expect really great place . give complain find copy feedback send request : Dear xxx never normally bother send feedback - except Trip Advisor , send email due cost room feel . ' m afraid impressed room give ( 4116 think - right next bar ) . 1 ) sit room area tiny compare way advertise website ( pay suite ) . barely room swing cat , settee 2 small armchair . 2 ) arrive offer master suite - previously request unavailable time . decline ask wait 15 min ' maintenance something room ' . problem , however suspect room prepare prior arrival expect pay extra master suite . room clean - dust everywhere , dare say , pubic hair shelf next television . battery remote control stereo run . bathroom also dusty , particular shower enclosure run . room hot - air conditioning turn 16 c add suspicion room prepare , room use guest staying night , emergency . 3 ) within 5 min room shower think hear bang sound downstairs - obviously ignore . sound persist put towel round make way downstair point door open expose guest happen walk corridor time . someone want give several ' welcome letter ' weather forecast , doubt expect tip . frank - whilst hotel obvious old world charm , stay clean travel lodge room , £ 500 / night , make one expensive hotel London , would expect much much well . * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * basically anyone would pay £ 500 / night place many great ( much cheap ) option London money sense ! 
 Jul 27 2009 	 great little hotel 	 stay one night romantic weekend London tick box , great service , great location lovely little touch make special . hotel little small thought would - stay room 4101 great , minor complaint would tv little small far away make slightly difficult watch bed really small complaint . breakfast good , ' the pantry ' offer really excellent cold meat bread 8.30pm . 
 Jul 26 2009 	 wonderful hotel 	 pleasure stay 41 London July , 9 - year - old daughter parent , say deserve good review get traveller . all staff member extremely polite . Andrew , resident manager , take make sure pleasant stay , really nice guy professional . Breakfast delicious , complimentary pantry nice touch . right next Buckingham Palace , location coud well . not book hotel , least try one other Red Carnation chain , will not regret ! 
 Jul 24 2009 	 Best Hotel ' ve ever 	 41 truly good hotel ' ve ever stay . perfect review , award - be well deserved . moment enter hotel , be treat like king . 41 's small size allow wonderful staff give every guest maximum attention . too bad one night stay , ' m look forward return . 
 Jul 20 2009 	 Good Hotel sure live hype 	 stay Hotel 41 5 day June 09 . room fantastically furnish , comfortable unique black white theme although quite small . book executive king . stay another couple rate give much big room . lot road work go around hotel constantly hear stay . staff really helpful friendly concierge desk entrance really need people local knowledge . hotel great position walk local tourist attraction really lack decent nearby cafe , pub , shop restaurant . 
 Jul 18 2009 	 highly recommend despite small room 	 agree review Tripadvisor . yes , room small ( stay Executive King ) layout awkward , clean nicely decorate . amenity great - nice toiletry , wifi , complimentary snack , candle turndown . service also top notch - one exception : check . Granted check early - around 11 am long flight Los Angeles . offer drink right away tell room ready ready & quot ; minute . & quot ; know check - in 3 pm fine since tell room would ready minute , wait lounge instead going come back later . room ready two hour later . offer we snack drink wait give we well time estimate . , everything else great . highly recommend . 
 Jul 18 2009 	 experience last life time ... incredible simply good hotel 	 visit extremely important ocassion hope would perfect . . staff , mean staff bell boy manager welcoming , could enough importantly could tell enjoy . want stay perfect excited we nervous make hope . hotel 41 London surpass expectation rememeber stay rest life , back recommend . truly faultless room , cleanliness service rival hotel . 
 Jul 17 2009 	 terrific staff location inexpensive 	 spend five night Hotel 41 , great base tour London . staff could helpful , work hard fulfill request . suggest spend extra pound executive room ; standard room pretty small . inexpensive hotel , London , everything cost . 
 Jul 17 2009 	 Romantic Hotel 	 ' ve stay top hotel , include Ritz , leapt top favourite list . without doubt romantic hotel ever stay - book romantic turndown service ( well worth money ) amazed . least expensive , small room , find utterly magical . recommend highly enough special occasion . service fabulous , room furnishing utterly luxurious think well worth expense . adore free & quot ; raid pantry & quot ; service . breakfast world . also enormously helpful discover week later leave something behind . 
 Jul 14 2009 	 Luxury Wii 	 oh God .... place fantastic ; advice show great . will stay again . right opposite Mews , stone Buck House . 
