Great 	 staff great . breakfast excellent . room comfortable . internet spotty well sometimes non - existent . enough elevator , help now . the price keep go level service keep go down . the two night & quot ; social & quot ; amusing . will not .... 
 Care 	 's probably hokey , sell point consider book hotel manager check review respond person review . seem like something someone concern guest satisfaction hotel 's reputation would . hokey flawed logic , maybe , factor book . I ' ve stay New York several time measure well hotel ' ve stay business . like Marriott Marquis , slow elevator truly issue hotel much cheap . internet access free fitness room not world - class , deck plenty free , too . the room well - sized bathroom small . kitchen area well - equip modern appliance ( microwave , refrigerator , dishwasher ) . travel business arrive late , lack room service probably would issue . eat breakfast ( free ) full - feature warm buffet . overall , hotel heart thing , New York anyway , moderately price ( 2 night tax $ 480 , AAA discount ) . pay much , little thing impact satisfaction pretty sure would not surprise manager , , track site . pleased stay . 
 Oct 25 2009 	 provide need great NY Visit 	 stay last week Sept 7 night could please . provide hotel essential terrific visit : free wireless , in - room kitchen , sleeper sofa seating , extremely comfortable bed , well maintain clean room , terrific view , complimentary full breakfast , Monday & amp ; Wednesday complimentary & quot ; snacks & quot ; actually qualify light meal , perfect location subway deli nearby . however , good aspect stay staff . week treat courteously assistance request . wish name mention hate leave anyone say Damian always welcome we smile seem go way assist request . greeting enter leave lobby really make we feel home . Paola also regularly provide friendly advice help . every single staff member encounter enhance stay ; housekeeping , maintenance , meal staff , front desk , security provide luggage storage package mailing , everyone ! care paper plate occasion , take convenience take - out option . hotel certainly rate one favorite intend return . early check - in check - out readily accommodate room change couple night . room great , change experience Bryant Park view Empire State Building view ... beat ? ' m go also surmise management must exemplary often staff attitude trickle top . quality mention list priority , Marriott Times Square highly recommend . fact actually right Times Square close Bryant Park another plus ! 
 Oct 20 2009 	 Good Base NYC Tourist 	 group 3 couple , child . hotel locate Southeast Times Square , 5 minute walk . market step away drug store 1 block away . restaurant place . room spacious lot countertop space since come fullsize refrigerator , sink , microwave , utensil , plate & amp ; cup / mug , pan , plus room pc lot outlet . would ask hotplate cook . bed quite comfortable . although halfway build 18th floor , room quiet ; make sure one adjustable window close . not hear noise neighbor either side . smallish bathroom sink inside , enough space one person time . Shower tub could turn rainshower type head handheld shower head . be always clean large bath towel . remarkably , 6 day , every time turn tub / shower sink water immediately hot / warm . same breakfast buffet choice morning , good plentiful , definitely money time saver . NY Times , USA Today , Wall Street Journal available read take breakfast area . complaint horrible coffee , much strong . plenty seat adjacent room lounge area . night , bar open 3rd floor area , nice cozy entertainment pool table back room . staff everywhere without exception friendly & quot ; hello & quot ; & quot ; may help you . & quot ; room somewhat expensive , think part town . hotel location convenient Empire State Building , Macy 's , Times Square include Broadway theater , Bryant Park , NY Public Library .. slightly long walk Rockefeller Center , 10 - 15 minute . 
 Oct 20 2009 	 's Ok Manhattan 	 hotel ok , excellent . room not small microwave , fridge coffee maker . internet wireless free little slow . breakfast really good , many problem morning elevator want go third floor . sometimes wait lot time get there . besides , like drink instant coffee ( dissolve milk ) breakfast could not get hot milk buffet ( ask employee say ' heat milk we ) go back room heat milk microwave wait elevator . think must solve elevator problem annoying . wait day leave , go full people . I think expensive hotel , remember Times Square . suppose pay . 
 Oct 19 2009 	 still great place stay ! 	 husband stay two year ago like much decide stay second trip NYC . time travel 11 month old son in - law get 2 room . -- location : hotel walking distance Times Square , Rockefeller Center , Empire State Building , Macy ' . subway entrance also close . -- room : room nice clean . bed super comfortable kitchen area nice . -- amenity : breakfast buffet style really good . cold cereal ( one Froot Loops ) individual milk carton . also eggs , sausage , potato , pastry , fruit , yogurt , english muffin , bagel , tortillas . drink juice ( Orange Juice , ' remember kind ) , fountain drink ( Pepsi , Diet Pepsi , etc . ) , milk , coffee . two room table chair eat breakfast , also eat outside two room . also highchair baby . people mention something paper plate want say ' typical paper plate plastic utensil , biodegradable plate , cup , utensil . think ' great option ! -- Customer Service : staff hotel wonderful . arrive hotel around 9 since room ' ready offer hold luggage also tell we could go upstairs breakfast ! nice . person check we also really nice give we room high floor . also time elevator pack staff member get people could fit . think every staff member encounter friendly always ask . would definitely stay ! 
 Oct 19 2009 	 great hotel great location GREAT food ! 	 return 3 night stay Residence Inn Times Square . could happy hotel . location great , within couple block subway , shop many sight . staff excellent attend request . room direct view Empire State Building plus . offer breakfast morning well & quot ; heavy Horsdourves & quot ; one night actually make meal . fresh baked turkey breast , cranberry sauce , salad roll . ny huge saving . little kitchenette room , able everything need comfortable stay . rate excellent NY extra get lot money . also wi - fi throughout hotel computer printer gree business center . Dotti 
 Oct 18 2009 	 great stay .. great time away .. book hotel ! ! ! 	 two word ... great hotel ! ! husband stay hotel Oct 10 - oct 13 . land early Saturday morning head hotel , ask room reservation make use point , inform could check wait high floor .. opt high floor impressed option check 8 am ! ! check luggage go explore city . spend afternoon explore city , go back check reservation , inform two choice opt high floor view Empire State Building .. impressed room ! ! quiet clean . Liked full fridge microwave bathroom clean lot towel . bed comfortable room soundproof . along check early , also get later check .. hotel accomodate ! ! ! sure people care paper plate .. busy would rather paper plate wait clean plate clean properly . nice touch egg sausage option . third floor lounge quiet retreat use day check lunch prior head airport . hotel great location .. lot walk three day subway stop close hotel . bryant Deli block away recommend sandwich ! ! can not wait return NY hope get stay Residence Inn ! ! ! hightly recommend ! ! ! ! ! 
 Oct 18 2009 	 nice pet friendly hotel 	 although hotel absolutely huge busy , room well decorate , large , clean amazing view Times Square . travel dog , everyone hotel love . nightmare get cab dog hotel airport , cab want take dog , negative memory hotel . 
 Oct 15 2009 	 wonderful surprise enter room ... 	 husband & amp ; plan week NYC fun . research everything , rather apprehensive Residence Inn not show AAA NY Tour Bk . travel guide . after check trip advisor find great review , go hotel amenity want . great location away mad crowd Times Sq . ( course great place visit ) . opt upgrade large room , king bed city view . walk room thrill ! ! perfect ! high floor view 6th Ave . great , even see Empire State Bldg . bathe red , green & amp ; white Columbus Day holiday . staff great throughout week ~ put good management , show ! ok bathroom little small , closet small also , minor make difference room . bed fantastic ! actually undo sheet see brand ; want bed home . breakfast great , especially seem large appetite . delay get hungry guest & amp ; elevator , , everyone good humor , problem . room quiet , hear nothing . never see housekeepingstaff , know around , room always clean perfectly . even receive Thank note housekeep daily tip leave ~ never . concierge give we great idea try get ticket see & quot ; Wicked & quot ; , go directly box office pick cancel ticket make available 24 hrs . next show . get ticket 7th row center ~ good show ' ve ever see ! ! ! hotel re - name ~ Bryant Park / Manhattan instead Times Sq . Bryant Market / Deli fabulous ; be almost next door . Metro close also . could go , happy week NYC stay Residence Inn big part . would suggest hotel prefer self - contain independent holiday , without trapping Hotels seem rather invasive . prefer turn bed , Hotel actually seem bargain price - wise compare other around . can not wait return ! love NY ! 
 Oct 14 2009 	 surprisingly Excellent 	 though expensive central location NYC price , hotel excel basic . room large NYC standard , well decorate include attractive granite kitchen . soundproof outstanding street noise mute almost hotel ' ve use city . include breakfast major plus . much say negative side . 
 Oct 11 2009 	 beautiful clean hotel great location 	 enjoy stay four day Residence inn much . location centrally locate many tourist attraction yet without noise Times Square . wait late afternoon / evening check - in order get upper floor , worth . child love view Empire State Building time day night sun rain . free buffet breakfast definite plus . selection range hot breakfast item usual continental fare . cost hotel reasonable . room large kitchenette clean . hotel room quiet except one night neighbor terrible screaming match 2:30am . much louder hallway wall . Management take long time pick phone ( call 3 time least 5 - 10 minute ) , , respond quickly . far parking , find cheap park local parking garage use coupon internet . 
 oct 8 2009 	 Friendly Staff Convenient Location 	 Location hotel excellent rate competitive . around corner Times Square attraction within walk distance Radio City Music Hall . also able walk Penn Station hotel ( several block ) . front desk staff efficient friendly check - in , concierge quite helpful securing dinner reservation Little Italy . room nicely appoint clean kitchenette area . trouble find cab front hotel -- real space cab idle -- however , stay busy holiday season . 
 Sep 28 2009 	 pull sofa couch excellent weekend 	 take daughter friend Sweet 16 birthday ! Times Square block away . excellent breakfast - go early . go ninja ! great restaurant . top floor Marriot 45th great drink / desert , even though 's touristy , go 9 avoid cover charge . 
 Sep 26 2009 	 Perfect location fair price 	 Marriott Residence Inn one block away Bryant Park , 6th Avenue . location perfect visit great location central Manhattan hop hotel rest , freshen leave shopping bag . two subway station within one block´s walk , staff professional room spotless . problem A / c another reviewer mention , breakfast superb . yes , paper plate plastic knife fork day , regular one run . price fair location , specially consider complimentary breakfast room full sized fridge , microwave pan one feel inclined cook something simple . breakfast huge varied : egg , sausage , pastry , cereal , fruit , coffee , juice , anything could wish . great time would definitely stay Residence Inn . 
 Sep 25 2009 	 good hotel New York City ... 	 see talk stay here . the customer service well . partner staying year . stay elsewhere book . happen often . they fantastic breakfast . child several people party full breakfast . everything . also dinner light snack , fill get light dinner somewhere else . we ' ve request late check always grant . past also leave late day never charge day like hotel . leave thing behind ship we . there deli step away good club sandwhiche city . chinese place amazing food well . I love place ' ve stay here . cheer . 
 Sep 22 2009 	 absolutely wonderful 	 absolutely love hotel . visit New York 6 year ago stay Marriott Renaissance ( nice hotel ) economy want something affordable travel child . hotel nice include wireless High Speed internet good breakfast ( sausage , egg , potato , cereal , pancake ) . two room ( King bed ) view Empire State Building ( Fri - Sat ) weekend rate reasonable ( Sunday night little pricey ) . arrive early Thurs around 11 am travel NC ( spend one night NJ ) give we claim ticket store luggage park van early . entire hotel staff pleasant . will not mention name two black male checkin staff Sept 18 19 take time explain thing ( good conciege ) . also allow we check luggage checkout 11 leave van parking deck 3:30 pm Monday , could take subway Statue Liberty tour . would definitely recommend hotel . hotel great location 5 - 10 minute walk Time Square . September great time travel NY . weather avg 70 's day night not cold . kid little unhappy hotel Nickelodeon ( cartoon network disney ) probably good thing could visit city wait tv program end . ( post detail trip Title NYC thing stay ) . 
 Sep 18 2009 	 good price breakfast room ! ! 	 second trip New York decide stay hotel due reasonable rate , complimentary breakfast ( fantastic choice ) , gym , location in - room kitchenette . facility want plus good service , friendly staff view Empire State Building impressively sized room . bed also super comfortable rename marshmallow bed duration visit . attend two social evening hold hotel Mondays , Tuesdays Wednesday recieve complimentary food soft drink . also use laundry facility pack light order fill bag shopping return trip ! would definately stay . 
 Sep 17 2009 	 friendly great location great restaurant nearby 	 stay move daughter NYU . use Marriott point stay . location good feel safe . room equip fridge , microwave tea coffee . staff friendly helpful . breakfast average . 
 Sep 12 2009 	 Great Hotel near Time Square 	 regular Marriott traveler . hotel couple block away hustle bustle . nice room . clean . good breakfast . like almost always apple take snack go . like go coffee soda cup lid straw . dining facility clean . great friendly service . room always clean neat . would def stay highly recommend friend . 
 Sep 5 2009 	 Nice hotel 	 let us see .... try short : room : clean , good size ( large studio , city view , king bed- 20 usd more/ night ) , small bathroom , need something big ? complain storage place- place clothe , baggage 's ; transform sofa bed wardrobe . nice kitchen , good equip , comfortable king bed- enough space 2 adult 1 child ( daughter 9 year old ) location : perfectstaff : pleasant , helpful , ask visit , lot information concierge ! ! ! ! book yor visit trip easy ! breakfast : forget ! maybe Americans ok eat early morning hamburger , potato 's , gris , egg can fruit .... european visitor , breakfast horror ! well go buy food coffee prepare meal ! kitchen everything need ! feel well , not see people stay line nothing make provision use be room ! finally paper plate plastic fork ? exception , recommend hotel ! 
 Sep 3 2009 	 great hotel ! 	 really enjoy stay Marriott Residence Inn . location perfect - right time square , quieter area short walk times square , fifth avenue , Bryant Park , Central Park . subway one block away . free internet , fitness centre , breakfast make hotel excellent value ! kitchen great - not cook nice keep drink leftover cold fridge . hotel recently renovate update furnishing . also clean well - maintain . room fairly large . service hotel always fantastic . drawback air conditioner unit noisy ... trouble sleep first night quickly get use noise . 
 Aug 31 2009 	 Loved hotel ! 	 husband stay hotel 5 night . first trip NYC rely Trip Advisor review choose stay . could not happy Residence Inn . able walk Times Square , Rockafeller Center , shopping district , theater district , Empire State Building , Bryant Park , much . Greyline Bus tour stop also close highly recomend tour . hotel clean , spacious , include daily hot breakfast , nice bar lounge . bed sooo comfortable . good choice . 
 Aug 30 2009 	 excellent stay - highly recommend 	 stay 6 night really enjoy location room . kitchenette everything need cook . breakfast buffet awesome item would expect . also social appetizer style Monday We d soup , salad , cookie etc .. 10 mn walk times square couple minute metro . else expect ? 
 Aug 26 2009 	 great hotel great staff great location . 	 fiance get back 4 night New York City great time . really glad choose Residence Inn Marriott Times Square Hilton Garden Inn Times Square stay last year . locate couple block Times Square block Herald Square Manhattan Mall shopping . we arrive early give nice room high floor view Empire State Building . room spacious even kitchenette ( microwave , large fridge , dishwasher , crock pot , dish cutlery ) . staff helpful friendly say Andre amazing . pleasant deal provide excellent customer service . breakfast available 3rd floor daily many choice available . ie : Eggs , sausage , french toast , muffin , danish , bagel , fruit cereal . also 3rd floor 3 computer use internet check e - mail even print boarding pass . someone work travel industry , gladly recommend hotel client look forward stay next visit New York City . 
 Aug 26 2009 	 Fantastic Hotel 	 location fantastic , easy access subway various attraction . staff wonderful helpful knowledgable . room spacious clean . 
 Aug 26 2009 	 uncomfortable room configuration lead early checkout 	 reservation 8 night check two night . would check first night , give incorrect information front desk checkout deadline . I reserve king room sofa bed . arrive 30 minute early , queen room available . take room find queen bed rather small ( really full size ? ) . total 3 people room , first two night , two . although room decent size total , sleep area , sofa bed extend , cramp . bed open , end fit right main bed , block access side bed . addition , bathroom door couple foot away side bed . bathroom rather small , not room easily open close door bathroom . the first morning breakfast , dining room extremely crowd noisy large table woman & quot ; forgot & quot ; one room . coffee worst ever , , ask two different staff member , receive shrug & quot ; 's way coffee & quot ; one they . I inquire different room tell room configuration one large one , not like one , probably would not like other . offer show room later day . ask early check penalty tell late day check without penalty ( 10 a.m. ) . end stay evening check next morning . time tell long check 11 a.m. ( 10 a.m. ) , would penalty . also tell different room might work well , tell previous day . time already reservation Hampton happily spend remainder vacation - comfort good coffee ! 
 Aug 25 2009 	 Good Stay 	 make last minute reservation good stay . Breakfast include everyday dinner night ( Mon - We d ) . staff helpful / friendly room clean . think find new home away home vacation New York City . thank Marriott ! ! 
 Aug 19 2009 	 hotel come quality . 	 stay hotel five day trip November 2006 , impressed look forward another five day stay end June , 2009 . quite disappointed . significant deterioration quality . can not beat location room large ... 's . change room two day noisy AC . AC ok second room , change room not improve lack water pressure bathroom ... barely trickle ... forget use tub . first morning take 20 minute fill . be pretty significant hotel pricey . ice maker refrigerator first night ... ice . turn second day understand .... quite noisy turn make ice night . previous visit , New York Times door morning . last visit , get breakfast buffet early want get one run . previous visit , free breakfast buffet quite nice . visit , food mediocre , coffee weak paper plate plastic utensil ... run ... quite tacky hotel pricey . entire hotel ... accomodation service personnel ... air establishment edge making . two visit stay midtown hotel , decide & quot ; splurge & quot ; trip ... bad choice . cheap hotel worth price ... one . water pressure ... 
 Aug 17 2009 	 absolute favorite New York hotel 	 ' ve stay hotel twice . time , exceed expectation . love location , room extra large , front desk staff super . pleasantly surprised tell could print boarding pass return trip home charge right front desk . return December , sadly will not able stay hotel time . price first weekend December WAY budget , be & quot ; settle & quot ; much less desirable hotel . continue look special deal Residence Inn hope stay future . 
 Aug 12 2009 	 Excellent Place stay NYC 	 stay 4 night July 4th weekend . excellent value money NYC . corner room 21st floor great view 6th Ave . hotel 4 block south Times Square . within two block several subway station two block east Port Authority Bus Terminal . they one good selection breakfast experience Residence Inn although notice R.I. cut back complementary food service . the corner room spacious open two window . a / c compressor bit noisy run least set room temperature low want . first R.I. stay not electric cooktop , microwave large toaster crockpot / slow cooker cabinet . my complaint minor : 1 ) like hotel difficult keep maid take extra bath towel request leave hang bathroom , hide closet ; 2 ) storage tight , closet small 3 draw tv stand shallow 
 Aug 11 2009 	 Great Relaxing Oasis middle NYC ! ! 	 hotel excede expectation anything could ever imagine heart NYC . start moment arrive check time front desk clerk ( Andre ) helpful making sure get room without wait long . actually wait time 2 hour book great held luggage we . ( Thanks Michael ) front desk / lobby area small side nothing elaborate plain simple let fool ! four people room Queen bed pull sofa fine bed comfortable . hotel heart mid - town Manhattan quiet relax long day sightseeing . also central location far Grand Central Station subway major attraction like Empire State Bldg , Bryant Park , Broadway , Times Sq . , 5th ave Shops walk distance . housekeeping prompt extra towel blanket request bring New york minute ! ! hot complimentary breakfast nice surprise also stay hotel offer get cereal bagel / muffin fruit . one everything satisfy everyone different taste . table clean fast accomodate crowd . Kudos worker friendly always smile face ! ! sorry not remember name . special thank - you front desk clerk Howell without patience , kindness help would never get Brooklyn good pizza world . asset hotel . anything negative say would wait elevator breakfast time nothing extreme . would definitely stay hotel recommend anyone plan trip NYC . thank - you staff make stay enjoyable one ! 
 Aug 11 2009 	 Give Residence Inn Times Square Thumbs ! 	 travel New York July 29 - August 2 , 2009 sister friend celebrate 40th birthday . arrive Residence Inn prior check desk staff graciously store bag could immediately hit street . return evening , check fantastic corner room 31st floor amazing view city noise . pleasantly surprised find birthday card chocolate cover strawberry refrigerator staff . room king size bed fold couch plenty room three grown woman large suitcase . bed super comfy really pleased size room . great small kitchen drink leftover nice table / desk . free wireless internet wonderful plus , would use laptop every night next itinerary satisfy email / facebook addiction . provide hair dryer step usual stick - to - the - wall variety . real hair dryer attach wall great three female try shower get ready time . also quality hair dryer nice , totally devote $ 300.00 hair dryer use home ' even miss use provide hair dryer . the location wonderful close many thing would lengthy list . Bryant Park one block away subway stop . find great lunch spot right Bryant Park call Zeytinz seat upstairs takeout carry park . chicken meatball yummy . also nice close Times Square theater district also far enough away stay noise light . quick subway ride cab ride wherever want go . the staff hotel extremely nice helpful . concierge desk point we right direction every time lot useful information . late Friday night toilet stop front desk maintenance room 20 minute fix problem . also one afternoon return room find housekeeper write we note thank we gratuity . breakfast buffet great many choice almost overwhelming . fact complaint hotel ' like coffee could use . never encounter problem get elevator hit breakfast buffet peak hour . nice start day hearty breakfast . the price pay room competitive would highly recommend hotel . Kudos manager job well do . 
 Aug 10 2009 	 ' m spread ( great ) News Residence Inn Times Square ! ! 	 hotel clean , modern , spacious room location staff excellent ! be within walking distance Times Square , Theaters , Restaurants etc … 's easy get cab take subway hotel . complimentary breakfast morning nice save we money thing . book two room , 3 adult one 1 adult teenager . one review correct bathroom door . 's awkward big deal . NYC hotel , lobby mislead appear exceptionally nice room horrible ! case Residence Inn . room clean large NY hotel ' ve choose . mattress sofa bed could replace ' uncomfortable . king bed comfortable . 3rd floor large social area computer bar . drink bite pricey everything New York . travel , always check Trip Advisor review hotel good . somehow fortunate get great price stay . must time . book approx . 1 1/2 month advance . can not say anything negative stay would definitely book Residence Inn , Time Square visit . need lot luxury , pay New York . note , see one Broadway ( Hair ) one Broadway show must say Broadway ( Altar Boys ) W 50th . hilarious ! Hope review help choose exceptional hotel excellent location . fun Big Apple ! jsbkentucky 
 Aug 9 2009 	 wonderful location 	 stay three night husband 14 year old daughter . opt one queen bed suite sleeper sofa . sofa make bed , space bit tight since not spend whole lot time room , not matter . love microwave fridge use . dishwasher nice end use lot include dish . use coffee mug odd spoon feel little silly run dishwasher that . the staff pleasant location great . come town train walk hotel 15 minute ( Penn Station ) . minute away Times Square many attraction wish see . need taxi , always one wait right outside door . the part stay disappointed buffet breakfast . include price offer usual fare . like fact offer pancake one day , waffle another french toast yet another . disappointment come fruit . plenty can dose heavy syrup . even banana have . but even can fruit will not keep stay score decent price hotel room . 
