small 	 hubby take advantage mile night away kid . location amazing right middle 5th ave shopping , ton restaurant , walk distance many area u enjoy walk , hello nyc.the room r small doubt r modern , clean , quiet . U hear people hallway . I see room fancy NYC hotel r rundown noisy bliss . staff r nice . parking indoor lot ( right side ) 46th 5th 6th ave u get discount stay hotel . 
 Aug 13 2009 	 Small smelly room 	 room seem clean small ; bathroomsnot alot place move around roomour real problem room smell bad ; like urine . try switch room head problem . reception could really help late baby we decide stay 1 night . morning reception confirm bad filter need change AC ; nothing compensate unconfortable stay . other location great need parking plan walk 1.5 block close , expensive extremely rude staff 
 Aug 5 2009 	 Good Value - Great Location 	 stay one night daughter friend . room small expect , completely adequate three we . impressed cleanliness room comfort bed . 4th floor right next elevator , never hear noise elevator street . breakfast crowded morning , could use tray bring room . grab juice danish way . the good part hotel location . 5th Ave . shopping , block Rockefeller Center , Grand Central Times Square . we would definitely stay . 
 Jul 28 2009 	 small room crowd breakfast bar morning . 	 room small money even though breakfast include stay , breakfast area get crowded morning . main lobby also keep bump traveller check . overall impressed . 
 Jul 20 2009 	 fine value great location 	 hotel 5th Avenue 45th st . deli / store across street one two door . clean bedroom king size bed . room small , spend three night unpacked case put corner . good thing small room . hang wardrobe three large drawer well two nightstand , desk storage nightstand top wardrobe . need organize bit make comfortable fine . safe . noise street outside room , air conditioner noisy . bed comfortable linen extremely good . supply breakfast downstair bit cramp busy adequate . day make useful place sit check . wi - fi free fairly fast . location really great - walk Times Square place . definitely stay . book Holiday Inn website problem except full choice bit limited . 
 Jul 14 2009 	 careful booking Hotwire ! ! 	 book Hotwire . indicate 3 adult . book we one bed room . hotel never notice reservation say 3 adult . even phone holiday inn express clarify 1 week prior departure . hotel full 4 day bring we sleep bag instead roll bed . camping ? hotel yes ! least one we . pay 700 dollar stay 4 day like . open case Holiday Inn customer service . nothing . refund . hotwire . still wait another refund another mistake . news yet . Boston . Hotwire Holiday inn situation . book single bed room . fortunately room available time . , Holiday Inn front desk person tell get discount rate can not pre select room . be despite 3 phone call arrival , room still single one hotwire 3 time ! would use 2 adult . period . still ... wait reund ... not think Holiday Inn compense way . picture . 
 Jun 24 2009 	 Awful HOTEL ! ! 	 pre - booked hotel 4 people non - smoking room . get King Size bed smoking room . could get money back would put we different room . parking state $ 35 per day first day parking around corner hotel . 
 Jun 24 2009 	 great overnight stay 	 spend first part holiday another hotel provide big room 4 people . return New York last night stay hotel . hotel great spot , clean pleasant staff . negative size breakfast room really far small accomodate amount traffic room size . could open 2 suitcase time could walk past without one person back bathroom allow past . also could not open door case open . this impossible see internet booking . luck long stay big room . 's shame one can not get dimension room book . not know room 4 people size long overnight stay would really uncomfortable . want finish negative note also book Hotel Reception car airport good value , arrive Hotel time even little early driver pleasant chap . 
 Jun 22 2009 	 Location location location good value hotel offer bit extra . 	 first visit New York unfamiliar area need somewhere stay value money , functional within reasonable walk distance tourist destination . thankfully , first class choice base original criterion . yes , blip ( minor ) , expect expect five star service two star cost . however , issue always promptly sort efficient staff , , majority courteous polite . would never expect , want , gush service America , especially New York one two exception ( reception staff - whole team - one two individual ) , staff fine helpful . look base New York break bank , clean , comfortable safe , would doubt could beat hotel . 
 Jun 20 2009 	 perfectly fine - excellent location 	 bring group college student NY stay . service great - everyone friendly . room tight , nicely update clean . breakfast include - decent breakfast - egg , bacon , etc . stale bagel like place . recommend . 
 Jun 18 2009 	 disappoint 	 customer service poor here . no smile warm greeting . almost unhappy see there . no wake call recieve ask one . extra pillow ask . have ask next day . ask sheet change cause friend spilt thing sheet . take old sheet bed housekeeping make bed dirty sheet . they bring clean sheet complain housekeeping say would help make bed . the manager say next day housekeeping say not sheet . so call family liar ? make we feel unwelcome . choose else . wish . 
 Jun 16 2009 	 poor guest service 	 find good deal ( $ 115 / not two night ) hotel website . family four , clearly mark 4 people would check . alas , hotel staff check we one king , say hotel oversell available give we two double would provide rollaway bed . unfortunately , room barely enough one king bed ; way put even single rollaway bed . , hotel oversell , not choice stay hotel . front desk manager helpful either - he insist could would refund ( prepaid ) , even admit way accommodate us room . clear breach contract hotel ; sell room four people , prepared room four , matter . know hotel Manhattan small room other , least appropriate maximum occupancy rule . my first negative experience Holiday inn express . 
 may 29 2009 	 great hotel great location great price 	 stay Holiday Inn Express June 2008 family . hotel great location main attration walkable distance hotel . we arrive hotel early check time immediately give 2 room . room good size city hotel clean well present . hotel also offer breakfast include price good deal , breakfast good need long day sightseeing . would also comment service hotel good , nothing much trouble service always smilei would definately reccomend hotel think fantastic value money great location 
 May 21 2009 	 Location great 	 Subways nearbywalke distance fifth ave n central park 
 May 12 2009 	 Awesome stay awesome place ... NEW YORK ! ! 	 hotel really tiny may possibly litlle hard find . 25 story tall amazing view city . room small service get simply splendid . staff great . fairly new everything really nice . great gym , business center free access room u ur lappy . think place stay plan stay close time square that s one place thousand tourist prefer .... trust one go .. cheer 
 May 9 2009 	 good Hotel 	 Location 5th & amp ; 6th ave 45th street . wife stay 10 night . Overalle nice hotel - breakfast include every morning room clean every day . room small much need . free Internet connection ( WiFi LAN ) . room window courtyard side almost quiet . room air - conditioner . tv set 1912 program 
 May 1 2009 	 fantastic hotel 	 ( 2 adult ) stay 5 night one thing complain . staff extremely friendly , helpful knowledgeable . breakfast every morning wonderful bonus - crowd sit ( get early take room ) . elly work breakfast area friendly . 22nd floor ( top ) room front quiet - noise . anytime ask direction suggestion wonderful staff front desk , get great answer great direction . the location central everything - Times Square Central Park within walking distance , Grand Central . and yes room small - extremely clean much time actually spend room . I would absolutely stay would recommend anyone go New York City . 
 Apr 27 2009 	 New York City hotel 	 stay Holiday Inn Express 45th ( 5th 6th ave ) . location excellent hotel quiet ! room tiny ( New York ! ) complimentary breakfast Holiday Inn express leave lot desire . safe thing like cereal yogurt , fine . kid , save we lot money . hotel staff , especially desk staff , friendly helpful . room clean . functional hotel decent price . good romantic experience probably . NYC spend little time room much . would stay . parking near hotel $ 35 day bit less hotel . 
 Apr 17 2009 	 Fine Mid - Town Hotel 	 Holiday Inn Express locate 45th Street Fifth Avenue mid - town Manhattan . unassume fine hotel serve well base New - York City . centrally locate walk Times Square , Rockefeller plaza notable place . find Rockefeller plaza subway station 47th street convenient , although easily also walk south three block 5th Ave ( 42nd St. ) subway station . the room quite small meticulously clean required amenity . bed , occupy majority room , exceedingly comfortable good night ' sleep . room 18th floor double - glaze window quiet sleep well . front bed large television numerous cable channel . close window small desk chair tea kettle . local call free . shower strong hot water always available . lobby small , cram dining chair table , also serve breakfast dining area . morning 10:00am lobby crowd people check - out rather long queue breakfast buffet . take couple food item ( fruit , yogurt ) breakfast room . free breakfast buffet upgrade consist fruit juice , breakfast cereal , bacon , egg , toast , muffin , cream cheese , milk , coffee , tee , etc ' .. low level hotel two free internet - enable computer joint laser printer . handy check email , read restaurant review , print airline boarding pass . service hotel excellent . hotel staff always friendly helpful . chamber maids excellent job keep hotel tidy reception always efficient . I stay hotel early April , 2009 . official rate $ 270 ( without taxis ) per night able book week long stay hotel $ 100 ( without taxis ) per night , via non - refundable internet offer place month prior arrival . in summary , good stay hotel recommend . 
 Apr 17 2009 	 tick right box ! 	 search feel like hundred hotel New York settle Holiday Inn Express New York City Fifth Avenue mainly unbeliveable price available 7 night stay website time booking ( 4 night $ 130 3 night $ 30 plus tax ! ) .. well could not happy choice ! location hotel superb .. walk distance Times Square , Rockerfeller Centre , Empire State Buliding , Central Park , Macy 's Grand Central Station take subway southern end Manhatten ferry Statue Liberty , Ellis Island Staten Island . the room perfectly adequate size ( people say small need remember New York City - hotel room small - not much floor space $ dollar ! ) . king bed really comfortable , room exceptionally clean compare hotel stay - bathroom sparkle . all staff Holiday Inn Express New York City Fifth Avenue friendly , go thi way case make stay enjoyable . a great add bonus hotel ( rare New York City ) free breakfast , breakfast .. cereal , oats , muffin , bagel , crossaint , french regular toast , egg , yogurt , fresh fruit important bacon , sausage patty , scramble egg english muffin ! buffet style lobby serve 6 - 10am , could either eat table surround buffet take food back room . also unlimited , free tea , coffee fresh fruit leave day night lobby area . in conclusion would not hesitate recommend hotel anybody tick right box .. 
 Apr 10 2009 	 nice stay 	 almost everyone mention , room small , breakfast area also . clean accommodation , ok breakfast great location , look . location can not beat , husband walk major attraction . Rockfeller close , St Patricks Curch , Time Square , Empire State on . Front desk people excelent ( congrat Natasha ! nice ! ) .And quiet , even beee close 5th Avenue noise ! 
 Mar 25 2009 	 good bargain New York ! 	 extensive research various travel sight tripadvisor , decide hotel . chose primarily location value money . many other mention , yes , room small , breakfast area also . really , be look clean accommodation , great breakfast location , look . location can not beat , practically walk major attraction . save money shopping eating , expensive city ! would highly recommend hotel anyone . 
 Mar 22 2009 	 functional .... 	 ideally , would like give hotel 31/2 five although practical not really grab . other say , location ideal leisure visitor NY . right centre Midtown , within walk distance many major attraction include Fifth Avenue , Central Park , Rockefeller Centre , Times Square , Empire State Building , Grand Central Station , Lincoln Centre , MOMA , Macy 's Bloomingdales ...... check - in pleasant efficient . room bathroom small clean functional . free standard HI Express breakfast bonus expensive city . practical deficiency not room safe . ( sensitive recent stay HI Paris use room safe important document neglect put mp3 player safe steal bag . ) difficult assess value money not much experience ny . another thing make difficult room rate seem vary lot time : make book long time advance trip , find room rate $ 280 dollars+taxes ( online HI website ) travel look room rate drop $ 180 dollar presumably recession . not matter end decide pay Holiday Inn Priority Club point return NY give aspect thing consideration . enthusiastic hotel ? well , sometimes one holiday one like bit charm / style hotel one staying - completely miss hotel . find lobby / breakfast area cram rather scruffy . decide whether return hotel take point consideration well room price nearby hotel recommend friend ( Library Hilton Times Square ) . 
 Mar 11 2009 	 Great Location value Money ! 	 stay Holiday Inn Express 3 night March daughter . the location find excellent - 2 block Times Square ( 5mins walk - ! ) .The room , although small clean good standard nice bathroom powerful shower . nice tv good range channel free wi - fi room come handy ! ! find staff helpful courteous problem . the free breakfast add bonus New York motel although huge range still well sufficient set we day 's shopping ! would definately recommend hotel shopping trip great value money mod con ! 
 Mar 10 2009 	 relax place unwind noise New York 	 stay . great location . room small , quiet . enjoy breakfast be . it enjoyable change noisy hotel usually stay Times Square . wait elevator , etc . free wireless room . daughter live NYC -one upper eastside , one upper westside could get either 5 minute taxi ride . really suprise happy hotel . 
 Mar 8 2009 	 clean convenient $ 115 incl . taxis ; complaint 	 walking distance Times Square , Rockefeller Center , Fifth Avenue shopping , Hell 's Kitchen , Port Authority , etc . small perfectly adequate room 20th floor . typical Holiday Inn Express breakfast ridiculously undersized lobby . look , Plaza , $ 100 night plus tax 's relative bargain . ( note : get rate , book pre - PAY hotel booking service -- think Expedia . pre - pay rate available hotel 's web site . ) 
 Feb 26 2009 	 good location - small room 	 nice hotel good location close 5th Avenue . hotel friendly staff clean room . breakfast ok ( breakfast area small ) free coffée day . keep mind room small . 2 adult 1 child room little bit small we . 2 adult 1 adult 1 child room would fine . reservation early fix rather high fare , assume get room low fare today . alltogether nice Hotel not need space . 
 Feb 22 2009 	 Great Location 	 Staff really friendly arrive , take bag early . Coffee day breakfast bonus . short walk Times Square lot sight quick walk . room small big enough two adult , safe area great pizza place door . 
 Feb 6 2009 	 great place 	 travel NYC first time three friend love every minute . hotel extremely well keep . add bonus inclusion breakfast , set lunch ( take cellar Macys , wonderful salad ) . although room front hotel , pretty quiet . thank Skylar , polite helpful young man reception desk . would definately recommend hotel anyone wish travel New York . centrally locate , comfortable . not matter size room , spend little time use sleep freshen , people stop moaning go large hotel . 
 Jan 28 2009 	 great central location ! 	 recently stay Holiday Inn Express New York City Fifth Avenue hotel . pleasantly surprise great location fair price two night . able book hotel online . room small side , comfortable short trip . easy access Times Square theater district . need stay overnight would certainly consider hotel . room generally clean furnsihing update . 
 Jan 21 2009 	 Great Location 	 Stayed Mid December , wife two teenage chilldren , use Reward Points . the Hotel name sugget 5th Ave , perfect Rockerfeller Centre , Times Square , Byrant Park , Central Park , Grand central station easy walking distance . room small , perfectly clean , four us manage stay one room 3 night problem , hey New York ask . I little worried table breakfast , read report issue , lot space enjoy tasty well stock breakfast free , save eat out . the Hotel staff helpful friendly , give advice , cheerful . include reception staff , cleaner asian lady stock breakfast cart . free coffee , hot water Tea Bags always available reception , one occassion coffee run soon refill staff could not apologise . UK Holiday Inns take note . I arrange car reception return JFK , go onto Florida 2 week lot bag , plus bag shopping trip 5th Ave , subway really option , little wary hail cab 8 , pay $ 15 extra car , worth piece mind service good . would definatley stay , need start save Reward Points . 
 Jan 20 2009 	 nice hotel middle NYC action ! 	 stay hotel 3 night ten day ago . day small budget hotel uppper midtwon east side , decide spend 2nd part NYC trip near Time Square area close theater kind action . Hotels NYC Theater District generally price high one exception , get fantastic deal - & quot ; stay 2 get 1 free & quot ; price unbeatable ! hotel premise locate W47 betwee 5th & amp ; 6th ( Ave . America ) . great spot town convenient everything , include Time Square - two short block away without hustlig bustlig tourist come up down street . lot eatery around area crave shopping , 5th Avenue less half block around corner . hotel big - 4 5 room floor throughout entire building fancy facilitiie like gym swimming pool premise . hotel reception / breakfast area cramp . 's definitely property design business traveler tourist will not spend much time inside hotel . however , room decent size New York standard ( room two doube bed ) , cozy nicely furnish : pretty much expect typical H.I . brand hotel . armorie LCD TV add bit nice touch . bathroom clean , spacious equppied amenity daily basis . bed incredibly comfortable . little bit noise issue really minor . hotel price also include free in - room internet acess , free daily breakfast day free coffee tea . city expensive nyc , absolutely big plus traveler . hotel package include daily pizza deliver room never get one . big deal . overall , nicely locate hotel lot good feature . price right , great hotel choice out - of - towner . definitely consider return future . 
 Dec 29 2008 	 great little hotel ! 	 recently stay Holiday Inn Express - 5th Avenue - Dec 25 - 27th . hotel everything expect hope : great location , clean room , friendly staff , great price . travel girlfriend , naturally concerned cleanliness hotel safety location . room clean , location close 5th Ave perfect we . problem . room small side , expect NYC , even king bed take much room , offer enough space 2 people . bathroom good size , relative rest room . importantly , hotel serve good & quot ; home - base & quot ; stay New York . hotel two computer use check email , along printer . addition light breakfast morning , coffee , tea , packet oatmeal available all - day lobby . would recommend couple single traveler stay New York couple day . familiar city , spend lot time try book right hotel - right price - could not happy . 
 Dec 15 2008 	 great location . 	 stay election . whole area buzz . fantastic location sight - see , theatre , restaurant , bar etc . room fabulous quality bedding fitting , compact great value . immaculately clean fresh towel every day . reception staff efficient decent self - serve breakfast choice fruit , yoghurt , coffee , juice , bread etc . would recommend short budget stay . 
 Dec 7 2008 	 good price location 	 good choice midtown Manhattan want within walk distance main attraction site close subway stop . new hotel , smallish room , good price . Breakfast include , good since hotel charge $ 30.00 per person ; however , quality breakfast ( coffee omelette avoid , really good ) . room clean , view , bathroom small ok , good hot water . overall probably good price / quality hotel midtown Manhattan , expect 5 - star service . one small annoying thing bell service : try get cab , sway towards private limos , expensive . ask yellow cab , instead , even may happy , use subway go anywhere cheaply . 
 Dec 6 2008 	 really enjoy stay 	 today ( 12.06.08 ) check two night stay . wife really enjoy hotel . great location , street suprisingly quite ( allow we sleep well ) . look affordable hotel locate near Time Square , check . weekend last year stay Intercontinential Barclay . room Holiday Inn Express tad small , every bit nice . fact , bed comfortable bathroom clean . hope enjoy stay much . 
 Nov 27 2008 	 Comfortable ideally locate hotel 	 find hotel extremely comfortable short stay New York . room quite small plenty space move around , store suitcase ' hang clothe – need city break spend little time room . room bathroom well appoint immaculately clean . although breakfast area cram entrance lobby never find problem stay . continental breakfast ample start day always manage find seat . the location perfect tourist area . right middle block walk distance 5th Avenue , Rockafella Centre , Times Square , Empire State Building Central Park . Grand Central Station number subway station nearby , although subway system little confusing start ! ' visit winter ice skating rink Bryant Park 5th Avenue 42nd Street bit cheap Central Park Rockafella Centre . rink still nice setting , especially evening . 
 Nov 22 2008 	 Liked Husband say ` ` never come back '' 	 Hotel convenient location 45th 5th 6th Avenues . easy get Grand Central . consider type hotel not restaurant , fair , frill breakfast hot hard - boil egg , meat , pastry ( hot cinnamon roll ) option . breakfast area locate basically right inside door , get pretty cold eat breakfast winter . hotel work facility , 2 computer access internet ( basement level ) . room quite small , closet , rack hang clothe . stay room 2 double bed ( think space move around room king ) . bathroom also small . bed hard , really like husband hate , determine important . call several time get toilet paper , 2 roll room arrive , almost empty . arrive early ( 8 ) check - in time 3 pm , keep bag later . however , say Gold Member Priority Club , would get room ready could check couple hour . NYC , want go explore not come back 3:30 . room ready tell come back later . complain , get someone get room ready 15 minute later . like location ( big , main hotel , 's tough get cab hotel ) husband hate bed , small room , elevator noise hear night long , would prefer place restaurant breakfast order . point location , walk several block get subway . lot hotel nyc much convenient subway access . 
 Nov 20 2008 	 excellent location great value money 	 husband stay 80 year old mother . location excellent - walk distance 5th Avenue , Times Sqaure , Grand Central Terminal , Theatre district , Rockefeller Centre . room 14th Floor face street . street noise - enough keep we awake . room clean well equip - hairdryer , iron ironing board , blackout blind keep light . small expect base previous comment . whilst use service hotel staff much , , without exception , polite , welcome super helpful - nothing much throuble . breakfast haute cusisine , great selelction food ( toast , scramble egg bacon donut ) enough set day . all would hesitation recommend hotel would definitely use . 
 Nov 14 2008 	 Decent Place 	 check fast friendly . room small , smelled bit stuffy , face back building , opening window get terribly greasy odor . however , air conditioning solve problem . italian tour group stay hotel take breakfast room skip free breakfast . worry , ton great place eat within minute . loved convenient location . decent place stay downtown Manhattan . 
 Oct 30 2008 	 Great Midtown Choice 	 wife please 3 night stay . location near perfect need : walk distance brwy theatre , subway station , bus stop . room , although compact , clean , quiet equipped ironing board , iron , hair dryer . include price daily breakfast exceed expectation - egg , bacon , sausage , juice , fruit , coffee cake , french toast , yogurt , hot cold cereal , beverage . hotel staff friendly , accomodating , competent . able get room 2 hour prior 3 pm specify time . charge check bag several hour checking , could visit Art Museum unhindered final day visit . copy US News slip door every morning . local call free , use 2 pc printer lobby . glitch 15 minute delay return two bag we return hotel museum visit could proceed Penn Station return home . give top consideration stay hotel next visit NYC . 
 Oct 26 2008 	 enjoyable visit ..... enjoyable last time 	 stay hotel previous visit New York love . time , good . despite Priority Club Gold member , still wait half hour check .... even though room ready . lift break one morning mean wait forever get upstairs . also air conditioning need clean . despite , majority stay enjoyable . majority staff friendly helpful . breakfast enjoyable . room small side clean adequate . 
 Oct 23 2008 	 Great Location 	 choose Holiday Inn mainly ideal location . room two double bed 3rd floor face street . window face street room darken drape street light give effect night light night . room clean comfortable . breakfast morning great . keep fresh , hot coffee flow lobby day evening terrific ! side we small size room . two double bed tiny amount room move middle around foot bed . stay one night could easily deal would want room size stay long . 
 Oct 21 2008 	 good place stay 	 husband stay Holiday Inn Express 5th Avenue 5 night begin October . hotel fantastic location 's block eg Times Square , Bryant Park , New York Public Library etc . the hotel wide , get approx 6 room per floor . stay 12th floor ( think 20 ) could not hear much traffic 45th Street , apart police siren etc . the staff friendly helpful . manage get seat breakfast every day food acceptable standard , hot cold food . the bedroom not big US standard , however , big enough ( size UK hotel room ) .I would thoroughly recommend Holiday Inn would stay . 
 Oct 16 2008 	 great hotel great location 	 wife spend 3 day NYC end September reserve room Holiday Inn Express base review see TA . review right . room indeed small , not NYC hang room . even though room small , clean . breakfast good breakfast area somewhat small , always able get table . entire staff helpful friendly front desk clean staff ( ask go cheesecake place call junior recommend good ) . even hail yellow cab we need get back airport . good thing hotel , though , location . 2 block Times Square , easy 10 - 15 minute walk Central Park , minute Grand Central Terminal 10 minute Rockefeller Center . one thing aware stay ..... elevator slow time especially room clean . 
 Oct 14 2008 	 small 	 room small , breakfast crowd , be expensive . however , hotel clean staff helpful . be great location probably well find price . go back . 
 Oct 7 2008 	 make sure not end ' executive level ' ( aka basement ) 	 title pretty much say . basement noisy - computer outside room use time , day night make feel unsafe emergency exit label ' employee ' . ' ve stay location - basement know request stay basement time . unfortunately , check record request despite fact call directly . prior visit not problem motel - clean , easy great location . however , time staff helpful promise call manager discuss issue never contact . bottom line : would say place fine , honor committment make reservation process . 
 Sep 6 2008 	 GREAT stay ! clean ! ! 	 stay Holiday inn Express Fifth Avenue NYC last week August . never NYC idea stay . book hotel base review website . look something affordable clean . hotel disappoint ; room stay EXTREMELY clean . hotel locate half block 5th Ave ; Times Square 2 block east . area feel safe comfortable walk around night . hotel within walk distance several attraction , include Times Square broadway show , Rockefeller Center , Grand Central Station , St. Patrick 's Cathedral , etc . complimentary full breakfast hotel great . problem breakfast area small table fill fast . want place sit , would say would need 8 . end take breakfast room time , much inconvenience we . lobby area small get easily congest , major problem either . review hotel correct say room small ; much room move around . corner room stay small one next door family member stay . however , really room sleep , small aspect really not bother much . flat screen tv nice lots channel . free wireless internet access huge bonus well . guess office workstation area hotel never go . front desk staff nice helpful . quickly get us cab morning leave . FYI , cab get we yellow cab instead private car service , little expensive . well try hail cab main avenue pour rain 5am . look hotel nostalgia , would look different place stay . look hotel great price , location , friendly service , adequate amenity , place ! 
 Sep 6 2008 	 tiny room great location 	 not stay Holiday Inn Express New York want large room spacious breakfast area . 's get location , location , location - 45th west fifth avenue avenue america central park ten minute walk away , radio city rockefeller centre minute foot . grand central station couple block away excellent italian restaurant Resette next door . room free wireless internet access huge range cable channel , small . USA Today free every morning . breakfast room chaotic peak time many people try crowd small space . hot breakfast include rate not complain . staff friendly - jasmine reception cheery , positive attitude check midnight 15 hour plane . good experience 
 Sep 4 2008 	 great location ! 	 wife attend Fancy Food Show stay hotel 5 day . pretty good place stay . location : Hotel centrally locate . close everything -- 5th Avenue shopping center , St. Patrick 's Cathedral , Central Park , Broadway theatre , Times Square . staff : helpful accomodating . bad not get name thank , be nice . cleanliness : room clean since pretty new hotel , bathroom furnishing pretty new . Room Size : enough , wife daughter . New York know large hotel room anyway . extra stuff : breakfast free scrambled egg , bacon sausage , danish pastry , juice & amp ; coffeee . basic sufficient . figure ' m save $ 5 / day breakfast . great free wi - fi well . I stay New Yorker Hotel would definitely pick Holiday Inn Express New Yorker hotel . would recommend other . however , would probably stay another hotel next time change . 
 Aug 3 2008 	 wonderful 	 reserve room hotel 3 night , wife two young teen kid . room small , typical NYC think . clean nice shower wonderful . , along flatscreen cable tv need . hotel staff wonderful ( especially skylar front desk .. always helpful friendly get we great SUV haul we airport ) .We stay floor 20 peaceful . location great could walk three block Times Square food fun get subway easily well . would highly recommend hotel . 
 Jul 30 2008 	 Little Gem 	 book hotel British airway deal . look reveiw seem good . hotel tuck away appear recent new build ( recently renovated ) . firdt thought reception basic small acceptable . check fairly quickly staff freindly . bell boy bring bag room good basic hotel ( expect tip ) . room quite small that s standard new york . clean fairly new . bathroom clean small adequate complimentry toiletry . the lift fairly slow expect 5min wait busy period . breakfast morn unexpected nice . everything set day , complaint would small eating area cold draught fromthe main street automatic door always open . time take tray breafast back room . the hotel staff really helpfull concierge always help book trip etc . organise limo style car pick we airport $ 20 taxi well worth extra . overall would definatley recommend hotel would return heartbeat ! ! 
 Jul 29 2008 	 nice New York hotel 	 nice hotel . good location , need evening life - choose place - Chealsia , Soho Grenvichvillage , cose everithing close 7 p.m. - cafe restran . room small nice clean . choose hotel good location cose new ... everithe fresh . 
 Jul 24 2008 	 Super location nice helpful staff 	 travel NYC long weekend . want central location easy access everything . hotel fit bill . price excessive , especially since would sleep . clean comfortable AC feel great since hot spell NY . 94 - 98 day ! room ere small , full bed , need 2 bed , well friendly ! comfortable though . 20th floor , not hear noise street . front desk staff helpful friendly . skylar Carmelo exceptional always willing help direction recommendation . plenty place eat near . continental breakfast good . well . plenty selection . would definitely stay already recommend friend . 
 Jul 22 2008 	 Nice Hotel 	 husband book hotel Orbtiz helped get good review . hotel room small ( exactly like photo ) find comfortable enough . free wireless internet free breakfast bar boast sort stuff -- egg , bacon , bagel , cereal , etc . one thing not like room not mini - fridge since summer visit , could use appliance cool beverage . amenity -- dryer , iron , etc . location great well , close Times Square , Rockerfeller Center , 5th Avenue shopping . overall , hotel really nice . 
