ok 	 ok hotel need somewhere crash , near anything useful except metro market . staff helpful , area dodgy . 
 Oct 24 2008 	 good hotel 	 spend 3 night hotel . room quite good , clean noisy . I would avoid room 104 107 1st floor , since next a / c machine imagine quite noisy . staff nice , speak good english help whenever ask for . hotel 5 min walk metro station . the hotel almost meet western standard would recommend friend . 
 Oct 6 2008 	 Love 	 Uncle Booked 2 room us hotel . comme afraid travel India due bomb terrorist attack . marrige sake Mogga ( Punjab ) come . happy safe hand good hotel crowede Delhi . Pickup excellent Big Cab one hotel person stand placard morning odd hour . room comfortable . Free Wifi available Reception area due security reason . staff helpful . move today punjab back hotel next week overnight stay . 
 Sep 3 2008 	 acceptable Delhi hotel 	 Hotel Classic average mid - range hotel bustle Karol Bagh district . good : - hotel cheap . pay 1500 rupee per night private AC room.- room service menu ( include breakfast ) cheap basic tasty food . indian food one night dinner delicious extremely cheap.- hotel arrange reasonably price transfer pick - up airport train station ( issue , see ) - 5 minute walk Delhi ' excellent Metro system take Connaught Place Old Delhi without sit traffic.- room bathroom clean.- Air Con effective.- Laundry reasonably price . the good : - view room another building , nice all.- tv indian channel . - location so - so . ' white person , stand bit busy area Karol Bagh.- in - room safe.- bathroom basic ( clean , though ) shower curtain.- check hotel 3 am get airport quickly . pre - arranged transfer hotel pick we 3:15am , come lobby bag etc record booking make . able get we car ten minute though ( resplendent totally shatter windscreen ) .- hot water sporadic expect cold shower . I would advise people hotel , ' think could recommend either . suspect well locate , nice hotel Delhi . come much want spend . 
 Aug 29 2008 	 excellent starting point India ! ! ! ! ! 	 hotel turn PERFECT starting point visit India . Mr. Jitender make arrangement driver car also set local travel agency make hotel arrangement India . there room error travel India ... driver Mr. Jitender arrange we important . name Suresh , incredible . hotel inexpensive travel standard use pay $ 100 $ 200 per night . classic first impression India ... staff friendly , warm welcoming . arrive late , even take morning breakfast order deliver right time ! thank Mr. Jitender make India trip success . 
 Aug 8 2008 	 helpful staff 	 great location , near metro station . room clean hotel staff helpful , especially manager . train , flight reservation make thru hotel important thing , u chat get information online staff 
 Jul 25 2008 	 clean generally acceptable room 	 inexpensive hotel crowd neighborhood probably foreign confusing westerner . stay two night upon arrive India , hotel fine , average value indian standard , would advise stay western hotel couple day upon arrival acclimate India . the good : room clean ; though room smell bad , realize problem window shut completely , let smell Delhi . furniture acceptable , bed quite comfortable , nothing room spectacular , acceptable , level budget accommodation US , fine pay post price room . airport pickup smooth . staff deal honestly , quote price car service turn quite reasonable fair . appreciate . one desk worker make call Hindi , nice . give wakeup call ( 2 place stay India forgot ) . computer slow internet connection right next room use several time , without charge . route several phone call room . bill handle straightforward , efficient manner . the bad : hot water ( true India ) , could not get cable tv work , driver find dishonest shyster , near could tell guest , yet staff 10 Indians mill around lobby time , intimidate weird . location , view , less ideal tourist , hard find ; rate , would recommend get driver whole day attempt go foot . view window filthy courtyard , window shut completely . this acceptable accommodation , nice hotel money , fit budget , think feel good staying . 
 May 5 2008 	 always good 	 stay 2 night begin holiday India 2 night end ( hot stay ) , first part room second suite . the suite large , clean quiet . the staff courteous , oblige quietly efficient . this one decent place stay India make world difference . I ask breakfast serve room . , problem , extra charge brilliant quick room service . would thoroughly recommend hotel anyone visit Delhi . 
 Apr 30 2008 	 Loved Classic Classic Service 	 Hotel good service could want . make we feel right home , go way supply need . staff make we feel comfortable respectful . arrive Delhi 10 pm get plane find Madhusudan wait we welcome smile . find service staff delight ; everything make we feel home . indeed provide assistance provide air ticket Mumbai tomorrow without service charge . recommend hotel everyone friend relative . 
 Mar 29 2008 	 Peacefull Hotel Hectic Delhi 	 one decent place stay India make world difference . cool place , peaceful stylish . good service expensive though sure much pay . good value money worth spending . hour linger Delhi Airport , think post review instead crush rush counter . management owner great help arrange tour we . market walk distance location lively drawback traffic noice day night crawl get smoothen up . there be computer desk provide passage area internet connection good . laundry service also good problem anything get back , think probably could trust do . we also hire hotel 's driver & amp ; car hour sight - seeing around Delhi pleased service . 
 Mar 5 2008 	 Impressed Service 	 still stay hotel . extreeeeemly clean : - ) . love thy treat we . must say travel lot South East Asia Season service , facility management uncomarable 3 * hotel anywhere . keep person wait Airport even flight late almost 3hours not charge extra penny delay . bless Free Wi Fi compliment management . Owner /Boss ? ? wonderful guy assist local trip detailed maps- complimentry ! ! ! ! . staff attentive call swing action whenever require . location wonderfull- busy busy market . pollution -key factor Govt look . two block away metro station connect main city centre - CP . 
 Jan 24 2008 	 great little hotel 	 book hotel 2 night see positive review Trip Advisor . rechecke Trip Advisor shortly leave Delhi concerned see subsequently couple poor review post , one suggest guest somehow induce write good review . therefore trepidation decide stick original reservation , fact late cancel anyway . happy report , , excellent choice hotel . think full real charm . pre - book transfer airport could smoother , especially give flight 2 hour late arrive . staff extremely helpful friendly . really like room give . fact simply understand poor review post . really stay hotel ? room really different term cleanliness ? , would seem highly unlikely . maybe hotel simply get act together follow unfavourable review . room extremely clean , cosy , quiet everything one might need ( television , fridge , telephone , writing desk , comfy chair , extremely comfy bed ) . furniture may new , fine . bathroom also extremely clean , nothing flashy perfectly adequate . also nice roof terrace sit - addition chair plant could extremely pleasant place lounge around . breakfast serve room also work well . would definitely stay . decide stay hotel , indeed hotel Karol Bagh , check nearby Ajmal Khan Park see local population enjoy small park offer . 
 Jan 12 2008 	 comfortable n good stay 	 ideally locate , excellent service , warm staff always make customer stay appreciate hotel . 
 Jan 5 2008 	 ok 	 choose hotel reading comment . mostly right . hotel really ok nothing exciting clean stuff friendly helpful . situate right centre , good well . it bite old - fashioned feeling look good 80 's decent average hotel . dining hall tho make sure ask breakfast deliver room ! N.F. , London 
 Dec 9 2007 	 pit -- stay away 	 favor . stay away hotel . stay far away . look hotel good location reasonable price , undervalued diamond . often find hotel TripAdvisor , continue try , definitely one . anything , worth much less $ 50 night pay . room clean . ask towel . three four people hang around ask tip . three guy carry two bag hand whole time . security guy come show we use air conditioning could solicit tip . bedcover filthy wife sleep clothe . smell mothball everywhere . leave one night let keep prepaid second night . Yuck . 
 Nov 24 2007 	 Old Fashioned Bad Price 	 warning - book online via 3rd party site sell & quot ; room + breakfast & quot ; option . although order room service , use good local restaurant not kitchen dining room , offer kind & quot ; include & quot ; breakfast room . not trust web site tell do . the building fairly old , elevator tiny , room old fashioned . like husband , see american unused travel outside new US hotel might little let . 's bad many place ' ve stay NYC , Rome elsewhere vintage . certainly clean , location extremely convenient train station local shopping . ABSOLUTELY contact hotel directly airport pick - up service . will overcharge ( pay double would 're good bargainer taxi site ) 's stioll much well worth ' ve long flight get late night many Int ' l flight . taxi name posterboard make big difference insane crowd meeter hawker assault walk arrival lounge . 
 Nov 15 2007 	 disaster ! 	 read positive review site , ' ve decide book 4 night stay hotel . mistake ! seem logical explanation good review , except ... big sign front lobby elevator , saying & quot ; Post good review we tripadvisor.com win 2 night free stay & quot ; . yes , stay know ' m talk ... personally see 5 different room hotel , horrible . , come later . , will talk everything unfold . nobody wait we airport , despite arrange pickup . fine , go , haggle brain taxi driver , get imho great deal ( 750 INR ) nice AC car . get hotel - idea reservation . lot talk etc , say fine , will give room freshen , will see . go room . many place world , work passion travel take virtually everywhere . see disaster like anywhere world . literally anywhere . room tiny . dirty . cramp . smell like HELL . bathroom bad public toilet Moscow road underpass ( subway matter ) . be really hard beat public toilet Moscow road underpass . get upset go downstair talk concierge . say , not really understand problem . australian fellow overhear conversation , start talk . turn colleague , town reason , another colleague . ' ve book 2 room , arrive late night , choice . shock well , despite far first visit India . together , start look new hotel . walk back upstairs , see cleanup operation progress one room ( door open ) . 3 guy , dirty rag , busy smear dirt around room , instead clean . one guy , whack headboard bed ( yes , whack ) dirty rag , remain etched memory long time . long story short , get second room . high end one . yes , big co - worker 's . smell little well ( still horrible ) . washroom though - story . anyhow , stay 2 night , move Sri Nanak Continental . look , care read review . bottom line - stay away place Channa Market general . , avoid Karol Bagh . everyone afford , though . couple additional point : 1 . one indian colleague go upstairs we , night first day . tell we , hotel consider ok / nice average middle class family India . word , guess seem bad westerner . 2 . get meet owner hotel , second day . feel genuinely chagrin unhappiness . spend talk , give we duffel bag hotel logo gift ( not really want take , colleague want ) . also forgave we additional charge ( water etc ) . mean laughable amount 90 INR , 's effort count . 
 Nov 15 2007 	 's New Delhi 	 average compare New Delhi moderately price hotel . possible , call direct book -- much cheap . everything work ; A / C , tv , fan , hot water . ask receive fresh towel necessary . Tip everyone help stay way . 
 Sep 17 2007 	 bit culture shock 	 good hotel ( air conditioning back generator ) . Delhi quite shock system nice oasis . metro close easy use . room clean front desk staff speak English . 
 Mar 23 2007 	 likely good will find -- walk shopping 	 decent hotel heart shopping district ( walk 1/2 block hotel be main street ) . stay hotel several day two separate occassion notice big difference first floor third floor room -- third floor much nice quieter . price , 's good find Delhi , location great shopping . also walk distance ( 3 block ) GREAT restuarant -- Udupi ( clean , cheap , great South indian food ! ! ) . side , doormen lasiest ' ve see anywhere , management seem nice . 
 Sep 17 2008 	 Hotel très symptahique 
 Aug 5 2008 	 Service très attentionné 
