good 	 room clean pretty big NYC standard , tv , hair dryer , additional blanket first necessity available . negative note : see several reception staff , friendly , generally prepared give information sort . overall purpose tourism main need reasonable confy room , be right place . 
 Jul 7 2009 	 great location good room minor problem 	 stay murray hill 5 night boyfriend . non US citizen next information quiet important . arrive immediately pay room . debit card ' work although later use pay thing supermarket store without problem , long system one could introduce pin card . credit card ( case ) , take money pay hotel . go street withdraw money pay hotel , know would bring home ( cheap limit amount money withdraw , least Portugal , could pay whole thing money two us different card withdraw money ) .When get tell room upgrade . book cheap room two people ' really sure give bed double bed . room huge everything one might need . kitchenette cutlery , plate , cup , fry pan , cut board … basically everything need cook . cleaning room morning include washing dish nice . room fairly clean without major thing report . stay 8th floor room quiet almost ' hear outside noise . air conditioner seem work fine ' turn room always cool even think extremely hot outside . , problem room mattress . incredibly soft bumpy . comfortable . the location hotel great . 5 - 10 min away grand central station could take subway anywhere city . near hotel supermarket everything need well bar . go night good place , subway 10 min away . overall , happy hotel choose stay New York definitely recommend anyone go city low budget ' want / need fancy hotel . 
 Jun 27 2009 	 cheap covenient 	 get hotel Hotwire $ 103 night . bad 5 night stay . room huge compare room ' ve . Stayed Renaissance Hotel Sofitel New York , room size double triple price , respectively . want go cheap could spend sight seeing , shopping , eat . 's recession year , not want debt ! not like room carpet , couch , bedspread date dark . darker well hide grime , suppose . however , one year old return hotel walking , tired care cleanliness factor . great thing kitchen , dish detergent . bring dish scrubbing pad wash baby 's bottle spoon , annoy Palmolive sight . also microwave . never use stove cook , pot pan . really need fridge baby 's milk . bathroom keep clean . however , husband notice rip open sugar packet , maid throw away , rather put back sugar packet . not attentive . locale great 5 minute Grand central station , hop Subway . even walk rain Times Square hotel hotel MoMA , 20 - 30 minute tired use Subway . spot comfortable distance hotel . also CVS would send husband Bengay ache knee diaper couple block away . great cuban eatery close $ 20 2 people . good thing hotel location . not romantic glamorous spot , good family child single friend need cheap place middle city stay . good value price . 
 Jun 15 2009 	 PERFECT LOCATION 	 first trip family ( 5 ) New York City . Stayed Murray Hill East Suites Hotel recommendation good friend . room large kitchenette helpful economical morning breakfast . former apartment building room large average hotel . yes previous report room date spotless . housekeeping bring extra towel without even ask . excellent safe location . Times square grand central station easy walking distance . grocery store d'agostino Supermarkets Inc 3 block away locate 3rd . walgreen close well . try Daniel ' bagel locate 569 3rd Ave ( 2 block away ) . bagel real deal ! Ray Hotel office great . extremely patient helpful suggestion . problem room , check , rate , bill etc ! would stay problem . 
 May 12 2009 	 Decent hotel good area management issue 	 stay apartment hotel NYC 20 yrs 5 wks per year . good neighborhood convenience .... drycleaner , nail salon , shoe repair , grocery , restaurant delis . little worn around edge finally begin rennovate . studio , 1 bedroom couple 2 bedroom . spacious good family . full kitchen pretty clean though little worn . would walk street believe another apartment bldg . however manager bad confirm rate , take care problem communicate general . call 10 time even though know value client return call , confirm reservation rate . year business never see hotel behave like . would book internet go reservation feel dicey . recently overcharge $ 90 refuse credit return call . bad behavior bad business . ppl front desk friendly behind bad behavior management . 
 May 7 2009 	 nearly Perfect ! 	 first thing say have enter suite set bag & quot ; could live ! & quot ; get mere $ 132 night Priceline , idea go beautiful l - shape studio suite fully - equip kitchenette , living area flat screen tv , dining table , 3 closet , comfy queen bed , full en suite bath , home - style lighting fixture japanese art match bed spread . could not believe -- oven , hotel room ! be budget traveler , blow away huge well - appoint . even door key real metal key . turn former apartment building hotel great idea . home sweet home two brief night , sad leave ! staff wonderful responsive . one point toilet get stop , housekeeping respond immediately fix problem . first night , frat boy room hall sound like get violent , talk front desk clerk never hear peep boy . housekeeping also keep room nice clean , plenty fresh towel . not get use free gym laundry room , ' there . the Murray Hill neighborhood delightful ; low - key cheerfully lively , restaurant fit every budget , lot fun shop . see many people dog – true residential neighborhood probably see less tourism famous New York neighborhood . yet be close Grand Central , subway bus service . suspect might board kennel nearby , hear group dog bark time reasonable hour . totally problem we . only one thing not perfect ; room not wifi . would not problem many traveler , geek like we need connectivity , business traveler . Wifi lobby not really solution . jerry - rig wired laptop connectivity room partner 's PDA , everybody able . would gladly pay day wifi , really hope ' work get room . would make extraordinary hotel experience perfect . other , could not ask lovelier stay . problem ' ve spoil ! afford hotel discounter bid site , hope get lucky land Murray Hill East Priceline Hotwire . actually miss ! 
 May 5 2009 	 good hotel great location ! 	 husband NYC five Boro Bike tour . room big enough bike . nice little kitchette . wall alittle thin , could neighbor argue , good hotel . nice staff , allow we keep luggage checked get back bike tour . parking $ 25 24 hour nearby garage . location really make hotel great . two block Grand Central , get subway anywhere else city . quieter neighborhood near Times Square . would definitely stay . 
 May 2 2009 	 ok ok 	 book 3 night stay base discount price Manhattan . near grand central . Room ok per new york 's standard full kitchenette . Staff do not room ready 4 hour even we call airport confirm ready . door man real rude fellow probably frustrated work 1st Jan . housemaid 's trolley park next elevator narrow passage lead room entire duration 3 night stay . receptionist be not real help book cab return JFK . 
 Mar 23 2009 	 Good Value Manhattan 	 location great , 5 - minute walk Grand Central . plenty restaurant nearby , casual elegant . room huge Manhattan standard . heat hot water available time . mattress nice firm . sheet clean although never change entire 7 - night stay . consider clean person bother much . bathroom clean functional . kitchen old functional . big problem business traveler internet access inside room . free WiFi available lobby . suppose request room first floor close enough range get internet room . since ventilation system old , smell cigarette smoke someone else 's cooking not close vent bathroom and/or kitchen . , satisfied stay , especially consider much pay . consider stay whether pleasure business . 
 Mar 2 2009 	 thoroughly adequate 	 stay year ago room second floor garbage . tear stain linen , dirty bathroom carpet . time sixth floor thing much nice . ' m sure fix thing lucky . tell former apartment building . bathroom clean functional . shower so - so . kitchen necessary utensil ( pot , pan , glass , silverware ) nice plus . one small tv living room sit cart . bedroom tv would nice . orbitz room $ 119 . rack rate $ 159 . check book . small fitness center laundry basement . title say , thoroughly adequate . 
 Feb 24 2009 	 Excellent location huge room 	 hotel old apartment building , give , room large NYC standard . bedroom area closet space , full kitchen , sit area eat area dining room table . literally three time size room ' ve ever stay NYC . room quite dated need upgrade , be Manhattan , not spend much time room anyhow . place ground level , also provide we outdoor garden area accessible private door room . ground floor definitely pro con ... patio area nice , two guest room ground floor . fitness room level , everything else employee area ( laundry room , office , maintenence area ) . feel like dungeon kind creepy , employee constantly elevator , talk , laugh slamming door . location hotel PERFECT . walk distance anything need ... Grand Central Station , Empire State building , delis , corner store , restaurant , etc . problem get cab anywhere distance airport short well . staff come contact friendly . hotel great value ( book Hotwire ) . would definitely stay . 
 Feb 20 2009 	 Great Location weird smell 	 stay hotel long weekend Jan 29- Feb . location hotel amazing . right around hotel pub restaurant easily sit back good meal . three block away Central Station Chrysler building . Times Square easy 15 min walk group . less 10 . hotel old , bad . hallway smell like something die , carry room . room like go grandma 's house . clean , comfortable . overall would go back hotel price location . 
 Feb 19 2009 	 great staff ideal location 	 book apartment know location would suit need , fantastic place . room quiite basic meet everyone 's need , remember sleep shower NYC room ! 5 adult 1 bedroom suite load room . our friend stay well view Empire State , opposite side quiet room 11th floor , NYC unusual . the staff excellent , recommendation , book return taxt far cheap direct booking $ 40 less return trip JFK.We 20 minute Times Sq , 15 Empire State , 5 grand central excellent . would recommend excellent value money 
 Feb 14 2009 	 smell rude service 	 room smell like smoke bathroom look old . place think use apartment somehow must turn hotel . staff front counter quite rude , plus never . always back time cell phone . 
 Feb 4 2009 	 Shabby great location clean 	 stay December 2008 book late deal company , not pay full price . suite large small kitchenette , tv en - suite clean warm , well quiet centrally locate . hotel could really , really benefit refurb , kitchenette little like gran 's house have decorate 40 odd year non - electric hob - top kettle reflect ! bed saggy old - fashioned sheet blanket . hand would ' ve absolutely perfect family small child really need somewhere clean , warm etc ? still think price even though reduce high british tourist disappoint little money get NYC . 
 Jan 11 2009 	 Fantastic experience 	 stay NYC young sister 's 21st birthday , far exceed expectation . have book room Hotwire , not know would stay actually commit pay rate have quote . ( $ 79 plus tax , come $ 104 total . also require $ 20 credit card deposit check - in ) check around 9 pm greet friendly staff member , actually give we free upgrade 1 - bedroom suite ( room 807 ) . room one bedroom two double bed , living room pull - out couch , table big enough eat dinner , full kitchen . room clean smell fresh , bed comfortable , everyone work incredibly friendly . ask front desk staff couple favor ( mainly hold thing mine behind desk town ) always cheerful accommodate ( wish catch name could give shout - out ! ) elevator indeed bite date / slow , work perfectly well . be also true wall rather thin , case come back hotel pretty late night anyway not issue . location , one pretty outstanding . be three block ( six - minute walk , depend crosswalk light ) Grand Central Station , also convenient Empire State Building , Macy 's Fifth Avenue . like explore city foot , ideal spot start . spend last part night East Village ( St. Mark 's area ) $ 9 cab fare ( tip include ) get back home end night . so overall , can not say enough good thing place . definitely stay next time New York . 
 Dec 24 2008 	 brilliant 	 bit worried reading review hotel date lift not work need not worried . extremely happy hotel . room ( 510 ) clean , comfortable , spacious excellent location . block Central Station . small kitchenette bonus . would definitely go back hotel . 
 Dec 13 2008 	 Liked Murray Hill East Suites 	 hotel great location staff excellent . room large perfect 2 we ! 
 Dec 9 2008 	 less expect 	 renovate apartment building describe 3 - star hotel date dusty furniture , thin wall , problematic cable tv , bent mini - blind , wear rug , peel paint baseboard suggest otherwise . although water go first morning staff correct problem within 20 minute , generally friendly . positive side , hotel good location right 3rd Ave , number bar , diner , restaurant nearby . may moderately price place guy use headquarters boy ' weekend Manhattan , woman family happy worn feeling room . 
 Dec 4 2008 	 Brilliant Hotel - Honest Review please read ! ! 	 know lot review ( ) suggest hotel tatty , outdated rude staff however feel write fair honest review base recent experience ( November 27th December 2nd 2008 ) . find hotel clean tidy staff helpful friendly ( maybe reviewer not get New York way lot people ! ! ! ) . ask room high avoid traffic noise get bit view desk lady give we room 810 high free room available . 2 lift , work , clean enough space 4 people bag get easily . room huge , one big double bed , kitchenette medium en suite fresh towel toiletry provide . also sofa , table chair tv . ok tv old style one like reviewer mention however nothing wrong reception . think go New York end watch load tv sad indeed much see city . also be even bad watch UK advert every 5 minute less ! ! ! ! room clean every day fresh towel . location hotel perfect , Grand Central Station 3 block away Murray Hill area lot good local amenity . walk site weather great relatively fit will not find struggle ( couple blister foot though ) . think get cab train everywhere miss lot site sound everyday New York life part whole experience . want well price hotel clean well locate friendly staff can not well one . try add photo get time . 
 Nov 30 2008 	 wear furniture saggy bed -- would great would update ! 	 go two adult daughter NY get spacious one - bedroom ( 2 bed bedroom pull - out sofa living room ) weekend think fair price . open sofa - bed see dingy mattress spring visible wear - out layer fabric , appal . flip would try sleep thing . double bed bedroom acceptable great , either -- saggy mattress definitely need replace . kitchenette not clean well ; microwave dirty inside ; not give full set towel ; tv remote not work tv leave unplugged ( hunt outlet plug back ) . also , tell hotel Wifi forgot mention Wifi work be lobby . good thing : hotel centrally locate , easy walk lot place , be relatively quiet , thought staff seem nice .... bit overwork . 's great bargain hotel bed old saggy one get good night 's sleep ! update bed , tv furnishing , would lot good thing say . right , would say 's good deal . 
 Nov 19 2008 	 highly Recommend ! 	 stay Murray Hill Suites one night , great . checked upgrade large room , two double bed pull - out couch . room HUGE , bedroom separate living room also small kitchen ( although do not really need stay one night ) . doorman nice , run rain get cab we . location great , block grand central station . would recommend hotel anyone look inexpensive room NYC lot room good location . con hotel decor , date NYC be never room anyways ! ! regardless decor , room clean feel safe . 
 Nov 2 2008 	 place little oasis Manhattan 	 problem ! first time New York staying week want stay central location site . family consist , wife two teen aged daughter want space want share room parent . may discover , New York expensive want stay hotel room double lose appeal somewhat . answer Murray Hill East Suites . finish item honest offer kind accommodation rarely find suitable family . room / apartment large plenty space 4 us kid room wife lounge sleep comfortable bed settee . yes room decor date room clean maid service every day . kitchen looked make school kid try dad carpentry tool first time need renew completely functional item need probably need restaurant near ace . we gripe place arrive give room ground floor overlook road next lobby , noisy room stay complain immediately tell obnoxious youngish male receptionist room available check next day see one . luckily another encounter receptionist next day able move 6th floor room face back hotel , perfect helpful doorman move bag we town time . word warn give ground floor room accept like hear every one enter hotel traffic street . lastly Murray Hill please something door room not fit well slam every time use . annoying try sleep . over hotel good bolt hole apart minor problem , would recommend stay Murray Hill Suites , need train staff customer service bit ! ! 
 Oct 31 2008 	 horrible ! ! ! 	 make reservation hotel cancel reservation within day due change plan . date come around supposse stay charge $ 505.22 deduct checking account . call hotel ask charge money , say never show reservation cancel . furious ! ! ! take whole week speak every department hotel get money back . finally get reimburse send copy phone bill showing call twice one day cancel . cancellation number give , lose apparently . get phone bill prove wrong ! ! ! management hotel scumbag delete cancellation number try get $ 505.22 . unbelievable ! ! never recommend place anyone ! ! ! ! 
 Oct 29 2008 	 Great Base touring ! 	 two married couple single lady need clean , comfortable accommodation - expensive - base tour New York check trip advisor find fairly good review Murray Hill East Suites . originally book one Junior Suite one bedroom room large room anywhere seem expensive . get Murray Hill offer we two bedroom / two bathroom sofa bed living room could go together . also live room / kitchen area . absolutely perfect ! desk staff door man helpful - need extra wine glass extra fry pan cheerfully provide . close amenity although three block walk Grand Central Station seem get long every time . room back hotel quiet . Kitchenette limited facility great cook English Breakfast every day loading dishwasher go . would hesitation either recommend Murray Hill stay ever go back New York . 
 Oct 26 2008 	 lot room - nice staff 	 second stay Murray Hill Suites , time book website & quot ; apartments2book.com & quot ; . highly recommend hotel . have one bedroom ( king ) small kitchen , dining area living room great view Empire State building . decor date , room clean spacious . staff always nice helpful . close Grand central station subway . good restaurant neighborhood grocery street . last visit fall 2006 large one bedroom ( two queen bed ) . 
 Oct 10 2008 	 NYC Home away home 	 past eight - year ' stay least twice year Murray Hill East Suites , feel like home - away - from - home business Manhattan . the central location friendly neighborhood ' beat , suit unusually large New York , kitchen dining area make life easy get back late want eat want eat , ' around neighborhood . the hotel clean , bed comfortable , water pressure good , staff efficient ! ok , décor vintage bit fray suite , Manhattan rate go $ 400 $ 600 range per - night , wonderful alternative " real " people . if ' look posh elegance , five - star amenity , snobby staff , Murray Hill . want homey , casual , clean , comfortable roomy place relax day work , ticket . I ' NYC next month , get Murray Hill -- book one conveniently locate top - ten place stay city , walk Broadway , great restaurant , Grand Central ! 
 Oct 7 2008 	 definitely first choice new york 	 husband stay 3 night hotel could not dream well experience , first time New York not sure expect . staff check wonderful , friendly offer give direction eatery still open late late night flight . , arrive room smoking request immediately move we smoking room large high floor original reservation . read review room need update new carpet , paint linen . drawback room small television living room none bedroom . full kitchen separate bath hall perfect bother one sleep nice come long day able sit living room relax bed . front desk staff amazing ! leave expensive camera taxi help front desk able get back . , place call necessary people help we arrange delivery locate . never wait taxi doorman would run corner find one could get door , neighborhood quiet safe . walk alot night feel perfectly comfortable . location perfect , close everything easy subway access lot local eatery bar , ever lucky enough get back ny definitely first choice accomodation . 
 Sep 30 2008 	 good Hotel rude desk staff 	 stay Murray Hill 20thl 26th Sept : late arrival Hotel JFK . almost midnight : person desk & quot ; welcoming & quot ; start argue pay : long flight need attitude : pay produce ( good job bring we ) amount pay , still argued finally grasp say pay : give room 3rd floor face road : do not go : much noise like middle New York road ? apartment fine , exzcept kitchen : badly need update : everyone use cupboard least 6 ft tall ( unable understand one ) 5ft.3ins : ? move sixth floor two day complain back hotel : do not book front room : say review read : Doorman great helpful : desk staff arrogant unhelpful time : would still return spacious living , everything clean immaculate room , dish wash every day : room service excellent care room : need sack day staff ? Lesley Gibbs England : 
 Sep 26 2008 	 hello ! 1970 ' call .. TIME UPDATE 	 Murray Hill East Suites , locate 39th 3rd Manhattan get one bad hotel ever stay . décor almost indescribably horrible . furniture , bed appliance ( inc . TV ) 70 ' . carpet sea green , Curtains Black floral print . top lumpy bed old pillow Pink Sheets , black floral print duvet cover come complete weather " Butt Print " edge bed showcase people sit last 40 year ! ewww ! one positive — room pretty decent size Manhattan , suite kitchenette . bathroom Tiny Clean . ( watch hair dryer look like vacuum ! ) favor , spend extra buck place 1 . decent location 2 . ' qualify " antique " 3 . carry simple amenity Razor . ( yes , ' right . forget toothbrush Murray Hill East , SOL buddy ! ) 
 Sep 9 2008 	 Best Deal Town ! ! ! ! 	 hotel locate great neighborhood - close Grand Central Station feel safe . stay first 3 night feel comfortable leave come back midnight . amazing restaurant & amp ; bar close room full kitchen leftover not go waste . ask smoking room & amp ; end room 12th floor huge terrace view water Empire State Building . could not happy hotel . staff nice & amp ; helpful room clean & amp ; huge - quite unexpected middle Manhattan . definitely stay . 
 Aug 11 2008 	 great place stay 	 spend day manhatten stay murray hill suite . book thru [ -- ] get great deal check hotel price city . book two one bedroom apartment two double bed bedroom . website inform we possibility would get request ( one bed bedroom instead ) apartments2book contact left state informed property could honor request.we arrive check less 10 minute . also request room close happy find across hall ( 608 607 end hall ) apartment one bedroom , two double bed , hair dryer , coffee pot ( coffee / tea / sugar , etc . ) supply well , microwave , toaster , full size fridge , stove oven dishwasher . every day , housekeeping would wash dish replace towel make bed . arrive , one apartment not ready housekeeper make special trip tell we ready we . three people apartment enough room find staff ( espeically karol doorman ) especially helpful directon , question , etc . fitness room basement several machine small patio , also laundry room well vend machine . small grocery less block away 24 hour diner ( scotty 's ) across street lexington ave . serve huge portion food . walk grand central ( 3 1/2 block ) catch & quot ; & quot ; train times square . , could take & quot ; 1 & quot ; train ( 50th ave area ) also use taxis - scared death - ' ve never see total disregard traffic law ! . first time city feel safe hotel general area . never problem . feel free email question . highly recommend murry hill suite . 
 Jun 24 2008 	 good value great location 	 mom go NYC day stay Murray Hill East 4 night . NYC quite time work ( stay really nice hotel ) , find hotel great value . 's glamorous fancy hotel , room big ( uncommon NY ) , kitchenette helpful . location great -- be right middle thing . downfall lack wifi room . supposedly free wifi lobby , ( guest ) always trouble connect stay . would definitely recommend hotel -- know 's functional place stay , plush place . 
 Jun 23 2008 	 Great Location Great Staff Great Stay 	 return vacation NYC . Murray Hill East Suites fanatastic ! hidden gem middle Big Apple ! yes reviewer note , decor outdate , everything clean . important we full kitchen small kid . cook breakfast every morning suite pack picnic lunch day . stay 6th floor . hear little traffic noise . view alley , not care since sleep . front desk bell hop staff approachable informative . always greet we . special hello go doorman , Karol . housekeeping come every morning room well maintain . family 5 stay 1 bedroom suite 1 week . 2 full size bed bedroom queen size pull sofa living room . great dining room table kid sit eat . yes , reviewer note , bathroom small able work schedule five us enough time . water pressure strong hot . everyone enough space . love location . 5min GCT . 5min UN . 15min ESB . 20min St. Pat 's Cathedral . Loved D'Agastinos Market 1 block . come handy cook dinner prepare food kid . definitely stay . think location excellent , quiet safe . price reasonable affordable - $ 1735 usd bottom line 1 week . important we since wife stay home mother live 1 income . will book . 
 Jun 13 2008 	 Great Location simple 	 would extremely helpful hotel website . we stay hotel business trip , not lot hotel available company 's price range . hotel 's location great . third trip NY past year , compare hotel stay , hotel quiet little street noise . area good , 's residential area , outstanding little italian restaurant across street . front desk staff fairly nice . go shift change get , never acknowledge female clerk , male clerk nice . get room , note clean . room desperately need decorate update ..... look like last do 1980 , tv probably 20 year old . bed comfortable , sheet bit tattered , bottom side comforter look like not wash six month . second morning , never receive wake - up call ...... front desk claim phone hook / busy , not . bottom line , be look anything frill , hotel . be look simply place sleep night nice quiet neighborhood , work . 
 Jun 4 2008 	 sweet little suite 	 stay Murray Hill Suites May 2008 . go New York workshop , need centrally locate hotel . woman travel alone , room clean , comfortable , safe location utmost importance . book room Hotwire , not know exactly hotel staying hit & quot ; buy & quot ; .I say pleasantly suprise Murray Hill Suites . price hotel NYC outragous , Murray Hill Suites bargain $ 165 night . the room huge NYC standard . ton closet space , little kitchenette perfect store snack drink fridge . use stove , think nice would want heat water tea leftover . the room clean . look dread hotel bedbug , find pristine sheet . uber trendy boutique hotel , modern furnishing . bed quite comfortable , air conditioning work great . meet every evening clean , cool room . the staff quite friendly knowledgable . look decent room , good location , reasonable price New York City , not hesitate book . 
 May 23 2008 	 Great Hotel - Great Price 	 ( group six ) stay one bedroom suite two double bed pull couch four day May 2008 . agree money location perfect . room clean ; staff friendly ( helpful ) . staff accommodate early flight ( arrive hotel 8:30 morning ) late flight ( 8:40 p.m. ) . décor little dated furniture comfortable adequate . kitchen bonus allow we breakfast hotel go day . room staff great location perfect . hotel less five minute Grand Central Station subway . everything would need within couple block , good bar , restaurant , grocery store , ect . location allow we go back hotel need day exceptionally way . hotel locate quiet area make easy sleep night . exceptionally pleased hotel would recommend traveler . 
 may 9 2008 	 Great Hotel Location 	 reading early negative review , wonder reviewer stay hotel . room huge , upgrade one bedroom suite check , nice clean . location can not beat . quiet side street ( New York ) , close Grand Central . book early get great rate receive . we find staff friendly helpful would recommend Murray Hill East Suites anyone . 
 Apr 29 2008 	 great place 	 really understand review . wonderful place stay . 12th floor nice view back yard area , room really spacious . 2 bedroom 2 double bed , 2 bathroom balcony . make nice breakfast kitchen . always keep nice clean . anything say , must communication failure living arrangement . strip one bed sheet sofa bed . perfect .. staff ever helpful friendly . ask everything grocery store liqour store , helpful time . I would recommend anyone . 
 Apr 27 2008 	 Loved Hotel 	 it´s excelent hotel . april 19 26 . hotel excelent room . hotel locate central point 10 minute walk time square , 5th avenue shop central park . clean , room big confortble . travel NY , sure i´ll stay Murray Hill East Suit Hotel . I really enjoy . 
 Apr 11 2008 	 great place family ! 	 Thumbs Murray Hill East Suites ! family four stay five night , April 5 - 10 . check - in do pleasant fellow , doorman always helpful nice . 8th floor room two double bed pull - out sofa . room clean kitchen great , cook nice breakfast snack suite . the location perfect ! 6 - 7 minute walk Grand Central Station catch subway . grocery store , bagel shop & amp ; deli less block away . bus transportation airport stop five minute away . walk reach many sight foot less 20 minute . we request non - smoking room fulfil request . street side notice little street noise , would ask back side building next time . although room decor little date comfortable clean , take clean anyday decor . bathroom small shower water pressure average ( would suggest reduce size trash bathroom fit toilet & amp ; sink ) tv bedroom would thing would add wish list . charge correct , problem bill . we view family friendly hotel , family 6 could stay comfortably suite . hooked location cleanliness would revisit hotel . 
 Apr 7 2008 	 two Star Rating dead 	 ok like lot review , book room two bed learn upon arrival none . agree single room . we go 11 floor . key would work lock . I tell friend go back tell key issue . return inform front desk proclaim use key correctly possible ignorant ? ? ? flittling , could not get work . use master key open , find someone currently use room unknowingly .. ? give we new room 3 . problem 6 day . clean staff excellent , room 80 's style always clean . street noise due location.2 Blocks Grand Central . walk distance Times Square ( bring comfy shoe ) .I may scamme $ 100 buck . run card & quot ; cover inccidental & quot ; since room pre - pay Priceline . additional charge but . I will check cc bill get let citibank handle it . long story short . price avg . $ 210 night NY clean , centrally locate , quiet place would still stay knowledge little thing bind go wrong guy . 
 Apr 3 2008 	 Disappointing ! 	 never hotel desk staff rude unhelpful . must say doorman always pleasant . the suite spacious kitchen real bonus . the decor bath need update , room clean . it be disappointing first people meet give negative response . 
 Mar 27 2008 	 Terrible Customer Service 	 check ' find reservation . dig stack paper , find , include last day stay . tell we open room last night . ( next day speak manager able get we room last night trip . ) reserve room two double bed pull - out couch , put we room one double bed pull - out couch . bring we roll - away bed though . plan sleep pull - out couch — it comfortable . next day able switch room king bed roll - away . check hotel , wait elevator 25 minute seventh floor . one elevator break , garbage collector tie one . afraid would late airport , haul luggage seven flight stair . get lobby half luggage , tell woman behind desk wait 25 minute elevator carry luggage seven flight stair . tell go back carry rest luggage , ask would watch bring . say . recommend hotel . 
 Mar 25 2008 	 Terrible Customer Service 	 front desk management nightmare ! book one bedroom suite 2 bed . check refuse honor booking . place room one bed . need two bed agree put another bed room extra 20 dollar per night . choice comply . speak manager say honor on - line booking . although voice displeasure receive satisfaction whatsoever . travel never upset . hotel bad place stay fact misrepresent . make matter bad friend mine check order single bed place room 2 bed . unfortunately unaware situation worth move . careful deal people . believe actually scamme extra 100 dollar . 
 Mar 21 2008 	 would definitely recommend hotel . 	 stay Murray Hill Suites 6 night single occupant . like review would agree modern hotel room extremely spacious , clean comfortable . desk dining table . also separate kitchenette house stove , ketttle , sink course range crockery cutlery . ask housekeeping require toaster and/ microwave , promptly supply . find kitchenette useful breakfast . staff helpful polite . woulld like say big hello cleaning lady floor ( 4th ) . find hotel noisy like review like hotel depend guest time stay . certainly street hotel quiet . , unlike noise hotel resident Times Square face . around corner hotel lovely delis , small supermarket Murphys bar delicious meal . various restaurant bar within walk distance . the hotel also situate good location tourist . residential district Murray Hill within walk distance Grand Central Station . could see Empire State building room . also Times Square Broadway within walk distance , although unable walk far easily get around extremely good bus system . pick MTA Manhattan Bus Map . travel alll Manhattan bus use weekly MTA card cost $ 25 unlimited use . get subway station . great way see everything especially time short . taxi also relatively cheap . would recomme Circle Line boat trip take Statue Liberty see Manattan river , helcopter trip also go top Rockefellar Centre , give great perspective whole Manhattan . one warning - give call & quot ; psychics & quot ; wide berth ! ! ! ! Lets say Ms Lisa around corner hotel could see come . 
