awful 	 bed hotel worst ever sleep hotel . feel like super cheap mattress pillow bad , . open air window bathroom bedroom , shutter , ok not want privacy . service good , nothing important comfort , especially bed . exhausted lack sleep make trip less enjoyable . pay $ 48 PER DAY park . would stay mid city , know . way much money low quality . 
 Fabulous Hotel 	 reading review , little skeptical visit . say , could not wrong . customer service great top notch . room Great . big enough three people . great city view . stay 32nd floor . bathroom make little weird slide wood door wooden shudder , still maintain privacy . definitely stay . downside hotel parking . cheap parking ANYWHERE around hotel . business center cost $ 6.95 per minute .50 additional minute . needless say , do not laptop , able get online . 
 Oct 15 2009 	 Overall Nice Stay 	 W Lakeshore locate along water seem like great location warm month . 10 minute walk Michigan Avenue , shop . overall , nice stay W. lobby cool club - like . room simple would think . since stay W Montreal , would expect color fur ! room asian inspire like lounge chaise window shutter open room . staff nice helpful ask , go beyond . happy value receive consider spend $ 200 night . clean comfortable . 
 Oct 12 2009 	 W stand WOW ! 	 great place ! beautiful hotel , comfy room , lot amenity . workout facility top line indoor pool overlook Lake Michigan . 
 Oct 8 2009 	 Unique enjoyable stay 	 interesting hotel . service great sure arrange free ride local attraction hotel Acura MDX . problem bed high need stool get not miss unusual lobby restroom 
 Oct 8 2009 	 Great Style 	 love design room ! small , crowded . 
 oct 4 2009 	 stay away 	 good location ... horrible service . bike steal property ; hotel could care less . Room nicely decorate soundproofing must poor ... could hear everything hallway . really worth money . 
 oct 2 2009 	 Loved Bliss Spa hotel could loose ` ` cool attitude '' 	 bed comfortable , one lamp not work room service beyond bad . room appear renovate , poorly , hotel clearly 4 star , W rate . bad , be nice location , good view . crux & quot ; cool & quot ; attitude . 's antithesis starwood brand Westin Sheraton . well option Chicago . 
 oct 2 2009 	 smoking room ... sure not mean view 	 stay lot W Hotels . see ... . staff nice , exceptional ( Mark Bernardo ) , Acura experience folk see way much we . actually little excited hotel : across street beach , beside conference Navy Pier , walk distance MI Ave , pool ... go story . we check hotel . room 925 view people work office ( city side ) , room small , furniture chip , room blah . smile , stay free free weekend redemption . refuse even comment often bemoan shutter separate bathroom bedroom ! well , say , not know anyone ... anyone , comfortable share necessity time like without turn shower noise buffer . little thing not add . always young traveler , grandma complain music elevator . whiskey bar upstairs nice , little bland decor . bartender terrific . next morning call whenever / whatever coffee maker send , promptly arrive . lady kind enough set start we . glad move Sheraton Towers check , W bad ... not wow like usual . blame W 'd bit ... taking break they . like : location , Acura Experience , pool , staffdislike : city view smoking room , amount people not think guest float around , pay internet ( , will not walk lobby get free ... bring ) , overuse W brand moment ( tired much work travel ) overall : be great young traveler , walk place will want go , easily cab anywhere else . not know MTV , probably not stay W. complain afterward . otherwise , will likely stay future , upgrade suite . 
 Oct 1 2009 	 Love ` ` W '' ! 	 stay night business trip . King Room ( # 2017 ) . bed one good ' ve sleep far hotel go . loved decor overall set . especially love Bliss Ammenities ! bathroom shower , tub , case 's issue . hotel walk distance ( 4 block ) Magnificent Mile , close hotel 's priority . one nice touch W & quot ; Acura Experience & quot ; complimentary Acura Shuttle service 5 mile Radius . start noon ... book lift Shopping District driver informative helpful find look for . lobby cool vibe bar busy ( Thursday night ) .I would definitley stay ! 
 Sep 28 2009 	 W CHICAGO Lake Shore Drive 	 W Lake Shore Drive hip hotel right Lake Michigan . arrive train NYC get early able check great room face lake . bed comfy ' ever stay . yes , bathroom configuration bit weird shutter open onto bedroom mask noise within . ' know except give view lake inside bathroom . book architectural boat tour concierge fabulous . every W hotel include free Acura drop service must book advance . get ride boat tour well John Hancock building evening . visit signature lounge drink view dinner . wonderful place see city high . Dinner Bistro 110 disappointing ' recommend although concierge . W Hotels whatever / whenever button phone request anything . time disappoint ask help bag check , bell hop never show even though call twice . pleasant stay , great location view sublime . 
 Sep 25 2009 	 great view Navy Pier Lake Michigan 	 Hotel right lake Navy Pier , tourist restaurant , boat trip stop double decker bus sightseeing tour . 20 minute walk Magnificent Mile shopping area want shop might well stay close . apart Navy Pier , be not much way shop restaurant nearby , can not beat view lake cab Michigan Ave ( shop ) Rush Street ( bar restaurant ) easily available . bar top hotel cool although corner rather front look Chicago rather lake . lot review complain lift true sometimes wait 2 3 minute lift , be not really issue . breakfast serve lobby restaurant outside front hotel . unfortunately far Lakeshore Drive , quite busy dual carriageway still nice spot breakfast . staff friendly room service breakfast late one morning , do not pay . 
 Sep 17 2009 	 good water view pool area 	 stay W Hotel W Chicago City Center . stay business . would recommend City Center location business travel think quieter , cool atmosphere also well room . location offer free internet lobby , pay internet access room . the Lake Shore location room plain think lobby incredibly crowd noisy . room great view water ( request water view room ) . additionally , stop fitness center 's really nice modern . great indoor pool sundeck area . location seem like perfect spot be vacation also want time relax within hotel . 
 Sep 15 2009 	 Nice Hotel good location 	 think hotel great location pretty easy get airport .. love public transportation ! situate right across water , road lovely . not issue noise anything either , nice . not try restaurant opinion . get good deal priceline.com bonus ! room nicely decorate , kind swanky type place really modern & quot ; shiny & quot ; : ) would not call 4 star hotel nice . downside must one staff mediocre good , get do need do not overly enthusiastic anything . one valet guy really awesome though , one stand great . not need lot attention , great place . be pretty easy going not matter we . oh , free internet lobby , room . u pay get room . we also near north walk food tour alot fun expensive hit free zoo . take whole day great sight see learn city , recommend tour ! 42 / pp ! 
 Sep 7 2009 	 unimpressed 	 stay W anniversary live suburb not want long drive home late evening dinner . arrive ten four tell run 30 minuet behind . consider check three , pretty poor . hour half past list check time , really ? be pathetic large hotel chain . room ok , dark pretty small . dinner go Whiskey Sky , tiny joke , back room decide take shower . turn water loud think pipe go break ! ' m positive neighbor could hear , hear sound come another room next morning . finally breakfast next day restaurant lobby , $ 8 orange juice , give break ! stupid bench waiter slide slide , sit , ridiculous . place try hard fall short . glad leave . 
 Sep 7 2009 	 management care customer ! ! ! ! 	 check time 3:00 . get room till 4:00 parent could get still 5:00 . tell could get room 3:20 . talk management oh well attiitude nothing . room nice service absolutely horrible . plan go anywhere hurry take get elevator . cost $ 15 get interent also . stay ! 
 Sep 7 2009 	 Dark Dismal stay away 	 stay close Navy Pier hear W & quot ; trendy & quot ; place stay . & quot ; Trendy & quot ; case , mean particle board furniture shoe polish touchup accent non functional window blind , blare elevator music , cough drop moth ball smell hallway , dusty glass $ 6.00 bottle water . room service never show left get breakfast . 
 Aug 29 2009 	 rate 	 husband stay W birthday say not even worth price pay thru hotels.com ( get almost 100 dollar less advertised price hotel ) . even , not worth it . I check ( early ) room ready nice . however , pay king room still get 2 double . view nice could hear jackhammere even 12th floor . call front desk get room see 2 double , call & quot ; whatever , whenever & quot ; remind reserve king room . tell would get right back .... 20 minute later , call still not take care . say forget . & quot ; whatever , whenever & quot ; guess feel like . room odd smell . know suppose retro really kind cheap trailer look . impressed . side , valet parking free : ) , would not recommend one . disappointed . 
 Aug 19 2009 	 Glitz Substance 	 negative side , lobby simply pack people throughout day due pack bar location 10 ft away reception . elevator frequently back , cause line . wall thin . 's tall building , though , nice view room window . overall room decor fine clean . location convenient beach & amp ; Navy Pier , downtown . will cab , least always cab wait outside . overall would say be simply visit Chicago want see sight could probably find hotel much well location enjoyable atmosphere . 
 Aug 17 2009 	 great location Nice Hotel ! 	 Hotel Hip place 's be look , like location directly across Navy Pier right heart Streeterville far downtown Loop area . little freakout first Shutters Bathroom not problem . staff helpful . 
 Aug 14 2009 	 true W Experience 	 w unique brand hotel hear people knock way thing . fun experience ; chance feel hip , place escape normal hotel structure . love place prefer stay W ther one around ( many unless big city ) . rarely travel leisure great place let loose . plus can not beat location . W Chicago review sound simlar ... encourage people navigate website leave preconception door . we really need kind place life applaud fact somwthe different . definately step right direction hotel industry . 
 Aug 12 2009 	 Terrible Customer Service - Front Desk Management 	 get back & quot ; experience & quot ; W Lakeshore less pleased . upon checkin able receive key . trip pre - pay father - in - law birthday gift name reservation . name name reservation , due hotel error . Due & quot ; security reason & quot ; could check contact hotel give approval . understandable extent , name reservation due book mistake . ok mistake lady desk buy we drink wait get hold father - in - law ( lawyer happen stuck court ) . enjoy drink bar walk lobby find bathroom bag ( unload car valet ) sit middle lobby completely unattended . check - in time least 100 people lobby . number thing could steal ! alert front desk ask want . girl desk talk like real guest stomp manager clearly seem like ask something question . manager also act like line ask bag store . 3 hour later able check room wait hour get bag deliver room . end stay end pay $ 48 day parking even though book room promotion free parking stay . front desk ask & quot ; prove , & quot ; exact word . not record promotion advertise . guest really need documentation ? trip gift confirmation information we , reason pick hotel free parking promotion . website book room still list promotion still valid week ! ! ! ! ! overall totally incompetent snobby front desk management think since work somewhere nice mean snob . news flash , stay hotel cost monthly paycheck ! waitress nice man deliver bag room also nice , exception ! MUCH well place Chicago stay ! never spend another penny W hotel ! 
 Aug 11 2009 	 Three Star Best 	 recently stay 5 night hotel . dissapointe . arrive around 7 pm long flight exhausted . welcome enter lobby loud rock music like trashy nightclub . one expect & quot ; 4 Star & quot ; Starwood Hotels . wait least 5 minute get elevator lobby area get really cram around lift . room 28th floor nice view lake Navy Pier . room small side immediatley obvious really cheap makeover mask old bone . big dissapointment air conditioning unit . hotel fit universal air conditioine hallway etc air condition . room a / c unit noisy wake least 10 time night squeaky noise fan unit . bed rather strange sit wooden box . similar bed get Westin fine linen scarce . shower ok although water leak onto main bathrrom floor peel wallpaper wall . laugh notice 1 bathrobe ( even book 2 person ) . already read previous review . call coffee machine another normal inclusion decent 4 star hotel . hotel DVD rent program think good idea . location good short walk Navy Pier Magnificent Mile . starbuck , 7 Eleven McDonalds within one block handy . Wine Cocktails hotel expensive ( min $ 10 ) consider ambiance loud rock music every night . walk hotel find much well value nice lounge type music often live piano etc will not get W. hotel popular young family feel like use pool , forget always busy little one fun . summary hotel dissapointment near 4 star grade Starwood expect . not mind disrupt sleep a / c unit , loud trashy rock music public area guess hotel may suit need . like many review lot well value money elsewhere city . 
 Aug 11 2009 	 really nice great location 	 friend stay Lollapalooza weekend . have worry bathroom situation ( little shutter oppose door ) not problem . book hotels.com pleasantly surprised get room 27th ( 33 ) floor -- would think would give vip guest . obviously location wonderful ; telescope elevator could look Navy Pier lake , quick walk club , restaurant shop , cab easy come . excite Acura car service run 12 - 8 never get use . love Bliss bath product , one robe bathroom , seem odd . staff helpful question , breakfast order room service arrive quickly , not great -- definitely worth surcharge tack already expensive price tag . make use Starbucks 7 - 11 block , well parking lot $ 16 / day cheap hotel rate . I luxury - hotel - type person , will probably go back Hampton Inns , definitely fun splurge thank hotels.com rate . 
 Aug 8 2009 	 Awesome hotel great location ! 	 actually hotwire hotel quite pleasantly surprised quality hotel receive price pay - well - get complementary upgrade lake view . highly recommend hotwire do not ' mind take bit chance location - although tip find location commit . 
 Aug 8 2009 	 pleasant surprise ! 	 read lot negative review hotel , one would think go someplace else . boy , wrong ! book 3 night stay everything go well . staff accomodative beginning end smile . room tad small w/ 2 kid tow room look nice clean . forget mention free coffee , bottled water , internet service hotel lobby ? see dread $ 3 coffee previous review . hotel management must read review make adjustment . prepaid awesome price hotel close eveything tourist crave ( beach , Navy Pier , Michigan Avenue , Water Tower ) . put kid evening , decide check night scene 2 hotel bar . definitely & quot ; married w/ child & quot ; type great & quot ; checkout hottie & quot ; single crowd cool spot people watch . wife part sip drink . conclusion , guess Forrest Gump right . & quot ; life like box chocolate , never know be go to get & quot ; . take chance see next time W . 
 Aug 7 2009 	 Bad could well 	 definitely hip hotel . lobby cool invite Jamie Fox entertainer stay . fitness center excellent wife daughter utilize Bliss spa love . offer 2:30pm late checkout . room average well . small need update . comforter sheet stain . internet charge $ 14.95 ! concierge helpful , friendly . bad thing stay traffic noise . stay 12th floor , lake view room , overlook Lake Shore Drive . traffic noise terrible hour night . would stay , would high floor . 
 Aug 1 2009 	 Sunrise Lake Michigan 	 select Hotel W Lakeshore Chicago place relax return 8 hour flight Europe tour state US . expect chill shore Lake Michigan would perfect . ... location Hotel W Lakeshore perfect : sit right Lakeshore Drive North book double double lakeview good view ever . also far Magnificent Mile ( Michigan Avenue ) find every kind shop imagine . the hotel loungy feel qualified boutique hotel one withlot room . breakfast good expensive . room nicely decorate well - keep . room service good too . on trip Chicago would stay . 
 Jul 31 2009 	 Perfect location hip hotel 	 stay W Los Angeles think Lakeshore Chicago much bright seem much busy . think location good part , right across lake Navy Pier . access easy via underground tunnel yard along street ( road hotel lake ) .The lobby , bar restaurant overlook lake floor ceiling glass door allow light flood gorgeous view access point . seat sit watch world go front well restaurant seating . I breakfast restaurant , smoke salmon & quot ; pizette & quot ; . excellent coffee great . platinum SPG member upgrage suite . extremely & quot ; cool & quot ; comfortable . great living room , 2nd bathroom etc . bedroom ensuite bathroom fantastic . ( photo be attached ) . would certainly recommend hotel anyone visit Chicago . oops , almost forget BLISS spa ! Bliss spa locate hotel . wonderful treatment available . love massage facial go back room robe without get dress see general public ! ! 
 Jul 26 2009 	 big disappointment 	 W partner 's favorite hotel , birthday thought could go wrong choose hotel . disappointment . hotel busy , full kid teen , loud music . wall room paper thick could sleep first two night noise . lift dirty full finger mark , tea pot smudge butter room dusty first day leave note ask room could clean . dvd library service think quite good take hour bring dvd . W seem sell view , beautiful , brand . nothing else . 
 Jul 21 2009 	 nice location cool lobby area wear interior room ok 	 Location ( 5/5 ) : lake .. close enough Michigan etcLobby ( 4/5 ) : nicely do , club like ambience , little small thoughother interior ( 1/5 ) : bad , corridoor smell staleness moistness look wear outRoom ( 3/5 ) : ok . nothing specialservice ( 3/5 ) : couple interaction hotel staff not helpful ( e.g. , ask nearby area , etc ) Food ( N / A ) : not try 
 Jul 20 2009 	 Fluff Substance 	 may think slide door shutter bathroom look nice , not muffle sound shower , sink toilet person room always disturb . further dysfunction achieve motion activate air conditioning . work someone move room . not move much sleep a / c would shut make room excessively warm . green good , cost good night 's sleep . 
 Jul 19 2009 	 good w chain adequate . 	 property need little updating . iin room , pull cord shade broken shade fray . decor & quot ; ok & quot ; room small . however , view good like fact hotel Acura take we around . would probably stay high list . 
 Jul 16 2009 	 Fancy ! ! ! 	 like dark decoration room , kinda modern & amp ; trendy style . I also like breakfast hotel . 
 Jul 13 2009 	 bad W Hotel ever - horrible 	 exception lake view room ( nothing hotel ) , hate everything hotel . noisy , kid run around , garbage bag clean cart middle hallway floor morning long ... mention start knock door clean 8 am forget Disturb sign . dare order food . take 20 minute get coffee bag , even pot . a thing . 40 look 40 . go whiskey bar ( roof top ) 4 people sit drink . ask ID hello . the place drink lobby ... zoo . Vegas , cheap hotel lobby ? get picture . use W Hotels New York . Chicago Lakshore ' decor ok ... even close , grown - up allow . horrible . bad w ever . never go back split time NYC Chicago . 
 Jul 10 2009 	 ` ` W '' really ` ` Club W '' Pick another hotel 	 look nice girl trip Chicago winter , mean skip hotel . flight we arrive 8:00pm hotel Friday . enter hotel lobby cover people smoke drinking second take aback could not find check - in area . people sooo rude , could not understand . get incrrrrrrrrrrrredibly small room ( nice view lake , might add ) put toiletry . room awkward plantation shitter close bathroom bedroom unless u r husband bit awkward privacy perspective . & quot ; Whiskey Sky Bar & quot ; top level hotel ( pretty forgettable , really people consider fun ? ) guest hotel share elevator patron come hotel & quot ; get drink & quot ; . Yuck , girlfriend unfortunately recipient someone cocktail misstepped lose balance elevator . spa forgettable expect shower spa -AWESOME ! ! ! serve brownie like say add COFFEE dang blab place- awefulllllllllll ! ! ! ! complain write detailed letter , know get back , invitation try again- dime . kidding ...... apologize , give partial refund even invite back reduce rate , ask come back . go ever ! ! ! unless really need drink can not afford one . step elevator , sure taste someone 's alcohol ! ! ! 
 Jul 7 2009 	 never . easily describe ` ` urban cheap . '' 	 thankfully , spend much time hotel . room small - get shaft two full bed , rather queen , two queen king . bathroom part room wooden slide door . cable go . card key replace several time - card require use one elevator entry fitness area . fitness center consist treadmill , elliptical , bike , set dumbbell several machine . one free - stand bench ceiling short standing exercise . vend machine , $ 6 / bottle Fuji water room , among snack , over - price room service . hotel 's web site talk & quot ; moment sun sparkle window awaken sky & quot ; - even cheap window shade would go . Chicago amazing city - stay W Lakeshore negative aspect trip . care try another W , stay W Chicago - City Center , incredibly different hotel experience touristy , poor attempt modern hotel , Lakeshore location . 
 Jul 6 2009 	 Great Hotel View 	 stay hotel day girl spa getaway . beautiful room gorgeous view . spa wonderful . Bliss spa let we use sauna / steam room day appointment not time use facility day appointment . hotel also offer free dvds rental . room service bit slow time though . concierge helpful direction dining suggestion not always able reach phone . also take advantage 2 free ride Acura promotion . main downside hotel little bit walk magnificent mile . overall , great relaxing time . 
 Jul 6 2009 	 Hip hotel pricey . 	 wedding last summer overall pleased . agree previous poster concern room block . group spread floor . guest room clean modern . hallway not nearly dark w citycenter . the suite great . large living room , great walk - in shower sweeping view Lake Michigan . 
 Jun 22 2009 	 stink stank stunk ! ! ! ! ! 	 go Chicago good friend 's daughter 's wedding . reserve block 15 room . , understand block group room floor least within floor . case . one floor ! bride & amp ; bridesmaid , groom & amp ; groomsman , family , friend ! arrival , mother bride request coffee pot 3 room ... , grandparent , uncle . confirm email , would coffee pot upon check - in . ! morning first night , call request coffee pot . hour later gentleman arrive fresh pot coffee state sorry inconveniece would get we room coffeemaker ASAP . finally arrive dinner time . bride make & quot ; welcome gift & quot ; wedding party place room upon check - in . hotel state would happy deliver , would $ 4 charge per item . problem . however , lobby , bride notice man check , one , two welcome gift ! member wedding party ! sure charge delivery ! booking , mother bride book 2 Acura 's transportation purpose wedding . confirm hotel email . day wedding , call confirm Acura reservation tell & quot ; not can not help time . & quot ; ask could call get us 4 van taxi 's 5:00 wedding start 5:30 . state would call right away . go downstairs ... van taxi . upon question front desk tell , & quot ; uh , well , call . sorry .... & quot ; oh GOD ! ! ! ! hotel quite beautiful service stink ! ! ! not even try fix & quot ; broken & quot ; . act though could care less happy . 
 Jun 9 2009 	 Great Vibe - Great Hotel 	 Vibe hotel great . love chair outside look lake . bar , upstairs downstairs W -- cool trendy . room clean update . highly recommend hotel . fave city ( point ) . 
 may 19 2009 	 Best W Midwest 	 W Lakeshore great place stay Chicago especially summer across beach ! gold SPG member , always get suite late check . though room could use remodeling staff view fantastic . GM room service , staff great . Bliss great . 
 May 14 2009 	 great hotel great location . 	 hotel cool lobby bar upstairs . room really nice location great . walk distance many restaurant , shopping , etc . 
 May 4 2009 	 Old Holiday Inn turn W show 	 stay weekend celebrate anniversary without travel far . always stay starwood property get great winter rate think . lobby well design , large comfortable . unfortunately , rest hotel not . hallway dark confine room leave much desire . realize use budget hotel remodel , feel like . ceiling still popcorn stuff carpet feel wear dirty . bathroom small nice course great Bliss amenity . room lakeside tower nice view many hotel Chicago offer . one really great plus front desk . find anniversary return dinner bottle champagne strawberry room . nice champagne , $ 125 room service menu . impressive . go Chicago want stay starwood hotel W Westin River North W Chicago City Center well choice . 
 May 1 2009 	 View Restaurant terrible 	 View restaurant serve horrible wine $ 18 / glass . first try Pinor Noir , horrible , switch equally disappointing Cab . Randy Gerber embarrassed name associate place . stay hotel 2 night glass pile outside door adjacent mine time check out . it difficult sleep continuous overnight noise Lakeshore Dr . 
 May 1 2009 	 enough thank . 	 try place ' m Chicago business time want something different . hotel contemporary feel little trendy . find staff generally helpful . room spacious well keep , put $ 9.00 bottle water bedside relatively high price room service . choose eat mostly . business center nice finally find , hotel seem pretty popular choice . security dark little annoying , ask everyone room key even let lobby ( 7:00 pm ) . need room key go anywhere elevator anyway , think little excessive make wonder clientele . clean hotel decent choice , definitely well hotel downtown value . 
 Apr 28 2009 	 W Hotel - Staff great ! 	 Chicago business spend entire week hotel - must say stay great . long day office done - walk everywhere . staff helpful .. wakeup call time , car deliver door within minute ! pay parking internet give downtown - view lake comfortable bed wonderful ! Brit Scots business partner love W ........ next time plan stay long use spa . 
 Apr 24 2009 	 never fail impress ... 	 recently stay W Lakeshore conference really enjoy stay . room always clean staff courteous . think favorite thing property cater young , fairly affluent professional . lobby lounge nice relax without headache & quot ; tourist & quot ; convention road - warrior . nice job W ! 
 Apr 17 2009 	 W Hotel worth price 	 trendy hotel nice look room cool staff care customer satisfaction . suit worth price spa outstanding . never host party , cost high service horrible . 
 Apr 17 2009 	 W Lakeshore favorite hotel Chicago 	 go Chicago time year fun weekend . W Chicago available favorite place stay . pro : exceptional staff , knowledgeable concierge & quot ; whatever , whenever & quot ; program great . great location walk distance Lake Michigan shop Michigan avenue . short cab ride everything else . well equip fitness room seperate cardio weight machine area . Bliss spa great . happen bar top W nice casual bar lobby . comfy bed high end touch would expect w.con : room bed small . 
 Mar 30 2009 	 Great Price Great Location Decent Room employee could care Less 	 hotel gear young crowd . ' m 40 guest old I . I pay $ 150 per / night Hotels.com get & quot ; Spectacular Room lake view . decor nice , nice plasma tv , view nice . room clean . good part hotel location 8 - 10 minute walk attraction Michagan Blvd Navy Pier . also free shuttle take anywhere within 5 - mile . find save lot cab fare . negative hear people walk / talk hallway ( although usually happen hour would expect people awake . hotel 5 night happen tiem . ) never awaken middle night . could hear tv people talk room next time day not happen night not disturbing . the curtain shade not great job keep light find little annoying morning sun come side & quot ; Block - out & quot ; blind . problem even pull blind well . open shutter 's bathroom bedroom fine alone trip ; however , would little uncomfortable staying someone little privacy afford shutter close . the staff treat number guest . distant . all , get pay . get reasonable rate feel get good value pay . look high end hotel place . look decent decor , great location clean room happy . 
 Mar 28 2009 	 Nice Hotel 	 since stay want write review . first check look trendy . music play lobby/ living room always upbeat tranquil . room city view nice . hotel anything would ask hesitation . hotel far fair ground probably 10 15 minute walk . place would suggest cab drive . ny attend Cubs game also amazing . hang living room drink relax . concierge also great help destination place eat local Chi - town treat . future would go back hotel . new hip trendy hotel club like atmosphere would recommend . 
