great 	 huge waste money ! think Starwood Hotel would nicer end . first night ok , little could heat cool room comfortable . could leave air keep fresh air circulate blow head night turn suffocate room dead air . fine line AC heat . expect bed would caliber Heavenly Beds Westin . ! bed awful feather bed pad crunchy . exactly want lie . feather one thing , feather quill another . make bed super hot thick , hot duvet use . San Francisco , Siberia . bit overkill . second third night get pleasure listen yappy dog night long dog not bark owner busy yell . wall thin cheap could hear every single word conversation room next we . call complain dog , lame story owner not suppose leave animal unattended come get send bagel coffee breakfast apology . thank , sleep would preferable bland cream cheese send bagel . call 3 time complain dog bark . give option move , pack family move idiot can not leave dog home . Dogs not baby , can not tote restaurant store . need stay home . disappointed W allow people bring dog ruin everyone 's sleep . lose business good . will back Westin . 
 Sep 25 2009 	 beautifully appoint Hotel near Union Square exceptional customer service 	 Fantastic view hotel prime location near union square , shop meca San Fran . also near BART bus pass right front hotel make easily accessible anywhere want go San Fran . the customer service on - par . arrive entire computer system shut even pressure high volume client walk , staff remain calm , organized , control . accomodate upgrade many guest nicer room short wait line . concierge helpful on - point recommendation new asian restaurant nearby make night illuminous . superior service ! decor upbeat contemporary culturally invite , love detailed touch like buddha accent lighing room , spacious bathroom , cd cd player light overall ambiance romantic posh . a wonderful overall stay , would highly recommend surely back near future . 
 Sep 18 2009 	 whatever room wow location . 	 W hotel really try hard trendy young . guess . ( almost 40 ! ) still , love Bliss shampoos stuff . wish expensive corner room little big price . small feel cramp . modern furniture wobbly uncomforable . I not like 1/2 hour wait check . one check person half time 2 conceirge , 2 bellman anything . feel offer drink XYZ bar wait ( birthday ! ) indoor pool look cool overly chlorinated . really wish go spa . maybe go visit spa stay . lot style lot service substance . 
 Sep 14 2009 	 nice Odd Bad W San Francisco 	 partner , son stay five night W San Francisco last week August 2009 . nice . good location across street convention center directly next door SF Moma . helpful staff especially concierge counter ' ( see Bad ) . light fill room ; may say light fill , corner 27th floor . breakfast restaurant well prepare timely although menu limit kid menu . odd . w try cultivate young urban crowd , part , succeed set environment attract . DJ ' dance music lobby , every employee dress black , dim lighting disco music pipe everywhere . odd part go little overboard . music play 7:00 7:00 pm , exactly breakfast tune . room several odd feature well . shutter window instead drape shade look nice however , want sleep , forget . light seep slat unless ' wear eye shade , ' wake sun . also bathroom door ' close like traditional door ; slide like barn door never quite make seal . ' also frost glass ' offer much privacy . room decore funk odd ( good way ) always clean properly . the Bad . parking good . first drive narrow driveway car park either side . large car unfamiliar rental car , could easily create gridlock tunnel - like entryway . arrive queue street someone leave car middle tunnel ' find get key . ' wait car checking , ' virtually place stand tunnel luggage . wait inside lobby drag belonging outside car bring . another bad $ 45.00 nightly parking fee . more bad . one occasion concierge MIA . queue four people ahead wait . sign would return . ( come W , " back ten " sign would go long way ) . check check counter get shrug . return offer apology absence ( 10 minute ) say go get sweater . another room issue AC would turn left room minute . return could take ½ hour room cool . know save electricity however , ' want sit stale warm hotel room 30 minute every time return . ( FYI W , four season Ritz ' turn AC ) . good stay we however , next time be go elsewhere . 
 Aug 30 2009 	 Awesome hotel ! 	 book hotel Hotwire excited hotel reveal . definitely four star hotel describe Hotwire . city hotel room good sized . daybe feature cool decor room . room flat panel tv DVD player . hotel offer selection DVD 's view charge . pool family friendly . far good part hotel concierge service . full excellent friendly advice . restaurant suggestion excellent . hotel great location next Yerba Buena Gardens Museum Modern Art . fee internet room . free wi - fi available lobby . the lobby one drawback hotel . appear try cater young hip crowd attach bar overflow hotel lobby seat area . however , hotel smoke free end big deal . the kid love free arcade machine lobby . also love dance music pump lobby , elevator , hallway . we definitely would stay . 
 Aug 25 2009 	 Worth Starwood point 	 come Starwood Hotel early week , expect stay W San Francisco even well Nines . disappointed moment step hotel . staff friendly check - in bell service . think room bite cheesy well . be try over - the - top posh , Buddha statue etc . try use phone call whatever , wherever rush dry cleaning guarantee 7 am struggle figure hang up- work Tech ! 8:30am call find , attendant say would call back shortly . get call back , call find , finally arrive 9 am , 2 hour guarantee . think cost Wi - Fi ( $ 15 ) reasonable , never ask approve charge , computer connect charge agree . room small ' m use size New York . think 's really tacky charge $ 4 small bottle Fiji water- even ' m travel work . say sleep well since bed comfortable shower head bathroom good water pressure would complain Bliss Spa Products bathroom ! food XYZ good- ' ve eat dinner past breakfast meeting time . selection good , price reasonable W. enjoy tahitian vanilla bean yogurt honey fruit . egg omlette look great well ! bar XYZ pretty loud , great grab drink would not recommend spend much time be try conversation people . 
 Aug 24 2009 	 great city hotel 	 like W every way . city hotel lack day . w right money . think ticked box leave we satisfied taste . would go back.internet not free though . 
 Aug 10 2009 	 whatever / whenever anymore 	 ' ve stay SF W Hotel , & quot ; whatever whenever & quot ; stop work . not seem able muster pleasant agreeable service . front desk staff act dishearten see , maybe anyone , arrive check . go downstairs lobby first morning front desk staff ( different one ) seem annoyed diffident ask could get cup coffee since not in - room coffee none make available guest least 7 am , i.e. , could not care less coffee important -- not important W. Things begin look worn , smell old around hotel room . room : room clean tidy , surprisingly small supposedly 400 sf . apparently & quot ; cool corner room & quot ; small / big other equal overprice be getting stick small one . maybe new motto could & quot ; everything price & quot ; $ 45 / night parking charge in - room wi - fi ( seem odd charge marketing hip ) . food : dine Cafe order room service . service spotty Cafe . room service dining inconsistent night night . fall love dish meal one night ; not expect get quality next . YUCK : probably bad stay smell vomit lounge area Sunday morning . use love stay W. great fun staff amazingly awesome make feel way . be pricey disappointment . bottom line : w talk big whatever , whenever , ' ve forget back service . happy check , not feel desire return . 
 Aug 6 2009 	 maybe family 	 room nice two adult travel two teenager bit cramp double room . decor new bit trendy cost stay could do bit space . bathroom spacious separated rest room slide glass door not mean much privacy person washroom . location good walk distance great IMAX theatre . lounge downstairs quite busy seem like could fun much travel family . go would without kid . coffee room . little thing bit inconvenient . 
 Aug 3 2009 	 trendy hotel ; worth value get upgrade room 	 stay one night business . Starwood Gold Member upgrade corner king room high floor incredibly spacious . cute sit corner , complete couple wine glass . major disappointment room bathroom . simple less decorate / update room . hair dryer old model ' ve see hotel room long time . would recommend upgrade hair dryer large , modern model . aware parking $ 45 / day plus tax . would suggest park one nearby lot own hotel . 
 Jul 31 2009 	 $ 375 / night ? 	 save money go Westin street . W dissapointment begin end poorly maintain . call room service twice ( not come day ) . whatever , whenever service great pick phone . usually ring . fitness facility disrepair one work treadmill one elliptical machine 500 + room hotel . reserve king room print reservation . could not give we anything two double check . make upset ' m SPG Platinum member ... first last experience W . 
 Jul 26 2009 	 Hip Tired 	 Lobby 's fill questionable eurotrash . Dark , loud crowd - not really welcome . Bliss Spa excellent , ignore tattoe male receptionist . 
 Jul 23 2009 	 typical Expensive San Francisco Hotel 	 husband stay , even though live 30 minute away since anniversary city early next morning anyway . look quite hotel , never stay hotel SF since live close decide splurge one . the W chain well know cater young affluent business / party goer , evident walk hotel . rude arrogant , decorate funky way . arrive 2 hour ahead check ( 3 pm ) call let know go early . get tell we room clean would wait lobby . free internet nice ( not provide wireless room , interesting not . like 15 - 20 actually get internet room ) . want hang downstairs give trendy vibe people come hang bar . anyway front desk guy rude . take cell phone number let we know ready . maybe 30 people wait room , 3 pm magically clean . basically not want anyone check ahead time , even though everyone know do clean . fabulous room 24th floor , king corner view . view AMAZING . pay lot view expect . cute sit corner nicely decorate . however decoration cover dust ( frame , fake tree branch , game , book ) . tv oddly small weird position hurt neck try watch . bed comfy , however sheet ( suppose one trademark ) wonderful . obviously bleach not matter threadcount bleach ever wash , long soft luxurious . also room & quot ; clean & quot ; feeling would expect price pay . bathroom nice could tell use LOT . overall hotel okay . sure open great , seem bit worn around edge amount money pay . like W hotel mean stay , feel city like SF probably find something little bit different definitely cheap . disappointment we . ( oh value park $ 50 , privilege car always ready go get ) 
 Jul 20 2009 	 Great W Hotel 	 usual W Hotel , funky , fun well run . business travel leisure book corner king would high recommend not business like . good location interested main shopping district . 
 Jul 19 2009 	 posh location . Close Convention Center . love . 	 ok , Starwood guy love W Hotels . one exception . located 2 block Moscone Center , hotel every possible amenity , include bicycle ! staff professional attend every need . large workspace , comfortable bed , good bar , else ask ? 
 Jul 10 2009 	 one nice W 's ' ve ever stay ! 	 expect lot W 's ( one favorite hotel brand ) , one not disappoint ! lovely room , ton natural light . impeccable clean lovely decoration . downside outside window need clean badly , filthy ! wonderful service , employee friendly helpful . the XYZ restaurant amazing food , good San Fran ! warning : ' familiar W hotel not look hip , fun place stay , might hotel ! research ! 
 Jun 28 2009 	 extremely disappointed ... would recommend hotel 	 stay one night W Hotel recently bad experience hotel long time . many thing wrong hotel surprise since tend travel California quite often . 1 . pull valet , extremely narrow space . not even sure suppose pull even though sign indicate W Hotel valet.2 . front desk agent fabulous arrive . inform different aspect hotel like spa fitness facility . welcome hotel offer room high floor phenominal view since first time stay W Hotel . room ready vacant need get housekeep clean . fine appointment need get anyways , however , not know time room would ready almost 2:30 p.m. ( 5 1/2 hour later ) . 3 . step outside catch taxi cab , one call taxi cab . walk side street either flag one find one yourself.4 . finally get room 2:30 p.m. , want take look item cabinet ( i.e . mini bar snicker , mint , etc ) . try good open cabinet could get open . call & quot ; whenever , whereever & quot ; button see could someone assist . rang , rang , rang ... one pick . hung phone dial ... one pick ... third time finally someone answer phone . tell could open cabinet say someone would open .. 5 . room smell terribly smoke ... non - smoking hotel get room , expect non - smoking room blow away smoke smell guest before.6 . tv work properly . would select channel minute later , would get preview movie wish purchase . 7 . give one bar soap ... stay hotel , prepared bring soap.8 . one light work .. frustrated call anyone fix it.9 . call room service around 8:15 p.m. light dinner . order dinner room service operator inform would 45 minute peanut butter jelly sandwich popcorn ... 45 minute make ? 10 . hotel 's information directory , state guest leave 30 minute departure order car bring around front - FYI . 
 Jun 16 2009 	 Wan na go back 	 Loved W Hotel . staff nice . give we free upgrade 24th floor overlook San Francisco . recommend excellent place eat . hotel great location . room comfortable . want go back . 
 Jun 8 2009 	 atrocious service 	 girlfriend arrive 10:30 pm Friday night weave way throng partygoer listen obnoxious , bad music . immediately apparent desk , dim light . one employee desk , involve lengthy interaction guy realize not even guest hotel , party attendee . acknowledge we . would easy enough say , & quot ; will minute & quot ; & quot ; will get someone else assist you . & quot ; could tell several employee mill behind curtain , one finally emerge make move help we , ask going find everyone else one desk worker break . finally someone come help we , quick painless start , ignore long time set tone rest stay . also think interested cater nightly party guest actually sleep hotel . else would internet free lobby $ 15 day room ? problem : -- bed sheet scratchy . bad sheet ' ve ever sleep , hotel anywhere . -- water pressure inconsistent , come pulse shower . -- iron break prepare meet friend dinner Saturday night . twenty minute tell new one would bring right we , call , take another ten replacement arrive . push dinner reservation back half hour result . -- dog bark nearby room throughout time prepare go Saturday evening . luckily stop time get back night . we cancel reservation less expensive conveniently locate hotel order stay . disappointing . 
 Jun 3 2009 	 Good OverPriced 	 stay one night W. pay $ 480 / night + $ 50 parking . Got & quot ; wonderful & quot ; room & quot ; city view & quot ; city view consist view adjacent building 's rooftop . 5th floor , clearly not get one room nice view . room amenity perfectly fine . comfy bed , clean bathroom , nice towel etc . personally find & quot ; Whatever / whenever wish & quot ; greet exceedingly corny . not like fact charge $ 7.77 credit card red bull supposedly consume room fridge ( not drink Red Bull ) . charge take speak accounting department , not keep eye credit card bill stay nice hotel . bottom line , fine , worth $ 550ish ( total ) end pay one night . 
 may 27 2009 	 great location 	 use Starwood point stay w pay stay due location . convenient Moscone Center across Howard Street , Yerba Buena Park across Third St , SF MOMA around corner , Nordstroms & amp ; Bloomingdales Market St fabulous mall , restaurant galore easy walking distance . stay four night room 23rd floor . elevator readily available fast . room small hip lovely -good bed , large flat screen tv , bed side radio / alarm ; view Bay Bridge , Embarcadero downtown spectacular . downside - room adequate small side , three shallow drawer stash clothe . assign wife , cram whatever shelf bed side table . likewise bathroom limit space put thing way . bliss product good replenish regularly . other note - coffee pot room - ask , one deliver room along packet good coffee . wife enjoy decent - great - overprice massage Bliss Spa . also find exercise area well equip useful work - out . hotel arrangement Acura dealership provide taxi service prearrangement evening . find useful , convenient , way congenial driver take we reserve dinner successive night - Slanted Door Ferry Bldg complex one night Gary Danko 's near Fisherman 's Wharf area another . high speed internet connection available room daily fee - free lobby area . unexpected surprise ringside view annual & quot ; Bay Beaches & quot ; race sort - of - parade unfold Howard St morning arrive . manage get snapshot wife - arm arm one colorful man parade nothing ten gallon hat boot . say - great location . departure SFO make use hotel 's Lincoln Limo wait outside . perfect way end stay fabulous city . 
 May 25 2009 	 ` ` WOW '' factor last long .. 	 friend decide take road trip SoCal SF choose W seem like chill place hang . lobby well appoint trendy furniture blue / purple lighting throughout . lobby actually double bar / lounge area . separate XYZ restaurant bar second level . drive , pay 2 night valet parking , end $ 50 / night . check - in uneventful way 20th floor room . bedroom functional special & quot ; W & quot ; touch , nothing really stand trendy . call front desk get & quot ; Whatever / whenever , wish & quot ; greet . extra towel , robe , toiletry deliver several time without much fuss . the pool fitness area ( WET / SWEAT ) 4th floor , along bliss spa . pool well heated , 4 foot deep . spa tiny ( fit maybe 5 adult ) hotel size , also deep , decent powered jet . the bar / lounge guest mid 30 's early 40 's , bit old hoping , nonetheless , music spot - on ; atmosphere almost clublike . end drink either bar look food . 11pm , XYZ restaurant closing option 24/7 room service . 2 order fry , creme brulee fry calamari $ 50 , inclusive . must also ate snack in - room pantry , 8 oreo cookie cost $ 9 ; $ 12 4 oz cashews , etc . big deal , pantry seem like business opportunity W convenience . overall good time city . hotel would earn 5 star rating ammenitie include base nightly rate . whatever / whenever come price . wish not charge $ 8 bottle water . 
 May 25 2009 	 Location Location Location 	 decide stay W Hotel location ; place within walking distance China Town , Union Square nice shopping district , plenty restaurant starbuck around . hotel lobby quite dark , ' busy expect , traffic elevator ' bad . room small bathroom nice size . get good deal Travelocity fabulous room $ 164.00 per night . restaurant hotel XYZ good give 2 point food quality . room service charge $ 3.00 per delivery +20 % service fee+tax hotel Jacuzzi , pool , gym spa 4th floor , pool 4 plastic chair , retro style sacrifice comfort time . terrace see cabanas website ' look like picture find empty space two cabana . stay hotel location ' . 
 May 19 2009 	 feel like home 	 live SF . must stay hotel move dozen time . SPG Gold always upgrade corner room top level . know know treat like family . ever since new remodel love hotel . however , W never upgrade suite . hope one day summer ....... 
 May 11 2009 	 Trendy / Chic would expected 	 spend Mother ' Day weekend SF W.Hotel locate Art / Museum area , near Moscone Convention Center . Hotel 3rd Howard . cost shuttle hotel $ 17.00 , taxis $ 35- $ 45.00 SF airport . across street Yubera Buena park . ( nice park ) . many good museum art gallery area.you walk 3rd street Market Street catch trolley . offer free car service take we Wharf Area , find way back hotel . hard lot bus , taxis etcHotel tourist area . like since visit SF many occasion . room standard size , clean . bed wonderful . room high floor could see Golden Gate Bridge . Bliss product ( smell great ) bath area . Bliss Spa Exercise Room locate 4th floor . pipe Music blue light seem always hallway ( hallway smell nice ) lobby / sit area attract ( seem ) young professional Happy Hour . ( although see child old person area ) . free WIFI lobby . a negative point , Hotel room overprice well food drink ( mix drink $ 13.00 ) . coffee room , would nice touch Starbuck Coffee room ' want walk couple block get coffee . Staff try hard hip / chic come appear & quot ; artificially friendly & quot ; . stay many hotel domestic international ; recognize great hospitality . also please double check wake - up call early morning flight , would miss flight awaken early . realize lobby crowd Saturday night , hotel guest come first . overall good hotel stay 
 May 9 2009 	 Cool place COFFEE ! 	 love room ... excellent view city window seat ... nice large bathroom shower ... clean ... nice Bliss Spa sample ! expensive bar food ... room service breakfast consist plate chop fresh fruit vanilla yogurt dip large pot french pressed coffee .. cost ? $ 48.00 include delivery charge tip ... yow ! coffee maker room coffee available site reasonable price .. get dress run accross street local coffee shop ... ( Coffee breakfast sandwich $ 3.95 total ! ) one fancy mixed drink cost $ 13.00 ... go next day local liquor store ... music play throughout hotel 24/7 ... nice ... pay full price room ! ! ! check around deal ! expensive ! 
 May 4 2009 	 nice trendy hotel great location 	 enjoy stay W quibble . overall , staff great - always efficient helpful everything . public area comfortable trendy . room nice - standard size ( spacious San Francisco ) well appoint comfortable bed , big desk , nice window seat , flat screen tv , iPod dock everything else need . bathroom nice size , clean standard Bliss product . room ' trendy ' though bit ' busy tranquil . one big complaint hotel 's bit noisy . high enough removed lobby noise hear neighbor hour . side good sound system TV iPod dock hear everyone else 's . reviewer complain fire truck not notice - , San Francisco city , anywhere . location good neat neighborhood far various sight transportation . free local car service Audi SUV nice , . overall , would stay . 
 May 2 2009 	 try Hard Cool 	 hotel try hard cool hip come across stage . room ok , big disappointment go lobby 6:15am ask get cup coffee tell Strbucks next block . hotel go put coffee maker room , minimum coffee available lobby . 
 Apr 28 2009 	 cool good 	 second time stay W - first New Orleans 6 year ago . can not fault hotel issue except cost time 5 night ready leave . room nice little small , service great good location . find day walk dark lobby little irritating early evening small lobby bar pack people . main issue price - oatmeal , coffee orange juice breakfast $ 17 , bottle water room $ 8 . overall , be probably problem hotel . 
 Apr 10 2009 	 great option s.f . 	 stay W San Francisco couple time decide take kid . got great deal starwood website . hotel locate well soma district - near lot great cultural attraction . many dining option close also . W 's stylish hotel chic urban vibe . time feel home kid welcome . weekend lot tourist family hotel . room comfortable , decent size clearly step average hotel chain term design . everything hotel feel cool contemporary . kid get kick big window seat could read look city love chinese checker set room . room clean quiet . while not visit restaurant bar / lounge trip good scene go usually . Bliss spa nice fitness facility indoor pool . one hotel pool whole weekend kid ! lot fun . also kid get big kick old school Pacman machine lobby . play cocktail cool lobby lounge . also make sure take advantage free shuttle service provide hotel promotional deal Acura . bring wherever want go brand new Acura SUV . much well typical S.F . cab ! great option S.F . weather look business hotel , couple get away , family trip . 
 Apr 3 2009 	 great Stay -- -Even small detail address 	 enter hotel , employee environment hotel make wonderful stay . understand hotel recently remodel . love room , stay lot generic room .. far generic . room even smell amazing . toiletry Bliss , nice . even include fancy face wash . I love decoration , lighting room , even desk nice . location hotel great , attend event Convention center . probably not good location leisure trip . I definitely stay W . 
 Apr 1 2009 	 Party every Night ! ! ! 	 Party every night ! 1 week hotel . indeed , beautiful . however promote party every night . yes ... every night party lobby hotel go room go mess . accura service work . least , time try use available attendant neglect say well use taxi . consierge work pay clear cost fortune . receive packet purchase make internet ( AMAZON ) courage charge $ 25 per order . real nonsense . ticket show also cost twice number buy , mention water put room cost $ 8 small ! also estacinamento . one night , arrive place park party . 15 minute street inside car valet came say vacancy . fight say pay $ 50 ( be right - 50 buck ! ) per day place guarantee . internet : hall hotel charge , use computer hotel cost $ 6.5 15 minute ! RsrrsrsrsrJust laugh believe courage charge $ 6.5 15 minute internet.price expensive normal thing hotel quality medium . 20 year , like party every night mind pay absolutely everything , right hotel . ... never go backp.s . : sorry english :0 ) 
 Mar 19 2009 	 W Hotel San Francisco : New Type Hotel Experience 	 first , location could perfect . locate next door San Francisco Modern Art Museum across street Metreon , Yerba Buena Gardens , Union Square , cab ride necessary short trip . not even matter hotel new Acura SUV take need go , provide arrange advance . lounge downstair call & quot ; living room & quot ; game table , Ms. Pac Man , great music . furniture modern contemporary , yet comfortable . fireplace warm also modern . 's rather crowd Saturday night difficult get drink bar . room entice . flat screen tv , robe , spa quality bath product , great view , nice sound system . highly recommend hotel among many San Francisco , slightly funky experience . 
 Mar 7 2009 	 Super corner room 	 speak bar - love room service , great corner room think gym ideal . bad price . room vast quirky furnishing , huge couch usually sumptuous bed . def good choice SFO . 
 Feb 28 2009 	 W Hotel : glamour fancy 	 stay W San Francisco excellent location , adjacent SFMOMA step Market Street Union Square , major shopping area . get excellent offer hotel ' website , 170usd double room upper floor , spectacular view Bay Bridge . the Hotel lobby welcome give welcome funky atmosphere . W Hotels clearly tend attract cosmopolitan 20 / 45 crowd much fancy environment hotel chain . front desk personnel friendly check room gorgeous . full nice decorative design blue / purple Buddha light , pencil stand desk , amenity . bed sheet spotless extremely comfortable whole 4 night stay perfect . hotel provide wi - fi supplement room , free XYZ lounge near front desk , , especially weekend festive place . overall experience W extremely satisfy pleasant . 
 Feb 27 2009 	 one favorite 	 wife love hotel chain . try stay W city visit . think lot great place stay SF , great little hotel . can not beat hotel chain 's service ! not get wrong , ' ve one bad experience hotel call front desk manager clear treat we great meal . wonderful whatever , whenever service mentality awesome . love nighlife great dining , make sure speak Consierge ! folk know city great network get almost anywhere city . overall , great 20 - 30 somthing vibe , trendy , hotspot . live city 5 year hotel stay visit . p.s . ask high floor , corner room ... must ! 
 Feb 14 2009 	 Great Location Nice Hotel 	 Traveling business , get choice starwood property city , usually go W St. Regis depend location length stay . W similar other stay , good experience . wonderful location downtown , short walk workplace many business financial district . also close Union Square , shopping area . the hotel room chic luxurious . & quot ; whatever , whenever & quot ; service amazing , always . basically , hotel staff bring whatever want , whenever want , W San Francisco live standard . overall , would highly recommend W San Francisco , anyone travel SF business pleasure . 
