fantastic 	 first visit ... 3 night . great area terrific HighLine . state art design ... Standard Grill excellent .... could also tell good value people wait 11.00pm . room view fantastic . the 18th Floor Lounge awesone ... lift must unique . staff good great & quot ; different & quot ; hotel experience . 
 Best Hotel Chelsea ! ! ! 	 Excellent service -- -alway willing help anything . room awesome -- -great view Chelsea / Hudson River / Highline . peekaboo shower open room . Room King bed nice spacious 2 people . loved floor - to - ceiling window ! ! ! Hubby love huge tv mount wall . location -- -great esp . since Chelsea favorite area . easy find way around . only negative comment wish small microwave / fridge / coffee pot . survive without , big deal . 
 Nov 8 2009 	 great location - terrible hotel 	 stay overnight hotel - poor experience ! first , even find entrance street . lobby small , elevator dark . room joke - 's tiny so - call & quot ; peek - a - boo & quot ; shower - basically shower stall next entrance door . water shower would stop run . one soap bar bathroom need transfer back forth bathroom shower . completely agree previous reviewe - line function design , hotel get . bed low - almost floor ( sure trendy - plain uncomfortabe ) . plastic table room scratch . closet space enough 1 overnight bag - nothing else would fit . room deluxe one - even imagine standard room look like . checkout 12 noon come back breakfast 11:15 , key room deactivate accord hotel & quot ; policy & quot ; , make 2 trip key still work , reception person could find anything wrong . buttom line - not nearly worth $ 600 per night - would go back even $ 199 promotion . not waste money . stay gansevoort last trip go . 
 Nov 8 2009 	 never 	 return second stay Standard go backFor british businessman New York fast reliable internet connection essential first visit , standard good erratic : yet get help in - house technician pleasant able re - connect least hour try . tell iPhones individually connect ... not time test internet service phone staythe room small [ queen room much small Queen corner though explain website ] little clothe storage one person , let alone twoThe shower floor drain old soap sud float night unless attack towelsthe room 100 % soundproofthe light switch badly site , power point ditto scarceI try restaurant dinner seem always full , serve good breakfast thoughthe staff friendly , helpful appear deeply un -ntereste ' guest ' 
 Nov 3 2009 	 great location pooooooooooooooor service 	 great place stay want something hip service poor . stay corner room room size average shoebox . bathroom home depot deluxe , without bath not really bed , mattress ground . service pretty poor , room service plate not pick 24 hour hallway annoying video animation elevator drive nuts 3 day . location great , beergarten killer restaurant bad . order soft boil egg breakfast send back 3 time forgot boile . waitress say kitchen difficulty boil egg advise we order something else ( joke ) . party go hotel halloween night untill 3 be orso great want rave room bit annoying want get sleep . normal hotel experience price , book Plaza Peninsula , want hip amongst tourist , standard place ! 
 Oct 31 2009 	 fun friendly place stay . 	 wife wrap 2 week vacation spending weekend New York . decide try hotel . glad ! friendly service ; bellhop checkin staff room service staff ; everyone nice , everyone advice thing neighborhood ( border Chelsea West Village ) . hotel modern trendy , may everyone 's taste . room great ; view Empire State Bldg . surrounding . peekaboo shower certainly interesting experience . consider room New York notoriously small , room surprisingly spacious . short ; love hotel , would absolutely stay return NYC . 
 Oct 28 2009 	 amazing end NYC trip .... superb hotel . 	 decide split NYC trip 2 ... first , stay Midtown , somewhat disappointing MAve . oh please make Standard Meatpacking last . spend 3 night uber trendy hotel finish fab NYC visit . the area : wow .... must start say Meatpacking District cool , trendy , underground feel . may in - area right ( Hell 's Kitchen hotte big time ) , still meatpacke district , point . nice shop , great restaurant ( frequent Pastis ) , High Line park lovely give great chance explore area . really enjoy explore foot walk way Bleecker Street hit Soho great shopping scene . even go far walk way Brooklyn Bridge Tribeca Soho Standard hotel . walk , walk , walk .... stay hotel put great position explore foot . the hotel staff : staff encounter extremely friendly knowledgeable . read review say feel staff would barely look offer assistance . personally think though people confuse hotel service would expect find 5 star chain service one simply must expect trendy , boutique - esque hotel . staff amazing . room service , bellboy bag room , assistance front desk occasion ... every time , without fail , give friendly , cool service smile ... fake , top ... one would expect . robot ... staff personality . hotel : ooh la la ... be truly unique exterior 's super trendy interior , Standard really know put show . design supercool . bright yellow table / bench combos adorn entrance , lead revolving door , bring slick , sexy lobby . round corner pitch black elevator ... quit complain dark people ! 's design . know ... elevator pitch black , darkness , apart 2 adjacent video screen superb , ongoing digital video collage ... seriously love ride 14th floor . screen provide light , be like fumble around dark . arrive 14th floor , head minimal corridor room 1414 . number emboss huge , vertically , door , well small plate next door ( wonder add complainer could not ' see ' number door originally ) . enter room need moment compose view take breath away . see downtown , Hudson River , Jersey City , Madame Liberty distance , High Line park . floor ceiling , room wide , window superb . yes ... people see room beware , unless like put show . room also quite simply amazing . take Deluxe King ... perfect choice , room enough swing quite cat , clever use space design . bed , comfortable , loveliest squishiest pillow sleep long time . bath big enough 2 we ... kinda thing , 3 still crowd tub . closet space plenty typical weekend away New York ... solve suitcase ' space ' issue put case corner room table , voila ... nothing worth complain . toiletry provide Kiss Face ... hide daily keep getting take back home , lovely ! 1 downside room Saturday night , actually want early night , bar road outside area belt music till early hour . Brass Monkey think call . sound muffle , room insulation good , still , use earplug drown slight noise . issue solve easily ... use earplug , go join party . would put stay Standard again . all , highly recommend hotel . 's design , cool , great atmosphere , cater couple / single ... family ( secretly like fact ) . certainly , 100 % come back stay next New York . 
 Oct 28 2009 	 yeah great ..... 	 cool trendy hotel . fashion ...... lobby noisy busy evening people wait restaurant . hard find floor elevator hardly illuminate enjoy video show wall . peek - a - boo shower bed : UNBELIEVABLE , expensive ..................... great expensive 
 Oct 26 2009 	 Awesome Anniversary 	 wife fantastic time Standard back fun . staff Standard attentive helpful time arrive departure . lot NYC plan include u2 concert hotel make great base camp . post concert dinner Standard Grill excellent way cap evening . come think , eat breakfast , lunch dinner say good food good value . not forget go beer garden head town ! 
 Oct 20 2009 	 great new hotel NYC 	 stay Standard recently trip NYC visit friend . enjoy stay throughouly . design hotel superb - amazing view ! however , room little small ... guess 's expect NYC . really like location Meatpacking District . 's trendy party town lot go . ton great restaurant night spot nearby staff happy differentiate help find . go back future sure . 
 Oct 19 2009 	 Cool 	 find great online rate Standard Queen ( $ 199 / night ) .The hotel architectural marvel ( essentially build concrete stilt ) . new High Line Park travel underneath neighborhood fill boutique , art gallery , restaurant . 
 Oct 19 2009 	 Trendy New Hotel 	 brand new hotel Meatpacking District stylish trendy . Madonna night stay , wonderful roomy sofa 's . 
 Oct 14 2009 	 not even think ! 	 new Standard Hotel NYC real disappointment . doubt view outstanding room . mine could see Statue Liberty distance . bellman cute pleasant . however .... bed lumpy uncomfortable ; room make one day 3 day stay ; staff desk lot attitude ; difficult see elevator floor number panel ; suitable lamp bedtime reading ; crack window air street noise loud ; car not bring around despite ask one hour check wait another 1/2 hour ; waiter oh trendy Grill rude remove plate conversation ; could not find entrance door first drive hotel ! ! ! brother son architect join evening meal . designer . appreciate avant garde ambience hotel sure ...... .... good form must follow function . poor choice material ( already deeply scratch black plastic table room ) ( cream rug floor already show stain ) frequently light intentionally minimal .... ya need see floor number elevator ! recommend Gansevoort Hotel one block away . need view enjoy good night 's sleep comfy mattress pleaseant staff ? 
 Oct 14 2009 	 Sub Standard leave 	 apparently point request quiet room possible NY Standard , add insult injury seem quality control problem also mean total guess whether thing room actually work correctly ( one room another , tv working , truly scald water , drape break , etc ) . issue like dirty carpet , trim fall room overall low quality material poorly instal , bathroom design way show flood entire floor , ridiculously small closet hold couple day clothe two nowhere keep nec . suitcase fill remain clothe ( luggage stand either ) . aside view superficial attractiveness property hotel truly lacking , really miss fact form follow function . might even realize compromise extent unless move lodging , night day find real luxury price elsewhere . 
 Oct 14 2009 	 Sub - Standard . 	 hotel look great surface , good location , great view nice amenity dive deeply will find appeal skin deep . a variety issue mean stay cut short , lose night 's sleep , day vacation soon force find suitable hotel rest trip book week . poor craftsmanship maintenance mean scald water come bathtub , hot water shower cause smoke alarm activate ( dishearten lack response alarm safety front desk ) bathroom design cause shower water wet entire floor make slippery . surprisingly newish hotel , rug already filthy stain , weatherstrip around wood wall feature peel 3 room , tile chip curtain rod break ... insulation room mean hear neighbor move drape . Hope not bring lot clothe 's virtually closet space 3 - 4 hanger , make sure get one least four 8 & quot ; x8 & quot ; shelf . WC storage , lock huge gap hinge side ... mean make sure 's toilet paper first since housekeeping not replace , expect privacy since design construction telegraphs every sound . speak sound , not stay & quot ; Superior & quot ; side want rest , will right gem noise maker call & quot ; Brass Monkey & quot ; be open till 4 am . yes wonderful build quality tell mean will hear every hoot , holler bass note come outdoor section . might get lucky noise & quot ; Deluxe & quot ; room wing not bet , could hear racket 17th floor & quot ; Superior & quot ; room . watch room near elevator ice machine , will hear night long well . they restaurant bar never get try either , get turn away book private event fill overspill respectively . note hotel , tell guest 's book not rely come back bite . the staff try help honestly , not tool fix 's fundamentally wrong hotel . deal headache hotel , LOT , redeem quality view . 
 oct 9 2009 	 good need get sleep 	 impossible get good night sleep standard : early morning hammer drill vacuuming hall 7 .... construction work go past mid night resume 7 morning . constant activity loud conversation staff hallway room door - 8 without consideration guest . management seem care less client - course , NYC law allow construction begin 7 - expense guest 's rest - unacceptable . 
 Sep 28 2009 	 set standard ....... 	 first impression good , hotel construct massive concrete stilt look quite impressive . bell boy quick get we take bag , walk reception realise hotel brand new ... cut edge design uber cool feel whole place . elevator get good elevator ever , explain , go ! got room impressed design layout , room size massive , however bath certainly ! glass wall seperate bathroom living room enable watch flatscreen whilst soak .... dark arrive 14th impressive nightscape New York Empire state building mean feel wrong close curtain . go downstairs cool bar , full smiley face generally good atmosphere . would recommend anyone visit ny . 
 Sep 27 2009 	 ok price 	 excited stay new hotel . first impression check bellman good . arrive room , take shoe notice carpet wet . not mean slightly damp , wet . call receiption tell 100 % . offer bring fan help dry . gross walk wet carpet . could not wear sock get soak . definately put damper stay . there clock room , utilize cell phone see time . several spot carpet surpise new hotel especially since think steamed carpet . room service food good . bellman throughout stay super friendly helpful . construction near room . noise not bad , definately hear worker early morning . street noise minimum . location good view ( especially gym ) amazing . 
 Sep 26 2009 	 good experience NY 	 Standard recommend friend even open front door . book online- get amazing rate . first impression hotel doorman smile help hand . receptionist efficient helpful . room .... well ever stay Big Apple- view typically New York . night hotel rock hip bar restaurant town , mind- disturbance hte main hotel room all . all all- good experience NY . 
 Sep 25 2009 	 good overall hotel experience Manhattan hand . 	 hip , classy , totally place stay Manhattan right . greet unpretentious smile good customer service ( IMHO ) anywhere North America , right . ( btw , bellman handsome good uniform city ) food good surprising value , deliver room actual food service time - long take cook , hour dial . elevator must experience guest room cool , uniquely design course feature floor ceiling , exhibitionist - friendly window talk high Line visitor . stay , even one night simply must agree . loved ? everything . least ? check . 
 Sep 25 2009 	 Standrard overrate 	 good thing say standard visitor . meet many intersting people stay . say . Standard overrate : price assmall room high , service bad , aircondiotion loud . would recommend everyone stay etablished hotel like Bowery . ( people also interesting people , service room much well ) 
 Sep 20 2009 	 Love - Hate 	 love hotel time make we really mad . tiny room ( $ 600 night taxis ) uncomfortably small two people definitely well tiny room ' experience . huge window overlook East River , window bedroom bathroom help open room . however queen bed , push corner , make sleep uncomfortable inside person … and ridiculously inconvenient came get middle night . ' comfortable , two grow - up feel downright silly … not mention utterly overprice . say , bed comfortable , bed linen towel great , light well thought - out . big tv foot bed , front huge window , seem gigantic pint - sized room . however , design everywhere … every little bit place design visual interest . especially love black tile bathroom wc . however , turn faucet bathroom water cascade sink soak unsuspecting handwasher . try plug computer either unplug radio lamp , perch awkwardly bed . ( consider lack convenient electrical outlet totally unforgiveable new , purpose - build hotel . ) also think lack cordless phone lame . continue , closet tiny barely room one day ' worth clothe next thick robe ironing board . frankly , hotel developer Andre Balazs know well now . the staff friendly accommodate , creative environment balance , somewhat , annoyance . two favorite feature video collage elevator knit cozy slip steel stanchion outside . location lot fun . meatpacke district seem get well time . elevate Highline Park big draw . area full New Yorkers hip international seem dominate . people afford Standard ? 
 Sep 10 2009 	 Modern Good Views 	 boyfriend enjoy stay standard weekend . loved modern decor design building room . room small efficient bed comfy . go back would ask room view Hudson though give one view Highline . view cool , nothing stunning . appreciate beautiful hotel staff , feel like little pretentious . 
 Sep 9 2009 	 great HotelBut ......... 	 Great Hotel , brunch need tune sevice slow , waiter look lose time . the room good 250sqft .The guest fun group great time . the area good New York . 
 Sep 4 2009 	 great style location view 	 plan annual trip New York , want get away midtown hotel stay towards Greenwich Village . walk around Village numerous time , , always get lose , narrow street intersect way , without perfect grid system midtown street . also follow High Line project -- redevelopment old elevated railroad platform lovingly cleverly design landscape walkway -- well construction Standard Hotel straddling . discover Standard would open planned visit , eagerly book . able get good web - only rate similar soft opening rate hotel initially offer . the Neighbourhood . hotel locate Meatpacking district north West Village . straddle high Line quite impressive sight , 18 story tall . first visit area boutique Jeffrey open 14th St. number year ago . back area truly consist mostly meatpacke facility . still remain , become designer shop , club , lounge restaurant . nightlife active -- weekday weekend witness crowd 2 later -- people require little sleep and/or not go work afternoon , . course 6 day stay , see exactly 3 child area , daylight hour none within hotel . hotel offer queen king room ; 2 people maximum per room . the near subway stop 5 minute walk away . the Hotel Public Rooms . there large outdoor seating area front lobby , smallish stylish , bit retro look . elevator 2 unique video screen play mesmerize continuously scroll presentation , music . several lounge space ground floor , indoor , large outdoor ( protect ) High Line -- popular . restaurant Standard Grill adjacent , also indoor outdoor seating . yet open top ( 18th ) floor lounge / club , apparently pool , certain hot spot open month . surely velvet rope type place , would expect may difficulty ( least wait ) guest try return room . even , weekend security elevator , ask room key check guest name list . large gym 17th floor fabulous view 3 direction , include Hudson River . business center ( Wifi free ) spa . the Guestrooms . our web rate Standard Queen , upgrade south - face Superior Queen , slightly small room well view . apparently standard room face north , one get glimpse river . High Line Empire State Building , mostly one see large building build one block north . south - face room , virtually building tall hotel , one clearly see Downtown , southern tip High Line , much well view Hudson River , New Jersey Statue Liberty . inform check - in well via letter deliver room floor - to - ceiling window non - reflective , without drape draw , people see everything , apparently issue , base thing would read online . indeed , whenever look High Line , always people stare hotel . the room large , ' ve see small New York , thing design maximize space -- build - in seating area , 2 side bed place flush wall ( person strong bladder sleep wall ) . colour scheme black , white beige . flat screen HD tv freeze lot . the bathroom tile black laboratory - like sink counter fixture . bath product cleverly package . early TA review hotel mention flooding situation involve shower , bore witness room . shower enclose , small glass partition sink . water temperature control , volume ( true practically every hotel shower ' ve use past year ) , water naturally flow onto floor , slope enough towards drain . learn quickly form dam use towel ( large fluffy way ) contain water . indeed , shower , driest place bathroom bathtub , huge open bedroom shutter . toilet separate water closet . the Staff Service . the staff quite young stylish , courteous helpful part . male staffer seem outnumber female . one exception unfriendly room service attendant , midnight double duty -- take order mobile phone delivering order . this fun hotel fun location . 's 5 star place , strive , deliver front . , 's place family small child friend intimate . business . come Los Angeles , think Standard offer either LA Standards . 
 Sep 2 2009 	 Standard really make stay ! 	 ABSOLUTELY love Standard NY . ' ve stay LA Standard hotel work think trip NY would try New York one : not disappoint . innovative decor ( dreamlike elevator video entrancing ) floor ceiling window amazing visitor ny.i especially love super deep bath window room watch tv day pound pavement ! alone day NY , nice come back beautiful room every night . think would rather depress average hotel . good value money- not put price get really popular ! amazing . would live Standard could . modern trendy quirky without pretentious- staff really helpful friendly , know great place go eg vintage shopping Frueza Brutal imagine lot hotel would not tell . great location- right next Diana Fustenberg 's studio far Bleaker St love . even room service guy would stand chat day . food amazing Grill too- remember brioche LA Standard really chuff see ! want know is- get kiss dog salt pepper shakers- cute . thank much , fall love NY hotel . can not tell much enjoy stay already plan come back stay boyfriend 30th birthday next year . 
 Sep 1 2009 	 Super sexy love Standard NY . 	 not usually go Boutique Hotel Manhattan , friend tip , book room . city one night , stay make short visit . floor ceiling window know NY . great wake view Hudson . definitely sexy vibe wood paneling , low slung bed , expose show city look you . we come red - eye little bad wear , smile greet cute boy nasty little Bavarian - inspire short yellow check shirt . everything happy yellow include street level turn - style entrance . great transition sidewalk super sleek lobby , know arrive somewhere special . staff helpful get we early check - in possible , take phone number call soon room available . hotel good people work , A+.We spend day Met , Central Park check Galleries . return hotel never leave . meatpacke District great restaurant , amazing shopping , Chelsea Market , new Highline . recommend enjoy drink hotel lounge , bartender generous Vodka 's great people watch . miss checking view gym , next time . 
 Aug 27 2009 	 Standard New York Exceeded Expectations 	 travel New York business nine day . Standard New York provide home away home . staff everything staff housekeeping front desk . friend stay hotel equally excellent thing say stay . travel New York often look forward stay Standard New York . fly New York Las Vegas Standard New York local news Vegas next morning . talk unique place Standard New York . make miss bit . 
 Aug 26 2009 	 Need sleep 	 element hotel stay secondary get good night 's sleep- 's impossible standard : early morning hammer drill ruin otherwise well - run establishment.the truly pointless aspect construction work rarely take couple hour complete- hour could easily occur afternoon overseas traveller , night - owl , holiday - taker would much less - likely disturbed . yet , despite countless complaint clueless staff management multi - month stay , hammering begin next morning 8 am ( complete lunch ) . pointless insensitivity basic need guest , review standard would complimentary . mismanagement level border criminal . 
 Aug 1 2009 	 magical ! 	 stay 9 year old son 3 night . friendly nice staff . location fantastic , literally Highline ! walk around neighborhood , find cool shop unexpectedly . snack breakfast go Chelsea Market . great architecture . love lighting elevator lobby 1st floor . fab view bedroom .there something magical hotel . beautiful stay . thank , Standard : - ) 
 Jul 26 2009 	 NYC hot new bed 	 pretty sure Andre Balazs ' new hotel can not disappointing ( already respected brand , NYC king cool ) not expect much less 300 $ per night . say much mean : sleek corner room view trendy Meatpacking District incl . high Line , roomy bathroom stuff excellent Kiss Face organic product , tasty breakfast start day .... name . expect standard service truly New York style - everything go smooth easy , love staff attitude , mention good looking . ' m really look back stay Standard asap , probably September . place like Standard ! 
 Jul 25 2009 	 Sublime ! ! ! ! 	 sure , somehow hotel ultimate cool factor .... chic design decorate gorgeous staff breathtake floor ceiling view ... yet nice ... really nice . everything immaculate . linen cozy not want get bed irealized could take shower still see view . husband live city many year never experience quite like ... amazing ... can not wait go back 
 Jul 20 2009 	 Lots swagga 	 stay standard 4th weekend travel solo . upon arrive 10:30 , expect check bag head shop . however , tell room available allow check - in . ( Great b / c bit tired . ) also receive upgrade standard superior queen room . know expect upon arrival research hotel visit . well , many review get right . lobby typical pretty cool . hotel staff fab look friendly . room feel like cruise ship . not think b / c small actually design regard ceiling , low furniture ( Ikea like ) closet like toilet area . love floor ceiling window , view Hudson , peek - a - boo bathroom , AWESOME & amp ; SEXY . look romantic , luxurious , even elegant hotel , Standard . however , hotel ultra cool hip . neighborhood great plenty shopping dining hotel conveniently locate b / w uptown SOHO . oh , dine Living Room area work . service bit slow moment . get request service menu . afterwards , host attentive even recommend awesome drink . ' m already plan trip back August . hope get upgrade . 
 Jul 17 2009 	 Sexy Hotel ; 's Soft Opening 	 's sexy hotel , design - wise . room , though small , really nicely appoint . bathroom shower neat , window overlook city . people work hotel uniformly friendly , snooty . location neat , right new high line , cool thing happen NYC since redevelop pier . entire neighborhood great vibe . not try hotel restaurant . complaint -- even though hotel brand new , , fact , still construction top floor -- room already show sign little wear tear ( break lamp shade , mold wall behind curtain , must leak kind ) . would definitely stay ; hotel 's stay power depend whether invest maintain room , opinion . 
 Jul 16 2009 	 amazing style people location service pinnacle . 	 NYC business , usually stay different hotel base need work / event . time , however , business Chelsea Pier athletic complex , close option . work apparel , fashion , style market ' m always look something new different - find Standard . beautiful simple decor , amazing room set incredibly comfortable bed room layout , remind top tier place Norway Switzerland simplicity elegance . staff amazingly helpful several occasion need help . uniform hip , place come - one visit place , uncomfortable , even put style ... 's & quot ; uber hip & quot ; cool . location come 's shopping amazing night life - bar hotel excellent entertain client . dessert drink , fantastic food look fine . excellent overall experience - likely less expensive option , location sense service dedication . 
 Jul 14 2009 	 Loved would go back ! 	 kind staff , fantastic location appeal design make hotel winner . loved floor ceiling window every room . expansive feel view . definitely would return . 
 Jul 12 2009 	 enlighte skyline 	 get two room ; 12 - 09 11 - 24 . room view uptown . room offcourse stunning view . in close neighbourhood lot nice eatery restaurant . lunch several time here . the bathtowel big soft , wich like . watertap easy screw little hard wet paint , learn quickly . one late night head city turn light room , grab 2 cold beer minibar . lay bed watch window , enjoy awesome view enlighte skyline , recommend . I manage forget passport hotel safe . Witch first find taxi Van Wyck - road head JFK . time turn around call hotel , send employee taxi JFK passport . arrive minut airline stop check flight back home Norway . ` grateful . talk service : ) also put nice picture room hotel . ` planning trip brother definitely want stay 
 Jul 12 2009 	 much flash substance 	 travel almost every week stay lot hotel , design construction professional believe ever stay anywhere miss point hotel Standard . yes great view long look river , not look trash behind building . yes close nightlife , double edged sword builder obviously cut corner glass selection prevent noise interferre quiet time . believe stress two good point . room affect could go , highlight place use blow dryer wet room ( one bathroom ) . believe people know not use hair dryer stand wet area . hotel little choice . toilet & quot ; closet & quot ; ont opposite side hall making claustrophbic bowel movement . not even enough room toilet room house additional roll toilet paper . well get stick last sheet becasue extra roll store closet across hallway . could go , point really , whoever design place put way much emphasis cool rather design effective room . well hire staff 30 type little hotel experience , confront issue mostly cool deal .. young well not know good hotel experince really like , palce . oh mention miss wake call two day row . third day manager call personally insure get . 
 Jul 12 2009 	 amazing hotel great sense fun fantastic view 	 pick Standard Hotel close Sister 's place New York 's directly new High Line Park amaze new park old elevated railway . new hotel not sure expect , say amazing place . hotel certain atmosphere . know mean , scream ' business ' ' budget ' ' help ' m stick 90 's ' standard none kind aura . 's place want want . everything even design room sense fun ( even item Mini Bar ) ! room amazing view Hudson towards Statue Liberty downtown . one big room , clever layout floor ceiling glass make seem spacious roomy good sized comfortable bed ' lounge area ' . clever design detail allow sit enjoy movie lounge massive bathtub thank window bathroom sleep area . overall design spectacular everything think last detail . even rather clever animation ' heaven hell ' lift . fact would love screen saver Mac ! staff friendly helpful not pressure . concierge even manage get table short notice newly open popular Standard Grill superb . sister even go far declare new favorite New York restaurant ! Room Service great , efficient reasonably price Mini Bar great movie / tv / music choice generously size flat screen tv . also free wi - fi base stay another NY hotel seem quite rare . downside not think could name stay . really great time already recommend couple friend . ' m look forward stay next time travel New York ! 
 Jul 11 2009 	 perfect stay - every single time ! ! 	 stay Standard Hotel least half dozen time , business leisure since open . every time , blow away great room , comfortable bed , amazing amenity ( organic kiss face product outstanding ) , great view , cool , pretentious ambiance ! make hotel truly exceptional , staff . blow away general awesomeness , willingness go beyond . whenever return standard , feel like welcome friend always look well . special shout Jesse Davidson Adan Maldenado - two amazing bellman , Jennifer Hazzard , good concierge ever meet ! hope keep personal touch , amazing staff hotel keep get popular . 
 Jul 10 2009 	 exciting high Line location gorgeous view superb modern design within without 	 even though hotel tip Manhattan , transit option , everything accessable easily . plenty walkaround option food , drink , shopping culture . Uptown subway ride away - fast . the High Line Park miss view ambience feel intimate glorious city . the room small beautifully design . able borrow house computer handy . feel luxurious accomodating . 
