love 	 Loved ! one favorite hotel 's stay Chicago . great room , great breakfast , great location . everyone come contact pleasant . lobby beautiful . room nicely update - breakfast delicious . hopefully get chance stay future defiantly recommend friend . 
 Oct 7 2009 	 Comfy room 	 spacious room fab , partial lake view . watch Navy Pier firework bedroom window -- sweet ! noise problem . paper thin wall -- tv conversation either side loud guest might well room we . not think neighbor ' fault -- could even hear sneeze , wall soundproof . service spotty . front desk great , housekeeping staff skip room one day . Manager 's Reception zoo -- least 50 people line front us night , fairly surly woman pour drink finally make bar . would probably stay super location spacious room w / fridge microwave . honestly would trade breakfast drink hour well soundproof free Wi - Fi . ( internet = $ 14.95 / day , ouch ! ) 
 Oct 5 2009 	 good hotel poor service 	 Booked hotel Hotwire $ 108 / night , really steal . hotel good location room quite nice , front desk service really lack . four night stay , three day keycard would not give access room , force desk call security time let room . thing break , understand , still fix three day later ? unacceptable . top , front desk even offer apology problem , deal multiple front desk staff due many time need let room . state matter factly card system not work properly security would let room . not expect bend backwards apologize , simple & quot ; be sorry inconvenience & quot ; would nice . would stay ? yes , price right good location , would not expect much front desk . 
 Sep 28 2009 	 great location good kid service challenge 	 wife 4 1/2 yo daughter stay one busy summer weekends- air water show . first , location great . easy walk Navy Pier , beach , Michigan Avenue , even youngster . hotel year old hold well . pay extra lakeview room , number high rise around , probably worth extra expense . the room , Embassy 's ' ve stay , spacious comfortable . breakfast good amazing omelet chef fun watch crank special order special order . on service side bit challenge . recognize big weekend packed feel known well plan . front desk wait , happy hour line 100 foot long luggage check take time away holiday Chicago . also concierege available part day . two time look advice help concierge ' off - duty ' would wait line get suggestion . 
 Sep 27 2009 	 Fantastic ! ! 	 4 night stay Embassy Suites girlfriend get - away , could not pick well hotel . every employee front desk , clean service , breakfast greeter friendly helpful always seem welcome smile face . 11th floor 2 - room suite perfect 4 woman . quiet , air conditioning work fine . concerned one bath 4 woman , bar sink mirror living area , additional sink / mirror bedroom give we plenty option hair make - up . room , everything hotel clean fresh . ask additional hanger deliver minute . the large buffet breakfast time money saver , free evening cocktail . good location . walk everywhere ! centrally locate 2 block river walk , 2 block Michigan Ave ( shopping ) , 2 block Navy Pier , yet away high traffic area . , would like great italian restaurant real old world italian feel , try Volare , 1 block Embassy Suites . wonderful ! 
 Sep 20 2009 	 avoid Hilton property 	 check go smoothly . able check early , however hotel completely sell give smoking room . room warm stuffy although thermostat send low setting . when maintenance arrive pulled font unit air filter filthy look like change year . quality air room poor . bathroom dirty bare amenity . 1 bar soap , 1 bottle shampoo hair dryer . hotel clean . chair breakfast area dirty . carpet stain food tray leave hall way extend period time . there concierge one front desk could answer question . the quality hotel really go do hill last year . stay least 6 occasion past good location poor service lack cleanliness return . perhaps ' m expect much Embassy Suites , one time pretty nice hotel stay . appear need major renovation room common area well improvement overall customer service . Hilton ashamed . 
 Sep 17 2009 	 excellent location ! 	 stay Embassy Suites Labor Day weekend wedding . HHonors Diamond Members . top floor 1 bedroom suite ( 17th floor ) . elevator fast elevator ever . never wait 2 minute . room extremely comfortable . queen sofa sleeper living room tv . bedroom King bed another tv . use valet parking . happy $ 49.00 day parking , hotels downtown Chicago charge much . service perfect . Loved Managers reception 5:30pm 7:00pm every night , snack free cocktail . breakfast morning great . crowd , holiday weekend . trouble find seat . highly recommend hotel . close everything ! Architecture Cruise http : //www.chicagoline.com / which within walking distance hotel . excellent ! 
 Sep 16 2009 	 perfect 	 doubt one good hotel ever stay , first visit Chicago , book hotwire get 100 $ per night . the location brilliant complimentary breakfast excellent never queue , 2 hour free drink great could order ever want . staff friendly efficent , small swimming pool fit purpose , room large spotless clean , viisted labour day weekend busy well run hotel never felt stress . reccomend hotel enough stay many around world , definitley visit Chicago wonderful city wonderful people . go see jersey boy brilliant close Jan Chicago do not miss , Sullivans steak house food excellent , give PF Changs miss one usual standard , p clarke connect hotel food ver good good price . 
 Sep 1 2009 	 Friendly Hotel 	 stay Embassy Suites Hotel Chicago Downtown girl weekend . great time , everyone staff friendly . actually large number we room , problem room decent size . staff accomodate need towel , blanket , etc . great free breakfast hotel lobby . make - to - order omelet , plus everything else person could want . consierge helpful , tell we go , walk take cab . hotel great location , walk everywhere . Michigan Avenue , Navy Pier , Weber Grill dinner . would highly reccomend anyone ! 
 Aug 21 2009 	 wonderful place include extra . 	 travel Grandparents young grandkid . throughly enjoy hotel . bonus reception drink snack money saver . breakfast hot plentiful . always breakfast early , encounter crowd . pool small side , grandkid swam , work fine we . room wonderful , could put kid bed close door , adult stay livingroom ( two television help ) . three sink , handy . close american Girl , great shopping . view room fantastic . problem housekeep . staff friendly helpful . great grocery store right across street , resonable price . restaurant attatched Embassy call PJ Clarks , kid order mac & amp ; cheese delicious , $ 4.95 . enjoy hotel . 
 Aug 15 2009 	 excellent location complimentary breakfast expensive internet 	 3 night conference . check process quick staff friendly . suite big almost space hang clothing luggage . clean also stain prior leak could clean renovate . wireless internet cost 14,95 day veeeeery slow . worth ... complimentary breakfast wich really good , rich , even cook order . save lot money like breakfast every morning . the staff always nice helpful . business center free charge use . the air condition lobby conference room bit problem . cold . 60 65 . especially come outside healthy . make ( conference ) complaint do not change . sure something break ignore we . however hotel sign age could update area . location great , withe walk distance Navy Pier attraction . I would stay . 
 Aug 5 2009 	 Good Great 	 Stayed Embassy Market Days friend love location look property . similar problem check early one reviewer . check night check make sure hotel room available night check mean vacant ready room early afternoon day arrive . arrive hotel around 1230pm advise room ready would come back 3 pm , also tell would carry bag back downstairs Bell Services leave plethora luggage crowd entrance . call hotel shortly leave eat come back , person phone inform clean room available person could walk get room checkin , kind irritating . want make fuss let go . we come back 3 room ready . room spacious nicely appoint , great view 17th floor . housekeeping efficient never bother we room , however call 4 time extra towel , hour meet we halfway hallway get . breakfast plentiful lot tasty variety . crowd service staff top turn table around guest leave . manager 's reception well way drink Embassy Rosemont , snack still little lacking , 2 kind similar snack mix tortilla chip not time . pool hot tub area nice , little small perfectly functional space , do not feel crowded . bed comfortable location great relation Michigan Avenue , couple block Red line station Grand . overall good stay , would stay . watch bill though , checkout try charge we 49 $ Valet parking , one day , take bus city , couple question & quot ; sure do not car ? & quot ; remove charge . good property great location , minor service issue . likely stay spring . 
 Aug 4 2009 	 great location happy stay 	 able obtain good rate hotel Hotwire . call hotel request King room quieter area hotel . checkin need watchful hotel entrance Illinois St . 's easy miss driveway . driveway extremely congested upon arrival . son manage luggage go elevator hotel lobby check . place room 6th floor , actually first floor room . room clean ready we request . stay 3 day yes , far majority guest family child reunion type group . place quiet get away couple . breakfast fine certainly offer plenty eat . not think 's worth wait stand long line & quot ; cook order omelet & quot ; . side dish offer two buffet line . yes , crowded , workable . instead pay $ 42 / night park car Embassy Suites use parking lot caddy corner Embassy Suites Illinois $ 29 / night . sure go grocery store ( Dominick 's ) directly across street hotel purchase CTA bus card . $ 5.75/24 hour unlimited bus train travel- great get around town easily . outside can not tell Dominicks grocery store- look starbuck . hotel 's location ideal easily walk Michigan Ave . Millennium Park . personal note : discover check leave purse room . Panicked call hotel tell Security would take care look purse . sure enough , upon return indeed purse wait . grateful ! 
 Jul 31 2009 	 terrible place stay 	 know charcter hotel , pulled check ....... ton ton luggage leave hotel driveway curb . first sign , ignore think large group must arrive . inside hotel luggage , well judgment leave luggage bellman . assure would brought room soon get check . well , never happen ... tell check luggage right . 2 hour later receive luggage ... upset , call call get one excuse another . , know Embassy Suites kid hotel , would never stay , hundred kid run around , play escalator , parent , hotel security supervise kid , finally tell couple stop run play esclator elevator , horrible . room , horrible , leave container food room , strong odor , move room , hotel staff nice . got , next room , well also spell bad , clean , coffee pot , hand towel , mean maid check room , basic stuff . would never stay would recommend hotel . even though location good one , be worth , would spend upscale hotel . oh , upon request bellman get luggage would store luggage since early evening flight . well , time get lobby , see luggage outside security door , front elevator , anyone could walk hotel luggage , security , bellman . upset , explanation , stay saw luggage get lock inside security luggage room , really need find method handling baggage , need review staff 's task ... one last thing , hear maid walk hall use foul language .... get training long , customer service horrible ...... oh , one comment .... call free breakfast , terrible , filty , food , coffee , get time tell well tell everyone else good time also , full , line everywhere , people food tray leave table , clean spot sit , kid run place .... horrible experience . 
 Jul 30 2009 	 one top Embassy Suites ! 	 husband stay numerous Embassy Suites around country find ES one good ' ve ever . ( check hotel 4 night Chicago Hilton attend conference . ) use Hilton Honors point pay 3 night Embassy Suites . previously use point , ' ve sometimes wonder get quite nice room not & quot ; pay customer . & quot ; Embassy , nothing question ... room wonderful ! request upper level room view assign room one top floor beautiful city view view Chicago River ! comfort room superb ... everything bed pillow room temperature . AC work , also ceile fan ! 2 flat screen tv contemporary decor also nice . ( Hilton property upgrade yet flat screen tv , like Chicago Hilton way also hot poor housekeeping ) reviewer speak crowd breakfast ... yes , be true , food good lot variety . load wait staff busily keep table clean not difficult find clean table . love piano music background couple sound water flow wall like fountain / room divider ... even though lot people , atmosphere relax . other also speak wonderful grocery store across street , ease get Navy Pier walkie take MTA bus come hotel , hotel block away Magnificent Mile ( great shopping ) catch another bus many area city . numerous taxi ... either hail taxi immediately outside hotel ( street side ) go side lobby taxi line hotel auto lobby doorman taxi pull . doorman also helpful offering get we towncar transportation tell we slight differentce price take towncar destination versus taxi . usually Lincoln towncar also readily available . ( ex : taxi - $ 18 Briar Street Theater see Blue Man Group $ 20 location ride Lincoln Town Car . opt Town Car . ) people Chicago friendly always helpful ... even bus driver ! city absolutely gorgeous many bloom flower colorful plant . back , Embassy Suites . love hotel definitely make hotel choice next time return Chicago . 
 Jul 29 2009 	 good location 	 hotel nice . room spacious & amp ; tastefully decorate . good variety food breakfast buffet although think little odd bagel muffin . hotel good location & amp ; close bus stop . able take bus downtown area . negative experienced key would work get back room first night . give we new room key & amp ; tell we keep away cell phone & amp ; credit card . ' ve never hotel tell . key work one time . not bother get new key . keep key place purse keep hotel key & amp ; first hotel ' ve ever key problem . otherwise , enjoyable stay . 
 Jul 27 2009 	 wonderful place 	 love hotel . room huge bathroom . clean service awesome . complimentary breakfast much well expect plenty food time . also like much teh manager 's reception . could free drink two hour also snack ! staff always willing help , sure make stay comfortable ! 
 Jul 17 2009 	 Great Hotel 	 location hotel great . located couple block away miracle Mile Navy Pier , plenty shopping dining opportunity . 2 grocery story within block refrigerator microwave room , save little money . the free breakfast great accessible wheelchair . service staff not seem care . example poor service . everything else great . the lack free internet disappointing price hotel . room spacious well decorate . sky lounge several floor , locate bowling alley movie theater would never know . 
 Jul 13 2009 	 perfectly nice stay 	 find staff helpful , check rather late cause problem . room good size two queen bed double sofa bed lounge area . modern clean . excellently situate Navy Pier bus downtown stop back hotel . agree reviewer breakfast . free , huge queue although range food extensive , food often lukewarm . use many family , problem us noise issue . would happy stay go back explore great city Chicago . if explore city public transport , sure buy pass , 3 day cost $ 14 , real bargain . 
 Jul 9 2009 	 Kind Town 	 could sleep star sleep bag downtown Chicago ( actually , .... ) would great . world 's great food good city skyline , anyplace terrific . view hotel room among good ' ve see Chicago : Tribune building , Wrigley clock tower , Trump tower , Sears tower ( whatever call ) , BP building , University Chicago , river . wow ! awesome restaurant short walk cab ride away ( time enjoy Nacional 47 , Lettuce Entertain salsa club ) . cab easy hail front hotel . 24 hour supermarket across street , walk distance lakefront , Navy Pier , Grant Park , Michigan Ave . shopping . 's way cheap Peninsula , 4 season , Drake . oh yeah , hotel . tall modern chic - urban Embassy Suites . cover Valet parking $ 49 extra per night ok . check kiosk break check - in clerk average good . elevator fast . general motif modern , room little trendy es . room include smoke detector , refrigerator ( freezer ) , table 3 chair , easy chair , sleeper sofa , microwave , coffee pot , hair dryer . although wife young teen , much fun city sleep breakfast never get use pool . can not comment would relax hotel - base stay , would want one Chicago ? significant other will not go sleep bag Chicago route , great second choice . 
 Jul 1 2009 	 wonderful place stay downtown ! 	 love hotel ! huge fan Embassy Suites anyway -- one not disappoint we . take Amtrak town not worry parking price -- pay price anywhere stay downtown . what love location . close thing -- Dominick 's ( beautiful grocery store w / a Starbucks inside ) , Walgreens , AMC movie theater , bowling alley . also , within 10 15 minute walk Michigan Ave . shop one direction Navy Pier direction . we also enjoy P.J . Clarke 's restaurant adjacent hotel . first disappointed not kid ' menu . , kid - friendly selection adult menu -- cheeseburger , grill cheese ( kid ' choice -- superb ! ) , pasta , etc . , crayon placemat color game play back . staff wonderful -- accomodating ! also pleasantly surprised pool . look website look like true lap pool -- well , wide single - lap lap pool . amazing many kid pool -- not seem like top . son also use fitness room please that . all -- excellent stay ! 
 Jun 28 2009 	 Pleased 	 come Chicago late night train kid make reservation well advance . arrive hotel find room leave smoking room . barrell tired kid midnight . room nasty , stinky feel dirty . pull sofa bed one bad ' ve ever sleep -- mattress must less 2 inch thick smelly night long feel every bar bed . next morning toilet stop would not flush . breakfast madhouse although plentiful , nothing good . coffee bad . egg cold . guess fruit ok . tell could change room non - smoking morning pack everything take downstairs 9:00 . tell front desk staff leave day tell would non - smoking room return . take bag lobby level leave bellman . take time wait line thing . upon return 3:30 went bell stand tell would go lobby see room ( can not call since be already check ? ) go upstairs wait line finally get desk , assign room . clerk mess computer 10 minute finally assign room . tell bell staff would bring luggage . 45 minute later , still luggage . call bell stand say would get right away bring right -- not think desk even notify bell staff . nap get ready go back notice not even hair dryer -- -called hairdryer bring . 45 minute later , hair dryer . avoid waste even vacation time deal incompetent staff , shower leave Navy Pier wet hair . arrive back hotel , call front desk bring hair dryer explain request one early not arrive -- ask bring , along 2 glass . clerk not offer apology early inconvenience respond tone make seem like inconvenieced request . say , & quot ; will tell someone & quot ; 30 minute later request item arrive . place nothing special , staff seem incompetent unconcerned guest satisfaction . room ok , not feel clean . ' m hotel room right unfortunately , stay tonight , never again . I would not stay . 
 Jun 15 2009 	 nice stay 	 town weekend mom two daughter annual girl trip Chicago . try book State St. Embassy Suites , stay last year , would let use Hilton point location . arrive morning pre - registered room reserve lake view room we . make happy view ! decor modern , taste , seem little cold . location good -- close Navy Pier close Michigan Ave , spend Friday afternoon shopping . also great grocery store across street everything would need . come back , room ready . order ... look clean lake view promise . first night take advantage free cocktail hour . choice limit , hey , be free . walk Volare ' yummy italian dinner , come back hotel watch tv . girl ( age 14 11 ) go swim pool , complain small not go . look like lap pool , crowd ever swim lap . furniture living area good condition , especially comfortable relax . pull - out bed extremely uncomfortable , not plan sleep unless small child . also , wall thin , discover 3 am noisy neighbor roll . Saturday morning get arrive breakfast 9 am -- time majority guest hotel . advise eat early , learn lesson line long . food actually good though , especially omelette . day spend see Art Institute , Mary Poppins , dinner . arrive back room time watch Sat . night firework ( Navy Pier ) window . cool ! Sunday beautiful day walk Millenium Park hang catch train home . overall , hotel stay good . love Chicago always fun , stay well place . great value though , especially take advantage free cocktail breakfast . debate two Embassy Suites , State St. one would pick , although little expensive . little comfortable friendly , although lake view . 
 Jun 8 2009 	 Great Hotel Value Chicago 	 highly recommend Embassy Suites Downtown lakefront . free breakfast morning amazing , free drink manager 's evening reception . location great , Michigan Ave Navy Pier . room large , especially downtown Chicago . parking expensive , 's price everywhere . pool small , stay pool . staff wonderful . highly recommend . 
 Jun 3 2009 	 comfortable spacious room - internet access include rate 	 husband arrive 3 night stay , town huge convention room rate inflate town . nice Embassy Suites , comfortable , convenient complaint room , service usual Embassy Suites amenity except internet access available additional $ 15.00 per calendar day . $ 300 per night , rate discount register convention attendee , really include onetime fee . pay fee aggravate . offer service cost hotel almost nothing - even grocer across street offer free WiFi ! way make buck , guess . 
 may 21 2009 	 good choice Chicago stay . 	 book Conrad hotel 2 night arrive tell reservation change Embassy Suites Lakefront . not feel happy staff extremely helpful , arrange taxi transfer we ( pay ) arrive Embassy Suites staff expect we quickly check suite . 1129 . Conrad hotel later phone check everything okay . we good view lake , window wide ledge sit admire view . complimentary evening drink snack also breakfast surprise we make good use . breakfast particularly good chef make hot food order . love space suite bed comfortable . I would definitely recommend stay Chicago . 
 Apr 28 2009 	 Excellent hotel family 	 stay 6 night April . feature include big , clean room comfy bed . good bathroom shower . elegant inside . good location , 1 - 2 block bus route . breakfast highlight trip ( really good omelette 's ) . Dominick be locate across street , Walgreen 's wine store behind hotel . need improve : remote control work never replace ( complaint submit day arrival ) , sofa bed truly design small kid ( adult allow sleep ) . otherwise , excellent option Chicago visitor . 
 Apr 27 2009 	 simply PERFECTION 	 daughter go Chicago Easter w / e via Cleveland / Chicago Megabus . arrive front train station Union Avenue . stay Embassy Lakefront . hotel beautiful majority staff friendly helpful . room spacious , two room plasma tv living room regular large one bedroom . microwave , mini fridge , two sink ! . hotel give comlimentary breakfast morning pancake , bacon , sausage , omelet , egg , fresh fruit , hashbrown , yogurt , pastry galore , juice , coffee etc . evening complimentary 2hr drink soft drink instead alcohol . supermarket across street everything include cta bus pass . walk distance Navy Pier , Magnificent Mile fifteen minute Lincoln Zoo . hotel put need . pool , fitness room , internet , be clean , be adjacent p. J . clarke restaurant . food great ! . 
 Apr 25 2009 	 AWESOME HOTEL ; superb SERVICE ! 	 16 year old daughter stay Embassy Suites Lakefront Chicago forfour night Spring Break April 09 . awesome experience ! arrive little early expect wait able get check wereassigne room immediately . room perfect . picky aboutcleanliness room immaculate . stay several downtownchicago hotel far well also big . hotel wehave stay tiny ; Embassy Suites huge living area , bedroom ( withan amazing city view ! ) bathroom . room equip small fridge , microwave sink really nice . bed heavenly downcomforter world ! doorman always friendly front desk , breakfast staff , bartender housekeeping staff . free cooked order breakfast wonderful many choice omelet , pancake strawberry blueberry topping , bacon , sausage , cereal , english muffin , banana , orange , biscuit gravy , scramble egg , yogurt , melon , pineapple well wide variety beverage . happy hour also add bonus free drink bar 5:30 - 7:30pm night . location hotel perfect ; couple block east Michigan Ave couple block west Navy Pier . walk everywhere dining , shop sightseeing ! every single employee hotel willing go way help help need . also Cinema right around corner well Walgreens . across street fine grocery store anything would need . happy choose hotel can not wait return . impressedand stay lot hotel . thank Embassy Suites Lakefront Chicago ; WAY GO ! ! 
 Apr 22 2009 	 Poor 	 stay 3 night April ..... certainly would stay . Stayed Embassy Suites dowtown ( hundred yard away ) 6 night February , difference unreal ( much well ) . staff rudest ever come across hotel ... arrive taxi airport , two member staff sit watch struggle door suitcase . we greet front desk grumpiest person ' ve ever displeasure deal ..... God forbid need phone operator query , seriously interested answer question . the nearby Embassy Suites well location opinion , staff friendly helpful get . 's good reason be rate high site . P.S . wall thin , unlucky enough noisy neighbour , good luck get sleep . 
 Apr 21 2009 	 Nice hotel close everything ! 	 hotel nice clean . service exceptional everywhere bellhop first walk desk staff , bar staff , clean staff . room large three sink ( one bathroom two outside bathroom ) . manager 's happy hour great way relax night town . 
 Apr 12 2009 	 Great Staff great Breakfast Great Value ! 	 woman take make - to - order breakfast order amazing memory .... egg perfect every time . like serve cook oatmeal rather packet instant - oat many hotel free breakfast . fruit fresh sweet . business never try pool fitness center . seem like place could stay easily kid . bed comfy . like furniture . provide shampoo , conditioner , soap room . ask friendly competent front desk staff immediately give show cap , body lotion , etc . guess ' put one everything room prevent waste ? partner comment well train staff ... several time . 
 Mar 20 2009 	 Great Hotel Great Location Great Staff 	 get home 3 night stay Embassy Suites Downtown Chicago - Lakefront ( Mar 15 - 18 ) . read review little hesitant , work hotel ' m aware picky / unreasonable people keep open mind . travel boyfriend another couple ( mid late 20 ) . arrive hotel 12 pm , greet friendly doorman take elevator Sky Lobby . dinah front desk check we problem hesitation even though 4 hour early . frienly helpful excellent customer service skill . next , go room 17th floor , use different elevator one take sky lobby . first , seem little annoying ( could not take elevator room way main floor ) eventually grew use . room GREAT ! ! ! ! spacious , clean , comfortable bed furniture , 3 sink total , good sized television .... really could not ask . wireless internet room $ 15.00 not find slow . not want pay fee , access internet business center free open 24 hour day . manager reception awesome way start night . 5:30 - 7:30 every night . order one alcoholic drink time limit number drink within 2 hour ( unless cut ) . also provide chip , salsa , munchie . bar tender friendly make pretty much drink want . line long time , not find wait bad . ( p e n c e ) Breakfast great . good variety convenient . line omelette station get little long want buffet style breakfast , seperate cart line short ( put hotel 50 % occupancy ) . overall , stay wonderful . really can not complain anything . would definitely stay hotel several reason : - Breakfast Managers Reception- great service front desk , bar tender , breakfast staff , housekeeping attendant.- AWESOME location ( 2 block mag mile close Navy Pier ) - clean , spacious , comfortable rooms.- good friendly atmosphere ! Hope review help : ) 
 Mar 11 2009 	 Great Location Tourists 	 get back 4 night stay wife 6mnth old . staff friendly helpful . find breakfast excellent . do not make manager reception , be . pool open 6 am suit we perfectly clean uncrowded . suite suit we young daughter asleep complimentary crib watch tv room morning one we sit lounge get sleep Bedroom . $ 120 night 2 block Navy Pier one direction 2 block Michigan Ave . . everything ( touristy ) walk distance . wireless access expensive , complimentary internet Access Business Center available guest . great place break kid . impressed 
