Fancy 	 spend christmas vacation always await everybody . come make trip destination come major task select hotel , suit budget also great leisure time , thus make trip memorable worth spend money .so decide make trip New York wife always plan go . game big job hotel , search many site , come good portal make online booking . hotels2stay.net . choose opt NewYork HILTON GARDEN INN TIMES SQUARE , , First would say really remarkable stay hotel .The hotel serve service full .e Hilton Garden Inn Times Square 's seat area include fireplace feature red , brown yellow decor . black white portrait New York City display throughout hotel . Pigalles restaurant serve french cuisine . complimentary coffee serve morning restaurant . hotel 's fitness center feature cardiovascular equipment open 24 hour . hotel include two workstation complimentary wireless internet access complimentary printing . bathroom include Neutrogena toiletry curve shower rod . in - room safe laptop compatible . complimentary newspaper deliver guestroom . accommodation include coffeemaker , room service available . the Hilton Garden Inn Times Square locate New York , N.Y. , one block Broadway . hotel Theater District Midtown Manhattan . Blue Line service 50th Street subway station two block hotel Times Square two block away opposite direction . Radio City Music Hall shop Fifth Avenue three block hotel . wife make romantic stay Hotels , definitely thankful Portal make stay wonderful make booking cheap rate compare site .Good Job do hotels2stay.net ! ! love make booking . thank service put Hilton garden . 
 Perfect Location 	 original booking another nearby hotel fall last minute , lucky get hotel low price week leave home less week Thanksgiving . 5 - night stay , Hilton Garden Inn turn well choice : free internet , 15 story ( elevator reasonably fast ) , large room refrigerator microwave ( Evolution King ) , desk , chair still room move around . bed pillow comfortable ( mattress adjustable firmness ) . easy walk distance Times Square , theater , great restaurant , subway stop . rate competitive , choice future . yes , hear street noise even 11th floor back building - fire station quite close - New York - city never sleep ! ( helpful hint : laundry 1/2 block east 49th Street laundry pound : $ 7.00 7 lbs ! price laundromat waste time ! ) . 
 convenient location attentive service 	 stay hotel room two queen sized bed . ( be rarity New York , handy family . ) room nice comfortable . granite counter top bathroom bar area . also microwave oven mini refrigerator room , great . grocery store across street drug store nearby . ice soda machine floor . also provide free wireless internet . four day switch room . first room 2nd floor overlook air conditioning unit quiet . second room 8th floor exactly , loud street noise . get really good rate , 's good place stay . Pigalle restaurant , attach hotel , average food . 
 Good Hotel Smokers 	 would give hotel three four star , fact even prepay reservation , give smoking room request non - smoking room . effort make staff compensate ( put air purifier room give we free breakfast voucher ) appreciate , one - night stay still result clothe reek smoke one us allergic reaction poor air quality room . hotel fine arrive much later 3:00 ( non - smoking room request honor ) care room permeate smell stale cigarette . ( also end need use debit card charge incidental never purchase . still wait refund five day later promise would charge . ) realize experience might typical -- make stay poor one we . 
 Good - Complaints 	 come NYC wife two kid need hotel room two queen bed wife hate sleep double together - small comfortable . HGI one hotel could find two queen bed room . moreover , get add cache Hilton Honors point . find hotel clean fairly large room NYC standard . staff 100 % , although not use much . be one thing : Times Square frenetic ' m much throng tourist deal price reasonable , , bed good . hotel 8th Avenue , one long block main action Times Square , think 's plus . recommend hotel without reservation . 
 Perfect place 	 husband love time spend hotel , near Broadway could walk everywhere want . book evolution room , great , big comfy , really nice great view . love stay . 
 Nov 5 2009 	 Great Hotel Corteous Staff Great Location 	 stay 8 - 20th October . Hotel fab . special mention must go bellman Jules genuinely nice man helpful . we be irish nation tea lover gripe kettle room coffee maker not boil water hot enough . we buy kettle K - mart hotel any . nice bar across road & quot ; Social & quot ; good food excellent draught Guinness unfortunately owner n't & quot ; personality & quot ; .Emmett O'Lunneys W50th excellent . avoid Broadway Joe 's Restaurant row like something mob film intimidate staff would not complain ! ! ! pay 166 dollar bad food 4 modest meal . we definitely come back Hilton stay 5th floor not bother slight fire station . those man great job nice we stop say hello chat relate 9/11experience we speak us colleague lose . there be something special people . disregard crap people write close feel safe . as always enjoy banter wheelin dealin & quot ; brother & quot ; .New York great go great people ! ! ! ! ! ! ! ! ! ! 
 Nov 5 2009 	 nice hotel friendly staff 	 hotel great location minute times square . hotel clean , staff really friendly , lot towel bathroom etc . room not huge manageable , not spend much time hotelroom . hotel little pricey guess pay location . 
 Nov 3 2009 	 great Stay 	 much agree positive thing say hotel . great location , nice room , wonderful staff . could pleased . check & quot ; restaurant row & quot ; 46th 8th 9th . will definitely return next trip Big Apple . 
 Nov 1 2009 	 good hotel great location well expect 	 normally stay HGI Chelsea book Halloween stay . little worried close Times Square . nice close far enough madness . very quiet especially consider right next Fire Station . much view comparison Hilton Times Square still look 8th Avenue . staff extremely friendly right check room staff . Breakfast Diamond member include Pigalle Restaurant attach . much well many . everything cook fresh portion good . also make really nice place eat evening . room standard HGI , little large Chelsea HGI standard amentitie like microwave fridge . bathroom little tight clean . would definitely stay 
 Nov 1 2009 	 NYC 	 amazing hotel .. well worth money . central minute Hudson River / Broadway / Central Park .. room amazing view city : ) 
 Oct 30 2009 	 great hotel 	 Stayed Garden Inn 6 night . staff friendly & amp ; efficient . room pleasant , clean well equipped . stayed 15th floor , noise . price right consider position save cab . nice breakfast facility Pigalle . highly recommened . 
 Oct 29 2009 	 trip lifetime : ) 	 hotel ideal location - literally round corner Times Square . less 5 minute walk main square hustle & amp ; bustle , far enough away escape madness want retreat back hotel . there nice restaurant call Pascale adjoining hotel , breakfast time . , couple handy deli shop opposite hotel . 's little shop within hotel buy water , snack gift etc too . I not think matter stay New York , always near busy area , major attraction . hotel perfect we . not pure luxury , certainly lovely hotel , would stay . staff amazingly friendly helpful . room clean , coffee maker , fridge microwave . shower powerful , towel change everyday etc . a great place stay ! 
 Oct 25 2009 	 good position close Times Square 	 good basic hotel , great position . room fine couple night four we , would little cramp stay long . 
 Oct 24 2009 	 great location 	 arrive Hilton Gardens Inn Times Square around 7.30pm long flight check immediately couple tasty complementary cookie reception . hotel great location - 8th Ave 49th 48th Sts room nicely present , bathroom good size - expect room bathroom cramp , pleasantly suprise not feel way . small refrigerator microwave well coffee make facility come handy buy cereal milk breakfast - unfortunately breakfast not include room price . for australian book room , would suggest book King Room Queen size bed definitely appear small standard queen back home . however free WIFI bonus really come handy . as location , great . 's easy walk distance colourful vibrant Times Square , ton theatre lot restaurant too . close Hotel supermarket ( 8th ave/49th St ) breakfast grab frozen meal perhaps heat something microwave room . also close couple entrance subway handy long day , 8th Ave 47th - 48th , ( red ) HOHO bus depart - matter fact , office across street . 
 Oct 24 2009 	 great CLEAN Hotel EXCELLENT Location ! ! ! 	 husband stay 4 night HGI Times Square - EXCELLENT location . room nice sized super CLEAN ( MUST ) . free internet service lobby business office ( come handy ) free hook - up internet service hotel room bring laptop . free coffee serve every morning lobby , even though coffee maker room , along refrigerator microwave ( WOW ! ) . never use coffee maker ( get ready make coffee lobby ) microwave use frig store husband 's beer pastry treat buy block away ( Food Emporium - grocery / deli must visit ) .The staff - desk security doorman consignor ( Gabi ) extremely helpful nice , especially Gabi . hotel close zillion restaurant / diner , bar shop . could walk everywhere easily could take subway - , be hard scary figure ' downtown ' ' uptown ' , - Gabi consignor help we find way . would never venture one - two block away food , drink shopping not want - 's many place choose ( theater within walking distance , ) . hotel 's restaurant Pigalle ( sp ? ) serve good FOOD reasonable price ( would recommend eat ; husband say good meal whole time ) . would ' eat want try place . also , Cosmic Diner 2 - 3 block away side street EXCELLENT huge portion reasonable price . also eat Gallagher 's Steak House - WOULD RECOMMEND , rude / non - existent service , expensive mediocre bad food ; save money eat 3 - 5 time ( two people ) nice diner / restaurant price one meal Gallagher ' . also eat breakfast Viand Coffee Shop Upper West - delicious extremely reasonable ! first time visitor NYC , think find perfect hotel perfect location . highly recommend hotel other look no - frill hotel yet provide exceptional service amenity offer high classed hotel , whose staff friendly helpful , room spacious CLEAN center anything tourist would like see . matter fact , meet lady elevator live past two year ( due teach assignment ) tell we hotel good one live well friendly , helpful staff . we like stay different hotel , place would hard pass next time visit New York ! 
 oct 22 2009 	 Good Location nice room 	 husband come NY celebrate anniversary pleased stay . Shouts conceriege Stephanie helpful suggestion thing fist time vistor ! ! breakfast package evolution king size bed honest could not tell difference firmness matteress . also , bathroom could big . overall , staff pleasant would stay . 
 Oct 20 2009 	 boutique hotel rest we . 	 Hilton Garden Inn 49th Street 8th Avenue pleasant surprise . fact , ' hgi name , visitor might easily mistake new boutique hotel . ( Note Hilton — why interesting initiative roll HGI Hampton property ? example , amazing get mouthwash HGI , full service Hilton . . .hmmmm . ditto good , wifi — free everywhere ) convenient location New York , familiar . c e train across street , 1 train block away , Radio City / Rockefeller Center block beyond subway station . Times Square close hand , beyond theatre , area home countless restaurant , 46th Street ' Restaurant row ( 8th 9th Avenue ) main 9th Avenue spine Hell ' kitchen neighborhood 43rd 55th Streets . Central Park less ten block ' walk . the staff hotel uniformly helpful , cheerful , proactive . room ready check , restaurant still serve breakfast — so front desk agent buy breakfast Pigalle , hotel ' bistro . note hotel : kind proactive hospitality part hotels ’ arsenal . well , ' need ask . . . evening , sure snag cookie two front desk — they put , nice touch hotel fill they . Pigalle ' breakfast good , Hilton HHonors Gold member , receive breakfast free stay hgi . restaurant feel like independently run bistro — if hotel indeed run , concept replicate elsewhere — and full american breakfast plate cook - to - order menu , rather buffet Hiltons / HGIs / Hampton Inn feature . late riser , great breakfast serve 11:30 morning . restaurant ' likely theme , theatre district location , prix fixe special busy operate hour — the vibrancy place great addition hotel — complete traditional bistro bar . this hotel previous life motor lodge , renovation complete . hallway bright well decorate , well do black & amp ; white photo NYC display . room nicely size NYC — normal city guess — with granite top desk , microwave / refrigerator / coffee maker , easy chair . mid - city location , hotel room notably quiet . HGI take special pride bed , mattress cushy heavenly variety hotel favor , comfort noteworthy — with white duvet New Zealand lambswool mattress cover . wireless internet free throughout hotel guest , print facility lobby ' business center . the bathroom adequate nicely finish granite curve shower rod — though space small enough careful , end shower curtain wind dip toilet bowl . advantage , ' score hotel high ? well , use point stay HGI , online rate evening overnighte $ 389 . breakfast part Gold HHonors benefit , rate would include breakfast customarily . doubt New York expensive city , $ 389 outrageous rate HGI — however convenient location stylish redesign . $ 389 , visitor beachfront room Caribbean resort high season , three night suite Venetian Vegas December . pay $ 389 , enjoy one NYC ' story hotel — not admittedly pleasant HGI 8th Avenue . so value important consideration rating hotel . property $ 150- $ 200 rate reasonable stay quality — my rating would solid 4 dot — and would recommend hotel without hesitation . management hotel charge nearly $ 400 night ( NYC ' taxis , four night stay easily surpass $ 1700 rate ) sheer profiteering . hotel worth that . Kudos management , staff , designer great little hotel . price people , however , need reread definition value start job accordingly . price hotel nearly $ 400 night recession obscene — so shame people hotel owner prompt greed taint otherwise noteworthy hotel rate unbecome . 
 Oct 19 2009 	 get room grab ! not think twice ! great stay . 	 great place stay . book last - minute overnight friend 3 - show 2 - days theater marathon . location : Hilton Garden Inn PRIMO location theater / eat getaway ! walk 3 - 4 minute Times Square , see show , gawk spectacle , retreat nice quiet room away crowd . 2 minute walk subway . food nearby : hotel locate 8th Ave . 8th Ave 9th Ave cheap - to - moderate dining haven . decent wine shop , drug store excellent supermarket also close hotel . room handy in - room fridge , coffee maker microwave . service : everyone say , believe review , really true - service beyond fantastic . seriously could get nice , polite efficient staff . get NYC bit early expect ( 4 hour early ! ) ; rain cold outside , pretty tired . , stop check - in desk see room happen available early . sweetest young gentleman say room ready , would call cell room open . figure would take long time , go find someplace could kill hour presto ... within 15 minute , young man Hilton Garden Inn call - room ready ! not leftover B - list room scrape together last minute , either . lovely room top floor . never thank staff Hilton Garden Inn enough small , much appreciated kindness ! room : bed super comfortable . room bathroom immaculately clean well - stock . NYC overnight theater marathon lot back Hilton Garden Inn every time ... get room ! 
 Oct 19 2009 	 probably would stay 	 although main part 2 week stay hotel business , time like evening weekend pleasure . hotel GREAT position Times Square , Hells Kitchen , theartre , tube etc let fact room small bathroom , small walk around door close . bath sit bath ( unless 3 ' tall ) , ask housekeeping shower cap leave normal procedure ! actual bedroom area big enough complimentary internet good . great view 8th avenue window . problem room phone light flash constantly . problem day night like sleep runway . report twice engineer check , say something wrong exchange box would call engineer fix .... 14 day never get fix ! hotel restaurant stair / next door call Piggalli good breakfast , that s eat great place although bit rush careless sometime , still good enjoyable . overall would stay .... sure expensive certainly good Hilton stay . 
 Oct 18 2009 	 absolutely fabulous every way ! 	 Husband & amp ; stay hotel purely review . every way great . location great diving city weather 's first time . prefer less gilt & amp ; light , yet place hop bus etc . room beyond great . large NYC standard . beautiful , large , great air conditioning , low noise , fast elevator . staff helpful , personable , fun . eat restaurant . NYC fabulous little restaurant . side hotel fresh food market . perfect use refer & amp ; micro room . also free internet room big cost saver . also local wine store . stay 8 day book hotel web sight . cheap . NYC not forget martini plaza , perfect : ) 
 Oct 18 2009 	 good world great hotel benefit apartment facility 	 hotel immaculately keep , housekeeping service quick helpful . always lot clean white fluffy towel flannel bathroom . love fact hard day walk around New York could arrange hotel delivery food Olympus Diner across road . diner great breakfast reasonable price . free Starbucks coffee reception welcome . also use tea / coffee make facility room . unlike hotel allow purchase food drink outside store fridge room . iron / iron board microwave room free internet connection laptop . we king size bed massive comfortable . the reception staff helpful would like especially mention Stanley give we lot help get around Metro bus foot could take anymore walk . the hotel fantastic location eighth ave 49th street west . around corner Times Square street away bus station . I would always stay hotel future visit recommend family friend 
 Oct 14 2009 	 Great Hotel Excellent Location 	 another HGI winner . fly red eye able check early ( 11:00am ) problem . hotel staff professional efficient . location great , right next subway station . also post security guard night make sure hotel guest access elevator . 
 Oct 14 2009 	 Great Hotel Location 	 stay hotel 3 night . location excellent . 8th Avenue , block east times square . room nice , quiet clean . one advantage bed queen size travel child child . there good restaurant next door hotel close walk distance theartre , reataurant times square . bus subway within 1 block . staff friendly helpful . would definately stay next time visit New York 
 Oct 14 2009 	 Anohter Great Stay HGI Times Square 	 stay whenever NYC . Location , Staff nicely appoint room make easy deal enjoy city . believe good review place comfortable gem . Kudos brew REAL COFFEE , Starbucks boot , Lobby coffee station . many cut cost convert abysmal liquid concentrate . 
 oct 13 2009 	 Excellent 	 great location , reasonnably price Time Square fantastic service 
 Oct 13 2009 	 expect 	 hotel completely price value money pay , room dark carpet .. old need renovation , appealing . washroom small need renovation . the staff helpful . they clean room 4 pm time go back hotel rest .. will not go back , 
 Oct 11 2009 	 Great Location 	 great time stay hotel . centrally locate everything want see . two subway stop within block two hotel , within walk distance Central Park , Times Square , Rockefeller Center , etc . would definitely consider stay . 
 Oct 10 2009 	 EXCELENT HOTEL GREAT BREAKFAST FRIENDLY STAFF 	 whenever go ny , try stay Hilton Garden Inn Times Square ! wonderful hotel , great location . it be step away show , restaurant & amp ; shopping . the Food Emporium locate right across street , find simple breakfast lunch ; however free breakfast receive outstanding ! consist either omelet , pancakes waffle , accompany fruit , juice , & amp ; coffee . one nice thing however arrive early , morning flight , & amp ; show directly room . the room small fridge , & amp ; microwave , & amp ; computer lobby , guest use . all , love hotel . 
 oct 9 2009 	 Great Service Experience heart Broadway 	 location fuzzy , allow visit many possible Broadway show . go see Dave Letterman 's show ( free ! ) God Carnage . nice restaurant neighborhood . room nice comfy great advantage complementary internet access . always feel secure around hotel , staff welcome polite . 
 oct 8 2009 	 good location helpful staff make relax stay . 	 third year row stay hotel . staff always friendly helpful . room microwave small refrigerator grocery store right across street make easy snack beverage room . hotel locate near theater , subway station Times Square . 
 Oct 8 2009 	 even well expect ! ! ! 	 get home last week 4 day NYC trip , stay HGI . check day leave , exceed expectation . location wonderful , clean , comfortable bed nice staff . could not ask anything well . can not wait book next stay ! ! ! 
 Oct 8 2009 	 Perfect . 	 review say . five minute away Times Square , evrythe need doorstep . excellent friendly staff , especially Charles door . can not wait go back . 
 oct 8 2009 	 great Stay Times Square step away ! 	 hotel great , friendly staff great attitude , something quite rare NYC . ' Hilton HHonors Diamond member besides great cooked order breakfast adjacent restaurant , ask early check room available 10:00am . Food Emporium ( supermarket ) next block , great snack , drink light meal . Convenient Subway , Times Square everything . 
 Oct 6 2009 	 perfectly sufficient every way 	 great hotel , lovely staff perfect location . nice clean , large room - nothing fancy , would expect ( empty ) fridge NYC , microwave coffee maker ? unbelievable , good able buy milk , juice cereal walgreen avoid huge breakfast day ! fantastic location explore , close enough ( close ) Times Square , many different subway line . highly recommend . 
 oct 4 2009 	 Great Hotel love . 	 must go dinner accross street , good place breakfast , great location . one good Time Square . 
 oct 4 2009 	 Good Location ; good value 	 stay three night Garden Inn city break . hotel well position explore city . room clean full expect amenity ( expect micro - wave ) . particularly enjoy attach bar ( Pigalle ) dining room good value lively . gripe would th Aircon unresponsive noisy . 
 oct 4 2009 	 remember smile face 	 get room high floor ( 10 th-15 th ) away elevator ( noisy ) , hit jackpot . hotel perfect place , 50 St. subway station 20 metre away , take 5 minute walk get Times Square . front hotel & quot ; Emporium & quot ; fine food , eat fantastic pizza slice 3 $ buy fruit salad eat room , microwave oven refrigerator . , important thing New York City amazing , least european couple like we . doubt get hotel get back . 
 Oct 3 2009 	 one good 	 second time stay hotel confirm first impression . hotel busy service check - in throughout hotel friendly helpful . room good size overlook 8th Avenue . well fit air conditioning , large screen tv ( many channel pay view ) , microwave , mini fridge , coffee maker coffee tea provide milk . also iron / iron board hairdryer . room excellent comfortable bed & quot ; system & quot ; allow adjust side bed 's firmness . also armchair ( two ? ) table number lamp together internet access desk / dressing table . also free internet access via four pc lobby . bathroom small bath ( ? normal NY ) shower well provide towel toiletry . clean towel change good . opposite well stock 24 hour Deli include fat free milk hot food take away ( beer ) . attach restaurant / bar ( Pigalle ) good somewat expensive especially drink good spirit / beer range include many belgian beer . 5 min walk north 8th ( side hotel ) 24 diner ( COSMIC ) excellent breakfast ( meal ) - good service price . also opposite good italian ( CIRIO ) , pollo parmagiano recommend . next north corner modern food store sell coffee cake eat in / take away well extensive range bakery product hot / cold food take away . two block south , side 8th , Duane Reade chemist / pharmacy need plus food drink ( incl beer ) gift . starbuck 2 min south . two main bus tour operator start uptown loop 8th far hotel . the hotel well situate 5 min walk Times Square ; around 15 min walk Maceys 10 min walk Central Park . Hope enjoy much we not make popular ! 
 Oct 1 2009 	 great girl weekend NYC 	 stay Hilton Garden Inn Times Square girl weekend NYC . hotel clean , room stylish service great . bellman concierge helpful navigate city . location perfect ... within walking distance Gershwin Theatre ( Wicked fantastic ) , Times Square Rockefeller plaza . able get everything need . eat attachec restaurant concierge give we name great restaurant near place want go . we hope return year two would definately stay ! ! ! 
 Oct 1 2009 	 sleep well go shop ! great location great room nice price 	 stay hilton 5 night major concern book location . say almost heart times square ( 1 min walking & amp ; m´s mega store , therefore , 3 min time square ) . , it´s safe walk around go back hotel time . perfect ! hotel typical u.s . standard , mean breakfast include , big bed spacious room hot indoor facitie ( t.g . a / c ) . bathroom nice cleaning . staff front desk friendly concierge doorman helpfull . There´s free wi - fi bedroom ( ask password front desk ) don´t bring laptop / netbook there´s internet point computer lobby use ( need room key enter ) . , actually nice place stay allow sleep well roll around NYC . 
 Sep 25 2009 	 Great Location theater ; great hotel Hilton Garden Inn Times Square 	 staff friendly helpful . room large NYC , normal midwest . room face street . happen lot happen , lot see . street fair Sunday . road block video something Saturday ( not see actually happen ; see set ) . location ( 8th St. 48th & amp ; 49th ) great going show . show go ( 7 ) 44th & amp ; 54th one block 8th St. also , Gray Line tour ticket place one block & amp ; catch tour bus , ! also , lot restaurant area . price worth ! stay everytime go . 30 minute LaGuardia , . 
 Sep 21 2009 	 Reviews not Lie - Great Hotel Great Value ! 	 Reviews not Lie - Great Hotel , Great Value ! stay ny many time ( Hilton , Hampton , Marriott ) , time go Trip Advisor ' review choose Garden Inn Times Square . everything good hotel , stand service- check - in check - out . reviewer right money ! every time need something greet friendly response within minute get need . room clean specious Manhattan standard . location great – walk Times Square , Central Park port , overwhelmed sea people close hotel would stay close Times Square . ton good restaurant choose nearby . price reasonable , think great value . 
 Sep 21 2009 	 great stay Hilton Garden Inn Times Square 	 nice hotel . service receive awesome front desk right housekeeping . stayed 11th floor 8th Avenue . 1 -2 block away Times Square ( right distance ) . close subway line downtown LGA . take bus LGA subway hotel 1 hour . also eat breakfast adjacent restaurant Pigalles . breakfast good service generally quick . within minute major broadway show . Billy Elliot 3 - 4 minute walk awesome ! also eat across street bar grill - good quick . also right across street grocery store deli use often inexpensive lunch snack . also walk attraction include Central Park , Lincoln Center , Empire State Building , Penn Station ( 1 sub station away ) , Madison Square Garden , Rockafeller Center , Circle Cruises , Intrepid Museum . FYI first night stay electrical fire basement hotel evacuate 90 minute 1 3 . even inconvenience would definately recommend hotel return next time Manhattan . 
