excellent 	 stay six night hotel price approx . 140 $ /night . bathroom , simple breakfast . time ' ve NYC , far good value money . location excellent , good starting point walk around city . addition , nearest subway pretty close . absolutely nothing complain . room ( experience NY standard ) large , clean , service good . excellent WiFi connection . 
 Sep 23 2009 	 Rudeness staff tarnish visit . 	 want warm greeting welcome staff . not expect . find entire staff rude . goon door intimadate supose concierge us disservice transportation need . not let guy recommend driver . take cab . plus side new hotel convenient location seem clean . exception staff observe male staff member use restroom wash hand . worry would never offer shake hand way . 
 Sep 19 2009 	 good place great value 	 easy place get , Comfort Inn Manhattan Bridge good value . room good size , especially New York . clean thorough bath among large encounter ny . also , room quiet entire hotel smoking . breakfast decent usual assortment muffin , doughnut , cereal , juice , coffee hot waffle . eat area bit crowded - expect . would definitely consider place . 
 Sep 18 2009 	 good value Manhattan 	 first trip New York not sure expect hotel , hear usually pay lot pretty small room . hotel excellent value - around £ 90 night double room , good size perfectly nice . comment would bed high ! breakfast area small table though never problem find space . continental breakfast not bad - tea , coffee , juice , bagel , donut ( seriously , eat donut breakfast ? ) , toast , muffin waffle make ready make mixture waffle iron . the fire alarm go couple time ( night , luckily ) nobody seem leave room , phone reception tell alarm sensitive probably set steam someone use shower ! hotel also two computer printer reception area free use ; helpful want check flight online print boarding card . the hotel busy street Chinatown ; seem safe enough area even night subway station ( Grand Street ) minute walk away . there one thing mention . first night bed wake bite one side body . not know bed bug not know else could got , rain day fully cover go outside . boyfriend however not bite . ' m go write horrible review say hotel bed bug want mention case anyone else find thing happen . 
 Sep 2 2009 	 clean hotel good deal downtown 	 take daughter start freshman year NYU . stay CI Manhattan bridge great experience . clean , new room , staff helpful . continental breakfast Belgium waffle ( make ) . near everything 1 mile dorm room . 's China Town , visit NYC 23 year love bustle area . walk distance Little Italy . great chinese place block 85 Chyrstie street . room good size ny , quiet , view Manhattan Bridge . little market ( 7/11 type ) need soda snack 2 door away . 
 Aug 22 2009 	 inscrutably worthwhile 	 neighborhood brand - new hotel locate certainly lively one : start point low - fare out - of - town bus trip Boston , Niagara Falls , etc .. addition , rich swirl Chinatown direction ; front door . contrast , clean - as - a - whistle guest room comfortable , 10th - floor hideaway repose tranquility , large - than - usual room New York City king - sized bed , ample bath , large flat - screen tv , WiFi , easy chair desk office - type swivel chair . initially concerned whether hotel 's location Lower East Side would interfere plan visit part Manhattan . find proximity Canal Street , public transit walkability Little Italy , Lower Broadway , St. Marks Place , etc . allay fear . even parking efficiently handle ( $ 30 overnight ) half - a - block away Chrystie St. garage . one downside : single elevator bit annoying . one hope management keep good repair . hotel amazing bargain city bargain . would gladly return . 
 Aug 13 2009 	 expect 	 stay room locate 10th floor . room overlook Manhattan Bridge financial district . million dollar view , complain . clean odd - look stain find bathtub . issue establishment mattress . rather high compare bed sleep . mattress stack top mattress box , catch another metal box stack item . literally jump mattress go bed . please note room small , management cram one bureau , coffee table , sofa chair , two bedside table really small room . however , ceiling quite high compare establishment stay , spacious horizontally vertically . WIFI complementary , get chance visit gym . the room small , heck Manhattan . convenient access various neighborhood i.e . SOHO , NOLITA , Little Italy , C - Town , tribeca , even Alphabet City . close subway station Grand Street ( B / D train ) , two minute walk place . breakfast complimentary , not expect fancy . many eat venue locate near hotel , Whole Food locate 5 7 block away ( Corner Chrystie Houston ) . 
 Aug 6 2009 	 Nice hotel so - so location 	 nice , new hotel good value money . room bit small , be NYC . however , cleanliness room , free wi - fi , free breakfast make size . major strike hotel location . located heart Chinatown , atmosphere around hotel chaotic smelly . be short walk South Seaport , obviously Chinatown , Brooklyn Bridge , etc . , anytime want get Midtown , take subway cab , inconvenient . 
 Aug 5 2009 	 great value beat track 	 return excellent stay Comfort Inn Manhattan Bridge Manhattan 's Chinatown . willing stay outside midtown , certainly good option . price can not beat ( $ 104 night , include basic continental breakfast ) , staff pleasant , hotel brand new ( clean ) many interesting thing see within walking distance ( Little Italy , Financial District , Soho , Ground Zero , Brooklyn Bridge , Staten Island Ferry , etc . ) not put hotel Chinatown . sure , neighborhood slightly chaotic , hotel modern quiet . want go midtown , jump subway 2.50 Times Square 4 5 stop . easy pie . otherwise 10 - 15 $ cab ride . as parking , garage 1 block away charge $ 30 day . $ 130 day clean modern ( ... compact ) room , breakfast parking . not think much well . 
 Jul 31 2009 	 new cheap Chinatown 	 new hotel around corner Canal Street foot Manhattan Bridge . basic accommodation free breakfast wi - fi . small lobby two computer guest use . room probably good view fifth sixth floor . situate across street high school playground . active street day become eerily quiet Chinatown shut night . plan food drink accordingly . easy access several subway line . apparently throw system chaos try add extra night exist reservation . arrive find reservation , despite give one , two confirmation number , show cancel check - in . assume isolated incident , along fire alarm blare twice three - night stay 9:30 3:30 morning , despite , thankfully , lack fire . just balance grow pain , give spacious , wheelchair - accessible room truly large bathroom , though wonder bed , although comfortable , sit high floor room design physically - challenge guest . all need clean , comfortable convenient place sleep . $ 104 taxis per night AAA rate , accommodation excellent value . 
 Nov 9 2009 	 Excellent rapport qualité / prix 
