pleasantly 	 pleasantly surprised hotel . Found Tripadvisor not dissappointe . find good rate hotel 's website travel site account AAA discount . room big expect ( NY standard ) appear renovate recently . staff friendly helpful . luxury hotel mean extremely nice price . subway 1 block away Central Park 3 block . would definitely stay . 
 skip look luxury 	 stay Lucerne Thanksgiving . will make simple : use luxury hotel hope find inexpensive gem UWS sadly disappoint . use mid low range chain , might pleasantly surprised . luxury hotel definition . like choice neighborhood - ave - also permanent home least several long - term resident grandfathere NY rent control law , not surprised smell cooking see small family live one room . opinion , slice New York life add character , rather give hotel air flop house , highlight drab , institutional hallway , cheap blanket , grimy shower curtain , unhelpful cheerless staff , general sense disease ... sum : recommend anyone accustom 4 5 star hotel . 3 star good , less take account permanent resident situation . 
 lovely hotel comfortable great location 	 Beautifully restore tastefully decorate hotel . standard double room queen size bed spacious , comfortable welcoming . staff friendly helpful . great location upper west side - stone 's throw Central Park ( pleasant walk park ' museum mile ' ) . subway downtown 2 minute walk . Breakfast not include room retrospect glad give we chance sample breakfast new cafe diner 4 day stay - none 400 yard doorstep ! 
 Oct 15 2009 	 home away home NYC 	 , first visit NYC , choose Lucerne base follow wish : stay quiet central neighborhood , close subway reasonably ( New York ! ) price . lucerne excellent account - staff courteous extremely helpful . queen room , although huge , still adequate accord city 's standard , coffee machine ( not room ask , read free amenity hotel 's website ) provide instantly MUCH appreciate every morning , along excellent Wolfgang Puck filter coffee . also like get complimentary newspaper leave door morning ( NY Times USA Today ) . room nicely make everyday satisfaction thing like iron ironing board , along umbrella , greatly appreciate we , stay week enjoy home - like atmosphere . thoughtful practical touch . breakfast downstair restaurant , Nice Matin , twice bit pricey , good . however , ton place grab quick , tasty cheap breakfast wonderful area ( Zabar 's , H & amp ; H Bagels ) Upper West Side . also , subway station 5 - minute walk hotel make visit whole lot pleasurable . taxis , whole stay come $ 295 night , although cheap , quite ok , price - wise , Manhattan stay . hotel 2 block away Central Park also Natural History museum . would definitely stay , hesitation whatsoever . 
 Oct 7 2009 	 great location beautiful hotel every detail attend -- decor amenity etc .. lovely ! 	 get great AAA rate upper westside traditionally decorate hotel.front desk staff pleasant accomodating.lobby , hallway room impeccably decorate well think out- flat screen tv , coffee maker room high end quality coffee tea , toiletry also high end.- rate incredibly low nyc ( $ 185 ) great location- neighborhood easy access subway . I would easily stay ! 
 Oct 6 2009 	 great place stay first time NYC . 	 first time NYC hotel perfect location . friendly staff , clean room , comfortable bed . room rather small , not long enough matter . elevator small . several time go stairway . glad 4th floor . loved restuarant next door Coppola 's Restuarant across street wonderful place eat . romantic , well price delicious . 
 Oct 5 2009 	 fantastic location 	 fantastic hotel would recommend stay . spend day & amp ; day search online right hotel would hear many awful New York hotel story . first visit New York disappointed Lucerne . request mini fridge room ; provide extra cost even ask low - noise level room ! ( ... story noisy hotel room ) room spacious 2 double bed , comfortable . good location ; one block away subway , close Central Park well ever italian restaurant opposite hotel . do not waste time search hotel New York book one . 
 Oct 3 2009 	 classy hotel friendly attitude 	 really like location , lot nice bar restaurant . helpful informative staff . nice quality room , right balance old new . free wi - fi terrific . 
 Oct 1 2009 	 excellent value Upper West Side 	 nice hotel room Upper West Side $ 189 ( w/o taxis ) unheard NYC , accord friend live . well Lucerne provide . room slightly small , average size comparison NYC hotel . great location within walking distance Museum Natural History Central Park . pick breakfast bagel H & amp ; H Bagels around corner start day ! bad part experience clean person try enter room without knock anything . hear key swipe handle turn . , & quot ; house keeping & quot ; & quot ; may enter & quot ; beforehand . middle change clothe , freak save fact do flip lock , allow door open couple inch . 
 Sep 29 2009 	 easily meet expectation 	 base great review try Lucerne disappointed . location excellent ( block away subway , pleasant night - time walk Columbus Ave mid - town ) , room attractive clean , front desk helpful . 10th floor room lovely view Amsterdam Ave . 
 Sep 20 2009 	 Nice . 	 stay King Suite young child teenager . hotel clean , spacious , comfortable good locaton ( one subway Times Square ) . close excellent restaurant . maid service door service friendly accomodate . however , front desk somewhat cold approach . welcome we hotel thank we stay find somewhat unusual . it son 's 16th birthday cake deliver room prior arrival . although four we register arrive King Suite , cup , dish two people . also inform allow light candle cake . disappointing . ( one staff member wshe Happy Brthday , , experience hotel . I find fault ths hotel basic . apprecate room . however , offer & quot ; extras & quot ; . 
 Sep 15 2009 	 Great Hotel - Great Service ! 	 stay one night Lucerne , definitely return . NYC Andrea Bocelli Carnegie Hall US Open Tennis tournament . although event nowhere near Lucerne , easily access nearby subway station . Zabar 's around corner well H & amp ; H Bagels . dinner across street Coppolla 's .... every good food ! allow check room early . room large clean . countertop bathroom rather small , complaint Lucerne . awesome hotel great location ! 
 Sep 9 2009 	 splendid hotel reasonable price ! incomparable . 	 stay hotel 4 night . room comfortable , quiet , well furnished . staff polite helpful often offer assistance never fail greet guest . good security several staff always lobby monitor coming going anyone come lobby . question answer politely promptly . room amenity - shampoo , conditioner , towel , soap etc first class in - room coffee . management staff quick acknowledge celebrate anniversary birthday help make occasion special one . walk tourist attraction entertainment find district safe daytime evening . public transit close need . wonderful place would hesitate recomment traveller look comfortable elegant hotel convenient location . Ann Hamilton , Ontario . 
 Sep 9 2009 	 would definately recommend hotel other ! 	 stay 5 night find service hotel friendly yet professional . request prior stay quiet room honour . room clean surpirsingly large . guest appear mainly family group old friend perfect us - want make sure hotel would quiet evening could get good night sleep busy day ! location side park middle choas Times Sq perfect look reguarly visit ny . - subway cab make cheap easy get anywhere manhattan . would definately recommend stay want peacecul hotel character charm convenient access NYC choas ! 
 Sep 9 2009 	 Excellent 	 stay 5 night find hotel extremely comfortable . room Queen Superior comfortable well furnished . point room tiny wardrobe / storage unit clothing , could big . however , hotel situate fantastic location wonderfull eatery within walk distance also close subway frequent train anywhere Manhatten beyond . Central Park 5 minute walk gem visit . fantastic holiday New York Lucerne ideal hotel stay . would hesitation return next trip . 
 Sep 8 2009 	 great hotel reasonable ( NY standard ) price 	 extremely impressed stay Lucerne . room quite large Manhattan hotel , immaculately clean super - quiet . hotel fully book , hear noise neighboring room . truly quiet oasis big city . bed unbelievably comfortable -- hard drag bed enjoy rest city . initially , concerned location , since originally want stay close & quot ; action & quot ; mid - town . however , decide Lucerne price tough beat amenity . turn great location , within block two Central Park , one block subway , locate stretch Amsterdam ton little restaurant pub . pay $ 200 / night , STEAL Manhattan hotel quality . good service entire staff . desk clerk bent backwards helpful , right assist we advance check - in next day 's flight . free wireless plus well . definitely back . lucerne among top hotel ' ve experience long history international travel . 
 Sep 7 2009 	 Best Deal New York 	 hotel stay check Trip Advisor find recent review posative . since travel New York often know hotel stay . get fair rate directl form hotel usin AAA . check card arrival . live previous reviewer . redone immaculate . room though huge good sized New York standard . eat restaurant hotel- Nice Matin plase . good food reasonable New York standard . like neighborhood- clsoe Zaybars . thing disappoint lack pool know go advance . great value money . 
 Aug 28 2009 	 Excellent Hotel Great Neighborhood 	 spend 3 night hotel two teenager plan stay . staff great , room nice Upper West Side ( much nice noisy Time Square ) location can not beat . one block subway , five minute walk Central Park many fine restaurant shop . mention price . Lucerne Hotel NY hotel market corner come value money . would hesitate recommend anyone . 
 Aug 26 2009 	 Excellent hotel friendly staff fair price 	 family nice stay Lucerne would stay without hesitation . pay excellent price ( arrange Westjet ) , problem reservation , staff extremely helpful pleasant , security hotel excellent ( always three four staff member duty lobby , way room ) , room spotlessly clean , location good ( close subway , walkable Times Square like like walk lot , cab ride theatre district $ 10 ) , be completely safe area , surround many great restaurant nice pub . 's restaurant hotel look ok , never use many interesting restaurant vicinity . minus ? well , room bit small - hotel room New York not ? take get hot water afternoon , reason . plenty first thing morning late night . go figure ! , everything fine - bed comfortable , air conditioner work great elevator fast . be like place ? 
 Aug 25 2009 	 Good go back 2nd Time 	 hundred , maybe thousand hotel nyc make choice hotel neighborhood difficult , good . Lucerne Hotel kind quality make one want return . stay one teenage son 4th July weekend , return August teenage son . Got & quot ; corner room & quot ; large enough four without we trip one another . advice room ask high floor get . pretty view higher treat first stay , second stay third floor . while hotel offer discount breakfast restaurant connect , find bagel shop 1 1/2 block south west side Ansterdam Avenue provide perfect combination fresh bagel cream cheese orange juice take back room . newstand corner every east coast daily newspaper desire ( get Washington Post day stay ) . hotel also deliver NY Times USA Today room compimentary basis . restaurant connect nice late night glass wine . parking NYC expensive , hotel offer $ 29 daily rate garage four block away ( $ 29 24 hour ) , valet park car $ 47 . second time visit take advantage park - it - myself option $ 29 . long time , nice way save $ 18 / day . about two block away West 77th Street Vai Restaurant . small noisy enjoy excellent food service visit ( , good go back 2nd time -- sure make reservation advance -- www.opentable.com good ) . 
 Aug 24 2009 	 clean good value money 	 stay wife five night happy stay . second visit NYC want stay away midtown close central park . plenty bar restaurant nearby . also subway station less five minute walk away . look stay uptown reasonable price hotel . free wifi also bonus . 
 Aug 21 2009 	 stay visit NYC ! ! 	 not waste time research hotel hotel NYC , place stay ! clean , spacious room , friendly staff , offer we two double bed price queen room book see travel friend . love quiet street feel close enough thing want see ( Central Park , museum ) . also able check bag hotel extra cost 4 pm check time . would highly recommend hotel ! 
 Aug 16 2009 	 clean hotel friendly staff fun safe neighborhood 	 stay hotel August 11 - 15 anniversary get great AAA rate via hotel ' website . first trip NYC pick hotel solely base Trip Advisor review . disappointed ! hotel locate residential neighborhood much less crowd midtown area . area feel safe day night . subway step away anywhere want minute . many great restaurant area ( Kefi , Nice Matin , shake Shack , Rosa Mexicano , Sara Beth ' ) . Central Park , Natural History Museum , Dakota building , Lincoln Center also close . free wireless internet little " spotty " still able log . room clean , quiet , air conditioner work well . bathroom pretty small bother we . staff member courteous helpful . plan stay Lucerne future . 
 Aug 14 2009 	 great hotel big room good location . 	 four we stay ( mom daughter trip ) . room huge easily accomodate 4 we . room clean quiet ( request room quiet side hotel ) . metro block two away . lot restaurant nearby . area quiet welcome break Times Square . would definitely stay . 
 Aug 14 2009 	 stay away disabled 	 hotel accessible . son wheelchair use crutche step . direct we side entrance wait set homemade ramp . steep narrow know could push make get wheelchair . fall try go ramp steep . every time want go hotel , would walk front door get bellhop let we side door . the room ok except dirty sock ( ) leave dresser . 
 Aug 11 2009 	 great hotel location 	 stay hotel base review , not disappointed . cost hotel seem par other NYC , maybe even cheap ( bathroom , etc ) . request room away street problem noise . staff nice . yes , room small be nice not go NYC stay inside hotel room . wonderful location , neighborhood nice close Central Park , etc . perfect someone would rather neighborhood feel not want stay Times Square . 
 Aug 6 2009 	 nice clean hotel fun neighborhood 	 nice homey . newly refurbish . room pretty ... nicely decorate , pleasantly surprised decor . bit small , safe store valuable , good value . bathroom nice roomy . tall ceiling . noisy say , fear . tired never hear thing 7th floor room face Amsterdam . convenient restaurant subway . breakfast restaurant fabulous ! salmon benedict . hotel give 15 % coupon . staff friendly helpful . free wi - fi . free paper morning . negative ... bed comfortable we could . bit nonconforming , not feel plush . Comforter . one night stay , really matter much , stay long , would long comfortable bed large room . however , would stay , thing consider , wonderful stay . 
 Aug 3 2009 	 great location value 	 get back two night weekend stay Lucerne wife three year - old , positive experience . we drive city , be easy get car west -- head George Washington Bridge , Henry Hudson , make leave onto 79th St boom , be . decent sized loading area front , doorman helpful . ask want use parking service , say thought could probably find street parking ( Friday evening ) . say could park across street use meter 7 , would let space 80th St. shift 9 . nice ! turn , immediately find parking street couple block away not need . early weekend , usually find free street parking Upper West Side . I check receive upgrade Deluxe King Suite Deluxe Queen , not necessarily want not mind . suite consist bedroom large living room desk , couch chair . tv 's living room bedroom . bathroom , fairly small , small kitchen area empty fridge , microwave coffee maker . bath tub , great little one . dish utensil provide . would nice glass addition plastic cup provide though . furnishing comfortable , bed nice . overall , come price would get boring single room many name - brand Manhattan hotel , that . there separate air conditioner two room , anything , bit powerful . window actually open . free wireless internet provide , although little slow . the service great . every single person work treat we well pleasantly . the room 4th floor , other point street noise . Amsterdam 79th busy street , bar restaurant Amsterdam generate noise . not bother we though . bother noise , request room high floor , face back . the location fantastic , especially be travel small child . immediate neighborhood Zabar 's ( large upscale market ) around corner Broadway , pick food self cater want , fridge microwave available . also H & amp ; h bagel number place . restaurant downstair look nice , not eat . American Museum Natural History short walk away , Central Park . nice playground ( Diana Ross ) 81st Street entrance Central Park . Met Guggenheim also pleasant , ~20 - 25 minute walk away park . the 1 subway line right 79th Broadway , literally 2 - 5 minute walk front door . take right Times Square downtown . go NYC Times Square / theater / shopping center vacation , great location stay , thing easily accessible , be much real , less touristy location . overall , great experience , recommend especially kid . 
 Aug 2 2009 	 Beautiful Surroundings Wonderful Service - could ask ? 	 family stay beautiful Lucerne 5 night . great service , clean spacious ( NYC ) room , comfortable bed , quiet night , good room temperature courteous bellman . bellman wonderful ask recommendation restaurant , buy snack use subway . time - recommendation great - thanks Manuel ! Central Park Museum Natural History within short walking distance . convenient subway entrance right street . great restaurant call & quot ; Good Enough Eat & quot ; short walk away visit twice ! 
 Jul 26 2009 	 LUCERNE HOTEL - CLASS ACT 	 small hotel around 79th Broadway convenient Columbia University conference well accessible via subway area . room clean , update ( flat Screen tv ) , nice compare NYC hotel stay . plus - give free paper morning norm NYC . 
 Jul 26 2009 	 Perfect Second Honeymoon Locale 	 deluxe king room two window view uptown river . clean room , great bedding , good size -- even entry way closet . location wonderful -- walk distance public transport , museum , Central Park . neighborhood perfect -- want taste resident New Yorkers without BLING Times Square . great restaurant along Amsterdam , . love stay much way back lovely jaunt Newport Rhode Island , opt stay one night instead stay coast . stay Jumeirah Essex House $ 350 , like room , Lucerne offer we much $ 210 . like neighborhood well , , much hip authentic . the doorman / porter wonderful rest staff completely helpful . perfect place we ! 
 Jul 25 2009 	 Lucerne ROCKS ! 	 stay Lucerne Jul 12 17 . check quick smooth , stay Room 1101 . Deluxe King Room absolutely fabulous ! room huge luxurious . bed bed comfortable . air condition cool work like dream , especially hot summer day NY . room view , fine we , afterall , spend day outside . room not come bar fridge , ask one , bring room within minute extra charge . Lucerne also provide free internet bring laptop , need get password front desk . location , hotel smack middle shop , restaurant subway . neighbourhood & quot ; true & quot ; New York , touristy Time Square ( stay year back ) . couple breakfast restaurant idea close fairly cheap .... ever popular H & amp ; H Bagels Zabars . one thing wish hotel ramp get lobby . stroller we , carry every day . doorman ever willing assist we . highy recommend Lucerne anyone everyone ! will back sure ! 
 Jul 24 2009 	 good place stay NYC period 	 find nice place money need post . travel NYC business never find well place . quiet , big room , great service . parking suck since $ $ $ NYC ? NYC SWBC stay ! ! ! ! 
 Jul 16 2009 	 impeccable 	 lovely hotel right fit week long vacation Manhattan ! locate one block subway , surround numerous restaurant Amsterdam Broadway avenue staff courteous professional , family thoroughly enjoy stay Lucerne . room somewhat small well furnish immaculately maintain housekeeping staff . hotel ' house restaurant ( Nice Matins ) upscale numerous restaurant close fit budget . Central Park block away quick lunchtime picnic ! highly recommend hotel first - time vacationer Manhattan . 
 Jul 6 2009 	 look 	 pick hotel location price , want go Museum Natural History , Central Park , Zabar 's . pleasantly surprised hotel , consider $ 200 night upper west side ( exclude parking ) .In Manhattan , usually settle place 's clean affordable . place clean - nice . quite spacious NYC hotel , easily twice size room stay last time near Times Square . staff friendly . although advertised , happy bring we crib small fridge ask , additional charge . also hear free wireless internet , not use it . overall , pleased choice make - definitely great place price location . 
 Jun 29 2009 	 Perfect Stay 	 ' ve part Upper West Side Manhattan 2 decade . hotel 's location safe neighborhood semi residential . hotel locate & quot ; happening & quot ; area lot restaurant , shop , flea market Sunday , occassional weekend festival , one great natural history museum world , mention Central Park brief stroll away . be position 2 subway line , also nice stroll Lincoln Center . year later , ' ve finally chance stay Lucerne , good could hope well . room ( delux ) clean spacious marble - top desk counter , comfortable bed , high - quality tea coffee bathroom amenity . housekeeping even stop make sure everything room order . street - face room - perfectly fine zero street noise contend - hotel locate popular street corner restaurant feature outdoor seat late - nite dining . the hotel live high rating Trip Advisor . really lovely boutique hotel act put together well . 
 Jun 28 2009 	 elegant Clean Great Location 	 reserve King Suite ( discount suite rate special available time ) . room nice , modern , elegant , clean . complete separate living area sleeper sofa King bedroom . appear one large room hotel . ideal travel spouse 19 year old daughter . bathtroom small generous NYC standard . service polite prompt top . WiFi internet free . grant 2 pm late checkout without problem . hotel great location many excellent restaurant walk distance . easy walk Central Park . one short block 1 train ( subway ) . area complete different experience previous stay Midtown . definitely stay . 
 Jun 26 2009 	 Lucerne great 	 book 4 night two double -not sure whether call deluxe superior . rather small 3 us corner unit , however price via Expedia good . request upgrade large unit , willing pay , give we complimentary upgrade 2 4 night wonderful ! hotel great location- short walk metro , park great eatery . nice neighborhood , hotel staff friendly . definitely return . 
 Jun 18 2009 	 smart affordable close central park 	 great hotel . expensive , clean , modern fantastic area want near central park . also , quick get time square right near direct tube line.there load bar , restaurant shop area lively young feel weekend columbia university student about . the hotel give 15 % discount breakfast Nice Matin , bar/ restaurant next door prefer diner nearby Broadwayfor real new york experience . barman Nice Matin , Carlo , however really friendly give we top tip area , good place hot dog bagel . 
 Jun 12 2009 	 Impressive 	 stay hotel overnight attend son 's college orientation . really pleasure stay night agreat short stay . check take 2 minute . Bellhop help we find parking spot across street save we $ 55 garage . room impeccably clean tidy , modern chic . comfortable bed sore point ask 6 am wakeup call never get . luckily light sleeper . great little restaurant /bar adjacent hotel Martin Matin something like . find new home NY stay . 
 Jun 9 2009 	 great location value 	 boyfriend stay Lucerne Hotel 6 night early June . hear Upper West Side good location traveller want avoid craziness Times Square choose hotel read TripAdvisor review . not disappointed . bit line check , arrive right 3 pm . book queen room offer inside outside room . choose inside room 6th floor quietness not hear peep street . still partial view 79th Broadway , not like face brick wall . room small city , not crowded . closet bathroom good size . bed firm comfortable . minifridge , not suite . could hear bit noise hall , nothing unmanageable . we really love location . W 79th St , close Amsterdam Broadway . Zabar 's right around corner worth stop ( three ! ) . tasty reasonably price restaurant area . Central Park 3 block walk away , Museum Natural History . Met Museum across park . 1 line stop corner 79th Broadway B & amp ; c block away Natural History Museum . take midtown 15 minute . personally , spend 5 minute Times Square , ' m glad & quot ; home base & quot ; . felt get well , less touristy idea live NYC stay . 
 May 31 2009 	 Pick View carefully : Noisy interesting Quiet Boring 	 stay several time Marathon -- suite bedroom living room pullout sofa . tiny kitchenette equally tiny bathroom -- service nice , however room clean . main drawback street noise Amsterdam -- people party night -- noise bounce build like crazy ... kind fun look window action jet - lag suggest book room -- call hotel directly make sure quiet room -- drawback quiet room mean face airshaft -- pick poison -- noise view quiet brick wall ! 
 May 19 2009 	 Great Hotel 	 stay three night Lucerne . value price excellent . room clean well maintain . staff great location ideal tourist . short walk museum Central Park . restaurant neighbourhood good access subway simple . free wireless internet access room nice extra . we return Lucerne fall see New York . 
 may 19 2009 	 Love Returning Time Time - never disappointed 	 wife stay Lucerne several time since discover hotel 2000 , continue charm hidden gem . recent trip , stay Lucerne immediately leave , upon return , two - week trip Europe . great place recover jet lag ! staff Lucerne – many since start visit – warm welcoming . treat people honor guest rather simply customer . the hotel offer amenity expect today , include 24 - hour room service ( provide adjacent neighboring restaurant hotel arrangement ) , modest fitness center , wireless internet connection , hair dryer , iron board iron , bathrobe . Lucerne also offer several thing many hotel ' : location , charm , value . the Lucerne locate 79th Amsterdam Manhattan ' Upper West Side . ' active New York neighborhood several Zagat - rate restaurant nearby ( include adjacent Nice Matin , Coppola be across 79th Street ) , well plenty shopping entertainment , within easy walk distance . hotel one block 1 - 2 - 3 subway line , quite convenient explore part area get meet downtown . ' also within striking distance Central Park , American Museum Natural History , Museum Mile . we ' tell building , complete 1904 , house dormitory nearby university . today , offer 180 room suite . clearly , management hotel understand important stay current contemporary . within last couple year , hotel complete thorough renovation guest room , ' ve come expect , everything top - notch . recent stay small suite , two queen bed bedroom sofa , tv , microwave , fridge , service item ( plate , cup , flatware ) second , small room . adequate , though King suite enjoy recent business trip absolute top line ! however , would describe even Lucerne 's standard room " cozy " , cramp , other ' stay City – include room major chain Times Square . finally , Lucerne offer excellent value . business trip mention , stay Lucerne save company $ 150 chain hotel have book Financial District . bean counter unhappy ( ever & quot ; happy & quot ; ? ) whether travel New York City business pleasure , highly recommend Lucerne ! will certainly back . 
 May 18 2009 	 almost perfect experience 	 four we stay Lucerne Mother 's Day weekend ( early May ' 09 ) . two mom 2 son . almost everything perfectly pleasant , helpful nice bell staff front desk staff check . room nice . get suite 2 queen bed pull couch . bed comfortable , though pull . plus pull couch , move desk could squeeze bathroom . 's NYC ! nice lobby hallway . Champagne chocolate Mother 's Day . clean , smell nice , nicely decorate . problem first day , AC sitting room freeze - compressor coil literally ice unit blow cold air . since 2nd unit sleeping area , not call front desk . unfortunately , 2nd nite around 9 pm 2nd unit also freeze , AC . not call front desk know husband 's AC business quick fix time want go bed . regret decision room get hot stuffy middle night window open . morning check , explain situation manager ( Darren ) ask deduction room , ask call downstairs night . also , say since least expensive rate already , could give upgrade next time hotel . sure feel great . hand , great rate . 's nice hotel nice area . go Cafe Con Leche around corner good coffee . 
