good 	 Novotel London West prefect location travel around London , hotel good link Heathrow . access car ideal m4 close large car park site , excellent value car park London . the room spacious lovely modern décor add cosmopolitan feel hotel . surprisingly city location close main road peaceful night sleep , could hear hustle bustle rare find London . new restaurant bar area ideal business traveller leisure traveller big improvement hotel . stay number time Novotel London West must say service also wonderful would recommend hotel . 
 weekend Novotel London West 	 clean , tidy modern . friendly helpful staff . meal ridiculously expensive poor value money . would definately recomend tuna salad Shame since let hotel . 
 hammersmith good hotel 	 Hotel room nice improved shower wifi , new restaurant much nicer modern 
 oct 22 2009 	 clean basic convenient tube room bit small decent 	 book room Priceline 's name price $ 71 3 day notice , much less hotel 's advertised price online $ 170 - 210 per night . look inexpensive place stay close tube station . hotel 3 minute walk Hammersmith Tube station . exit station , street sign direct go . either need haul luggage 25 stair around bumpy ramp ( almost knock suitcase wheel ) . front desk staff friendly , disappointed find free wifi ( mention several travel website ) . internet connection 12 pound per day , could go business center pay one pound 20 minute computer . room small , adequate . bed stiff .... uncomfortable husband not mind . two regular sized pillow , bunch little throw pillow . top sheet , fit sheet duvet . bathroom fine , little outdated . rate 4 - star , would consider 2.5 star . meet need , get reasonable price , would pay rack rate . 
 Oct 16 2009 	 bright contemporary hotel excellent service 	 recently pleasure stay Novotel London West part hotel inspection trip London . the hotel clean attractive modern decor . room spacious comfortable standard ammenitie . buffet style breakfast luch exceptional large variety choice . the staff friendly helpful- hostess Charlotte Jean gracious welcoming . the hotel locate quiet part city within minute London Tube enable travel part city , well London Heathrow airport . 
 Oct 15 2009 	 nice sized clean room Nice lunch 	 great experience .. nice big room friendly staff , checkin restaurant sale staff . Met Charlotte Jean , hotel hospitable , friendly willing help way could . lovely buffett lunch ... lot delicious option . would definately recommend hotel . thank . 
 Oct 13 2009 	 great hotel 	 stay recently good stay . check easy quick ( really important ) , room nice food also great - change restaurant newly do . hotel close Hammersmith underground ( important ) make easy get elsewhere London . low price lot central London hotel . recommend people stay . 
 oct 2 2009 	 WOW New Restaurant 	 stay Novotel London West , several year , read review smile , sometime always perfect , let face hotel , Personally never issue , hotel great , hotel open two new restaurant bar ... self work colleague eat several time new restaurant , food service exceptional . always room fresh , clean spacious ... thank Novotel Staff ... continue stay . 
 Sep 25 2009 	 Excellent Stay 	 hotel clean , bright spacious . upon arrival hotel staff attentive . the room spacious queen size bed double bed child . 2 single double . the restaurant staff helpful , cheerful immaculate . breakfast buffet style amazing . excellent stay 
 Sep 19 2009 	 great hotel long way city center 	 general great hotel . room number 5001 , be end hallway thus almost one come past door . hang & quot ; DNdist . & quot ; sign door review state housekeeping wake early . problem ( due sign maybe ) . bed comfortable , 's spacious room consider average size room London room verry clean ! lot choice consider breakfast ( english style ) , ownpoint share pot marmalade , cocopaste other guest . really itsipitsy problem . H & amp ; c line line stop Hammersmith 5 minute walk hotel . St - pancra station may need 30minute tube ride , city centre ( tover bridge ) count 15 - 20 minute . much restaurant de neigbourhood , small shopping centre tube station Hammersmith . 
 Sep 8 2009 	 good base explore London 	 Stayed Novotel visit Chelsea Flower Show . one reason pick hotel location close Chelsea also close Victoria coach back Stansted . take tube Victoia Hammersmith , find little difficult finding hotel use start use phone help direct we . head right way find sign hotel , follow . obvious entrance hotel well keep lanscape plant . efficient check - in service , option breakfast decline feel expensive , may worth money . en - suite room well equip , electronic safe , trouser press / iron , tea / coffee making facilite t.v . comfortable bed , enjoy great night sleep . maybe bit far really not find problem , use subway subway close night use bus , cover 3 day travelcard purchase stay . I intend use hotel future visit London . 
 Aug 25 2009 	 standard 	 room dirty ( hair spread bed toilet ) . also accor site book room 4 hotel give we one 3 person . ask supplement big room . every night ask additional towel waitress provide towel 3 people go 5 night . always true big hotel chain ensure uniform quality standard allover world . advice : get good offer go reasonable accomodation . differently , hotel worth full price ask . 
 Aug 24 2009 	 Location Near Hammersmith Subway Station 	 Hotel locate 3 5 minute walk subway station . room size moderat ' e since open sofa bed room walk room . pay internet wifi , find option subway station Macdonald 's wifi free . GSM tri band phone buy sim card Orange shop subway station . linen clean , leave lugagge area locate lobby , convenient travel hotel downtown sightseeing area . stay 6 night . 
 Aug 23 2009 	 not drive 	 good hotel , shocked find £ 1 per hour charge car park resident price cap despite length stay . nice hotel otherwise . 
 Aug 23 2009 	 two star hotel 	 Room Quality - room feel like travel inn , fine guess pay Travel Inn price come four star room experience sorely disappointed . furnishing basic good bed / bathroom definitely equivalent two star place ' ve stay . restaurant - food awful , overcook absolutely terrible price pay ( £ 20 ) . like food rubbery cheese , fry chicken veg come packet good value money taste awful . facility - stay one night not get try much . internet ludicrously expensive ( much surprise hotel tbh ) . reception excellent service fast pleasant . staff courteous throughout hotel lobby generally nice well keep . Conclusion - hotel four star hotel . two star hotel / possibly three star . be nice enough short stay 's relax hotel experience . want bed night 's fine . not expect much . 
 Aug 8 2009 	 great room accomadation staff restaurant slow $ $ $ $ 	 hotel Hammersmith well outside city ... tube 5 minute walk fact mother walker . staff exceptional accomadation restaurant really slow prod service . check check steller front counter bent backwards answer tourist question direction . although everything expensive find exception restaurant great bang buck . 25 min tube ride get tower london . stay room queen pull sofa split 2 seperate single perfect 12 9 year old & quot ; be touching & quot ; would stay dissapointed suggest go mall tube station get breakfast crepe shop get starbuck . way bar morning offer toast croissant 6 $ lb coffee although great cost dearly want canadian size refill . 
 Aug 3 2009 	 Cardboard motel 	 since management seem read respond review , tip : train clean staff . hotel seem hire manpower southern eastern Europe , good thing employment ( kudo ) , result , army staff roam corridor start 8 way late afternoon , vaccume , speak loud group , even see sit floor deep conversation . since hotel seem make cardboard , hear clean room upstairs , downstairs , right leave 8 . can not change wall , can not change uncomfortable bed , management well job training huge staff discretion tired traveller . despite modern look lobby , particular Novotel give motel feeling . grant audition go , corridor bar full singing teenager glitter outfit . can not imagine place would like without prop normal time can not imagine would pleasant place business traveller , must main guest , since location smack middle office building tad bite far attraction / main shopping area . wifi work room , expensive log lobby area . three internet machine un - staff ( be relocate surplus corridor ) business lounge pound buy 20 minute ( good deal ) patience wait teenager get chat . 
 Jul 29 2009 	 Weekend 24th July 	 Staff extremely helpful really look colleague . food buffet selection poor comparision 4 star property stay . room Executive Double bedded room find spacious Accor procedure proper pillow bed cushion make sleep light frequently interupted . finally cleaner morning would one rubbish cushion throw knock door , 3 time 8 9 am abit top ! 
 Jul 29 2009 	 Basic Hotel 	 hotel nice clean , although room quite tired bed uncomfortable . the food scratch . buffet dinner food cold high standard . the service recieve good , easy check check out . a lot foreign traveller , like surround english people , would recommend hotel . all , good stay , although quite price . 
 Jul 28 2009 	 nice tidy well price hotel central area 	 spend 5 night enjoy stay . central area . number restaurant pub within close walking distance . train station close lot shop . hotel although could refurbish good value money . one fault try get taxi . sit back time however wait ask reception call one use private driver instead twice price . lucky short trip . email also bite pricey however starbuck across road set office morning cheap breakfast option . overall good stay good position reasonable price . 
 Jul 28 2009 	 par 	 room small , even Euro standard , fold - out couch / bed , room . room heater . a / c . room always hot , sort respite , window open . 4 lane traffic final approach plane land Heathrow , sleep . next Hammersmith Metro , either hotel entrance 400 meter maze walkway stair , nerve wreck night . use tv pound l14.5 , 333ml water frig pound L2.50 , get charge even move see else frig . pound L17.50 breakfast option . Hammersmith Metro station plenty eat , neat place around staion eat . even airline crew rate pound L91 / not , hack beyond word . top , hotel lose power hour . 
 Jul 23 2009 	 comfortable hotel close tube stop overrate think 	 Novotel West London rate many online travel site 4 - star . would consider 3 star . staff helpful accommodating . book confirmation e - mail listed 12:00 checkin time , reception tell could get room 2:00 & quot ; be official checkin time & quot ; . & lt ; -- list unofficial checkin time e - mail ? comfortable bed . nice bathroom . clean . 3 minute walk Hammersmith tube station ( Zone 2 ) . great deal go around , proximity tube make good stepping - off location . beautiful mall , Westfields , 15 minute walk . due location west side central London , save lot time tube get back Heathrow pass core . wire internet connection available extra charge , WiFi . I book Priceline pay $ 75 usd . list rate website $ 164 usd , would never pay property . 
 Jul 17 2009 	 excellent friendly clean comfortable hotel . 	 stay hotel could well . staff helpful friendly . the facility excellent . must say personal attention Carl second none . would hesitation recommend hotal anyone want stay London . thank wonderful stay . Lesley 
 Jul 17 2009 	 fantastic hotel great facility customer service 	 ' ve recently stay weekend great stay . hotel well locate , attend need excellent customer service room comfortable adequate . , great value would stay without hesitation.o 
 Jul 17 2009 	 definitely 4 * hotel 	 well say hotel ! check July , inform breakfast , time time breakfast . even inform lift . do not surprise enter hotel find self lose . do not get wrong , hotel big point view , build use office premise convert hotel therefore infrastructure hotel look slightly weird . Worst check . lady check seem like hurry go home though 11.30am . ask lady keep luaggage answer simple & quot ; & quot ; . get one word answer question . stay , find male staff hotel helpful compare female staff . 4 * star hotel decent security whether hotel entrance guest lift . however , do not see apart camera reception area . suggestion , walk hammersmit underground station hotel night . entrance side road dark scary . sign board direct guest hotel sign secuirty camera security purpose . lastly , do not surprise enter guest room find actually enter 3 star hotel instead . room outdate funny look tv mention air - condition work half time . my suggestion , pay slightly choose well Novotel . stay 5 Novotels various Europe city last 3 week holiday honest , Novotel London west bad perception . Novotel Monpanase Paris consider 3 * star hotel ( sign board infront hotel ) experience hotel , place far well Novotel London West . well , good side hotel . first , location hotel near hammersmit undergound station secondly , bell boy hotel helpful every way possible . well guy , two point think . 
 Jul 13 2009 	 4 * hotel 	 Room seem quite clean outdated air con scratchThe room other say small basic . ok overnight stay would want stay longernot really 4 * hotel 
 Jul 3 2009 	 definitely 4 star 	 go wedding event hall . hall lovely , effective air conditioning unit . constantly hot improve . the room stay fine , apart form fact hot . air conditioning unit barely blow air , let alone cool room . complain 3 time . time , tell would resolve change . last time go complain , siad nothing could . would usually change room fully book unable . give we portable fan press matter really 4 star service . staff seem fed would guess person comment air conditioning . also say room actually proper air conditioning unit fan . speak manager check next day . helpful . fully accept receive pay , book agent directly hotel , nothing could . say take agent . say may able give discount next visit ; stop laugh , politley inform would return . another one friend book room agent , room cancel tell nothing could do . guess grateful actually get keep room ! go winter , unlikely problem air conditioning . plus side , breakfast good staff helpful . my experience confirm sterotype London hotel offer poor value money . 
 Jul 3 2009 	 great room service 	 one suit low floor find size room , amenity decor excellent London market . service excellent ( whether need nightcap late - night taxi people help ) . check - in check - out breeze - line , complication . understand lobbies midst renovation - group check - in area renovate high standard expect rest hotel soon follow suit . other tell , location convenient Heathrow well get west End City . 30 year experience business leisure hotel London market Novotel London West among good ' ve stay . 
 Jul 1 2009 	 4Star 	 stay hotel June 2009.positive point ; easy find m4 secure parking £ 1 hour . close underground station . excellent breakfast . quiet room . not positive . standard room appal four star hotel . bathroom clean stained sink . poor selection shampoo / bath stuff . Smelt drain . bed odd double room two 3 ft bed one table either side gap bed table one table . so choose sleep together small bed table drink etc seperately table ! one . fitting old scruffy white melamine , carpet fraying , t.v old huge taking dressing table . the reception room modern well furnish complete contrast bedroom . 
 Jun 28 2009 	 good HOTEL FAR 	 take hotel tourvery convenience area , undergound 5 min walk , good hub around . far aways go tourist arearoom big enough 2 people , nice , good bed , clean , bathroom good big 
 Jun 25 2009 	 could bad 	 check pleasant , Emmanuel person check we extremely courteous . proceed room , small claustrophobic . pull bed painful experience sleep . rag shower work . call housekeeping plumber came advise might want use wd40 assist fix pipe , work ! advise keep show remainder stay ! breakfast quite good number choice , avoid scramble egg ! dining element ensure understand constitute element . find staff could understand say english first language . e.g ask table clear get espresso , kid . speak clearly repeat . locate far major attraction take tube cab costly . shop locate close train station , need pharmacy etc . 
 Jun 21 2009 	 clean far away everything 	 clean , modern hotel superb breakfast buffet . unfortunately far away cental London . want see Big Ben , stay somewhere close . relativley close London 's Tube ( subway ) , get Big Ben half hour . one two Tube stop london rail system . little expensive side , ethnic flair , sometimes need travel . comfort king . amenity exceed typical UK standard even US standard . wash cloth . 
 Jun 15 2009 	 great location nasty pricing 	 London hotel notoriously expensive not give value money , hotel different . car parking cost terrible , surely free parking resident would not much ask . room fine , location excellent , outside congestion zone close tube . shame parking cost . 
 Jun 11 2009 	 Perfect location Central London - Heathrow 	 ' ve eat hotel restaurant several time wiht friend business associate , evening buffet amazing value money , staff always knowledgeable , attentive polite , huge lobby bar area perfect place meet pre - dinner drink . always favourite . however , time since have stay overnight , disappointed recent visit . room reasonablty size , ' ve always sleep well comfortable bed , visit high standard remember : - ) location hotel , 5 minute walk Underground , perfect direct access Central London Heathrow Airport , offer far superior experience would get central London hotel money . I ' m tell hotel undergo refurbishment , standard decor coah party reception example be come , can not wait return enjoy new improved version great hotel ! 
 Jun 8 2009 	 perfect place stay sightseeing london 	 book hotel special deal read review get bit worried . need woorie hotel great . fast check friendly couteous staff . lovely spacious clean room . stay fifth floor four year old son lovely quiet . bed lovely comfy pull bed son . breakfast superb plenty choice serve lovely restaurant . can not wait go back . thank staff . 
 Jun 5 2009 	 genuinely good value money 	 good location , good room , good service , good food . nothing outstanding , nothing poor . decent solid business hotel . 
 May 21 2009 	 Worst Novotel ' ve ever stay in- perhaps bad hotel ... 	 hotel pretty apalling , ' ve stay several time business . begin ... 4 lift , be lucky 2 working time . ' ve walk smoke smell corridor , will lucky room card let door find back reception get sort . inside room bed terrible- look old saggy , bedspread look well use . use 4 terrible square pillow , 2 . last stay aircon blow hot air- would lovely Winter , need turn . ' ve room not manage flood bathroom . either seal wear glass , last stay show drain block . oh , shower incapable keep constant temperature . foul smell come drain sink ... like another review said- ' m still wait someone come room fix tv ... one occasion phone rung reception want room service . would think would someone hotel somewhere would pick phone- unprofessional . find staff member speak English also challenge . good location . 
 May 16 2009 	 recommend 	 stay time basically location , great , hop , skip n jump Hammersmith tube station . still good , comfortable hotel staff helpful , especially emergency ( ! ) room great size food also really good , though London hotel little expensive side . reception staff excellent - thank ! 
 may 12 2009 	 big hotel London 	 stay four night Holiday Inn Oxford Circus move Novotel - London West . help available take luggage lobby move first floor due renovation . thing get well . room big spacious comfortable . even toilet / bath large . surround area nice reataurant pub two . tube five minute walk away . 
 May 12 2009 	 Excellant Business Hotel 	 stay hotel couple night business London find meet expecation middle range hotel . the hotel locate 5mins Hammersmith tube line great get Central London without much hassle . also 10 min walk Hammersmith bridge find nice pub eat drinking Thames sun decide come .. room average sized basic , comforable quiet , good selection cable tv channel . broadband connection room bit pricey 12 pound day seem reasonably fast . a buffet breakfast part package excellant full english affair , serve 6AM help get food morning change . there reasonably price restaurant bar downstairs although tended go outside evening Hammersmith high street 5mins away . overall well price good value business hotel say tin ! ! ! 
 May 11 2009 	 expensive 	 stay Novotel 6 night . first day ask see extension cord need medical equipment lady reception say would check wam still wait hear back . also report heating break cold . maintenace come look say could fix morning problem motor . still wait get fix . fourth night must group floor door bang 9 pm 1 am contact reception noise take hour come floor . overall friendly staff expensive . would stay ! ! ! ! 
 Apr 29 2009 	 Standard chain hotel need bit refurbishment 	 stay business trip . large hotel . room decent size bed quite comfortable room need bit refurbishment - carpet room quite worn bunching place . use internet cost 12 GBP/ day . booking include breakfast , pretty large buffet - heavy british breakfast fare light fresh fruit ( least April ) . hotel host large group flight crew . within walking distance Hammersmith Station - Underground bus . would not stay pay cost high . 
 Mar 6 2009 	 lot prob room great breakfast good price 	 struggle find place initially find look rather flash get . huge full business folk . allow check two hour early huge relief hurry return hire car get Adelphi matinee 3 pm . room almost identical Bristol Novotel , colour , stupid plastic drinking ' glass ' , sofa bed open two single utterly ridiculous little square ' pillow ' double bed . time mini ironing board wall permanently attach iron too . day 2 see problem come light , none serious never bother tell staff breakfast third final day . want fix , urgently sort we . actually not feel confident would however , base room cleaner do already , listen approach woman reception not write list issue ! maintenance fix not write ? ! two night us adult four shower we ( child bath ) . two four occasion shower head fall break bracket hit husband head . not appreciate . go draw enormous curtain find many hook come curtain pull side make REALLY tough move determined block light none us jet - lag folk would ' ve sleep . 's matter time someone pull curtain rail , truly . try turn iron prehear get iron board . light come go straight . turn wall socket , , thing happen . turn one time light not come . iron not work . decide leave go set iron board fall wall ! try put back discover raw plugs wall secure screw ... roll paper ! leave iron board lean floor , really caring time go tell reception next day . room maintenance folk discover simply push paper back , screw back ( loosely imagine ) iron board hang thread therefore . ridiculous ... second night room service late - night treat fast come lovely . try use internet tv meantime bloody nightmare ! keyboard mind 6gbp 24 access go another 12 ( cheap , short option available ) . big waste money quality . breakfast great generally greasy ( like Bristol Novotel ) . busy though . Hammersmith great location room price pretty decent child eat free . be probably good choice other situation perhaps unfortunate get room many maintenance issue . 
 Mar 4 2009 	 Handy Apollo plus good price 	 stay Novotel partner go see show Apollo . £ 89 bed breakfast seemd good deal we - even well thos famile kid , & quot ; kid eat free & quot ; family four get B & amp ; b £ 89 . Location Apollo excellent - short walk maybe 5 minute , though route obvious - need cross one road go next . room fine , facility good , though bed firm side - partner sleep badly . noise problem bathroom well fit supply . breakfast fair - sure put , basically lot peaople , little organisation one bowl ingredient put self - serve . 30 people try sefve eight plate hot stuff ( bacon , egg , sausage , etc ) one toaster , one juice station .... , could well , realistically price complaint . parking cheap , be stay £ 1 hour . end pay £ 16 sound lot , worth convenience . for snack , & amp ; King Street less 10 minute walk . can not go wrong & amp ; snack ; ) 
 Mar 2 2009 	 good family hotel 	 room 4th floor comfortable clean . room small sofa bed pull , sleep there . good English buffet breakfast plenty choice . the hotel short walk Hammersmith tube station . excellent location easy access centre London District line , Piccadilly line bus 9.this hotel good value family would certainly stay . 
 Feb 21 2009 	 terrible 	 stay two night wish read review first . hotel decor tired room corridor smell cigarette although smoking floor . room arrival , complimentry tea coffee tray need total restock one towel three us contact housekeeping breakfast bad service terrible , complain restaurant manager say could breakfast free . check later morning restaurant manager came say second thought want charge . refuse pay , become quite threatening , .I leave say head office could write want . needless say will not back . 
 Feb 18 2009 		 previuously ( family four , two adult , 2 teenage daugher ) find Novotel hotel good value ; time exception . room 4th floor , maybe , slightly & quot ; tired & quot ; sleep comfortable clean . bathroom fine , hot shower . Breakfast all - you - could - eat- buffet English , Continental Healthy option mix all . reception area bright spacious . staff courteous helpful . access central London easy quick via District line . all pleasant , good - value family visit London week - end hotel . 
 Feb 2 2009 	 hot water uncomfortable bed smelly . 	 terrible hotel . location , not anything redeem . water cold , bed uncomfortable , room smell bad food breakfast terrible . would avoid property ! 
 Jan 30 2009 	 Novotel - thankyou ! 	 stay Novotel 24/25 January 2009 friend . London family celebration . want good value hotel easy access airport . novotel fit bill respect . book superior n / s twin room £ 109 per night . take several e - mail telephone call book room , want refurbish room tell available £ 109 , £ 89 rate advertise web - site . on arrival tell superior twin room hotel , superior double , despite e - mail confirmation say otherwise . offer smoke double sofa bed , accept . eventually wait hour reception sort thing , double non smoking sofa bed find . worth mention point staff quite unhelpful make feel one cause problem . order taxi , give try make understand , receptionist explain 5 people taxi incurr extra charge - 2 we ! room fairly small lovely damp smell ! Added LCD tv room not work , room available tough ! . blanket sofa - bed see well day , bobbly threadbare , good look ! sofa bed comfortable sleep , unlike bed rock hard . on Sunday morning rudely awaken 8 am clean came march turn light ! nearly 2 am get back hotel night , really not need this . on positive note food good staff restaurant pleasant . the location hotel excellent we , many problem stay . 
 Jan 24 2009 	 ok compare London hotel 	 hotel great location look good outside 's little tired get know place . could makeover , London , hotel probably mostly fully book , something tells not going happen . still , could far bad London be Piccadilly line pretty central . 
 Jan 15 2009 	 Good 	 firstly , price good return & quot ; change / refund & quot ; book time advance . surprise , hotel near tube station mean walkway hammersmith area pleasant anyway . spacious lounge etc . room little cramp three , everything immaculately clean fresh quiet . breakfast among good find . back , hope . 
 Dec 29 2008 	 good alternative hotel outside Zone 1 	 stay London West 4 night spread course 1 half week . budget , rather relive horror story dingy , cramp & quot ; hotel & quot ; Bloomsbury Bayswater region pay nose brand - name place City , piccadily etc , choose stay Hammersmith Zone 2 Zone 1 easily accessible via tube . hotel short 5min walk Hammersmith tube station - walk alongside bus terminus , Loreal Sony Ericsson 's london office . also leisurely 20min walk Tesco 's Cromwell road . mall Hammersmith tube station , London West thus serve supermarket , fast food restaurant , chemist et al within walk distance . the London West look industrial rear approach Hammersmith tube station route hotel 's lobby crudely tar , pothole inside , decor set typical mid - range hotel . front facade hotel , face Hammersmith flyover & amp ; house look modern clearly well maintain . the hotel flank one - side Hammersmith flyover small side street 2 side . throughout stay , reception keep busy family flight crew check . stay 4 different room stay . room suffice decent comfortable night 's rest , room comfortable other . the room 3rd 4th floor old low standard 7th 9th floor . particular , room 3rd 4th floor look tired furnish seem like early / mid 90 . conversely , room 7th 9th floor LCD television , double bed overall , modern furnish ... grouse stay 7th floor room 7031 next service entrance use staff deliver bedding , room service et al hence , could hear door open slam every time member staff use . view nothing crow - either get view flyover view roof carpark / back building minor issue room often day . service quality staff vary . gruff seem bit stern other friendly full smile . one particular polish front desk staff take pain swap room complain floor 3rd floor room chilly ( despite turn heating 1+hr prior ) & amp ; toilet cistern flush properly . apologetic make effort solve problem even though clearly busy day room occupancy high . contrast another member staff remind we , almostly sternly , check promptly 1 pm walk request late checkout , get back slightly noon post Xmas sale . overall , London West decent place stay . location good room comfortable enough good night 's rest . London west good alternative hotel Zone 1 . 
 Nov 14 2008 	 Seemed overprice ! 	 ok stay conference eali week . Booked company choice accomodation type . room ok , seem sterile , i.e . white washed , good clean . Bed Sheets seem slight itchy room cold 1st night . * ADVISED * : key card get wipe keep credit card mobile phone . tell reception would save several trip , long corridor back reception get re - cut . extremely annoying . especially 6 cleaner stand right outside room refuse let ! room price £ 144 per night , inc Breakfast nice full English Buffet . get chance use hotel facility seem like way much . example book suite wedding night nice hotel Thames ( albeit outside London ) slightly less . they also smoke room amazed welcome . for business would say slightly average hotel . sure would want stay reason though . 
 Oct 24 2008 	 nice room good breakfast close Tube 	 hotel five minute ' walk Hammersmith bus tube station , make onward travel central London Heathrow airport easy . Sign post hotel not great , 's map website easy enough follow . see , people tend come side door , mean walk Hammersmith Road right turn step gym . quick route , court yard front hotel dire need repair . may belong Novotel , be welcoming , darkness night , loose cobble / pave could dangerous . the hotel work do internally , reception , bar restaurant look feel fresh . food high standard well . breakfast really good - plenty choice . however , good may , be cheap breakfast . the room hit miss . refurbish significant number , generally good - comfy bed , reasonable furnishing , flat screen tele . room still not good , although due work time soon apparently . it large hotel , whilst glaze good job keeping noise ( aside police ambulance siren ) , corridor quite noisy time - usually odd hour morning . conference centre well , often large group finish together late night , return room en masse . down side gym . get discount coupon something neighbour gym . 's good gym , really want traipse outside ( especially autumn / winter ) , aforementione problematic paving stairs public gym ? hotel size , facility . 
