best 	 stay Monday morning Friday evening , complaint . with 5th Avenue second walk away , Rockefeller Plaza Centre road , Central Park less ten minute , could not choose well location . already read review , tell we hotel good business couple ( family ) room small . plan stay room much , New York , anyway ? ! check - in quick . hotel feel new really clean . clean service room , exceptional , -even though would ' ve save towel re - used , clean one daily , along new bottle shampoo , body lotion , mouth wash etc etc . not eat restaurant , comment , -only always , though , plan .... not even ever breakfast hotel . -we draw Concourse level Rockefeller , breakfast , several occasion , -as good variety , brilliant place sit , watch world go . pour many idea New York hotel , , end , pick one ideal . 
 Jul 23 2009 	 Great Hotel Great Location 	 clean , quiet , close everything - mostly walk subway trip . stay total pleasure , problem check - in , staff curteous helpful . price get 3 night quite incredible NYC , especially consider location , cleanliness comfort provide . add bonus , moma block away Top Rock - good view city . 
 Jul 22 2009 	 Use location price 	 stay 3 night find Club Quarters offer excellent value perfectly good quality room little small size . location hard beat , though entrance street unimpressive . not bother bar / restuarant ( New York plenty good place ! ) except use free internet . try get upper floor , higher well , bit street noise , face onto . 
 Jun 30 2009 	 um ... ok exceptional 	 place ok great . location perfect people want shop broadway . hotel frustrating aspect . seem silly number 1 annoyance elavator . use card get floor want understand add level safety , do not actually work . many time go al 20 + floor get floor would not believe . be not one . also ladie housekeeping talk , yell , back forth across hallway different room early morning . fun try sleep . 
 Jun 24 2009 	 spacious respite business traveler well appoint little noisy 	 stay two night business . find room unbelievably spacious midtown hotel . ' ve stay Club Quarters location always find room well appoint . small sink , fridge , small cupboard , ample desk living space . bathroom clean , shower pressure temperature excellent . bed comfortable many pillow different firmness ( really like hotel ) , find good one . one big pet peeve curtain do not close way allow much light . however pitch dark wake 7:30 work thank curtain . I trouble get sleep believe 's nightclub right next door . find annoying room shake every often beat music . highly recommend ask high floor . second floor noisy . luckily dead tired pass not issue . the lounge 7th floor invite relax . meeting unwound cocktail read paper front tv . crowd service attentive . not eat restaurant can not comment . thing find odd not iron room . dress shirt need iron even basic hotel ' ve stay midtown manhattan iron . maybe 's encourage use laundry service : ) bother , improvise run hot water steam bathroom get wrinklke shirt . also internet works room , free ! go wrong staying location , professional service , value . 
 Jun 13 2009 	 Good Catch Great Price 	 look inexpensive yet good hotel room always seem challenge NYC however , stay Club Quarters Rockefeller Center , say impressed satifie stay . location great , front desk get we room quickly mention pleasant . room modern clean . bit small business like however would still stay . 
 Jun 8 2009 	 Great Location Great 	 good little hotel . great location . good size room ny . nice terrace bar view rockefeller centre , radio city st patrick . Menu look good breakfast fine . would stop . 
 May 29 2009 	 good hotel 	 hotel friendly . terrace church view , good cuisine . computer internet , free water corridor , great staff . miss frigobar . great location , front Rockefeller Center near Times Square . back . 
 May 20 2009 	 Great Location 	 great location New York City . hustle bustle Times Square , close enough thick within minute . Rockefeller Centre second hotel , close Subway station too . staff friendly , seem helpful enough . room compact , comfortable clean . would definitely consider hotel return NYC . 
 May 17 2009 	 great location clean room good long stay 	 stay 4 night never visit New York . location excellent within walk distance major attraction . one drawback lack cupboard space two we , although manage . hotel use lot business traveller fine couple , not think ideal child . stay 26th floor generally quiet , extractor fan bathroom switch . despite happy choice hotel think good value . 
 May 7 2009 	 Perfet Business Travel 	 hotel great location within walk distance many main attraction Midtown . room beautiful clean . bathroom makeup mirror , hair dryer , removable shower head great water pressure . complaint would terrace Club restaurant service slow tip automatically add bill , regardless number people party . this hotel perfect single traveler couple look classy hotel without worry child loud room party bother they . note : room one bed . would like 2 bed , single / twin bed available room view low floor hotel . 
 may 4 2009 	 clean good value central position 	 book hotel Expedia.com Orbitz.com , average 100 4 night . build Rockefeller Center Hotel share lobby reception , excet Club Quarters high floor : plus : less noise come street , minus : long time wait 2 elevator . stay eat Rockefeller Center Hotel Club Quarters stay well former . Rockefeller Center Hotel microwave refrigerator room big LCD tv . club quarte view well tv small facility . plus Club quarter 2 desktop workstation use . Rockefeller Center Hotel one . 
 Apr 13 2009 	 Disappointing 	 usually stay Club Quarters downtown wall street , quiet reasonable price weekend . choose Rockerfeller Center location Saturday night go theatre . extrmemely disappointed . room clean comfortable , even small ( hard believe ) CQ downtown . HVAC work wall paper thin could hear conversation room either side we . even bathroom wall within room thin could hear everything . elevator EXTREMELY slow . check ( arrive 4 ) tell still clean room seat . another couple walk immediately behind we give room . stood ask could get room say , & quot ; oh sure ! & quot ; not ask , know long would sit ! go back downtown next time . worth long walk subway ride . 
 Apr 7 2009 	 Perfect Location 	 spend one night perfect place spend one night . room small - heh , room $ 300 New York small . room well appoint , clean , comfortable . bathroom clean . tub , good size shower . room quiet - not know middle ny.the view room - OMG - St. Patricks east rink 30 Rock south . for traveler drive city , parking arrangement perfect - discount parking garage 3 block away - two walk moma courtyard another building . the restaurant / bar hotel great place afternoon cocktail snack heading dinner Lincoln Center . breakfast next morning reasonably price good . we feel like find diamond rough hotel . 
 Mar 29 2009 	 location ... nothing else 	 stay 6 night March - premium room ( mean large spartan ) .what good ? everybody else say , locationwhat bad ? room remind Belgrade early 80 . basic . large : rather high ceiling . very noisy . premium room first 6 floor street noise ( Cowboy - theme restaurant next door ) unbearable time . the Terrace might great spot summer : tired sad go . altogether , poor value money : much well $ 300 low season . 
 Mar 24 2009 	 GREAT location 	 small hotel midtown Manhattan . view Rockefeller Skating rink window . stay standard queen room small , clean comfortable . request extra pillow washcloth deliver within 5 minute . concierge , front desk staff available question / recommendation 24/7 . hotel within walk distance many thing - Broadway , Times Square , 5th Avenue , Central Park , etc . location make difference long NYC weekend . small deli / coffee shop next door pick bagel fruit breakfast am . would highly recommend hotel 's location alone . save we lot cab fare ! 
 Mar 22 2009 	 great spot perch midtown 	 small efficient spotless room . upgrade check - in get room early . good service several request . tv remote miss send one right . 
 Mar 8 2009 	 Excellent Location - Excellent Service 	 husband stay Club Quarters last minute trip NYC . great find . block Rockefeller Center Radio City Music Hall , two block St Patrick Cathedral , six block Central Park . room small well lay . not feel confine , even crib room ! check smooth quick staff incredibly friendly . parking 2 block away validate $ 35 24 hour ! ! block away Heartland Brewery . excellent place dinner . selection handmade beer great . overall really enjoy hotel would definetly stay ! 
 Mar 2 2009 	 good location 	 brilliant location NY hotel . room small comfortable . flat screen tv modern decor bathroom beautiful . pay € 2,000 one week two we . considerably pricey consider breakfast include . go restaurant middle floor lunch first day . come $ 36 give $ 50 waiter take pleasure tip $ 14 . do not eat . problem tip , would like . breakfast additional $ 18 . location fantastic fabulous holiday breakfast include price . vend machine free bottole water well room service demand include every takeaway ou would wish . hotel fantastic would stay would eat restaurant principal . 
 Feb 27 2009 	 Best location small bedroom poor service 	 good location NY ! go christmas time good place stay , small room average city , ` expect much service , cold away . overall fair enough . 
 Feb 11 2009 	 Great - complaint ! 	 great location service . comfortable , clean , quiet room . would stay ! 
 Jan 16 2009 	 Perfect location busy trip 	 stay 5 night New Year ( write separate review Bubba Gumps restaurant spend NYE ) impress . take taxi La Guardia cost US $ 45 include good tip driver great also stick traffic hotel ( would expect ) right next Rockefeller Centre huge crowd see tree skate rink . hotel arrange car take we JFK leave 4.30am start US $ 65 plus tip . the location perfect , easy walk distance Top Rock , 5th Avenue , Broadway , Times Square south end Central Park . take hop hop bus tour , pick Times Square , take we major sight south Manhattan include Statue Liberty Wall Street also Uptown loop take we entire way round Central Park Harlem . US $ 49 ( valid 48 hour ) ticket could do trip not time good value . the room clean everything need nice , comfortable stay include free ( easy connect rarity trip ) wi fi , good coffee decent shower . also access free drinking water hotel provide water bottle next water take room really good idea . our room overlook skating rink Rockefeller Plaza nice touch ( 25th floor – room 3 ) . real road noise , although taxi horn go night 's hazard stay centre city . the staff pleasant helpful unlike place ' ve recently read , not always hand tip good . make feel like leave one . there bar / restaurant right next door call Johnny Utahs first glance look like may bit dodgy would highly recommend , even family – 's nothing upset offend kid family . food excellent ( texas brisket must try ) , staff friendly helpful atmosphere relaxed . plus beer good ! bar hotel great place escape hectic day sightseeing would definitely stay . 
 Jan 4 2009 	 Brilliant Location perfect not want masse facility 	 keep review hotel write seperate review holiday . we book hotel ebooker get decent price , worth check . never issue Expedia make sure reservation send Expedia great . I previously read review , not load review , like hotel , one seem give good solid thumb up . when arrive early room ready handed case tell come back hour . head explore little room ready . first thing strike location absolutely brilliant , middle everything , short walk Central Park , Theatre District Rockefeller 's doorstep Radio City 's . good place eat / drink nearby , handy bar call Johnny Utah 's right next door , take fancy , roadeo bull go ! back hotel room ready assure get room pleasantly surprised . stay ny many time use shoe box room pay nose happy room feel compact absolutely fine modern clean . menu room could order 24/7 hotel deliver ( outside restaurant ) . mention diner call Big Daddy 's Diner Lexington downtown deliver 24 hour Fridays Saturdays , eat diner food great highly recommend it . there terrace bar 7th floor also small restaurant whilst not eat drink . like hotel bar tad pricey side expect . menu breakfast / lunch / dinner look decent enough bad price wise far cheap option around corner . good diner nearby Appleby 's walk westward 51st Street across avenue corner Eileen 's Stardust diner ( GO - ABSOLUTE CRAP ) , bust right corner walk avenue look leave will see , good food , good price . there fitness room not really look hear people say ok , nothing amazing fine even deliver fitness equipment room request free think great . we want late check $ 35 could room til 3 pm suit we great . check - in absolute breeze . I love hotel , exactly need , happy room service menu feel well big hotel absolutely chuff find place . look clean , comfortable modern place stay not mind big hotel facility like swimming pool , big gym big bar restaurant , happy relatively small bar / restaurant facility ( bar never really busy ) small workout room absolutely feel like ' ve lottery . good part location , would stay future , promise . 
 Dec 9 2008 	 Great Location 	 daughter always try visit NY around holiday take site visit holiday fair go . year hotel price pretty high decide try Club Quarters use friend business associate . pleasantly surprised location - directly across tree Rockefeller Center course half block great shop 5th Ave . room ( 1103 ) small - daughter believe stay small one night issue . bed small know ask two bed call desk tell never guarantee supply roll - a - way . exactly envision go - alternative really . bathroom small - bathtub - need besides basic necessity . use , go see Terrace Club beautiful place comfortable chair around fireplace , flat screen tv , beautiful bar table outdoor enclose patio year round dining . Sunday everything close early - 10 pm - still shop miss club . hotel great deal - 5 restaurant different food deliver nominal charge 2.50 . return hotel 11 - contact deli - order food deliver within 30 minute time frame . definite perk book - really expensive , deliver hot good . also fitness room adequate free bottled water floor also great perk . I not know room would measure city size one New York - see chain hotel - comfortable , clean , great location easy check check ( computerized ) 
 Dec 4 2008 	 Fantastic Hotel 	 stay Club Quarters Hotel 4 night 27th November partner . think hotel great , perfect position , 10 minute walk Central Park 5 minute walk Times Square . receptionist helpfull , always suggest somehwere new go also make restaurant reservation we . I would read review room say spacious plently cupboard space , bathroom clean everything need ( could done dust though ! ! ) .If visit New York would definately stay , compare place would stay city 100 time well ! see reception also provide discount icket major attraction . 
 Nov 26 2008 	 good location ever 	 return short break new york stay club quarter . hotel fantastic location well get . modren clean . room good size relation new york room size . ice state radio city accross road . staff frendly helpful assist question . stay sixth floor need room key operate lift . breakfast terrace club , well worth visit view st patrick food little cold . dinner johnny uta two night . food fab athmosphere good . busy stop mid week local office worker . main attraction johnny uta rodeo great fun watch . all sight new york within walk distance club quarter , time square , empire state building , macys . Fifth ave 30 second walk . mostly shop jearsy garden outlet fantastic bargin . get bus port athority 34 street 8 ave route 222 bus 111 . well worth visit . will def stay hotel . enjoy new york ... 
 Sep 21 2008 	 well place stay ............... 	 wife visit New York City September 5 – 8th 5th anniversary . ' NYC wife ' first visit . I book package deal leave Buffalo Delta Airlines stay Club Quarters – Rockefeller three night . flight non - eventful however touch JFK sit ground half hour wait spot park plane load . book SuperShuttle transfer hotel ( horrible .. not book Super Shuttle … ) . rush hour fact Fashion Week NYC Fashion Rocks show hold Radio City Music Hall ( directly across street hotel ) tough get hotel . we finally pull close hotel see barricade , cop paparazzi place . manage navigate crowd lobby immediately ask hotel receptionist fuss . tell we star Fashion Rocks show get dressed hotel . 2 minute later elevator pop Miley Cyrus right past we await Hybrid Escalade two minute drive red carpet Radio City Music Hall . after Miley celebrity celebrity … .. Blondie ( Debra Harry ) , Pussycat Dolls , Naomi Campbell , Ashanti etc . miss Fergie Carrie Underwood apparently too . welcome New York ! finally get room 14th floor pleasantly surprised . room relatively small clean well appoint . Club Quarters offer free purified water bottle enjoy leisure ( machine happen outside door ) . queen size bed nice . sheet crisp bed comfortable . because room small not alot space store luggage however enough not trip everything time come room . the staff accomodate helpful ask provide direction often look internet print information right spot . also map umbrella 's need they . the bathroom nicely decorate big enough two get ready . shower good , plenty hot water good pressure . want drink snack 7th floor terrace however afternoon try set wedding reception evening .... not get back give try . we absolutely love location hotel . sure lobby somewhat small hotel relatively non - descript outside could not beat location opinion . much go city weekend ( Fashion Week , Fashion Rocks show , US Open Tennis ) . accross road Rockefeller Centre ' stadium ' like set tennis tournament take place road flush Meadows . square natural grass , stadium seat huge big screen tv show tennis match . many people sit watch day beautiful sunshine also lovely evening star . subway close take anywhere ny want go . shop around corner ( 5th ave ) other like Macy 's 10 minute commute subway . Times Square Broadway minute walk away St. Patrick 's church around corner ( amazing ! ) .I highly recommend hotel location , price , cleanliness customer service . will not go wrong . 
 Sep 4 2008 	 Club Quarters Rockefeller Center – find ! 	 ' really lot like little Manhattan hotel . ' everyone , course : grandiose space luxe treatment dedicated staff every turn thing , ' enjoy . like well - design , safe , clean , quiet , practical , brilliantly - locate , excellently price hotel , place . note , however , hotel require institutional membership , believe open general public . however , large grow number company organization like university , etc . , memberships permit employee book Club Quarters business personal stay . build unassume street , cab driver hear Club Quarters ; look small dark awning identify , right next Johnny Utah ' restaurant ( relation CQ ) . hotel around corner H & amp ; 5th Avenue West 51st , nestle Banco Popular Bank America . ' also quarter block Rockefeller Plaza , across Radio City Music Hall . ' door man , lobby front desk , attractive , functional far short pompous . staff – usually two people behind tiny desk – well - train helpful , check - in swift uneventful ( way want ) . concierge , desk staff good " get - there " instruction store luggage , ' believe make dinner reservation book tour like . mine ' club room ' one comfy double bed , little table , good reading lamp , small open wardrobe - like piece furniture drawer shelf , decent - sized desk kind computer hookup , window open several inch fresh air ( yay ! ) , ergonomic task chair , easy chair CQ ' website photo . simply ' room , footprint quite small , though well lay - out fine one two people night . mini - bar instead room - service menu extremely reasonably price mini - bar type treat ( alcohol though , recall ) deliver $ 2.50 ( nothing short amazing Manhattan ) . usual coffee maker packet lousy coffee tea bag desk . climate control exceptionally effective , thermostat within reach bed . iron / board room , provide request . tv reception good , channel choice fair . internet option galore , include three pc two B & amp ; W laser printer use free Terrace Restaurant . bathroom excellent , large walk - in shower ( could use fresh grout ) , granite counter , enough room one ' stuff . hot water abundant come right away ; hand - hold shower terrific . Hair dryer , shampoo , conditioner , couple nice soap provide . find hotel exceptionally quiet , disturbance occasional slam neighbor ’ door , auto - closer pretty robust . otherwise , window close , ' outside noise , ' know ' arrangement room floor particular clientele exactly , never hear voice wall hall . especially endear feature Club Quarters : 1 . ' shelf desk couple book , interestingly , " great Fortune : Epic Rockefeller Center " Daniel Orkent . end hang RC lot weather great especially magnificent period art decorate building really pique curiosity , trip " Top Rock " worth every cent $ 20 ticket magnificent view Manhattan around , beyond . 2 . room sport one nice hotel clock radio ever . instruction set alarm perfectly clear , thank much , pre - set classical , pop , news , though radio fully tunable well . 3 . hall several floor cold filter water dispenser refillable plastic bottle . fabulous ? ? 7th floor Terrace Room open three meal every day . breakfast , include choice continental ( fresh fruit pastry ) $ 11 , $ 15 also get egg couple hot choice . include juice coffee . terrace nice al fresco dining , good view spire St. Patrick ' cathedral half block away . note , however , restaurant run concessionaire , reason require special key card access 7th floor expire every midnight . go front desk request new card every morning , tad annoying . , price absolutely right . ' find anything anywhere mid - town come within $ 100 pay perfect lodge Club Quarters . would stay heartbeat ! 
 Sep 1 2008 	 Brilliant 	 come back lovely hotel , ' ve ny room Pennsylvania Hotel shock susrprise club quarter , clean , tastefully decorate nice touch like free bottled water nice LCD tv , however say will not spend much time New York spend time explore . the Location A1 , Fifth Av around corner plenty subway station take elsewhere . breakfast hotel fine worth visit sit outside roof top balcony , free internet bar too . I without doubt come back stay , exceed expectation happy service 
 Aug 28 2008 	 absolutely fabulous ! 	 absolutely love location tiny hotel ! staff super friendly nice . room small perfect weekend getaway . highly recommend ! 
 Aug 19 2008 	 good location small clean 	 stay hotel 3 night girlfriend . location excellent small , be nice , clean reception staff helpful . downside reception staff book we car take we Newark airport , tell we would cost $ 70 include bridge toll . arrive airport driver ask additional $ 13 pay toll . ' m sure 's misunderstanding , be worth clarify book car . otherwise excellent . 
 Aug 3 2008 	 ok 	 stay CQ property 3 day . overall , hotel ok . honest , expect alot hotel sort . plus : Location , location , location . right front rockefeller centre subway line . little resto next door ( Teresa 's ) awesome ! clean . minus : bed aweful ( spring come ) . poor pillow . hole bed linen first day . front desk concierge help plan . 
 Jul 20 2008 	 stay away 	 stay awayspent 4 night business trip . they try make place appear & quot ; private & quot ; club businessman . be instead nothing budget hotel . up : location ( front rockefeller plaza ) free wi - fi roomflat tv room ( unexpensive today ) DONWS : room smallsmelly bathroom ( drain odor ? ? ) pressure showerno safety box roomlobby miserable super smallgym hot closet poor equipmentonly 2 elevator = queue time sheet hole ( although change request ) 
 Jun 30 2008 	 great hotel ! 	 leave Club Quarters Rockefeller Center 4 - night stay . will not stay anywhere else NY ! party consist & amp ; husband , 2 son age 18 & amp ; 23 . book 2 room : & quot ; queen loft & quot ; kitchenette $ 309 , standard room ( 1 double bed ) $ 274 . room 20 + foot ceiling , make room feel extremely spacious . & quot ; queen & quot ; room actually king bed , standard room queen bed . square footage adequate , extremely roomy ! upscale feel decor ..... comfortable bed ; king bed come 8 pillow ! room quiet ( except first night jackhammere do front sidewalk ) . terrace Club 7th floor incredible outdoor view St. Patrick 's Cathedral , Rockefeller Center Radio City . location hotel can not beat ! ! ! side lobby .... miniscule non - descript ..... care ? lobby reflect quality guest room . 5 6 & quot ; Queen loft & quot ; room ; really nice fridge , microwave bar sink . highly recommend ! ! 
 Jun 10 2008 	 great location great access 	 Wife visit New York celebrate 25th wedding Anniversary stay Club Quarters . wheelchair deal location point view great . Minutes Times Square , St Patrick 's , Central Park , Broadway & amp ; shop 5th & amp ; 6th avenue forget ' Rock ' . even wheelchair , trip top Rock tremendous ' must ' not spend much time Hotel restaurant choice around one pleasure savour . also wheelchair accessible room big enough we move around without bump . 
 May 24 2008 	 Location 	 well say , find place Orbitz little dubious pleasantly surprised location , staff efficiency friendliness . room small average ideal fiance spend day NYC . location superb , behind Rockefelleer 5th 6th avenue . radio Ci ty across street , NFL Draft , noise minimal disruption non - existant . do not eat ' Club ' NYC 's variety restaurant , look appeal clean . one slight sour note , whjen book twon car trip back JFK , two hotel front desk employee give we two different price , along third different price give we charge town car driver . quite frustrating , especially everybody see right include tip . hotel , recommend , would hesitate stay . 
 Apr 23 2008 	 Perfect Location 	 friend+i go shop new york weekend+stayed club quater rockefeller center.it perfect hotel wanted.its 2 minute walk 5th avenue+about 5 minute walk less time square.the staff helpful.the room clean+the linen+towels change every day.definitely go back next year.lovely restaurant next door brilliant atmosphere.load cafe / restaurant / shop either side hotel.chemist next door item may forgotten.24 hour reception.a lovely porter , helpful 
 Apr 7 2008 	 NYC hotel choice 	 love place . husband come NYC least month business , ' ve work many year city PR / event planning , we see share hotel room . reason Club Quarters hotel choice : - free , easy wireless internet access- comfortable , DECENT sized room ( compare similar - price hotel city ) - free bottled water ( vs. $ 6 bottle Voss ' ve pay place ) - convenient location - be shopper , hotel heart 5th Ave shopping district- convenient business services- great & quot ; terrace & quot ; dining room - perfect meeting friend quick bite drinks- room new clean - husband like masculine look room- be get everything need NYC visit ( come NYC spend time hotel room anyway ? ) - prompt , positive service folk downstairs- amenity modern hotel , cost budget hotel.the one bad - headboard mark make look little dirty , 's minor complaint aspect love . it be lot ask , ' ve stay much & quot ; hipper , cooler & quot ; place not in - room coffee , desk even decent place hang clothe . be visit NYC dime , ideal place price . 
 Apr 4 2008 	 good location ! 	 room little small ( bed well ) view , clean , good bathroom location perfect 4 day ny trip . 5th avenue central park around corner around corner walk times square & amp ; empire state building . around third corner find Rockefeller center subway one stop away connection line . stay hotel another stay ... think might , although explicitly ask room locate front view large bed ! 
 Apr 1 2008 	 Fabulous Location Great Hotel 	 fiancee stay hotel last weekend . first ever trip City location hotel could not well . room small , okay we . be room much NYC . food Terrace Club great ( pricey , really tasty ) . Great Service staff hotel . , location key place well . great view Rockefeller Plaza watch people ice skate hotel room . great bar locate next door well . stay give we mother Christmas / Birthday gift two we , ' m sure much pay room nightly , sure definitely worth every penny . wait go back . 
 Feb 29 2008 	 Comprehensive Review Club Quarters - Rockefeller Center ( NYC ) 	 Club Quarters – Rockefeller Center gear toward business solo traveler . room small , hotel unassuming . entrance leave Johnny Utah ' , popular eatery / bar 51st Street . except flag hang entrance , might miss hotel . the lobby extremely small , far lobby concern . size guestroom , large enough fit check - in podium , loveseat glass coffee table armchair . room also small , though room New York City . room ( ) Club Quarters – Rockefeller Center feature one ( comfortable ! ) double bed upgrade linen warm comforter . workspace complimentary internet access computer hookup provide . small armoire " closet " contain two drawer , 12 inch hang space 12 - inch wide shelf ( opposite hang space ) . tile bathroom include granite vanity , magnify makeup mirror good lighting . door bathroom frosted glass , hear everything , ' share room please keep mind . ( however , ' important note could hear neighbor – wall room must well - insulate . ) bathroom contain shower ( good water pressure ) , separate toilet / sink area raise tile tastefully design shower curtain . complimentary toiletry include soap bar , combo shampoo / conditioner one thing – maybe small bottle lotion ( though ' certain ) .window slide horizontally open , though open five inch wide . room , could see ice skating rink twinkling light Rockefeller Center . though room small ( maybe 15 ' x15 ' total , include bathroom ) , space use efficiently . chrome dark cherrywood finish give room contemporary feel . ' definitely stay , especially price – ' steal ! location 51st Street , sandwich 5th 6th avenue . central Rockefeller Center ( across street ) , Fifth Avenue shopping ( one - half block away ) , St. Patrick ' Cathedral ( one - half block away , gothic architecture , beautiful ) . also within walking distance Times Square . TIP 1 : sure take advantage complimentary , refillable water bottle – available floor 18 20 . TIP 2 : ' unfamiliar New York City , pick one complimentary tourist booklet lobby . booklet several great map – one large fold - out map – city . 
 Feb 20 2008 	 Club Quarters Rockefeller Centre ' Rocks ' 	 stay Club Quarters Midtown couple time prior stay find good . book corporate rate find extremely good value . on occasion depart norm note property Company 's intranet hotel guide ... sound little nice Midtown . I book studio room another 30 buck offer room approximate decent size room major city ( NYC hotel room normally make broom closet look like luxury ) . little kitchette well fridge beer like . modern clean , bed uber comfy well . very easy get anywhere subway Rockefella centre ... like alot . easy walk Central Park Times Square . restaurant row spitting distance tired long day sight seeing , could order selection home delivery meal ... chinese awesome , worth try need night in . all - in - all , highly recommend property , be handy , tidy , staff remarkably helpful , ( something lack staff Midtown property ) . will favour next time ' m NYC stay Club Quarters Rockefeller Centre . first rate dig , trust ! ! ! 
 Feb 5 2008 	 absolutely perfect ... really ! ! ! 	 not enough superlative hotel ! PERFECT location , friendly , helpful staff , rich linen pillow , shiny bathroom right size ..... nothing not like . definitely stay one third price stay month ago 3 block away . 
