Outstanding 	 hotel apartment building convert hotel . corner apt 19th floor . feel like tru new yorker ! , there s restaurant 26th floor terrace well . awesome experience ! I m definitely stay . 
 friendly staff 	 not stay Beekman awhile , decide give try reasonable rate . staff helpful polite , along maids doorman also . nice quiet side town . wonder adjoining restaurant close , nice plus . take advantage complimentary breakfast Top Tower fabulous overlook East River . definitely return . 
 Sep 13 2009 	 Huige suit somewhat outdate 	 hotel offer huge suite , nice staff fairly clean room . hotel somewhat old good thing come price . 
 Sep 8 2009 	 spacious Suites - good location quiet 	 stay one bedroom queen standard suite . room 22nd floor great view . room clean spacious . fully equip kitchen , living area table pull - out sofa , nice master bedroom / comfortable bed . bathroom beautiful marble tile . good location , clean , quiet - walk distance Grand Central Terminal . recommendation pull - out sofa ( true pull - out sofas ) - sleep one person would bring egg crate topper / foam mattress comfort . also , bring air mattress / extra bedding teen age child . 
 Sep 5 2009 	 date hotel need upgrading 	 proximity Beekman Tower Hotel Grand Central , combine decent deal travel website , lead we 2 night Sept 2008 . neighborhood nice enough remove hustle bustle subway stop away . hotel seem place grandeur well maintain . lobby room need upgrade general feel hotel somewhat depressing . room small clean expect unsettling be willing overlook lot . unlikely would stay . 
 Aug 26 2009 	 friendly great value convenience ! 	 stay Beekman one weekend . staff friendly helpful . guest meet also friendly . return hotel many time , learn . room roomy , kitchenette everything need cook nice brunch . grocery right across street . yes , furniture rug could update , trivial matter . 
 Aug 23 2009 	 enjoyable stay 	 stay brother last couple day july first week augusthad enjoyable time , get suite 4th floor , kitchen , equip fridge , coffeemaker , microwave , oven , cooker , dishwasher , want nothing , day cleaner would leave we heap coffee , tea etc , leave dollar every morning table living room , stay week problem , thing find bad cost internet , u laptop pay charge room every night , go conference room 10 dollar half hour , fitness room well enough equip basic workout , staff friendly , send we back airport stretch limo haha.but want good stay nice decently price hotel stay , 24 hr shop across road everything need , greek restaurant beside cheap tasty food , stay 
 Aug 10 2009 	 Unsafe . stay . 	 hotel safety risk seedy . check , noticed hotel door lock break , screw strip . needless say , feel safe -- stay night . unless feel like sit door night wait intruder , stay . mascara strange - look hair cover bed . management offer we refund , instead literally blame we contact hotel engineer 9 pm fix whatever issue . fault hotel safe beyond . stay elsewhere , eat cost book Beekman . I easy - to - please traveler , first time even write review , think traveler absolutely find somewhere else stay NYC visit . may get lucky enjoyable stay , may also stay like , safety issue unhelpful management . 
 Jul 27 2009 	 Good Hotel Good Location Money 	 come back New York City Manhattan husband 2 kid 11 12 . stay Beekman Hotel Queen Suite . room spacious , Kitchen 4 eye burner , microwave , fridge dishwasher . include room dining room table , pull couch , tv , A / c live separate Bedroom . hotel help great , polite answer question . talk one employee ' work hotel fro 20yr love . restaurant top floor fitness centre 2nd floor . location 1st Ave 6 block Broadway ' good walk , time also use subway taxi . would suggest hop hop tour bus , educational could get location tour bus stop get back ( bus run every 10 - 15 min ) . tour bus stop 5 min walk hotel . New York expensive , anything Broadway costly , want eat , get past 9th Ave , get less expensive . would stay hotel convenience kitchen room price service good . 
 Jul 26 2009 	 lose luster 	 frequent hotel 1990 . jewel midtown , part Manhattan East Suite Hotels group . decide go back last week . disappointment ! use great gloomy drab . surely , room still large many come convenience separate seat room kitchen , space large enough , even Manhattan , compensate dingy room see decent upkeep seem like age . carpet stain , sofa cover cheap sofa - cover dollar store , bathroom desperate need bleach ! courtain stain tear . top - of - the - Tower signature restaurant also decay . breakfast buffet reduce . complete letdown . place good stay , anymore , unless total renovation plan future . pity . great memories place location truly marvelous . shame current owner . P.S . food tray leave elevator check , still uncollected day check . three day later ! tell something ... stay away . 
 Jul 22 2009 	 Beekman hayday . 	 $ 724 3 night NYC hotel mouse ! hotel rate 3 star . book 3 people , get room one small double bed pullout couch . pullout couch bad condition could sleep pull . couch fold much well . book see review online hotel state hotel dirty comment mouse . call hotwire right away hotwire associate unbelievably line . tell review , let know perhaps condition hotel hotwire first partner hotel give star rating . mention mouse tell & quot ; look watch 20/20 know everywhere mouse . & quot ; acceptable 3 star hotel mouse . hotel would probably great 30 - 40 year ago art deco glory . clearly renovation upgrade least 15 year . fault hotel , since quick search hotel know get self , review not lie . fault hotwire . they claim hotel specific rating , comparable reputable name hotel . live hotwire description . book hotwire leave helpless . power hotel complain condition since already pay . hot old , expect frill . carpet weather worn , couch uncomfortable , bed hard . hotel also loud . first room 2H face 1st AVE , loud street noise . switch 5aii , room less street noise toilet would run constantly . would say look book hotel book , sure find something well . trip Jersey would well worth ! like book Hotwire choose hotel , stuck , see prepared . make self sick reading review , hope true , fear probably . tip would : bring food room mouse will not stick around . keep luggage zip even table , mouse room teh table ! bring ear plug . ask switch room , well other . restaurant nice , give free breakfast voucher solve problem take advantage that . good luck sorry anyone else get roped hotel hotwire . say beekman staff overall nice , really hotel bad book degree fault beekman staff . star rating sure downgrade though . 
 Jul 13 2009 	 good hotel 	 price hotel quite ok New York . room mini suite wit kitchen , living room , bedroom bathroom . issue toilet fix quickly . private parking , good ny cost 42 $ per day . very close ONU quite close 5th avenue Central Park ( mind walk bit ) . go Statue Liberty well take subway tho . 
 Jun 18 2009 	 great midtown east location 	 Transportation ( bus ) corner , taxi usually front . small lobby front desk friendly staff . three elevator bank quick service . top floor bar restaurant open breakfast dinner - great around view ! guest laundry coin operate basement ; fitness business center 2nd floor accessible electronic room key ( card ) . wireless internet room $ 9.95 per day . Kitchenette adequate plate , silverware glass ; coffee maker microwave . triple sheet bed nice touch . 
 Jun 17 2009 	 good experience 	 clean room , good location , great kitchen area refrigerator noise problem . felt great value safe area close everything . nice staff . complaint 
 Jun 8 2009 	 fantastic mini - apartment money ! 	 book hotel discount site , look place Manhattan kitchen facility ( hate go breakfast ) . read review state run - down disappointing hotel . prepare worst , disappointed last hotel ( London ) . arrive , check - in staff helpful quickly room . please huge room give ( least 18m2 plus bathroom ) King bed , table 2 , small desk / console , easy chair promise kitchen facility . thrilled window open , find relentless climate control many hotel difficult cope with . I identify limitation hotel : complimentary broad - band ; limited kitchen utensil ; carpet see well day 10 year ago ; quite bit noise low floor , room 2nd floor . little spend hotel would bring excellent standard . overall , hotel highly recommend , price include equation . want glitz , go elsewhere ; want excellent value , Beekman Tower place book . 
 Jun 8 2009 	 tired depressing . beekman owner : sort ! 	 last stay Beekman two year ago . bit run - down place , room good clean fuss - free stay . please return , excited arrive . feel quickly evaporate . room give really shabby tired . 's possible not occupy , not vacuum properly . bad , kitchenette , noticed mouse dropping . could not work annoy - mice first place , fact not bother hide fact clean mess ! unfortunately , hotel full night could not move . credit desk staff , offer we gratis drink bar top hotel move we follow day , room three floor . new room clean tidy - mice dropping - also look like see well day . communal area ( apart brand new business centre ) need lick paint new carpet . in past ' ve recommend hotel , will not future . could great hotel : 's good location care staff ( especially desk staff doorman ) , moment be totally let . urge , Affinia Hotels , spend money place sort . 
 Jun 3 2009 	 good value money great location 	 hotel week May09 . second trip NYC . last year stay New Jersey transfer nightmare , location make huge difference . take 10 - 15 min walk Rockefeller Centre , take bus 49th St. , get Times Sq . couple minute . first night get upgrade apartment kitchen , bedroom , living room bathroom . rest week standard room originally book difference bedroom combine living room area , still sofa separate kitchen breakfast table . reason find standard room much nice apartment , sure refurbish , furniture little used feel comfortable room . room clean , problem bed , quite narrow partner . otherwise room good value money , apartmentlike good location also cheap hotel area . also must bar / restaurant top hotel , nice view . recomend good japanese restaurant YAMA East 49th Street , make good pork dish ever ( forgot name think one menu ) . also diner call Nations Cafe right across street hotel make really good pancake . 
 Jun 2 2009 	 Great Location 	 conference UN . minute 's walk away UN building . amazing room . be massive . living room , kitchen , bedroom ironing room . whole apartment . 15 minute walk times square . view top tower amazing . nice cafe front hotel satisfie cuisine desire . proffer pick stuff Gourmet store across road cooking . highly recommend be travel kids family . television great set movie . get JFK exactly 45 dollar yellow cab , fix rate . get cab yellow one . charge double price . driver come upto moment leave airport offer taxi . hotel provide limousine departure JFK mere 60 dollar . 
 May 22 2009 	 bad Mattress ever ( tried ) Sleep 	 suppose 3 1/2 star hotel , bed room would embarrassed zero star hotel . also , overnight temperature New York City night stay high 30 's , even though May , heat room . spend uncomfortable night . 
 May 14 2009 	 Reasonable Suites wonderful Art Deco building 	 location great visit United Nations , otherwise 's bit hike subway Lexington Avenue , Overall though 's great value . expect small room bath price pay . get full suite large living space , bedroom , two closet , bathroom , kitchen stock refrigerator , four - burner stove , toaster , utensil , dinnerware . the place keep clean , room clean promptly every morning helpful friendly staff . doorman especially good arrange transportation efficiently . if hotel Fifth Avenue , would charge twice three time current rate ! 's nice experience & quot ; residential & quot ; part Manhattan . ( least lot tree street area good restaurant . ) 
 May 6 2009 	 unbeatable value money 	 love Beekman Tower consider good value money anything Manhattan : US $ 200 include taxis per night , give complete apartment include full bathroom kitchen , dining , live separate bedroom . city people seem live matchbox , could almost dance around room , suffer noise within hotel , able make breakfast ( meal matter ) , could easily separate program one sleeping bedroom watch tv live privileged geographical location . thing feel might improve front desk service level : curious many people NYC seem much hurry preoccupy something else properly execute suppose . still , minor nuisance compare upside . surprise Beekman fully book second part stay resort another hotel come nowhere near offer quality money . highly recommend , would definitely stay . 
 Apr 7 2009 	 Loved hotel 	 moment arrive receive excellent friendly service front desk moment leave hotel - book car airport , everything Beekman great . upgrade suite good view really happy see feel like Manhattan apartment would home base next week . room quiet , bed comfortable cleaning staff great job . first trip NYC Beekman integral part wonderful experience . continue recommend unreservedly ! 
 Mar 23 2009 	 spacious room not try Sleep - 's Noisy ! 	 Booked Travelzoo special . stayed 1 night week . walk distance Grand Central Station , beat path near UN building . place short two building ( main tower ) . difficult roll two ( 2 ) luggage bag carry bag open elevator door . elevator fast reliable . room use radiator heat . stay dry hot unable control heat . request ironing board , staff prompt friendly . room spacious condo / studio style . traffic noise uncontrollable , beware want sleep ! overall , good great experience . would recommend family friend . 
 Feb 28 2009 	 not deserve star rating 8 block Times Square 	 Booked hotel Amex.com , say hotel 3.5 star . compare 3.5 star , do not match standard . kitchen clean , however bedroom satisfactory . bed great condition . bathroom cramp . top tower restaurant do not accomodate walk - in even though 8 - 10 empty table . 
 Feb 25 2009 	 Decent Hotel 	 stay four night superior suite . the room good , spacious clean . Maid service daily towel change . staff friendly helpful . location bit far respect not bad thing , 15/20 minute walk main area . good evening meal chance walk ! ! ! , good hotel worth looking option . 
 Feb 1 2009 	 great staff large room dirty outdate ! 	 room big spacious NYC . Location & quot ; beat path & quot ; 40th 1st ave . room date , need update . light switch disgust dirty fill crud ! Heater noisy . one thing positive staff great ! 
 Jan 22 2009 	 fantastic non - expensive hotel Manhattan 	 amazed size room get , full suite ~ $ 160 night ! room clean though new , 2 tv enough channel fall asleep hotel staff usually helpful . the location somewhat quiet location Manhattan price get great . the hotel 's roof top restaurant less experience expensive . highly recommend would definitely go back look pay less Manhattan . 
 Jan 20 2009 	 Argentinos en NY 	 NY excellent trip . except stay beekman , everything great . however , hotel ( well located ) , leave much develop . first day , son lock bathroom , lock door ( bad screw doorknob ) . second day , bathroom flood part room WC water . thing happen third day . hotel staff nice , except apologize , receive manifestation hotel soon feel inconvenience cause . 
 Jan 17 2009 	 Beekman - a Quirky Gem 	 Beekman excellent choice price range NYC . room large , although furnishing bit date . bathroom need update , yet clean . ... give price usually pay room beekman , definitely good deal . hotel pet - friendly , neighborhood seem quite safe late night walk . be nice deli across street deliver . 
 Jan 15 2009 	 ROOMY CLEAN CONVENIENT ! ! ! 	 family four book 6 - night stay Beekman Towers December 26 - january1 . love suite 22nd floor . small kitchen ( include coffee - maker , toaster , microwave , dishwasher , sink , oven cooktop ) ; nice size den sofa make bed ; nice size bedroom queen bed . bathroom nice clean , nice soap bath gel , shampoo , etc . leave we day . ample closet space storage space clothe . two tv -- excellent reception . nice terrace nice view . ask roll - away bed , although comfortable , fine 11 - year - old daughter . Maid service excellent . People front desk nice . Doorman really friendly . elevator service always good . love across street small , 24 - hour & quot ; mart . & quot ; good bagel , stock OJ , cereal , milk banana could eat breakfast . beekman provide coffee pack could brew . lot cheap go . diner across United Nations -- wonderful selection food price reasonable . enjoy walk Rockefeller Center , Bryant Park Grand Central Station . even walk far Times Square several time . although might prefer stay midst hustle bustle , place definitely thick hustle bustle . like aspect Beekman would definitely go back hotel . 
 Jan 5 2009 	 Fair enough 	 another trip back city , another city hotel review . get good rate priceline decide worth , especially give fact quick New Year 's weekend visit , feel city would fill tourist abound . room not ready upon check - in leave bag doorman . initial impression lobby nice , nothing overly fancy , nice enough . odd though restroom lobby area give key 2nd floor fitness center use bathroom . sure knock enter bathroom equip shower well people REALLY make use work ( lucky enough discover ) .When get room later day , make nice first impression . spacious enough clean . yes , hotel may bit old furnishing not sleek new , make great place flop night . it quick walk Grand Central Station hotel locate nice , quiet part town . get cab trouble find location convenient major city attraction . the complaint upon check - out woman front desk inform us 2 phone charge hotel room , long distance call local call . make time not even hotel room . reverse charge , will see actually go next credit card statement . hopefully one snuck place call . would whole different hotel review . 
 Dec 23 2008 	 good value Manhattan 	 give exhorbitant cost stay central Manhattan , Beekman offer great value money expectation realistic , not disappointed . other review mention tired decor furniture certainly correct , could not fault cleanliness bathroom / linen helpfulness staff . ' m sure agree hotel 's soundproof second none , street side suspect noisy room back . excellent diner nearby find nice restaurant 2nd Avenue . bar top Beekman also pleasant . overall good value place stay , need sacrifice glitz get . 
 Dec 14 2008 	 beware low rate 	 excite secured good rate ( $ 200 ) night . tell get room available early check - in , use & quot ; health club & quot ; bathroom change clothe wedding . tell ready check - in ; front desk staff even show we packet registration material ready go . imagine surprise return wedding tell hotel full send we another hotel . hotel decent certainly quality expect . perhaps ' m suspicious , seem clear shuffle low rate agreement someone else . see hotel , fairly dingy . wonder something hotel make practice find well agree - upon rate . 
 Dec 10 2008 	 Hotel Hell 	 Beekman Tower Hotel New York11 People stay Hotel 2 Dec till 7 Dec 2008.We split two 4s 3 . room allocate 1 bedroome , bed settee living area . expect sleep together . ask extra bed tell would pay another 30 dollar night want upgrade another room would 70 dollar night . 3 people room 2 toilet much large , do not pay extra . enough toiletry 1 person , enough towel blanket . dark dingy hole . mile anywhere , take taxis time , far walk , come back hard get taxi . decide breakfast last morning take 1 hour even serve , food come cold , take away put microwave still cold , cost we 20 dollar plus tip . complete rip . safe room do not work , key lose , do not replace carry money we . I would never recommend Hotel anyone . 
 Dec 7 2008 	 Shabby infest 	 within ten minute arrival approach mouse room . mouse quite bold obviously comfortable surrounding . first room phone pick notify front desk staff work . hotel staff relocate different floor allow smoking even though purchase nonsmoking room . room service breakfast order . pay nearly $ 900 stay Beekman Tower two night -- far . refundable fare would relocate another hotel . definitely worth price . 
 Dec 6 2008 	 exceed expectation 	 pleasantly surprised studio suite Beekman Towers . although usually rate three star , still comfortable hotel . room clean spacious . yes , bit date worn , problem , look elsewhere . queen bed quite comfortable sheet reasonably new . try pull bed . kitchenette convenient . staff warm friendly . eat hotel restaurant , view rooftop location wonderful . United Nations Cafe across street good place go breakfast . hotel close subway , take cab lot . neighborhood worth wander around . north many consulate find Irving Berlin 's house couple block hotel . would definitely stay hotel . 
 Nov 30 2008 	 large suite helpful staff clean wear 	 book deluxe king suite $ 279.00 night Thanksgiving weekend . suite large living room / dining area , small separate kitchen gas stove , microwave , coffee maker full fridge , utensil , etc . 1 - 1/2 bath , one tub shower head . shower great ! everything clean furniture wear scratch . sofa slipcover keep come expose slightly stain upholstery . king bed comfortable daughter sleep roll - away bed request ahead time . not try pull sofa bed ' ve never sleep one even slightly comfortable . restaurant , call Top Tower , elegant romantic . pianist play grand piano dark candle soft lighting . view stunning . unfortunately not eat bring casual clothing . room service available . staff doorman accommodate always available help . Valet parking $ 52.00 day not able access auto check - out . fine we mostly walk take taxi . parking garage street $ 2.00 less per day . neighborhood mostly residential quiet safe . view bedroom East River nice . one block west 2nd Ave . lot shop restaurant . breakfast day Morning Star Cafe inexpensive food good typical diner food . one thing love serve breakfast day late riser , like we . burger fry look great ! restaurant eat 2nd Ave . Zarela . food good mexican cuisine ' ve ! typical enchiladas tacos offer inventive fresh dish . also purchase wine liquor store 2nd bring back room .. get midtown , take cab $ 10.00 . also purchase Grey Line Hop on - Hop ticket would walk U.N. get time . hint drive hotel ... enter 1st Ave . 40th St. . make sure stay center lane 1st Ave . go tunnel . whatever , not keep leave will not able get right easily make right onto 50th St . 's accident wait happen . 50th make right onto Beekman Pl . right onto Mitchell Pl . hotel last building right , corner Mitchel 1st . space unload . GPS keep try take FDR later realize set highway vs. local road . use common sense get anyway . 
 Nov 14 2008 	 great location good hotel 	 good hotel great price - 's unusual New York . upmarket location , close UN building . quiet area evening , busy day . hotel quiet , 5th floor hear noise long window close . staff helpful every respect room well maintain throughout stay . get clean towel every day fresh bed every daythe accommodation comfortable ( apart rather ancient sofa bed suffer daughter ) . bedroom well appoint bathroom serviceable although small . power shower fantastic . great small kitchen . mean could bring take away food rather pay restaurant price time . speak restaurant , 's small restaurant across road corner - find last day would useful do early , blueberry banana yoghurt muffin Tal Bakery road die ! drink one breakfast Beekman Tower - well worth go amazing view . 
 Nov 14 2008 	 Careful 	 stay hotel NY see US Open . hotel little worn side , room spacious comfortably accomodate family four . overall , good trip . problem come 15 month later unauthorized charge appear credit card amount $ 244 Beekman Towers . call hotel four time past two day try get explanation , staff front desk say can not help accountant available . possible honest mistake , give staff least bit concerned make effort assist , doubt . cancel card immediately go hassle set another account . 
 Nov 4 2008 	 Great Location good clean ! 	 well find somewhere less expensive New York impossible want stay Manhattan . book expedia 24hr sale , find review pretty accurate . funky boutique hotel clean huge room ( well ) small bathroom , matter , shower EXCELLENT ! ! ! ! location wise hotel beat , walk everywhere , get subway . the area lovely , close UN building restaurant plentiful varied , lot deli 's , plenty place breakfast . love location - go UN building send postcard photo stamp ! ! ! like hotel alot , clean staff polite , everything need BEST sound proof window , room could not hear New York , people may like : ) would definately stay ! ! 
 Oct 16 2008 	 first visit New York 	 stay Beekman visit New York business , convenient UN building . first experience NY hook . the building interesting history , build use sorority US Womens Universities . Art Deco look still impressive city skyscraper ! receptionist friendly ( must brit accent ! ) suite like small apartment ! clean , well furnished bedroom ( 2 ) en suite . view amazing , look East River New York skyline . the real letdown hotel restaurant / bar , expensive limited . decide forgo view city head neghbourhood , find nice italian restaurant ( since back ! ) hotel block away Central Park Empire State Building feel quite safe walk latter night . 
 Oct 5 2008 	 never happy 	 visit daughter city friend require hotel stay . pleasantly surprised stay . trip start one wonderful driver ( recommend staff ) pick we airport ( end way , ) . middle count . staff treat we like royalty . stay far elegant hotel , establishment make we feel though diplomat nearby United Nations . location great , say enough staff . would recommend hotel heartbeat ! 
 Sep 3 2008 	 Nice Stay 	 stay two night town attend Metropolitan Opera . Beekman Tower , locate near UN , roof level restaurant wonderful view city , food , Michelin star quality , fine . hotel entryway lobby small outstanding , room fine . room enter hallway onto small kitchen table chair . bedroom spacious enough , bathroom ok . not Ritz , cost quite reasonable NYC hotel . 
 Sep 1 2008 	 spacious Clean Great Location 	 hotel staff helpful friendly . unsure hotel would like cheap lot hotel . concern put rest enter room . studio come small kitchen large room double bed sofa . great view 19th floor look East river . room bit date care clean comfortable . order room service breakfast first day disapointe greasy , also decide order breakfast make sure buy juice keep fridge beverage menu expensive . small market right across street purchase bread , egg fruit make breakfast rest stay . great location street safe mostly residential building doorman always front street feel quite safe walk home night especially woman . 10 minute walk 5th ave 15 - 20minute walk Times Square . would stay recomend anyone go New York . 
 Aug 28 2008 	 suck 	 rat room , even roach horrible hotel 
 Aug 21 2008 	 fantastic value money great location 	 hotel perfect loation see everything want New York . arrive friendly welcome , staff attentive , arrive early left case porter . within 10 minute right 5th Avenue able get everywhere want visit walk . room clean comfortable , quite high standard may time modernisation honest room well equip jus add art deco charm . great comfy sofa cute little kitchenette could cold drink fridge always useful . hairdryer room , safe air con . plenty lift always ready restaurant / cocktail bar fabulous . order room service breakfast deliver hot , fresh right time . good selection cold / cook , great croissant / fruit salad amazing egg benedict . really enjoy stay , price pay impressed . 
 Jul 25 2008 	 serve purpose would not stay 	 family 2 adult 2 teenage , really look forward hotel see website . leave Sherton Boston pristine think thing could get well , plus Beekman Tower art deco style . arrive get room decor furnishing look really tired look like could another hovering . one double bed sofa bed not comfortable . really disappointed . there one mirror room bathroom get ready morning take time . airconditione quite loud . on plus side good proper fridge want cook could do . bit walk centre New York experiencing place not mind . staff polite kind . on reflection decor furnish could update would great hotel . couple familie small child 
 Jun 1 2008 	 little way good value 	 be look location close walking distance main tourist attraction Manhattan , probably good hotel , several block east beat path . , walk minute safe , quiet residential / commercial area . restaurant bar within block two worth check . hotel pretty quiet , room typical size find Manhattan ( e.g . bit small ) , staff friendly . rate seem pretty attractive Manhattan . complaint would poor bedding room , quite stiff . aside , would definitely consider staying would recommend other . 
