first 	 stay Bryant Park Hotel quick overnighter friend . room gorgeous , bathroom beyond amazing , amenity offer first class . after run around city look fun place go , end Cellar Bar mad not come early ! music great , crowd fun , staff nice funny . only downfall & quot ; late night & quot ; menu -- food obviously microwave , else expect 3 a.m. ? 
 Sep 17 2009 	 amazing experience cool hip Bryant Park Hotel . 	 travel weekly lucky enough stay Bryant Park Hotel NYC . amazing front desk bell stand team make guest feel welcome important even though super cool good looking . personally , like family look forward greeting every morning evening . hotel management build great team develop regular communication guest stay often . room clean modern , bed great . if first visit , please tell front desk regular send ! 
 Sep 11 2009 	 Loved Bryant Park 	 late , late review hotel . stay BP Mum last November , look go back next couple month . teethe problem first arrive soon sorte lovely time - first time ever Mum anywhere States ( travel UK ) staff try hard make stay pleasant one , look forward come back hotel end day . , jewellery designer , find location great manage combine trip take holiday work business time - hotel close lot fab interesting place . sorry go home Christmas fair start Bryant Park . hotel interesting bar / club guest get priority passage ( Mum opt ) glad go look - end , almost prise front door leave stay ten day ... sure back point , Mum never stop talk - great place conduct business from / around girly shopping base ; downside feel in - room drink make facility fair know booking , course fridge etc great delicatessen road . thank staff Bryant Park specially Darren . 
 Sep 9 2009 	 Excellent Labor Day Vacation 	 love hotel . location outstanding , near everything . hotel staff helpful friendly . recommend excellent italian restaurant near hotel . also recommend Red Flame restaurant breakfast three block hotel good . ask girl desk go Elmhurst , use leave 60 start look address . could find tell bring room . much surprise ten minute later show room detailed direction , impressed . depart tell concierge get we taxi . check go taxi ready bag already trunk . vacation superb attribute great part hotel . highly recommend . 
 Sep 9 2009 	 comfortable nice location 	 hotel recently renovate comfortable bed update bathroom . room large one 2 queen sized bed , perfect adult daughter . park across street lovely , walk block get activity night ( hotel commercial area -- -within 5 block theatre district Times Square ) , worth . several coffee shop deli within one block distance , always open . 
 Sep 7 2009 	 hip sleek modern - love ! 	 stay one night wrapping birthday weekend . hotel pretty hip , house music play lobby / elevator dark color ( especially red ) . location great shopper , close Times Square too . the doorman polite , take bag lead . gal front desk super sweet ( can not remember ber name start ) upgrade one two Raymond Hood suite , cool ! room huge different lobby - light hardwood floor , white wall , white / lavendar color keep minimalist look downstairs . huge living area , dining area table & amp ; 4 chair , half bath living room . great view Midtown Bryant Park two balcony . bathroom huge , seperate tub shower wish counter space . towel bathrobe super softwe do not dine restaurant go bar return dinner crowd outside bouncer .. I m guess bar pretty happen place ( open 4 am afterall ! ) would fun check be not tiredMy one minot complaint- order room service breakfast though bring rather quickly , food room temperature - waffle , omelette , fruit , still pretty tastyoverall fab hotel look great friendly quick service . can not comment price unfortunately gift imagine high end - well worth , would say ! ; definitely young people single ( young single : ) see stay I m NYC - hopefully will visit bar ! 
 Aug 31 2009 	 Great Midtown Hotel - Trendy way spend night 	 weekend trip stay Bryan park hotel . nice room , get free upgrade view . spacious room great bathroom . helpful staff clean throughout . night club basement overprice noisy hear room . 
 Aug 24 2009 	 Gem Midtown 	 frequent Manhattan six time year , stay make plan dinner show . fist visit TBPH will not last . fact , be available would dream stay anywhere else . room beautiful immaculately clean . staff pleasant , helpful make we feel welcome moment arrive . highly recommend wonderful hotel beautiful Bryant Park right across street , can not ask ! ! ! ! Bravo staff TBPH . 
 Aug 18 2009 	 Attitute concierge 	 walk hotel room not ready , offer store luggage ( tha good ) around 1pm . when go concierge desk not helpful , snob & amp ; look like tourist ... not idea new restaurant lounge town ( example like & quot ; Gates & quot ; & quot ; Griffin & quot ; & quot ; Minetta Tavern & quot ; ) could not get we table guest list lame excuse ! come back afternoon around 6 pm room ready , go bar around 7 pm ( empty old MUSIC PLAYIN ' ) hostess loud & amp ; annoying . overprice drink ... ! room good size , necessary furniture ... like ! bathroom lovely ! wall look old , red lobby 90 's NEEDS MAKEOVER ! Koi outstanding ! 
 Aug 10 2009 	 SWEET HOTEL ! ! ! ! 	 stay Bryant Park Hotel one night 6th August , say hotel delight stay understatement . easily professional staff ' ve ever deal , particularly front desk staff . ! hotel location could well . room 14th floor , even though face Bryant Park , amazing night sleep , disturbance , absolutely beautiful view room onto park Library ( NYC public library ) room completely deck modern amenity . think Wi - fi free option , turn pay service , big deal , might issue business user . Bathroom superb , free Molten Brown supply service buy need . ( i m sure hotel would provide free sampler need ) Dinner restaurant pricey delicious , can not really fault . pay quality everywhere . overall can not recommend Bryant highly enough , fantastic service , location staff . stay , will not regret it . ! ! ! ! 
 Aug 4 2009 	 hotel rock ! private balcony ! 	 ok , risk place book every time want go , new favorite home away home NYC . stay Raymond Hood Suite ( top floor , two suite ) two night July suite balconie magnificent . two small , private stone patio suite - one living room , one bedroom . totally private . suite overlook Bryant Park NYC public library . wood floor , high ceiling , incredibly lush bathroom separate shower ( multi head steam function ) deep soak tub , marble , .... incredibly wonderful . staff make place - young , hip , tremendous fun . fall love Felix , asst . front desk manager , friendly , helpful real joy see go . valet parking quick ( free Fri / Sat . ) location perfect , two block Times Square , lovely Bryant Park directly across street . go Zeytinz market two door street buy breakfast picnic lunch eat park , gorgeous . like hotel 's front yard . negative give hotel , be kinda funny , peculiar suite , believe , bedroom one Raymond Hood Suite directly adjoining bedroom Raymond Hood Suite ( since connect large party . ) door separate hear folk room easily , even normal level conversation . second night , hear amazing singing , apparently amazing sex , room next door . see way elevator next morning - two famous folk music biz . ( , be suite planning party like rock star , living room . ) 
 Jul 28 2009 	 Best Location Fabulous Hotel Amazing Restaurant Hot Bar ! ! 	 first time trip NCY could not choose well . great location , helpfull staff bonus amazing restaurant premise . cellar bar great place start evening nice spot end day . room spacious view spectacular . like stay different location visit city occasion next trip see head straight back ! ! also lucky fact opt get ride Airport hotel driver , yes expensive yellow cab well worth . driver , give we detour ( avoid rush hour ) show we place would normally see ... fantastic ! ! afford Hotel GO ! ! can not visit restaurant ( Koi ) cellar bar ... well worth ! ! 
 Jul 27 2009 	 Loved Bryant Park Hotel 	 hotel staff professional helpful . good hotel family stay . room 19th floor - quiet sleep well . hotel conveniently locate near Times Square , subway , shop eat establishment . beautiful park across street sit relax . also various entertainment event go park , take part New York culture . 
 Jul 24 2009 	 chic cool clean minimalist 	 stay 3 night July 4th locate terrific nightly rate quikbook.com incredible location Bryant Park midtown theater district . quiet , clean . level hotel , room bottled water [ room bar ] daily nytime would nice . 
 Jul 21 2009 	 clean room 	 arrive red - eye flight get hotel 9 am , prepare leave bag proper check - in time however reception staff assure problem get room already - delight ! also , give little extra time checking - out , upon check leave backpack flight not 10 pm . within hour checking - out , wish change clothe return hotel ask possible go bag , actually give room back half hour - enough time get change etc . extraordinary service ! can not say enough reception staff , thank ! room fairly straight forward - see get . clean , fairly comfortable although not huge fan furnishing indeed nice . nothing modern , nicely date adequate space sure . bathroom lovely , two shower head incredible - never want get ! Molton Brown toiletry , course , enjoyable well ! return back room evening slipper set bedside , chocolate pillow , sheet fold & amp ; really soothe rainforest / stream / bird / thunderstorm sound play bedside lovely . ( thank ! ) next stay New York , would likely look hotel large abundance city , however , would not hesitate stay - especially brilliant location . 7 minute walk Time Square , easily walk distance Central Park well ! also , turn offer Wifi something like $ 8.95 24 hour instead able pick consistent connection free . 
 Jul 21 2009 	 Amazing Stay 	 stay multiple different hotel New York never really find one really want go back . Apart Bryant Park Hotel ! return back relatively short trip New York can not say enough positive thing hotel . many review mention noisy rooms- request room 15th floor . room spacious ( New York city ) , bathroom large ( anywhere world ) location convenient- especially sunny day , drink coffee park . staff attentive nothing much trouble . welcome we back come evening like fact could skip queue get Cellar Bar . would definitely stay . 
 Jul 17 2009 	 warning beware phone 	 nice room , good location , friendly staff warn , use phone room , always hear use hotel phone expensive Bryant Park Hotel charge complete rip , New York last year stay Library Hotel trial error manage make couple international land line call UK make sure young daughter ok , although charge dear well thought would certainly not raise eyebrow , check folder Bryant Park Hotel regard phone charge impossible calculate much phone call would cost , experience Library Hotel assume call would not bad , trail error manage make 2 international land line call UK , imagine surprise go check give bill $ 197 ! charge call even connect also charge $ 26 internet access use , think may happen wife touch wireless keyboard accident must automatically set charge room , credit Bryant Park Staff take disconnect call internet charge bill still pay $ 74 2 call one last 1 min connect answer machine call last 7 min . find utterly scandalous Hotel rip people like especially someone use hotel phone emergency . choose Bryant Park Hotel Library Hotel time manage get reasonable deal Expedia overall would choose Library Hotel , Library Hotel also provide complimentary water , may open bar take advantage hour Mon - Fri provide wine cheese free charge every evening include Saturday Sundays , nice breakfast snack soft drink throughout day . 
 Jul 15 2009 	 ideal location super staff trendy clean superb amenity great value . 	 get great deal super room view overlook Bryant Park . room clean include neat thing like iPod dock speaker , bose wave radio remote control , big LCD TV , lot nice soap cream . Turndown service nice touch ! staff young energetic helpful . car service airport good ' ve experience NYC . highly recommend ! 
 Jul 14 2009 	 Awesome Hotel Awesome location ! love NYC 	 stay Bryant Park Hotel special birthday / anniversary weekend . arrive service EXCELLENT . take care we begin . we amazing room 19th floor terrace look bryant park . upgrade room twice ! ! room super clean spacious amazing bathroom . can not say enough good thing room service . staff friendly helpful . location PERFECT . could walk everywhere , park beautiful two door great gourmet deli style store quick snack . we not anything negative report . we back stay Bryant Park Hotel next time . 
 Jul 9 2009 	 definitely ` ` find '' NYC ! ! ! ! ! ! ! ! 	 second stay Bryant Park Hotel , love . contemporary large room , maple floor , beautiful bath , comfortable fluffy bed , delicious room service breakfast , fun , trendy Cellar Bar , excellent proximity NYC , friendly helpful staff . ' ve stay winter summer . winter view Bryant Park / skate rink summer , beautiful green park . wonderful . view room worth . will definitely back . 
 Jul 8 2009 	 nothing good location 	 ' m astounded positive review . hotel pretty awful . small pretentious lobby , unfriendly staff , tiny clinical room , bar , room service , coffee . good thing location . 
 Jul 8 2009 	 hotel accomodation service excellent 	 wold like commend Darren Sumner excellent customer relale support , assitance jsut wonderful approach . hotel make stay New York memorable . extend evening due wedding daughter bryant park grill . next time return New York make necessary reservation stay bryant park hotel . 
 Jul 5 2009 	 contemporary fun atmosphere perfect location 	 choose BP Hotel wedding guest agree give we competitive rate . not sure would fit southern , traditional taste accomodation service exceed expectation . beautiful , contemporary style room , spotlessly clean , fantastic view park many room . location perfect . walk theatre , restaurant , shopping . staff friendly helpful easy person please . would like breakfast coupon , many inexpensive option available within walking distance . bar night crowd long line wait get . not bother we , might appeal old guest . 
 Jun 30 2009 	 wonderful experience .... 	 wonderful time Hotel , close Bryant Park , Times Square feature New York . room comfortable clean . 
 Jun 29 2009 	 Fantastic Room Friendly Service 	 get back New York , stay Bryant Park . everyone friendly . check go smoothly . stay Deluxe Queen room . room decent size , bathroom HUGE ! room spotless . not think ' ve ever stay hotel anywhere hardwood floor ! nice ! air conditioning work fine . : -\Room Bose Wave radio cd radio , Klipsh system iPod . sound great . flat screen tv wall . room quiet . plus , white noise machine need . room iron ironing board , suspect would provide ask it . there popular nightclub cellar level ( line get Friday Saturday night ) . wave room key doorman escort past poor club - goer . room get nightclub noise . bar free happy hour 5 - 6 guest hotel . , eat anything hotel restaurant . ( would ? ' m middle NYC ! although hear Koi good . ) give Value 5 star : due great summer rate receive . sure would give 5 star value review normal circumstance . definitely 3 4 , room great . 
 Jun 28 2009 	 need Air Conditioning not stay ! 	 check one night , post -cancer treatment respite husband long 2 year . look forward luxorious restful night . upon check - in cheerfully greet , tell Delux View Room upgrade suite . grateful pleased . start quite well . minute , woman front desk say room yet assign . return manager quite blandly state would downgrade room . full would get room select . select room 6th floor , even though 2 week early request high floor view . air conditioning work properly moment set foot room . first time send engineer agree room & quot ; humid & quot ; . Said change valve . second call tell engineer say AC fine ( manager ) say & quot ; not want call liar & quot ; work way work throughout whole hotel . humid offer we dehumidifier . explain husband sick . nothing could . knock door - man humidifier . told suppose de - humidifier . call . offer fan since obviously never dehumidifier . tell anything improve air room . 10 minute later call say not fan . whole time never hear one utterance anything resemble apology anything try make lack service provide adequately climate control room . make matter bad , vent Bathroom , window open compltely unairconditioned bathroom . husband night sweat profusely . call 9 wake hope husband wold get sleep . 7 sharp hotel call wake we ! later tryng fall back sleep ( assure staff Privacy Light ouside door one DISTURB _ ever ! ) maid knocks door ! ! ! apologize . husband wake . find management front desk staff apalling . sale absolutely nothing bad treat like input , comfort , business not really matter . stay top NY Hotels , include Waldorf , Marriott , Hyatt , Wyndam .... byfar bad service comfort . overall room asthetically pleasing sleekly sparingly design . , hotel ignore request comfort , stay . simply acknowledge maybe problem , go long way come satisfy customer . think management need real basic training .... remember customer always right . time could not say enough porter / car guy . great service , friendly , helpful concerned . perhaps manage hotel . great location , great & quot ; look & quot ; , clean , fabulous bathroom , comfort put money . money take back Waldorf Wyndham next time . 
 Jun 23 2009 	 Fair top ! 	 ideally locate midtown . clean nice room , well equip , good ( although rather pricey ) breakfast . however , feel completely satisfied ; probably staff look like bodyguard hotel staff ... give impression & quot ; people & quot ; core clientele , mundane traveler ... moreover , upset outside noisy ventilation room 8th floor ask another one ( 11th ) .Overall , sure would come back , though without merit .. 
 Jun 21 2009 	 perfect hotel perfect town 	 one week return , still remember really good time spend bryant park hotel . boyfriend book 5 day new york anniversary . great moment , enjoy one beautifull room ever experience quite large terrace . view bryant park close building breathtaking ; bathroom great room large enough 2 . hotel location ideal , right middle 05th avenue time square . additionnally , bus stop park passenger come newark ' coach usa' . we never take breakfast hotel tell be . the service good friendly . make possible effort congratulate we birthday make stay one good ' souvenir ' ! ! ! , absolutely nothing say ' negative ' side , compliment make . come back new - york come back bryant park hotel , be sure .... 
