nice 	 Windermere Hotel great location . conveniently locate near Victoria Station , within walk distance major site ( Buckingham Palace , Westminster Abbey , Parliament , etc ) , grocery store coffee shop . complimentary breakfast good service overall wonderful . room clean meet need . would definitely stay hotel . 
 Aug 5 2009 	 long - time customer speak 	 year stay number different hotel London . stay windermere 7 year . truly good value price . breakfast delicious breakfast room nice . room go cozy beautiful . recommend hotel friend family stay numerous time . everyone happy friendly service safe convenient location . as woman often travel business , appreciate hotel staff like Windermere . year come know owners family . everything possible make guest comfortable happy . would consider stay anywhere else London . 
 Jun 25 2009 	 cute 	 love place . yes , room not huge , big enough . walk stair 5 floor end day exhausting . breakfast , include , fabulous every morning , place adorable . would stay . 
 May 30 2009 	 good night ... 	 clean small room . pay extra twin room . Thought would large . no lift ! ! ! third floor stair problem long day sightseeing . the bathroom shower uncomfortable . could move shower . hooks cloths bathroom heat towel rack ( place towel ) rust . breakfast good , not like sit basement . location hotel busy street . loud try sleep . this sixth trip London hotel room far small one . five night way long windermere . 
 May 14 2009 	 english nice clean confortable 	 London family stay hotel 3 night . staff extremely friendly helpful . room big , clean confortable . breakfast perfect . location hotel excellent : 5 min walk far Victoria station . addition , consider location hotel cheap . enjoy lot stay Windermere hotel ! Elena , Italy 
 May 7 2009 	 well - run family - own hotel - back ! 	 spend 5 night windermere highly recommend . especially love little large room standard London & quot ; single & quot ; , comfortable double bed ! available pound , definitely worth . room bath lovely , keep spotlessly clean . lot pillow , two window bedroom ( one bath ) cross ventilation . numerous tv channel choose great reception . exceptional hot cold breakfast include restaurant serve wonderful food provide room service . top floor - stair daunt good exercise , iiked anyone . Staff graciously help carry luggage -and equally friendly helpful enquiry . short , visit London 30 year definitely go back windermere . price hotel London high , often provide value commensurate pay . windermere . 
 Mar 15 2009 	 Decent little hotel free Wifi 	 stay one night business . near Victoria train station ( 10 - 15 minute walk ) , though luggage have use taxi . room pleasant clean . reception staff friendly helpful . reasonable pub around corner ( Clarendon ) . breakfast nice , include price , serve friendly staff . Benefited free WiFi internet access - fast , perfectly good basic browse dealing email . posh hotel , comfortable enough perfectly suitable one night stop - over London . 
 Feb 26 2009 	 Disappointing 	 stay two night hotel recently . 10 minute walk Victoria good great . we arrive pre - pay ( unfortunately ) bill business trip . show Lower Ground Floor room ( basically basement ) . smell mould . upon request , relocate another , slightly large Lower Ground Floor unit . small , bathroom cca 2sqm inner height 1,90 ( exactly height ) , shower curtain rusty . dark room also morning , & quot ; view & quot ; shed opposite & quot ; window & quot ; ( cca 50 cm ) .credit staff , try handle complaint professionally , move second floor room show also Tripadvisor . unacceptable , smell clean agent loo , tea set dusty ..... 100 GBP night think bad deal .... 
 Feb 14 2009 	 good location 	 stay 4 night visit site London .hotel staff friendly helpful always case large hotel . it eay get anywhere either foot tube .We eat night hotel restaurant , food good cook order chef helpful would modify menu like . barman , waiter & amp ; chef restaurant busy rush foot food still excellent . fish day excellent . 
 Feb 2 2009 	 really charming hospitable british hotel ! 	 windermere really warm , small british hotel , excellent friendly service . room pretty , romantically decorate , clean , detail make feel like home . breakfast rich tasty . windermere situate quiet neighbourhood also close Victoria train / underground station , Green line coach station , every transportation easy . would definetely stay ! 
 Dec 14 2008 	 lovely homely welcome hotel great food . 	 find ! lovely little hotel , friendly welcome . room fine , bathroom good powerful shower . clean . decide eat hotel steak superb , house wine ( rioja ) good reasonably price . breakfast highlight - stay London hotel often ' m use complimentary breakfast , offer 's usually cornflake muffin ! delicious egg benedict along well stocked buffet fruit , pastry , cereal , cheese , juice . food offer simple , beautifully cook . hear check go couple meeting head back Victoria Gatwick express , helpful gent behind desk offer keep case would not carry . 's ten minute walk Victoria Rail Stn , London easily accessible Tube . be homely rather swish , price beat faceless chain hand . definitely stay . 
 Nov 25 2008 	 Quaint Hotel Central Location 	 Nice family own hotel convenient location . room king size bed large bathroom first floor . quiet even though corner room . full breakfast great choice . staff efficient . restaurant open dinner food excellent . Chief Yacine take order bring check . be every night except Sunday . like personal chief , dining room never crowd . enjoy hearing immigrate England . would go back heartbeat . 
 Nov 6 2008 	 Charming B 	 look small , quaint , hotel / bed & amp ; breakfast , would highly recommend Windermere . be locate quiet , largely residential area 5 - 7 minute walk Victoria station , large terminal access Tube . the Hotel basically classic old house charming feel . greet warmly arrive ( Phil nice ) , definitely notice ' warm house ' feel walk . room ( superior room ) nice clean , modern bathroom . two small caveat though : elevator , bag bring & amp ; either , help hotel staff , wall thin . 's easy hear be go room , might consider bring earplug be sensitive sleeper . thing not detract experience though . finally , breakfast include hotel 's restaurant good . also eat restaurant meal 's include . overall great stay , great price actually , would definitely go back . 
 Sep 30 2008 	 expect 	 hotel promise neighborhood , much run expect review website . take sad , little room top hotel , leave minute later . completely unacceptable . recommend hotel . 
 Sep 29 2008 	 Small Lovely 	 London -- middle - aged american woman . windermere perfect hotel . room small , certainly adequate , everything clean . Victoria Station ? stretch leg . find place dinner ? go stairs hotel 's little resturant enjoy meal fresh ingredient prepare fine chef . Breakfast ? problem . full english breakfast restaurant include price room . I stay windermere five night , take five - day trip Ireland . hotel kindly hold extra luggage go . return , assign different room . one great big bathtub right luxurious soak . all , would highly recommend windermere clean , tidy , convenient , friendly hotel . 
 Sep 28 2008 	 great location - excellent STAFF food 	 place excellent find London . staff incredible - everyone extremely friendly helpful . sister book hotel base 's location definitely go back . arrive pretty late evening air traffic control problem ( flight seriously delay ) . want grab bite eat head bed . arrive hotel , see one must ring bell enter building comfort we . Phil greet we show we room . inform hotel restaurant still open make day . we ' ve London many time never impress food ...... . food GREAT atomosphere . breakfast include stay . include actual breakfast item ( egg , sausage , ham , bacon , etc ... ) not typical hotel London ' ve stay . stay several 4 star hotel London far , well overall - great staff , great food , great location ! definitely recommend hotel ! 
 Sep 28 2008 	 friendly staff 	 enjoy comfortable 2 night stay . staff friendly helpful . particularly london hotel.breakfast good . location convienent , 5 minute walk Victoria coach station , less 10 min train station , theatre Billy Elliott musical . 
 Sep 16 2008 	 outrageous cancellation policy 	 book 2 room hotel ( base Tripadvisor rating ) August 28 stay October 4 - 5 . later day learn flight Winnipeg London going happen since carrier - Zoom Airlines - cease operating . within 24 hrs booking cancel room . dispute time book hotel tell GBP20 per room cancellation fee , hope would charge fee give circumstance . however hotel still feel necessary charge cancellation fee - even though explain cancel see 4 week re - let room . write hotel voice objection charge cancellation fee - elect respond e - mail . give total lack compassion customer service recommend hotel caution anyone book inflexible cancellation fee - amount nothing less money grab . Alfred Jobse - Winnipeg 
 Aug 30 2008 	 Ritzs overall comfortable stay ! 	 well overall comfortable stay windermere , sleep well eat well ..... breakfast freshly cook order lovely ! ! nice family feel hotel make feel welcome . main dislike size bathroom ... TINY ! sink bedroom bathroom shower cub step toilet ... hook anything hang clothe leave floor near toilet . plus note towel lovely . as value money , recently year I ve stay much nice hotel well location similar cheap price . however , seem London become expensive stay , price continue rise Windermere reasonable ... would return . 
 Aug 6 2008 	 great location 	 hotel great location far Victoria Station . staff friendly helpful advise start ( London ) get around . stay 2 night . room 4th floor , think . hard tell crazy layout hotel . room king size bed recently remodel bathroom . a / c , rather warm one night , able keep window open . unfotunately , could hear neighbor awake we one night . breakfast excellent choice good trip . would perferred hotel A / c lift , , hotel good price London . 
 Aug 6 2008 	 great value money 	 stay hotel last June . single room second floor . small family run hotel . say location hotel extremely cheap , 10 minute Victoria quiet area . room small adequate shower , bath would something keep mind booking want bath . clean . breakfast excellent . properly make fresh fruit salad , fresh juice selection hot breakfast include egg benedict rarely see anywhere . staff friendly helpful get feel stay family home rather one awful impersonal chain hotel . 
 Jul 30 2008 	 Ground Floor 	 word advise book twin room . check room giving , ground floor go somewhere else . the room akin Harry Potter 's cupboard stair air conditioning although rest hotel feel lovely cool . ceiling fan didnot work floor fan bring break pointed floor . the ground floor window lock close street feasible leave open . unfortunately cheek charge full rate room certainly feature website . ' m sure rest hotel nice unfortunately experience disappointing . 
 Jul 21 2008 	 one thing complain . 	 great stay summer vacation love everything windermere , personalize service receive , delicious breakfast . ' ve already book next fall ! 
 Jul 20 2008 	 Aussie Traveller ! 	 stay hotel partner 16th July 08 20th July 08 . great hotel good bad point . the good thing : location excellent , quiet residential area ( hotel along main strip ) far enough away noisy busy . also far away Victoria Station supply underground national rail service . the food also outstanding bonus include price ( hot cold Breakfast ) . great start day . the room alot offer hotel cheap end scale . room tea coffee make facility , free wi - fi internet access room excellent organise day 's activity , well stock bathroom , storage safe small LCD tv . also note cleanliness room efficiency friendliness staff . there negative hotel : location quiet area , however wall thin could hear everyone else close room ( thank people seem party like 1999 11 pm dot ! ) . also police station road 6 police scream road visually interesting ! location wise far away Victoria Station , however aware one confusing station lot exit aware need exit . end get taxi departure St Pancras way go go multiple tube station luggage ! previously mention , free breakfast great , however morning check , Cook late , 7:35am think 25 min Taxi arrive , pity since one still take 30 min scramble egg ? ? guess busy talk rest staff - we leave two cold piece toast butter breakfast . the Room good little small , stair way alot luggage . ( aware lift ) . also bed comfy little small two people ( foot hung edge balanced right edge , narrowly avoid roll , bathroom small also one person time . overall would stay place evenly balanced good bad point , budget wise also lot say decision well . also can not control factor like train maintainence noisy inconsiderate people . the staff also friendly ever come across would go way help book taxi direct we laundromat ( be one literally around corner real bonus travel ) .I would recommend Windermere Hotel good mid range hotel London . 
 Jul 12 2008 	 Excellent London B 	 return two week Britain spend seven night Windermere Hotel close ( 10 minute walk ) Victoria Station . neighbourhood residential quiet within easy walk distance main attraction ( 20 minute Buckingham Palace , 30 min Trafalgar Square , hour British Museum ) . first night walk Thames enjoy riverside stroll whilst look Big Ben hear chime 7 pm . last morning walk Buckingham Palace see change guard , stroll royal park ( huge , safe , clean , beautiful ) way catch train Heathrow . the Windermere Hotel clean , charming cozy . initially small double room ensuite WC shower return London tour Britain stay large superior double ensuite WC tub . room lovely make good use space . room certainly large enough two we . Windermere Hotel B & amp ; b amazing breakfast . pastry , cereal , yogurt , fruit salad cheese make great beginning ( light breakfast prefer continental breakfast ) . full English breakfast wonderful ( egg , bacon , sausage , bean , tomato , mushroom ) include option scramble Eggs Smoked Salmon Eggs Benedict . evening meal also excellent offer free room service delivery . the staff ( available 24/7 ) warm , friendly , helpful professional . choose stay windermere one good travel decision ever make definitely stay next time London . 
 Jul 7 2008 	 Dissatisfied ! 	 stay first visit London . good thing hotel Victoria station less 10min . walk away . go room automaticallly turn ! stale smell , musty , sheet bit stain . bathroom small , staircase bathroom make hard stand completely straight . window LOCK ! ask front desk problem say , & quot ; well ground floor window lock , nothing do . & quot ; yet see ton people window working , literally enter ! ! ! plus would not change room wait management . another thing satye Wed - Sat . specifically ask front desk wake call 7 am Saturday morning make Heathrow Airport catch flight . think wake we ? ! ! fail give US WAKE CALL ! miss flight pay extra 200pounds fly home . would heard phone ring ! hear everyone else phone ring day stay ! place horrible ! website mislead ! please not book stay ! take word ! 
 Jun 18 2008 	 great hotel big city 	 stay hotel May 28 - 31 reading review website . true , real gem big city near Victoria station . room top floor somewhat big elevator good work bag . very friendly staff good breakfast . 
 May 8 2008 	 nice convienent small Hotel 	 stay hotel 6 day April 2008 . close Victoria Station ( 6 block ) . facility clean , owner visible helpful . breakfast good . bed comfortable . location excellent easy acess public transportation sightsee major tourist attraction London . drawback lift , second floor big deal . staff help luggage . would stay . 
 Apr 1 2008 	 Excellent london hotel 	 London hotel ( budget end ) usually great , hotel really impress . walk distance victoria station ( although get taxi arrive would not get lose ) . staff front desk English approachable friendly . room ground floor lovely big king size double bed . flat screen tv fab bathroom lovely toiletry towel . breakfast nice free internet access breakfast room , add bonus . really enjoy stay ( husband ) return london would stay . 
 Feb 17 2008 	 friendly hotel 	 really impress hotel . staff friendly interested helpful rang query beforehand . room spotlessly clean comfortable roomy - unexpected bonus family room . bathroom small towel we , good size , load hot water good quality toiletry four we . not think always get family room . room quiet expect central London . breakfast also excellent staff happy look bag day catch train home . happily use hotel . 
 Dec 24 2007 	 friendly place ! ! ! 	 wonderful little family - run hotel , english decor atmosphere , absolutely clean , surprisingly quiet peaceful , small restaurant incredible food quality . rather expensive malt whiskey charge internet free ! would stay time rather impersonal big chain hotel . really feel welcome totally home . 
 Nov 1 2007 	 Great Boutique hotel 	 sister stay windermere six night start 22nd October . location good . beautiful terrace house near Victoria station posh Belgravia . safe walk night . people complain location review , simply can not understand . house around hotel cost miilion pound . possibly expensive real estate world . Victoria station bus / coach terminal also minute walk away . hotel clean well keep . get homely feel enter hotel . another number , actually remember name . Phil , charge front desk evening also helpful . twin room level 2 , minor problem hotel not lift . lady help luggage . room small nicely keep , bathroom small adequate . tea coffee make facility room supply Iron board need . breakfast good free internet facility also bonus . think hotel value money . please need understand london expensive , people expect much request 5 star facility 3 star price . travel London many time , definitely consider hotel future trip . 
 Oct 17 2007 	 lovely long weekend Windermere hotel . 	 return 3 night stay Windermere Hotel London . definitely return ! location perfect , particularly busy schedule follow day . close main sight Victoria station exactly need . we find staff polite helped answer question . I read tripadvisor breakfast Windermere hotel good , true ! wake everyday look forward full english breakfast ! pimlico room ( restaurant ) also excellent useful us tired go night . surprised food high quality reasonably price too - everyone say London expensive city eating mean could keep within budget well - feed time ! room also high standard . bed comfortable , bathroom nice everything clean . room also grind floor , find quiet . overall , highly recommend hotel already plan book next trip London Windermere hotel . find good value money everything need - comfortable clean room , good location service , well good food . 
 Oct 15 2007 	 disappointed ! BIG TIME ! 	 God expect little pay £ 129 per night ! could hide disappointment think posh hotel west end service facility would much well . believe choose hotel , bed TERRIBLE could sleep properly ! modest person modest experience compare price pay . recommend , ! 
 Oct 9 2007 	 surprisingly Peaceful 	 London partly see football match Crystal Palace hotel 's close proximity Victoria rail station appeal . our room clean comfortable quite small . reliable shower tea coffee make facility plasma screen TV . top floor five flight stair . lift ! breakfast really good - full English many nice extra . however , get breakfast room 8.30am Sunday table take hang twenty minute - bit pain . London city many mood face particular corner - Victoria Pimlico peaceful sedate . quite surprise . staff hotel mostly young foreigner pleasant , helpful professional . would gladly stay Windermere 
 Sep 17 2007 	 Disappointed 	 perhaps naive , pay , expect quite bit . say Phil , afternoon clerk great , Carika , , thing good . room big , little tired . bathroom small much counter space . clock clock / radio room unable tell time night ( mention absence clock room , co - owner say clock television , problem , tv see ) . breakfast room staff pleasant , ingredient fruit salad taste , breakfast pastry muffin , banana fresh fruit . take short cut Victoria Station , be ten minute , make aware short cut , considerably long . area melt pot ethnic diversity , everyone might feel comfortable environment . would stay ? absolutely . 
 Sep 14 2007 	 great people terrific location 	 stay week windermere Aug ' 06 base recommendation TripAdvisor . disappoint choice . I stay Premier double room picture website ( blue room ) . small clean private bathroom , tv , etc . it top floor 4 - 5 flight stair take come & amp ; go . can not stairs not take room . on good side quiet one room I . I england unseasonable heat wave ( 90 + degree ) room top floor hotel hot say least . however lovely owner provide 2 fan help circulate air . but need air conditioning .... hotel . I can not say enough people run hotel . everyone staff friendly would chat come & amp ; go . the breakfast ( hot & amp ; cold ) great provide great start every day sightseeing . I eat restaurant several time dinner travel alone preferred go . one day find great little italian place buy pizza could not finish . restaurant store leftover fridge order leftover pizza salad & amp ; soda room service later night . accommodate way . the location excellent nice little walk Victoria Station . use station base many side travel find hotel well price , well locate provide great service . 
 Aug 1 2007 	 Close Victoria Station ... 	 really like hotel . room bite small sleep anyways . breakfast exceptional group wish eat dinner hotel 's restaurant . London big city , lot walk involved get tourist attraction , however , Victoria station close big plus . owner nice helpful . price tough beat well . would stay . 
 Jul 10 2007 	 okay place stay 	 windermere descent place stay 2 night London . family room , include three bed - 2 single double . crowded . room bit wear traffic outside night loud . staff pleasant food restaurant excellent . early morning departure night staff leave we food breakfast dining room - one problem - call we 23:00 ask want croissant . 4 ... wake baby - happy say least . earth call guest 23:00 ? ! arrive Victoria Coach station confuse street direction go hotel . long walk well lot luggage . one smallish bag , big deal . early morning departure hire car ( regular cab come early ) get we Station catch Gatwick Express . charge 17 pound , completely outrageous distance , pay , much luggage baby . from hotel fairly easy walk catch local bus . horrible experience bus though - especially 11 . keep go service - finally take cab . overall , hotel fine . hard pay $ 300 night hotel though . usually get luxury hotel price Windermere luxury hotel relax . restaurant good though . 
 Jun 21 2007 	 Comfortable 	 stay Windermere Hotel twice within three week begin end trip Europe . find staff friendly extremely accomodating , could fault amenity . location , within pleasant 10 minute walk Victoria Train Station , also Coach Station , fantastic . the hotel , small compact , charming quaint seem typical several other area . room occassion keep extremely clean , couple minor problem attend promptly cheerfully . the include breakfast good quality , dining room small pleasant . computer internet access dining room welcome amenity . the negative encounter extremely creaky floor , due age building . would definitely stay , request room top floor avoid heavy footed people ! 
 Jun 19 2007 	 Friendly Quaint Good Food 	 lovely , charming , small family - own hotel , relatively quiet street decent neighborhood apartment turn - of - the - century traditional hotel like Windermere . breakfast include price ample tasty . below - ground - level dining room small genteel -- plan eat least one dinner ; food great . staff cheerful , gracious , helpful . room smallish , adequate four we ( include two young adult daughter ) ; many hotel put four adult single room ! . wonderful extra pillow . course , air conditioning , large window open , fan provide reasonable enough cooling . good shape , ask first - floor room , will climb stair , elevator . dining room , computer internet connection available guest ' use charge , night owl , stay late night dining room web - surfing watch tv without disturb roommate . take 15 minute walk hotel Victoria Station , 10 minute walk Buckingham Palace Road catch bus . stay June 14 - 17 , 2007 . would definitely recommend . 
 Jun 7 2007 	 Excellent hotel superb service great restaurant 	 ..... windermere Hotel excellent choice London ..... 's location make convenient visitingvarious sight ..... room spacious , comfortable , exceptionally clean ..... restaurant , PimlicoRoom , provide outstanding full English Breakfastas well well - prepare dinner ..... staff veryknowledgable provide direction , suggestion , recommendation varied activity ..... Windermereis small hotel large idea ..... next visit tolondon certainly include stay Windermere ..... Lloyd Barber ..... Chicago , Illinois , USA ..... 
 May 4 2007 	 Shady 	 stay find place bit shady . price agree upon check price charge credit card . get back home realize call man run place directly several time resolve issue deny ever quote price would resolve issue . keep insist basically admit purposely decide charge tell would refund credit card . room small ugly . thing good could say food restaurant good . would never stay recommend anyone . 
 Apr 4 2007 	 Excellent service 	 hotel comfortable staff friendly welcoming . could not fault cleanliness room hotel general , spotless ! agree people say though decor could update also noise disturbed night . floor extremely creaky old building could hear every movement fellow guest upstairs ! overall though would definitely recommend anyone need comfortable place stay Victoria area . would certainly stay . 
 Mar 25 2007 	 Great Place stay London many reason 	 hotel many advantage traveler make excellent choice visitor London . family three stay week March , 2007/ . like say real estate , Location , Location , Location . close Victoria station access train , tube , bus , coach make easy reach sight wonder London . could easily walk Victoria Station every morning upon return . hotel clean , neat , well manage . staff go great lenght make stay pleasant wonderful one . food resturant good breakfast , include room price , good variety could expect . room small hallway narrow 's normal european hotel . complaint upon enter room notify management problem correct immediately repeat . sign concerned staff well manage hotel . especially nice come back room night enter clean fresh smell room . 
 Mar 2 2007 	 Super friendly staff 	 ' ve mix feeling B & amp ; B . staff really cool friendly , not common London . large deluxe room , good size road side . usually sleep well , even background noise wake couple time night traffic . bed way soft . bathroom OK , overall whole room would need seriously refresh . the price high mark B & amp ; B ( find number 3 * 4 * price ) , breakfast include quite good limited choice . it be 10 - 15 minute walk Victoria . 
 Dec 31 2006 	 Clean Hotel Friendly Staff 	 recently stay hotel December 2006 . find staff extremely helpful responsive . stay Superior Double Room , find clean large London standard / price . bathroom clean large . however , shower room would become damp . impressed food restaurant . find could find appetize food . enjoy location find easy get Tube to / from Gatwick Airport . overall , would recommend hotel . 
 Dec 20 2006 	 Adored Windermere 	 book family room ( 3 adult 1 child ) November windermere hotel London pleasant comfortable stay . room clean , staff extremely friendly food - both breakfast ( include price ) dinner Pimlico room- delicious creative . dinner hotel 's restaurant definitely must . room surprisingly comfortable enough four we ( sparkle bathroom , cosy bed ) free Internet bar area nice touch . staff helpful booking taxis tour ticket we . location also perfect since walk distance tourist attraction want visit- Houses Parliament , Westminster Abbey , Buckingham Palace - as well Harrods shop near Sloane square . we definitely stay next come London . 
 Nov 26 2006 	 O.K . place stay overpriced 	 windermere experience depend room get . two different short stay . first double room top floor . reasonable size Europe . quiet . nice shower . hard get stair luggage , one offer help . however , keep luggage we leave day . treat son breakfast one morning visit . second stay room ground level , next dining room . much small musty . dark . bathroom tiny , convert tub shower mildew shower curtain . Noisy , noise street traffic people walk also bathroom ( use hotel staff , people dining room ) across hall bedroom . ask change room , full . room hairdryer , toiletry , T.V .. free internet dining room area . hotel convenient tube , bus train ( Victoria station ) - within block . many restaurant immediate area , although friendly reasonably price pub , King George 's , nearby . 
 Oct 30 2006 	 wonderful experience ! 	 take dad first - ever trip London , strength good review read , book we two room . hotel perfect ; room small impeccable , Nick Sylvia gracious host . breakfast really yummy plentiful . hotel pretty easy walk distance Victoria Station , walk St. James Park easy 15 minute , convenient . somewhat curmudgeonly father also really impress whole experience - small task , believe ! ! ! ! return little gem soon ! 
 Oct 24 2006 	 second stay ... can not wait return 	 spend 5 night windermere trip enjoy stay much first 2004 . helpful staff , location ( 10 minute stroll Victoria Rail Station ) Pimlico Room wonderful meal reason return . stay Cartmel Room trip , comfortable . free wireless internet service appreciate well ! 
 Oct 2 2006 	 highly sumptuous ! 5 * 	 stay hotel read mixed review report squeaky floorboard , nosiy reception phone minor complaint . however , happily say compliant windermere sausage burn breakfast ! ! room lovely , window bit tricky close though . room light , airy spacious bed sofa comfy . desk area tv superb bathroom lovely . thick fluffy towel nice selection toiletries.the whole hotel sqeaky clean comfortable . staff jolly helpful breakfast buffet super ! location perfect , however would think parking would problem.i would definately stay hotel .... enjoyable 
 Sep 18 2006 	 Lady Windermere 's Fans 	 great restaurant , great location - Windermere Hotel perfect we . breakfast wonderful array hot item make order buffet style cold item , standout organic yogurt tiny glass jar dreamy jams marmalade . dinner Pimlico Room Room Service serve 5:30 10:30p.m . lovely nutritious dinner Pimlico Room evening two week stay , except one night delicious sandwich await latenight return . dinner menu something everyone Nick 's wine list well - select white Sancerre especially attractive . London , price reasonable . Soup Day , fish Day fish cake highlight we . we not spend time eat . Victoria Station , 5 block away buy weekly bus pass [ 13.5 pound ] free bus route map brochure find various bus around Victoria Station . one use also stop Buckingham Palace Rd . Elizabeth St. 5 minute away hotel [ house north Aldernay , right onto Hugh Street , leave Elizabeth St. Railway Bridge ] . among handy bus # 11 , double decker go Westminster Abbey , Parliament , Trafalger Sq . , Somerset House , St. Paul 's etc . ; # C1 Harrods , Kensington Museums , Holland Park , Leighton House etc . ; # C10 Tate Britain [ get boat Eye Tate Modern ] ; # 211 Waterloo Station . use underground Kew Gardens , 1/2 hour Victoria Station . perhaps big sightseeing bargain 6.5 pound [ senior rate ] round trip Oxford Oxford Tube , double decker bus board Buckingham Palace Road , near Elizabeth St. Bridge . our room , number 32 , also excellent , many window , spacious bathroom , quiet . bring together staff , uniformly kind , competent caring . Kudos Sylvia Nick Hambi , owner manager , choose interesting accomplished staff provide delightful accommodation - fine antique print London environ public area recent computer printout BBC weather London front desk . thank large part windermere , visit London joy . 
 Sep 8 2006 	 fabulous breakfast ! 	 breakfast fantastic include room price . cook order egg dish side dish . always get tomato hash brown side . think also egg benedict menu . also buffet cereal , yogurt fruit . also bring fresh toast coffee tea . another plus free internet use computer restaurant . the room fine . furniture seem bit worn , comfortable enough . bathroom decent size shower / tub . the staff friendly . location near Victoria Station great . 
 Aug 11 2006 		 stay family room window open nice breeze flow good night stay . [ note : fly night sleep plane could slept nail ] thing keep give 5 star : battery cover tv remote would not stay fact 5 star review , feel , objective . breakfast good coffee good England whole 2 week . ask cream , know rest England would never hear put cream coffee . big milk . hotel minute walk train station great location base oneself . 
 Jul 31 2006 	 nice stay 	 nice hotel . room serve need nicely . staff helpful . breakfast delicious . May jetlag , map web site serve confuse . 
 Jul 19 2006 	 Great Restaurant Fair Room 	 good part hotel restaurant . food room service great , able provide breakfast early departure . book one room two adult nice , second room two teen musty . staff interested helpful provide different room . weather hot window open , room noisy . view include several dumpster apartment across street . furniture lobby disrepair . unless suitcase small , hotel really not close enough wheel luggage Victoria Station . Taxis refuse stop street , apparently head Victoria Station . neighborhood seem safe area London late night . overall well choice location value . 
 Jun 28 2006 	 highly Recommend Windermere Hotel 	 fortunate stay Windermere Hotel last week -- 2 adult 2 teenager . windermere one rare London hotel family room en suite , room perfect we : spotless charming thoroughly welcome respite day sightseeing . bathroom surprisingly large well equip large , fluffy towel toiletry , lovely drapery block unnecessary light . small bit street noise hear part London scene . kind , polite professional service make we feel quite home welcome . restaurant full english breakfast miss ! assistance baggage , even point store bag check leave next destination later day . walk fairly easily roller suitcase Victoria Underground along Buckingham Palace Road nice - look Hugh Street . ever occasion stay London Hotel , definitely stay windermere . 
