nowhere 	 Cleanliness , oh ! room spotless arrive everyday would return smell new linen sanitize bathroom . location perfect , near souvenir drink snack . Ambassador suite beautiful roomy , two balcony , two bathroom , wow ! service spectacular , deliver three layer red velvet cake we honeymoon . value .... comparison . book room Amtrak huge discount … cab 24 - 7 front door , late check , view die , bus route L one block greek food . Plaza great , one nice hotel cleanliness service ; ' ve ever stay . thank staff make honeymoon special . see soon , come back . 
 Jul 13 2009 	 rude understaffed desk moldy room worth money 	 arrive noon tell room not ready 3 fine since normal check time . go wrigley game return 7:00 , stand line half hour one staffer work another customer . one person desk ? meanwhile line 5 six people accumulate behind . finally check desk supervisor finally emerge office . exceptionally pleasant , one wait observe yanking reservation paper another customer . ' m glad line . go room disappoint service , find moldy smell bath drain would drain whole floor . AC filter absolutely filty . many americans severe allergy problem include wife high quality hotel take consideration . expect good western would pay $ 50 per night , $ 297 one room parking . parking situation good well . cost $ 36 per night , surprised pay reedeeme hotel point one room ( pay second ) . call half hour early car instruct , find ready time . finally pull car lot , take key valet leave . think positive thing could say anyone work room staff . seem pleasant , room clean , musty . overall , ok trip , could save lot money stay Best western . room quality allergy , least desk would pleasant low quality hotel . great thing say hotel great location pleasant room service . 
 Jun 29 2009 	 great hotel ! 	 husband stay Crowne Plaza Metro first trip Chicago . originally book Hampton Inn Travelocity , overbooke travelocity recommend hotel pricepoint . quick check Tripadvisor rating commit , read review , start doubt . well , not worried . true , hotel many block away tourist attraction , not mind walk bit and/or use mass transit like we , would find fine . husband , unfamiliar layout Chicago , end get blue line Monroe walk 25 minute hotel . location - wise , near metro , 's bus stop across street ( front Dominick 's grocery store ) ; 8 bring street Milwaukee / Grand catch blue line , ( end trip take we straight O'Hare ) . bus system general well run ... buy 3day transit pass $ 14pp , good deal , use many many time . good part use mass transit trip make we feel touristy . ( remember ... 's journey , necessarily destination ... ) speak Dominick 's grocery store , happy find convenient , even though use buy bottled water , coffee Starbucks stand inside . be also walgreen side hotel . also hot food option inside ( prepared food , sandwich stand , etc . ) proximity Greektown allow we pick gyro 2am come back late night comedy show Second City well ! room , get upgrade & quot ; Deluxe & quot ; . not know room different one , disappointed get two double instead one king . room nice color scheme neutral , sort dark . light one bed work , not bother call downstairs . flat screen tv . bed comfy , pile four different pillow ( firm , soft , flat , etc ) . Bathroom clean like fluffy towel . complimentary wireless internet service well . thing would really want maybe minifridge . check 12 pm . since flight 4 , ask late checkout , provide we 2 pm check . overall , would definitely consider stay 
 Jun 9 2009 	 look tired 	 stay business . the standard usual crowne plaze level central enough get taxi metro exhibition centre McCormick . the breakfast extra find food good quality value money compare crowne plazas country . very long wait check wih do night before . good thing walk hotel round corner big department store , plus whole series street see countless movie . 
 Jun 8 2009 	 not Waste Money ! 	 upon arrival check . reach floor step elevator cleaning lady sit floor take break drinking water eat something . the room ok worth $ $ . daughter go use bathroom door come track . door really heavy lift front , take two people lift put back track . we call front desk ask maintenance person come fix door . wait wait one show . door come track , go full day . finally next day son inlaw tell clean lady hall call one come immediately dangerous . well dangerous could someone physically get hurt God forbid fire would not able get bathroom . then BEAR Convention . well take whole lobby whole weekend . plus man hold hand hang eachother pleasant sight . the bad dining room face patio watch 300 lb + gay man carryon . my son inlaw go front desk tell next time take lobby security call . well take lobby whole weekend front desk could see ! last least make reservation tell pool . pack suit ready go pool . call front desk ask pool . tell not pool access use pool .... 2 block away ! like go walk block pool not.when return home call corporate office tell experience lady really not care . abrupt rude . one thing want .... giveme 5000 point stay one hotel future . tell keep point . save money go Hotel 6 Courtyard ! 
 Jun 1 2009 	 great bar service 	 comrade stay recent NRA restaurant show . despite warning parking fee , thinhg add bill . not vehicle , read review complain fee add nonetheless . room nice comfortable bed awesome . plenty pilow ! bar service highlight three day trip . bartender name Paul duty every night trip . attentive , helpful , fast good recollection drink previous night . good job make suggestion food menu equally attentive guest bar immediate lounge area . 's actor heart , consider make full time profession , be damn good . breakfast service not quite impressive , be hurry , skip . 
 May 18 2009 	 Paper thin wall make bad neighbor smoke fill loud torture . 	 know FBI blast obnoxious music Branch Davidion compound Waco form psychological torture ... well basically Crown Plaza Metro . arrive Saturday presentation Sunday , important presentation . I take family live 3 hour away drive would good get - away meeting . daughter 9 . allergic smoke get non smoking room . 2 a.m. room fill cigarette smoke eye puffy sneeze incessantly . at 12:30 a.m. neighbor room separate connect door start frat party bring stereo substantial woofer start play 120 bpm dance music night . 1 a.m. , 3 a.m. , 5 a.m. , 7 a.m. call operator request put stop loud music smoking , avail . truck whiz interstate loud welcome disruption terrible dance music shake wall . eventually open balcony daughter could breath night . I ' m private contractor parking hotel room cost $ 300 dollar one night stay . would gotten rest sleep car parking garage . ' ve well experience Motel 6.if keep awake night psychologically torture , stay . 
 Apr 19 2009 	 comfortable room relax weekend 	 first extended trip big city ( ' m small midwestern town ) , Crowne Plaza excellent . choose stay wanted stay somewhere different hotel around hometown . disappointed . moment step taxi , experience great . staff great knowledgeable . hotel warm inviting . lobby huge beautifully decorate . room ( King suite 1531 ) , beyond imagine . seperate living room , tv , desk , chair , sofa ( pull bed ) . beyond bathroom bedroom . seclusion , anyone stay sofa bed , could privacy bedroom closing door . bedroom also tv , comfortable bed ever lay . balcony stunning view Greek Town ( Greek Walgreen 's right across street ) , leave , Sears Tower . bathroom equally stunning . love rainfall shower head ; relax . light entire room able dim , great . can not wait go back . 
 Mar 31 2009 	 pleasant surprise 	 stay Crowne last weekend Feb. never stay not quite sure expect . staff friendly welcoming . great location interested dining ... great spot north within walking distance . group corner king room ... room little cozy , bed comfortable . great value spot would highly recommend . 
 Mar 26 2009 	 Pretty Average Stuff 	 stay Crowne Plaza 3/13/09 - 3/15/09 . would recommend friend ? depend .... business neighborhood , yes . sightsee Chicago - . gym important - ( thousand time ! ) room nice Chicago sightsee , much well choice , much close sight . as say , room fine , good feature : large desk , free ( though slow ) wire , wireless internet , nice flat screen tv . shower head mount extension arm provide ' rain ' affect . ceiling low though shower head feel like nearly touching head . nothing else room stand I . Location , mention , good ; especially work neighborhood . mts station within 15 minute walk easy direct access O'Hare via Blue Line . love walk though bit far site , even lakefront brisk 30 minute walk . unless rain bitterly cold , Chicago great spot meander sightsee . hotel locate ' Greek Town ' , number choice good meal . also number restaurant choice within block - include nice variety west . good meal quick , friendly service bar , even though arrive 9:50pm.the bad part workout room definitely substandard compare hotel stay Chicago area . ceiling appear 7 foot , addition give claustrophobic closet type feeling room low treadmill nearly bump head . ( ' m 6 ' 2 & quot ; , machine add 8 - 10 inch depend incline ) . equipment old wear especially poor quality hotel rating . would like 1985 12 & quot ; Emerson tv room instead flat screen . speak tv 's ( workout room ) , small provision ear phone , everyone pretty much force watch channel unless want conflict audio audio . couple weight machine also substandard nearly useless get good workout . good assortment dumb bell . obviously gym important . would rather pay additional $ 10 / day gym new , quality , equipment high ceiling free gym terrible . much less hotel Chicago much nice gym ; think afterthought - stuck converted conference room really important hotel management . last year hotel nearly 3 night every week . one nothing impress standout . room probably b b+ , , whole experience set hotel apart , comfort room . guess ' m weigh gym 's d- grade heavily , matter lot . pay $ 180 / night honestly could stay comparable ( nice ) room well gym $ 75- $ 100 / night use ' bidding feature ' popular website . Crowne Plaza not close customer , doubt would come back . 
 Mar 22 2009 	 Cool Hotel / Cheaper parking ten step away . 	 update contemporay style . room balconie interesting location Greek Town great atribute . locate near west side , 's bit walk loop . cab bus nearby . hotel resturant also stylish friendly slow service . greek resturant row starbuck one block south . big grocery store ( Dominick 's ) across street north everything ... include another Starbucks . across expressway bridge & quot ; Old St. Pat 's -- friendly catholic church great music . norh 2 block Randolf street upscale trendy resturant . room bathroom big well appoint . bathroom door slide glass not feel priviate would wish -- good enough guess . wish room small refrigerator . do not use HOTEL parking unless NEED SERVICE . directly across street west much cheap lot . way meet guest resturant hotel parking free validation . 
 Jan 1 2009 	 Book Crowne Plaza -you disappoint 	 follow five day break NYC , follow four night break Chicago . second trip , first wedding stay Drake hotel . much preferred Crowne Plaza , despite main tourist attraction . room excellent . bed comfortable could taken home . service hotel second none . say try hotel disappoint . 
 Dec 11 2008 	 Excellent stay Chicago 	 stay Crowne Plaza Metro conference Chicago stay two night . hotel rate conference low state rate reasonable ( Chicago ) . king bed / no smoking room eighth floor look parking lot Dominicks food store . little noisy , not anything keep awake . bed linen nice - love cotton blanket instead acrylic - lot pillow . desk space nice plenty outlet , wish possible sit desk see television ( nice flat screen ) . room safe big enough laptop free . amenity nice , plenty soft towel , spacious counter bathroom . wear white sock time room base carpet clean . love food store , drug store , variety restaurant greek town street ( within 3 block ) . hike Loop , short cheap cab ride get . housekeeping nice , priority club member , turndown service without ask . exercise room clean offer container Clorox cloth wipe equipment . equipment seem need tune - up , slightly complete gym usually see . overall think Crowne Plaza Metro Chicago worth money good place stay . 
 Dec 1 2008 	 not worry book ! 	 be like , probably obsess stay - want holiday great worry - free , ' ve check Tripadvisor review till head spin . well , stop ! ! ! go ahead reserve room . room modern , clean , comfortable ... feel like home . great bathroom . nice balcony . front desk great . not go onsite restaurant - many place explore Chicago . take cab anytime want go somewhere downtown - would walk November freeze rain bit deterrent . taxi expensive get Magnificent Mile area ( 7 buck remember correctly ) .You must go blue bar couple door street . live music weekend band fabulous . early - apparently Chicagoans start evening midnight - get know band everyone dog show . also go irish pub nearby - lot fun , friendly female bartender . Walgrens next door fun we Canadians , especially 3 am think really need get pair glove peel potato . Loved Chicago , people friendly , care weather great hotel home base . , great time enjoy great city . start worry clothe pack instead stay ... 
 Oct 20 2008 	 truly delighted Crowne Plaza 	 lucky get hotel Hotwire . location perfect need near Union Station . loop walk little bit get loop , not Chicago sightseeing . the room comfortable nicely appoint . great lighting , color , furnishing . bed one comfortable bed ' ve ever stay ! want take home . bathroom clean modern . widescreen flat panel tv room balcony walk onto . lot little thoughtful extra like earplug , eye mask , relaxation cd room ( although idea listen stuff ... ) . internet access free gym . parking little expensive ( $ 35 night ) super easy not wait 15 minute get car ... right outside . happy Crowne Plaza would definitely come back . 
 Aug 12 2008 	 Decent Hotel Marginal Location 	 hotel recently ( 2 - 3 yrs ) renovate though room bit small , clean modern : flat panel tv , two - tone paint , halogen reading light bed , white subway tile bath , rainfall shower head . room Halsted Street side , away highway . though close interstate , issue noise . our issue location . hotel 5 block west loop , roughly distance nearest subway station . CTA , cab walk , Chicago easy city get around . know away primary business area well major tourist area . we book base price get room $ 225 night ( include taxis fee ) Orbitz package deal . try stretch budget bit not mind walk extra block , place fine . want heart city , look place Michigan Ave . 
 Jul 15 2008 	 Hotel Chicago 	 location convenient : walk distance Greektown restaurant , Loop Sears tower want go use metro . park lot ridiculusly expensive ( $ 35 / day ) . week - end get good deal nearby lot ( $ 10- $ 15 dollar day ) .One drawback hotel : I-90 / i-94 insulatoin good hear traffic . provide earplug . 
 Jul 10 2008 	 wonderful Fabulous 	 would say 5 star ! room moder look . bathroom dim light relax shower , bright light make - up . perfect . bed pillow call heaven earth . service , wonderful . food , could get enough . heart need different direction . perfect location . catered . exceptional ! view pretty , amazingly expect . 
 Jul 9 2008 	 nice hotel greektown 	 nice modern room good work desk , plasma tv , sound machine . hotel edge Greektown freeway Dominick 's & amp ; Walgreen be across street . good business hotel , want middle loop , prepared walk several block shopping , sight restaurant Greek . business center conveniently locate adjacent front desk print boarding pass flight check . 
 Jul 6 2008 	 appreciated tourist 	 visit Chicago first time July 4th weekend . soooo hard trying decide hotel location well . interested location rather price hotel chain . Crowne Plaza Metro wonderfully locate tourist want all - around experience without leave downtown area . locate main & quot ; Greektown & quot ; street primarily several block greek restaurant ( sit - down dining fast food ) residence . one side hotel Walgreens side Dominick 's grocery store ( subsidiary Safeway ) . Sears Tower four short block away hotel cross Interstate Chicago River . the hotel park $ 35 / night park across street ( west ) pay $ 20 / night . first , thought & quot ; rent car could take public transportation ? & quot ; time ' m glad car zip around outskirt . truly , though , need car . train inexpensive O'Hare downtown bus ( Route 20 ) stop entrance Dominick 's go way Millennium Park ( huge park next lake ) .One two block south hotel Route 124 ( 126 ? ) also take generally block park . make mistake drive car Sears Tower parking parking facility . slap $ 31 charge park 2 hour . parking everywhere downtown ( except sparsely - available meter ) expensive . negative whole trip . this hotel clean new modern look even though be renovate old structure . be right next Interstate well insulated can not hear noise . also , really not perfectly - locate room be go see John Hancock build one side hotel Sears Tower matter room choose . every room balcony . it be good go Sears Tower Observatory late afternoon sun shine building , go morning John Hancock Observatory reason . observatory give different view perspective . glad took & quot ; Skyline Cruise & quot ; Navy Pier distant , all - incompasse view skyline really neat . river cruise , simply pay water taxi price use trip bring Navy Pier back Union Station get walk two block hotel . river cruise $ 30 basically narrate , one - way water taxi $ 6 route distance . lastly , return know Hotel Monaco , Hotel 71 , Holiday Inn Westin right Chicago River would four would choose base price time . four hotel seem like best location second trip . , Crowne Plaza good first trip feel right outside skyscraper step away . 
 Jul 1 2008 	 average 	 nothing special . like hotel 1 ) nice location 2 ) clean room 3 ) small extra room nice . ( Ex . Dream machine plasma tv ) con 1 ) small hotel extra 2 ) hostess restaurant rude 3 ) car park 2 block hotel 4 ) staff rush unprofessional . often make numerous comment book 2 wedding reception busy accommodate guest . 
 Jun 27 2008 	 Upscale stay little west Loop . 	 hotel quite Loop , two block west right border Greektown . get top notch high class room without pay ransom demand hotel Loop . the hotel nice staff room well do . upscale furnishing include chaise lounge . Crowne Plaza sleep amenity clean comfortable . the bathroom smallish , unique slide glass door ( make frosted glass can not see ) save room . faucet shower head standard rather unique upscale . however , ceiling shower low . tall 6 ' 6 & quot ; may fit shower easily . ( also double bedded room three towel ask ) .But good asset hotel location less expensive unique dining option greek town one block south hotel . less 15 greek restaurant high class within three block walk hotel . neighborhood safe short walk Union Station west side Loop . easily grab taxi , hop bus El like , walk Chicago River grab water taxi Navy Pier get East Loop . 
 Jun 20 2008 	 great hotel 	 wife stay business trip Chicago . nice room great view , large bed , many & quot ; extra & quot ; ammenitie . encounter two & quot ; small & quot ; problem . high - speed internet anything fast room next elevator show bit noisey . overall , pleased . 
 may 23 2008 	 Fabulous hidden gem 	 want drop quick review . thoroughly enjoy stay hotel . initially concerned tha ethe hotel locate inside & quot ; Loop & quot ; realize location actually great locate west west loop 8 minute walk meeting loop . also enjoy terrific iews chicago skyline . hope back soon ! 
 May 11 2008 	 Great Newbie 	 first non - business trip downtown Chicago . take teenage son first visit Windy City spring break . want safe , nice spot , touch upscale experience . this hotel deliver offer great rate . easy drive , Madison Ave.a djacent ( fortunately ) visible John Kennedy Expressway . near Union Station Sears Tower . able leave car park safely hotel 's lot ( parking fee ) walk , use public transportation cab ( $ 7 fare theatre district . ) usual tourist stuff base -- Art Institute , Shedd , Sears Tower , Mag Mile , Millennium Park , saw & quot ; Wicked & quot ; , etc . Felt safe always orient . son point hotel Sears Tower . the hotel simply sophisticated . Upscale , mean pretentious . new mattress . crisp linen . like neutral color , granite surface , flat screen tv shimmering view balcony . wireless available room , work quite nicely comfortable lobby . right touch city polish we . it & quot ; Greektown & quot ; , not time explore newbie stuff . use place next visit recommend good start place family tour business trip . 
 Apr 27 2008 	 Liked hotel lot ! 	 place nice surprise . staff pleasant accommodate . arrive early notice room ready . room modern , comfortable noisy . expressway right outside hear white - noise type rushing sound . location great - north end Greektown least 10 greek restaurant within two block . be also Walgreens south hotel Dominick 's grocery north . Dominick 's service center buy all - day bus pass $ 5 . otherwise , be 4 block east loop - easy walk . criticism - downtown hotel - park $ 35 per day . 
 Apr 18 2008 	 Outstanding Service 	 recently stay Crowne Plaza Metro business conference stay wonderful ! hotel room , large , modern , clean , comfy . really make stay great though service . front desk friendly helpful , room service fast friendly , valet great . - ready retrieve car , valet car literally 2 minute . would certainly stay . room nice nothing unique , however price well worth outstanding service receive ! 
 Apr 15 2008 	 great stay cool hotel ! 	 three we stay one night see downtown Chicago . room small usual well do modern decor , enough storage , plenty lighting . include desk , chair , lounger . cramp . think place old renovate recently . bathroom small , also well do tiere counter modern fixture make space . Balcony view city . really enjoy design room . staff fantastic ! bar restaurant seem expensive side ambience nice , go grocery across street fresh pastry coffee instead breakfast ( Starbuck be locate inside grocery ) . hotel sit perpendicular I-90 , traffic noise expect , awful . trip due east W. Madison get Millenium Park Art Institute . site nearby . stay $ 100 less similar hotel nearby . would stay sure . 
 Apr 12 2008 	 Great Hotel 	 business day return stay . hotel clean , modern room amenity . staff also pleasant . great location -- $ 40 cab ride ' Hare . Resturanr bar close bit early weeknight -- last call 10:30 reason -- several good restaurant within walking distance , plus grocery store , 24 hour walgreen starbuck . easy walk SearsTower be mood tour city via trolley double - decker bus . 
 Apr 7 2008 	 Crowne Plaza Great 	 husband stay one night , anniversary . staff kind we ... bring we small cake come turn bed . upgrade suite . room balcony , great view city . would definitely go back ! ! 
 Mar 31 2008 	 wonderful hotel extremely comfortable room good location . 	 hotel extremely comfortable . furnishing room stylish , bed supremely comfortable , decor soothe contemporary free internet excellent . neighborhood good location - Starbucks around corner , large supermarket across street numerous greek restaurant far away . loop short walk away nice stroll Millenium Park . would stay rate good . complaint not mini - fridge room . 
 Mar 8 2008 	 Great Hotel Awesome Service ! ! ! ! ! ! 	 hotel absolutely great ! ! ! ! ! ! close Chicagos fine point SEARS TOWER , UNITED CENTER , MICHIGAN AVE , NAVY pier . location cab cost 7 dollar . ton cab area long wait cab maybe 2 minute doorman great . arrive hotel make feel like king great . clean room , great restaurant downstairs , business center , fitness center access swimming pool . highly recommend hotel . thing charge 50 dollar per night top room rate damage deposit credit checkout . stay 7 day make sure additional 350 credit card pay Damage Deposit else pre - authorization go credit card 
 Feb 16 2008 	 Great Hotel good value 	 book 50 room shotel AACC Convention July 2006 www.findtripdeal.comWe really enjoy hotel location great hotel stuff helpful . serve breakfast Dime restaurant next hotel . thing complain ' wheel chair available need one group member problem wih back . 
 Feb 10 2008 	 Best Service Town ! 	 family recently Chicago stay Crowne Plaza Metro downtown Chicago . little concerned initially locate Michigan Avenue ( Manificent Mile ) . however , concern quickly eliminate moment arrive . hotel little deceiving outside , arrive walk lobby , begin realize incredible hotel . pull front hotel , quickly greet doorman . upbeat genuinely excited see we . surprised greeting stop . upon enter hotel , introduce desk clerk doorman . clerk also warmly welcome we hotel begin check we . check we mentioned information hotel surround area make we begin realize still close originally want . escort room another gentleman give we even information hotel facility available . kind outgoing leave we say would available need anything stay . room incredible everything look brand new . tell gentleman bring we room open 3 year . room balcony perfect view skyline city . unfortunately , since winter , really chance use much offer wonderful view room . never get see room clean since go day , person fantastic job . room spotless , seem way every place go hotel . take breakfast restaurant , delicious staff outstanding . friendly outgoing . seem every person encounter hotel pleasant happy . service receive outstanding . every time ask something , done immediately always smile . begin say enough hotel Chicago . definitely stay next trip Chicago . 
 Jan 29 2008 	 Great Suprise 	 opportunity stay Chicago two week ago . friend stay Crowne business suggetse hotel . sure glad . great hotel ! room retro trendy ... lobby slick urban ... restaurant great . could not well ... even meet general manager . stay March . real treat ... 
 Jan 26 2008 	 Noisy dingy 	 room stay directly freeway , loud highway noise night . [ provide earplug complicated & quot ; sleep machine & quot ; could not figure work latter . ] room dimly light feel dingy tv controller work intermittently . lobby chic , rest hotel look badly need update -- carpet look old worn , narrow corridor , etc . skip hotel -- much nice property money ! 
