3 	 book 2 room superbreak disappoint date room especially bathroom . friend room even bad dodgy electric although tv report not work one acturally go fix it . we ask soap would think would provide ! shower curtain rail place head , shower stuck body ! bar expensive 4 drink cost £ 18 ! however restaurant good helpful staff . when go breakfast queue horrendous , waithe good 20 minute ! although breakfast ok . no way 4 star hotel ! stay . 
 Aug 3 2009 	 tired hotel- tired 	 hotel quite close Euston station however sit deadzone North / central London . bar , point interest within 1mile hotel . room tired . stay upgrade double deluxe honest room quality like Travel Lodge . shower woeful fixture etc look like since early 90 's least . drove / park hotel utterly amazed access . great deal mark / gouge wall driver catch car . access tight . would not recommend drive anything big golf . either get stuck damage car . even though book double - Deluxe tell morning be not list breakfast , hindsight wish be not . positive ? lobby nice ( 80 's marble - effect ? ) beyond far nice hotel London stay . nice way- avoid . look like Holiday Express Inn 20yr time . 
 Jul 28 2009 	 stay hotel 	 motel quality hotel worth approximately $ 250 usd per night rate . terrible housekeeping - first room check use , wet towel bathroom bad plumbing . move another room , discover hair sheet - apparently sheet change . ask wake call , phone keep ring - approximately 5 hour schedule wake call . detachable shower head hair stick . also , location convenient unless Eustom station early . convenience store , restaurant , anything else nearby ( get water , snack , etc . ) guest shop inside hotel take cash . overall , totally overpriced getting . 
 Jul 26 2009 	 nice stay - great location 	 apprehensive consider previous review think nice . get upgrade executive room might help . bathroom nice , nice strong shower , comfy bed good tv . breakfast morning great , lot option lot . also easy find London Euston - useful geographically impaired . nice place stay round 
 Jul 22 2009 	 never 	 location hotel ok 's reasonably clean . be it . the room laughably small crowded , bathroom tiny , staff helpful , breakfast joke price , mattresse old etc . the Ibis road look lot well . never . 
 Jul 19 2009 	 Awefulplease avoid ... 	 Great Location , Thistle Name overall good , hotel nightmare . bad room , maze find ... moreover staff welcome . would recommend enjoy area , stay ibis next door ! 
 Jul 11 2009 	 okay would stay Ibis hotel next door 	 upon arrival hotel give key room still use hotel visitor twice . upgrade special room however difference extra carpet area . room pretty clean , old need place sleep . location good , right across train tube station , food place . water shower hot uncontrollable . breakfast pretty good ( bacon , egg , sausage , toast , roll , cheese , egg , bean , tomato ) breakfast cop would seat whole party breakfast could not eat everyone room . room wall quite thin could hear noisy neighbour . expensive use telephone room . phone lobby internet ( nice area ibis next door ) newspaper available lobby . staff mediocre . okay place would suggest stay somewhere else , ibis next door look really nice . 
 Jul 2 2009 	 Disappointing 	 arrival 1 pm tell hotel overbooke want room time would pay extra deluxe room , come back 5 pm room would ready . travel decide pay extra romantic weekend thought would great get nice room . would hate think standard bedroom like box room ! situate right Taxi rank first floor , noisy guest arriving/ leave train station . room soap towel toilet roll , tea / coffee facility air conditioning break , end June London hot humid . tell would probably get breakfast ( pay ) hotel busy would extremely early get Q . use hotel restaurant must say food excellent altho service slow request dessert menu - still wait ! location ok find map , area be not great need somewhere basic quite expensive stay hotel ! 
 Jun 16 2009 	 stay . 	 reception nice area . upstairs absolutely dreadful however . two floor tile bathroom actually attach floor . little shampoo shower gel - not even soap wash hand basin . location wise , dark little street flat around corner would give confidence wander around . would absolutely never stay . receptionist barman night arrive pleasant dozy . receptionist tell we 2 bar open til 12.30am one actually close 11 pm . breakfast room staff nice seem know . 
 Jun 6 2009 	 lose ? ! 	 outside hotel lobby well present , not let fool . hotel room cramp , batroom date bath rusty tap , drain smell bad . try find room easy . arrive 4th floor go different corridor , one door , stair another corridor ! great exercise , especially lug couple 20 kg bag flight stair not lift floor ! 
 Jun 5 2009 	 never stay ever 	 unfriendly staff dirty bed expensive rate worth go never 
 Jun 3 2009 	 Thistle Hotel - last resort ! 	 arrive hotel early around 11.30am ask could check . receptionist take detail ( name booking info ) say room would available 2 pm onwards say could leave belonging concierge come back later ready . thames cruise book family lunch time . cruise finish make way back hotel around 4.30pm tell room double book . not seem bother receptionist much tell we speak duty manager . arrangement make we move Bloomsbury Park Hotel . Cab call driver not know go even though around corner - take 30 min eventually find hotel . room top hotel far standard original booking ( Deluxe 4 * ) - room sandwich two room door separate . wallpaper peel away wall general poorly keep . get distinct impression use emergency use house staff . definitely 4 * deluxe room . Thistle Hotels definitely perform well brand value well expect . honestly feel sorry especially anyone else think stay Thistle hotel . warn , cardboard box would comfort ! actual week end brilliant hotel totally unacceptable especially manner deal . definitely never use thistle hotel . 
 Jun 2 2009 	 COmfortable overprice ! 	 stay one night pick tour leave hotel next morning . look posh reception expect great thing , room disappointing . need maintenance job - e , g . door hinge good clean . quiet though . far St Pancras station , walk hotel backpack bag . bed comfortable room good size . breakfast good lot choose . early start next morning , not get chance explore around hotel find else close . otherwise , everything okay . dine restaurant - great food service . generally though , overprice consider room need minor repair arrive late , could not bother ask another room . 
 May 24 2009 	 okay hotel 	 stay son three night ( third night free - offer ) . nice clean hotel . nice clean room . view well do not visit London look hotelwindow . outside hotel smell like horse stable , find London zoo close hotel . okay breakfast ( 4 star ) small room cellar . nice clean hotel close Euston Tube station . 
 may 22 2009 	 great hotel 	 pleasantly surprised find hotel not bad , story tell site . actually , room clean , big , small . look cosy warm . bed , breakfast , service also great . 5 minute walk Euston Station . would surely stay ! 
 May 18 2009 	 tired noisy impersonal 	 hotel locate close Euston 's mainline train station , be say 's favour . one person reception , customer try book issue dealt make wait . door card not work first time traipse back reception wait another card , time work , word apology . view window pretty grim , unnattractive Network Rail building sight railway track beyond . also pretty noisy poorly glaze window . bar also short staff , one member staff clearing table , pull pint deal food order . overall nothing uch recommend hotel will not rush go back . 
 May 13 2009 	 pretty average need revamp noisy 	 stay hotel 5 day . pretty average hotel London , room ok rather cramp . situate next service lift go night make loud noise . sleep easily heavy sleeper require move room other find awful . one colleague change room six time due mixture room without work heating situate next lift / stair Breakfast ok , location pretty good Euston station . would not stay . 
 May 11 2009 	 Tourist group hotel 	 great part hotel location . 's central locate convenient distance attraction London . room modest clean , unfortunately problem noise cause dozen tourist group . ignore morning rush breakfast time , actually quite pleasant stay . 
 May 8 2009 	 terrible - completely overpriced offer . 	 apparently deluxe room , back hotel . room completely cramp fitting furnishing extremely date . totally unimpressed disappointed consider price mislead website . 
 Apr 29 2009 	 second time around much well visit 	 firm 's travel office book back Euston Thistle major reservation stay previous experience . I upgrade double room 3rd floor much well state last tiny room second floor . time room would reasonably expect decor , facility size . tv large LCD offer good range channel include Sky 1.the reception staff excellent . however , push luck eat hotel resturant disappointing experience last time - maybe next visit ! much well stay time around . 
 Apr 29 2009 	 excellent value lastminute.com secret hotel 	 get single room ( double bed ) lastminute.com 's secret hotel . Guessed hotel base description see tripadvisor review poor . perfectly satisfied hotel . right beside Euston within easy reach tube london attraction , area around hotel would expect around main station rather historical area . value amazing , although lastminute booking not mention breakfast , give full breakfast . room clean comfortable staff friendly . grant place bit run furniture carpeting old , clean get good price really excellent value central london . 's price - get single £ 80 double £ 100 can not much well , rack price will end pay 4 * price 2 3 * experience . 
 Apr 28 2009 	 Decent Hotel London standard 	 stay hotel 2 night , staff friendly , exception one waiter breakfast . location great . the room clean , bit noise morning ' ve much bad . for London standard good hotel fair price . 
 Apr 27 2009 	 nothing WRONG Hotel ! ! 	 read poor review Hotel little uneasy arrived check one night Thursday 23 April 2009 . however see reviewer reach verdict - different hotel ? room give single smallish perfectly adequate clean . bathroom fine plenty hot water towel toiletry . room connect door next one could hear tv intrusive . queue breakfast food plentyful fine come 8 - 30 5 people wait seat . get say good hotel stay long way bad . nothing wrong . 
 Apr 27 2009 	 ok price 	 recption staff efficient many people arrive time . our room 2nd floor overlook backyard aircon unit noisy leave window open night . matress tear bed clean room bathroom . room areasonable size , big Russell , Ambassadors Holiday inn . the breakfast good hot , staff dining room attentive .I would say good , friendly service . however iwould rate hotel 4star . good value pay whole package firstclass rail travel hotel 
 Apr 27 2009 	 Definately 4 * ! 	 get special deal 2 room hotel - thank goodness . have pay full price have REALLY disappoint . reception staff not helpful , room tiny smell funny . price pay not disappoint location good have pay full price would annoy . 
 Apr 26 2009 	 Glad not pay ! ! 	 hotel convenient Euston station - 5 minute walk . service good - couple request deal efficiently . evening meal restaurant lovely breakfast plentiful little cold . main issue size room - TINY ! ! ! clean modern little room move around . advertised rate £ 200 per night - would gutted pay ! ! 
 Apr 23 2009 	 disappointingly dirty 	 positive side , breakfast ( include price ) quite satisfying , although seem bit way first look map , hotel 's location fairly convenient accessible couple underground station . on negative side , hotel filthy . & quot ; non - smoking & quot ; room stunk smoke . perhaps suprisingly , towel smell worst , be like room smell leave hotel 's smoking day . really , not understand towel , apparently not wash . hair bed sheet equally disturbing . price , hotel worth . find much well accomodation elsewhere . 
 Apr 22 2009 	 would never go hotel ! 	 Breakfast shamble - table full dirty pot nobody clear sometimes long 25minute . whilst long queue disgruntle guest waiting give ! 
 Apr 16 2009 	 bad hotel stay London . definitely 4 star . 	 reviewer decent room happen ? small cramp room 4th floor , 3/4 bed push wall , ( husband manage bed remain mystery ) nice clean sheet top cover bed , threadbear carpet , hole curtain , dirty window shabbiest furniture ever see . bathroom tiny stain bath . one bath towel one hand towel we . toiletry cheap rubbish . hairdryer pretty much useless turn 1 minute time switch , wait another 4 minute come back . freeze drafty bedroom . could hear heavy traffic night apparantly Euston Station delivery depot rear hotel . manage couple hour sleep . breakfast reasonable unfortunately serve green mouldy toast course send back . thank god one night . book reputable large well know travel agent cheap need take matter they . would go never . like 2 star . 
 Apr 13 2009 	 second time round 	 last time problem breakfast line . ridiculous . stand , wait wait . definitely elderly frail . one old man give . guess figure late stage life be get many year leave quite frankly experience cramp waiting area leave look quite ill . bad enough , eventually get notice despite amount hotel staff present , load table simply not clear remain right meal . really annoying . otherwise problem . this time round decide escape breakfast problem opt breakfast deliver room . arrive , time , disadvantage one can not actually ' pig - out ' preparation long day like would possible restaurant . I find sausage , time get we , barely luke warmish , yet croissant , keep till last warmer . there large sign reception warn guest possible delay breakfast hotel devote another eat area combat issue . leave see que . oddly , room stank smoke . disgusting really . next morning notice come bathroom . noise level train far greater noticed first time round sound adjoining room clear , i.e . could hear lady next door brushing tooth , sit loo , lift lid bin , put something ..... everything include phone conversation . the shower room however joy . brilliant . 
 Apr 6 2009 	 well four - star reviewer get one wrong ? 	 handy location bus , tube train , smart reception , attractive room pleasant view . experience ( hundred four - star hotel past five year ) definitely among top 25 % . have book rate GBP70 read review book expect nothing short squalor . tripadvisor 's never wrong be go ? well maybe grudgeful competitor likely room vary lot , perhaps well condition other . first glance mine looked refurbish previous month , though close inspection maybe year . certainly room overlook little park ( local Council busy refurbish colourful flower ) other overlook side Euston station , bit like Berlin Wall . if be London holiday / vacation , hotel never highlight visit . get decent room 's well many competitor . could name plenty London four - star would not stay ... 
 Mar 28 2009 	 amazing time 	 whoever say scam stupid ! ! ! thistle Euston do not look nice outside beautifull hotel . room lovely big t.v , food good standard , staff good also ! be really good location London 5mins king cross . would highly recommend hotel anyone I m book back fabulous weekend ! ! 
 Mar 27 2009 	 not stay ... well hotel area 	 ( Room 205 ) small room , terrible bed ( feel spring mattress ) bottom bed less 1 foot wall , tissue , washcloth , ice bucket . staff idea tour amenity package . resturant service slow .. . good place 20th anniversary anything else . American Express look credit card chargesDid not see anything like picture show roomsadvantage , next Euston station easy tube access 
 Mar 26 2009 	 scam 	 stop . book hotel . absolute scam $ 400 per night ! ! lobby bar look fine enter , room terrible . describe de - luxe . would hated see standard room . could swing cat room . queen size bed take 75 % room leave couple square foot stand . Decor old shappy . furniture 30 year old junk . Bathroom outdate dirty tile smell sewage . want internet access , charge extra 10 pound day . we book queen room , originally give twin , go back lobby , staff start argue book twin . poor customer service . if continue book hotel sorry . 
 Mar 25 2009 	 good value money 	 book hotel lastminute.com , stay 3 night . singleroom get bit small good condition . bed comfy , location exellent . 2 - 3 minute walk Euston Train Station . downside say bathroom , small ! even quite tiny find difficult move there . I can not say hotel 4 - star hotel , good value money may use 
 Mar 24 2009 	 absolutely awful 	 Booked hotel last minute travel industry 5 year know thistle know good reputation think hotel ; would good standard ............ wrong . hotel real ; run area overlook back yard , check receptionist unknowledgeable us panic book last minute.com say sometimes book pay isent room shed check could not stay ! ! ! obviously put downer thing staright away have not work travel industry lknown that s right , poor customer would wit end ! . room run dirty towel bed comfy guess plus say ! also hotel ; plenty car parkign space anothwer plus location ok , however future referencde other i d reccomend ibis next door lovely park inn euston . 
 Mar 23 2009 	 absolutely problem 	 stay 1 night Thistle 15 year old daughter theatre break . the hotel perfectly adequate need . not luxurious , clean well run friendly staff . despite full significant queue breakfast room well equip extra bedding . breakfast good .overall well expect efficient expensive hotel stay .Close proximity Euston tube useful . 
 Mar 23 2009 	 bad ... 	 stay one night part business trip . excellent location - 2 min walk euston station . reception staff pleasant , standard double room adequate need - good 3 star would say . luxury - ' m glad not pay quite expensive even corporate discount.i get letter reception invite ' informal drink gathering ' go give free drink choice - ' ve get big screen show footie etc , bar food nice , little pricey.only prob room could not work air conditioning bit cold , not spare blanket / duvet etc - doubt could rung reception sort , honest could not bothered.also halfway night wake really loud bang age , sure come outside somewhere hotel .. breakfast next morning ok - good selection - bacon sausage salty , never get offer toast.when leave breakfast room ( 7.30 ) huge queue people wait seat .. surely would think ahead accomodate people already know many expect ! ! doubt would stay unless not pay . prefer spend bit get something bit nicer . 
 Mar 21 2009 	 can not believe class four star hotel 	 arrival pretty excited reception tell we hotel busy have upgrade deluxe room . I d hate see standard . friend get bedding change weird stain . deluxe room comprise two single bed less join together . also tell breakfast really busy 9 10 , forgot say have almost cue back top floor restaurant basement . finally get seat breakfast , cue hotel either run breakfast wait next batch run plate . although staff friendly breakfast nice actually get , would strongly recommend stay hotel . 
 Mar 19 2009 	 's one way put - smelly .... ! 	 1st impresion great , nice reception helpful staff . go allocate room . soon open door damp muggy smell . last 10 minute think ' m pay . reception hepful move another room . obviously problem cleaner try hard hide smell overpowering room air freshner ! ! ! late could not access work travel agent , stay night , never . also room service meal promise 30 min take hour not bring order . worth money . 
 Mar 15 2009 	 tired substandard hotel - if 4 * star would not like stop Thistle 3 * 	 stop one night supposedly Deluxe Double Room attract location full English Breakfast . I warn arrival Breakfast Room would busy 9 - 10am worry intend breakfast 8 am . arrival Breakfast room greet disgruntled queque 30 people wait sometime . tell hotel bar could get continental breakfast . one poor hardworking server try deal 30 table , could clear table properly , serve drink keep buffet food . little food available . the room small , tired looking , one towel , television work work . I stop fourth floor minimal luggage plenty people luggage try access appear lift ( small ) .I ask reception make complaint could talk somebody , reluctantly hand feedback form . hurry could pursue matter furth . kind place make angry pretend proper hotel -give British Tourist Industry capital city bad reputation - travel lodge , Premier Inn etc would much well option . 
 Mar 11 2009 	 quite dissapointe 	 hotel room quite date large stain carpet , bathroom also look tired . location good 2 min walk Euston station . breakfast nice , large selection . would not stay long 1 night bed uncomfortable - job theatre break . 
 Mar 5 2009 	 guess lucky ! 	 really do not know people moan hotel . fine ! ! ! location perfect 2mins Euston Station hear noise whatsoever ! problem try check early 12 pm ask we come back 2 pm expect anyway luggage safely lock away . when return 5 pm room cancel ( ! ) quickly re - instate we drama ! room ground floor no.60 clean wide screen tv heating hairdryer fully function bathroom fine . clean everyday bed nice hard fully stock tea coffee bar ! warn que breakfast reception still go ' peak time ' 9 am long que 10mins agin major drama either ! breakfast good choice buffet style hot cold fine ! went see Wicked Chicago FABULOUS ! ! also London dungeon great fun ! sum hotel FINE listen nit pick grump ok 4 * pay certainly good value money clean location perfecto ! worry already book ! 
 Mar 3 2009 	 lousy location poor information share 	 Thistle Euston locate turn road near Euston Station . frequently see car cross white line road race around corner . ' m surprised not see accident . 's also locate directly station hear announcement train day night . room terribly small barely enough room get past bed set chair table make difficult , impossible open drawer . the room clean enough cleaning staff pleasant . first night go breakfast tell include . knew call front desk . confirm . breakfast less pleasant suffer cramp next hour . fry egg disgusting , scramble egg incredibly dense , toast , typical teh UK , stone cold . also sausage , yoghurt , extra , , good , adequate . second morning go breakfast tell include . call front desk prove help direct . produce sheet say also say book Expedia . not . want piece bread anyway go local bakery way instead . there several shop restaurant nearby , not look overwhelmingly decent character . vegetarian Indian . several bus come Tottenham Ct . rd Hamstead Rd , inlcude night bus , walk hotel bit dodgy well . hotel good price pay online . rack rate definitely worth level service location . pay roughly $ 100 . rack rate start 200 + pound , ( $ 280 ! ) . would stay recommend hotel . 
 Feb 19 2009 	 4star 	 book weekend away london internet rail travel york , hotel ferther center think , 1 st check terrible get 2 people front we suddenly coach party come go desk organasation , 2 small lift weight 10 min get floor , room plesant would class 4 star , bathroom let sink deep crack right one side toilet seat break clean also bot bed 2 night cheep would spend little extra next year get hotel central 
 Feb 19 2009 	 much well expect 	 stay hotel part weekend rail hotel package . original hotel change Thistle Grosvenor Victoria Euston read TripAdvisor review bit apprehensive . need not . arrive Euston ideally situate . go diagonally across station concourse r / h side - exit Melton Street entrance turn right Cardington Street . hotel 400 yard road - past ibis little park . fom grey exterior look bit forbid interior fine . reception staff welcome , quick efficient . twin bedded room reasonable size . bathroom bit cramp adequate . room bathroom spotless two set towel . also extra pillow wardrobe - pleasant change ask . bedside light bulb not work concierge arrange replacement whilst . also realise heating ' working . , excellent concierge ask would like change room electric heater . choose heater - extremely effective . bed comfortable furnishing modern . although nearby Ibis Hotel offer ' seasonal buffet ' £ 7.95 head decide go eat hotel . voucher free glass wine leave bedroom extra inducement ! menu reasonably varied , complaint food presentation good . staff pleasant efficient £ 25 head three course good value . reception warn we 9 am - 10 am queue breakfast . although intend get early 8.45am arrive lie . short queue seat within 7 minute . Sunday mornng queue long still seat within 10 minute , leave queue quite long . moral story not leave late get ! . choice reasonable although quite good Hilton hotel ! fruit go cereal ( grapefruit etc ) would nice . bacon sausage good - tomatoe undercooked hotel get right . mushroom disappoint scrambled egg nothing write home , fry egg fine . say good breakfast real complaint - especialy service . also orange juice good - usual water hotel juice - pomegranate juice unusual option . it not 4 star luxury not pay 4 star luxury get really good value . an extra tip - stay intend go British Museum - not get underground . 20 minute walk hotel . 
 Feb 16 2009 	 Imagine disapointment 	 book hotel ' top secret hotel ' lastmin.com . blind booking suppose luxuary 4 star hotel centre london . think would treat rather stay travel lodge . lobby promise , room shocking ! ! absoutly disapointe hotel ever stay . room tiny tired shabby . bed uncomfertable , cover . not dare bath year grim round tap end bathroom fall apart imagine much dirt trap crack chip bit . switch air conditone noisy , find loud noise emmitte watter pipe ceiling / wall presume every time one nieghbour flushed toilet . loud enough wake we everytime ! £ 6 hour extra internet connection ! advise would dont BOOK HOTEL ! would 1000 x well travel lodge / ibis/ travell inn least standard keep not pretend something . also maintain thi hotel . 
