Great 	 sister , mother , sister - in - law end stay hotel book priceline.com naming price . book room priceline.com , single bed , would work we , call hotel ask upgrade room two double bed , trouble time . call two day leave make sure set reservationist say still fine two double bed upgrade fee . when arrive , wait almost hour check - in & quot ; glitch & quot ; priceline.com reservation . apparently reservationist suppose upgrade room 10 room two double bed entire hotel . manager , Chris , come straighten everything , although say go & quot ; take care & quot ; person tactful I . they two , small , elevator reach hallway , dark narrow . amazed bellhop fit baggage cart elevator ! end take stair multiple time wait long elevator . we please see hotel step Time Square make convenient get everything ! personally , think good thing hotel . we need ice time find almost amusing not one ice machine entire hotel ! call room service every time need ice ( complementary ) .there fridge room , store leftover employee fridge , inconvenient . check leave , leftover make back we . think put different spot . oh well , Little Italy husband back home . overall , experience hotel average . main reason would return location . , would recommend hotel long people know pay location basic amenity hotel . 
 Skip . 	 book room two people third party website . Room confirm appropriate two adult ... & quot ; king , queen , two double . & quot ; hotel give we room one double bed say want second bed could pay extra $ 200 . reservation third party site non refundable , definitely feel like bait switch . try get sort , hotel staff extremely unhelpful ( fact , could not even get ahold anyone - get transfer least 4 time becuase one would pick keep getting kick back main operator . ) frequent traveler NY guarantee far well hotel far bettter price , vicinity . skip one . 
 Oct 19 2009 	 Great Location 	 stay one night , hotel nice , great location . sort funky hipp hotel , lobby nice dark ! room kind small , bed amazing ! would deffinetly stay , question . 
 Oct 14 2009 	 worst good 	 want throw flag extremely small room . even NY , exceptionally small . decor nice , cleanliness average , location good want Times Square ... shock closet - sized room enough ruin . also , tiny elevator ever ! small slow ... make annoying go . 
 Oct 12 2009 	 Two Star Hotel Great Location : Priceline 	 spend weekend stay 47th Street ( 7th Avenue ) Midtown . simply can not beat location . leave hotel Broadway show 10 minute . say , room , reviewer say , minuscule . think cruise ship . be 18 inch floor space 3 side bed wall . nowhere elevate bag will not fit 12 inch closet ; floor , mean be step constantly . be fairly typical New York room . , towel cheap threadbare , drain shower could not keep pace shower ; keep turn shower avoid flooding bathroom . nightclub noise not bother we 4th floor , three additional gripe . first , hotel under - elevatored . two elevator ( think 8 floor ) , one hold maximum 4 people , two people , bag . low floor , forget try get elevator . every one open floor already full high floor . recommend ask high floor get ; otherwise will never get hotel . stair , bag , not want cart far stair , get room floor low enough use stair , nightclub noise bother you . my second gripe ice procedure . call restaurant will bring . try twice , around 11 pm return room . time , ice not arrive till hour later , point give go sleep ( awaken doorbell ) . lack ice machine also fairly standard NY hotel , bug . third -- bellman person doorman . mean want help bag , be try put bag storage get storage , wait come back hotel . yesterday try flag taxis several guest , wait 20 minute get bag storage . result , miss plane . bad cutting close , 20 minute long wait , need somebody unlock closet door collect stuff . my recommendation be consider hotel , location important ( would stay , reduce expectation provide could pay pay past weekend ) -- 1 . Priceline . pay $ 215 per night Friday Saturday Priceline . not know regular rate , $ 215 right price get . would not pay stay . 2 . ask high floor ever want catch elevator . 3 . store bag , allow lot time get back . 4 . want ice , buy liquor store go room . 
 Oct 11 2009 	 Disappointing sadly ....... room nightclub ? ! ? 	 hotel start quite well ...... location great ..... stone throw Times Square ..... mean normal throw pro baseballer throw ! check fine show room small expected not annoy . first two night fine go wrong ! Friday night start weekend return hotel blast club music lobby . turn turn bar restaurant nightclub crank volume max ..... great ...... want party ....... good jetlagge tourist want get sleep hotel room ..... bar ! ! ! ! ! ! ! oh yeah party goes thump til 4am . that main problem hotel ..... warn check place transform nothing do there . other niggle like housekeeping not replenish anything use like shower gel , toilet roll etc . also reason tv remote replace another one not work ..... odd ..... frankly annoying noone pick phone reception tell need something . kid ..... rang rang five minute ..... put straight ...... good service especially somewhere cheap ! 's little thing do right make want come back hotel . would happily go back stay sort little thing ....... rowdy weekend away lad ! 
 oct 9 2009 	 AWESOME HOTEL/ PERFECT LOCATION 	 stay hotel perfect experience . architecture design hotel one kind . would recommend come see stay even go room . aspen social club unique well turn cool hangout Friday Saturday night . room small ' ve stay many hotel New York city one well lay . bathroom gigantic comparison Manhattan hotel feature awesome two person shower . overall experience staff awesome well . ask good restaurant club good Saturday night always answer . definitely stay . awesome awesome awesome ! 
 Oct 8 2009 	 nice location - tiny room 	 hotel heart Times Square , actually 10 meter away ! hotel really trendy see owner spend lot . hand hotel staff quite unknowledgeable important - room sooooooooo tiny small . 
 oct 2 2009 	 not stay ! 	 day arrive , call ahead ask manager save 2 room close together friend . take name number say would call right back , never . room small thought joke . closet , hanger lamp . eventually & quot ; upgrade & quot ; , use term loosely . room right nightclub . five story feel like band room . keep check see window open loud . NY London Times , L'Occitane product advertise . towel threadbare look like something would see . elevator slow . the location good , staff try . price , would stay elsewhere . 
 Sep 29 2009 	 stay hotel vile . 	 please save $ 300+/ night stay Holiday Inn maybe even park bench . never receive poor customer service entire existence . enraged employee work Stay . imbecile need educate treat patron . still fume thinking lame excuse people spew . let fill first day stay ... step room think ' wow , bathroom home large ' . search bathroom see half size Smart Car ... speechless . move use restroom . flush flush flush urine will not flush away . call plumber front desk say someone right . leave day think time get back room ( 12 hour later ) toilet would already fix ... think wrong . call get guy scream mic club downstair blast music . tell someone come right wait game begin . wait , discover toilet work , shower either . try get hot water hot water would trickle pipe ... stop wait & amp ; realize never go get someone fix thing & amp ; jump cold water . by time , 230 take cold shower piss toilet would flush . get shower , someone finally come fix mess . tell need turn hot water knob sink , let run get hot , read magazine 30 min , & amp ; turn hot water knob shower let run way let faucet run ... get ? ? ? neither ! ! ! run : 1st , toilet break , force take cold shower ( stay hotel provide guest hot water ... yes , read correctly , HOT WATER ) , top , finally get bed find bedsheet riddle yellow stain unknown origin . there enough space page give review next 5 day stay stay . not stay . 
 Sep 17 2009 	 Great Location 	 stay stay hotel honeymoon day ago love ! amazing location ... ya room small expect ! one pay go new york sit hotel room day ... go crash wake go hard next day . want go pre dinner drink hotel resturant picture look really neat . drink SOOOOO expensive ! ! $ 14 per drink ! not cheap people common ! road 2 1 beer ! would rather spend money go thing sit drink $ 14 drink . besides good hotel perfect location need break pop back room little snooze right back action .... 
 Sep 16 2009 	 want stay long ... 	 love stay . great location , beautiful design , friendly + helpful staff , clean room , comfy bed fun bar downstair . do worry size hotel room , people complain standard New York . if concerned noise bar , ask room high level . one thing would recommend hotel would give boost would free internet . I would definetly recommend everyone know look hotel New York sure stay . 
 Sep 6 2009 	 Perfect Location - exactly want .... ! 	 hotel could not postione well ! ! perfect . come hotel , turn corner centre everything . the hotel modern good decor , although room slightly small everything need . let realistic , like we New York see sight day possible pop back head evening simply somewhere lay head head . look return New York would definatley stay . 
 Sep 5 2009 	 come ' stay ' 	 great hotel ! plus point - bed comfortable hotel bed ever sleep , flat screen tv offer lot choice ( beware kid 1 channel pornographic ! ) staff great , friendly willing assist whenever ask . close Time Square ( tourist ) .free internet access printer . lively popular bar . Minus Points -room small , put , unless lot clothe , live suitcase due tiny wardrobe . close Time Square ( tourist ) 
 Sep 5 2009 	 well locate overrate 	 + hotel well locate ( 47th street ) , 5 street away Times Square ( 42th street ) .+ lobby trendy.- room small ( double standard room ) .- must pay 50 $ fee want use fridge refresh bottle ! - reception staff uneven : member nice , other not make many efforts.- problem housekeeping : bottle room , open finish . housekeeping staff throw away bottle . ' ve many hotel world 's first time housekeeping staff take liberty throw away personnal stuff ! unacceptable . 
 Aug 31 2009 	 luxury feel budget price 	 love look stay Hotel , beautiful tank tropical fish lobby chic decor lighting . bathroom equal anything ' ve see luxury hotel , 9th floor , stay , noise problem all . the room size problem real , however . ( first read review , scoff , live Manhattan Hong Kong . room petite side even location . ) slim woman travel four - year - old , room size problem even we . Heaven know two full - size adult deal it . the real problem , believe , place put luggage . luggage rack , closet , end stumble entire trip , put nice clean bed - gross , consider bag probably fresh filthy environment airplane baggage hold luggage carousel . also chest drawer hide away underwear , etc . four - day stay , mean constantly drag suitcase bed search small thing . otherwise , enjoy stay stay , location Times Square Rockefeller Center can not beat . management might want pay bit attention service , however . ask mini - bar lock break towel rack fix , neither accomplish 4 day stay . try eat trendy restaurant downstair , give 25 minute waiting server . front - desk lady recommend & quot ; Maxie 's & quot ; Times Square , truly one bad restaurant ever experience . recommend get Times Square area want something decent eat . 
 Aug 28 2009 	 room bed small 	 book room rate go daughter - usually hotel twin room available well double bed big enough share without spoon case - luggage room could not move . always long wait lift . staff unable give we two key work room 5 try gave make one . thank goodness one night . leave porter watch struggle small door bag ... 
 Aug 24 2009 	 small ` ` stay '' 	 reception area check pleasant . told & quot ; room & quot ; third floor . tiny elevator take we walk thru narrow dark hallway . walk ( literally ) bed closet ! stand back press wall allow husband pass enter . speak actual closet , be not ! small garment rack hanger opposite wall . price pay ( $ 200 night ) totally unacceptable . call Hotwire immediately rebooke nearby hotel , reservation credit cancel Stay check fast check since large & quot ; closets & quot ; available . warn anyone claustrophobia ! poor value money .... 
 Aug 21 2009 	 ok advertise 	 stay stay . location perfect , right Times Square . plus side , bed queen room fine . tv channel selection perfect . reception friendly , although staff lightly . loud bar scene downstairs may appeal . negative : room small even NY standard . closet , hanger , bite much ! bathroom small shave without contortionist shower sink show wear tear . thing bot go since last visit certainly match advertising language : NY Times paper matter anymore , Occidentane amenity either . internet $ 9.95 day except lobby downstairs . right price , ok , ... 
 Aug 19 2009 	 stay good NYC hotel . would stay . 	 town business book room last minute ( late night . ) happy see issue online booking arrive , hostess friendly inviting . rate book good considering hotel area . bit shock size room , hear , common NYC . aware , ( NYC rookie ) hotel room typical sized hotel room . stay stay love one luck ( least case ) bed tiny , will snuggle . however , family , need ask big room ( ) 6 ' 2 & quot ; swear , leg 2 foot long , would press oppose wall , hah ! room trendy sexy . bose radio / clock nice flat screen tv nice well . bathroom small well equally sexy modern . bonus : toilet contour comfortable . Terry cloth robe nice touch . I stay hotel . want bring wife city . recommend stay hotel romantic night big city . 
 Aug 9 2009 	 Great locationvery small room . 	 book Stay Priceline . never hear not know expect . put want four star hotel . way four star hotel . bed comfortable clean extremly small . Hallways small dark . elevator small could get three people lugage ( one bag ) great location friendly staff . big complaint room size size bathroom ridiculously small . 
 Aug 8 2009 	 Great Location / Good Hotel 	 trip ny stay stay hotel . great location think good hotel . fridge coffee room , nice comfy bed flat screen tv . would advise stay high floor possible . stay fourth floor traffic noise loud . nice resturant friendly staff . enjoy . 
 Aug 5 2009 	 Perfect ! ! host rockin ' bachelorette weekend 	 stay hotel early year suggest girlfriend bachelorette weekend city summer . perfect disappoint ! ! ! good time - perfect location Times Square , awesome lounge - Aspen Social Club - DJ spin music , great ambiance lobby . problem room staff friendly accomodate . help we arrange dinner reservation , get show ticket spa appointment . absolute blast please . say surprised Stay 's hotel management respond review post . not personally see ? , kuddo take time read respond ! thank wonderful weekend girlfriend ! 
 Aug 3 2009 	 really enjoy - perfect NY 	 young couple Madrid , Spain . book hotel 'cause good lastminute offer . stay week really enjoy . right Times Square ( half block away ) , perfect place visit city foot close public transportation . room small , always NY , ok . ( think get upgrade room hotel full ) . read TripAdvisor review expressly ask silent room . eight floor , silent , dark , face brick wall . club lobby really noisy , though . elevator could music fourth fifth floor , late Friday Saturday . would take account booking ( certainly ) .as room , nothing remarkable . comfortable bed , bathroom shower , usual amenity , small closet . clothe fit , suitcase stand floor whole time , ok we . need more . we ever spend long time hotel . instance , never dine . never see gym pool ( fact know ) . use & quot ; business center & quot ; ( two computer small room lobby ) . convenient , manytime occupy teen browse facebook - nobody 's fault . anyway , business hotel . the staff ok . always , equally kind competent . generally night staff less . exception , Jazilyn . really great . what really like climatisation . hotel freeze cold , lobby , corridor room anytime come . could control room , could sit lobby business center , though always wear jacket , would freeze . contrast street temperature July much . really uncomfortable . get sore throat always keen leave hotel ( main reason never dine take drink ) . think unnecessary expense - ( course charge along room.- unbearable environmentally speak . pure waste money energy . some thing could perhaps improve . elevator slow . finally , still understand hide fee ( additional 40 % ) . know rule , calculate taxis fee include room price ? least inform exact amount ( merely & quot ; taxis service fee include & quot ; ) . something know beforehand . , certainly recommend hotel visit city would stay . fact friend mine staying month . course depend price get . 
 Aug 1 2009 	 Water Leak - stay far away stay ( Hotwire ) 	 [ -- ] Booked & quot ; 4 - Star & quot ; hotel -- & quot ; Stay & quot ; NYC Hotwire last Saturday night . room water drip ceiling night long . Manager could not move we different room full booking . assure we room would 50 % . hotwire refuse anything experience . stay far , far away book hotel room Hotwire . stay far , far away & quot ; Stay & quot ; [ -- ] . far & quot ; 4 - Star & quot ; experience laughable . 
 Jul 29 2009 	 Excellent Hotel experience 	 can not believe anyone could kind bad experience hotel . staff remarkable ! stay many hotel North America far pleasant experience ever . may little bump 5 day stay staff hotel accommodate friendly not matter may happen . know would take care we big smile ! ! whole staff seem really love job place ! room huge serve purpose fine . spend time room NYC sleep , anyway ? note , bed comfortable sleep come easy ! ! location hotel excellent , close many subway bus stop , right heart Times Square . pretty happen club right downstairs hotel well ! highly recommend hotel trip fabulously , great city . great JOB ! ! 
 Jul 23 2009 	 stay away min - ibar 	 ' ve hotel Stay July 5 7 wife baby daughter . nice stay . nevertheless , check overcharge $ 131 relation mini - bar . guy check we new tell we touch bottle system automatically charge . checkout take bill check credit card statement indeed charge mini - bar . ' ve try contact hotel several time solve problem seem unwilling deal problem . Dr . Sarfati 
 Jul 17 2009 	 could not better 	 Booked trip & quot ; Hotwire & quot ; never do . get confirmation email hotel ref room info . Tom quickly reply state able place we upper floor upgrade room . upon check - in nice accommodate front desk personnel meet we . arrive room everything Tom say . nice size , clean comfortable . Bathroom " ok " size , functional . hotel clean . great location easy ; would definitely sty next trip . thank entire staff great trip . 
 Jul 15 2009 	 great stay stay ! 	 stay excellent hotel stay ! 7th floor corner room , hear spacious . comfortable bed provide much needed sleep night . staff great even award we 2 complimentary drink free chocolate cover strawberry due 2nd anniversary . thank yous go Angie female associate help we check . unfortunately run time unable redeem gift , nice gesture none - the - less . hotel couple block heart Times Square convenient subway / restaurant / etc . 
 Jul 15 2009 	 okay Hotel Good Location 	 guess high hope hotel , even though 2.5 - 3 star rating . lobby fantastic , nice quality finish atmosphere . staff nice helpful , although seem little busy rush question . location great . know read review , room small , small . upgrade free large room ( think basic & quot ; Queen & quot ; bed ) , can not imagine small room look like . ' ve stay Rome , far small . small closet , dresser , wife put clothe bedside table , leave luggage , also put . want hit bathroom night , climb luggage . seriously . , nice quality finish though , although floor pretty uneven , particular low spot would loudly squeak every time walk it . the bathroom okay , pretty small ( surprise ) . absolutely place put toiletry . shower adequate , never problem hot water . while flat screen tv room , quality cable / satellite feed horrible . a / c work great , almost cold time . and yes , club ground floor . 5th floor , come night around midnight , could definitely hear music room . inclined think hotel put emphasis priority club guest room ( club look really nice way ) .Again , high hope hotel . wife young , urban , modern taste . not come away satisfied . 
 Jul 9 2009 	 wonderful trip - great stay ! 	 fun weekend Big Apple family two week ago . love stay Times Square . enjoy experience stay - fun , hip lobby cool Aspen Social Club connect front door . room run small side not mind come enjoy city sit room . staff friendly nice , especially Tom ( forget last name ) crack we helpful . problem would definitely stay . amenity room nice like bose speaker plasma TV . perfect location trip . notice staff hotel comment respond various tripadvisor . not see , kuddo ! 
 Jul 9 2009 	 good location limit hotel 	 Hotel right Times Square advertise , hip feel lobby . staff nice . beyond , room extremely small even New York standard , 10 foot 10 foot good . shower industrial least two electrical outlet not work . definitely 3 star hotel list , buy Hotwire 's list four star expectation bit high come ( hotwire consistently overrate hotel ' star level , base previous experience ) . overall decent place stay be 1 maybe 2 people look place crash night . 
 Jul 8 2009 	 not stay 	 stay one night ( book two ) . small room not issue .... condom wrapper floor , stain sheet , toilet not flush ....... 
 Jul 7 2009 	 never ! ! ! 	 go PriceLine ...... stay Hotel come give we room one double bed girlfriend , call hotel upgrade room two double bed . ( cost lot ! ) got - room nicely decorate , small . went return find right nightclub would open 4 am . sound like nightclub . UNBELIEVABLE noise ! ! ! NIGHTMARE ! ! night manager wonderful move us 2 separate room . double bed room small dorm room ' ve see . can not imagine try & quot ; survive & quot ; one room another person . I take photo room show husband small . LOL - hard take photo 'cause area small . will never use Priceline ........ would rather pay $ $ $ $ 's know ' m get . know could spend little beautiful room incredible view ....... ' ve do many time before . Kudos night manager highlight hotel ! ! ! 
 Jun 30 2009 	 great location okay hotel 	 stay stay 7 night visit New York . book hotel location . quiet let room ( stay hotel New York spacious ) . double room 3rd floor . great location do not benefit window look red brick wall ! room tiny , barely enough room walk around bed be not helpful consider mainly shop 2 suitcase . end use desk suitcase . as already mention several other , air conditioning loud would keep awake . also door bang shut loudly wake time night other would get . also minibar could use cool water might set sensor $ 50 restocking charge put credit card , bit annoying consider boiling . small wardobe space . bathroom basic , even sink stopper would handy washing clothe . nothing room relation service hotel ( room service menu , hotel detail ) hotel great location 30 second Times Square . quiet disappointed Wi - fi available free charge lobby anybody pay guest $ 9.95 24 hour room . not really understand guest pay ? hotel turn club Fridays Saturdays stay open 4 am . would not really bother buy drink though . $ 8 bottle Budweiser , $ 12 shot Jagermeister , $ 14 Mojito . could head pub close well value . the reception common area lovely staff . would probably recommend hotel friend would say get big room 
 Jun 27 2009 	 staff stay awesome ! 	 pleasant stay stay . arrive , take advice traveler request corner room . Angie arrange keep word . pleasant . Sammy , help we check , store luggage we help we get car . gracious tip give . chocolate give we second night great . room small , elevator , however , not wait long . , staff unbelievable . also request extra towel deliver promptly even receive follow - up call . , great stay stay ! 
 Jun 25 2009 	 Slightyl average Manhattan hotel room 	 far Manhattan Hotels go , size room average furnishing relatively new room wear ( yet ) . hotel pretty noisy . despite fact stay 9th floor , several guest blast music late nighwhich evoke memory college dorm day . old traveler may want stay away ! toilet room work could get work 2 - day stay . hotel reservation sytem time check Monday checkout Wednesday big hassle . great location great bargain . 
 Jun 23 2009 	 Great Hotel well worth money ! 	 go NY long weekend go extensive list hotel hotel either small , expensive review turn ! ! however , stumble across stay Hotel arrive disappoint . room may big heh NY outside inside . hotel brand new funky interior . bar great drink wicked cocktail potent ! staff really pleasant helpful . arrive water room warm call engineer us 5 minute fix problem . location also fantastic ... hotel literally 30 second Times Square will not either realise not hear traffic . in summary great hotel definately come back . travel partner perfect hotel . 
 Jun 12 2009 	 Top Class Location 	 stay easter wife . location excellent . walk times square without take breath ! ! hotel also quiet location . room small , fairness aware booking state exact size room square foot website ! room nice - bed extremely comfortable - nice plasma tv room . would stay ? -Yes would . highlight meet Jenifer Anniston outside front door filimg ' the Basting' . Staff helpful . hotel lobby classy ... side hotel- pay extra Breakfast ( Continental ) include . consist muffin , Orange Juice & amp ; Tea . even toast cereal fruit . worth pay extra . bar / club hotel charge fortune dring . one beer G & amp ; cost $ 20.overall - -staff nice.-complimentary internet nice touch.-room comfortable.-Location excellent.-Food & amp ; drink way overprice . -will back 
 Jun 8 2009 	 good hotel 	 hotel great step way times square thoguht location good . diner nearby useful shop nextdoor . regard noise ppI complain DIDNT HEAR . ask prior trip room forth floor place 6th floor . room tiny expect honest rom long enough bother . staff friendly , room clean , service good . 
 Jun 7 2009 	 Great Deal Great Location 	 stay & quot ; Stay & quot ; first time last week , NYC property Times Square . small hotel pretty modern lobby . room probably small hotel room ' ve ever stay , clean , comfortable quiet . staff friendly helpful -- even double checking make sure request iron take care . complaint hallway dimly light , dark wall dark carpet feel like walk tunnel make way narrow hallway room . something address -- perception well overall guest safety . as write title , great deal location -- heart Times Square theater district . one spend lot time room not necessarily care extra space luxury , good pick especially consider wonderful staff . 
 Jun 1 2009 	 bad experience ! 	 husband recently come back weekend getaway NYC stay stay . know hotel room NYC small pay extra book King size room . room small fine two we ! decor location hotel attract we hotel . however first night ( Friday night ) terribly disappointed ! airconditione room loud . loud would turn talk phone . also , bar downstairs turn night club . hotel room locate 2nd floor . music bass loud go 4AM . Saturday complain front desk air condition soo loud music night club loud . hotel tell we room sell unable move we . also tell we night club separate hotel . however , stairway lead directly restaurant / night club . stairways & quot ; guard & quot ; hotel staff , anyone walk right ... Saturday night last night stay . needless say noise level change . proceed get bad . hear several loud noise throughout night wake . Sunday morning leave room check notice outside door bust . appear someone try break room . fortunetly , use dead bolt ( lock inside room ) . check , two room complain room attempt break one room actually break jewerly steal . 
 may 27 2009 	 amazing 5 star 	 reading review first nervous reserving however regret choice . great area , will 20 step away Time Square . hotel service excellent , room remodel little small . thing hotel downer elevator , 2 fit 4 people max , tiny . one thing , keep key card away electronic , like phone camera 's since demagnetizes card . return hotel experience . awesome business center . 
 May 27 2009 	 Good Location Small Rooms 	 location hotel & amp ; people great , room really small . be stay hotel room , wrong place . be check manhattan , be great location . view not great either . hotel location , location , location . people & amp ; service great . stay friend . staff friendly & amp ; helpful . young atmosphere . Front Desk Associates help nightlife . a room view street mean go sleep sound car honking & amp ; wake car honking . corner room seem big ( switch room ) . corner room closet . wall bit thin . like say , location , location , location . 
 may 22 2009 	 intolerable deafeningly loud 	 stay 4 night pay considerable sum queen room give room second floor bar later discover turn private night club night . noise bar extreamly loud three night put time square expect generally finish 2 am ear plugs possible sleep however friday night deafen several hour actually make feel pysically sick base actually cause vinration roomi music beyond acceptable level tolerance hotel bedroom . private party Dj base may well room even ear plug could not deaden noiseat . complain vehemantly 1 am night porter move we room 9th floor . the problem room see low floor central ( escape might add ) stairwell open way floor fire door reach gorund floor enter directly bar . sound proof worth take floor slab circulation route nothing stop noise travel several floor . staff unfriendly except one door man service man . yes actually meet service man .. 3 time fact bring next problem , air conditioning make terrible persistant squeaking sound last several second stoppen come back randomly . warm Aircon night annoying . service man could not identify fix problem . also reception complain time twice do not pass message call . final problem toilet prone blocking though excessive use paper either might add . head first time one morning reception assure we would fix . come back late night leave . call recption service man arrive say never give message first time . helpful lovely say recption staff . summary want sleep stay expect reasonable level service value money do not even consider stay . 
 May 21 2009 	 club hotel 	 room locate second floor loud could feel bass bar / club downstairs . could identify almost every song playing . whatever not get room second floor . music pump 10PM 4AM . book solid could not move we . bad hotel experience ever . top room small girlfriend could not move time . closet could not fit clothe need hang nowhere put luggage . window air shaft give we minimal light . not ever stay room 207 , although whole second floor loud probably will not enjoyable . also wireless internet mention lobby , bot room . all would not recomend hotel anyone . 
 May 18 2009 	 nice little hotel perfect location 	 bit worried booking trip stay hotel reading review , anyway , not regret . first night , book queen rom . much place , solo traveller fine . clean cozy room ( noisy yes , jet - lag not much sleep get stay 3rd floor , ask high floor ! ) .The day boyfriend came join , $ 20 per night king room 8th floor ( noise ) , would say normal hotelroom size compare Europe standard . sleep really well , not eat breakfast hotel . expencieve worth ! $ 30 good omelette , orange juice black coffe ! thank ! drink bar every day , yes , expencieve , holiday , stay Times Sq . know would pricey , could not really care dollar . bar - staff really helpful suggest bar / club go . reseption staff excellent ! always helpful map , direction restaurant suggestion . first time visitor NY , can not beat location , room price . PS . last tip : go som sushi Omida , great ! cool interior , fantastisc staff sushi world ! Broadway 53 & amp ; 54 ( ' m wrong ) . 5 minute walk hotel . 
