COLORBLIND 	 Prior trip whether business pleasure go Trip Advisor view late review hotel stay trip . enjoy read review see other feel certain hotel frequently find recommendation restaurant locate near hotel . recently look review Darlington Hyde Park ( DHP ) London recent trip shock read negative review partner person color advise people color stay dhp.i person color discover DHP Trip Advisor web site stay DHP four five occasion past two year direct response find site even though travel agent make suggestion time familiar dhp.during visit always treat utmost respect courtesy . time feel slight inkling distain perceive negative treatment towar race . fact entire staff reception , dining , housekeep fantastic least . besides convenient location five minute walk Paddington Station two tube station , cleanliness entire hotel , bright attractively decorate room , quality breakfast outstanding attribute hotel staff care considerate manner . I fortunate consult business allow opportunity travel around world stay hotel every class . travel London either stopover point specifically holiday visit DHP hotel choice . in past recommend DHP colleague friend . visit last week highly recommend Darlington Hyde Park anyone . 
 great location great staff bit noisy room 	 stay 6 night Darlington Hotel . location perfect , easily hop bus tube travel London . travel mostly bus : 15 minute Notting Hill Oxford Street . perfect ! first stay room 10 . room quiet fresh , not much daylight . ask room street side hotel . staff helpful put we room 203 . room lot big , two nice seat relax day walk , bathroom much practical . disadvantage room bad ventilation ( night could hot room , even window curtain open 10 degree c outside ) noise outside ( window open fresh air ) wooden floor ( hear upper neighbor walk toilet ) .However , really enjoy stay : nice breakfast , spacy room , cleanliness really friendly staff . definately worth visit another time ! 
 Aug 17 2009 	 quiet clean convenient ! 	 hour research site , well other , choose Darlington four night stay London . please every aspect hotel . staff friendly helpful , breakfast suitable , room airy comfortable . hotel locate convenient area , five minute walk Paddington Station . able hop underground every sight London . also happy neighborhood , walk back hotel many time late night feel perfectly safe . additionally , several excellent restaurant area great pub well . even though street busy , noise never bother we , sleep soundly every night . definitely choose Darlington , would recommend hotel friend family . 
 Jul 30 2009 	 Best Loved Anymore 	 stay Darlington six year ago , enchant . certianly excellent location , staff friendly welcoming , room clean lovely . long want return travel London quite frequently . sadly not work ( place book , budget range travel companion ) . thrilled get room last leg late tour . stay lot budget / traveler hotel London well use closet size single room , prepare . young woman check lovely ( though rather rude gentleman check arrive - ignore check first ) , extent service . yes room small , okay . bathroom need work , like treat shower head remove scale . power wash shower . two problem approach desk completely dismiss unresolved . one issue internet access , meet notion try local internet cafe . second dryer communal laundry working - note indicate , find load wet clothe . answer & quot ; oh . must work . & quot ; offer help . nothing could do , apparantly , shift . Darlington recall . inconvenience mostly minor , irritate build one another . service match room rate . quite disappointing . 
 Jul 28 2009 	 quiet delightful 	 need place stay overnight US way Oxford . easy ride walk Paddington Station . room clean reasonably modern somewhat spacious british standard . staff friendly helpful . location good London sightseeing . would definitely stop . 
 Jul 18 2009 	 lovely bright clean well position 	 stay small daughter , collapse door long - haul flight pleasantly surprised . twin bedroom basement area , good bathroom , neat clean , great breakfast plenty variety offer breakfast room clean , tidy sunny . five minute walk Paddington station close shop restaurant . tiny thing would say not probably exciting place stay small child - highly recommend , would definitely go back . 
 Jul 11 2009 	 get well ! 	 nice find thing unchanged 2 year hiatus . anything , hotel even clean staff even friendly . stay week , please back room 100 . ceiling high , give feel spaciousness normal - sized double room . one problem 's hot , get stuffy , even fan . french door open inch doorstop . undoubtedly , reason safety . laundry machine , find useful , have travel couple week . good pub across street excellent indian restaurant around corner . 
 Jul 8 2009 	 good good good ! ! 	 stay four night late June early July 2009 . clean , quiet , reasonably price , good breakfast , good price , good location . also plenty restaurant nearby would go back ... ? yes ! ! slight downside ( one ) , lack small bar place . 's nice sit hotel bar late beer . 
 Jul 4 2009 	 ` ` fantastic location Paddington family '' 	 stay April 2009 , want family room close transport restaurant reasonable rate , 185.00 pound per night hotel tick box . arrive early , able check room expect . able freshen 24 hour flight , leave luggage head sight London . arrive back cosy hotel room ready . family room 2 separate bedroom , 1 queen bed room 2 single ( pull - out couch ) feel must teenager , bathroom separate 2 room . room lovely warm , maybe small want comfortable bed good night sleep exactly get , spend limited time room enjoy many sight London offer . breakfast enough either continental fully cook English breakfast , beautifully present helpful staff serve first thing morning . loved small quaint feel hotel rather large hotel chain hotel . close Paddington tube close think many London attraction easily walk distance , would highly recommend hotel . 
 Jun 22 2009 	 Perfect Stay 	 thoroughly enjoy stay . fact , front desk upgrade room upon arrival extra cost double suite . everything clean well maintain . breakfast room invite good continental full english breakfast . staff friendly helpful . gripe hot water tub lukewarm . hotel pleasant neigborhood within short walk Paddington Station . 
 Jun 12 2009 	 wonderful surprise comfort cleanliness decor . 	 return Northern Ireland plan one night layover London . we book Darlington respect reasonable rate proximity Paddington station . we visit London many time hotel rate among good include many other book . room bath spotlessand restaurant excellent . desk clerk manager friendly helpful . we really say enough good thing hotel . Ralph Elaine Latimer Denver , CO helpful 
 May 28 2009 	 extremely well run hotel near Paddington Station 	 great room . excellent Breakfast include . 5 minute Tube Heathrow Express . 
 May 21 2009 	 relief ! 	 spend week Devon , decide meet son London . ( be study abroad Sweden ) look look hotel decent rating reasonably price . hard find apparently ! last minute find hotel , rating Trip Advisor look good . stay London one night , great room , good location , block Paddington Train station . twin room plenty space , clean , nice bathroom bathtub ! also lift . Breakfast include . nice space , light airy . also , find DOT2DOT . contact pick hotel take back Heathrow drop terminal £ 19 ! ( express train Heathrow £ 16 take much walking ) would highly recommend Darlington Hyde Park dot2dot . also eat Wagamama Globe Theatre . enough clot cream ( yum ) need clean food , lol ! great stuff ! 
 may 15 2009 	 Wonderful Place Stay 	 stay 6 night , thoroughly enjoy stay . the room adequately spacious , clean welcoming . enjoy front room overlook tree line street , find quiet street noise . double bed , ( small ) tv , tea making , safe ( see previous review well worth free large enough laptop etc ) .We could see early review bit critical breakfast - find staff exceedingly pleasant helpful , selection food huge , adequate - could full english breakfast , egg , wish buffet bread , jam , fruit , yogurt , cheddar cheese , cereal . light airy room . we problem wi - fi , may help know seem different wi - fi connection floor floor , need ask reception print list password . get list 7 password , find different part hotel well access one connection . laptop consistently show 48 mbs & quot ; excellent & quot ; & quot ; good & quot ; signal strength . an absolute find restaurant call & quot ; ASK & quot ; block away , Spring Street . italian food die , superb cuisine ! well inexpensive . keep go back charge small fortune local steakhouse food simply ok . hotel 3 min walk away Paddington ( train & amp ; metro station ) mean take Heathrow Express ( 15 min get ) walk hotel - pleasantly surprised painless ! central location , everyday launch see various London attraction , 10 15 min tube . also red doubledecker tour excellent worth day 's outing ! Hyde Park Marble Arch 10 minute walk away here . would definitely stay - thoroughly enjoy stay ! 
 May 3 2009 	 good stay 	 hotel clean , tidy staff friendly . room comfortable bad size London . bathroom fine , nice shower . 5mins walk paddington station , be lot restaurant pub area . breakfast fine , choice usual english breakfast stuff cereal , yoghurt juice etc . complaint curtain need tiny bit big cover window completely , manage sort . also old building could people walk around room , not really bother . back London night next month use hotel . 
 Apr 18 2009 	 spotless good value ! 	 check online internet special well keep extremely convenient hotel . breakfast room everything staff pleasant helpful . hotel wi - fi internet always work never room . like cleanliness security . good value . 
 Mar 31 2009 	 friendly professional . 	 almost everything excellent . especially everyone work hotel . only remarks:1 . bed executive room , could 10 cm wide . ( London . narrow bed . ) 2 . blanket 20 cm wider.3 . warm breakfast room . 
 Feb 26 2009 	 decent hotel decent area 	 stay 4 night October 2008 problem . friendly staff excellent breakfast cook order . set quiet tree line street close Paddington station Hyde park . secure need room key open outside door . room big enough clean enough anybody . visit London frequently show , theatre , e.t.c , definitely back . 's pity not small bar hotel . 
 Feb 19 2009 	 safe clean comfortable 	 daughter stay night really enjoy location , cleanliness , security hotel . arrive dark , usually spooky time get aquainte new surrounding , room make we feel home immediately . room surprisingly big , , never feel trip . desk staff nice responsive throughout stay . the major negative encounter breakfast not great . seriously limited selection roll cereal , egg -- matter cook -- taste bad . kitchen wait staff terribly friendly , perhaps negative review food . about creaky floor -- -our room 3rd floor , yes , hear creak we hallway outside door . not bother we learn tune . room face back hotel , awesome quiet . oh ! one small thing note -- -our bathroom steam stay dripping wet one quick shower . window open room . shower curtain short , well , water invariably collect bathroom floor run toward door . but , , would go back hotel location cleanliness . free wifi ! ! 
 Feb 15 2009 	 Disappointed .... 	 disappoint place give rave review ... unless unlucky . however may bit harsh review stay Hilton Paddington night ( far far far superior much pricier pay full price ) location reasonable . 5 minute walk Paddington station complaint . check - in painless . now room ... average london .. .i.e . small . noise level .. fully agree reviewer ... definitely hear neighbour loud clear ! ! ! well footstep upstairs ! ! bed definitely small double quote . reasonably comfortable although ' m quite unfussy bed long not creak . clean room . bathroom ... hmmm .. tiny ... although shower pretty powerful fine . breakfast next day serve 7 am weekday .. interesting think lot business guest would want eat early . anyway quality bad ... nice english fry without oily . plus ... cook order ... complaint . checkout fine hotel nice enough keep hold luggage . overall ... expectation place high give good review ... plus .. stay good hotel , perhaps bit harsh . nevertheless would not stay £ 95 per night .. feel 's expensive . ( London 's rip - off day ... sigh .. ) . 
 Feb 8 2009 	 enjoyable Christmas 	 family travel London Christmas first family vacation three year . please overall hotel . room clean breakfast service hotel always good . experience one night people loudly walk street outside hotel . laundry machine dryer use without problem . two underground station within minute walk distance Darlington . carry laptop computer comment Wi - Fi system . the staff general manager Darlington wonderful ensure enjoyable experience . arrive Darlington around 23:30 luggage , due miss communication travel agent , hotel record reservation . night staff make sure room night manager next day get situation resolve . Darlington open Christmas manager spend couple hour telephone / internet make sure quality hotel ( Hilton ) available remainder visit , reasonable rate , Hilton provide breakfast we cost . Darlington fault reservation difficulty . 
 Jan 20 2009 	 excellent location quiet 	 stay capital past month experience pretty poor standard , stay surprising hotel excellent . first trip use Trip Advisor guidance , abit unsure go find . the location ideal business sightseeing . course Regents Park literally 15 minute walk . single room small , perfectly design need . unlike London hotel would recently , clean , fairly todate decor , justify star rating . all staff encounter first class , friendly extremely helpful . breakfast not good ' ve ever presentable , accompany great service . I ' m another course couple week hesitation booking again . overall , excellent stay go way restore faith London accomodation 
 Jan 11 2009 	 Fine hotel 	 hotel locate area chock full hotel . 's bit walk Paddington station bad . staff nice accommodating , room large . bathroom especially quite large nice big tub . breakfast pretty good . on downside , suspect could get lot loud scream drunk outside window book bad night ( wake definitely night ) . internet access also quite spotty . 
 Jan 11 2009 	 breakfast staff 5 star quality heating noisy/ mattress hard 	 good location 5 min walk Paddington station , excellent security , courteous staff , good sized room , mattress hard , noisy 6 heating system , dryer not dry completely , creaky floor hallway , clean , internet access 20 % reliable . would stay , quieter room soft mattress . breakfast staff excellent deserve special mention . L.M . Sydney 
 Dec 19 2008 	 bring earplug 	 every year visit London always difficult find decent hotel centre not charge leat 200 Pounds night . stay Paddington area hotel nothing dump . Darlington Hyde Park little well . size room big London city hotel bathroom complete . english breakfast include room rate 100 Pounds night ( twin ) excellent . staff mainly Central Eastern Europe knowledge English language rank basic good . difficulty try explain reception housekeeping forgot leave toiletpaper bathroom , ten minute manage get . breakfast staff pleasant offer level service rarely see day . main problem noise . thin wall creaky floor common victorian house Paddington make lose sleep night . whenever someone room go bathroom night , get rude awakening . literally hear every step neighbour take unfortunately mine like get 6 . little investment new floor isolation would helpful . , choose hotel stay , bring earplug make sure get room back hotel top floor , certainly light sleeper need rest . 
 Dec 12 2008 	 Creaky Floors Process problem 	 book two night hotel proximity Paddington Station excellent review TripAdvisor . hotel pretty update inside . room large suite living room bedroom , nice bathroom . whole , living quarter average well worth money London . problem relate process : check - in staff speak english well , room ready go eat 2 hour return & quot ; check & quot ; luggage still next front desk see , floor creak horribly people upstairs walk , light sleeper sleep people active upstairs . feel sorry people we listend sound people we . also , breakfast quality good , enough table seat guest time allot , breafast server staff confuse morning , forget order bring thing people . 
 Dec 12 2008 	 well worth 	 husband return stay Darlington couple night . choose location , glow review ta.what fantastic hotel , certainly live expectation . staff could not helpful , friendly . bedroom really good size , everything spotlessly clean . breakfast cook order serve pleasant conservatory / breakfast room , delicious . next time go London would not hesitate return hotel . 
 Dec 4 2008 	 disappoint 	 reading guest review , sure choose right hotel London . regret .... room ok , even standard could 4 star hotel - room . trouble start night - time , - room turn busy Sussex Gardens , window isolation . impossible sleep window open , & quot ; fresh & quot ; air .... hospital neighborhood , hear also ambulance day . some guest Tripadvisor mention creak - problem floor , - really problem , get awake night time creaksound room . well , get room , away Sussex Gardens , new room turn backward , ok . get new problem , - floor room creak terrible ! ! fun walk floor . last night get awake 6.42 , call man reception . tell we , lady room one floor , comply sleep , problem creak floor room .... receptionist order we walk floor night time ..... considerate guest ! well , walk floor couple time night , go bathroom , - . receptionist rude . breakfast ask manager hotel , office . tell unpleasant call , - tell we policy , - get complaint guest creak guestroom - floor , - call & quot ; possible & quot ; sinner , tell compliaint guest .. point ? ? problem creak hotel responsibility , guest get order walk floor nighttime ? ? horrible ! manager show understand call get reception early morning , nice . stay London , nice getaway , - end sad . recommend hotel guest , go bathroom nighttime ! ! bonus hotel brakfast good staff breakfast - room nice 
 Dec 1 2008 	 Loved Darlington Hyde 	 stay third time still like . hotel situate app . 10 min . walk Paddington station . 's nice neighbourhood . hotel room clean . staff friendly en helpfull . breakfast good . great variety ; fruit , full english breakfast , juice , cereal etc etc 
 Nov 9 2008 	 Perfect Stay 	 book last minute room leave bed breakfast happy . lucky get rock bottom price 95 pound include breakfast one large room . 4th time stay 7 year though room size vary staff always pleasant , room spotless course location great . room little extra make stay comfortable like safe , toiletry , iron , tea coffee make facility , fridge cable tv . would definately stay . 
 Nov 3 2008 	 great little hotel ! 	 two friend stay Darlington recently . come across hotel searching hotel site . read lot review previous guest book reservation . room three twin bed large enough three man fit comfortably without feel cramp . hotel great location , approximately 5 minute walk distance Paddington Station could hop tube within 10 minute . english breakfast great morning . staff friendly helpful direction transportation arrangement . note stay due location room , could hear lobby traffic front door close various time night . would prevent we booking room . would definitely recommend Darlington anyone . 
 Nov 1 2008 	 great position service food 	 Tripadvisor revue help we select good , position , service price . hotel location within easy walk distance Paddington station many cafe restaurant area . ground floor room Sussex Gardens concerned traffic noise would problem ... ! room size little small good fitting finish . staff shift extremely helpful suggested would got cheap price booking direct . fully cook breakfast include price GBP98 per night . use hotel whenever London Paddington . 
 Oct 22 2008 	 great hotel 	 four night Darlington September 2008 give unqualified recommendation . it ideally situate arrive depart Heathrow express Paddington , short walk Paddington Lancaster gate tube station . the housekeeping high standard , breakfast , ( cook continental ) serve delightful conservatory really set day . staff go extra mile helpful . there lot fast food outlet restaurant nearby Edgware Road 8 minute walk away . if want quiet hotel clean , safe , offer excellent breakfast , reasonable rate , happy Darlington . 
 Oct 19 2008 	 love time London Darlington Hotel 	 stay Darlington 9 - 09 - 9 - 11.our stay Darlington nice . room , 208 , much large think well bathroom . bed comfortable room quiet . breakfast nice waitress nice . front deck clerk helpful professional . secure safe place stay . would recommend Darlington anyone . ever come back London , Darlington hotel stay . 
 Oct 15 2008 	 Terrific Hotel Great Location 	 stay London weekend find Darlington Hyde Tripadvisor Website . catch Heathrow Express Paddington walk 3 block hotel , easy even travel 24 hour . the staff pleasant hotel secure clean . room upper level room small clean quiet . breakfast include price stay terrific . could walk Marble Arch onto Oxford Street around 15 minute hotel central easy access train etc . many restaurant locate close hotel offer variety choice meal . all pleasant experience , would stay again . Brisbane , Australia 
 Oct 13 2008 	 good stay Darlington Hyde Park 	 husband stay Darlington Hyde Park one night October 9 . want hotel close Paddington Station could take Heathrow Express airport trip home October 10.we arrive Paddington Station Bath , England around 1 pm . easy 10 minute walk luggage Darlington Hyde Park . collection townhouse surround townhouse also appear little hotel . we buzz find unremarkable reception area . check easy clerk check say room ready . take little elevator second floor ( first floor british parlance ) , walk couple stair find room – 103.i prepared husband fact room might pass budget hotel England likely small . surprised room . spacious comfortable double bed , safe , small refrigerator , flat screen tv window like french door open partway . small balcony sign say , less , balcony decorative . little electric kettle selection drink make ; think omit tea bag mistake matter . bathroom sort window clean spacious . furniture bit utilitarian adequate . sheer curtain window heavy curtain could use darken room night privacy . please note put key card slot door turn light , etc . open window air since pleasant outside – know key card slot also control temperature . room 103 face street could hear street noise day thing really seem quiet 10 pm trouble sleep . walk Kensington Gardens minute location also nice . breakfast include rate serve breakfast room basement ( Americans ) . room nice skylight give we natural light . breakfast good – pastry cereal , juice , yogurt offer English cook breakfast – egg , sausage , grill tomato toast . bring we big pot tea . I notice washing machine dryer available guest basement . check easy check charge agree upon rate 95 GBP night . case call hotel ( even United States ) save we great deal money since rate website , believe , 145 GBP book hotel several month ago . I feel Darlington Hyde Park represent good value money would hesitate stay . deserve high ranking Trip Advisor .. 
 Oct 4 2008 	 Loved Darlington 	 stay Darlington , Hyde Park 7 day sept/08 . can not say enough place . know bit per nite absolutely worth . staff excellent , helpful , friendly . accomodating . room clean bathroom big . close mode travel ... Paddington Stn 3 block away good neighbourhood .. not worie walk around late nite . lot good restaurant pub area . leave St. Pancras stn go Paris early more 23rd one staff brough us cold breakfast tray morning evening 22nd . really thoughful first trip England bit nervous go stay . actually Darlington spoil 3 hotel stay 2 week stay . nothing else compare . staff Darlington big Thank ! ! ! ! ! ! ! 
 Oct 2 2008 	 Sleepless night Darlington Hyde Park 	 stay Darlington Park Hotel one night way Heathrow . ideal location get around London generally . there numerous hotel along street one stand other 's smart appearance . room clean comfortable breakfast include price , quite adequate . staff generally friendly helpful . however , main problem creak floorboard room , occupant walk around room , past midnight 6.30 a.m . creak intrusive room impossible sleep go . slightly less problem noise road outside , much traffic constant background noise , noise smoker congregate outside front door talk laugh loudly interval night . window double glaze . less important point we , problem wi - fi access room go reception use . 
 Oct 2 2008 	 great location 	 spend two night prior cruise . hotel great location . easily walk 1 1/2 block Paddington station take train airport . Hyde Kensington park couple block away . several pub nearby . room little small american standard , clean bed comfortable . staff friendly morning breakfast good . would definitely stay . 
 Oct 2 2008 	 Nice Little Hotel 	 hotel rate 24th many London . say nice clean little hotel helpful staff people , really nice breakfast decent accommodation . request room back hotel nice quiet . be important really realize hotel . one row 10 hotel create old row house . Darlington nice appear . location & quot ; fringey & quot ; . near Paddington Station area high class , not feel unsafe . food store , cafe , restaurant locate nearby blue collar area shut 11 so . the direction find 2 short block Manchester Gate Kensignton Gardens . lovely location perspective . underground station Lancaster Gate 3 4 easy block away . the hotel midst action , Underground make location somewhat moot . everything Darlington spotless attention detail . agree matresse could upgrade bit , minor comment . 
 Sep 29 2008 	 Charming hotel excellent value money . 	 lovely hotel Paddington , close transport within walk distance Hyde Park many shop restaurant . jewel amongst hotel much low classification . manager approachable utmost ensure satisfaction . initial introduction Darlington check far satisfactory ; staff member question could customer service training . however negate friendly , approachable staff . room little small , fairly normal London , upgrade two - room mini suite locate ground floor last 4 day 11 day stay . stay length time Darlington , room book . breakfast conservatory light cheery food plentiful breakfast staff delightful . overall happy stay would recommend seek good value money . 
 Sep 22 2008 	 nice stay 	 stay hotel five day September boyfriend . room third floor , turn perfect size two people ( may even consider big London standard ; bear mind hotel jump person order able get bed side , ' ve see picture ) . bathroom small , perfectly functional not give feeling cramed . ' ve hotel big bathroom almost could not use toilet without bumping sink . when come clean , give 5/5 . come back evening find bed make bathroom incredibly clean . trace water soap sink , toilet , bath . staff also friendly helpful , not hesitate ask help . whether need plug adapter , be wonder could eat , would like keep luggage plane leave late afternoon night . breakfast okay . little buffet ( much choose , find basic : cereal , fruit , bread , juice pastry ) order English Breakfast ( egg , sausage , mushroom , bacon tomato ) . also order toast , give three four half slice per person . case , bit problem , like eat toast breakfast not like english breakfast , always end want toast . however , never dare ask , contete rest buffet . location great . street lovely , full hotel side , really close Paddington Train Station Underground . would specially recommend fly Heathrow airport , be close well communicate sight London . the downside follow : bathroom door creacke floorboard . bathroom door not close properly ( look like door 's wood expand much ) although inside not get feel door open . come floorborad , cover carpet , move inside room could hear creacke . big deal , could also hear one , annoying be try sleep ( even annoying wake ) . overall , enjoyable stay . sure check website get good deal , consider book advance . pay total 500 pound approx . five night ( include breakfast ) expensive take account hotel London ( hotel 's facility : safe , 24 hour entry , central location , etc . ) 
