Nov 	 top stay 	 great hotel , good location , highly recommend stay shanghai ( not forget check lounge 18 bund ) 
 Jun 15 2009 	 Impeccable Service 	 stay two night JIA truly enjoy stay . hotel beautiful design nice spacious room . particular service impeccable . staff friendly make relax experience sparkle water softdrink offer without charge throughout day . evening JIA offer wine , olive almond , often relaxed lounge glass wine head dinner . also stay two night URBN , much enjoy stay hotel . return Shanghai would probably spend night URBN due primarily enchant courtyard URBN . service JIA , however , well whereas URBN add many extra expense final bill everything include daily rate JIA . 
 May 31 2009 	 stunning ! 	 great option stay Shanghai well locate , excellent value stunning stylish environment . rather like stay one designer apartment hotel . room spacious comfortable , ' kitchenette ' area , fabulous bathroom free WiFi . good sound - proofing , superior bed linen , ( although rather less great toweling ) lovely toiletry . turn service free soft refreshment throughout day good free wine available 6 pm – 8 pm ( although receive advertised Veuve Cliquot arrival ! ) , two week travel China , free in - house laundry facility great benefit ( even washing powder provide ) . restaurant , Issimo , enjoyable lunch also good breakfast . restaurant staff particular friendly food high standard . would certainly stay highly recommend . 
 May 27 2009 	 really nice boutique hotel ... 	 hotel modern clean well decorate modern comfortable style . room big king size bed lovely . bathroom modern separate walk shower bath nice quality toiletry . tea pot kettle room make green/ jasmine tea like . I room service first arrive jet lag efficiently deal , arrive say would nice . breakfast good . although service egg slow leave get meeting arrive ( hardly end world ! ) .there small functional fitness centre use day . free unlimited water available drinking cleaning tooth ( make jasmine tea ) lobby night free wine put guest nice touch . there also free broadband room come handy . staff friendly , helpful efficient check time problem . I not enjoy business trip much really enjoy stay , luxurious spacious enough creature comfort feel homely - sleep well usual result . will stay ' m Shanghai later year . 
 May 21 2009 	 winner 	 great hotel - really good bedroom , useful foyer guest , good restaurant , great brekky , could go . service beyong reproach , central location , could hard find , bed doona ( duvet ) offer blanket mean hot often warm climate . Shanghai , clean , safe interesting city prepping dor EXPO 2010 
 Apr 14 2009 	 Exceptionnal design ... service ... 	 disappointement especially see Jia beautiful , maybe incredible design ' ve see city hotel . every detail lobby , restaurant spacious room suite simply crazily trendy superb . could even say Jia nice city hotel world problem : service ... first , arrive hotel pay around 200 Eur per night , least , expect bit help leave taxi lot baggage , expect smile , staff happy welcome good adress Shanghai not case disappointed . moreover , forget welcome drink detail offer reservation procedure . fortunately , ' ve inform manager take problem hand evening , staff already nice almost problem solve still , turn service . however , apologize , GM offer one night free two night stay 's nice gesture wish find five star service will choose Jia cause will choose design hotel . however , still highly recommand Jia perfect location middle Nanjing rd , heart city ; yummy italian restaurant will eat delicious food trendy cool atmosphere ; comfy large room finally design , unique , everywhere hotel .... ' m sure Jia deserve three point stage , can not give due service ... 
 Mar 23 2009 	 almost perfect stay ! do lesson ! 	 though quite happy stay Jia last year , still decide stay Jia 10 day Shanghai visit , mostly perfect location . say , really impressed ! small irritating thing nitice last time go ! service much well , almost perfect . room lobby stylish nice , use . reception staff efficient helpful , breakfast serve upstairs restaurant much much well . still serve caffee , tee soft drink lobby throughout day , still happy hour wine , gerat unique ! try italian restaurant , pretty good . place seem , since restaurant pretty full . bar also nice , could arrange couple table . whole , feel really home Jia would hesitate stay next time . 
 Jan 3 2009 	 without question hotel impressive 	 originally pick new URBN hotel JIA due hype URBN receive time - however another two night break fill decide move JIA change scenery . think move JIA good decision make six week break . hotel oasis Shanghai appreciate quality discern true style need stay . lobby calm cool - complimentary afternoon tea evening drink bar exceptional - particularly Shanghai even coffee expensive western standard . restaurant offer great value western style ( italian mostly ) cuisine - set meal AUS $ 25 . currently live Philippe Starck design apartment build familiar style - appreciate appreciate deisgner finish place stay - LCD tvs , marble kitchenette , floor ceiling gold Bisazza mosaic bathroom , Philippe Starck design porcelain product , polished wood floor , thick wool rug - exceptional quality end end . really money spend build hotel worth every dollar pay stay . hotel manager visible time often see chat guest give guidance anyone unfamiliar Shanghai . avoid rest stay . 
 Dec 14 2008 	 Boutique Chique Shanghai - Loved ! 	 change stay lovely small , unique , ubercool , hip biz hotel . Bang centre Nanjing Road , quaint decor , outstanding crisp linene bed , amazing shower . nice continental breakfast , albeit bit strange sit bar cereal ! loved small touch , helpful friendly staff , know u want ask , resturant , park , shop etc . funky gym , could lap pool . side room view ! 
 Nov 29 2008 	 great hotel - place stay Shanghai 	 fall love Jia hotel Hong Kong stay year ago , & amp ; excited hear parent company plan open Jia Shanghai . never doubt would try Jia Shanghai soon chance . we not disappoint . Jia uber - stylish incredibly chic hotel right heart Shanghai . the good * 's stylish hurt . everything place scream cool . check photo site hotel site . be great ! * room big comfortable . sleep soundly thank black curtain & amp ; comfortable bed . quality linen good , bed hard soft & amp ; pillows downy & amp ; soft . * air conditioning efficient & amp ; quiet * bathroom big & amp ; beautiful . Bisazza tile fabulous . excellent quality toiletry . * every room kitchenette well comfortable sit area ( Jia mean home , room design home away home ) . * free internet room . * well equip gym . * complimentary glass Veuve Cliquot cocktail check - in . * complimentary refreshment day - soft drink & amp ; water day , wine evening , coffee & amp ; cake afternoon . * fantastic location right Nanjing Road . * great italian restaurant in - house . * good service staff front desk . the bad * [ Temporary Problem ] construction next door noisy end wrong room . * toiletry replace 4 day stay & amp ; ask new shower gel . * breakfast average . continental breakfast include room rate & amp ; selection slim . extensive menu breakfast item available . * breakfast serve bar area & amp ; crowded ... stay numerous hotel Shanghai , far & amp ; away favourite . maybe ideal love business hotel extensive buffet breakfast & amp ; complete business facility , want stylish hotel heart Shanghai , can not well Jia ! 
 Nov 12 2008 	 not want leave 	 Stayed Jia Shanghai 5 night , absolutely love it . it great boutique hotel , right touch . beautiful room , wonderful decor ( love Tom Dixon light ) great service . bed super comfortable bathroom pretty special . gorgeous bisazza tile lovely bathroom product . loved little touch like cake afternoon , complimentary wine champer evenng bar . city dodgy australian white cost $ 100 , fact could lovely prosecco evening go fantastic . great location West Nanjing Rd . plus right next Wujiang food street , famous Yang 's Fry Dumplings - good dumpling Shanghai fabulous ' local ' experience . french Concession area also within walk distance . I can not rave enough place . would stay next trip Shanghai . 
 Sep 25 2008 	 Great Boutique hotel 	 recently stay JIA Shanghai impress . previously stay JW Marriott Ritz Carlton hotel compare vary favourably . the room great size comfortable bed like fact stereo set could play ipod it . the service good whilst not eat restaurant drink bar , Tuesday night pretty lively fun . my complaint relate room service , precise , lack . able order food outside charge room not convenient . I would certainly stay would happily recommend . 
 Sep 17 2008 	 LOVED ! 	 stay four night , thoroughly enjoy . location convenient West Nanjing underground station ( literally one minute away ) useful get around . location also quiet good . we standard room spacious . love entertainment system large LG tv ! ! ! also enjoy small thing like fresh apple lolly well . complimentary breakfast nice , fresh croissant choice cereal among selection . also like free drink , afternoon tea session . complimentary glass wine / champer also nice touch . the front desk always helpful friendly , speak good English . there probably cheap hotel around , quality service Jia superb . note - would recommend go street JIA cheap food street , fantastic street food eat cheap price - dumpling aplenty ! ! ! ! 
 Sep 7 2008 	 Nice really price 	 first time decide say goodbye Ritz Carlton , Four Seasons etc ... Shanghai try famous Jia Hotel . it nice really priced.a room room ! pay , 's service go receive . JIA give service expect price . I return 
 Jun 21 2008 	 110 % Perfect 	 never write review , feel compel spend 4 incrediblenight would consider one world 's fine boutique hotel . jiareally feel like opulent home rather hotel . I contact hotel directly get much cheap rate suite thanbooking hotel website . mention husband 's birthday thenon arrival upgrade Penthouse suite describe asbreathtake bathroom huge luxurious . penthouse wait forus , bottel French Champagne fruit platter . long flight , thebed feel like cloud . prior arrival organise concierge book restaurant andtransfer . do without problem . the Penthouse , breakfast area bar ( love complimentary afternoon tea andevene drink ) immaculate every staff member come across veryfriendly willing go way make stay memorable aspossible . english reasonable too- well expect . would not even consider stay elsewhere next time be Shanghai . even theposition perfect . 
 may 27 2008 	 Style substance 	 stay Jia may 08 weekend .... stay top hotel around world ( Mandarin , Ritz , Aman Resorts , etc ) , find experience price average . problem Jia .1 ) basic amenity - whole point stay small exclusive boutique hotel ( oppose Ritz Carltons / Marriott 's world ) , expect personalised experience boutique hotel know . - well ... starter ... wake late miss normal lunch hour ( i.e. , 2.30pm ) ... need meal ... either need walk main street find one ... use & quot ; unique home delivery service & quot ; cater outside restaurant reach hour+ . ... ... reception tell .. eat instaht noodle provide pantry .. make ... charge hotel price .... ok ... 's personal touch ? - hotel 's price high side ... think acceptable . understand might able run full service kitchen day .. give boutique hotel 's sell personalise experience , offer maybe small menu peak hotel ... do really really well . - can not even get room service coffee . - ...... restaurant hotel close Sundays .... er ... day close restaurant .. would anyone pick Sundays .... ? ? ? end , take taxi Portman Ritz block away get meal . other ... decor bad ... staff ok . 
 may 23 2008 	 Incredible Oasis 	 Jia incredible treat would highly recommend look quiet & quot ; boutique & quot ; experience instead large 5 star hotel . the design contemporary , warm stylish . I feel extremely & quot ; comfortable & quot ; & quot ; relaxed & quot ; rare deal hussle bussle Shanghai . my complaint morning breakfast buffet little lacking come 's & quot ; protein & quot ; content . 
 Mar 19 2008 	 one good hotel world 	 pleasure stay Jia Shanghai 5 day early March . tail end hectic business trip plan 5 day first stay stunning city Shanghai . several friend live Shanghai recommend number high end hotel french concession - although look nice touring area , definitely say choice stay Jia definitely correct one . I think booked car pick review forget confirm . call hotel , offer give cab driver direction - without problem . arrival ( around 11 pm ) rapidly check wiske room . room , standard studio , spacious incredibly stylish . clearly think everything - although simply furnish everything incredibly comfortable functional . king bed one comfortable sleep hotel fluffy pillow . toiletry amaze well ( ginger - jasmine send beautiful esp flawless rainshower ) .There simple kitchen come handy . free wifi unique . lobby beautifully decorate beautiful bar / breakfast room . although breakfast simple ( think people expect continental breakfast lot ) - plenty fresh fruit , bread pasterie ( excellent asian standard ) , great coffee . non - alcoholic drink coffee available throughtout day free - another major plus ( soda pelligrino free - nice touch ) . defnitely gear western crowd . the location prime - practically top Nanjing West subway station lot cab . also quiet nice location main food street block away . staff incredibly helpful write name location need throughout day make cab travel breeze . in mind , alternative Jia stay Shanghai - truely magical place functional , stylish , comfortable . truly home away home ! 
 Oct 4 2007 	 cool new place Shanghai 	 New JIA Shanghai fantastic ! ! room amazing stylish , attention detail design take serious thought , everything need , ! even little kitchen ! lobby breathtakingly cool like walk art gallery ! staff attentive always open door arrive . in room light digitally program mood effect , blue lead switch , get great big LCD tv every room , 2 suite ! plug laptop desk , allow personal music play every room suite - great soundsystem ! free wireless broadband , nice consider 5 star hotel China still insist charge ! location perfect , right opposite one favourite mall , citic plaza . also within walking distance rip - off plaza 66 - really need Prada fix ! restaurant not open yet , HK Jia anything go go fantastic ! currently run home delivery service local restaurant choice great idea room nice ( corner suite ) decide stay take japanese deliver watch tv instead go one night ! bathroom minimal fitting super high quality , lovely slate floor whole bathroom .. stay Shangri - la , Hilton , Portman ritz carlton , Westin , say JIA beat ! ! ! - always return Shanghai trip ! feel much home hotel ! thank JIA ! 
 Aug 29 2009 	 Nice ! 
 Sep 23 2008 	 Decevant 
