fine 	 return hotel 's excellent central location splendid slightly colonial feel . typical modern luxury hotel . time not quite meet previous expectation . courtyard restaurant close , staff seem interested fawn one gain tip ( except clean staff lovely ) price ( recession ) seem even excessive . nonetheless , still quite fine stately feel , not mind pay premium . 
 Sep 9 2009 	 Perfect stay 	 Ritz Carlton beautiful hotel great location SF . major sight easy walking distance . stay 3 night 2 kid feel comfortable . room lovely nice marble bathroom . service great prompt . good Dining Room restaurant . service well outside Europe . food outstanding quality prepared perfection . sure one good restaurant US staying must try it . I recommend Ritz Carlton highly enough ! ! good hotel good value 10 day California trip . 
 Sep 7 2009 	 Great Stay 	 happy recent stay Ritz Calrton . friendly staff eager make stay comfortable . second stay Ritz Carlton ( Lake Las Vegas ) . kid love indoor pool . 8 year old want stay 5 star hotel . 
 Sep 1 2009 	 Warm Friendly 	 book hotel thay package deal ticket see King Tut not dissapointe . nice couple block chinatown , easy direction de young museum see Tut . Typical Ritz Carlton always beautiful smile see . beautiful little indoor pool kid enjoy . Piles pillow bed , soft sheet dreamy . not eat hotel want authentic Chinese , love hotel staff . return . 
 Aug 30 2009 	 Loved Ritz ! 	 stay hubby three night last week love hotel . retire military get really good rate ! interior view room 6th floor courtyard quiet . room spacious ( regular room , ) nicely appoint . use gym pool / hot tub one morning nice facility . employee super nice even though could tell not normal Ritz guest ( jean sneaker ... ) direct we good local parking garage ( $ 32 vs $ 62 hotel , ) yummy pizza Uncle Vito 's , able answer question . location perfect ! short walk Union Square ( take cable car back , hill steep , ) China town North beach , many good local restaurant get cable car corner Powell Mason line car less crowd probably get easy . not wait turnaround area ! would definitely stay ! ! 
 Aug 25 2009 	 miss small thing 	 stay Ritz SF weekend family ( 3 kid ) stay executive suite . try check early room not ready go walk come back find room still ready even though 30min past check - in . everyone tire tea ( good ) wait another 30min room . room nice , 's clean decent not surprise be Ritz . wife want take girl pedicure , turn Spa can not service 1 person time ... yes be tell . also want dinner restaurant ... oh restaurant close Sunday . 's lot like hotel 's good location , staff friendly price 's much competition San Francisco many hole service provide say provide . 
 Aug 24 2009 	 great stay Ritz Carlton - wow ! 	 go Ritz Carlton SF wife 's 40th bday , bring two daughter ( age 5 and7 ) , absolutely amazing stay . service outstanding , attention detail fantastic . stay actually begin get , since several communication wth Alex M. wife 's like dislike , arrive room , flower petal everywhere , fresh flower desk , prepare special gourmet chocolate display , cd San Francisco music burn playing come , bag wonderful Bulgari toiletry wait nice note tell wife hear like . even kid get puzzle , stuff animal , special cookie plate name write chocolate . even leave birthday card wife . blow away . everyone smile face genuinely nice people clearly go way help we , anything need . doormen concierge particularly helpful touristy question suggestion . love location , right next Chinatown , right next cable car line . Ferry Building mile away Fisherman 's wharf mile half away , downhill , interesting walk / cable car ride . cable car full , spend buck taxi , ask hotel 's courtesy car . everything easily accessible . find snobbery , kid welcome everyone , joyfully use pool , would absolutely go back , heartbeat . Ritz Carlton SF classy elegant , friendly time . finally , rent car Hertz directly hotel , twice , two day trip Napa middle week , day trip Monterey towards end stay . convenient drive front door hotel able leave car right . would strongly recommend , anybody , yes , young kid fun wine country . Ritz Carlton SF great hotel - great people . recommend anyone , certainly come back future . great job ! ! ! p.s . two additional thing : Bay City Quackers , locate next cannery building Fisherman 's Wharf , amazing . initially sound hokey , highlight trip . second , stop Ritz Carlton Half Moon Bay dinner way back Monterey , drive Pacific Coast Highway . view oh . . god . incredible . strongly recommend , find time ! 
 Aug 15 2009 	 great location nice hotel ` ` wow '' factor 	 family spend 4 night Ritz Carlton SF . hotel locate perfect location sightseeing - close attraction yet away traffic / noise . room nicely appoint service good . locate top steep hill , use advantage . walk nearby restaurant dinner hike hill . time reach room , not stuff anymore . : - ) suite stay spacious appreciated closet space . however , previous reviewer state , property lack & quot ; wow & quot ; factor one memorable property like FS Maui FS Hualalai . grant hotel city , resort , may fair comparison . amenity good staff friendly , certain element miss . 's hard put finger , think would well summarize attention little detail . , feel staff courteous ( probably train ) not really go way help we . example , greeter front door stand say & quot ; nice day & quot ; . one morning , wait car outside , realize want ask question Concierge . run back hotel , gentleman greet less 2 minute ago not recognize say perfunctory & quot ; nice day & quot ; . one example , suite nice coffeemaker right door . , one evening , decide brew cup , realize water reservoir coffeemaker clean ( actually filthy ! ) . Ritz Carlton SF great hotel trip . would stay be SF ? probably . leave feeling & quot ; can not wait come back & quot ; ? . think 's difference set & quot ; memorable & quot ; hotel apart . 
 Aug 8 2009 	 Luxury Hill 	 really enjoy stay San Francisco Ritz . hotel luxurious , great location , - hold feather - reasonably price . yes , give hotel five star ( quack ) everything expect . , say agree previous review miss certain & quot ; wow & quot ; factor . certainly Ritz quality , would necessarily remember hotel would property , i.e . four season Maui . lucky pay $ 169 / night website honestly would disappoint pay rack rate $ 300 / night . please enjoy everyone 's favorite Travel Duck tip below:1 . would highly suggest take cab hotel SFO - not even mess BART . cab cost $ 37 tip . take 25 minute SFO ( case 15 minute since taxi driver absolute madman ! ) 2 . hotel almost top Nob Hill . folk , never San Francisco , bring walking shoe , hill steep . location hotel high - class area , away touristy area Fisherman 's Wharf Union Square . , easy walk Chinatown 2 block away.3 . would highly recommend tour city use Cable Cars - stop right outside entrance hotel . take cable car Fisherman 's Wharf Hill Union Square / Embarcedero area . buy day pass $ 11 let ride cable car light rail day . care walk Fisherman 's Wharf , go straight Stockton street nice 20 minute walk hills.4 . okay , reason advise walk straight Stockton Street must go Mama 's breakfast 1701 Stockton Washington Square . place cash , small , open 8:00 a.m. ( close Mon ) award good breakfast San Francisco . make sure line around 7:30 7:45 late . would recommend one huge omelette french toast fresh fruit . certainly beat expensive room service buffet hotel . yes , room service Ritz expensive , $ 21 hamburger , add $ 4 want cheese . 5 . oh , talk food make forget review hotel : ) room 3rd floor actually one level lobby level . overlook courtyard perfectly nice . , blow away complain $ 169 / night . bath marble excellent shampoos lotion . think wife take sample way . 6 . go San Francisco without Deem ( dim ) Sum . good Deem Sum ask ? hand - down Yank Sing 101 Spear Street financial district ( Chinatown ) . seated welcome little cart dumpling , roll , etc . travel restaurant . pick like waiter keep track bill little card kind look like bingo card . word warn , extremely delicious , costly waiter bite aggressive . instance , one piece sea bass $ 16 . dumpling $ 5- $ 8 . 7 . great dinner Nob Hill , would highly recommend Nob Hill Cafe Washington Taylor Streets . small little italian restaurant pack local visitor alike . gnocchi bolognese chicken parm fantastic reasonably price $ 20 . 8 . still read take note ? would like spend day Napa / sonoma wine taste tour ? many traveler book one tour bus take commercial winery Napa . ( travel ) duck . find amazing gentleman , Mike , pick hotel San Francisco , drive napa take excellent winery , drop back hotel $ 30 / hour . take we small family own winery private tour even sample wine right barrel . private taste another winery sample least ten wine $ 10 / each . also take we gourmet market pick sandwich picnic lunch nice view . Mike wealth knowledge wine spend time speak trip ensure day remember private tour . even let sit front feel little car sick ride . send message would like contact information website . 9 . make sure check & quot ; Painted Ladies & quot ; remarkable house Alamo Square Haight - Ashbury area . need take cab get ready nice long 45 walk hotel . 10 . still read ? course , probably wonder travel duck person get $ 169 rate Ritz , take private winery tour $ 30 hour , eat good breakfast , deem sum , italian restaurant city . well , research happy share finding fellow traveler . feel free send e - mail question . 11 . planning tour Alcatraz , make sure book tour advance . lot tour sell get . hear nighttime tour way go . 
 Aug 8 2009 	 beautiful hotel beautiful city 	 stay Ritz - Carlton first 3 night honeymoon much research . great location close Union Square although leg get good workout way home . staff friendly , room spacious city hotel , clean beautifully decorate . spa facility lovely quiet time go . mention bad point , little impersonal side compare place stay honeymoon guess expect big city . concierge recommend steak house we eat distinctly average , research restaurant ...... many good one ! overall would stay ? yes .... flash . 
 Aug 6 2009 	 feel good soon walk door 	 fantastic hotel . right moment walk , give good service . fact , within minute escort reception area , complimentary glass champagne hand . room ready early , inside garden view fine quiet . great breakfast , good pool hot tub relax long day walk . easy access Chinatown , Union Square , Cable Cars , 30 minute walk Pier 39 waterfront . 
 Aug 2 2009 	 Luxury San Francisco 	 love San Francisco . love Ritz Carlton . , put together . beautiful property outside China Town Union Square . be bit away Fisherman 's Wharf cheesy tourist trap . room clean luxury linen . request receive ajoine room double bed kid king size mom dad . find great advance purchase rate , however , charge stagere $ 70 valet parking ! come ! want stay Ritz shopper , look good rate , maybe different rate include parking . throughout California trip charge $ 10 $ 15 per night valet parking , not surprise charge , however , $ 70 astounding . say , Ritz always quality product . staff friendly professional . laugh , morning leave , hall fill housekeeper cart , every person step aside say good morning we . 's Ritz Carlton way . 
 Jul 20 2009 	 Superb Club Lounge 	 upon check - in , offer champagne . think great way begin vacation 5.5 hour flight Miami child . book 1 - bedroom suite Club Level . Suite comfortable ; furnish classic Ritz Carlton style . 9th Floor exceptionally quiet . the Club Concierges helpful seek , overly friendly . think Club attendant Annalyn Max , warm , personable . food beverage presentation truly excellent property . high expectation exceed . say many offering suitable child , ask , receive , mac cheese , hot dog chicken finger occasion . provide gracious concession Concierge Team , appreciate . however , feel Kids Club Menu standard amenity . nothing elaborate , favourite item . I find Concierge Team Reception Floor Hotel incredibly aloof . one occasion , wait 2 concierge complete conversation , turn towards . question answer bare minimum attention , think quality service unusual Ritz Carlton property . housekeeping service good Hotel . discreet , yet efficient . dislike return room middle day find unserviced . never happen 5 - night stay . use Hotel 's Pool child . be nice place unwind long day . the overall service level high Property . Doormen Bellmen always friendly . comfortable throughout stay really like location Hotel . this City Hotel family traveller expect level personalization might receive Resort caliber . we hope return . 
 Jul 19 2009 	 great location perfect service 	 stay club level suite 4 night . usual Ritz Carlton provide good club level service . suite bright airy well decorate everything need . location close enough walk many SF tourist destination close shopping . staff friendly super efficient . we enjoy dinner Dining Room would say one good meal ' ve service food , would go back meal ! 
 Jul 14 2009 	 treat like Royalty 	 business trip push get new mattress pillow bed . 
 Jul 12 2009 	 Wonderful Service Great Hotel 	 Ritz Carlton San Francisco class act . treat like gold moment step car . staff concierge attentive professional yet warm friendly . hotel room beautiful relaxing . highly recommend hotel travel San Francisco . 
 Jul 7 2009 	 Club floor way go ! 	 room beautiful perfect every way . especially enjoy club floor breakfast cocktail hour . club room food selection wide variety , comfortable atmosphere . 
 Jul 2 2009 	 pricy good . 	 stay three night end June -09 . two adult ( 25 35 ) child . hotel seem mostly business hotel . elegant unpleasant surprise . parking expensive limit . breakfast limited seat buffet also somewhat limit selection . staff however friendly service minded . request handle professionally . hotel close famous San Francisco Cable Cars ( 50 m walk , use Pine street , steep ) take cable car Market Street / Union Square Fishermans Wharf without change line . taxi stand entrance . the room nice ( 462 ) large soft king size bed , double sink bathroom flat screen tv . window face backyard traffic noise problem . would definately stay . 
 Jun 30 2009 	 wonderful hotel conference 	 visit hotel 2 - day conference . decide stay weekend , hotel book reduce rate . breakfast , lunch snacks hotel conference . meals delicious , repeats meal snack . room comfortable , love location . outskirt China town . walk Fisherman ' wharf 20 minute . love block Union Square shopping area . feel safe area , important woman travel alone . 
 Jun 26 2009 	 overall standard Ritz - Carlton property exception ... 	 stay Ritz - Carlton five night recently combine business pleasure trip San Francisco . significantly reduce occupancy rate ( cab driver mention anecdotely fully book previously , hotel experience occupancy 30 % lately ) , able get great rate include daily breakfast two , valet parking , internet access , amount least $ 100 worth giveaway . the hotel occupy nice location , midway Nob Hill face skyscraper financial district . decor could describe stuffy side , everything incredibly comfortable well keep . room reasonably sized , certainly large . residential feel , somewhat like wealthy friend 's townhouse . linen high quality , soundproof excellent . not know light occupancy , never hear much peep inside room . overall service good , superb . lacked & quot ; wow & quot ; factor ' ve become accustomed many high end hotel . one night particular example - arrive back dinner , walk back room without receive single recognition & quot ; good evening & quot ; staff member , although pass several along way . stay Ritz Carlton property , often find impossible avoid staff member greeting , case . may appear minor quibble , 's give high end property certain panache - high & quot ; touch & quot ; level . although service competent , particular property lack & quot ; touch & quot ; .daily breakfast Lobby Lounge always good . service somewhat disorganize first morning , exceptionally busy weekend . food high quality well present . juice coffee cup never empty . overall good stay , , exactly good Ritz - Carlton . choice would probably try St. Regis Four Seasons , Ritz - Carlton certainly top notch hotel . 
 Jun 19 2009 	 Excellent personalized service 	 return 2 night stay Ritz Carlton SF celebrate 25th wedding anniversary . let hotel know celebration , check suite , notice music play 1980 . later , discover leave we card list event 1984 actually burn CD song year nice commemorative label . my complaint unable get dinner reservation highly rate restaurant except 5:30 9:00 , neither possible we . 
 Jun 18 2009 	 great city hotel 	 stay first stop honeymoon . location hotel great value money good . room large well kitte service good . the issue lounge bar area limit full business people , guess 's expect city . we originally want stay Mandarin Oriental opt Ritz Carlton cost point view give city move venue , bar Mandarin Oriental though , would definitely stay next time ! good gym although quite small adequate nice pool . 
 Jun 15 2009 	 good expected 	 expect basic 5 star 6 star hotel doorman , , hotel , someone would toll luggage checkin . first point . upon enter hotel , person ask last name , ask need something drink , ask bottle water , person disappear . since ask last name , think would pull reservation , really . checkin busy , guest seem like take forever , stand 15 min , chair around sit wait , another person come checkin , front desk call another agent . second point . I reserve king size bed , tell get junior suite 2 queen bed . ask still get king ( since , point 2 bed ? ) tell get king , room would small , take offer . get room 6th floor , ( lobby 4th floor ) , queen size bed look like twin bed , much narrower full size bed home . not really know really juior suite , look like get extra sitting area . bathroom big , since big , can not understand could not separate tub shower ? bvlgari White Tea toiletry well , internet cost $ 12.95 per day . first night turn two bottle water , slipper side . chocolate , refill toiletry . third point . since $ 60 credit breakfast , get able eat expensive item menu , lobster scramble , good indeed , cost $ 30 , also order orange juice tea , come $ 6 $ 7 , total bill tax cost $ 47 , expensive breakfest ever . however , staff attentive like front staff . stack newspaper front , one ask need newspaper read wait food . also take 15 min someone come take order . smallish restaurant busy , see waiter chat rather serve people . fourth point . someone call first arrive room first day ask feel comfortable room , also second day evening see need print boarding pass , assist luggage check next day , be it . however , check third day morning , one standby assist luggage , one ask need car cab , front fesk even ask stay , look cold Ritz Carlton staff . also , one open door leave . btw , entire stay , whenever walk lobby , one ever smile , say hi even adknowledge presence . 5th point . all , stay nice , nice room , nice toiletry , nice breakfest , expect staff warm , friendly helpful . even Hilton Garden Inn well staff atitude Ritz Carlton . 
 Jun 13 2009 	 disappointing service 	 come hear good thing service Ritz Carlton . thus far , ' ve disappoint . ask 3 time yesterday toothbrush deliver room , never send . morning , waiter forgot breakfast order . room upgrade available . will not stay Ritz Carlton . 
 Jun 8 2009 	 ' e go San Francisco sure stay ! 	 wife spend 4 day San Francisco luxury stay Club Level fantastic hotel . bed confortable ( RC 's tend ) . staff excellent . food ( wine ) pesentation superb location hotel key . overall , stay . lovely gand feel lobby check . facility 5 * , pool gym . staff can not enogh comfort - believe really important stay hotel . 
 Jun 5 2009 	 100 % pure quality 	 last - lot hotel stay USA finally find perfect hotel stay . stay club lounge floor everything well worth extra cost . food , breakfast complimentary drink throughout day welcome break walk hill SF . service room second none . can not wait stay soon . 
 Jun 1 2009 	 restore faith luxury hotel - one world 's good 	 select hotel due corporate rate - usually always stay MO . getting burn recent bad experience & quot ; luxury & quot ; hotel big U.S. city , truthful expectation high . RC SFO restore faith luxury hotel . stay perfect . great hotel ! staff treat guest vip . service excellent . the decor typical RC - lux . room immaculate plush . location hilltop , walk chore anyone shape , find walk invigorate . location close enough could walk meeting financial district , restaurant Chinatown , shop around Union Square . along MO , favorite hotel SFO . think one world 's good big city luxury hotel . back . 
 May 21 2009 	 Superb week shame leave 	 spend week Ritz Carlton Club level early month wonderful time . previous reviewer say , could want ? felt utterly pamper although pay well , wonderful experience cash allow would stay hearbeat . would like say thank staff Club level set right tone , particularly Ruggero Crystal must deal problem request day . enjoy daily swim early morning , ( guy , get clock fix ! ) find wonderful bolthole come back end torrid day tourist stuff . close 2 cable car line , use extensively well hotel perk chauffere town car take 10 block dinner reservation . wonderful memory 40th wedding anniversary stay would recommend anyone . way , wifi free Club level . 
 Apr 13 2009 	 good get 	 one prior reviewer may say well -- -- - & quot ; want ? & quot ; well - run Ritz Carlton stay , one good & quot ; city hotel & quot ; anywhere . beautiful , spacious room classic traditional Ritz look , yet modern amenity flat screen tv i - pod docking station . large marble bathroom . interior view room . many city hotel kiss death , look onto dreary courtyard & quot ; air shaft . & quot ; Ritz SF actually prefer Courtyard view -- -- really pretty landscape courtyard semi - permanent white party tent middle . wonderful , classic lobby . one favorite experience Ritz SFwas evening cocktail Lobby Lounge -- -- sophisticated room , well - mix cocktail , perfectly elegant . service incredible . check , give name bellhop driveway , greet name walk front door . one reviewer find bit hokey over - the - top . . employee uniformly greet walk past . service - orient . tour around city day , always pleasure return hotel , seem like elegant calm oasis middle city . 
 Mar 26 2009 	 Loved Loved Loved 	 SFO Ritz Carlton , hand , one fine hotel ' ve ever pleasure stay . visit SFO March daughter ' spring break . book club level room glad . wonderful group people club level . food presentation provide wonderful adult kid probably will not want eat fancy stuff . never fear , ask kid club menu . make PB & amp ; J , mac & amp ; cheese , deli sandwich kid ask . club something everybody . also provide late afternoon cocktail adult martini menu , wine , call brand liquor . also great pool spa area 1st floor bring flip flop suit . our room junior suite 7th floor approx . 600 - 700 square ft . hotel provide roll away daughter . love seat chair room pull bed . thing could recommend hotel would prefer room pull - out sofa oppose roll away really small detail not issue . room quiet . hear cable car go limited traffic really muffle . besides , hear cable car add charm city . cable line run block away hotel edge China Town . try one chinese restaurant call R & amp ; G concierge recommend we . salt & amp ; pepper lobstser husband lemon chicken . meal tasty prepare fry entire lobster bring head table . not know not want know look like 's natural state 's sit plate . waitress nice enough remove lobster head we . lemon chicken little dry side overall pretty good . oriental Pearl another restaurant hotel recommend . Union square 3 block away Ritz . bring walkin ' shoe ! return hotel climb straight hill get heart pumpin . the hotel absolutely fabulous Ritz staff bend backwards anticipate need request . San Francisco new favorite city can not wait come back . future visit SFO definitely stay Ritz . LOVED ! ! ! ! ! ! can not go wrong . 
 Mar 21 2009 	 Ritz - want ? 	 stay 3 night visit college son . Ritz - need ? ! . stay club floor - everything great . complaint . problem get use lobby 4th floor - room , spa , dining room , etc . minor complaint ! staff extremely accommodate helpfull . 
 Mar 18 2009 	 wonderful every way 	 stay RC 3days February ; come Ga. sightseeing ; stay many R.C . hotel good get . checkin ckeckout great experience ; location 10 minute walk hill bring Union Square 20 minute walk way Ferry Building ; club level accomadation first time mixed experience ; breakfast fine ; lunch wonderful ; evening presentation ok lack much variety ; event worthy hotel go early morning tour ( arrange expertly concierge ) go breakfast 6 am ; ( hour 6 - 10 ) however far ready ; light even yet definitly happy see we ; however would remiss mention concierge arrange fresh brew pot coffee deliver door 3 catch early flight ; consider beyond call even Ritz Carlton . great hotel planning return soon 
 Mar 2 2009 	 Best SA 	 5 STAR HOTEL - this place good , go . go quick getaway fabolous . opt Club Level worth . food drink day want skip meal , could . concierge club level nice , call we name even feel comfortable leave child 5th floor run get massage downsairr . massage great girl pleasant . would stay . Alcatraz visit Segways , worth . 
 Mar 1 2009 	 good hotel San Francisco 	 pleasure stay Ritz Carlton San Francisco visit friend town . hotel ideal location , close Union Square lovely neoclassical building . room tastefully do little bit generic typical Ritz Carlton fashion . service first rate . spa fitness center nice restaurant suppose one good San Francisco ( although eat ) . trip San Francisco , visit four season Mandarin Oriental think Ritz far nice hotel city . going back SF wife March 2009 stay Ritz . 
 Feb 18 2009 	 Love hotel ! ! 	 stay beau come town . 's little get away fabulous every way . classic charm definitely like Cliff Hotel ! stay thre be interested & quot ; modern & quot ; & quot ; techy & quot ; new Intercontinental . room elegant , along loung , Terrrace restaurant Dining Room . make club floor , be bomb ! ! great breakfast , snack drink throughout day . continue for - go bed hotel anytime . hard beat service . Chris ( Manager ) team great job ! ! 
 Feb 17 2009 	 right ! thank Ritz ! 	 stay Ritz , expect 100 % perfection , even Ritz stumble . difference brand other bend backwards fix screw - up . excuse . wish would farm customer service training brand help humanity . SanFran Ritz one amazing place earth . junior suite perfect conduct business , serve dual need value purpose . ' buy client dinner , privacy first class unit cocktail quiet business discussion . secret discretely bring wine liquor ' valet park hotel . huge saving tweak planning ahead . tacky know care ? Amenities Bulgari , linen heavenly hotel recently renovate , 06 07 ? real issue wireless connection ' dependable . 
 Feb 6 2009 	 Ritz wow - right price 	 sophistication elegance understate glamour make wonderful hotel - little fault price . hotel provide would hope top - rate establishment : friendly , helpful service , good sized immaculate room complete amazingly comfortable bed , complimentary shoe - shine evening turn - down chocolate newspaper , designer toiletry , sumptuous robe ( $ 120 buy ) , lobby area etc etc . super spa well - kitte fitness centre , steam room , massage course good sized pool spa immaculate . everything '' hope change room - even robe locker non - slip flip - flop get pool side . the downside price - get good deal - less half typically advertise price . say everything hotel expensive , meal dining room start $ 75 head ( drink ) typically $ 110 . bar food cheap watch 20 % service + tax . small capucchino set back $ 7.50 coke ( refil ) $ 5 beer $ 7.50 almost seem cheap ! . room service expensive food charge premium plus service 20 % tax 8.5 % delivery charge . fine be expense several people clearly - popular place business meeting . however , friendly concierge reception staff happy recommend nearby eatery , try Brandy Ho 's China Town - excellent food , cheap MSG , little basic decor watch cook - real wok woll ! eat accolade though must go e Tutto Qua - good pizza ' ve ever , good capucchino San Francisco amazing service - enter stranger , leave friend - place buzz fun - great place watch world go . find nearby Columbus Ave . back Ritz - immediiate area great - China Town look jade - lot hobo be sleep nearby doorway . Steep Hill would seriously challenge anyone mobility issue attempt get Union Square ( 5 min walk ) . overall though great place - especially money object firm pay ! 
