incredible 	 bad possible thing happen we hotel . not discover spa morning checking . almost cry . incredible . please , go soon check . would amazing way end day day Beijing . the bed firm linen amazing . sleep well age . also bad get early go Great Wall . concierge arrange English - speak guide driver take Wall ( anywhere ) much money . even though not get sleep much well worth it . we also want Peking Duck Beijing guide book recommend & quot ; make China & quot ; restaurant hotel . bit skeptical usually hotel restaurant suck - maybe be USA . notice lot hotel restaurant Asia multi - starred really superb . anyway - Peking Duck & quot ; make China & quot ; phenomenal . everything else menu . also get couple really spicy dish awesome . Beijing enormous . thought could walk Forbidden City , square , reality not close . taxi cheap . one day cab like 30min like $ 3.also , pollution Beijing disgusting . really can not see two block . the Grand Hyatt one nice , comfortable hotel ' ve ever stay . great place come back explore Beijing . 
 Oct 28 2009 	 impressive Lobby Small room 	 great location . surround designer shop interest like kind shop , excellent location . far walk Forebidden City yet close hire texi . hotel staff speak English eager help beware texi driver . make sure turn meter . side room small carpet wear . expensive internet . freebee here . breakfast $ 35us per person . great breakfast chinese western choice . not care big breakfast , buy cheap breakfast right mall ( one escaletor hotel basement ) food level . safe hotel . wonderful pool great work area . hotel restaurant expensive even north american standard . 
 Oct 24 2009 	 great hotel excellent location 	 one well locate hotel Beijing . Tiananmen Square close . service excellent . great conference . food restaurant cater great . 
 Oct 15 2009 	 worth every penny ... Grand Hyatt Grand 	 book Grand Hyatt could get two room pool look amazing . disappointed ! child age 6 3 blast stay hotel . able check child 's movie every night watch course pool amazing . portion specifically design child ( seem ) perfect depth playing enclose one accidentally end deep water . the staff friendly helpful . decide book hotel plan tour concierge desk . turn great decision able everything want do . another bonus we , mall hotel . several western style restaurant , include McDonalds make kid happy too . I also visit spa service excellent ! already plan return trip ! 
 Oct 11 2009 	 Totally grand 	 majority review think hotel go close perfect . really not . business Beijing stay five night . first thing realize large hotel busy . time lobby like Grand Central Station , crowd noisy . hotel good security room clean include small kitchen , view window tall office building directly across . make room fairly dark time . hotel locate mall many shop great food court . go eat , especially breakfast . hotel buffet breakfast rip $ 30 person . basic food choice , nothing special much money . go food court mall good bakery . also , know charge per minute internet room , almost $ 20 per day extra . seem cheap part especially room expensive . worker hotel nice helpful . walk Forbidden City take 15 20 minute , plenty taxi available go anywhere . 
 Sep 26 2009 	 service service service ..... 	 stay Beijing Grand Hyatt four night . lovely suite , location perfect . study tea available kitchen especially nice ( picture ) . stay five - star hotel 60 night year stand Grand Hyatt service . hotel almost full ... 800 825 room take ... service still impeccable . want ticket concert National Theatre . could not find seat chart online , ask concierge . not seat chart either , fellow immediately make phone call , take copious note , explain row location various ticket price . type service one expect China . happen birthday one day . leave executive club breakfast , one staff greet & quot ; Happy Birthday , Mr. ....... & quot ; course take copy passport , personal greeting not happen . later afternoon birthday cake deliver room . ( picture ) throughout stay , whenever ask question staff member not immediate answer , response find ... merely say not know make something . service attentive without overbear . staff seem well trained know job . moreover one sense feel proud hotel rather worry make mistake . pleasing guest seem please staff . attitude exception China . 
 Sep 25 2009 	 great location comfortable good service 	 enjoy four night Grand Hyatt , locate fifteen minute walk Tiananmen Square ( i.e . ' nearby ' Beijing standard ) , great location tourist business government . hotel centre large shopping mall , office apartment complex close city ' good restaurant . curiously inconvenient feature 40 + step climb street . find initial Club room upgrade offer rather poky please spacious suite propose small ' promotional ' premium complain . Decor bedroom public area bland austere wood marble theme hint China . the Club facility excellent staff deal elsewhere efficient friendly . good dinner make China , hotel ' chinese restaurant . the facility fitness centre comprehensive pool decor border kitsch ( exceptional contemporary China ! ) .The airport arrival departure service expensive greatly ease experience . there irritant , include pay - as - you - go internet access , overall well run comfortable place stay . recommend - check room size layout . Tip – eat lunch dinner Jing , really good ' fusion ' restaurant nearby Peninsula , also worth consider alternative place stay . 
 Sep 25 2009 	 Grand Hyatt disappoint ... 	 stay Grand Hyatt attend conference ; another reason , would move another hotel . rate cheap , room small staff downright rude ; order scramble egg counter breakfast , chef yell back ! waitress not understand & quot ; american cofee & quot ; bring cappuccino . observe number occasion guest also complain service ... know Hyatt hotel well , Gold Passport Platinum member - usual , urge management fix problem . , stay somewhere else - lot well hotel Beijing , maybe bit centre town , taxis cheap ... 
 Sep 24 2009 	 Excellent 	 husband stay Grand Hyatt Beijing three night . room extremely comfortable well appoint . find perfect long flight Heathrow via Vienna . staff extremely helpful nothing problem . find English speak hotel excellent . highlight trip ask hotel organise guide tour take we Great Wall Forbidden City . memorable time visit . guide call William excellent buy history alive we . particularly lucky weather . clear blue sky go Wall . fully recommend hotel guide tour . love every moment stay Bejing . Karen Brown 
 Sep 11 2009 	 Beautiful Hotel Great Location 	 want hotel near site shop hotel not disappoint . instead reserve 2 regular room stay 2 - bedroom suite . king bedroom either side large , share living room flat - screen tv small kitchenette . lot space relax day sightseeing . bed plush bath beautiful spacious marble granite . excellent arrangement kid . spend extra $ club level give we amenity save we $ long run . breakfast include egg way , buffet pastry , cheese , congee , fresh juice . early evening , wine cocktail serve 5 7 8 pm . also , food go drink . include room rate pick club level room . excellent restaurant locate hotel need venture . Beijing 's # 1 rate restaurant & quot ; make China & quot ; serve top - rate Peking Duck disappoint . also , Red Moon serve sushi provide swanky , dark lounge evening cocktail live entertainment . cafe try they . you access oriental Plaza directly hotel multi - level shopping available . Mini - mart , restaurant shop find . also , access subway mall want avoid walk outside . subway near hotel well . the Oasis Pool quite site -- beautiful indoor pool hot tub nice locker room reason pack swim suit . concierge service excellent counter personnel speak English make stress - free stay . I say enough good thing hospitality quality stay . worth every penny ! 
 Sep 6 2009 	 beyond 	 upon arrival Grand Hyatt one we leave item sentimental value cab . realize item miss check , hope seem lost . one bother pick taxi receipt could remember license plate number . point pretty distraught , one manager came see everything ok . tell several bell hop gather around happen , promise see could . course , hope high since give lead driver cab number . imagine surprise next day receive note door say driver locate could arrange delivery item we directly . staff Grand Hyatt go beyond attentiveness problem - solve ability . would stay hotel heartbeat , know guy help . 
 Sep 6 2009 	 Great Hotel Great Service 	 stay truly amazing . staff simply great . efficient helpful . especially impressed man concierge ably anticipate every need truly go extra mile arrange everything family vacation . nothing much demanding . management also provide personal touch inconvenience teethe problem ensure immediately rectify . would hesitate stay visit Bejing future . 
 Sep 6 2009 	 grand hyatt wonderful great place stay would definitely recommend . 	 go grand hyatt family holiday beijing right walk hotel love already . everything present neat , grand way 's clean . hotel room spacious nicely decorate complimentary chocolate fruit nice touch room . will not hear loud noise would disturb stay , peaceful . service hotel provide mostly welcome not take long carry request maid service good clean job . patisserie serve many variety cake pastry purchase well present quite delicious aswell . may sit table give patisserie lounge near entrance hotel may order menu drink spot food . really love hotel swimming pool beautiful , artistically decorate like rock pool . 's plenty space swim 's relaxed atmosphere prefer lounge sofas . jacuzzi 's relax calm without loud child 's good quiet time . the hotel 's location also convenient 's close oriental plaza not go far plus shop restaurant hotel already . overall hotel say lush great place stay relax holiday ' m sure anyone would love sure quite bit money lovely thing not come cheap . 
 Sep 4 2009 	 Grand Hyatt stay 	 second stay Grand Hyatt , extend family . time 4 night get 2 bed suite access privilege club level . access club get breakfast ( great continental buffet plus egg order ) , fantastic 5 - 8 pm cocktail hour ( free drink , hot cold hor deurve , cheese , cracker , dessert ) beverage 10 pm . great mix asian western selection . after day sightseeing great relax , drink . 
 Aug 30 2009 	 Great Hotel 	 one good China . hotel staff speak English well helpful . location great , lot see nearby . hotel also lot english channel tv free internet . room great ! always clean ! indoor pool good world . 
 Aug 18 2009 	 Hyatt Grand 	 location be great . be near Wang Fu Jin , Tiananmen Square , Forbidden City etc . however , quite bit walk . also commercial area actually hate stay . room 's small hotel similar grade network , desk etc great business traveler . center also mean may difficult get cab , esp busy hour ( wait 45min ) also middle traffic jam . 
 Jul 30 2009 	 lovely 	 amazing expirience travel year old prvide we baby anetie like cot , steriliser etc bathroom teh room clean n spacious . staff helpful , hotel mall also fast food ... area easily reachable nice : ) 
 Jul 27 2009 	 outstanding service can not beat location 	 stay Grand Hyatt Beijing business trip June , could please . location fantastic - walk distance Wang Fu Jin , Tiananmen Square , Forbidden City , plus upscale mall directly underneath hotel include extensive food court convenience / grocery store - perfect pick thing forgot , grab quick inexpensive meal . room small nice - comfortable bed , large refrigerator ( automatically charge move item store thing inside - nice deal hassle ! ) . housekeeping bring two free bottle water daily , appreciate , two fresh chinese pear place room welcome gift . bathroom beautiful , marble glass . issue gap shower door adjacent glass panel , cause water escape flood bathroom floor every time shower ; point spray away stand side shower keep room flooding . big deal . the service outstanding - everyone talk friendly eager help . request iron ironing board one morning leave hotel hour . return deliver - call front desk explain leave business meeting 20 minute , extremely apologetic . manager door 5 minute deliver iron ironing board along apology . Breakfast Grand Cafe pricy ( $ 35 usd buffet ) delicious , buffet option ( chinese american breakfast selection ) extensive . dinner Noble Court one night well , think food service outstanding . pool amazing everyone say - must check be stay ! overall , fantastic experience Grand Hyatt would hesitate recommend . 
 Jul 18 2009 	 Perfect location 	 hotel within walk distance Forbidden City , Tianamen Square host sighseee shopping must . Upsacale shop right door mall hotel attach amazing . ultra modern hotel . upgrade suite club floor . room microwave large refrigerator . 
 Jul 1 2009 	 Grand Hyatt Beijing nice -- par Tokyo 	 stay Grand Hyatt Beijing twice course 9 day trip China . hotel nice . typical Hyatt consistency . Grand Hyatt par one Tokyo , nice -- much , much well swimming pool . like get workout Hyatt one well setup . big fitness area right next huge basement pool really cool lighting make feel like outdoors night tropic . everything else hotel good . location walkable Forbidden City right subway , , east use . 
 Jun 25 2009 	 great location nice hotel 	 ' ve always partial Hyatt town . the Grand Hyatt Beijing good hotel miss great like one Hong Kong Bangkok . the location great . close Tianamen Square keep mind brisk 20 minute walk away . summer , really tiring . hotel also close mall therefore lot shopping dining option available . the room good bit small . comfortable though . the Club lounge pleasant . the buffet breakfast bit tiresome . tough catch anyone 's eye couple occassion , go upto desk bill . all , nice place could much well . 
 Jun 14 2009 	 nice hotel ! ! 	 arrive book double room . since two adult two kid , upgrade we free one bedroom suite .. nice . suite two extra bed two panda . two choclate lolly pop kid . front desk ever smile helpful . especially Snow ! . conceierge helpful , tell DRUM tower close repair go way nothing take direction . candy one helpful one conceirge . suggest great restaurant try beijing food . hotel distance walking distance wangfuje Tiannmen Forbidden City . mall underneath . hotel wonderul pool . anything else , would stay use pool again . the hotel provide free bottled water . it many good restaurant , patisserie ( close early 9 ) , make China etc . 
 Jun 10 2009 	 Disappointing hotel elegant formal / cold small pokey room .... 	 arrive amazing J W Marriott Shanghai- real let . move J W Marriott Beijing much prefer altho location bit . airport pick good- meet almost plane whisked thro . fairly typically hyatt- look glitzy professional , wow factor cold , unfriendly - professional- staff atmosphere . what hate room . hotel round do odd shape ( small ) room masculine design . little space door window walk thro ceiling window low making feel closed . room want spend much time . due meetings- little time eat altho get room service one night good . location - wise one nearer one Forbidden City walk distance place around interest , altho site nearby taxi case cheap . night want Forbidden City meeting office complex part Hyatt area- good idea maybe tyo stay . last 2 night decide get would stay tho little loath recommend hotel would go back . Plenty Beijing would research option ... 
 May 28 2009 	 wonderful Stay ! 	 return six night stay wife six year old son . arrange hotel pickup greet outside jetway escort thru immigration baggage claim . we book two bedroom club room . room spacious comfortable . problem room turndown . two night row return room around 10:00 pm turndown do yet . housekeeping would stop we enter ask want turn room . restaurant expensive , lunch cafe $ 100 usd ( ala carte -- nothing fancy ) lunch make China $ 200 usd ( order 4 dish + drink ) . grand club offer good need day adventure . pool great need end long day . overall , wonderful stay would hesitate return . 
 May 24 2009 	 fabulous hotel great value . 	 choose Grand Hyatt need room would comfortable 3 adult 5 day . ( 23 year old son fly Shanghai join we ) got really great deal 2 bedroom suite Hyatt website . room Hyatt state probably would cost 2 3 time pay . get welcome flower ! hotel gorgeous . room perfect 3 we . 2 bedroom king size bed , 2 full bathroom , living room kitchenette . service always impeccable . staff always helpful . several staff member speak English help taxi driver need . will even help get driver Great Wall . pool beautiful hotel pool ever see . location great . withe walk distance many restaurant , shopping , night market . also connect high end mall food court . hotel , restaurant expensive . spring western breakfast ( one thing son miss ... ) okay pricey . also , remember China , not expect good cup coffee . grocery store well number restaurant mall basement , economical choice snack grab quick breakfast . recommend Breadtalk , ( bakery chain store locate throughout Asia ) food court . Delicious ! breakfast 2 Breadtalk cost less cup coffee Starbucks . we also recommend use hotel limo service airport hotel . cheap , worth every penny . 13 hour flight , relief expertly guide large Beijing airport . website say - & quot ; private Limousine Transfer include " Meet & amp ; Greet " service . service , airport representative wait " Grand Hyatt Beijing " sign , aerobridge plane . escort Immigration line , follow luggage collection point finally Private Limousine & quot ; . whisk immigration , get luggage escort past custom quickly time blink . airport rep go find son baggage claim escort limo . great start trip . 
 May 22 2009 	 oasis Beijing 	 service Grand Hyatts unbeatable - Beijing property exception . staff friendly , helpful professional . nearly everyone speak English , front desk concierge staff gladly write destination chinese cabby get meeting restaurant . the hotel well maintain . room comfortable well - appoint , spacious well - equip bath . home away home Beijing . 
 May 12 2009 	 Mediocre 5 Star Hotel 	 stay Grand Hyatt four night would recommend issue . room two bedroom clean fairly large . stay fine . , five star hotel make feel much & quot ; fine . & quot ; greatly enjoy pool . truly something see . dinner friend famous restaurant , make China , could less accommodate . young child we give we difficult time try make special order kid . ( plain egg fry rice issue take 30 min . receive ! ) western own restaurant , quite surprised . food good would definitely rave good peke duck ever . Grand Cafe Med . buffet good expensive give we hard time charge child 's price daughter staying room free child . voice consistent hotel restaurant eventually give we child 's price . think big beef hotel tout 5 star anywhere outside China , would consider 4 star hotel . 
 Apr 18 2009 	 Design Location Amenities : A+ Service : a- Room Size : C 	 Grand Hyatt amazing respite hectic pace Beijing . stay Club Level , room well done- custom millwork , bathroom limestone floor - to - ceiling separate tub shower . architect appreciate design minimal tasteful . room small , however , fully book . next time will make sure ask size beforehand . the pool truly amazing . three story underground , & quot ; Oasis Spa & quot ; thirty - foot ceiling take probably third hotel footprint . wall blur palm tree , boulder , waterfall create feel tropical island . may sound cheesy , really pull off- right periodic frog chirp hear invisible speaker . Adjacent well appoint gym trainer available . the service 5 - star , wait staff linger much . be one place take sip someone right fill glass . definitely feel like always watch , China ... overall , highly recommend hotel ! 
 Apr 16 2009 	 Excellent hotel make China restaurant disappointment 	 family spend five night Grand Hyatt , Beijing . many reviwer vouch hotel 's location excellent easy reach touristic attraction quickly . book two bedroom club suite ( family five ) satisfied . suite spacious even extra bed young son room clean well maintain . access Club facility 17th floor excellent breakfast . also enjoy happy hour 5 - 8pm , especially long day walk sight Beijing . yes , pool fantastic gym also well - equip ( miss rowing machine ) . overall pleased friendliness service staff . disappointment make China , hotel 's highly rate restaurant . pre - ordered Peking duck find portion laughably small 5 people . tired wish stray far hotel would recommend dining basement oriental Plaza hotel . overall warmly recommend hotel anyone , include family . 
 Apr 14 2009 	 outstanding service ammenitie Beijing 	 owner China luxury travel company accesschinatours.com , stay many China 's top hotel , yet Beijing Grand Hyatt favorite far . several thing go Beijing Grand Hyatt ( wangfuje location unbeatable ) , foremost outstanding ammenitie . indoor pool must good Beijing , China . club level food drink selection service superb . english communication ability staff , right housekeeping , truly impressive . nice value price well , highly recommend property . 
 Apr 11 2009 	 great location perfect hotel small kid 	 Location : state , hotel perfect , centrally locate base sightseeing shopping . close forbidden city , walk recommend due large family size young child . situation room specific : stay grand two bedroom corner view oriental fascade hospital master bedroom opposite glass building living room 2nd bedroom . family 6 travel 4 young child , include 6 month old 2 year old . initial book one crib available , night arrive bring second crib room immediately upon request . 2nd bedroom also fold - out wall divid ( two door room ) open effectively create third bedroom we , perfect . room 957 , recommend . bed standard oriental hard matress , put 3 inch pillow top make comfortable plush . master bath large tub separate shower . 2nd bath large tub / shower combo . room also kitchen hot pot , microwave , double sink refrigerator . also notice stove top wooden server , pot , pan dish kitchen . ask available . living room large enough seat we comfortably , two chair table , work kid gather around coffee table . living room also large enough accommodate two massage table door thick enough allow quiet inside room . meal / restaurant : state elsewhere price inflate make China Grand Café compare restaurant around town especially compare mall under / adjacent hotel . day touring , choice one evening meal McD ' , Kfc , dairy queen kid . ( cheap similar meal state ) make China good , spectacular , preordere Peking Duck , good , much write home . one complaint signature dish , ' even bother explain good way eat . addition , meat come duck rather meager . however , waitress savvy enough suggest right amount additional food need order though . breakfast include room great way start day , however , bill receive morning sign ( pay meal include ) inflate . say , something everyone . Hint make special order pancake waffles walk seat pass kitchen … they make somewhere else , never make sense . service : odd we experience separately , male concierge deal good compare female concierge use , mainly english language problem . bellhop , doormen helpful loading unload clan luggage . able receive massage room kid knock sleep great . state elsewhere , pool spectacular . .5 m section little one , 1.0 1.4 section elsewhere . also little cove , waterfall 3 - 6inch water area great entertain two year old . attendant pool especially helpful great safety monitor . money exchange easy hotel adjacent building bank ATM . final note , hotel plush business orient , time ever feel place 4 sometimes noisy kid , enough white noise everywhere waterfall activity etc . room individual climate control well . overall pleased stay grand hyatt . 
 Apr 10 2009 	 Great Hotel Central Location Excellent Pool 	 LocationGrand Hyatt within walk distance Imperial Palace Tiananmen . also , next underground station . pretty much go olympic area , Ritan area quite easilypool nicely decorate pool ( call Oasis , something like pool Thailand tree actually indoor ) perfect final stop day walk around city ready go dinner . make ChinaA good high end Peking Duck restaurant open kitchen . need book fancy going . duck good probably good duck local restaurant ( less posh setting ) othersbe careful booking car Great Wall , driver force we go Silk Pearl Factory get petrol stamp ! waste time ! Foot Massage PlacesFor like go foot massage , pretty good : address : opposite West Gate , San Li Tun 3.3 building . 48 Yuan one hour , good massage , cheap trip not expect perk ( i.e . tv , super clean place ) - recommend it . another one near Lan Club Choyang Area ... number 86 10 6515 5886 unfortunately not english address . 100 Yuan good service , western tv channel clean place . shoppingif interested label clothing make China ( e.g . Prada , Chanel etc ) fraction price , look Kelly Ritan Office Building , A15 Guanghua Road , Chaoyang District , Room 2000 Lan ClubA philippe starke design restaurant worth visit decor food quite decent . not expect cheap though . food portion pretty big Beijing ( compare London ) beware . 
 Mar 17 2009 	 incredible service - stay Club Floors 	 first trip China make even memorable consistently high level service hotel . pool amazing , wish tome use . Club Levels mean free breakfast , snack , enough food dinner time skip dinner wish . coffee 11 pm . use Laptops free make room internet unnecessary . well worth add expense . beje incredible City , make al wonderful stay hotel . overall , probably good hotel experience ever . 
 Mar 13 2009 	 decent room wonderful staff 	 stay grand hyatt wangfujing ( oriental Plaza Mall ) Mar 5 Mar 8 . room 15 floor bit small toiletry good floor 15 . commend service hotel . staff friendly attentive . moment arrive front door , staff come greet we accompany we front desk . front desk area divide 3 section / desk . already 2 guest center front desk check , another staff leave side reception desk , right side instead wait go , come check . check process smooth . evening housekeeping leave bottle mineral water along glass bedside table . service waiter breakfast mostly efficient attentive ( except one male waiter ) . general experience Grand Hyatt good . entrance red moon bar automatic slide mirror open approach , quite fancy , price rmb 75 martini plus 15 % , high china standard . lobby lounge offer 2 1 drink happy hour . pool gym area locate basement 3 huge nice . lot food choice big mall hotel . one thing think big hotel chain offer free wifi . Dragon Air offering promotion pay around HK $ 3700 per person 3 night ' stay include round trip airfare . 
 Mar 10 2009 	 great hotel ideal location 	 husband business happy tag along . visit Beijing twice holiday location one good - right top big shopping mall ( not expect anything big european name , though , could anywhere ) , step main shopping street step Forbidden City Tiananmen Square . the room great service absolutely superb . travel arrangement change several time manager look we unflappable . coffee lounge lobby great place meet people make good cappuccino . try two restaurant excellent . really recommend lunch buffet mezzanine overlook lobby - absolutely superb . 
 Feb 14 2009 	 ok 	 good thing Hyatt location . near large shopping street , walk distance Forbidden City Tianman Square . lobby also beautifully do high ceiling great place take drink . my room disappointment , however , small claustrophobic . visit winter window well isolated get draft outside . food room service overprice good . well pop meal food court oriental Plaza mall downstair . there decent gym big swimming pool , cold swim . use sport facility , include get massage quite happy thoseoverall recommend wow factor like many new hotel Far East . 
 Feb 13 2009 	 lovely amazing pool 	 gorgeous hotel absolutely amazing pool . great spot stay explore Beijing . room spacious , bathroom fairly large , cleanliness excellent . common area hotel luxurious , restaurant good , pricey . hotel connect high - end shopping mall , convenient . 
