Dorchester 	 ouir second time Dorchserter get yo room bottle champagne . show around room make feel welcome . 
 Sep 26 2009 	 charge creditcard express 	 wife stay 4 night Dorchester may last year . Stavanger Norway London several time . like Londom mutch . reseption reseptonist would creditcard . tell pay travelcompany Stavanger several week ago . would accept charge card Nkr . 24.000 , - would bee 2.400 pound ? rom cost Nkr.16.000 , - / 1.600 pound . help show reciept travellagenci Stavanger . say amount would possible dammage room ! ! ! ! hotel hotel witch many guest dammage room , be kind og hotel want stay . take 2 week amount nkr.24.000 , - return creditcard . stay time Dorchester . people reseption ofthe nice kind . arrive Rolls Royce simmilar . arrive taxi . shold lleave order Mercedes chaffour take we Heathrow . chaufour allow people outside hotell wait we outside hotel . wait we street oppersit hotel . 
 Sep 19 2009 	 appalling ! ! ! ! 	 book weekend Dorchester weekend celebrate 40th wedding anniversary sixtieth birthday , arrival staff appear courteous oblige walk afternoon receive telephone message say hotel need authorise credit card , attend reception say problem advise telephone bank release fund cover bill , become apparent Dorchester thought fraudster fully expect us & quot ; moonlight flit & quot ; . evening book table langan dinner evening completely spoil could talk indignity dorchester apparent appraisal financial circumstance , confront duty manager advise sufficient fund cover whatever come way . also advise wife stay good hotel world ( Raffles , Waldorf Astoria many top class Hiltons ) never experience anything like embarrassment Dorchester inflict we . duty manager offer we champagne tea way compensation decline , need & quot ; free - bee & quot ; , pay way . all ask guest treat respect make feel insignificant turn Rolls Royce wear armani suit . it look suspiciously like Hotel run & quot ; postcode & quot ; appraisal guest , obviously ( Sheffield ) risky list want make sure leave without pay . suppose celebratory weekend turn nightmare one remember long time come , go back Dorchester , even free . 
 Sep 4 2009 	 wonderful Afternoon Tea 	 treat we opt & quot ; Afternoon Tea Dorchester & quot ; excellent choice turn - moment arrive Staff polite friendly – step taxi bag take we go bar drink . cocktail relaxed . show table , waiter delightful could enough we – make afternoon tea special . start glass champagne go explain different tea , sandwich pastry would . floral display wonderful décor beautiful , feel like ' another world pianist playing afternoon . feel hurried rush ambience Dorchester calm unhurried . whilst real treat cheap really worth every penny wonderful memory trip London . 
 Aug 30 2009 	 bit disappointing ... 	 stay Dorchester romantic getaway last year . book champagne flower advance unfortunately take 3 phone call reception get organise take surprise element away leave bad impression . initially room overlook air conditioning unit disappoint money pay , staff however move we well room request . breakfast lovely , luxurious , impeccable service . overall , luxurious hotel , great location really worth money hype . 
 Aug 15 2009 	 black asians dog ? ? 	 go Bar dorchester eat allan ducaisse restaurant , accost security thug / manager door say bar resident , say resident security thug continue shout show hotel key.even hgav ethe key would not believe go ot recepytion confirm . I m black .on sit , see three skimply dress blonde hooker , chat cordially barman . meet chat white couple say resident , . sure victim racism discrimaination , experience ruin evening , stay hotel would think twice stay recommede it . I warn ethnic minority racist policy.even complain duty manager apology upper management , even though stay two day . 
 Aug 9 2009 	 Magical Pure Luxury ! ! ! 	 husband decide celebrate 40th wedding anniversary treat London show night Dorchester , however idea management staff Dorchester would make special occasion even special . from minute arrive hotel treat like royalty everyone . room upgrade Suite bottle champagne ice bowl fruit awaiting arrival , follow tray chocolate flower . afternoon tea Promenade everything perfect - plenty eat could not believe sandwich could delicious ! waiter attentive friendly make we feel special - even bring two small tartlet candle wish we Happy Anniversary . breakfast , perfect every way . nothing praise staff , friendly always smile . thank Dorchester make 40th Anniversary unforgettable occasion . 
 Aug 8 2009 	 wow wow ... experience 	 wow wow ... experienceIt 10th wedding Anniversary & amp ; Sons B'day want something special , royal welcome we , people nice , would say personalise service everything . high tea promenade main meal.and nibble room , mini bbq room , stay Belgravia suite simply stunning view Hyde park , toilet well bed room , everything much detail . service well ever experience hotel , simply extraordinary team , spot celebrity promenade include Prince Andrew shy photograph experience worth lot money . we memorable stay , highly recommend place treat . we already plan next trip 
 Jul 12 2009 	 5 Star Afternoon Tea ! 	 much research opt Afternoon Tea Dorchester . old review Trip advisor helpful , hope would still . indeed , confirm reviewer say . price full afternoon tea ( exclude champagne ) £ 33.50 , plus 12 % service charge , truly unforgettable afternoon feel worth pay . for special occasion make perfect treat . staff friendly hepful , use frequent 5 star hotel feel edge ! afternoon tea include many sandwich eat ! nice selection chicken , cheese , smoke salmon , egg mayonaise offer . small dessert , follow warm dainty scone ( plain fruit ) cream jam . serve second , request . ( manage 4 ! ) selection small delicate cake finish . tea menu extensive , expert take waiter advise go Dorchester Blend . perfect - fact never want tetley tea bag ! ambience Dorchester calm unhurrie . 2 sitting almost 2 hour vacate table . pianist play throughout afternoon really feel another world . decor lovely , beautiful floral display , potted palm etc . 
 Jul 12 2009 	 first class 	 stay Dorchester one night purpose special occasion . world class hotel locate exclusive part central London . small amount reserve parking space front hotel ever full Ferraris , Aston Martins , Bentleys etc . on arrival , lady reception 100 % welcoming , polite professional . room luxurious , spacious perfect . on separate occasion 2007 dinner Dorchester service quality 100 % time . this hotel come cheap , special occasion / treat , certainly disappoint . 
 Jul 10 2009 	 Fabulous Afternoon Tea Dorchester 	 book afternoon tea Dorchester anniversary present moment doorman open door walk amazing hotel like Alice fall rabbit hole ! arrive early tell table would ready minute go bar cocktail . barman knowledgeable drink girlfriend New York cosmopolitan blackberry mojito although drink come £ 24 good cocktail ever have . we tell table ready ' truly memorable experience start choose tea rise champagne bring enjoy selection sandwich arrive continued arrive could eat . french pastry scone really feast king . the waiter polite ask occasion say first anniversary moment later bring cake chocolate writing say happy 1st anniversary nice generous touch enjoy . tea delightful Dorchester blend girlfriend breakfast blend . coffee drinker really enjoy tea entire afternoon tea experience . the bill come £ 121.00 we choose Wimbledon rise champagne afternoon tea although expensive experience worth . complaint dress code seem lax girlfriend make effort dress smartly yet foreign guest rip jean short let place little thought . I hope review help make want share experience . 
 Jul 4 2009 	 expect .... 	 first stay dorchester - travel sister 50 day arrival . check - in great , friendly reception staff take room show amenity . our room fantastic , great decor , spacious - deluxe twin room . downside room absolutely view look hedge ( decor part front hotel think ) . bathroom massive - great toiletry extremely deep bath . we take Afternoon Tea hotel little disappointing . tea consist round 5 type sandwich , two small scone variety dainty cake pot tea . nice , disappointed server not offer top tea , scone . fact , serve much attention . , take tea Ritz find different experience - Ritz server come around multiple occasion check whether require tea , scone etc . the hotel excel remember sisters birthday deliver birthday cake big bunch flower room . great surpise thank much management - make sister day . breakfast follow day great disappointment . breakfast come first , sister wait 20 minute Dorchester Bacon Buttie arrive . finally arrive bacon fatty unable eat . no - one come check ok offer we anything eat , top tea pot . fact leave . consider bill £ 57 ( luckily include room price ) less happy . stay many Ritz Carltons JW Marriotts breakfast come massive disappointment enjoy many fantastic breakfast ( much could ever eat ) hotel . Granted America , different UK ? check breakfast last comment make Door Staff / Concierge . way could describe surly . think use deal middle eastern , russian , celebrity type people came look 2 middle aged english lady , really could not bother . leave we look taxi literally ignore we point rude . - would return Dorchester ? - absolutely . experience , one repeat . food , restaurant servce attitude door staff leave much desire . 
 Jun 26 2009 	 Elegant Calm 	 ' ve never stay fabulous hotel . staff beyond helpful - fore behind scene - hectic day tour return Dorchester like come back oasis . travel solo sometimes feel like anomaly - hotel treat respect many helpful hint facilitate experience . 
 Jun 24 2009 	 every way worthy reputation . 	 lovely spend little extra stay somewhere special . daughter come London business couple day decide see husband speak fondly Dorchester . , know . discretion , luxury , style , every possible amenity . Alain Ducasse restaurant truly outstanding - good value class lunch menu . view Hyde Park perfect spring day bonus . can not think would ever pay fifty pound less ordinary hotel , could spend little feel papmpered . personal treat shall repeat soon ! 
 Jun 2 2009 	 Loved Dorchester 	 say hotel legendary service hospitality.they keep reputation .. 
 May 28 2009 	 Married Dorchester .... exquisite hotel ! 	 husband choose Dorchester wedding May 2nd amazing time . visit hotel plan day check staff superb . marry Pavillion Penthouse room 8th floor overlook city amazing day . we suite overlook Mayfair arrival give bottle champagne chocolate cover strawberry enjoy mammoth bath . wedding return room find strawberry lovely card hotel manager congratulate we wedding . we order breakfast bed amount food deliver brilliant . eat room server set table come back later collect dish . forgot toothbrush kindly bring along comb toothpaste . the staff blood hotel . everyone extremely friendly service second none . already plan next visit . 
 May 20 2009 	 Top Notch London Hotel 	 Dorchester top London elegance . many celebs spot lobby stay . choose hotel 's fine reputation . stay Dorchester Suite two bedroom magnificent view Hyde Park . Rolls Royce pick we airport take we promptly hotel , front staff ( dress nine ) greet we extremely friendly ) . staff wonderful keen help . Theatre Desk extremely helpful securing last minute ticket hot show , case Sound Music . Promenade feature award win afternoon tea one afternoon well breakfast morning . one day breakfast Grill Room little formal taste . bar serve lovely light lunch ( day get ) . Alain Ducasse gastronomic experience one good meal life . Dorchester Spa outstanding massage well facial . location hotel hard beat overall great experience , flaw opinion would certainly return . 
 May 1 2009 	 ` ` Ultimate Luxury '' 	 stay Dorchester easter half term 2 night . second visit Hotel good . draw back stay , completely spoil stay anywhere else . family stay beautiful hotel world , dorchester opinion well luxurious . perfect position Hyde Park Corner , allow hussel bussel , within walk distance attraction . hotel beautiful , classy luxurious . bedroom sumptuious almost every amenity ( tea coffee make facility though ) . crisp white bedlinen , gorgeous marble bathroom floris toiletry , literally dream stay . , second visit , complimentry bottle champagne room arrival , handmade chocolate gift child , Dorchester certainly go way make feel special . book show first night stay , long soak deep bath ever , order room service lovely meal bring room . room service menu quite substanial lot choose actually expensive would think , consider London . get quite good deal website , lot spring summer offer xmas special , make affordable stay . restaurant hotel seem good also . we ve eat grill room afternoon tea promenard have not try alan ducasse restaurant . also well , spa undergone refurbishment be not use may , could use spa pool bit disappointing hey bet superb do . defy anyone like Dorchester , one famous , luxurious hotel world , what s like ........... ! 
 Apr 12 2009 	 Palace great value ! 	 2 brilliant hotel top London market one they . it favourite film star . I amnot one always receive genuinely warm welcome one expect hotel rarely receive . there bad bedroom here . all decent size crisp bed linen superb bathroom overload Floris toiletrie fluffy towel . the staff kind , particularly child . room rate fair high one might expect ! set lunch Ducasse restaurant well good value London today . see recent review Tripadvisor . the manager use run perfect hotel , Claridges . it show . 
 Apr 10 2009 	 great place top service 	 stay 20 dec nice hotel usually stay savoy riverside suite little tired closed major refurb . dorchester roomsEXECUTIVE DELUXE DOUBLE quite large nice decorate nice touch tea silver tray arrival service hotel totally spot . bar nice . eat rodes24 private din suite great standard would expect . advice would go china tang eat krug room cross road top hilton galvin window food first class book window table advance nut shell hotel one good london return big thank management staff totally A1 
 Apr 10 2009 	 staff worry ... 	 pay £ 300 night dorchester , hotel amazing feel special . the staff polite front desk altho early find we room already extra cost . hotel luxuary every way form marble bathroom £ 80 bath robe ( take free slipper instead ! ) however go shopping selfridge purchase item one handbag , able wait unwrapped bag leave cloth bag along tissue paper large selfridge bag place shopping corner room go 99 comedy club . return later hour went put new bag away selfridge bag along cloth bag tissue paper go , rung house keeping send bin diving find do not understand want cloth bag keep comme selfridge bag . end get silly say bother point find staff trawl bin . dorchester do not seem fuss explain rubbish keep explain be not make angry go shopping throw item away . rubbish would put bin fact shopping would ' ve think make clear be not rubbish ? upon return home send letter state take liberty charge mini bar card furious anything mini bar contact manager end refund I . now bother staff , item throw charge mini bar use item champange ! really wonder house keeping ! hotel wonderful yes would recommend time would say put belonging away ask mini bar empty arrival plan use . 
 Apr 6 2009 	 Dorchester make anniversary super special 	 wonderful one night stay Dorchester last weekend . husband book surprise anniversary upgrade arrival , nice . room complimentary champagne chocolate - dip strawberry , along card wish we Happy Anniversary manager . leave freebie go afternoon tea , husband book . service excellent , leave present lovely cake , wish we Happy Anniversary . bonus we spot Russell Crowe stride hotel lobby ! stay Dorchester ( get marry ) always find bedroom spacious ( London ) well equip . good thing Dorchester bath ! wonderfully deep water pressure mean fill quickly . make use information hotel give take run route map us jog around Hyde Park next morning , fun . follow hearty breakfast Promenade . addition full English also health breakfast absolutely great … the carrot muffin really , really good . another wonderful stay Dorchester , spoil rotten spite mere prole stay cheap room available . 
 Apr 6 2009 	 simply stunning 	 way describe 7 night Dorchester , & quot ; simply stunning & quot ; .We recieve phone call week prior departure Melbourne Australia confirm booking- make line . make booking mention e - mail partner celebrate 60th birthday rang ask name , discover later could wish happy birthday , everything Dorchester 5 star . on arrival upgrade beautful room large sit area huge marble bathroom . champagne chocolate dip strawberry wait two us hand write happy birthday card partner , Hotel 's General Manager . a valet send unpack luggage immediately . we room service twice dinner 7 night stay standard way normal room service dinner offer 5 star hotel . the Dorchester make everything appear seamless . matter time day leave room always make return . even go downstairs drink- staff know bathroom refresh etc etc . evening turndown service excellent location middle everything walk easy pleasurable around Mayfair . I stay many hotel London Mayfair area Dorchester without doubt expensive , worth every cent . every member Dorchester team congratulate deliver way deliver it . we wait return simply stunning Dorchester . 
 Mar 29 2009 	 amazing Amazing Amazing . 	 treat daughter 's birthday recently go Dorchester Afternoon tea . moment arrive staff make we feel welcome smile hello everyone . quickly show table , Promenade , afternoon tea serve sumptuously decorate sat beautiful sofa plump cushion daughter oversize extremely comfortable armchair . staff courteous , prompt , efficient yet everything feel relaxed , piano player middle room play easy ear number , right level could carry conversation ease . food great , love selection sandwich , waiter came offer much like , scone melt mouth good jam ever course delicious clot cream go . pastry delight palate waiter , food explain one . joke one waiter try cake reply & quot ; yes admit try & quot ; , , like love scone well though daughter adore cake , actually hard decide . well know personality pass one stage , Dorchester everyone make feel special big deal . well yet come mention daughter 's birthday one waiter come gorgeous chocolate cake complete candle piano player play Happy Birthday . course , amazing leave put box we . time limit stay however never issue never hurry time make feel totally relaxed . can not wait go back good afternoon tea experience ever . 
 Mar 28 2009 	 live name ! 	 stay impressed sister hotel Milan , make two night reservation Dorchester month ahead . enjoy special weekend rate ( 265 pound ) deluxe room full english breakfast include . upon arrival , show & quot ; & quot ; suite - like & quot ; & quot ; room , learn later small upgrade executive room , 50 pound extra night . gesture , think ! room , number 709 , locate corner building , rather large overly - walk area lead separate small closet area , bathroom ( deep tub indeed ! ) door lead bedroom . bedroom quite spacious , lovely four poster bed - romantic indeed . sofa chair room , work desk , make table mirror . ask Hyde Park view room early , not impressed view actually see ... lot greenery flower sight , slightly disappointed . hotel face busy road , road noise day . night , rather quiet good night sleep though . common area though classy elegant , surprisingly , overly large . basically contain two restaurant , Promenade Grill . breakfast promenade yummy high quality . 3 course set lunch Grill rather good value tasty . however , food poisoning hour eat medium cook ` ` Wild Salmon & quot ; - careful ordering dish .. ... husband 's roast beef pretty good , though . overall , two night stay wonderful memorable could . however , area Hotel could improve upon -1 . iron ironing board room2 . coffee tea make facility room3 . queen size bed tad small 4 . location neartest tube station 10 - 12 minute walk ( hotel 's fault ) 5 . slightly noisy day , even room 7th floorthis famous hotel locate classy Mayfair residential district , could see bently , Mercedes S - class , Rolls Royce etc . however , get shopping eat , would walk least 8 - 10 minute . staff well train polite . book hotel will not regret stay ! 
 Mar 26 2009 	 Excellent hotel 	 first time Dorchester hope visit . location excellent right across Hyde Park short walk Hyde Park Circle Tube stop . staff friendly helpful . breakfast lounge order room service , prompt yummy ! large room wonderful bathroom . overall excellent hotel . 
 Mar 23 2009 	 Classic 	 use stay 5 star hotel US go little different new huge . rather classic feel . old hotel . service good tea lounge fantastic . room feel average , good size . probably ' m use new plush hotel room . bathroom superb . huge tub , towel warmer , marble , etc . hotel location pretty good central , need cab get something . unlike Ritz Mandarin across street lot shopping opportunity . also excellent pricey french restaurant hotel . 
 Mar 16 2009 	 not live expectation 	 stay look forward three night stay junior suite , book direct hotel . helpful , courteous pick airport early morning flight . inform check room type book yet ready , hardly surprising still 0800 . offer & quot ; nice superior room & quot ; available immediately . sleep adequately overnight first TG keen get explore happy wait junior suite become ready later day . not give information room offer know whether accept concerned end pay basic room book & quot ; junior suite & quot ; .what mistake ! & quot ; suite & quot ; adjacent intrusive AC compressor , well describe low ceilinge council house 1980 chic overlooking - think Peabody trust without altrusitic pricing structure . lot swaggy curtain , yet nowhere unpack suitcase Holiday Inn style bathroom marble tile makeover . except shower screen di not fit meant bathroom floor drench whenever one shower . despite assurance luggage would room return 2.30 pm , not . receptionist escort we room assure would arrange immediately oversight realise . imagine forgot . 20 minute later call bell desk , luggage arrive 10 minute later . we decide freshen dinner steam sweat 11 hour fly . spa / steam room close renovation . start get bit tetchy stage , concierge helpful arrange we use steam room Park Lane Hilton . , follow pint Shepherds Market , make realise numerous alternative hotel would work we offer well value . return inform receptionist plan check early . helpfully inform already give room upgrade nothing do . would hope service - freebie upgrade . shame . we return room 8 pm . not make . call Duty Manager , vent frustration p -- - poor service VFM Dorchester peddling . credit seem concerned want make difference . ask could make amend . irretrievably lose faith Dorchester 's ability deliver service value might help could suggested something . jetlagge state could suggest make sure revised check date note reception could move hotel & quot ; say tin & quot ; .A bill around 800 pound overnight stay present morning . move Park Lane Sheraton , promise rather less deliver substantially - half price . the positive ? breakfast pretty good . 35 pound , not begrudge pay quality . sadly , rest Dorchester & quot ; experience & quot ; fall shamefully short . 
 Mar 2 2009 	 wonderful hotel great service 	 daughter spend 2 night hotel friend celebrate daughter 's birthday . room ready check 1030am nice surprise . room beautiful enough room 3 we . get back day huge dessert tray small birthday cake daughter . girl love say least . staff extremely accomodating look make sure comfortable everything need . complaint would charge rent dvd player whereas hotel class dvd player room complimentary . hotel cheap London , service , location room fantastic . would definitely stay . 
 Feb 21 2009 	 great staff professional staff 	 stay Dorchester wedding end December say standard hotel live expectation . not cheap central London hotel get good deal . room well decorate spacious large bathroom . staff profssional courteous could not enough help . slight disappointment poor service breakfast staff apologetic remove service charge bill . 
 Feb 20 2009 	 Fantastic totally wonderful 	 stay one night , book one one room staff say would comfortable adjoining room kid offer one complimentary ! ! staff help enough friendly . breakfast room arrive boil hot perfectly cook even boil egg right . eat chinese restaurant site tang amazing meal ever . staff wonderful . hotel truly fantastic booking night Easter . want fantastic service hotel . 
 Feb 13 2009 	 reliable quality 	 stay Dorchester several time business . whilst expensive excellent rate obtain hotel website . time Park View room worth extra . quality service level rarely see London staff always go way ensure happy . niggle price extra ..... late night room -service supper cost almost £ 70 , put movie would cost £ 13 mini - bar .... would need take loan . avoid extras enjoy good hotel London . 
 Nov 30 2008 	 fantastic week - end Dorchester 	 wife book Dorchester celebrate anniversary birthday . tell staff upgrade superior suite . hotel eat Alain Ducasse restaurant ground floor . staff , room , attention detail hotel atmosphere truly fantastic . nothing could fault - champagne room , surprise birthday cake , rise petal bed view Hyde park . staff greet we name , escort room on - duty manager food Alain Ducasse restaurant beat Michelin - star restaurant France . pay lot experience , would hesitate go hotel , celebration relax week - end retreat . give 6 star ! 
 Nov 25 2008 	 solid 5 - star experience 	 Dorchester hotel true 5 - star property . prebooke airport transportation hotel worth money ( £ 145 ) . room not ready ( 10 ) offer complimentary breakfast . seem hotel busy 10 am ' tll 2 pm take quite time luggage arrive room ( call front desk ) . room nice clean 8th floor hotel . service general attentive . really enjoy bar service fabulous . dislike breakfast service bit slow . personally prefer buffet breakfast instead one order menus . although enjoy stay Dorchester may try hotel next time . 
 Nov 13 2008 	 mad Hatter 's Tea Party 	 Afternoon tea outstanding hotel highlight 30th anniversery celebration . luxurious pretentious , service could well staff excellent . everything personal food outstanding ! consider get stay Russell , little less cost tear wallpaper , basic accomodation indifferent service , rate Dorchester excellent experience true value money . time capsule old fashioned courtesy service outstanding surrounding . 
 Nov 9 2008 	 Luxury capital L 	 Booked room direct hotel , problem encounter arrival greet show upgrade room outstanding , however daughter executive suite would prefer large bathroom , room individual . staff pleasant helpful time , breakfast yummy try white pudding delicious whole would definately stay 
 Nov 6 2008 	 great surprise 	 normally stay Berkeley however full decided try . find : room great , gym - dark contain average equipment , location good bar well worth visit . a niggle : internet difficult use , expensive even London standard anything purchase hotel . eat Scottish theme restaurant [ can not remember name ] food expensive awful . 
