fantastic 	 stay 4 night thanksgiving . hotel absolutely fantastic- room super clean spacious everything high quality- bed really comfortable bed nice soft . bathroom also really nice- big complimentary toiletry great- neutrogena get replace every day . staff sensational- know answer question get place , good deal shop , stand parade etc . even flyer 3 different price option go traditional thanksgiving dinner . bugbear someone knock door attempt come room 9 am day leave ask check out- seem ridiculous hopefully change future guest . stay though without hesitation fantastic time . 
 Oct 20 2009 	 good Times Square area HGI 	 stay HGI 49th 8th Avenue day stay hotel 28th 6th 7th avenue . Times Square area HGI among nice group , comparison might bit unfair . say , Chelsea HGI weak choice two , feel like budget hotel way Times Square outpost avoid . ( fellow reviewer hotel — I really surprise positive nature previous review . . .it review prompt stay 28th St. ) starter , hotel ' location ' really Chelsea , rather block north neighborhood far convenient fashionable . different line subway either direction hotel , get around easy , Macy ' six block walk . immediate street around hotel mostly wholesale jewelry , clothing , floral store considerable activity along sidewalk . there attractive water feature lobby , rather small otherwise . staff , like one Times Square HGI , cheerful helpful . hotel ' restaurant largely exist serve breakfast — there buffet make order offering . Pigalle breakfast Times Square , breakfast disappointment — a fairly standard hotel buffet . conclude 10a week . perhaps GM need field trip hotel twenty block away tip . the building let hotel , number way . room notably small HGI Times Square , really feel two star , lack real closet . hotel ' elevator downright annoying — there two build 20 floor . peak period , elevator far between — and pack . worse , appear service elevator — put pressure elevator . first room right near ice machine -- quite loud . this bad hotel , disappoint one . HGI Times Square real find — this one merely get job do . similar pricing issue -- prevail rate $ 300 night stay . price , hotel , good value . 
 Oct 17 2009 	 comfortable clean well locate 	 get back first trip ny , 5 night stay Hilton Garden Inn Chelsea , pleased hotel choice . staff pleasant , internet access either laptop room ( not bring ) two computer main floor . room king bed decent sized room . everything clean bed comfortable . 23rd floor ( 24 floor ) never problem elevator i.e . elevator quick never wait long . minor complaint might hotel tall narrow , floor 6 room cluster around elevator . therefore , first night could hear person come elevator , get room , etc . put towel along bottom door follow night seem help . think excellent value New York City ( pay $ 190 CAD per night , plus tax prepaid rate ) . area south Times Square , convenient close Times Square . also , close Penn Station easy get to / from Newark Airport train . ( slightly ) quieter street close two different subway line . 
 Oct 8 2009 	 nice hotel room close overnight parking good price 	 room stylish , clean , quiet . bed super comfortable , staff helpful recommend restaurant within walking distance . park rent mini - van enclose garage 2 block away . parking validation front desk get we reduce parking rate . day neighborhood colorful - flower vendor everywhere . night little nervous . flower vendor go open restaurant business anything hotel 's block . appear thing rehabbe around imagine barren block change time , probably drive room price . $ 200 pleased . taxicab easy get right front hotel . 
 Oct 8 2009 	 girl getaway weekend chelsea 	 2 friend stay Hilton Chelsea one night . accomodation clean= 2 queen size ample room 3 friend , , bed comfortable , offer smoke non smoking , breakfast include satisfactory agree we , however toaster not work bit wait use ( big deal book ) staff helpful , neighborhood cool , many great little restuarant / bar place within walk distance conveniently locate subway go downtown ( thought see 2 rat subway platform make break ... always know , never see daylight ! cruise around ) stay Times Square past two time , comparison , doubletree bit spacious , like crowd hustle bustle right outside door hotel , well location stay . go location easy access Little Italy . 
 Oct 8 2009 	 notch great value 	 hotel Midtown Manhattan superb value . even though & quot ; poor cousin & quot ; Hilton family , still quite good standard , notch would expect price point ( repeat : Manhattan ) .Some reviewer say 's & quot ; beat track & quot ; ... well , Manhattan huge wherever , thing far away . three four block Empire State Building , Madison Square Garden , Macy 's , walk distance Times Square sound & quot ; beat track & quot ; ! stay three night end September 2009 . land review TripAdvisor not regret . book directly HGI website . price high - rise ( & quot ; city view & quot ; ) room initially somewhere around $ 160 - 180 think , already great value . ready book , suddenly get even well deal screen , end pay little $ 110 night advance - purchase , no - refund deal ! anyway , think $ 180 would hard find something well Manhattan . staff pleasant helpful . breakfast good ( contrary reviewer , breakfast hotel would recommend , be worth ) . room good size , air conditioning bit noisy sometimes chilly , switch . fantastic Aeron - type chair , flat tv , cable service HBO . complimentary internet reception , wireless room . tiny little gym ( open 24h , unsupervised ) three four cardio machine , weight swiss ball . charge , find pleasant . yes , need cab subway ride ( key line doorstep ) go Central Park , Soho , Wall Street , Harlem , wherever head . place would need ride Times Square , Empire State building , Macy 's Madison Square garden , near hotel ! oh , elevator issue reviewer mention . true . one narrow tall building , two elevator : morning checkout time may wait good . 
 Oct 6 2009 	 good hotel Chelsea 	 stay hotel 5 night . little beat path close couple subway station location still ok . not realize Empire State Building visible intersection 28th 6th Avenue near hotel look one evening . check quick efficient store luggage check . room clean refrigerator microwave useful store fruit milk heating restaurant leftover . complimentary computer internet access appreciate . reason , not receive complimentary newspaper last two morning stay . nice paper read end day . 
 oct 2 2009 	 could not better PERFECT HOTEL 	 wonderfull hotel 4 night . we welcome perfectly , room ready 1 hour check - in time.everybody friendly ! not eat breakfast lunch hotel , can not say anything that . the room small , double bed , micro - wave - fidge , flatscreen - etc ... room clean beautifull . Wifi not always work iphone . you reset phone setting time time work ... strange , work .. New york great hotel perfect ! 
 Sep 30 2009 	 Pre - pay get great NYC Value . 	 Hilton Garden Inn Chelsea disappoint . room typical NYC size , feel cramp . room clean comfy . shower strong water pressure , flet great sore muscle . love pillow . tv challenge work - use much NYC : ) easy safe walk touristy place subway station go local hang . WiFi work we , able use Business Center computer print boarding pass . also , bring car - busy area day local transport get anywhere need go . overall great stay low price touristy area . highly recommend . 
 Sep 27 2009 	 right week NY 	 hotel perfectly locate zipping around Manhattan . we find able walk part town . area directly around hotel not prettiest , seem construction least two hotel along block 28th street not noisy , flower shop line street daytime quite charming . location wise , Times Square 10 min walk away , Greenwich take 25 min walk . the room spotless quite spacious ny . mini fridge microwave enormous flatscreen tv . bathroom bath overhead shower . Neutrogena toiletry supply : shampoo , conditioner , body moisturiser mouthwash . view 19th floor room great ( although not landmark see particular room ) . noise hear distant siren NY city people come back room door quite noisy / clunky shut . also get free newspaper deliver room every morning . the bar overprice bottled beer cost $ 9 ! ! breakfast good , overprice $ 16.95 . 's Starbucks around corner Whole Foods load gorgeous food take home dinner breakfast - 's simple eat elsewhere . the staff great professional yet welcoming . business centre also good two computer fax printer . I would definitely stay . 
 Sep 26 2009 	 great place stay 	 stay room two queensize bed . need amenity ( + more ! ) clean superbly every day . general stuff experience : - location great ! subway station street . 28th street bit quiter one close Times Square , really nice dive sea people frontdoor hotel ! - Business Center two computer printer nice , occupied time go out / come back hotel , want check something online , well early morning- elevator story . 2 elevator , occupy morning hour people usually wake . would wait 5 minute get sometimes ( sometimes walk emergency stair ) - staff friendly helpful ( thank Malcolm ! ) first trip NYC , last . will definately consider come hotel ! 
 Sep 26 2009 	 great value service good location 	 hotel really clean tidy , great service staff . breakfast good always great service team run dining room . the rate really good . locate Chelsea fringe , Flower district , really easy get anywhere want go wither foot Subway . the internet free free printing well - not get else stay East Coast . would stayed return new York book . 
 Sep 23 2009 	 lovely reliable place return home NYC 	 good size room ( 603 ) large comfortable bed . plenty side space bathroom , bath fine , shower fine . view window across street good sun light blosking blind . Aircon abit loud clean good tv . fridge big plus cereal ! get cutlery breakfast buffet- not mind . clean staff lovely . staff great- helpful friendly . computer suite great printing boarding pass etc . gym good towel water . reception like oasis city . flower district great see manhatten foot subway corner . great place breakfast ( take 2 right hotel corner- wholefood 7 coffee ! 
 Sep 17 2009 	 great hotel even well staff ! ! ! ! 	 recently stay one night great experience . staff could not accomodate . room good size NYC large tv comfy bed . area hotel not great look at- lot construction go outside . hotel wonderful though good price ny . definitely come back ! ! ! ! 
 Sep 11 2009 	 modern new hotel great location affordable price 	 love stay Hilton Garden Inn 5 night first trip New York City . hotel easy find , short stroll Penn Station , also subway stop metre away corner 28th 7th . location convenient allow we catch subway uptown downtown ( 2 stop Times Square ) . also get taxi cab couple time real easy . small hotel , look brand new . new clean , feel safe . check easy , staff provide advice see . small restaurant bar not visit look nice . Breakfast purchase . style hotel modern business orientate , business centre also internet access room . room also microwave fridge . room not big perfect sleeping ! big king size bed , lovely bathroom . also fitness centre free bottled water , hotel street wholesale flower shop , really much see . not walk around check neighbourhood , mcdonald one corner , starbuck another , also convenience store . 6th 7th ave many cafe , shop restaurant . really enjoy stay would recommend other look central location explore new york city . also go red double decker bus great downtown loop . 
 Sep 9 2009 	 Nice Hotel 	 stay hotel 3 day first week September . visit New York leisure 2 chid we . well locate , close subway walk distance Macy 's Empire State building . room clean small specially travel kid . overall satisfied recommend . 
 Sep 9 2009 	 friendly helpful accommodate staff possible 	 say enough staff hotel . never busy assist we many travel question , etc . go way many way large hotel would even consider . work - out room fantastic breakfast delicious plentiful . room adequate , two queen bed , large screen tv , micro , frig , etc . heart Manhattan , subway away many site landmark . plenty good restaurant , especially Waldy 's Pizza . Phantom Opera box seat $ 65 terrific - need pay $ 121 good seat . would see . free WiFi room bonus . 
 Sep 7 2009 	 can not go wrong - not go cheap 	 good * staff professional ( greeting , help advice , politeness ) . someone on - site could give hand direction tourist attraction , nearest supermarket stock fridge . send Whole Foods , wich real supermarket deli , sell organic food . professional Hilton have stay , include fancy one minibar . pantry sell soup need latenight hot snack , lot deli 's food place ( eg mustang sally ) near . * room spotless clean , soft carpet well decorate stylish light good atmosphere , big enough bag . would not call small two people , bathroom adequate size cramp big hollywood mirror across room seperate airing . * WiFi never really use : UTP cable wire internet large desk comfy chair plenty do not need password anything , fuss . spotless , responsive fast enough use Skype call home decent call quality . * location fabulous : taxi ride Kennedy airport be not overly long ( 35 - 45mins ) , soon leave hotel turn right will find subway line 1 corner block . line take good stuff like Times Square ( wich 2 stop , 5minute ride ) . Empire State building really really close , although get staff advise cloudy actually see anything top . mean foggy view spectacular . really Chelsea & quot ; flower district & quot ; , flower shop around , right ' Fashion Avenue ' . probably well smell area NYC . * tv way much channel , guess tv freak that s good thing would not even know wich hundred choose . * everything like tub tv shower airco work perfectly , single malfunction item * bed soft clean well . clean service seem friendly . * get ill lady bar guy behind front desk give complimentary drink try help . not try squeeze money like many place would . , genuinely concern well - be guest . * help set arrangement New York Greeter make process swift troublefree . the bad * thin wall , especially there s party three crash next will hear every word , every laugh every scream . however , think go many new york hotel , hotel seem try schedule non - adjoining room whenever possible . * be schedule elevator painfully slow . , general New York hotel problem figure . * floor ice machine . ( eg 10th ) direction floor . ice machine also offer vendor nightly soda 's drink . floor either . * misunderstand checkout . ( however nothing bill , suggest pre - pay like hotel confirm charge add creditcard read review . ) basically bring bag may accidentally check realize say anything it . can not comment * breakfastI would definately stay hotel next time ' m New York get cheap can not get well . combination like luxury motel : freedom meal microwave / fridge , none pushy - ness fancy hotel yet help professionalism hope find fancy place , luxury range fancy seat lobby well decorate room . tell could also print business center free , never use . highly recommene despite little annoyance . tip : * book month early pre - pay . save lot hassle get good price . * not take bus JFK airport , guy sell dishonest claim need buy return ticket allow . 's lie 's sell ticket , sure transportation bad . bite bullet take cab , safe get first hand info nyc be drive , cost 50 $ + tip they re happy 60 . be use NYC consider take public transportation do not lot bag . take cab back , will not sorry pay get properly without drop zillion other precious time NY . 
 Sep 1 2009 	 careful 	 stay hotel 1 night . hotel really nice - clean comfortable . Breakfast delicious ! problem charge 3 time ! per stay .. -sic ! little bit angry see credit card history . , careful .. 
 Aug 30 2009 	 great place come back busy day ! 	 book great deal travelocity airfare / hotel Buffalo LaGuardia , stay Hilton Garden Inn Chelsea . great choice turn . booked took & quot ; room select check & quot ; option little worried . however , arrive 1:00 p.m. greet friendly receptionist give we beautiful room 2 Queen bed 23rd floor . hot day , cool air condition room feel wonderful make use fridge microwave stay . everything spotless lot towel toiletry . bed comfortable lot pillow . bring laptop WiFi work great - handy look thing evening . problem elevator . the location hotel perfect we close 6th Ave Broadway subway line ( use ) well 7th Ave line . also middle place want visit - Uptown ( Central Park , Rockefeller Centre , 5th Avenue , Letterman show ) Downtown ( Brooklyn Bridge , Southstreet Seaport , Battery Park , Staten Island Ferry , SOHO , Canal Street ) .For us - great hotel everything need , away craziness Times Square , close everything via subway . exceed expectation . can not wait come back NYC day ! 
 Aug 26 2009 	 great Stay ! 	 postive aspect last thing want worry hotel staying vacation . overall hotel meet expectation include service , cleanliness , courteous staff . also within walking distance many NYC attraction . would stay , minor thing consider book : WiFi reliable ; elevator slow peek checkout time ; bar pantry extremely price . $ 10 cocktail and/or $ 2 bag potato chip ; patio chair table enjoy hotel , able rest inside . manager purchase drink mean address issue concern WiFi . 
 Aug 18 2009 	 Excellent Service clean 	 first time stay New York sure far everything get around staff helpful , everything within walking distance subway right beside hotel . place eat right across street . room clean everyone friendly breakfast buffet great $ 14.95 . great stay would go back second . 
 Aug 13 2009 	 great convenient hotel ! ! 	 come home today 6 night stay 2 family Hilton Garden Inn Chelsea . wonderful little boutique hotel , great location . one block away direction 2 convenient subway line . clean quiet hotel . irene Mikhail great , other mention . would recommend anyone . much well quieter stay Times Square ! pretty new hotel , facility excellent shape . problem showerhead first night check , someone came immediately fix . toto toilet , flush well ... ; - ) comfortable bed , nice flat screen tv . one thing like good hotel room nice space closet / wardrobe could stash 2 check - in sized bag ( 26 & quot ; ) stay . handy ! 2 able stash desk . free wi - fi great ! nice pay top room stay - work like charm , first time , problem connect . powerful A / c - not particularly quiet , not rattle , ok . room face front hotel , look onto construction project across street , not noisy . 
 Aug 11 2009 	 great hotel . well worth look . 	 came book hotel New York trip , decide realistic spend bit cash get something half decent . afterall , NYC exhaust 's nice come back decent hotel . see one course check review tripadvisor pretty decent . fair , impressed . hotel central . easily walk Empire State Building five minute . also three different subway stops street get around city could not easy . hotel west 28th street perfectly safe . never see anything anyone dodgy hour . arrive around 3 pm , room not ready take bag go little wander around get bearing . return around hour later , could get room . 14th floor ( Room 1402 ) nice size . also quiet ( ' m extremely light sleeper problem ) . aircon work perfectly . room also fridge ( minibar , fridge plenty room put stuff ) microwave . also coffee maker coffee pack replenish every day room service . probably good bit though tv . really good selection channel ( two hundred ) include quite HD . nice exhausting day sightseeing able come back watch film even BBC America . one thing worth mention : business centre . little room reception two pc printer copi . really handy checking email , opening time museum etc not particularly busy . infact one night want use 1 am guy reception quite happy open . also fitness centre not use . 
 Aug 10 2009 	 comfortable clean new nice neighbourhood 	 excellent hotel people want good standard room reasonably sized room without pay top rate big name hotel charge . last year end chance Hilton Garden Inn Yakima , WA pleasantly surprise standard room breakfast . wonder pleasant experience would repeat New York , find difficult city term hotel . reviews Tripadvisor promising , fortunately turn accurate . 's rather new building , everything look nice , clean , good shape . room quite large NYC standard , bed comfortable , aircon effective noisy , shower sufficiently spacious god temperature pressure . room one top floor ( 25th ) give nice view towards downtown Manhatten . hardly street noise , noise neighbours corridor . case 8 room floor , corridor never get busy . I also pre - booked breakfast hotel ( delicious Yakima reviewer also seem enjoy Chelsea hotel ) , fully meet expectation . egg cook order way like , chef also demand french toast . pancakes pre - cooked day stay pity taste well completely fresh . make one suggestion hotel , would probably it . finally elevator , cause trouble reviewer . 3 day stay elevator work fine maybe total go room 10 time . wait bit long ( 5 minute ) ; time elevator arrive 1 2 minute . see however situation totally different one elevator break , trust management everything maintain properly avoid trouble . I will definately stay hotel ' m next New York , take pre - booked breakfast 's excellent value money . 
 Aug 4 2009 	 warning -- receive terrible rash mite ! 	 suppose room 2 double give queen instead ask roll away bed . one night cover terrible red rash small , itchy bite show management ask extra bed remove . not linen change second day granddaughter infest bite . hotel management ignore complaint insist problem although treat ER upon return physician write letter state reaction mite either bed carpet . solution offer we two free soft drink trail mix ! ! 
 Jul 31 2009 	 pleasant surprise .... 	 daughter really enjoy stay Hilton Garden - Chelsea whirlwind visit NYC . locate flower district quiet . staff , especially Irene Mikal , amazing ! room normal sized ( NYC standard ) clean . breakfast hotel good include price room . we like metro 1/2 block away could get anywhere Manhattan rather quickly . definitely stay . 
 Jul 21 2009 	 good value ... 	 Booked hotel base review - disappointed . original booking price ( Hilton website ) $ 275 one night / twin room breakfast - careful weekly checking manage get $ 190 include breakfast , two free drink bar $ 5 voucher spend & quot ; pantry & quot ; . exceptional value . room modern fairly spacious quality linen towel . free wi - fi room . w 28th St mainly fill flower shop like ok area . despite Mother late 70 's far walk Times Square ( rain ! ! ! ! ) . staff hotel could not helpful breakfast excellent - freshly cook order good selection . highly recommend . 
 Jul 20 2009 	 great place stay great price 	 not overlook place . recently pre - pay $ 140 / night great deal NY . deal low $ 149 / night see . bad hotel would nornally run $ 300+/night . great location- less 1 block subway , 3 block Penn station , 5 block Empire State Building , 6 Blocks Times Sq . Room immaculate , great bed , bed pillow . staff nice , fresh cookie certain times day . quiet . room cozy US standard , average NY city standard . 
 Jul 20 2009 	 clean Close everything ! 	 nice hotel people want see sight NYC . walkied major attaction like Times Square , Macy 's even Battery Park . although several mile . would definately stay . 
 Jul 18 2009 	 Boutique style hotel - great location international traveller 	 arrive 4th July celebration Amtrak Philadelphia . short 3 block walk Penn Station . great location fresh . staff excellent - husband whole range golf purchase arrive ebay . purchase receive - prior arrival store safely . room whilst small clean , new modern . bathroom nice . definitely stay , Subway end block . 5 block Macy 's . excellent value money . breakfast package lovely surprise - generous . free wifi . 
 Jul 17 2009 	 bit disorganise otherwise fine 	 arrive late ( early ) miss connection JFK ; book hotel HH Honors Desk ( actually think one tribeca ) .It take check - in due discrepancy rate quote versus one card ; due computer malfunction lead give we key occupy room ( ' m sure people room surprise open door 12:00 ) .Seems like would excellent hotel price solo business traveler , couple . already - small room become impassible roll - a - way bring accommodate son ( occupy - room incident , leave King room ) .The tv standard - issue cable box high def channel rather & quot ; hotel cable & quot ; thing important . sleep late breakfast , nice know offer . the bathroom clean well - stock . 
 Jul 15 2009 	 good standard price hotel convenient location 	 stay early june 2009 . pay roughly £ 150 per night , quite reasonable 4 star new york . good location . short tube ride 15 minute walk Times Square . Hotel locate Flower district , rather Chelsea proper tube stop 200 yard away . good quality hotel without anything flash . room pretty small clean , tidy everything need . hotel seem bit cramp , start reception not cause issue guess New York ! ! service also good . if good quality without anything plush reasonable price be look good option 
 Jul 14 2009 	 Positive Reviews Substantiated 	 spend four night HGI / Chelsea . review prior book mark . spotless room , competent staff great location . & quot ; well - oil machine , will . & quot ; one thing really stand quite hotel . always take ear plug much trouble sleep hotel . not really need . reserve king city view . space tight efficiently arrange . really not spend lot time room except sleep , morning coffee read paper heading explore city . 
 Jul 11 2009 	 Fantastic Hotel Friendly Staff 	 partner stay hotel NY Pride weekend pleasantly surprise great hotel . rate reasonable , room exceptionally clean cozy bed , staff courteous professional . without doubt , always stay future trip Chelsea , NY . 
 Jul 7 2009 	 brilliant hotel 	 stay daughter find service fantastic . staff lovey good . clean room spotless ..... bed sheet completly change every day ! ! ! 
 Jun 28 2009 	 nice 	 stay 2 night , friendly staff , room bit small 2 double bed nice furniture bed . morning bit noisy traffic overall great . 
 Jun 28 2009 	 good area price point 	 spend past five week stay different hotel Penn Station / Madison Square Garden area . ' m travel business want stay Manhattan within short walk Penn Station could catch LIRR Long Island . Hilton Garden Inn Chelsea 28th rank first five hotels.1 ) Hilton Garden Inn ( 121 W 28th St ) 2 ) Wyndham Garden ( 341 W 36th ) 3 ) Hilton Garden Inn ( 63 W 35th St ) 4 ) Hampton Inn ( 116 w 31st St ) 5 ) New Yorker ( 481 8th ) location space other . fridge , microwave HDTV ( HGI location ) . one option really stand Time Warner HD Cable . literally hundreds channel dozen HBO Showtime channel . while may high end hotel NY , will really search find one price range . will keep hotel top list next visit . 
 Jun 26 2009 	 service STINKS tv not work not care 	 stay . service stink not care . we one night- tv work could care less . the front desk rude wife . this place terrible = stay . 
 Jun 23 2009 	 Enjoy . definitely Better Competition ! 	 stay October 2008 . happy experience . stay chance -- send one night hotel reserve ( four point Sheraton Manhattan Chelsea ) overbooke night arrive . give chance compare hotel , prefer Hilton hand - down . do not give Sheraton money . everything Hilton well . room clean , new , well appoint . hotel lobby public area polish . hotel staff professional , manner reception desk way dress . everything one night superior follow two night spend Sheraton . believe room rate similar . favor stay be look affordable slightly luxurious option in / near Chelsea . 
 Jun 23 2009 	 Great Location ! ! ! clean 	 state , want fault hotel anything , would pick detail . location great . central many major site . also 2 subway stop close . many option meal & amp ; drink 7th Ave 6 - 10 block south 6th Ave . hotel clean , staff nice well informed & amp ; helpful . room bite small bed great free wi - fi flat screen t.v . 's . turn service awesome & amp ; honest . left money & amp ; /or electronics & amp ; nothing steal . breakfast o.k . , $ 14.95 venture city NYC . business center nice quick e - mail update forget laptop . small gym 2 treadmill & amp ; 2 elipse machine small collection free weight ( COMPLIMENTARY WATER & amp ; TOWELS ) . , location , location , location . block Empire State Building , get tour bus major sight / attraction . nice bonus beautiful sight flower greenery right outside hotel ! smell wonderful , helpful mask many smell bustle NYC.Overall hotel nice . would definitely stay business MidTown NYC . 
 Jun 23 2009 	 great value money 	 husband stay hotel week may really hppy choice . first , room clean comfortable , especially bed . , people friendly helpful . book " romance package " , include magnificent breakfast possibility early check - in provide room available . arrive 9 morning could go straight room ! also , location convenient . good starting point whichever part town want visit subway stop metre away . also free wireless internet connection room . recommend . 
 Jun 22 2009 	 Excellent stay whole family 	 stay 10 night family four 10 - year old . location pretty central subway station within 2 minute , good restaurant nearby . restaturant nice Bar amazing , almost all - include brekfest good service . room big , cozy , clean huge tv - channel selection . hotel also good gym business room print ability . ride airport arrange hotel oo value money also ! 
 Jun 20 2009 	 great hotel so - so location 	 Set heart Flower District , hotel gem . service great room large clean . drawback : hotel full - service restaurant . great breakfast buffet dinner , offer take service , fine . also , right around hotel , many restaurant option . locate 6th 7th , close 6th . walk 7th anything even close meal . area , 6th ' seem restaurant . 7th far , little inconvenient tired sightseeing travel . 
 Jun 18 2009 	 Great Place stay ny 	 Whilst & quot ; fashionable & quot ; part town , hotel well locate get around city ( block Empire State ) . also close subway station . immediate area around hotel seem safe walk around already feel likely quickly grow bustle tourist area , new hotel already construction . lobby area fairly uninspire , comfortable . also benefit small business centre , free access computer , internet , printer etc . room little small , clean comfortable ( especially bed ! ) . complete air conditioning , flat screen tv , fridge , hairdryer , wi - fi etc .. everything need hard day city . the hotel small bar area breakfast/ dining area . buffet breakfast excellent ( cereal , fruit , toast , pastry , pancake variety hot food ( incl . eggs & amp ; omelete cook order ) .The staff exceptional . nothing much trouble . particularly find Reception , bar catering/ waiting staff brilliant ( knowledgeable ) , highly recommended . 
 Jun 16 2009 	 could not fault Hotel ! 	 perfectly honest , find something wrong hotel , have picky ! room amazing , really nice , little small 4 girl could complain ! location good , far lot attraction . look google street view whatever , do not let view street put ! staff fabulous , happy anything ask - luggage , take picture whatever want . really chatty too . if lucky enough , could even get view Empire State Building room back building - unfortunately , not one . traffic noise either ( 14th floor however ! ) , would definately stay again . free internet , downside complimentary breakfast , say ' m picky ! 
 Jun 14 2009 	 reasonable hotel short stay . 	 stay one night , get good deal Priceline . hotel 28th St near 6th Ave , block much scaffold unattractive store front . the hotel small nice lobby . room 200 sq ft , small bathroom usual small bottle good towel . clean , furniture rug presentable . bed new soft fluffy top . staff pleasant accommodate , give we 2 double bed request . extra blanket call bring short time . eat there . while hotel unattractive area room small side , reasonable short stay good rate . 
