big 	 stay 8 - year - old visit family . room much large cheap NYC hotel stay . 's old elegant way . room move around , everything place . son keep talk soft bed rest trip . not want leave , complain switch hotel later week . next hotel much small expensive . Roger Smith clean , sheet towel new . will book ahead next time stay . 's close Grand central train station . 
 great location staff restaurant elegant room ! 	 ' location , location , location ( mid - town , east - side New York ) . Roger Smith also reliable , warm - hearted , responsive , professional staff . test sport bar please appetizer ( include smoke fish ) entrée ( wild mushroom risotto ) dessert ( apple tart á la mode brownie á la mode , perfect splitting sharing ) . also test restaurant breakfast please extra touch raisin brown sugar accompany oatmeal . we need stay room equipment disabled person impress junior suite ' elegance perfection . include sofa easy chair two flat screen tv , one big one living area , handy mini - kitchen - in - a - french Provincial free standing closet refrigerator , microwave , white china coffee tea amenity . plant — imagine this — be alive healthy book read nook well dust appealing . need Wi - Fi password . bedroom comfortable , , king size bed comforter — also small flat screen tv . bathroom big New York bedroom , glass - wall marble shower could accommodate roll - wheelchair . unfailingly courteous attention staff even round extra wheelchair us use , Kucuk G. Bag , front office manager outstanding crew . look forward return ! 
 Oct 26 2009 	 nice hotel fantastic staff 	 Roger Smith hotel great location , nice accomodation , well great staff . staff include Kucuk Bag , Rafeal , Manny , Randy , Mark excellent . make we feel right home .. 
 Oct 20 2009 	 Amazing Location 	 stay Roger Smith 4 night 1 year anniversary . first , staff fantastic extremely helpful . build old room , comfortable cleaning staff clean room every day . honestly go New York first time follow budget far good hotel city . plus location unbelievable price pay ... 5 min max . Grand Central Station , 15 min max . Times Square . subway 51st street 4 block away . hundred coffee shop , eatery anything could think around . another great asset fact offer free computer lobby check e - mail , also tourist nook great . lobby hundred map flyer anyone familiar city . we would definitely return . 
 oct 8 2009 	 funky comfortable quality ! 	 week NYC son 's choir perform Carnegie Hall . Roger Smith corner junior suite spacious comfortable , flair originality chain never provide . perfect us elderly aunt come Staten Island use sofa bed one night , son join we group leave ... not charge & quot ; per person & quot ; fee like many hotel NYC . original art sculpture lobby give artsy feel -- Joel ( son ) say much prefer steel glass Grand Hyatt street ! 's easy walk Grand Central 51st / Lexington Ave , , rest city . even though be right Lexington Avenue , really not loud . tv need update , see part charm . , bathroom miniscule , functional . despite , would stay . old , nicely appoint room make we feel home , iMacs lobby frost cake . check ! 
 Oct 8 2009 	 beautiful hotel great service great location GREAT value ! 	 location place wonderful - right middle NYC - make convenient go anywhere would like . Grand Central walking distance , even 2 bus stops street be lazy walk . service staff exceptional ! courteous , prompt , make much effort make sure stay nice . definitely GO - back ! : ) 
 oct 2 2009 	 good value money 	 normally go hotel travel budget less expensive hotel get superb location big clean roomdecor classic personally hate that s ( old tv bathroom , plenty flower courtain etc ) anyway NYC really spend little time room good bed clean bath room must hotel performsit old property well mantaine locate get good price go go wrong2 apple computer lobby free good spanish speaker front desk clerksa lot value good 3 star hotel 
 oct 1 2009 	 Value comfort find 	 Ritz Carton , NYC , be excellent hotel great value . room large ( include bathroom ) , clean . location can not beat 47th Lexington . walk 5th Ave shopping get subway block away . hotel always much well price anywhere else . past stay , price 60 % everyone else charge . 
 oct 1 2009 	 Front desk guy call Randy deal check treat absolutely respect civility . 	 hotel okay , decent size NYC room clean . AC loud room little musty , overall alright . totally put complete rudeness man call Randy check . absolutely shock Manhattan busy last weekend would walk right hotel go somewhere else . still amazed way speak deal place spend excess 300 usd per night . owner hotel really word guy absolute pig . shame really staff pretty nice people . 
 Sep 18 2009 	 Suite room perfect long stay and/or group 	 5 we recently stay book king suite jnr suite 9 night . king suite much space become ' base camp ' stay - place rendezvous morning pre dinner drink evening ( keep bar fridge well stock beer etc ) . single room small - much live space really not problem . yes decor little tired , everything spotlessly clean beat location look easy access mid town sight . free internet access lobby another bonus ( many hotel offer free wifi day - helpful leave laptop home . ) would definitely stay travel group / extend trip ( live space become important ! ) 
 Sep 14 2009 	 Exceptional Value Fantastic Location 	 return two night hotel can not say enough good thing . lucky enough upgrade junior full suite , complete kitchenette - come handy keep carton milk couple pack cereal early waker . bed comfy , room well appoint , staff beyond friendly helpful . find hotel breakfast menu less expensive diner next door much well interior decoration . location great , easy walk several different train line , north park , west Times Square . not think would check anywhere else next trip city . 
 Sep 11 2009 	 good deal . good deal . good deal ! 	 find room Roger Smith hotel locate Lexington Avenue 47/48 St $ 160 hotels.com . price location , be amazing deal ! 's extremely rare will find room right midtown area low price . room not small either . book 2 queen bed room could walk comfortably without run thing . also like fact two computer lobby we guest use . bathroom also pretty big NYC standard . though , one thing bed . make noise twist turn . ' m sure not happen every room . bottom line , see good deal Roger Smith , go ! not doubt be go bad becuase 's cheap . worth price ! 
 Sep 9 2009 	 ok hotel ! ! ! ! 	 stay Roger Smith last two night 23 day road trip San Fran New York . originally book twin room , arrive upgrade suite nice large little old decor side please room- problem double bed sofa bed rather two twin - problem two guy rough it . location good right Grand central station ( 10 min walk ) , also free internet available reception . this sound good ! bad mark come trip ! check credit card bill return charge $ 4 not point check , fact tell account clear ! $ 4 not point feel really let place especially since email hotel query yet reply - deceitful country can not query honest worth - imagine every foreign tourist stay - soon rack . record have'nt get clue charge - did'nt go near mini bar snack available - know ! like say decent place NY long check bill credit card statement will fine 
 Sep 8 2009 	 song say '' You´re Tops '' 	 12 day Oct / Nov 2008 10 family member find hotel good 2nd none staff & amp ; management return year 6days daughter Grand - daughter . once full mark GR8 round value , GR8 location friendly , helpfull staff .. big thankyou kindness . HIGHLY RECOMMEND EXCELLENTLY PRICED HOTEL TOP MID TOWN MANHATTAN LOCATION .THANKYOU . 
 Sep 7 2009 	 ` ` nothing perfect hotel come close . '' 	 NYC hotel room , enormous . wonderful bedding . nice big bathroom , fabulous bathroom amentitie . big window , nice view . maybe decor would consider quaint Gen - X'er , anyone 45 , woman , would appreciate gracious , restful , quiet perfect complement bustle NYC . good air - conditioning . hotel elevator fast , efficient , unlike elevator many comparable hotel . unanticipated charge bill . ask receive ( though tad grudgingly ) late check , hotel restaurant fantastic -- also rare comparable hotel . criticism radiator bathroom not dust since last paint , ever . , everything nice clean . 
 Sep 1 2009 	 excellent location value 	 wife teenage daughter stay three night room two double spacious comfortable bed . staff helpful location could not fault . gratify room quality price still available centre Manhattan . 
 Aug 23 2009 	 Nice hotel good price 	 Near Broadway Central Park . Breakfast include . carpet old smell funny be ok . 's clean staff nice . 
 Aug 17 2009 	 Lovely Surprise 	 husband stay Roger Smith 5 night August . extremely surprised everything , service , everyone nice , food drink restaurant especially room . reserve superior queen room arrive upgrade one bedroom suite . always greet smile concierge cleaning staff well restaurant staff . location amazing , near major sight close Central Park 5th Avenue . 's also close subway station get Soho , Village Battery Park . live New York five year wonderful memory city . , thank great stay Roger Smith , able show husband , never , love New York , . definitely recommend hotel want quality comfort great value cozy atmosphere . 
 Jul 30 2009 	 room family 5 	 really struggle find many place accomodate family 5 New York - Hotel ROger Smith great - good location ( could see Chrysler Building outside hotel ) really near fantastic Grand Central Station - awesome . we suite large en - suite double , large living room sofa bed rollaway plus little kitchen area crucially lot storage pushchair / luggage etc . it nice quiet , friendly find kid ( 11 , 8 noisy 3 year old ) 
 Jul 20 2009 	 scruffy comfortable central steal . 	 hotel large room , decidedly shabby date . process renovation , though , may well ? clean new pin service excellent , location central get . Minutes Empire State , Grand Central Public Library . would ideal family , less romance . get bargain , go - , not . rating base steal size , location cleanliness . 
 Jul 20 2009 	 Bring earplug 	 live great NYC area stay several hotel city , many midtown . would excite stay RSH look like something unique among NYC hotel ; photo review give artistic air class . unfortunately , build remotely suit noise reduction big complaint . stay near top hotel hear car horn single - pane window night long . ( traditional NYC hotel midtown whole . ' ve stay several other , include one 2 block away , concern . ) also , room door heavy set metal frame , every time another hotel guest close door , clang echo wall . too , temperature control ( 2 & quot ; wallbanger & quot ; unit ) leave something desire . ( high 85 outside day , doubt temperature dip 80 inside night . ) staff kind enough . visually , room fantastic - upon use , majority lamp work , one two tv 's cable ( bedroom , shoddy cable connection ) .my recommendation : grab drink bar ground floor ( drink bar staff great ) , not stay unless goal place take cool facebook photo . 's pretty look , not practical . stay , intend sleep , hit Duane Reade across street pay $ 6 earplug - 's smart stay one comparable hotel area . 
 Jul 10 2009 	 home away home big city 	 New Yorker , need stay hotel almost week . friend stay Roger Smith good thing say . book Jr Suite $ 167 / nite upon checkin upgraded ( idea , complain ! ) . wall lobby exhibit new artist rotate basis , interesting sculpture grace entry way . suite feel & quot ; homey & quot ; classy way , tasteful wallpaper , chinese vase lamp , large flat screen tv , ipod clock radio , dvd player tv ( inc one bedroom ) good towel / soft sheet . suite also little closet kitchenettes setup include plate / glass / mug / microwave / small fridge snack ( $ ) utensil . bed huge everything clean . service great room quiet well . stay somewhere else besides apartment , would stay . fact , wonder be take monthly lease ? ... 
 Jul 8 2009 	 cozy room ! 	 middle five - night stay , motivate write review early . check - in smooth . bellhop courteous give helpful " lie land " regard area surround hotel ( restaurant , parking , etc . ) . good part far though enter suite first night . room wonderful ! décor warm cozy . feel like home away home . relax room . would think kind comfort would costly , rate well rate surround chain hotel atmosphere personable . 
 Jul 4 2009 	 can not wait come back 	 team certainly look we ! room amazing , much space ! love quirky plug bath postal shoot . breakfast team ball make we feel really welcome . day breakfast live expectation particular favourite stack ! go Waldorf Astoria afternoon tea believe tell service hotel FAR SUPERIOR service experience there . it also good free wi - fi , something use UK . able check on - line flight make thing easy Newark 
 Jun 25 2009 	 Top Choice NYC 	 stay hotel one night quick trip family NYC . get corner room 9th floor , dvd player , LCD TV , book many language good bed . conveniently locate midtown , walk distance attraction . Roger Smith Hotel first choice next time go NYC . 
 Jun 21 2009 	 blow away ! 	 nervous initially book night Roger Smith . room inexpensive great location , expect bad . yet can not say enough good thing hotel ! staff incredibly friendly helpful . room adorable ! many unique touch ( live plant selection book nightstand ) feel right home . Lily 's , restaurant hotel , incredible food great price also wonderful customer service . can not imagine ever stay anywhere else ! 
 Jun 17 2009 	 Old Worn Shoe need repair 	 reading review , decide would good option one - night business trip leisure component reasonable price . Thought would like well - wear pajama weekend clothe -- comfortable clean -- anything . ever hear expression say & quot ; get pay ? & quot ; well , even price , overprice . on scale 1 & quot ; forget & quot ; 10 & quot ; loved & quot ; , would three ( 3 ) . three ( 3 ) one positive aspect hotel -- staff . front desk staff pleasant helpful . bell captain well . housekeep nice albeit respond request second call . 's positive end . here be scoop -- mold surround air conditioning unit ... peep hole surely peep hole -- could see everything hallway * * room ... peel paint , chip scratch wall ... telephone button call front desk work ... tv terrible -- everything cloudy people lovely & quot ; greenish & quot ; hue ... bathroom plug would * hold * hairdryer anything else ... light switch dirty ( include bathroom ) ... bathroom beyond worn surface anything clean ... curtain worthless term darken room could see everything light go ... light throughout room precluded reading , bathroom , makeup application . a people state fine one night . hardly one expect five - star hotel , would never stay even one night hotel vicinity -- dollar -- one could find much clean comfortable hotel . 
 Jun 16 2009 	 recommend hotel New York 	 room big clean . staff helpful location great . ( 10 minute time square ) definitely hotel ' take wife . 
 Jun 11 2009 	 good value city 	 lookign get away usual standard hotel give one try . boutique hotel great location nto far Grand Central . teh bst comfrotable room tehprice NYC . always stay adn base ont eh room give thio time always ask room . newly update bathrrom terrific . go teh junior suite extra dollar . well worrth thje extra . teh breakfast also great . 
 Jun 10 2009 	 not get well ! 	 Outstanding . start finish . location . hotel . art . staff - reservation , front desk , restaurant / bar , housekeeping , everyone else . super friendly staff ready , willing , able help ... ! misstep . room well do nicely maintain . public area equally well keep . restaurant / bar wonderful . hotel excellent service amenity well execute count . want something ? ask . might pleasantly surprised . ordinary hotel . already book upcoming trip stay Roger Smith Hotel . know exactly get : expect . 
 Jun 4 2009 	 Perfecto ! 	 Roger Smith provide quality room great food / drink well . room quiet top . good value . thank Mr. Smith ! 
 Jun 3 2009 	 Perfect sized hotel intimate atmosphere centrally locate N.Y 	 love Roger Smiths hotel ! room gorgeous huge bed relax sofa rest shopping ! Bathroom could tiny bit big ok . need .. ; - ) friendly helpful staff nice restaurant . feel like stay someone home , intimate cosy , well hotel ! definately come back next time visit US N.Y . 
 Jun 2 2009 	 great stay ! 	 could well stay visit New York . Roger Smith Hotel offer perfect location Manhattan , friendliest personnel , well - taste food heartiest breakfast menu ' ve ever see , comfortable room splendid service time day ! would surely recommend hotel anyone plan enjoy stay NYC ! 
 Jun 2 2009 	 excellent service 	 first impression feel beee & quot ; take care & quot ; arrive . meet smile door personal reception . the breakfast excellent , fresh juice good . my impression clean , familiar good service . would like visit Roger Smith Hotel would recommend friend visit hotel 
 May 31 2009 	 love ambience room friendly professional attitude staff 	 stay Roger Smith NYC . close one get intimate hotel Europe . feel comfortable roomsand room different . 's fun try different room stay . stay least year . since live within drive range NYC , hardly ever stay hoteI NYC . stay Roger Smith & quot ; get away ! & quot ; recommend hotel well - travel friend . 
 may 29 2009 	 Glad pick Roger Smith Hotel 	 great stay . great location , relatively inexpensive clean . also wonderful little restaurant affordable . end eat three time 4 day stay ! also good art installation hotel ' . 
 May 29 2009 	 Awesome location great Art gallary great bar Lily 's 	 love hotel .. get home feel middle big apple . love Art Gallery bottom floor . Lily 's great bar / restaurant . Great Food Great staff . also hotel groom type business conference . also hotel stone throw e Lexington Grand Central . come back NYC , definitely stay Roger Smith Hotel . 
 May 29 2009 	 home away home . 	 Roger Smith Hotel hotel stay NYC . rate reasonable room oversize ( suit big apartment ! ) one feel like stay someone 's home . travel NYC every month moment walk door , instantly feel relaxed welcome . staff always remember start conversation leave , last time ! love do restaurant ! food creative flavorful team server happy accommodate . location Big Apple can not beat . totally recommend hotel business pleasure . end day , good feel walk hotel attitude want make sure comfortable roof . 
 May 29 2009 	 Perfect New York Getaway 	 spend Mother 's Day NY visit family , one relax stay ' ve ever New York . travel New York often , first stay Roger Smith . room spacious quiet . not need much attention , staff always helpful friendly . attend several Broadway show , enjoy short walk Times Square time . great breakfast morning restaurant , comfortable room , definitely stay Roger Smith future . 
 May 29 2009 	 great little hotel - feel like home 	 use Roger Smith countless time , parent , brother family , dear friend town . everyone great time can not wait return . hotel clean , comfortable , staff super friendly . Wish Roger Smith recommend every city ! 
 May 29 2009 	 great location boutique hotel heart city 	 nyc 4 day last week personal business find location convenient . within walking distance client meet park madison ave well grand central terminal . find staff helpful also enjoy atmosphere meet traveler downstairs bar . definitely recommend . 
 May 28 2009 	 like old hotel character 	 good family reunion hotel . stay suite treat , know old hotel kink . 
 May 27 2009 	 charming homey hotel ! 	 stay sister 3 night amazing time ! room spacious , bed super comfortable , staff welcome knowledgeable , could not ask . bar / restaurant hotel amazing food & amp ; drink 's great place go long day sight - seeing . hotel also locate near Grand Central , shop 5th Avenue , Times Square easy get around . would definitely go back heartbeat ! 
 May 22 2009 	 ABSOLUTELY disgusting ! stay ! call BOARD HEALTH ! ! ! ! ! ! ! ! ! ! ! ! ! ! 	 & quot ; Musty & quot ; smell everyone mention actually dead rat air vent . see eye unfortunately . stay 3 night get home , clothe still smell disgusting odor emit room . place filthy dirty mess . rug stink bathroom stink . staff rude obnoxious - even ask simple wake call . guess - not complain - yet major bad attitude . watch struggle door get luggage thru , one ( 5 five away nothing ) even bother reach hold damn door could get easy . bad experience life . stay . 
 may 20 2009 	 lovely little hotel 	 first visit New York stay Roger Smith daughter long weekend could not ' fault hotel . find staff extremely helpful , could not enough . room clean roomy . great location , close Grand Central Station , 15 minute walk Times Square Empire State Building . would definitely go back without hesitation . 
 May 19 2009 	 great hotel handy location . 	 first stop sister & amp ; overseas trip & amp ; pleasure lovely large room 2 comfortable bed charmingly furnish well equip bathroom . staff extremely friendly & amp ; helpful reception dining area . good location close shop , eatery & amp ; supermarket 1 block Grand Central Station . certainly recommend hotel family & amp ; friend would hesitation stay . 
 May 6 2009 	 nice small hotel great location 	 small nice hotel worth money ! want travel budget hotel choose . room small okay . location great ! hotel bit worn price pay understandable . serve free ( ! ) breakfast , okay . recommend hotel couple want spare money restaurant , Broadway shopping business traveler picky ... 
 Apr 22 2009 	 Great Hotel Restaurant ! ! 	 book suite face Lexington Avenue . room clean big . kitchenette livingroom separate bedroom . location hotel awesome . close Grand central station , Central Park , 5th Avenue shop , Bloomingdales subway ! ! lot eatery choose area . eat Lily 's , restaurant hotel food great . service hotel restaurant top notch . professional helpful . 
 Apr 11 2009 	 steal even full price 	 wife book Roger Smith Priceline one - night , mid - week stay . location ideal -- north Grand Central Station , heart midtown Manhattan . not expect modern upgrade , spacious hallway , flat - screen television . room clean , staff professional , pleasant - look lounge lobby . sixth floor , overlook Lexington Avenue -- terribly quiet , noisy street city . room come comfortable queen - size bed , two big chair would ideal curl good book rainy day , old - fashioned bathroom fixture ( include toilet classic , high - pressure flush ) , book - shelf book leave prior guest . need , trick . 
 Mar 25 2009 	 small cozy hotell among giant 	 Roger Smith Hotel locate Lexington Ave block Radisson hop away Waldorf Astoria etc . Roger Smith Hotel smallish , personal good service free wi - fi . our room surprisingly large nicely decorate . desk work , generous bed even floor space . there restaurant inhouse ( try ) ample opportunity breakfast around . starbuck next door . raffle breakfast - joint corner ( beware , take cash ) 24h Deli ATM across street . 
 Mar 23 2009 	 like Shower ? 	 arrive hotel find woman work desk extremely pleasant friendly . arrive 45 minute early get room right away . 14th floor do not bother . elevator little slow side hotel upon first enter clean . walk room basically sauna funny smell . window open open window air . room clean fairly large NYC hotel room nicely decorate . go take shower problem come . water trickle shower head . water come luke warm well stay way 5 minute go directly freeze . location wise not mind take subway times square area bad not really want take walk back forth , be really subway journey . would say rectify shower issue would definitely stay could not without shower problem fix cause walk around city business definitely want relax hot shower ! ! 
 Mar 20 2009 	 feel like home real 	 stay Roger smith hotel month something home me.the suite stay nice.the temperature room perfect winter time . interior design room pretty even use location photo shoot . view penthouse perfect . see chrysler building room . hotel locate midtown walk distance 5th ave , central park grand central.even day stay hotel day still fun hotel watch movie . many movie borrow front desk.and still computer use internet.also enjoy bar daytime night . all food Lily 's great . try pretty much everything menu love all.taste , quality service excellent.they beyond expectation.all staff super freindly eager help every way . Yamale Saif favorite . 
 Mar 17 2009 	 amazing hotel excellent location superb staff 	 friend recommend Roger Smith we , could pleasantly surprised . wonderful sculpture , metalwork mural around hotel ( do owner ) beautifully appoint room wonderfully friendly staff , nothing short exceptional . great location ! walk everything . 
 Mar 16 2009 	 stay want location wifi access hospitality . 	 Roger Smith Hotel NYC right next door swanky W InterContinental , great place , large cold big city like NY , ny . many NYC Hotels own operate family ? Roger Smith Hotel , local feel small town attitude , make stay feel comfortable easy . first , ' ve stay many hotel NYC , room size normal . bed A+ comfortable , really . also , never know may go , one time stay , hold live art show , people live view open street traffic . pretty interesting . also , ' ve hold meeting conference , bar none , staff professional , courteous helps support request . 
 Mar 16 2009 	 amazing food great service really hip . will back . 	 set reservation easy amenable . nothing much trouble , even change something last minute ( go take dog bring dog , example ) . room spotless . we dinner Lily 's , adjoining restaurant , ' ve least six time food always superb . really , really good food -- stay , meal Lily 's absolute must . the room great view , love waking morning . hear room hotel different , sound cool , know one girl stay , plus 2 other friend stay , similar style . with location , price , food , friendly staff , Roger Smith get first place check whenever overnight two Manhattan . 
 Mar 15 2009 	 would love go back ! 	 love stay . appreciate support art breakfast restaurant first rate . comfortable great location . find staff charming eager help . delighted hear one host ' great story share previous career opera stage New York Europe . 
 Mar 12 2009 	 Beautiful Room / Awesome Staff ! 	 girlfriend stay Roger Smith 2 night town celebrate birthday . staff friendly contrary review find service par . restaurant event go night seem get busy around happy hour lay back , well - dress crowd bar . great place spend weekend drink ! 
 Mar 11 2009 	 great alternative cooky - cutter room 	 stay Roger Smith many time . staff know treat great respect . yes bathroom little old fashioned , many beautiful granite floor wall - wonderful . suit luxurious one different - love . be great see unsightly scaffold finally ; great see crazy art corner gallery ; great enjoy friendly atmosphere pervade Lily 's Restaurant bar . 
 Mar 10 2009 	 feel like home midtown 	 be look Trendy New York not . room Roger Smith feel & quot ; southern b & amp ; b & quot ; & quot ; sleek boutique . & quot ; happen breath fresh air need month . ' ve frequent many moderately price boutique hotel midtown work ' ve overdose teeny room designer chocolate brown decor , obnoxious mini bar , confusing cable , oppressive comforter . begin feel like office home . Roger Smith feel like stay old relative right near Grand Central . , everyone need . look like someone decorate 1992 never come back- brass lamp , quilted coverlet , emerald green carpet drape , velvet armchair , secretary desk , old bathroom . coffee maker room , nice toilettrie . thing definitely date include tiny tv room HUGE New York free high - speed internet great . sort comfortable . 
 Mar 10 2009 	 great location nice room 	 group 4 2 different reservation . one group decide upgrade junior suite , half standard room . junior suite $ 40 night . turn get exactly room layout , one we either upgrade one downgrade . room 1104 1404.Decent location , everything adequate , especially beee New York . stay rate similar . ( $ 139 standard , $ 169 $ 179 junior suite ) . 
 Feb 24 2009 	 Great Location awful staff 	 first arrive ask front desk could check bag since check time , tell bell hop busy would help we soon could . well 20 minute later tell front desk , nothing laugh talk another employee get drunk , ever expect help stand close bell room , surround guest try get bag . FINALLY close 45 minute nothing front desk woman roll bag bell room . luckily not deal staff check . room mediocre , old style , mostly clean . 
 Jan 14 2009 	 Good Value 	 Roger Smith old hotel always seem remodel . elevator slow hotel overall show sign age . fortunately business meeting morning get otherwise would happy deal construction noise crew walk around window balcony 8:00am . , lot character feel quaint . suite large apartment NYC , staff friendly . location excellent mid - town walking distance everything . stay another hotel NYC recently agree price , Roger Smith good value . ' m rate high , stay refer friend family agree bit gem Manhattan . 
 Sep 7 2008 	 Charming tired 	 stayed enjoy happy book back . however quite live memory . fine line traditionally charming downright old fashion ! room 7th floor . bed comfortable room tidy clean . air condition ok either - temperature control - least could find . bathroom disaster : bath would drain away , shower feeble occasionally decide become scorch hot human intervention , sink plug would plug , toilet flush haphazardly , washing line break interesting smell gurgle overflow . staff pleasant location great - bathroom need good overhaul . 
 Aug 16 2008 	 good hotel Big Apple 	 book deluxe room three night ten day fly drive Mid - west . ny final destination fly back home . arrive early morning room ready yet , stroll around realise soon walk distance main tourist attraction ( first time NY ) : St Patrick 's , Rockfeller Centre , Times Square , Grand Station , Empire State Building . metro couple minute far , want walk . even hop - on hop - off stop nearby , luxurious Waldorf Astoria . deluxe room simply delighful , large spacious , everything need relax frenzy day crazy fascinating Manhattan . continental breakfast serve 2nd floor , hotel quite full tourist , may happen stand wait minute . breakfast good varied . reception work excellently , friendly professional . recommend , expecially visit NY first time want heart city . 
