good 	 enjoy stay excelsior , undergo renovation . offer upgrade renovate Jr Suite back hotel instead reservation regular King room face Museum . however , smell new furniture carpet problem spouse , ask move old room . people would happy renovated room , new tv , new furniture . unrenovated room nevertheless nice , spacious clean . although want view , end ' m happy not get . room back quiet , hardly street noise , sleep well comfortable bed . staff pleasant , nice breakfast buffet 2nd floor offer $ 12 per person , beautifully furnish room . the adjoining restaurant ( separate ownership ) nice bar lobby . the location excellent . lot taxi pass 81st west side 79th St roadway across Central Park . also subway downtown corner . a pleasant walk across Park Met Guggenheim , across street Natural History Museum Planetarium . many good neighborhood ( non touristy ) restaurant nearby . great shopping west Broadway ( , gear New Yorkers , tourist , plus ) .Prices excelsior seem reasonable comparison hotel close midtown . we would certainly go back . 
 shame well - locate hotel run - down dimly light grumpy staff boot . 	 stay four night Excelsior could ideal . endless wait crowd elevator ( one broken entire stay ) , whole $ 450 room single overhead light , door handle fall interior door , un - vacuumed hallway new carpet lay , unwelcome staff ( housekeeping except ) . place ripe full makeover ! 
 good marathon hotel - skip be town something else 	 like title say , run ING New York City Marathon pick hotel 2 reason : price 's proximity finish line . Disliking Times Square want stay . sure be close start line bus ( be assign one ) morning that s . move hotel : lobby small beautiful woodwork furniture outdate enough room sit . 2 couch 2 chair . room small clean well keep nice view . really like bathroom 's country charm . bed super comfy - important be run marathon- blanket cuddly . dislike : small light hallway peered door night : like sleep nightlight ! since door right next bed , hear other door open closing . overall , price , find well hotel NYC . ' m say 's terrible , ' m say be well . be run marathon , hotel ten block finish line appreciate get room relatively quickly chaos finish line . hotel price really climb marathon weekend appreciate 300 $ price tag . happy running ! see finish line ! ! 
 Oct 11 2009 	 Super location 	 Excelsior Hotel locate across street Museum Natural History ( remember movie & quot ; Night Museum ? & quot ; ) block Central Park , make easy walk park Metropolitan Museum . Quiet , neighborhood atmosphere . room pleasant surprise . clean , pretty decorative touch . comfy bed . recommend restaurant . bowl soup go theater look taste like warm water veggie toss . however , load nearby restaurant . & quot ; Fred 's & quot ; favorite 's delicious extremely reasonably price food . 
 oct 9 2009 	 home away home . 	 husband stay Excelsior Hotel every time go New York love ! room comfortable cozy . reserve park view room , will not disappoint . clear day literally see mile . front desk staff always helpful . bellhop however , . downside stay hotel . upgrade suite last time stay . location great ! & quot ; C & quot ; train step away 1 , 2 , 3 train couple block away . like say , feel like home away home . 
 oct 9 2009 	 great place stay New York City 	 stay Excelsior Hotel break New York City , please hotel . room good size New York , bed comfortable indeed , great night sleep every night much walk around city . lovely en suite bathroom bath tub shower , nicely decorate sweet style , suppose kind old - fashioned nice nonetheless , importantly , clean tidy , useable . little build wardrobe plenty hanger , pretty view onto little park opposite 81st Street . staff helpful bag , taxis information . take breakfast hotel one morning good value , could go back , cereal pastry toast , set library room relax . good place eat within short walking distance , favourite Sarabeth 's delicious breakfast / brunch . weekend craft market nearby Columbus Avenue great browse around . hotel short walk Central Park wander around quite bit . subway station end 81st Street tired can not walk way downtown . great hotel , quieter Upper West side location , clean comfortable , good link city . 
 Oct 8 2009 	 location location location 	 nice room next park great view .. 
 Oct 8 2009 	 great location 	 ' ve stay hotel twice enjoy stay . hotel within walk distance Central Park , subway station many local restaurant . love quaint feel hotel location residential area town . excellent hospitality . 
 Oct 5 2009 	 stay away unethical bait switch dump 	 dump pull total bait switch phone telling rate one thing ( let reserve rate credit card ! ) later hike 500 % tell take leave would make travel arrangement ! hotel manager think perfectly reasonable offer apology anything say sure someone would take high rate could take strand . avoid unethical dump cost . be interested scamme service . 
 Sep 23 2009 	 nice clean hotel need little refurb 	 arrive hotel meet friendly helpful Bell Captain take luggage take we reception desk wait we check escort we room . 2 reception staff time check arguement something front customer whilst check ( professional ) . hotel old hotel decore reception area keep , everything clean nice . elevator quick good size . corridor room clean need refurbishment . room single bed , not experience everything , whilst clean , old date . safe not work room dry hair 3 stage hairdryer bathroom overheat shut . shower head , not move , point sideways wall get wall shower . also Tea Coffee make facility room room air con . area around hotel nice quite restaurant area choose well deli supermarket pick stuff . subway station end block . glad get good price hotel probably worth pay . would please pay full price even New York would charge . say , would stay hotel get good deal price perfectly acceptable . review read management hotel hope take advice , criticism quite nice hotel need update . 
 Sep 20 2009 	 Excellent hotel great location ! 	 husband stay excelsior two night NYC much enjoy stay . book on - line reasonable price NYC . arrival , upgrade suite give we plenty room . suite elegantly furnish , although somewhat worn . bed really comfortable , high quality bed include duvet . bathroom update well equip . coffee maker , rainy weather make good use pant presser , something ' ve never hotel . location perfect -- away noise midtown , really nice , quiet neighbourhood , across park Museum Natural History . Central Park block away , subway station less block . nice walk across Central Park Metropolitan Museum Art , great place tp spend hour . not try hotel breakfast , lot restaurant nearby -- Lenny 's ( Columbus ) great breakfast lunch ( inexpensive good , offer H H bagel , good NYC ) . lunch like Uno , chain restaurant good . dinner Eighty one , part hotel locate building , excellent formal dining experience . able get last minute theatre ticket hotel concierge , would recommend purchase ticket advance on - line would cheap . love hotel , would definitely stay . 
 Sep 17 2009 	 cheap clean great location 	 stay one week mother summer . excelsior elegant mid - class hotel upper west side ( second bet area NYC ) ! dark wood interior hotel elegant clean . room normal sized NYC tidy . beautiful bathroom bath tub . window ! ! could see central park even tough booked cheap north city view ! ! ! front desk staff polite helpful doorman . 2 different concierge whereas one ( male one ) really helpful one ( female ) kind harsh ! location hotel perfect . nice area - broadway / restaurant row 2 block away . Adjacent Museum Natural History . subway station right next hotel - good connection even night ! overall really neat hotel great location . would definitely recommend ! ! ! 
 Sep 17 2009 	 well average New York Hotel 	 read numerous review standard Hotels NY trepidation check Hotel . arrive late immediately upgrade suite charge . room large unlike lead belive norm NYC . even change room return NYC give standard room perfect need even spacious inital suite . hotel room cost NYC high compare rest USA hotel value money . it little away downtown subway staion corner get centre problem . 
 Sep 14 2009 	 small quiet lovely area . convenient location . 	 travel NYC meet friend walk Susan G. Komen Race Cure . hotel little gem quiet street . view small park across street . room small , immaculate . bathroom also small immaculate . bed comfortable . would nice small coffee maker room , Starbucks less block away Columbus . hote convenient subway , museum , Columbus Avenue Central Park . staff friendly professional . would recommend hotel anyone look something beautiful , quiet area day big city . 
 Sep 12 2009 	 Excelsior - loved hotel 	 spend 6 night Excelsior love . be quite old fashioned hotel , perhaps room could update . however , everything need , spotlessly clean bed comfortable . the location absolutely perfect - 5 minute walk Central Park , 2 minute walk Subway want go Downtown , lot great restaurant delis nearby . down - side reception staff . one young lady particular not even raise head answer question . rather rude . not try food , many place nearby . ' m every lucky enough return New York , definitely try book hotel . 
 Aug 28 2009 	 quiet clean hotel near art history museum . 	 get back visit NYC . want see typical tourist site want quiet neighborhood , excelsior hotel clean , quiet , near subway Central Park . visit Metropolitan Art Museum ( 15 min . walk across Central Park ) period 2 day , good close . locate across street Natural History Museum , also quite large . I glad stay Times Square area , crowd noisy . pay get familiar subway map , confusing find way around . get good rate internet , real plus . excelsior refrigerator , microwave even coffee maker room , walk 2 block starbuck , Zabars ( great bread ) , H H Columbus Ave . breakfast , also , try UNO restaurant across street lunch dinner . food good reasonable- mini brownie dessert $ 1.99 ! 
 Aug 26 2009 	 great quiet uptown location near Central Park 	 spend 4 night hotel holiday 2 small child . hotel room small clean well organize . furnishing litte date bed comfortable . room face north quiet . check easy make reservation professionally do phone . although take cab stay subway conveniently locate end 81st Street . the bathroom recently renovate brand new fixture . water pressure shower amazing water hot . order extra towel deliver minute . slip mat kid locate bathtub hang metal fixture think odd . room old small colour tv would preferred large flat sceeen tv . find air conditioning unit loud lower fan speed LOW HI alleviate part noise , leak second day hotel fix hour room . hotel conveniently locate one block Central Park across Museum Natural History . playground kids inside park leave hand side child really like . walk north location 2 playground child . quite sandy water element . pack aqua sock / croc swimsuit use playground summer . take kid south park Boathouse lunch . great takeout area beside indoor restaurant family friendly eating area shade sun . the hotel block Columbus Avenue Starbucks ( N / W corner ) open 6am many family friendly restaurant . recommend Shake Shack ( great burger ) 2 block south Columbus Lenny 's ( breakfast lunch ) Cilantro ( dinner ) 2 block north 468 Columbus . would certainly return revisit hotel future . 
 Aug 21 2009 	 clean quaint convenient great location 	 stay recommendation friend previously stay . upon read review prepare rude staff .... never occur . front desk help courteous prompt doorman housekeeping staff friendly quick help . room small twin bed comfortable - probably one comfortable hotel bed pillow ' ve sleep . bathroom well stock toiletry towl ... shower always hot great water pressure . room relatively quiet design floor make one long hallway probably help keep noise down . across Museum Natural History near central park location excellent . neighborhood restaurant shop quick easy walk cab course plentiful . location also quieter bit remove craziness times square downtown area . restuarant attach hotel EightyOne excellent . stop drink exhaust first day end order grill menu . gimlet excellent even simple hamburger stellar . would not hesitate ot stay recommend . 
 Aug 19 2009 	 Excellent location staff ; tidy room 	 helpful staff . small tidy quiet room . great location right near subway , Central Park , Museum Natural History . 
 Aug 18 2009 	 read visit leisure 	 negative point ; little site facility , restaurant / bar belong Hotel , bring drink room . staff ok , tourist , not expect advise unless earn ! ask shopping could tell ( sell ) excursion cost $ 40 pp . 30/40 block away real centreOn positive - outside time square quite sleeping issue , clean good standard , get around - close metro , good dining near museum art gallery close by . I would stay , great price 
 Aug 15 2009 	 great location comfortable room 	 third time stay excelsior content always . hotel could not well locate - next subway station crosstown bus within walk distance Lincoln Center surround good restaurant . the room large comfortably furnish spotlessly clean . hotel show age could stand little refurbishing , staff polite outgoing warm . relatively unimportant complaint compare location comfort room . 
 Aug 14 2009 	 great location poor hotel 	 perfect location NY , hotel poor . date decor , unfriendly personnel , useless grumpy concierge , noisy air con , break telly , room service , break lift , list go . , location perfect , would recommend hotel . 
 Aug 14 2009 	 good location New York 	 Husband return trip New York Excelsior excellent choice . really pay stay Manhattan ! hotel around corner Subway also stone throw Central Park . enjoy morning stroll park eat occasionally SaraBeth 's corner 5th Avenue ... around £ 12 egg great coffee . Breakfast Hotel fill bread - base , croissant , toast , cereal , bagel also lovely starbuck coffee ! $ 10 hotel . bed incredibly comfortable great night sleep ! not see attitude reception staff even upgrade we suite honeymoon . the hotel clean , lovely traditional NY style internet access foyer £ 2 per half hour email family . if plan sightseeing get daily Metro pass $ 8 . train connect get decent map will load fun travel around ! 
 Aug 10 2009 	 great hotel family young kid 	 spend one night great ! hotel location perfect . room- 1 br suite - spacious ( bathroom 1 BR suite near front door , unlike show pic ) . peek one single queen room look small . hotel room reservation line Expedia.com room good rate . tip : Great Playground inside Central Park @ 81st street ( less block hotel ) Street parking easy get Saturday night ( pay meter 7 pm free Sunday ) use service elevator elevator run slowly ( one two main elevator short stay ) locate right main elevator , past mail slot wall.great pizza & amp ; custom mac & amp ; cheese PINCH & amp ; Smac west side Columbus ave btw 82nd & amp ; 83rdparking Museum Natural History $ 27 24 ( hotel discount ) - bargain garage $ 40 + 24 hour ( MONH garage close 10 pm ) - end parking street right front hotel . Children 's Museum Manhattan block awayI could get hotel wireless service work ipod touch - could not get signup work . luckily able use open connection ( ' m guess apartment building next door , hopefully not steal info ) 
 Aug 7 2009 	 Classy get - away 	 husband spend weekend mini - vacation . great location , clean comfortable room , fabulous restaurant ( Eighty - One ) premise . enjoy old - world charm place . 
 Aug 7 2009 	 Wonderful hotel 	 hotel great ! book hotel EasyClickTravel.com stay business trip back May expectation meet . staff great , room clean location superb . 4 star price good well . one thing note WiFi pretty much available everywhere hotel pay extra , be free . 
 Aug 4 2009 	 excellent location value 	 love weekend stay Excelsior . be right next Museum Natural History Central Park , make great location . 's subway stop end block , super easy . upgrade we junior suite free , great way start day . awesome showerhead bathroom ! ! ! complaint pay wi - fi . get free wi - fi crappy beach hotel FL , pay nice hotel Upper West Side ? 's ? 
 Jul 22 2009 	 great hotel quiet location excellent service brilliant trip 	 lovely hotel upper west side . hotel right next door american museum natural history central park . 20 minute walk midtown really enjoy slap bang middle midtown like quieter west side especially walk bottom central park day . metro right street corner handy get island do not want walk . the excelsior ' quaint ' traditional clean comfortable . nice room plenty space nice traditional bathroom . tip : ask room next lift little noisy want lie ! service good staff pleasant . we do not eat hotel ( little upmarket we ) find lot lovely place eat . try cupcake magnolia bakery 71st street brooklyn diner 56th . wholefood columbus circle great picnic food eat park also eat area well want grab quick bite eat massive deli.other tip recommend helicopter ride manhattan - worth every penny , little budget try theboat trip round bottom island - excellent value money great way see find NYC . go WTC site - move experience , wtc tribute centre definately worth look too.we ' do ' tv movie theatre trip , great value entertain ! lot see 3 hour show clip film tour compare fact fiction ! hope help , easter unfortunatley can not get excelsior time ! lets hope one book good ! 
 Jul 16 2009 	 great summer vacation 	 great location- near restaurant , museum , subway , park , shop ! old hotel lot character -- -clean comfortable . bellman clean staff nice helpful . problem -- overall great stay ! 
 Jul 13 2009 	 good location Good Service Great Stay 	 read review site , expectation excelsior high . disappointed . great stay . location wonderful . convenient Museum Natural History , Central Park , subway . plenty restaurant close . h H Bagels must visit breakfast . since hotel locate residential area , give we feel live New York really . people walk dog push stroller . check early upgrade suite extra charge . staff friendly helpful . room well maintain , air conditioner work great , quiet . hotel validate parking Museum Natural History $ 26 per 24 hour . great experience definitely stay excelsior next trip NYC ! 
 Jul 8 2009 	 good value great location 	 good friend look economical choice close museum Central Park Excelsior good choice . find comfortable good view even though room not face park , city - scape night really cool . staff pleasant not complaint , sleep great every night . plenty place eat within walking distance great time . 
 Jun 30 2009 	 Book hotel 	 come NYC belate 16th birthday present daughter . bring friend . thrill Excelsior -- recieve unexpected upgrade suite , beautiful -- really look like picture online . air conditioning work perfectly ( particular concern mine ) ; even bathroom beautiful nice touch like pedistal sink supply Q - tip cotton ball , hairdryer phone . . great location , friendly staff - even able check early , bonus . would highly recommend hotel . 
 Jun 26 2009 	 Blackpool B 	 book internet trip last leg honeymoon pay four star price two night . entrance look part exterior bell boy service look great . room small frilly curtain bedspread - air conditioning basic provide cool air . bathroom tiny - like nice cosy date B & amp ; b fine that s pay not . satff less helpful ask direction subway less obliging . 
 Jun 25 2009 	 great 	 neighbourhood lovely stay neighbourhood would expect well service . staff overly helpful charge ridiculous thing . room date - live thatthe tv terrible sound- time upgradethe nickel dime wireless , telephone call etc . the nice lady hotel housekeeperfor price would expect more- stay Fitpatrick Grand - different area staff make feel welcome 
 Jun 25 2009 	 good hotel - bad internet 	 stay one night order visit museum see bit NYC 2 daughter age 2 & amp ; 8 . upgrade one bedroom suite lovely . hotel great location , nice continental breakfast keep well . downside internet abysmally slow . worth even purchase . 
 Jun 24 2009 	 clean quiet confortable hotel 	 spend week New York friend book excelsior hotelgreat location , right next Central Park underground take straight downtown New York . also 25 min walking distance downtown . plenty restaurant nearby nice view Roosevelt Park Downtown room . room clean confortable . thing miss coffee tea make facility morning . staff friendly . would go back 
 Jun 13 2009 	 Lovely expect 	 stay 2 night June 3rd 4th 1 - bedroom suite ( unexpected upgrade ! ) . hotel beautiful clean . Old World feel & quot ; tired & quot ; . Bathroom upgrade fixture . 3 room clean spacious . bed comfortable . clean robe , wear , provide additional charge . Central Park short distance away . American Museum Natural History directly across street well Theodore Roosevelt Park . hotel offer continental breakfast additional $ 10 adequate . many nice restaurant Columbus Ave , even block away hotel . starbuck right Columbus even 5 minute walk . another minute south Columbus wonderful deli , Andy 's Deli ! subway bus stop even 2 minute walk away ( turn leave exit hotel ) . one day walk Rockefeller Center hotel . quite walk doable sufficient shape walking . many area stop rest along way . whole area lovely . would definitely stay hotel . 
 Jun 9 2009 	 Excellent hotel 	 please . large room additional small room . excellent location - 1/2 block Central Park . 
 Jun 8 2009 	 Happy Xmas 	 well half state several time , first visit NYC . read mixed review go , overall happy choice . sure room small would expect elewhere , understand common nyc.location price great . staff job - ok , overy friendly be not hotel much anyway . 
 Jun 2 2009 	 never come back 	 come NYC daughter Broadway show . would like stay area far away Time Square ( within walking distance ) . see website mention hotel centrally locate NYC many location Time Square , choose hotel good experience stay excelsior Hotel HK many time . however , quite disappointed location . room good standard 4 - star . tv channel clear . wireless internet ( pay ) slow . hotel totally different think Brand Excelsior . complain front desk staff , really patient . 
 May 27 2009 	 Great Safe Neighborhood ! 	 smallness room ( unusual NYC ) , hotel great . good thing excelsior location . sister & amp ; walk block many restaurant 1:30am , feel unsafe . many restaurant bar surround couple block , ton people walk around late night . even find street parking weekend ! 's beautiful old hotel keep . room bathroom clean . would not call luxurious , would call old - world charm . room beautiful view overlook Museum . window old , bit noisy even though 11th floor , would bring earplug would bother . stay . 
 May 26 2009 	 nice area great price friendly service 	 Quick summary : staff friendly , room clean quiet , hotel great location Upper West Side -- less block Central Park subway station , across street American Museum Natural History . my fiance frequent traveler NYC enjoyable experience Excelsior . go Sat - Mon , Memorial Day weekend first time stay . complaint ! park across street AMNH 's garage ( make sure hotel 's front desk validate parking ticket upon checkout discount rate ) . big surprise getting upgrade one - bedroom suite regular room , charge ! room note : window three wall , two heater - a / c unit , queen bed , pull - out sofa , two tv , minibar . like hotel , WiFi available fee , able pick another wireless access point use free ( usual NYC neighborhood ) . 
 may 23 2009 	 great location tiny room mediocre service 	 stay excelsior last 2 day trip USA . Upn arrive hotel meet less friendly staff member later discover always bit grumpy whereas staff member extremely helpful . room tiny could stayed long adequate bargain rate pay room . tea coffee make facility . room old fashioned bathroom clean bath shower . hotel overlook Natural History Museum useful . also stay Midtown would recommend hotel want experience neighbourhood life New York . Hotels Midtown central see main tourist attraction . 
 May 22 2009 	 Fantastic hotel fantastic location wonderful holiday ! ! 	 rate hotel highly enough ! staff absolutely lovely - please ignore review contrary problem find helpful pleasant ! room amazing view park skyline - I doubt ever find one equal New York City- room comfortable clean . comfortable bed . shower rather old however criticism make point comment card hand hotel . the location hotel perfect , close bus stop , subway cab go past hotel time . lot great area walk distance though , include Central Park , Broadway etc . lot great place eat close too . in short , would definitely recommend hotel hope go back soon . wonderful holiday ! 
 May 18 2009 	 good choice first - time NYC visitor 	 group 4 adult stay excelsior 6 night two standard room Apr 27 - May 3 , 2009 . first trip NYC we , location excellent : peaceful residential middle class neighbourhood , one metro station less 100 metre another different line block away . Central Park Museum Natural History right across street , Guggenheim lot museum across park . the excelsior certain traditional old world atmosphere find quite cosy . room perhaps little worn clean . front desk staff ok professional , complaint . not use $ 10 breakfast buffet , be worth . avenue nearby - Columbus , Amsterdam Broadway - offer plenty breakfast choice , example Manhattan Diner excellent . visit Zabar 's Broadway delicacy souvenir . I could easily recommend excelsior anyone appreciate peaceful location excellent connection . MarttiHelsinki , Finland 
 Apr 21 2009 	 gr8 t hotel girlfriend getaway ! 	 six girlfriend stay hotel April 17 - 19th . think great hotel reasonably price . one room upgrade suite & quot ; dub & quot ; party room . bathroom suite small one standard double bed room , however . matter ... room clean good size . bed comfy , ! problem heat air conditioning unit . think decor hotel charming . lobby marbled floor , mahogany wood nice little bar chic welcoming . hotel staff rude ... fact quite pleasant ! many restaurant right around corner discover last night . , come hotel , turn right , turn right Columbus see anything suite palette Sushi Mexican . subway also right well Central Park . venture take subway piece cake ... native New Yorkers help we ask ! ! would definitely stay ... safe neighborhood beautiful Brownstones leave right tree bloom like mad . great hotel . disappoint plan return next year ! p.s . trouble elevator .... fast ! 
 Apr 20 2009 	 excelsior exceed expectation ... 	 teenager daughter spend 4/16 - 4/17/09 NYC . expectation high live Manhattan year ... location excellent within 1 block central park west 81st subway stop , Museum Natural History whose side park outside front door . local restaurant top notch affordable . lobby small , beautiful wood marble . stay 11th floor , end unit balcony ! quiet , sleep well night - which never live . bright bathroom 's french tile perfect mix floral / white . great rate receive room upgrade , real deal . continental breakfast second floor library $ 10 pleasant surprise , starbuck coffee latte machine make even teenager happy . allow we get day quick start keep we go dinner ; see 3 college shop . definitely return highly recommend , shop around discount rate . beware minibar , move item store water bottle leave we charge ; front desk credit us check - out base word alone . class act ! 
 Apr 20 2009 	 Perfect Place Kids Great rate 	 treat . room somewhat small , price right ( $ 130 per night hotels.com + tax ) , place clean . kid , location fabulous . right across street Museum Natural History . Central Park Wst , Near Great Restaurants Columbus Ave . ( be shake shack street block away ) . staff friendly , cntinental breakfast include ample . great reduced rate parking $ 27 per day museum natural history garage . ( '' beat city rate usually around 45 - 50 bucs day ) .room 2 bed single bed , small kid share , definately & quot ; single & quot ; size bed full size might typically expect room 2 bed . 
 Apr 19 2009 	 will back 	 spouse stay attend opening day game Yankee Stadium . husband travel lot tolerant hotel issue . , hand , easily get hotel cootie . get super discount room two twin bed . : ( husband tall people bed little short , comfortable . size room decent NY standard . bathroom clean . room clean . great location . ton place eat Columbia Amsterdam . subway close . I find fault Excelsior . ' m hard please . 
 Apr 18 2009 	 Rude Reception Staff not Care could not find Booking 	 arrive Excelsior Hotel Manhattan 5 pm local time fly Dublin . present accomodation voucher reputable Travel Agency check . extremely rude reception staff procede ignore we & amp ; talk could find reservation . hotel - Beds finish evening tell we could room one night & amp ; would sort next day . first thing next morning , put express check slip door . proceed reception & amp ; make call Travel Agent . travel agent try phone reception desk speak we however male Receptionist interest assist us & amp ; hung phone Travel Agent several time well obnoxiously rude we mean time make we feel though pester try blag way hotel . hotel interest clarify situation confirm fact book duration stay & amp ; actually pay advance . leave we speak book agent & amp ; eventually resolve reason hotel state reservation have record firstname surname & amp ; vice versa & amp ; trust person state check name backwards ! - would definitely recommend hotel anyone appreciate good service . 
