Nice 	 hotel Great Location , especially watch Macys Day Parade . pay extra room parade view view great not really think worth price charge price matter 5th floor 30th floor . room small New York expect . hotel small lounge , many night full seat leave . staff friendly , however other . hotel right Times Square , close shopping , show , central park . planning trip New York suggest stay someone Time Square , many hotel along Broadway 7th Ave want . overall hotel Nice hotel Great , go back try another hotel Times square . on side note ! LOVED NYC ! like Sex City make sure book Sex City tour City Tours ! great ! 
 Satisfactory - Excellent Location Broadway show 	 's good hotel good value great location see broadway show . 's 8 block walk ( actually short time - wise ny ) . expect crowd busy new york theater sidewalk part experience . parking $ 42 per night hotel . front desk little slow accomodate . Beds Bathroom clean comfy . room 2 double bed great friend . got great rate priceline , usually book www.spg.com get pretty close $ 200 . 
 major fault spectacular 	 hotel provide good service ; room thoroughly clean concierge give good advice explore New York city . room serve purpose ; comfortable bed , tv variety channel , twin standard room spacious enough two people , bathroom everything else also great . big wooden desk thing next window pretty useless though ! not use gym restaurant , busy explore city - look fine . location legendary , especially night walk Times square matter 30 second ( run ! ) also subway station major line close proximity hotel ; manage explore 5 borough bit effort - . good thing hotel , view phenomenal . look room ( 38th floor something ) honestly make feel empty . club room , see New York holistic perspective , square outline central park visible . find annoying hotel definetly offer breakfast weekend , mean , ! eat local cafe flood tourist , available table . my final observation hotel like city within city ; 24 - 7 literally thousand people hang around lounge , walk main entrance . many people , kind feel like another number ! 
 need stay area - try another hotel 	 last two business trip city year , stay Hilton New York . decide try hotel . will not first ( second third choice ) go forward . the check average . room , though , smell strongly cinnamon air freshner . reason - previous guest smoke bathroom housekeeping try mask smell . receptionist helpful changed room right away . room small Hilton ( price ) . not enough room put dresser right front bed 's corner near closet . therefore , tv corner well . desk width room near window . dislike wireless internet short cable use . not able sit bed work . room hot night temperature not work . bathroom decor bit shabby size small . bed comfortable though . I like cafe lobby free interet access . pay handle fee collect package business center . also pay use gym , annoying . in , nother really wrong hotel - average . right price , maybe woudl stay 's price Hilton - would choose Hilton . 
 Nov 17 2009 	 Redefining Customer Service .... take high level ! 	 recently arrange niece stay Sheraton New York Hotel Towers use Starwood Preferred Guest Points . little worried niece girlfriend stay New York . , read review hotel Tripadvisor , think would good idea Email hotel , arrive , make sure receive nice room view . well , one night stay amazing start finish thank Jorge Guerrero , Guest Service Manager Sheraton New York Hotel Towers ! never know anyone dedicated service other . first , arrive check - in greet cheerfully staff allow check - in early attendant gracious . thrilled room corner room 49th floor ( # 4904 ) fabulous view Central Park . room beautifully decorate , clean 2 wonderful comfortable bed amenity . call front desk inquire Club Level Lounge feature evening hor d'oeuvres . tell closed weekend . , amazement , shortly call , Jorge Guerrero , send beautiful bottle white wine well fruit / cheese tray tray chocolate - cover strawberry ! imagine . wow ! Jorge Guerrero , completely redefine word ' customer service ' . Jorge also provide personal contact information tell call need anything . really bent backwards make feel welcome . really appreciate personal attention niece receive . love location hotel 7th Ave 53rd . walk Times Square 5 minute ... Rockefeller Center 5 minute .... 5th Avenues store ... St. Patrick 's Cathedral . good possible location Manhattan . everyone family want sign Starwood Preferred Guest Credit card accumulate enough point stay Sheraton New York Hotel Towers staff head Jorge Guerrero ! absolutely good place stay NYC . level customer service personal attention concern exceed expectation . would not stay anywhere else . HIGHLY RECOMMENDED ! thank Jorge ! ' ve acquire customer life . 
 Nov 17 2009 	 never .... 	 husband book hotel priceline let tell , disappointing . & quot ; 4 star & quot ; ( suggest priceline ) nowhere near level . firstly , front desk pleasant upon arrival . walk room , could see right away go enjoyable . room old , dusty fall apart . blind window break , bathroom not clean top , heater work blow cold air . several complaint 2 maintenance man later , hotel finally switch room . husband , grab belonging pajama , switch room 2 morning , give another room 2 double bed . room still heat not 4th maintenance man , tell entire hotel heat . addition , room clean . long day walk city , want come back hotel rest wash , find room not clean call wait cleaning lady come clean room 6 o'clock evening . hotel loud thin wall ... could actually hear person next speak cellphone could even hear person speak , believe ! ! definitely disappoint experience would discourage anyone consider stay . 
 Nov 17 2009 	 Fabulous Stay wonderful service 	 especially impressed staff , particularly Jackie anbd Daria . leave something hotel room helpful assisting retrieve . impressed would definitely stay . 
 Nov 16 2009 	 Best Place stay Pets ! 	 husband stay 5 night , travel business . first bit hesitant bring two small dog NYC , Sheraton make easy . arrange doggie bed , food water dish , make we feel welcome . room small ( be NYC ! ) amazingly attentive service , wonderful bed , huge tv , GREAT shower make . absolutely stay ! 
 Nov 14 2009 	 conveniently locate facility great service . 	 find conveniently locate facility good customer service . 
 Nov 13 2009 	 lovely stay Sheraton 	 great location , beautiful Room look towards Times Square . every need meet friendly service . 
 Nov 11 2009 	 wonderful Acomodations -- Wnderful Eperience ! 	 friend pleasure stay Sheraton Hotel Towers NY NY Marathon stay absolutely flawless . lobby beautiful , room immaculate . great view city Central Park room , time / temperature read top one building could see room , every morning could see outdoor temperature get ready day ! complimentary breakfast simply wonderful -- selection great , impressive part spread fresh everything -- especially fruit . throughout stay hotel full activity -- race , election ( Mayor Bloomberg people host election rally site ) staff remain friendly extremely helpful throughout stay ! concierge also recommend great restaurant . one good thing stay however everywhere want go city seem within short block hotel . conveniently locate take cab simply not acclimate surrounding . I would recommend hotel anyone -- stay flawless stay every time come city . 
 Nov 11 2009 	 Central Location 	 use live Manhattan never would ' ve live anywhere near Times Square . yet , come back town , love stay little north Times Square Sheraton since location make easy get around town . hotel always busy , regardless time year . however , be clean staff consummately pleasant , make happy . if not want pay wireless room , pricey , bring laptop lobby use computer since lobby provide free internet service . I ' m hot restaurant hotel , charge lot money lot food . be well hop subway ( cab be business expense ) get breakfast elsewhere ! overall , like hotel . ' ve stay three time since move Manhattan continue stay . remember : location , location , location ! 
 Nov 11 2009 	 crappy room ... fantastic location ! 	 hotel choose conference rate . get room , little rough around edge . even bullet hole shower tile ! make even bad fact wall paper thin could hear conversation room next door . save grace location . definitely want spend time enjoy New York sit hotel room . right heart Theater district . 
 Nov 9 2009 	 enjoy typical experience Sheraton NY . 	 bless upgrade suite , wait 3:30 . sail check , get room onto internet , meeting . location hotel perfect since meeting mid - town . usual workout elyptical machine -- good work facilitiy hotel experience . club level condition excellent usual ; serve Mohammed . platinum guest , bless receive hotel room upgrade , free internet , free workout access club lounge . without give account cost suite , freebie amount $ 35 - 40 daily saving . Bill Russell , oversee front desk , good team handle whatever come . ahmed front desk correct billing statement . guest relation director Jorge Guerro always seek provide pleasant visit . 
 Nov 4 2009 	 pleased stay NYC 	 great location . great weekend NYC . reason want make post recognize several employee hotel . group actually one problem check .... thing happen . impressive thing Jorge Guest Service manager go beyond make sure stay great experience . 
 Nov 3 2009 	 Location location location 	 run NYC Marathon wife come NYC -- -our first trip NYC . get room Priceline.com . read review tripadvisor.com hotel accept bid heart sink read bad review ... however , return big apple , would please stay . yes , hallway 19th floor look like see vacuum week , room great clean . , wall thin . maybe true many old Manhattan hotel , not know . problem Halloween night party goer return room 3am . whatever , location fantastic . 5 - 10 minute walk Times Square 10 - 15 minute walk Central Park . middle everything . plus , subway stop ( 50th Broadway ) 2 block away ... get downtown uptown 25 minute less . not pay full price Sheraton web site , use priceline.com something similar 50 - 60 % advertise ... get value price . 
 Nov 2 2009 	 Mixed Blessing 	 great position , extremely busy lobby , tad tired around edge , off - hand reception staff helpful housekeeping staff , good bar - friendly staff . mix blessing . hotel busy three day build Marathon start World Series large party stay . would recommend breakfast Hudson 's expensive onion chive mixed hot dish . well go Lindy 's din next door true NY experience . 
 Oct 31 2009 	 great location business travel 	 enjoy location service . lot within walking distance , staff friendly . lounge area bit small crowded conference hold hotel . 
 Oct 29 2009 	 brillant 	 staff helpful time complaint lack computer ratio guest company use hotel 
 Oct 29 2009 	 great hotel brilliant location helpfull staff . 	 stay week october 09 girlfriend . go arrive NYC late night email hotel ask could quiet room good view . check front desk confirm email put we room away lift , 38th floor view times square , ( stunning ) location 7th 53rd , 10 min walk times square one direction central park . slow pace life another 10 min walk Hells kitchen . our flight back JFK 6:30pm hotel sugeste late checkout 2 pm extra cost . the doorman even hail we black town car take we airport . much well yellow cab huge inside price , although pay cash $ 50 plus tip . would stay hotel . people say room little small . queen bed , desk wardrobe plenty big enough . do not know people moan about . Dont forget leave tip house keep day towel toiletry could need . 
 Oct 29 2009 	 will not stay 	 drain tub back , water would drain . ventilation bathroom - like sauna 2 shower . fan heating / cool unit break . staff unfriendly . pay $ 400 night can not even hold onto bag next day hour without charge per bag . front desk want blame discrepancy reservation line , reservation line want blame front desk fixing . mess . 
 Oct 29 2009 	 convenient location 	 locate midtown close Times Square , Rockefeller Centre Central Park . kid 's love complimentary use computer lobby large flat screen tv room . clean room bit hit miss ie . room not always hoover dust every day 5 night stay one day provide two towel 4 we . say , bed superbly comfortable nice selection toiletry bathroom . not bother breakfast coffee bar lobby , coffee awful pastry dry expensive . go Pret manger 6th Avenue , much well coffee well value ! guest hotel use pool Sheraton Manhattan road , not time avail can not comment . 
 Oct 28 2009 	 comfortable pleasant experience . 	 enjoy comfortable pleasant stay appreciate personal attention receive form late night snack . 
 Oct 28 2009 	 Unhappy Hotel 	 unhappy hotel . book online promise 2 bed receive one stay . say explain guarantee . one us sleep cot 4 day . uncomfortable room small barely room walk . rug dirty tub . also alot student somewhere constantly computer hard look anything . finally tell could go business center end cost amost .50 cent minute . stay hotel . well pay little happy . Label 4 star . like 2 3 star . 
 Oct 28 2009 	 perfect weekend Sheraton ! 	 room clean spacious . drink lobby bar staff wonderful . greet front desk wonderful enthusiastic person . emergency leave something home need immediately refer place could go within block hotel . problem solve ! treat wonderfully . fact parking within build extremely convenient . nice able check bag Sunday check . feel every courtesy extend we make stay pleasant possible . 
 Oct 27 2009 	 pleasant surprise 	 book Sheraton Hotel New York , package deal airline ticket . pleasant surprise . location great , people friendly & amp ; helpful , Lobby beautiful , Mr. Guerrero , guest service manager super . stay several hotel Time Square area , far , good money . clean , friendly , beautiful . * Starbucks lobby * Concierge purchase Broadway ticket we . ( stand line ) 
 Oct 26 2009 	 Great Location 	 find good deal hotel , good stay . location great ( Times Square Central Park ) , close everything , good condition , etc . naturally , Manhattan , room tiny , bed . manage ok two adult two child though , cramp , especially luggage stroller . , seem comparable hotel area . pay $ 15 / day internet connection , also seem norm area . 
 Oct 25 2009 	 usual Sheraton standard 	 Stayed Sheraton New York Towers three night follow cruise . starwood preferred guest stay many Sheraton hotel around world . bad stay . yes , location excellent , cleanliness leave lot desire . room stay floor 39 well worn , another reviewer say , blind flithy . room dark probably good thing . hairdryer room despite four phone call , one still not arrive . give compliementary breakfast , , cost 27 dollar ' rip ' . positive side say staff reception extremely polite helpful . I would recomment hotel . 
 Oct 25 2009 	 excellent location 	 convenient transportation - subway corner , bus across street . Taxis everywhere ! concierge service , across street NY info store . easy walk Lincoln Center per elderly mother use front - wheel walker ! comfortable handicap room , fold bench walk shower easy use flexi - hose shower head . attentive floor staff , comp Starbuck coffee & amp ; packet tea in - room brewer .. comfortable bed . nice Guest Relation staff esp Jorge Guerrero ( PM shift ) . hotel security station elevator observe confirm register guest . internet available guest Lobby - busy . smoke - free ! free safe in - room . bliss product , ample towels.- hotel plan 2011 renovation . room show wear date design . tv new model . lot daytime natural lighting . soft room light PM . happy stay . would consider Club Level . 
 Oct 24 2009 	 Excellent service fantastic location highly recommend 	 come back 4 night stay Sheraton , firstly location great . couple min Central Park right near Times Square Broadway . room clean tidy bed change fresh sheet every day , room size travelodge room maybe little big adequate place stay . day night use hotel base sleep . would definatly return , service staff expectional . thing careful charge - hotel quite expensive New York $ 24 2 bottlesof bud room service whatever dont use phone hotel call home , do not realise expensive call charge high phone bill leave , buy phone card $ 2 give 10 min . nice deli right across road sell good selection sarnie coffee etc , use rather starbuck hotel dear . tour - everything really need see within walking distance would recommend city limit tour , see guide outside hotel ( wear blue yellow ) give good package depend want . one thing book ticket empire state building go get express ticket highly recommene , skip queue really do not want waste time queue especially busy . woodbury common good buy alot desig clothe prob find cheap , designer retail oulet much like bicester village . find bargin unless reallly designer stuff would not really bother spend whole day reflection bit waste . stay day try fit alot see statue liberty unless really want go view tower could stay boat . still take great photo see big get boat be not alot look it . the night tour good take Broklyn Bridge uptown downtown tour also good . central park worth pay bike guide take round massive unless want spend day quick way see - relax give load information would not really know look walk around . generally New York like big world city expensive tipping thing big , average find add 18 % onto bill lunch / dinner 4 come $ 160 . I m sure cheap place do not find . would highly recommend Dave 's Famous BBQ ribs- excellent food , good choice menu , feel like monie worth . would not recommend Ellens Stardust Diner , food expensive good value money . Sheraton New York get good thumb we stay return New York 
 Oct 23 2009 	 Sheraton New York Exceeds Expectations 	 Platinum Starwood member call Sheraton New York Hotel Towers home city . , Jorge Guerrero guest service staff exceed expectation . minute pick phone call greet name get immediate assistance . upon check - in , front desk staff pleasant accommodate . upgrade beautiful junior suite thank Bill Russell front office . call something room service receive accurate timely manner thank John Huttenberger . room ready promise . thoroughly enjoy breakfast club lounge especially get see friend , Mohammed . location good New York . walk anywhere , Central Park , Times Square , Bloomingdale 's , Rockefeller Center . subway stop right next hotel 53rd . fitness center everything need good work . excellent restaurant surround like Remi Bar Americain . hotel comfortable home clean freak ! return near future . 
 Oct 23 2009 	 heart NYC much be right ! 	 stay Sheraton provide we heart city subway right around corner whatever need . come see Yankees game , check ground zero see Letterman Show . hotel nice , room bit small , midwest use large hotel room . breakfast buffet fabulous , quite pricey ( $ 68 two ) . service top notch , people front desk accommodate . 
 oct 22 2009 	 one good hotel every stay 	 hotel truly 1st class , New York time far good place every stay . 
 Oct 21 2009 	 exceptional service warm 	 travel often New York business . often try stay starwood property Preferred Guest . fact , traditionally stay Westin Times Square . however , last stay Westin horrible experience . time opt Sheraton New York Hotel & amp ; tower . be right across street Sheraton Manhattan ( often confused ) , superior hotel . stay exceptional . immediately upon arrival meet delightful helpful front desk attendant . upgrade room immediately ( spirit full disclosure , ' m platinum level guest ) . specific need help , include refrigerator ' m nurse new baby . happy assist . enter room 4801 , exceed expectation . view 3 side hotel , include river . nice decoration include den , dining area , office , bar , 2 bathroom bedroom . extremely pleased surprised . course stay , meet stellar service housekeeping in - room dining . thai soup shrimp good . one thing worthwhile club - level ammenitie ( whether Starwood preferred guest pay small upgrade use ) . able partake full continental breakfast morning , well happy hour appetizer treat afternoon . great way start end day hotel . last evening , someone GM 's office call inquire stay . tell service , experience stay thus far . also note disappointed recent Westin stay ( treat Mother trip NYC attend US Open ) . provide specific hotel well upset regard Westin . within 15 minute call , receive another Jorge Guerrero , Guest Service Center Manager . thank take time complete quick survey ask could send treat compliment hotel time . delight great bottle red wine well fruit / cheese tray tray chocolate - cover strawberry arrive shortly thereafter . Jorge provide personal contact information insist anytime back city make aware stay could take good care HESISTATE return exceptional hotel . be travel away family deal rush long , crazy business day - absolutely place stay NYC . believe , frequent city stay numerous hotel . ' ve already tell travel department not want stay anywhwere else . HIGHLY RECOMMENDED . 
 Oct 19 2009 	 valuable safe 	 check Sheraton Tuesday morning get next hotel ( Soho ) 10:30 pm Tuesday night - realize leave Amazon Kindle video iPod safe Sheraton . attempt retrieve good night ( without luck ) , call back next morning security go recover stuff . thrilled ( unhopeful ) still honest people place world . thank Sheraton ! 
 Oct 18 2009 	 high price ... low standard ... 	 nutshell , 4 star hotel . be like beautiful wax apple rotten inside . Positive- extremely helpful concierge- Free internet- good locationnegative- room ready 3:30 pm ( check 2 pm ) - Climat control break . engineer come look . twisted turned knob say wait 8PM heat turn centrally . never come back check later heat never work . decide worth time deal it.- shower barely warm water pressure low . actually shiver shower . receptionist sympathetic give we $ 50 credit send engineer fix shower ( hot afterword ) .- cheap hair dryer - take forever dry hair ... - fridge . actually place chop vegetable juice bar fridge . next day come back night vegetable disrespectfully sit counter note maid be allow use fridge could rent one . vegetable bad throw ... - bed particularly comfortable- mold bathroom 3 place ... see picture ( 4 star ? maybe ... ) course week stay 2 different sheraton overall disappointed . expectation lot high . seem cut corner really value guest ( especially one prefer guest card ! ) 
 Oct 18 2009 	 Best Guest Service Manager ever ! 	 recently 4 - night stay perfectly locate Midtown hotel . attend professional meeting hold onsite , hotel completely book . starwood Platinum member expect type room upgrade disappointed check - in receive one . get rocky start facility service problem first day make one phone call guest service -- good phone call could make . Jorge Guerrero , Guest Service Center Manager hotel answer call , listen carefully concern stay point , feel personal service advocate ensure remainder stay perfect . jorge that . I never experience level personal experience -- come seasoned business traveler spend average 150 night per year hotel room , U.S. international , past 10 year . stay good high - end property world . wish & quot ; Jorge Guerrero & quot ; every hotel stay stay futue . Jorge immediately arrange room upgrade beautiful suite high floor corner view 7th Ave south Times Square west river . little thing like send bottle wine , fruit tray , small desert , arrange Jorge , make feel special completely enhance experience . Jorge actually check every day ensure need meet . would request something guest service would receive follow - up call make sure request meet . could customer want ? attentiveness need completely change view hotel whether would choose stay Sheraton . answer easy one -- -absolutely ! fact look forward next stay Sheraton NY Hotel Towers . thank , Jorge ! ! ! 
 Oct 17 2009 	 great customer service - great location - very responsive staff ! 	 location hotel excellent . walk distance many attraction include Times Square Central Park . start great friendly staff outside front desk . housekeeper friendly accomodate . need housekeeping come room come first time , get amazing response manager Jorge Guerrero Joe Casas . concerned complete satisfaction bend backwards make stay wonderful . club lounge 44th floor awesome ! view great breakfast buffet first rate . NYC reasonably price hotel staff management really make difference . staff return business pleasure . HerbS 
 Oct 16 2009 	 Average Hotel 	 hotel average around . room small expect NYC . bathroom desperatly need update stain carpet . previous trip stay luxury hotel time go budget hotel . get pay . trouble leave see credit card charge even though pay cash . call hotel leave message noone return call , email starwood get charge reverse . also exchange fee canadian fustrating email get reverse well . nice trip stay Sheraton Towers . spend little extra get something special . 
 Oct 15 2009 	 Great Location 	 Met wife , conference Radio City around corner stay 4 day . nice hotel , middle everything . close Central Park , Subway right front door , close theater , Times Square , restaurant etc . couple small issue , one wake call happen . upgrade room , give we access club level send bottle wine next night . & quot ; Nice Touch & quot ; . light breakfast nice watch 5 - 8pm offering . think snacks & amp ; drink however 3 drink come $ 45.00 . Hmmmm , must read fine print . overall however , would recommend hotel . ' ve stay allot hotel world , A - z , elegant will find 's good value comfortable bed nice lobby staff try right . regard close eat : try cart 53rd 6th . ( 1 block ) get 1 am 40 people line . WOW.Saffron Rice , Chicken , Lamb Beef pita . mix Persian Greek american flair . meal $ 8 ! be awesome ! try Carnigie 's ( 7th & amp ; 55th , 1 block ) Pastrami & amp ; Corned Beef sandwich . good ever . cheap however $ 23 sandwich expect line . split one 3 we full . charge $ 3 person 's splitting . sound like allot TOTALLY worth it . we also bar America , Bobby Flay 's restaurant ( 1 block ) nice ! hope help ! 
 Oct 15 2009 	 terrible experience 	 terrible hotel clearly survive strength Sheraton name . unpleasant staff , dirty - make filthy room , entire experience one avoid return Manhattan future . location great view amazing , simple thing do right . try lower rate , much nice Hilton Garden Inn Chelsea . 
 Oct 14 2009 	 nice room hotel loud crowded pricey . 	 not mind crowd , pay everything , long line checkin / checkout , stay . , hotel acceptable . room nice ( clean & amp ; comfy ) . pay top dollar ! staff helpful ( use concierge get good advice ) . location exactly want ( little removed hustle bustle Times Sq , well within walking distance ) . feel hotel & quot ; nickel - and - dim & quot ; everything . WIFI access free lobby ( wait line want use computer ) bring laptop want use room , pay internet access . also pay use gym ( extra $ 10 per day per guest ! ) . also & quot ; courtesy & quot ; hold bag checkout .... another $ 18 . pay & gt ; $ 300 / night room , expect ammenitie without pay . 
 oct 13 2009 	 Great Customer Service 	 stay three night highlight attentive customer service provide Jorge Guerrero ( Guest Service Center Manager ) diligent staff . real surprise big , bustling place ... hotel great location mid - town , near Times Square , Central Park Rockefeller Center . 
 Oct 12 2009 	 Location could not well ! 	 location hotel perfect . couple block Central Park , Times Square , Rockefellar Center subway . room leave little something desire . hotel full must last people check - in , end handicapped room . shower curtain across part bathroom drain floor . end water floor everytime shower kind annoying . bed comfortable , room big . staff friendly helpful , especially consider amount people always seem deal . would go back long get decent price room , location well . however , rate pretty high . 
 Oct 11 2009 	 good ... depend much pay 	 go NYC 2 friend . forth time go ( first time hotel ) . originally book room 2 bed . know room small city tell friend 's , insist keep reservation . want suite not arrive , not like rate receive . Amer . exp . starwood card 50 % rack rate coupon . use would pay anything high price gave stay hotel . rack rate overprice old hotel ( building build 1920 's ? ) .I end get room place & quot ; starwood prefer guest floor . & quot ; room old , typical nyc . bed good bathroom good condition , small . desk AC need improvement . knob adjust AC break . also would touch mini bar . friend 's moved stuff charge , able get remove . hotel room clean . service okay . be really busy hotel . 2 pm 6 absolutely crazy . arrive early hotel check receive & quot ; typical & quot ; nyc attitude . arrive back talk good people . person put spg floor nice courteous . not eat hotel . 2 cafe 's outside hotel 53rd st . one outdoor seating . not know name place , lot well place across street call lindas ? location good want tourist . go time NYC good suggestion get room battery park / downtown . would pay little high stay Ritz - Carlton battery park place . also regular room 1.5x time size basic room . also area appear new midtown . go midtown downtown pretty simple . transportation airport great . hotel driver S - Class Mercedes . take one $ 40 . taxi $ 30 . would suggest want little comfort . go hotel take shuttle pay $ 45 3 people . well get taxi get black lincoln car . not go ground transportation . 
