RCA 	 nice place stay Central London price .. 2 - 3 min walk Lanchaster Gate Tube Station .. 
 dirty . 	 Paddington Hotel & amp ; Royal Court Apts building . review also post Paddington Hotel Tripadvisor page : recommend anyone right mind stay hotel - period . even though conveniently locate tube park - 5 - 8 minute walk , hotel go major renovation hotel . renovate room . friend stay two night , want cancel reservation entirely would not allow . would charge we 1 night stay cancel reservation . stay 1 night , will charge two night - twist sale positioning . frustrate , stayed require 2 night cancel third night make completely new reservation somewhere else . hotel room disgusting , kitchen room . room dirty look like roach probably infest place . hotel staff welcome either . willing move we big room pay ridiculous rate , ask see first . horrified upgrade room . well room . save money , time worry whether hotel room turn okay book somewhere else . would not stay - would not recommend anyone unless clean act - staff & amp ; room quality . 
 Sep 30 2009 	 return 	 stay hotel 2005 & amp ; recent trip , purposely seek accommodation RCA close proximity Kensington Gardens , Paddington Lancaster Gate station ; be easy & amp ; regular access bus restaurant . hotel room quiet , clean & amp ; tidy . fact surprise hotel expand update room make much nice expect . glad choice . absolute value money . fact believe get pay ! partner & amp ; trouble - free & amp ; pleasant stay . would definitely return hotel next visit London . 
 Sep 23 2009 	 Little Gem 	 location hotel brilliant close tube station -lancaster Gate ( 3 min ) , Paddington Station 10 min away . staff polite helpful . pay £ 35 room ask double bed give twin bed . happy specify double . word receptionist polite give we single apartment double bed . although room little old fashioned ; everything clean tidy . complain rather noisy ! hear floorboard creak morning ! noise street apart , fine . come recommend hotel . 
 Sep 17 2009 	 still good deal London overall 	 second stay Royal Court Apartments , plan stay future trip ( unless hotel go downhill , ! ) .I request refurbish room , give one -- ground floor . thing not thrilled . room give actually build slightly ( slightly ) underground , ground floor still construction . noise connect , bit man 's land . room next people , across seem linen storage room sort . not think rest floor ready occupation yet . good point regard ? quiet ! well , save time neighbor talk loudly leave day slam door . the issue , since face wall another building not high , natural light come save daytime curtain leave open . room light terrible . mention first Royal Court review find light last room bad . well , stay far far bad . dark could not even see kitchenette area night . everything else look dim feel dark . already bit weird floor , light not help thing . make feel basement apartment . the bathroom split two ( shower sink room , toilet sink room , across ) . little weird first , make thing easier far keep show toiletry vs keep get dressed one . problem despite seemingly odd setup . the lighting bathroom great , little & quot ; hall & quot ; area . rest room sooooo bad . ' part really really hate . everything else amenity wise fine ( first time ) . room roomy , clean , well upkept . kitchenette near everything could want need ( still salt & amp ; pepper though ! ) , be perfect . could not see ! warning would give ground / basement floor room tv reception funny . hotel seem subscribe Sky since last stay ( Yay ! channel handful ! ) . due location room , would sometimes take load , channel would not . could not get ITV ITV2 save first night . see thing purposely want see two channel , bit annoying . also channel guide room , flip around lot . would handy room . as say first review month back , location hotel can not beat . ' ve get 4 tube line Paddington Station , plus train service south west leave , plus many food option near station . also Central Line Lancaster Gate opposite direction , though try use one top Oyster personal service since 's often pack tourist Hyde Park . I will definitely back Royal Court Apartments , hope ground floor unless ' ve instal well lighting ! 
 Aug 28 2009 	 great place economy traveler 	 short : great location , great price ( EUR 94 per night unrenovated , spacious 1 bedroom + kitchenette + couch & amp ; tv -area ) friendly staff . I friend stay room 103 ( unrenovate Aug 2009 ) , first floor , view backyard ( quite ugly , be always tv ) . hotel currently renovation , building street , view street would noisy . the room outdate little dirty ( candle wax sofa table , stain carpet ) , also spacious ( two separate room , big window ) separate wc shower room . kitchenette surprisingly clean ( prepared clean ) wc shower room . TRANSPORT TIPSIf arrive Heathrow , take Heathrow Connect -train Paddington , cost 7,40 gbp one way take less 30 minute . Paddington less 10 minute walk hotel . ( tube cost app . 5,50 GBP , take hour , change line . ) stay least week , buy Travelcard ( Transport London , app . 26 pound tube zone 1 - 2 per week ) , grant access central tube bus line 24 hrs day . nightlife lover several 24hr night bus line city center close station ( Lancaster Gate Paddington ) , not take cab ( app . 20 - 25 pound Trafalgar Piccadilly ) . find night bus safe trustworthy . visit http : //www.tfl.gov.uk/ truly load useful information onsite . 
 Aug 24 2009 	 great price nice location near mass transit 	 wife spend spring break London 6 day hotel . pick large part base review disappoint . room nothing special not expect . , not sit inside watch movie . nice sink , microwave , small refrigerator , though barely make use . ever return will probably use more . easily walk Paddington Station . take Heathrowe Express train Paddington walk probably 10 minute , top , hotel . hotel , be 3 block 5 minute , roughly , walk north end Hyde Park Lancaster tube station easy subway access whole city . overall , excellent subway system ( bus ) , issue hotel sort far west side London 's attraction . want walk lot , easy get anywhere pretty quickly hotel . front desk staff nice enough require ( basically hand we room key every time return go ) , experience problem room . hotel also 2 internet computer make keep current event back home pretty easy . think cost something like 2 pound 30 minute , maybe even 1 pound . not free , expensive , either . overall , would stay . 
 Aug 21 2009 	 Compact comfortable great location 	 satye 3 night one newly decorate room ground floor . clever compact kitchen , dining table chair well decorate bedroom bathroom . great shower ! corridor still work progress public area nice . 5 minute walk Lancaster gate tube station Hyde Park , location could not well . Una , Dublin 
 Jul 17 2009 	 Great Location 	 RCA right around corner Paddington Station block Lancaster Gate Tube stop . Super easy get around town , even Tube strike , many bus run Paddington . one refurbish room happy big room get , living room separate bedroom . yes tv not get many channel , couch comfortable shower leak , not spend much time room really matter . staff kind , helpful , replace towel make bed every day . computer lounge may use small fee , free wifi lounge well , able get wifi connection room 2nd floor without problem . & amp ; Paddington Station make sure stop pick supply . ( wine key room , fyi ) ... good budget hotel . wish bar open . : ) 
 Jun 27 2009 	 good place stay tight budget 	 teenaged son stay two week June ' 09 . location nice , situate Paddington Kensington ( across street Hyde Park ) station . be come Heathrow Airport , Heathrow Express stop Paddington . 's maybe ten minute walk Royal Court Apartments . resturant grocery store stay open past 10 pm around Paddington station . the staff friendly helpful stay . arrive room ready problem hold suitcase we . visit split two stay Scotland weekend . room clean look bit old . renovate assume room yet redone . however quite comfortable . air conditioning windows open must summer . kitchen / living room include pot , pan , bowl , plate , cup , glass , eat utinsil like . small refridgerator , stovetop , oven , microwave also provide . request seperate single bed bedroom . comfortable clean . bathroom either come bath / shower shower . staff replace towel daily . wireless internet available lobby free . however time could access room second floor . the drawback first week stay front side build street noise would keep we awake not bring earplug . second week back side problem . I stay next time ' m London . 
 Jun 25 2009 	 Pleasant Accommodations Good Price 	 pleased experience would stay . hotel convenient Paddington Station staff friendly . room spacious kitchen well - equip dish , tea pot , toaster , glass , sliverware , etc . bed small , comfortable . decor bit date run - down , room clean . room face street noisy dark night . internet access lobby 50p 15 minute nice available . overall , positive experience good price ( 87 pound per night ) . 
 Jun 21 2009 	 cheap 	 Room clean , maybe bit date , price definatly worth . room ( 505 ) top floor , do not lift it . we enjoy stay , cheapness , cleanliness brilliant location tube / hyde park , definatly stay ! 
 Jun 21 2009 	 GREAT value expensive CITY 	 enjoyable week stay 13th 20th April 2009 . read lot review Tripadvisor look forward stay ' disappointed . I book double studio gbp 53 per night directly hotel seem really good value expensive city London . arrive around 9 expect ' able check 2 pm , store luggage thing London hotel ' charge . come back 2 pm able check however like another review ' able get book double studio end upgrade twin one bedroom flat first ' thrilled want large bed , turn good end second bed come handy storage space . like lot hotel London hotel suspect start 4 5 grand home build 150 year ago result room hallway bit mishmash logically lay . room number 103 perfect example . small entry hall cramp toilet wash basin tiny room one side reasonably sized combined living dining area plus small kitchenette , small microwave mount wall close sofa careful sit sofa bang head microwave , . bedroom long narrow 2 single bed end end wardrobe . bedroom , tiny shower room one tiny shower ever experience . room one unrenovated room furniture fitting see well day adequate . room face rear courtyard overlook roof ' mew house behind hotel noise ' issue . hotel nice lounge area lobby free wifi access . two small lift hotel bit slow find stair convenient leave plenty evidence renovation go hotel use back stair . while may sound bit negative overall really impressed give price , location helpful staff first place look next visit London . the location 2 - 5 minute walk Lancaster Gate underground station 7 - 10 minute walk Paddington station . surround area rather elegant good selection restaurant towards Paddington station area . pick rental car Friday afternoon problem parking within 50 metre hotel Friday , Saturday Sunday 7pm . if look inexpensive , well locate accommodation expensive city ' see go past Royal Court Apartments . 
 Jun 16 2009 	 good value London old room clean comfortable 	 stay three night , room one still renovate clean well equip kitchenette contain everything would need . real bonus pedestal fan provide air movement . staff courteous helpful location quiet handy park , shopping , Tube Paddington Station 
 Jun 6 2009 	 average lodging near Paddington station 	 stay Royal Court Apartment May 24 - 28 . apartment average type lodging . 's old building , look like need paint job . carpet need replace . however , one bright spot bathroom remodel recently . apartment full kitchen ( refrigerator , microwave , plate , mug , utensil ) . 's useful plan buy food supermarket instead eat . hair dryer apartmentDo not use phone room ; will charge 0.25 pound per minute even use pre - pay calling card . internet service 1 pound per 30 minute . the apartment 2.5 block Paddington station . Heathrow , take Heathrow Express Paddington station . 
 Jun 5 2009 	 good 	 stay wife , sister child . position fantastic , 3 minute walk tube fantastic Hyde park . Ther also lot restaurant . staff friendly , special thank Cristiano helpfull man ! Grazie Cristiano ! suggest direction improve cleanliness apartment ... good 
 May 20 2009 	 Disappointing 	 stay several time past 6 month , disappointed room service time . room 111 - 1st floor rear . 2 single bed back back ` ensuite ' could hardly move around . room clean decor fitting see much well day . Windows filthy , curtain hang rail , electrical socket badly fix , light bulb not work . Shower look uninvite . tv reception awful , despite ask help , none forthcoming . bar not seem use month mattress store . ' m glad stay one night . think 's disappointing RCA clearly value brand loyalty . think RAC need spend money refurbishment lose 's trade . 
 may 14 2009 	 great stay great location 	 2 suite ; one three teenage daughter one wife . great two bathroom two sit area . complaint kitchen dish , cup , utensil . coffee pot look ancient ate breakfast everyday . overall , terrific choice . quiet neighborhood come home crowded tourist area . less 10 minute walk Paddington Heathrow Express . less five minute walk Lancaster Gate Central Tube Line . definitely keep hotel list next trip . 
 May 13 2009 	 good value money 	 girlfriend decide stay first holiday together , stay rate roughly £ 54 per room per night double room . room ws lovely beed good size . comfortable problem gettin sleep . issue would road work go around hotel not start 8 morning . point already awake gettin ready start Journey whatever plan day . bed good size , little Kitchenette prove godsend came make breakfast random midnight munchie . kettle , tea , coffee , sugar , cup dinner plate , two slice toaster microwave also prove handy go restaurant portion huge eat take home reheat later night enjoy watch movie decent sized tv . plenty storage space clothe . comfortable little 2 seater sofa room well little dining table make we decide get takeaway night bring back little dining table . hotel 10 minute walk paddington train tube station good fly Heathrow get heathrow express train straight paddington station . also close lancaster gate station . many restaurant nearby within couple minute walk distance . usual suspect , McDonalds , Burger king , Kfc , area couple Steakhouses , bar serve Sunday roast , several indian italian reastaurant nearby . would prefer cook meal dinnette little food market nearby also . area hotel situate seem nice , not feel threatne occasion remember somthe need get next day comfortable walk around local area own . the hotel Tube zone 1 good beause attraction want see locate zone 1 2 mean tube card valid 3 day travel zone 1 2 . paddington go London zoo , Camden market , Natural History museum , British Museum , National gallery , London Dungeons , Tower London , Hyde Park regent Park Peacock Theatre near west end . perfect location , excellent value room price pay . useful Kitchenette , friendly staff . use storage room since arrive 9 morning check not 2 day leave luggage storage room tell would come back 5 even check properly completely fine . also flight leave london not 7 pm let keep bag storage check time 11 am free pleased final day without take luggage we . complaint place would definately stay . 
 May 5 2009 	 decent apartment good location great value money . 	 stay april almost week London short break . room renovate one , wich get unrenovated price . mean great value money . pay 320 GBP 6 night studio apartment . familiar London hotel price see bargain here . the hotel old . sign time evident . & quot ; Renovation & quot ; mostly optical conceal outstanding maintenance . recently renovate room already crack floor tile outside window could not close properly . various room renovate moment , result dust noise , though work start reasonable time morning . room adequate . bed horrible , , always . Flatscreen tv 40 mainly english channel free charge . kitchen fully equip make Tea coffee , breakfast even lunch dinner . bathroom ok . towel change daily supply various thing pleasantly surprise we price range : toiletpaper , coffee , tea , sugar , milk , soap , shampoo , washing - up - liquid , sponge , kitchen paper complementary . whole apartment reasonably clean clean daily . Staff international friendly . reception open 24 hour day . lobby television internet , bar wich close stay . hotel five minute walk Paddington train- tube station . at price pay , fantastic would recommend anyone . leaflet normal ( rack ) rate reception desk . honest , would not enthusiastic pay price state ... look nice offer ! 
 May 4 2009 	 Excellent Hotel Good Price 	 book room Royal Court Apartments mother , little concerned widely divergent review . price right , room clean place safe , ' m generally able cope tight quarter outdated furnishing . still , cross finger would get refurbish room seem main factor influence people 's review here . we lucky enough get nicely refurbish room second floor . everything modern clean . cabinet well - stock anything might need prepare meal room , room spacious London standard . -- minor -- compliant bathroom cold use shelf hook toiletry towel . would nice hair dryer bathroom could see mirror use instead tuck drawer sit area . staff consistently courteous helpful , even make special effort get room clean quickly arrive 9 , several hour 2 pm check - in time . room clean well day , although neglect replace small milk container coffee tea -- big deal buy large container use breakfast , ' m sure front desk would send ask . the location convenient , right Paddington Lancaster Gate Stations , several bus line stop nearby . lot restaurant shop snack nearby . stay , repair do water main near hotel , create extra noise day , street generally quiet feel safe . also not notice squeaky floor room noise might expect old building . overall , great experience Royal Court Apartments , will certainly consider future trip . 
 May 4 2009 	 great value stay London 	 stay Jan ' 09 good friend . long weekend London . first arrive pretty early , stow luggage go hour room available . actually show we two different room choice . one newly renovate studio ( look great ) , one old room suite . go suite would little space hang . room bathroom , separate bedroom two bed , separate living room small kitchenette , small table chair , sofa , tv . obviously , since choose room renovate , worn keep clean . not noise issue . hotel also free wifi . people would probably turn stay old hotel room , seriously great value stay London . be right near underground , right near Paddington train station , near grocery store . short , location price fantastic . 
 Apr 16 2009 	 ` ` Ritz '' value money accommodation . 	 pleasantly surprised appartment . welcome good , room large ( 202 ) reasonably equip , location excellent , bed clean comfortable . problem shower sort immediately . Decor little shabby , pay , be expect . will return price similar level . 
 Apr 15 2009 	 Creaky floorboard - kept we night . 	 reasonable hotel good location . much crossing finger one new room , unfortunately disappointed . apparently room book unavailable put we old room fourth floor . room fine . problem every time person upstairs move , floorboard creak noisily . keep we awake almost night ear plugs , would definitely zombie next day . good way spend day sightseeing . 
 Apr 8 2009 	 rating depend room 	 stay teenage daughter total 6 night March . arrive around 2 p.m . first thing want receipt Priceline . Thought nasty surprise hear priceliner get bad room . decide think base happen next . first room give we fourth floor . lugging bag , find small , dusty musty . since asthma , ask another room , say not like , room available . second room second floor . large , separate living area tele , even mustier first , not realize moldy take close window open bathroom door . pphhhheeeuuu ! bad coughed night , not dare open window we asleep . scaffold outside window ground level window ! next morning , drop comment card tell difficulty mold . gentleman desk busy look . block street came run we say could find we re - do room without carpet . great ! move thing third time , room clean nasty smell come pipe . stay 4 night , go Wales overnight , book follow night since close Paddington rail access Harwich . pay ca . 65 pound night & quot ; new room . & quot ; Understand hotel redo room piecemeal basis , deal dust hallway . structure sag apparently deal new room floor buckle try lift floor remodel . also , even new room , drain not drain . , decide room standard cleanliness . allergy and/or asthma , insist new room , prepared pay . staff 's fault hotel feel deal smelly , musty workplace everyday . , 1 2 minor exception , helpful friendly , especially Christiano , help we get room could actually sleep . thank you . internet 1 pound half hour , slow . 
 Apr 3 2009 	 Great Location Good Budget Hotel 	 wife stay twice March part holiday stay room 204 time . hotel excellent location , road Lancaster Gate Underground Hyde Park , 5 & quot ; walk Paddington Station supermarket also nice pub road ( Swan ) . room good , kitchenette , lounge separate bedroom plenty cupboard space . furnishing bit tired especially lounge really difficult sit long period curtain not fit window exactly ( use clothe peg hold together ) , budget Hotel know always issue . stay London would quite happy stay , kitchentte handy us location excellent . find staff pleasant helpful we . 
 Mar 26 2009 	 Super duper budget hotel 	 stay three aldie weekend London . room 503 top floor . on arrival greet courteously point towards lounge sit check we . receptionist give we choice two room ( neither refurbish ) , think nice . go look room decide one would like . receptionist arrange luggage broought room . we pay £ 34 night , not expect much . pleasantly surpise apartment ( refurbish ) . open plan live / kichenette area massive large dining table 8 people sit around . Plasma tv light airy nice view town house . kitchenette well equip . although decor tired , fuss . everywhere extremely clean bed linen / towel look new . bed pillow comfy . receptionist always pleasant friendy . arrange limo pick we surpise ( hen weekend ) execute arrangement surprise well . could not well location . right Lancaster Gate Paddington station . also short walk Hyde Park . all pleasant stay . reason give 5 tired decor . 
 Mar 24 2009 	 Royal Court Apartments London 	 friend stay Royal Court Apartments March 5 - 10th . girl vacation hotel wonderful ! right Paddington Station Lancaster Gate . right around corner Hyde Park ! great little restaurant around corner ( Rose Garden ) good food inexepensive price . english food try typical american food non - adventurous , eatte friend , work perfect . not get refurbish room , upgrade we free one bedroom . room bit run ( not go London see hotel room ) , lot room luggage spread , linen clean . plenty clean towel , toilet paper , soap . blow dryer room . kitchennette nice . love turn key leaving morning - one less thing worry loose . recommend room girlfriend want travel London stay return . staff pleasant easy work . store luggage arrive early morning can not check yet . area safe . hotel clean . close tube . close Hyde Park . restaurant literally 2 minute walk away front door grocery store around . could want ? 
 Mar 3 2009 	 fantastic budget hotel great location 	 1st choice hotel Paddington area . use number time work London , choice budget hotel area . positive : location – 5 minute walk Paddington station . room – stay newly refurbish room , room currently await refurbishment ( believe on - go project ) , whilst room await refurbishment slightly tired date , clean . newly refurbish room excellent modern . staff – always helpful friendly . negative : room – room await refurbishment date . key – ' fan hand room key every time leave hotel . this would first choice look budget hotel London . 
 Feb 24 2009 	 highly recommend budget hotel 	 2 mature couple stay appartment fourth floor Feb. 18 - 21 ( three night ) .I highly recommend place : - good position ( close 2 underground line bus stop ) - safe , quiet clean surroundings- low price compare similar accomodation facilities- clean well service appartment- kind helpful staff . OlgaBratislava , Slovakia- 
 Jan 28 2009 	 Budget location 	 stay 4 night . location great , room little run ok price pay . probably stay ! 
 Jan 22 2009 	 Perfect location 	 spend 4 day hotel . enter room good laugh . romantic weekend long , narrow room two single bed : ) large sittingroom / kitchen tire sofa two wooden chair tiny little bathroom . even room need lot diy clean tidy . the location perfect , close Lancaster gate underground Serpentine Hyde Park . 15 min . walk Marble Arch ( Oxford street ) . great time hotel London , price right stay another time . 
 Jan 8 2009 	 bad place stay Europe 	 do - over , would pay least twice pay stay order get marginally superior room . the & quot ; apartment & quot ; ( really hotel room kitchenette / sit area ) stay tiny extremely shabby , border musty . nubby carpet , uncomfortable twin bed , closet bathroom . add fact place we apartment next elevator well , act like CLUE inquire constant clanging noise night day ... , well , two grumpy traveler . oh , neighborhood 's ok , interesting . not seek touristy neighborhood would fine boring & quot ; apartment & quot ; otherwise suitable . this really color experience London , unfortunately . pay extra something comfy interesting , be worth . 
 Dec 23 2008 	 avoid Place cost 	 amount place charge , worth stay . Expedia advertise 3 - star hotel . turn really run 1 - star apartment . not know be put false picture flat screen television leather couch wrong ! ! ! UGHHH . book place 8 night check moment check . floor wall thin old constantly squeek people move around . anyone rest kind condition ? ? two vintage computer lobby cost 1 pound 30 minute ! put 1 pound half hour search another hotel internet not even work ! ask front desk staff refund money since not work , REFUSED . kind customer service ? ! plus , anyone okay staying hotel ask report whenever step leave ( leave key front desk leave pick back upon return ) . kind environment , would rather stay hostel pay lot less . would wish place bad enemy ! end check Hilton far pay nearly amount pool gym , amazing customer service . 
 Dec 9 2008 	 great location great price 	 stay one refurbish room . great size room well heated ( freeze outside ) , friendly staff , could want . right beside tube , excellent value money . would highly recommend . 
 Nov 28 2008 	 cheap clean good location 	 room , 115 , clean . need 3 - night stay . staff friendly , helpful serviceminde . location excellent , 2 min away tube , Lancaster gate . accord information web - site , Paddington station suppose ble near station , opinion , Lancaster gate close . 
 Nov 28 2008 	 bleak house 	 Reception excellent , really friendly room ready lunch . room small ok , good bed , tv facility cook fairly good . bathroom really side entrance room . straight across small toilet hand basin ( cramp cold ) . view outside small walled area dismal sort leftover ground ( cigarette but etc ) green organic matter . see photo . scare americans stay one night really problem . corridor room run time time fill garbage sleeping sack ( ? ) even people sit floor ( employee transient worker ? ) . 
 Nov 12 2008 	 Great Value 	 stay first weekend November . absolutely satisfied , great value get one renovate room . convenient 2 metro station bus stop . staff friendly . get room top floor face street . traffic , peaceful . like little private apartment . toilet could flush every 40 min , forgot report hotel , not bother we much . especially convenient come via Eurostar ( need take one line get , St Pancras Paddington Station ) . 
 Nov 9 2008 	 Budget good location 	 stay 3 night June / July middle would probably consider London heatwave . evening quite warm air conditioning . apartment quite large consist three room , lounge , bedroom bathroom . neither large consider price lot big London accomodation . build quite old , lift slow creaky floor hallway noisy well . perhaps bad aspect bathroom / shower , feel like 4 foot air , leak badly floor mould everywhere . despite London not bad , location excellent , easy find Paddington train station , walk distance Hyde Park . staff excellent let we check early ( like 8 am ) excellent long flight Singapore . hotel quiet night though bed comfortable , big positiveThe hotel seem middle refurb , improvement bathroom etc would fine - would definately stay refurbed room 
 Oct 29 2008 	 Excellent value money 	 hotel locate close Paddington Station ( 8 minute walk ) Lancaster Gate . Heatrow Connection Heatrow Express stop Paddington Station . neighboorhood calm shop , restaurant Tesco around . staff kind give we refurbish room kitchen . since ground floor , could access internet inside appartment . the hotel refurbish room hear noise day . 
 Oct 28 2008 	 Fancy Fantastic Homebase 	 stay Royal Court Apartments three day great experience . front desk staff friendly helpful , room stay clean comfortable can not beat location . 's easy walk one , two Tube station , easy distance grocery store Hyde Park . convenient . refrigerator hot plate room save much money food costs- let us face , London crazy expensive , able cut cost could cook room huge plus . free WiFi available lobby also nice plus . these not nice room world , obvious sign wear tear around , be look somewhere posh stay would skip place . perfect , though . clean , comfortable place take hot shower , eat warm supper , check email , plan day ahead crawl comfy bed long day . ' m look forward next trip London ' m plan stay . 
 Oct 27 2008 	 Good Value 	 place great location . block Paddington Station National Rail , Circle , Distric Bakerloo line few block Lancaster Gate Station Central Line . get studio apartment £ 60 night stay 1st October 28th October . front desk staff helpful not become familiar easy staying length time . apartment seperate bathroom toilet , shower sink . main room tiny comfortable bed , table , tv , sink , stove come equipment ; silverware , dish , toaster , pot pan etc . street noise bit much , not start 7.30 make great alarm clock . clean daily new towel provide . use wash cloth , bring . soap , shampoo , tea , coffee sugar provide . 
 Oct 23 2008 	 Great Location Flash 	 brilliant place stay London one specific reason ; 's location . plonked directly middle Paddington Station Lancaster Gate tube station , 's brilliant come airport also get around central London . be also one block away Hyde Park Kensington Gardens fabulous walk around park relax away bit noise traffic . the hotel nothing flash , 's 's triple price ! room include small bedroom comprise two single bed exceptionally small bathroom handbasin , toilet tiny showerbox , separate kitchen lounge area amentie suitable make breakfast , tea / coffee possibly simple dinner either hotplate element microwave supply . stay toddler son sleep rollaway single bed lounge overall size adequate one night stay . it be completely adequate traveller would rather somewhere clean relatively tidy ( bit tired ) crash spend money sightseeing etc . nothing London cheap anyway get well value money outside city , - comparison other - really good value . also Sainsbury 's Paddington Station two block away cut cost overall stay . staff also friendly front desk first impression perspective . bad thing place would squeaky floorboard narrow hallway outside room , certainly problem realistic expectation London accomodation . would certainly come back stay , lack stress far get airport railway station ! aware , telephone room obviously different standard different room post photo traveller show room alot flasher . 
 Oct 16 2008 	 great welcome bring earplug ! 	 stay RCA 7 night 9/7 thru 9/14 . arrive 9 a.m. sunday morning problem walk paddington station . get receptionist ask we come ( oregon ) tell , say would let we check room could shower sleep . think nice 5 hour early not charge we extra . apartment fourth floor face gloucester terrace . small refrigerator , cooktop microwave . also plate , bowl glass . two room apartment . one two twin bed wardrobe , room kitchen small couch T.V . Gloucester terrace busy street noisy . not bring earplug first night trouble sleep , car speed night . go next day buy . earplug trouble . stay request room back hotel . get breakfast sell . expensive . walk craven road find grocery store . definitely save money eat breakfast room . also plenty restaurant store within walking distance , leave hotel make leave craven road . satisfied RCA ! 
 Oct 13 2008 	 Great Apartment Location 	 husband & amp ; mature aged couple . read reveiws apartment little hesitant ask see apartment booking . apartment little old fashioned extremely clean comfortable . ask one bedroom apartment back building would get noise street ( thank Tripadvisors ' reviewer ) .We large lounge lounge chair coffee table , small adequate kitchen complete table chair . large bedroom ( hairdryer supply ) lovely bathroom . traffic noise . Coffee , tea & amp ; sugar supply daily , room could service daily require . the location terrific , staff include clean staff friendly helpful . stay 7 night problem all . after stay 2 night another much expensive hotel various hotel Europe , find Royal Court Apartment stay good value money . would recommend friend . Christine & amp ; Brian , Sydney , Australia 
