everything 	 stay one person , hotel great choice . husband say would absolutely stay ..... long . stay 2 night Thanksgiving 1 year old 2 year old room WAY small 4 we . room stay ( 611 ) much big queen size bed . however , room size aside , hotel great . locate close Subway 6 line . staff friendly helpful . lobby nicely decorate leather couch fresh flower attach restaraunt nice . serve great breakfast croissant , bagel , juice , yogurt , fruit , etc . price , FABULOUS ! find deal internet pay $ 139 / night . however , NYC kill taxis : $ 12.34 / night State tax $ 8.17 / night city tax $ 3.50 / night Occupancy tax . 
 Aug 22 2009 	 BewareIs hotel go break ? 	 hotel well locate comfortable , thestandard room small side . however , amend booking arrive early plan , send 3 email well prior cancellation period stipulate confirm original booking cancel , phone confirm , yet charge show fee ! ! ! refuse refund show fee , say record cancellation despite provide evidence reply one email request confirmation cancellation ! ! ! deal Park South matter akin deal bureaucracy 1950 's Soviet Russia , either reply tp phone call / email give inane reason action . experience entities reluctant refund legitimate monie claim probably go broke . 
 Aug 6 2009 	 great hotel ! 	 Superior Queen room , good size . free internet . wonderful breakfast include serve 11 am . Black Duck Restaurant attach hotel .... great sit outside people - watch . catch subway corner . 
 Jul 20 2009 	 great price solid comfortable hotel 	 use live NYC come back stay many hotel . Liked one lot expensive one . get good deal via Quikbook.com , like place lot . Murray Hill close subway , lot neighborhood / attraction within walking distance . clean , friendly , room quiet . hallway floor lot window hotel first . bed nice , a / c work well . free buffet breakfast vary great . spend $ 140 room really happy . return . lot lot tourist lobby . bar / restaurant look nice . notice room classic hotel tacky ( ugly polyester bedspread , bad art , faux antique fixture ) rather simple , apartment - like . 
 Jul 14 2009 	 good location price / quality ratio + great breakfast . 	 nice convenient location exploration . N / S bind metro nearby , often walk fro . especially walk sout Gramercy Village nice . also quiet nyc.our deluxe room fairly big NYC bathroom lowrise tub . plenty space luggage without make obstacle course og one room . it also good plentiful breakfast attach restaurant . all great place retreat end reload . and actually resemble photo : ) 
 Jun 21 2009 	 good location happy find 	 ok , joke see room small do not take much luggage , may fit , location great , close Empire State Building . room bathroom clean breakfast great , abundant open till 11 am happen sleep may still get . internet free , quite fast . get great deal expedia expect anything flash , happy especially since time explore City . I would definately return . 
 Jun 12 2009 	 Fine need 	 stay Park South couple time business like . location , need , perfect . also like fact 's small boutique hotel , WiFi always work staff really friendly . great bar / bistro good wine selection comfy chair table open air street , weather permit . morning european breakfast buffet ( include ) set bar / bistro area another thing like . travel , last thing want stop another place - even coffee . go downstairs , enjoyable breakfast read paper watch news heading meeting . I receive complimentary upgrade time terrific . however , say noticed room wear tear - chair really need reupholstere mold spot bathroom ceiling . though , clean charming bed extremely comfortable . would definitely stay business . 
 Jun 9 2009 	 ok price 	 average hotel , small room , clean comfortable . smart part town , pretty handy public transport link ( 100 meter nearest subway ) . not far walk Chelsea / Soho Lots resturant / cafe / diner nearby . decent breakfast . staff pretty friendly . room rate not bad . room NYC seem quite expensive / small . consider Park South reasonable value money . think would book elsewhere next time , well location . 
 Jun 4 2009 	 Come value neighborhood stay jazz breakfast 	 second stay Park South , every bit great experience remember . love neighborhood , be pleasant walk short cab ride Penn Station area ( come DC Vamoose bus ) . arrive around noon expect drop bag bell desk , give room right away , appreciate . room small ( per usual NYC ) 's view , not tend spend much time room , high - quality bedding , lovely olive oil - base toiletry great shower key point . ' ve never dinner Blue Duck restaurant ( maybe next trip ) always end bar fun jazz set run midnight weekend - past trip combo lead charming russian singer / horn player . continental breakfast free guest well bargain around , be particularly pleasant way start day weather good ( Memorial Day weekend ) snag one outdoor table . 
 Jun 2 2009 	 lot fo room ( improvement ) 	 first : call & quot ; superior & quot ; room face brown brick wall . view unless get upgrade , may may happen . room seedy , smelly , small rather unconfortable . tv set bad signal . location ok . nothing interesting around , close , interesting area . people reception might friendly , depend get morning . butler . business center basement ( 3 old computer internet ) get need ask somebody come . get something else money , would not recommend Park South get major overhaul infrastructure staff attitude . 
 May 18 2009 	 Great Location average hotel 	 stay hotel cheap could find , do not share bathroom . room tiny , enough space put luggage . bathroom ok , small bath shower clean ( entire room ) . breakfast simple , ok , not expect much . receptie kind quick . location great ! walk Times Square everyday 30min - great walk ! thing bother house keeping keep come early , point show 9 , do not even leave bed yet ! easily help put ' do disturb ' sign . overall , small room , average hotel , great location ! 
 Apr 25 2009 	 get pay . 	 choose hotel price around $ 200 fee taxis . supposedly & quot ; superior Queen & quot ; room , think superior = regular . room tiny , read review expect NYC . like alot hotel must newly renovate everything clean fresh . quality room fixture bed excellent , tastefully decorate . probably save $ 200 night accept small lobby room . otherwise , top shelf . Black Duck next door , access lobby , great meeting place go , nightcap terrific free breakfast . coffee 's great pasterie fresh . stay , probably , ask room front right side building not look brick wall . even cost little , rate still reasonable . 
 Apr 23 2009 	 great location visit low manhattan 	 Park South situate 28th Park , easy walk Greenwich Village . wife , teenage daughter share Superior double room . room small side , bed comfortable room clean quiet . showerhead produce deluge hot water . park car couple block away 26th 2nd , walk cabbe way around city . good late dinner Craftbar pleasant walk back hotel . 
 Apr 23 2009 	 ok 	 stay last couple night NYC trip could not justify money pay New York palace full 5 night ( beautiful ) . walk door , come ! rain door - man could barely bother open door we , let alone help we room case . get case room , open door find small room ever see , look window see brick wall alley , bad funny . fiance immediately go straight back reception get we upgrade , luckily , would stay room , laughter would soon turn tear ! next room much well , view much large , big tv . breakfast morning not bad get one large room , would not bad value money . 
 Apr 14 2009 	 Nice hotel good location room quite small 	 realize 's NYC room 2 double enough room maneuver around bed . place put bag luggage way . will probably get space one queen king . closet half height normal closet , tall enough dress shirt . shelf space put toilettrie bathroom . otherwise , hotel decently price , clean good location . 
 Apr 1 2009 	 New York Gem 	 wife stay 5 night 25th March . Got rate include breakfast $ 120 per night plus tax , Expedia . first impression good , nice front hotel , friendly quick check clean public area . room ( 320 ) long narrow , decent sized bathroom good toiletry plenty clean towel . view ( , look around city stare window day ) , carpet clean , ceiling water stain near window , price pay still well satisfied . bed comfortable nice clean sheet 4 soft pillow . breakfast continental selection 4 5 meat various sliced cheese , plus selection pastry , bread also bagel . try deli next door excellent bagel sandwich fancy change . overall pleased would definitely return location excellent , subway 50 metre away end street . use free internet access occasion , welcome extra . small gym/ work - out room use . contrary review , staff hotel excellent , friendly go way help . , little gem . 
 Mar 31 2009 	 Clean reasonably price 	 town see play sway reviewer nice hotel . double room really quite spacious NYC flat screen tv . hotel give clean feel . arrive hotel around 2:30 gentleman front desk extremely friendly helpful making sure everything need . perfect place lie head night . 
 Mar 29 2009 	 Modern comfort cleanliness right price ! 	 book hotel last minute weekend getaway NYC pleasantly surprised choice . location 28th street Park Lexington Ave nice . subway station right corner 28th Park Ave service 6 train , make get around breeze . hotel exceptionally clean . room course little small side , expect major city . still comfortable enough spacious enough two people though . nice perk complimentary breakfast hotel 's restaurant , Zagat rate . 
 Mar 29 2009 	 great value location small room . 	 convenient location . small boutique - type hotel . great rate ( pay $ 189 AAA rate include free breakfast internet ) . room tiny . picture online make seem big . pull desk chair , hit bed . barely enough room open suitcase floor . & quot ; closet & quot ; like locker -- even full length . solo traveler couple night , bad inconvenience , would recommend 1 person ( unless REALLY like : ) ) note : locate area many great indian restaurant , include one right next door . hotel hallway smell like curry , imagine room face direction would smell well , least window open . problem love indian food . sensitive thing , be something consider -- might want request room low floor avoid smell . 
 Feb 17 2009 	 great price great location ! 	 stay Park South Hotel 3 night end June 2008 short stay New York . give superior queen , room 701.i pleased room . bed extremely comfortable excellent sleep throughout stay . bathroom clean towel fluffy lovely . find luxury bathtub bathrobe nice touch . there safe room ( build wardrobe ) use time . sure secure seem robust enough . least trust it . a highlight hotel free internet access , invaluable way contact family . yes , room fairly small give New York , think reasonable feel cramp . ( admittedly , alone trip think even partner , would problem , provide one not load big suitcase ) especially like little touch hotel , chocolate pillow night , really good bath product ( Baronessa Cali good smell gorgeous ) free newspaper deliver door morning . breakfast tasty big selection various food . even fresh fruit available ( crave many heavy meal stay ! ) .All , would thoroughly recommend hotel . 's location fantastic ( within walking distance Empire State building step away subway ) ! also , would like add although female travelling , never feel unsafe area . 
 Feb 12 2009 	 good value get 	 stay night honeymoon reasonable price could find Manhattan hotel . pay $ 209 night book via Quickbook . usual amenity include , even robe provide . really nice toilitrie . safe provide room . room small expect central Manhattan hotel . breakfast good choice , continential style , include price . would stay unless find well deal elsewhere ! 
 Dec 14 2008 	 Park South deliver 	 stay Park South four five weekend , hotel never fail deliver clean , good room , good service , great atmosphere reasonable New York price . our recent trip quick overnight , check - in quick easy . hotel give we complimentary room upgrade room fine . the international atmosphere provide guest world simply add ambiance . the Park South real find city exorbitant hotel price . 
 Dec 13 2008 	 nice hotel also affordable 	 stay Park South Hotel friend 's hen weekend NY ( Easter 2008 ) . hard time find hotel Easter weekend , relieve find three - bed room expensive . think affordable price would mean would get less quality hotel 's service , feel really lucky get hotel realise exceed expectation . clean bed comfortable . window overlook backyard , offer view room indeed small . barely room open suitcase three we , take turn open get clothe . pleased opt big room instead even small cheap one ( can not even imagine small would ) .The staff helpful always answer question smile ( night arrival , ask cup camomile tea ( kettle room ) one we not feel well bring room minute . breafast treat . could fill start heavy day sightseeing around NY , bun bagel amazing , coffee really good ! sit area breakfast serve really pleasant , use restaurant evening . one evening , feel really tired day 's walking decide dinner . disappointed ! food beyond expect nice atmosphere jazz music play background relax ... overall , please Park South Hotel option 
 Dec 8 2008 	 wonderful stay 	 stay hotel 15 night 21 year old daughter . find pleasant comfortable experience . twin room top ( 8th floor ) huge comfy double bed , plenty room ample storage space . even partial view Chrysler Building little street noise double glazing . particularly love bathrobe , free internet , large flat - screen tv , two daily newspaper - good - chocolate pillow night . free breakfast huge include : bagel , different type bread , cold meat , cheese , cereal , fruit , yoghurt , muffin , etc . location perfect , . 6 subway metre away corner . lot nearby restaurant delis . complaint unprofessional behaviour desk staff often laugh loudly amongst joke together completely ignore guest waiting desk . one particular female staff member rude unhelpful ask possible loan voltage converter electrical appliance . apart wonderful stay ! 
 Dec 7 2008 	 horrible room staff not care 	 book room priceline . list everywhere $ 400 , name price bid get room $ 199 . unfortunately feel like give we bad room hotel . first floor locate woman 's restroom ( use restaurant bar patron ) staff entrance kitchen ) smell like body odor several hair bed . 2 am hear bathroom toilet flush , woman talk bathroom , heel click tile floor . call front desk ask switch room say full nothing could . noise finally stop around 2:15am bar restaurant clear one use bathroom next room . 6 am kitchen noise start . People bring tray glass dollie back entrance kitchen clink . staff take break outside kitchen talk right outside room . sleep 2:15am 6 am . mention staff upon check , tell would & quot ; look & quot ; would not anything else . horrible experience return . 
 Nov 19 2008 	 Terrible Service 	 wife 's parent fly Japan week . last weekend , book room . ask specifically double bed . call confirm week prior . request assure we would not problem . call Friday weekend confirm . not request therefore room not ready . assure we would double bed room available . Saturday night come , full day NYC , course , show , not double bed room request . see trainwreck come far along try find another hotel . what be bad , management take tone & quot ; oh well & quot ; not even reduce rate try compensate we inconvenience . wife 's parent comfortable separate bed , not get , fly Tokyo next day . thank , Park South . epic fail loss potential customer . 
 Nov 11 2008 	 gem busy city ! 	 stay business five day period comfortable . although continental , breakfast excellent . hotel clearly cater Europeans foreigner , service excellent . amazing chicken dish hotel restaurant , way , worth every cent ! look forward stay next trip . 
 Nov 9 2008 	 Clean Compact ! 	 small busy hotel . one high floor . much view window , price room great . have New York time know pay silly money absolute trash . case . $ 250 night hugely cheap , less NYC often end dive ! clean bedding shower , important . nice flat screen room . comfortable room continental breakfast complimentary usefull fill stomach hit shop ! ! ' Indian Curry ' neighbourhood , like Curry many great place ( restaurant simple cafe ) within walk distance . great place set camp shopping trip NYC ! 
 Sep 4 2008 	 park south nightmare 	 big disappointment . book room jet blue . ask non - smoking room . time booking , rcceive email confirm non - smoking room . arrive , find next elevator smoking room . reeked complain , send spray , spray room pronounce non - smoking . room still smell . ask non - smoking room . response would comical not uncomfortable . first insist non - smoking room . point room across hall smoking plaque , smoke free , respond not entitle smoke - free room book thru expedia -- except not go thru expedia . show clerk receipt , say get room cheaply would not change room . pay 150.00 per night two night . first night elevator wake we every 15 minute . cigarette smell burn nostril . next day ask change repeat excuse . directly exchange , witness one desk clerk get physical altercation another worker basement business center . flee hotel . 
 Aug 31 2008 	 horrible experience 	 book room arrive hotel tell room available unexpected illness person evacuate room . send another hotel around corner , offer we single ROOM instead SUPERIOR QUEEN order . go back Park South hotel get argument understand ACCEPTABLE . apology compensation offer . harsh argument , another hour wait finally find we solution hotel block away . never treat miserably hotel . not go ! 
 Aug 28 2008 	 good find 	 good location , small room bath.fridge , safe.clean , good staff.some noise outside air con . New York hotel expensive get . 
 Aug 19 2008 	 good tourist hotel 	 room small okay night . stay away room 1st floor near AC 's noisy . excellent continental breakfast friendly helpfull staff . business centre 3 pc 's good fast internet connection . location great ; minute subway entrance . 
 Aug 13 2008 	 highly recommend Park South Hotel 	 return 4 night Park South Hotel please stay . staff professional friendly always helpful . continental breakfast include , wonderful wide variety breakfast food . add bonus continental breakfast available 11 a.m. every morning . room smallish , criticism poorly light . two lamp room , bright . course not spend much time room inconvenience , major complaint . room full size closet rather combination half size closet chest drawer , not problem . someone pack lot dress skirt may found issue . room always make , supply towel replenish regularly . evening turn service , include chocolate pillow . the hotel conveniently locate near 6 subway easily accessible anywhere want go . complimentary ethernet room , also business center computer printer available . all , Park South definitely someplace return future trip NYC . 
 Aug 3 2008 	 average hotel 	 daughter stay 3 night early July . check - in fine . however , room 1st floor right next hotel 's air conditioning machine noisy . first night jet lag slept ask could move two remain night . take care fuss . bag move we come back quieter room high floor . room small little wardrobe / storage space . ok we 3 day problem be plan long . bathroom fine although agree another reviewer , nowhere layout makeup / toiletry ' m use . think hotel bathroom design man man ! breakfast include price , however , exciting - simply fuel stop ! coffee particularly awful . find reception staff friendly helpful part , although sometimes wait . although hotel wi - fi access , not laptop we want get online . ask local internet cafe tell could use hotel 's business centre free charge handy . perfectly average hotel . first time New York , ' m sure well ( expensive ! ) hotel , reasonably convenient location , fine . 
 Jul 29 2008 	 nice quaint hotel 	 stay Park South two night , nice . room decent , big ( compare NYC room ) ... bathroom kinda remind one - person bathroom restaurant , clean neat . complimentary breakfast nice plus . location great , close E. 28th St. subway . 
 Jul 9 2008 	 love 	 love Park South . stay three night even though book room 189 $ first night 269 $ two follow night , give cheap rate three night ( incl . breakfast ) . last day , ask please order taxi bring airport evening - upon return hotel , actually book small limo 50 $ flat JFK . nice . admittedly , room bit small . not need much , though , not spend much time hotel anyway . room clean well furbish , flat - screen TV . 's little storage room , travel , not cause problem . room quiet location perfect . 's step subway station ( green line ) , Lex Park great anyway be also good starting point stroll around Village Soho . 's Duane Reade Starbucks literally around corner several restaurant shop nearby . I definitely return hotel next time ' m New York . 
 Jul 2 2008 	 not amazing ... 	 not first choice accommodation . New York New York though , hotel space come cost also book early ! put ! check pretty place . staff hit miss . lovely door man - scrag reception lady . seem though think run five star hotel ? ? room not ready arrival ( quite early ) , happy us leave luggage go get brunch . return later still not ready , wait lobby area . whilst sit around , see several client wait around attend lady front desk chat mobile . acceptable opinion . when finally get room , literally could fit door . shoebox ( keep remind new york ! ) . suitcase room , could get door ! air con break room extremely stuffy hot . try open window , open small amount due stopper fixture . tell next day fix afternoon . the front wheel bed break , noisy every time move around . mattress also extremely hard , honest not good night sleep . bathroom facility fine - space lie make - up , toiletry etc . girl , bring hairdryer , one provide rubbish . felt like 10watts . surprisingly shower powerful spacious . internet provide via cable room . wireless not need consider room move around . not eat hotel restaurant - would much choice ? personally would stay Bowery somewhere nice next time - be use big room professional service . be last minute traveller like - park south hotel suffice . 
 Jun 19 2008 	 courteous professional service way ! 	 stay Park South Hotel NYC June 12th June 15th , 2008 . book via Quikbook.com , recommend prepayment require reasonable cancellation period . young child home , flexibility always must ! note : trip husband , celebrate 16th wedding anniversary . arrive 3 pm immediately check inform have receive free upgrade Superior Queen room would book junior suite king size bed ... yeah ! speak size superior queen , room spacious , amenity have expect . small issue cable / wireless internet arrive . big deal , time return room later evening resolve . temptation always get track describe entire trip write review , apologize advance slip ! Suffice say hotel truly oasis middle exciting , busy exhaust long weekend . arrive back room would always pause front desk ask ice send , actually beat we ! request / need always handle politely quickly . last day find 9 am flight cancel due ground stop JFK . rebooke night , sleep ( RARE treat 3 kid ! ) 11:30 . have ask late check full evening could accomodate we , however stow luggage could 6 hour fun city , recommend great car service use , would highly recommend route plan transport airport via cab anyway dollar ( literally ) much nice experience . well , be think . question feel free ask ! think , first time city , wonderful choice . great value money ny sure . highly recommend hotel ! 
 Jun 14 2008 	 nothing fancy great choice . 	 stay Park South 15 night . prove excellent & quot ; base camp & quot ; extensive NY exploration . room 306 ( one well room ) clean comfortable room perfect bed , airco , flatscreen , fridge , safe bathroom shower / bath plenty towel , overlook street . Centraly locate E28 , Lexington Park Av South , Park South Hotel deliver good value money . cabfare mayor NY & quot ; site & quot ; seldom exceed 10 buck . parking face hotel subway aprox . 150 ft leave Park Av corner . it be lounge / restaurant & quot ; Black Duck & quot ; serve simple tastefull daily breakfast 11 open cocktail , drink dinner , inside small curbside terrasse . every Friday Saturday offer live jazz . Park South provide whole tralala fancy service , offer execute well friendly staff : housekeeping , town car transportation , internet ( wireless cable connect ) business service ) . talk doorman Chuck . hero . if expect spacious room , five star service , rooftop jacuzzi Michelin Star Food , pay double elsewhere . need sympathic roof head like almost & quot ; boutique & quot ; kind atmosphere , check ( ) Park South . definately again . Rob CaptijnAmsterdam Netherlands 
 Jun 11 2008 	 Satisfying Stay 	 stay Park South Hotel last night week - long visit NYC , original hotel could accomodate we additional night . , perspective one day 's quick visit . double room long narrow , use second bed luggage , since place put otherwise . lot NYC hotel room small weirdly shape , especially small hotel old building , ok , since not room much . room nicely decorate , bathroom well . everything clean . far location , Park South pretty much middle nowhere close everything , subway station end block . would 10 - 15 minute walk Grand Central . would stay night rate low . 
 Jun 11 2008 	 great value option NYC 	 stay 6 nite - definitely great price , ( book online thru book mega - site ) tho ' small , even typical NYC & quot ; small & quot ; . super quiet , nicely appoint , ( recently redone ? ) , staff part exceptionally nice helpful . great location ( Murray Hill ) . subway stop block . heart & quot ; Curry & quot ; Hill - plenty indian shop restaurant right . one good gourmet food shop U.S. half block away - Kalustyan 's . two we double room - place suitcase , closet isn'tfull length tho 's rack hook behind room door long item ( like pant , dress ) ; air cond . work great - heat wave ( mid 90 's ) really need a / c outside day ; bathroom small efficient - okay shelf space ; decent continental breakfast - good coffee ( important we , tho 's Starbucks block away ) . return . 
 May 29 2008 	 overall good experience 	 stay Park South Memorial Day weekend 2008.the room , tell & quot ; upgrade , & quot ; like sleep box , barely 10x10 bed , bathroom desk w / chair , , closet ( hook wall , ) barely room pass walk around bed . wonder get room online ( Hotels.com ) hand -- room clean- Breakfast excellent ( include price- room available free internet access computer- subway less block awayso , although irritated size room , everything else place fine . 
 May 28 2008 	 comfortable accommodation 	 stay Park South Hotel two night Memorial Day weekend pleasant experience . other note , room eight floor small comfortably furnish , bed linen , towel , bathrobe good quality . bed also quite comfortable , free Wi - Fi morning newspaper plus . ( negative non - functioning mini - fridge , would handy could figure plug turn ; would tried stay couple night . ) continental breakfast basic well - stock essential dry cereal , fresh bagel muffin , fruit , yogurt , slice ham chesse , cereal bar juice ( coffee bit weak , however . ) not dine hotel 's Black Duck restaurant , nightcap listen jazz trio theater Friday night . hotel well situate Murray Hill / Flatiron district , enjoy explore ; highlight Madison Square Park , total gem dog run , sculpture lawn , cafe table bench , etc . 5 - 6 block hotel . also enjoy tapas dinner nearby Pamplona restaurant , surprisingly empty Saturday ( perhaps due holiday weekend ) . # 6 subway mere half - block away , choose walk excursion hotel convenient location . overall , think Park South good value money would certainly consider stay . 
 May 15 2008 	 FIRST BREAK 6 MONTH BABY 	 NYC 6 month Baby - Park south Hotel ok ... want make sure hotel everything need husband write email confirm everything.eg travel cot etc .. surprise reply sketchy rather rude ! ! .. hello 's thank yous sign off ! reply email make sure everything request go available first reply say need .. ( course need travel cot ! ) set trip expectation hotel rather slack ! arrival polite accommodate . really little interaction staff door man nice enough . the room like everyone say small side not bother we . wake next door people argument one night that s hotel fault . one good thing continental breakfast serve restaurant next door . you expect see many european stay many people age 25 year . see baby child stay whilst there . our stay pleasant short . not kettle feed use coffee machine heat water ... fault checking . for price pay staying not think good enough could hve effort decor staff . 
 Apr 25 2008 	 Nice Hotel Good Location . 	 much search , decide stay hotel due recommendation website ( price , location , quality etc ) disappoint . hotel small room , ask straight away could move hotel happy oblige . second room give we space ( not huge ) allow we comfortable . hotel staff friendly helpful ( request give we coffee maker , allergy free pillow , book taxi back airport ) nothing seem much trouble . restaurant good reasonably price ( ideal meal hard day shop ) subway station corner . hotel also clean , bed , towel etc . bed comfortable , although room get quite hot ( air - con fan heater never seem help much ) view room much good never really issue we . 
 Apr 16 2008 	 Great Easter holiday 	 good location ; great staff ; great breakfast ; excellent restaurant ( live jazz friday evening ) ; small double room ( well choose twin ) 
 Mar 1 2008 	 not love Park South 	 Disappointed ! Website make guest room look comfortable , walk room feel like cruel joke ! exaggerate say walk - in closet sized . room walk around bed , mini fridge door could open way space tight ! bathroom terribly small - space toiletry . real closet room - cabinet 5 rod stick towards fit hanger traditional way . trendy though , okay area . would not stay $ 100 
 Feb 3 2008 	 Front desk staff need attitude check 	 ' ve stay hotel three time good friend come New York business . room vary widely size , tiny large tastefully decorate . housekeeping staff wonderful job , dining room staff breakfast dinner . unfortunately , front desk staff not seem learn haughty condescend service go fashion New York sometime September 11 , 2001 . last visit , simple request minor assistance front desk meet indifference , inaction discourtesy . fortunately , dining room staff jump aid . recommend management invest basic & quot ; interpersonal skill & quot ; course front desk attendant , dime dozen New York . 
 Jan 22 2008 	 Great experience 	 stay property friend January 20th-22nd . bad experience nearby Murray Hill hotel , give property call hope well place stay . staff cordial initial call phone check - in . gracious enough extend complimentary room upgrade . room clean , overly spacious . not plan room whole lot , perfect place . complimentary breakfast ( pastry , cereal , muffin , deli meat hard - boil egg ) , free internet access newspaper . great amenity new york hotel $ 209 price tag pay per night . also one quiet hotel room stay . room locate back hotel fourth floor . never hear honk horn , people talk door slam . bed also comfortable great linen many pillow provide . way checkout doorman ask head car wait we step front door . overall , fantastic experience would recommend hotel anyone stay NYC . 
 Jan 5 2008 	 clean quiet hotel - great hq be plan lot 	 nice clean little hotel . quiet room , good cleaning desk service . boyfriend stay week early december . room not large comfortable clean . safe break four time handyman manage fix time . view brick wall across courtyard not really room enough matter . , cab anywhere town cost less $ 10 , hotel feel safe great neighbourhood bar walk attraction like Empire State Building would seem like quite good bet be visit shop look around . would certainly stay go back . restaurant try blue Smoke ( jazz great bar open late - food brilliant ) nearby . try see something Madison Square Garden try make 11 Madison Avenue eat - great service wonderful wine list . 
 Jan 3 2008 	 fantastic hotel 	 Park south fantastic hotel . great double bed room , nice staff , breakfast include subway step away . will stay . 
