Ideal 	 stay two night late November . arrive early , room available able check ahead advertised time . room slightly small side perfectly adequate . breakfast choice limit reasonably expect price . locate close bayswater Tube Station . find location good base visit London . plenty resturant Tesco Metro nearby . 
 Perfect connection Heathrow Underground 	 overnight stopover connect flght leave Heathrow . easily locate Underground . clean , frill , window open , quiet tree fill square . adequate need bed shower - you not travel spend time sit hotel room . 
 Aug 12 2009 	 great value 	 stay 3 night London House Hotel enjoy experience . initially impress room clean , comfortable even little stylish looking . however , wake morning repairman literally window realise downside . breakfast morning standard hotel combination nevertheless still satisfy . another positive washer / dryer access ... even take 40+mins dry load ! would stay hopefully repair next time ! 
 Aug 11 2009 	 Excellent would recommend anyone budget ! 	 really good experience London House Hotel . stay refirbishe hotel , not distract we . breakfast basic , free breakfast well nothing ! room nice clean , although small care ! London not room ! underground right around corner , really easy get place . staff also nice helpful , minded bag flight night helful direction . at end day , London extremely expensive place stay would definately recommend stay . nice area , near park shopping center lot food ! enjoy ! ! ! 
 Aug 7 2009 	 well not exactly unhygenic ... 	 get pay place . tolerable last night England , honestly well money try little hard . room desperate paint job ( foot print wall ) . sheet cleanish -- willing believe may wash , dead mosquito sheet really need bleach . bathroom sink crack . toilet thoroughly scrub . breakfast pathetic : cold toast Cocoa Puffs . breakfast would elsewhere ( low rate ! ) , disappoint indeed . the staff nice . least part good . 
 Aug 6 2009 	 unexpectedly great ! ! ! 	 not sure expect hotel ... price make seem good true upon arrival , unexpectedly surprised ( relieved ) find actually nice hotel ! stay family en - suite room ( 1 double bed two single ) . bed comfortable bedding good quality ! room large ... stay family room could not even find floor space bag , spacious closet large dresser . room also flat screen tv AIR conditioning ! ! ! ! normal check - out time 10:30a feeling ill morning wake ask later check - out , staff nice enough extend time noon . con find hotel relate particular hotel would issue matter stay ( ie : basement room therefore hear everyone walk ) .Overall , would definitely recommend hotel anyone look good value London . would also definitely stay ! 
 Aug 1 2009 	 good value money 	 need place sleep London - LHH probably good value money ' ve manage find yet ! ' ve stay several ocassion always happy room , reception / personnel , cleaniness etc . not raise expectation high , will get pay . 's 5 * hotel much meet basic need . also refurbish 2008 room quite good condition . reception also always helpful responsive need . one time stay 4 friend book 3 room kindly offer three adjacent room . next time stay night partner separate reservation next night , pleased said not check check later day could leave stuff room . nice location close two tube station 's perfect budget city break . 
 Jul 22 2009 	 Great Location Decent Price 	 stay three friend us student . find hotel great location . bayswater area great combination residential restaurant . bayswater tube station 5 minute walk away . matresse bite hard sleep well noise outside . room cam tv ( never try ) private washroom . shower decent size clean . breakfast basic , : cereal , toast , juice croissant , enough fill day . staff friendly let we leave bag baggage room even give we extra key . highly recommend hotel ! 
 Jul 10 2009 	 good location clean basic 	 go london Wimbledon , want well locate , clean safe hotel , case.very good location , near Hyde Park , subway , nice nightlife , good restaurants.the hotel old house remodelate , basic : telephone room , chair , breakfast basic ok.considere hotel london expensive , hotel ok relatively cheap . 
 Jul 10 2009 	 Great Location relatively inexpensive get pay . 	 stay 4 night London House . - staff : little interaction always pleasant . - breakfast : include , not partake . - room : stay Single Room . say small , not kid . think single college dorm little big . shut bathroom door get bed . keep luggage floor stand use save floor space . bed real furniture besides night table foot bed . however , bed clean make - up strangely . adjust sheet night . big issue room stairwell landing . part floor slant stair underneath keep stub toe . ' m jealous reviewer get 6 channel tv get 4 . actually enjoy back alley view would pop head evening fresh air check pedestrian main street alley . - bathroom : small , clean . little hard manuever shower ' m big girl . - Rest hotel : bad , carpet hall not instill sense cleanliness . get idea maybe lot Febreze use lot vacuuming . - location : excellent location . great touristy area . easy access Tube 's District / Circle line Central Line . Queensway road ton restaurant touristy souvenir shop . Whiteleys Shopping Center corner block hotel & amp ; simply food quick snack drink , Yo ! sushi , useful EasyInternet Cafe 1 pound / hour . Post Office opposite corner Whiteleys . stay Earl 's Court later trip come back part town thing . this frill hotel . want base operation / place sleep decent choice . 
 Jul 9 2009 	 happy 	 find hotel good rate tight budget go . else , try find well place stay ! ! ! pro : 1 . location 2 . internet access lobby - although expensive ( 0.50 pound per 15 minute ) convenient late night emergency access . con : 1 . indiferent staff - borderline rude 2 . never change towel 5 day stay 3 . hand towel provide 4 . towel use floor mat restroom serious yellow stain 5 . bedsheet hair 6 . shower clog - make we feel like take bath rather shower 7 . restroom shelf top sink never clean - water stain 8 . glass cup provide repositioned restroom shelf without provide clean one - even evident use i.e . orange juice remain ... wonder glass cup even clean start 9 . window keep bang wind - good thing 2nd floor , else would hard time fall asleep thinking someone knock window ! 10 . choice 6 tv channel 11 . clock alarm room 
 Jul 6 2009 	 good value clean excellent location ! 	 nice clean budget hotel . large 3 - bed room daughter . breakfast , small ok . nice helpful staf excellent location Noting Hill Queensway . many nice multicultural restaurant neighbourhood great shop mall , Whitleys . great transportation , Bayswater Queensway undregroudstation , local bus bayswater road . short walkingdistance . 
 Jul 5 2009 	 small good value pricey London . 	 relatively close bayswater train station Hyde Park , ( well edge Hyde Park anyway ) make really good base visit London site . hotel locate center tourist hub budget tourist ( lot souvenir shop , cheap food outlet ( compare London ) , ATMS ( accept international card ) etc . Marks & amp ; Spencer supermarket shopping centre around corner ( although quite pricey ) contain good range fresh food " take away " meal , work cheap eat out . we stay double room basement four night end May 2009 . room small , minimalist . wardrobe help bit , term clear space room . bathroom literally fit shower , basin toilet . room bathroom exceptionally clean , ( matter ) , room service every day . Breakfast include , usual option cereal / toast croissant / cheese ( ' get excited , pretty poor ) etc . fresh fruit , juice effectively cordial . despite quite expensive get , compare London hotel good value location service . 
 Jul 4 2009 	 clean nice location 	 stay family room downstairs room clean . shower awesome . breakfast daily bread , crossaint , cereal etc ... close bayswater station ans short tube ride city . would definitley reccomend stay ! ! 
 Jun 28 2009 	 small room good hotel 	 2 night hotel . minimalist tiny room ( twin ) space luggage room clean good bathroom . beware Payment credit card ( except UK Debit Cards / Switch ) subject surcharge 3 % .No sound other room , simple breakfast good . we wake noise hammer drill 8:00 ( hard ! ) price good value . 
 Jun 3 2009 	 fantastic location - great value money 	 stay hotel Easter week , four people two room . room nice tidy , small bathroom good enough purpose London . be five minute bayswater station little Queensway station , five minute Hyde Park absolutely wonderful week . feel like walk Notting Hill Portobello Road 10 - 15 minute . staff friendly accommodate satisfied hotel . thing not good breakfast incredibly dull , breakfast room cellar nice . guess always go one coffee shop nearby instead take breakfast hotel . 's two day . if be London tourist , want place sleep nicely , take bath easily get around , definitely great hotel money recommend highly . 
 Jun 2 2009 	 london house -awhite castle 	 london house good hotel . look like castle.the room clean . little unhappy room corner basement . hotel also centrally located.in fact one good usp.the receptionist coordial . 
 May 30 2009 	 nice budget hotel thing change 	 stay nice budget hotel 4 night late May 2009 . hotel certainly worth 's price , service nice , location excellent , 2 tube station near Queensway around corner . location quiet renovation not disturb we way . but : stay twin room bit small . one little table not enough , would nice least one chair room . something show room , hang clothe . hand towel shower room shelf shampoos soap shower . breakfast include vegetable varied thing toast . anyway , be quite happy stay little hotel . : ) 
 may 26 2009 	 great location reasonable price 	 stay hotel 2 night S. Valentine 's weekend , like . neighbourhood quiet nice , fill shop restaurant two step away Bayswater Queensway tube station . easily go walk Notting Hill , Kensington Gardens Hyde Park . room not big ok couple , indeed clean simple - style except plasma tv ( think place ) . Breakfast include ( not lot choice bread , butter jam ) ok . reasonable price great location , definitely come back . 
 May 21 2009 	 tiny room tiny bed excellent value 	 budget hotel north Kensington Gardens , Hyde Park Bayswater Road , find convenient location close Queensway Bayswater tube station ( different line , quite handy ) , Notting Hill walk distance . the staff friendly place clean & amp ; safe . renovation underway not bother we . the room tiny spotlessly clean bathroom . bed even small , really big enough two , quite small . room first floor rear hotel , noise problem . breakfast basic : toast , bland mini - croissant , jam , cheese , cereal , tea ( bad ) coffee . Better grab bite eat Queensway Road . still , GBP60 per night double excellent place stay . 
 May 16 2009 	 good choice ! ! 	 stay 7 day everything great . nice room ( big ) , clean , nice bathroom . all people polite helpful . 
 May 10 2009 	 Great Hotel ! 	 arrive home trip London yesterday afternoon , spend seven ( 7 ) night London House Hotel . bit leery stay negative review ; , pleasantly surprised ! hotel modest , offer traveler need . the BreakfastThe spread food free breakfast delightful ! offer four different kind cereal ( crispy rice , cocoa crispy rice , corn flake , frosted corn flake ) , cheese ( mozzarella , offer 4 7 day ) , toast ( thin , white whole wheat ) , croissant ( friend / travel companion ' believe fresh ) , tea , coffee , apple orange juice , various spread / preserve ( little single - serve packet ) . food ' fancy , ' free tasty . the RoomThe room plusse minus . wall litter scuff - mark , easily ignore . bathroom tile room come place , crack grout . issue , tile clean bathroom otherwise , nice . shower , toilet , sink fixture look like recently update . our room twin room ( two twin bed ) . impression room would small would barely able walk around bed . surprise , room good size ; front bed extra 4 - foot space . enough area sit bag still comfortable path walk . also good - sized wardrobe could fit gear , room spare . there television room . television receive five channel , ' BBC one ' , ' BBC two ' , ' ITV1 ' , ' 4 ' , ' five ' . adequate watch bit telly unwind evening . suffice , large - screen television lounge , comfortable chair table sit watch satellite / cable channel . the linen clean mattress comfortable ( keep mind ' use sleep spring -- ' use upscale Serta TempurPedic , may find comfortable ) .The ServiceThe service exceptional . room tidy daily ( bathroom wipe , coffee / tea replenish , bed make freshen , floor vacuum ) . get one towel change week ( Tuesday ) ; , shower everyday , issue . shower often , may want bring extra towel , well hand / face cloth . the in - room coffee tea consist two packet instant coffee , two packet PG Tips tea , two cream handful sugar packet . find , two day , insufficient , leave note say " please leave extra tea / milk . thank ! " along 60p . arrive back hotel night , find four packet tea four cream . become norm every subsequent tea replenish . the front desk staff also nice willing answer question . friend need wake - up call one day ( battery - power alarm bring home fritz ) , ask front desk could help ( clock telephone room ) . next morning , 6:50am ( request ) knock door come wake friend . one front desk staff member take time come third floor give wake - up call . reflect nice staff truly be . the LocationThe location good . hotel less two block Queensway , main thoroughfare offer Boots ( pharmacy ) , Tesco ( small grocery store ) , many restaurant . bayswater Tube Station five minute walk hotel ( + /- three block queensway ) .OtherThe hotel currently construction . find problem noise . qualm construction main entrance shift one door another . issue everything clearly mark sign everywhere tell get reception . overall , hotel great ! price , compare London hotel , fantastic . please consider hotel next stay London . 
 Apr 24 2009 	 good value money central location safe clean friendly staff 	 spend one night London House Hotel Bayswater , good value money . pay £ 56 single room , upgrade double . room spacious , clean modern . thing miss room , whole figure mirror chair equivalent put clothe / luggage . staff friendly serviceminde . location good , fairly quiet street , close bayswater underground station . hotel pick - up service come hotel take airport . think worth £ 15 drag luggage Heathrow Express train underground . minibus drop right outside correct terminal . I leave early could not breakfast can not say anything food . , ' m satisfied hotel definately stay go London . 
 Apr 20 2009 	 good value great location decent room . 	 teenage daughter spend three night London House mid - April . ' ve stay budget hotel London , braced would find , neither happily surprised disappointed : room cramp amenity minimal , mostly clean bed comfortable enough . negative side : closet ( small cheaply - make wardrobe two small nightstand ) ; tiny bathroom shelfspace toiletry ; one smallish bath towel guest ( hand towel washcloth ) . room clean , though wall scuff stain ; toilet seem clean rather carelessly arrival . could feel springs mattress ran hand , find bed surprisingly comfortable sleeping . ( reviewer less pleased bed , obviously YMMV ) . breakfast , include price , minimal ( toast , cheese , pastry , suspicously pale orange juice , coffee , hot chocolate ) , edible interesting . positive side : unlike hotel , one space bed suitcase storage ( though not vacuum well underneath ) . pay $ 110 / night two people , good Zone 1 London location ; bayswater Tube station around corner , Queensway station couple block beyond . plenty restaurant , shop market close , neighborhood pleasant . Portobello Road market one mile away , easy walk . find desk staff pleasant efficient ; able check room 11:00 morning upon arrival , pleasant surprise , helpful responsive problem bathroom exhaust fan . overall , next time will probably spend buck get nice place ' m travel family member , ' m hotel absolutely fine . 
 Apr 19 2009 	 Comfy room 	 room comfy nice sized bathroom . price also reasonable . bad experience fire alarm go 3 time hour .. highly annoying ! enjoy stay . 
 Apr 10 2009 	 absolutely fantastic great value money 	 London House Hotel provide family perfect stay . firstly , location excellent central . within two minute walk two underground station well five minute walk Hyde Park . also road hotel nice shopping centre . easy quick get tourist site stay hotel . first come hotel suprise cleanliness design hotel room price cheap . fact room newly decorate bedroom new clean bathroom . also new cafe hotel lobby big plasma tv internet service , enjoy drink lobby child get back tour . hotel service friendly also brand new lift . would much recommend hotel anyone good value money . cheap place could find London high standard , London expensive place stay price reasonable . defintely visit . 
 Apr 10 2009 	 uncomfortable mattress ! 	 daughter back hotel back still suffer ! lumpy mattress ever sleep one small room ! sleep management assure replace mattresses- time . lot external work go moment scaffold front hotel start early morning . ground floor back hear talking room we ! breakfast limit , toast , croissant cereal . good coffee though would advise buy fruit juice nearby shop . whiteley corner lovely restaurant delis . another thing note get one towel we three night stay take hand towel ! 
 Mar 23 2009 	 would definitely stay 	 firstly , response previous review , find breakfast fine quite varied . day many hotel include breakfast , happy . croissant , toast , yogurt , juice ( strange tasting ) , coffee , tea three cereal - bad 2 - star . yes , room small - immaculately clean . Hairdryer , television , linen , soap , tea coffee facility include - , hardly standard 2 - star . I love location find staff perfectly nice . sad leave stay grotty hostel next 2 night day England . 
 Mar 17 2009 	 Cozy clean good price 	 travel alone way back Spain , trying find hotel easy access Paddington Station elevator . this hotel 5min taxi Paddington Station easy find . it elevator may need go several stair room locate floor . the room small single room , Single en - suite , shower toilet room clean nice . as hotel locate close quiet residencial area , quiet enough good sleep . the breakfast thin toast jam , tasteless cheese , coffee fruit juice . anyway , not expect much food acceptable good enough not need go buy . I see people buy nice bread something eat there . there 3 pc use coin check e - mail . if look clean cozy hotel close Paddington quiet area , recommend try . ; - ) 
 Mar 11 2009 	 sadly disappointing 	 read previous review room small continental breakfast leave lot desire not bother we book 3 night stay celebrate wedding anniversary . yes room spotlessly clean , bed comfy , view window overlook garden pretty location fantastic ( always book Bayswater / Notting Hill / Kensington area ) , couple thing niggle we much return here . the breakfast purely 3 type cereal ( cornflake , frostie coco pop ) plus toast preserve really bare minimum word & quot ; continental & quot ; not even bother eat . provide fruit , museli , croissant , ham - anything like would great improvement . yes room small ok would nice chair sit instead watch tv bed enough room . know not go London spend time room ( book cheap hotel ) , however sometimes need take weight foot rest walk / sightseeing do day obviously purely preference may bother people . the main bug - bear unnecessary little noise . give example ; hotel small door not spring lock , whenever anyone walk hotel room day / night door not close quietly always going become rather annoying . door fit slow - closing spring lock would avoid problem . another issue builder start sand 8 am bang 9 am not nice lay bed , however fair , aware would build work hotel book , not expect woken 8 am ! bad noise cleaning staff shout corridor 8.30am , really unacceptable , also get lift luggage due depart wrestle space lift cleaning staff good hotel good customer service know guest come first , especially luggage . one point not know husband would manage get lift not allow space ! must admit although issue bug we may seem trivial people , still feel need paint complete picture positive well negative purely combination factor annoy we enough make decision return . stay many hotel London within price range know not ask much not want wake shout sand ! find great shame thing happen would place would love return , next time choose hotel square across road option . 
 Feb 28 2009 	 great value great location ! come back ! 	 hotel budget hotel . weary staying read review .... pleasantly surprised . hotel 's location perfect ( right bayswater tube line , take circle tube line ( subway line ) cirlce line go EVERYWHERE ) . nice area safe walk around night , quiet clean . room extreemely clean even think obvious furnished budget ( ikea stuff ) , everything well take care . bathroom adequate , coffee pot room even blow dryer one drawer . complaint would bed EXTREMELY squeaky . turn bed make raquet . wall thin , could hear neighbor 's bed squeaking .. truth , be exhausted end day sightseeing crash anyway . it definetely good value , come back go back london budget . 
 Feb 22 2009 	 great location budget 	 London House one reasonable & amp ; conveniently locate hotel could find , consider various review see . I book double room get one 2nd ( U.S. 3rd ) floor quite basic clean view park although spacious . housekeeping seem every day although tea & amp ; coffee service room check regularly nice . Breakfast include although nothing extravagant great be budget since could eat much toast , cheese , cereal want . the location great Queensway short walk away ( bayswater extra minute 's right Central Line take major area ) mention 10 - 15min walk Notting Hill one station stop ( 20min walk ) away Paddington Station , perfect catch Heathrow Express / Connect Heathrow Airport . also many restaurant , grocery / convenience store , currency exchange spot , well beautiful spacious Hyde Park . the downside perhaps noise washroom fan would run good 20 - 30 min light turn ( although 's switch door tell turn ) one night noisy neighbour . this simple hotel need place sleep day see city fine . 
 Feb 2 2009 	 Good Money Noisy 	 good location right next bayswater tube little Queensway . concern build work carry front hotel . start 9 am morning nice wake noise hammer drill . the room quite small . group book single , twin double . double small room twin single much big . I would stay price ( £ 50 night be not bad london ) , would probably ask room back hotel avoid noisy construction work . 
 Dec 28 2008 	 Excellent hotel 	 stay 3 night 20th-23rd Dec read early review not quite know expect . pleasantly surprised happy stay . hotel easy find , minute Paddington Bayswater , minute road be , central location London need . reception staff welcome room , although small perfectly adequate clean comfortable , third floor nice view garden square quiet little traffic . breakfast basic , toast , jam , cereal , cheese , croissant , juice hot drink much little like find quite sufficient start day . negative thing mention double lock inside room door faulty could not lock , report reception within hour nothing ever do , would not minded 5 yr old son would feel secure able double lock door . saying never feel unsafe hotel sister partner able get come room go 10 pm night without challenge reception . despite slight security issue would hesitate stay hotel , value excellent , room good stay pleasant . , secure luggage room store bag day departure handy check rather early 10.30am . really great budget hotel central location without cheap feel . would recommend hotel regular visitor London definitely consider . 
 Dec 19 2008 	 absolutely Perfect Budget Accomodation 	 Hotel absolutely fantastic budget traveller . bit wary reading review nothing good thing say hotel . renovation work stay one room , back hotel little noisy morning nothing bad . stay last week aswell ( book another room week ) room great . room clean shower fabulous ! reception staff really excellent .... friendly helpful ! location perfect ! definately stay ! 
 Dec 19 2008 	 good location good budget hotel 	 can not complain stay London House . excellently locate close Bayswater Queensway tube station bus stop , nice square . room street level , clean relatively roomy . ensuite decent size wardrobe wooden hanger . breakfast simple perfectly adequate , problem staff . wall bit thin ( could hear neighbour sneeze ) , bring ear plug be light sleeper ! otherwise , would recommend hotel anyone budget . around hotel , many local restaurant , shopping centre shop basic need - laundromat , chemist , post office , souvenir shop ... be also walk distance notte hill hyde park . 
 Dec 8 2008 	 good price 	 book room day go London turn crowded weekend , guess lucky . hotel locate quiet place , close bayswater tube station , one move easily around . room small comfortable reasonably clean . girl reception nice friendly , except one meet morning arrival ( 6th december ) ... may bad day ? breakfast bad point stay ( quite poor ) , think come back . 
 Nov 13 2008 	 new budget hotel clean continental breakfast 	 book room w/ AC newly remodel budget hotel fantastic london location . easily walk Tube , Notting Hill , Hyde Park , etc . great locale . price appropriate London , budget hotel nice look feel . would recommend . breakfast continental , quite nice w/ average coffee . 
 Nov 11 2008 	 Decent Budget Hotel 	 stay London House Hotel Oct 2 night . 's basic budget hotel , well situate less 5 min walk bayswater Tube shops/ cafe . room comfortable , although bed not . staff friendly helpful breakfast room great . would recommend cheap option short term stay London . 
 Oct 26 2008 	 could ask 	 budget hotel . stay 1 night cost GBP65 ( double room , two ocupant ) . hotel clean modern . staff freindly accomodate . room , en - suite facility , compact clean perfectly functional . room tv , Air conditioning tea & amp ; coffee make facilite . issue room air con control beside wardrobe not possible see button . one fault would pick hotel breakfast bit rubbish , say continental breakfast get toast ( call , like slightly warm bread ) , cheese slice jam / marmalade . tea , coffee squash . want decent breakfast go find cafe nearby . still build work go hotel not issue carry work normal work hour . satisfied hotel would go back . hotel offer excellent value money . want fancy luxury hotel book Hilton ( similar ) , want mega cheap accomodation go hostel . want good value hotel go London House Hotel . 
 Oct 18 2008 	 great location service 	 situate Bayswater area , London House Hotel nearby nearly everything . it take 5 minute walk tube station ( bayswater , District Cirlce Line ) walk hotel . on Queensway find lot restaurant , shop pub . I stay 2 night single room . room ( LL1 ) situate back hotel 2 floor . my room small , comfartable . bathroom okay size . the hotel lock room store luggage . I find staff friendly helpfull . one strand traveller affect fire tunnel . provide necessary information tip . I visit London quite often never stay hoteltwice . return shall look promotion hotel enjoy stay . would also recommend other . 
 Oct 15 2008 	 good value money 	 spend least 2 night week hotel price bracket one , say find well one London far . facility basic , least everything generally work good condition . obviously renovate fairly recently , help put cut rest 's peer . I not sample breakfast , price , ' m unlikely want , somewhere cheap & amp ; clean get head , be pretty good . location good , short walk bayswater tube , close restaurant , shop park . 
 Sep 28 2008 	 horrible bed aweful hotel ! 	 hotel decent location clean room bathroom . however , bed aweful . almost fall matresse bad . besides , middle renovating therefore lot noise day . room vent cover miss could see straight wall creep . plus side , safe area right next train station . affordable thrifty traveler . would stay ! 
 Sep 27 2008 	 Liar House Hotel -Do not stay ! 	 hotel total swamp , staff lie point - blank construction finish . contact representative April 2008 tell construction would completely finish June 2008.so imagine shock horror arrive September 2008 thirteen hour flight Seattle . we go room crash awaken sound like wreck ball bash outside window . power drill , saw , loud conversation ... open window see scaffold outside . realize complete construction zone . & quot ; problem , & quot ; think . & quot ; go show email staff get full refund . & quot ; hardly . three blank stare shrug later , LHH refuse take responsibility action , let alone give we refund . also claim fact hotel construction state clearly website Expedia , neither true . thing bad uproarious opera power tool go outside room , construction dust debri hallway , staff 's cold apathy duplicitous behavior toward problem . exhausted , desperate , scared finally call Expedia , find we new hotel night around 5 p.m . even , LHH insist charge we two night , even though hold hostage construction site hardly would call consensual patronage . LHH severe construction even open , staff completely cold uncaring come take responsibility mistake . as result , spend first day London cold , extremely tired , fight back tear . shell - shock start & quot ; vacation & quot ; largely due blatant bait - and - switch hotel . value customer service want uphold global standard , beg stay . way put end kind breach common decency give people business . 
 Sep 18 2008 	 good value money 	 stay two night march 2007 . consider high cost London hotel , hotel give good value money . room small clean . hotel renovate two year ago . basic.the location good.one thing arrive London , lose luggage . upset ask help reception , nice send we order payphone.the morning , receptionist much nicer though . I would come budget . 
 Aug 23 2008 	 LONDON house = LOCATION Location 	 hi fellow traveler , boyfriend stay 3 night ( 19 - 22 aug 2008 ) London House hotel . really enjoy stay . yes , room small , renovate hotel , not problem noise , 5 oclock stop work , want enjoy stay London , will not room anyway . the location super ! ! 's + - 5 min walk metrostation bayswater , + - 10 min walk Queensway . 's a+- 30 min Heathrow airport . I really recommend hotel , alone location . have dinner Salvador Amanda ( spanish food ) Chiquito rest bar ( mexican food ) near leicester square . nice atmosphere 
