perfect 	 hotel Strip 10min . car away MGM build Strip . side highway 15 . quiet spot relax dazzle razzle crazy Las Vegas . free shuttle bring strip take back hotel time agree frinedly driver . suite grand : living room , sleep room , bathroom fully equip kitchen . even washing machine . the hotel large swimming pool whirl pool . stay September , less 10 person pool late afternoon . much preferred colossal hotel strip hundred breakfeast swimming pool . 
 great except Internet connection 	 stay business trip month ago , base upon great review TripAdvisor . trip , poolside music go 3:00 accidentally , take front desk 20 minute get turn . room pool view music wake I . the next morning tell staff get early , prepare meeting due middle - of - the - night pool noise , refunded room charge night . the suite amazing . like new apartment . bring wife kid 11/23 - 11/25 complaint internet speed room slow time day , wire wireless , 2 different laptop . beside , everything perfect . breakfast , staff , pool / jacuzzi , . new Las Vegas home . 
 Oct 21 2009 	 Glad ' ve choosen one ! 	 7Oct 10Oct 16 month toddler . place across Mandalay Bay . Taxi hotel airport USD20.Free shuttle MGM Grand every hr ! fridge , washing machine , dryer , cooker , microwave , dish washer suit useful me.42 & quot ; flat screen tv comfortable bed . Mini mart hotel premise convenient . pump station min walk away . place clean well maintain . free daily breakfast light dinner tue thur save we lot money shopping . Taxi premium outlet USD30 . 
 Oct 18 2009 	 quiet ! 	 stay recommendation TripAdvisor . noisy place stay quite time ! ! room look toward strip , freeway , two busy road intersect right hotel . awful - could sleep ! room nice staff friendly . would recommend place ! 
 Oct 18 2009 	 good expect 	 book hotel review good , disappointed , clean , comfortable , friendly , good food , could ask ! 
 Oct 18 2009 	 GREAT ! 	 stay one week wonderful stay ! absolutely nothing complain . one bedroom apartment . couple day temp . 100 ' try pool ! love well . breakfast nice - staff wonderful moment check ( midnight way ... ) departure . want live strip not gamble , easy choose . we choose hotel base review Tripadvisor ! LOVED ! stay next vacation Vegas ! thank make place great place stay ! 
 Oct 14 2009 	 Excellent Staybridge 	 stay one night way back home Flagstaff near airport . exceptional place everything terrific . not need Strip perfect free shuttle MGM need . 
 Oct 14 2009 	 $ 75 non - refundable pet fee high price online . 	 make reservation road trip . arrive hotel inquire good available rate front desk clerk quote we $ 25 online price hotel . also , charge $ 75 non - refundable pet fee . see charge deposit , traveler 's like leave room find well - would never know pet $ 75 seem high we . close strip ( 4 minute drive ) nothing else around hotel . 
 Oct 14 2009 	 Statbridge Suites - stay ! 	 almost good true . polite friendly staff never hear word ' no ' . excellent suite give ability home away home . lovely pool hot tub . use barbeque ? - problem . we view across bay - Mandalay Bay , across I15 two road . noise problem , even plane . right away noise trill machine excellent location we want visit LV gamble . highly recommend certainly number one place stay go . 
 Oct 13 2009 	 Reviews right - Staybridge Terrific ! ! ! 	 2 ' problem ' : ( 1 ) right Strip ! case , enjoy relative quiet , come gamble / drink / party night , would probably like Bellagio , Ceasar 's , etc . ( 2 ) jet take noisy ! close south end airport runway , jet full power . start 6 am stop 11 pm , 's real bad , notice . close airport fly . room super clean roomy , nice bedding , nice tv , nice pool hot tub , free exercise room , free business center computer , free in - room Wi - Fi , good ( hot ) breakfast . bacon even crisp . complaint stay . 
 Oct 11 2009 	 FANTASTIC 	 Fantastic friendly hotel.room deluxe , pool area amazing.breakfast nice.very quite away hustle bustle strip.going back next year . 
 oct 8 2009 	 great place stay 	 stay one night fly home . good room ' ve stay trip . like luxury apartment . good breakfast morning . location two block south end strip . easy access airport rental car facility without even get highway . unless want middle strip can not imagine nice room strip , especially price . spend night Fremont $ 20 less difference night day . 
 Oct 8 2009 	 clean new hotel 	 hotel great . definitely new clean . smokiness get old hotel . downdise away strip . however since car , not problem . Loved would recommend anyone . 
 Oct 8 2009 	 beautiful room ' ve ever stay . 	 want stay strip , place . locate south end strip shuttle run every hour MGM . beautifully decorate high end touch room like art niche , top line linen , custom furniture , two bathroom , full kitchen washer / dryer . also nice pool area nice chaise lounge plenty extra towel . breakfast free tasty nice variety . complaint . even let we park car free 8 day fly Jamaica . free shuttle airport , take cab airport hotel cost we $ 20 w/ tip . definitely stay Vegas . 
 Oct 6 2009 	 treat we like appreciate business . 	 first time write review . felt compel great service experience stay . everyone smile kind helpful seem really enjoy job . room clean well furnished . bed comfortable bedding plush . breakfast fresh tasty wide assortment everything clean . really can not say enough good thing hotel staff really make stay enjoyable . shortage nice place Las Vegas stay return Staybridge Suites future travel plan . 
 Oct 5 2009 	 Marvelous Hotel . highly recommend . 	 place amazing value .. PROS : 's casino hotel . staff friendly helpful . free food evening breakfast great . room spacious , modern , quiet , comfortable . Free shuttle strip . also get free ride airport . free wireless internet . great fitness center . con : small . the & quot ; music & quot ; around pool loud annoying . we wait age crib , sofabe , despite book remind staff check - in . it be good 20 - 25 minute walk strip ( take hourly shuttle ) , be $ 20 taxi fare Wynn end strip . 
 oct 2 2009 	 great hotel ! 	 hotel clean modern looking , front desk staff really helpful . also good breakfast . would stay . highly recommend . 
 Sep 30 2009 	 excellant hotel 	 book due recommendation trip advisor , disappointed . room excellent , staff extremely helpful , breakfast great shuttle bus drop right middle strip . value money , recommend highly enough . 
 Sep 28 2009 	 Great Alternative Strip 	 quiet , smoke - free oasis remove Strip , short , free transfer away . greet friendly staff find clean , well - appoint maintain suite await we . everything need long stay , include dish , stove , micro , washer dryer . - a / c quiet , temperature control unit . enjoy large - size , cool pool excellent breakfast . great value little money pay . 
 Sep 27 2009 	 Lovely Hotel 	 stay one night hotel . give upgrade one bedroom suite overlook pool ( have book studio suite ) . lady reception helpful friendly . suite exceptional - clean modern . use fitness centre , great view overlook strip . complimentary breakfast nice . definitely stay future . 
 Sep 25 2009 	 can not Fault Place 	 seldom give place 5 star , place excellent every way , plus Scott give we free upgrade - top notch place stay . 
 Sep 24 2009 	 well advertise 	 place well advertise . clean , thoughtful , friendly . room huge , big dorm stay college . actually look like picture ad ! side freeway strip , pretty quiet . easy get around , easy access freeway . originally second floor , ask could move story get well view . give free room upgrade ! shuttle depart every hour , access strip cake . close air port , air plane noise light . kitchen fully stock , even everything need make pasta . bring cigar enjoy strip , one staff must notice humidor find ash tray balcony table next day . little thing make stay well . like free wi - fi computer printer . defiantly look Staybridge trip . 
 Sep 23 2009 	 Great Place stay Vegas 	 hotel simply great , especially price . understand strip experience . block south west strip . non - gaming hotel . room service ( outside vendor bring meal . ) say tremendous place stay . get full suite $ 108 per night . full kitchen stove well microwave , dish , etc . full size refrigerator without extortionist price use move anything . large living room . two flat screen tv , large comfortable bed . huge bathroom . shower high enough not duck 6 ' 3 & quot ; frame . clean modern . Breakfast include , egg , fruit , cereal , etc . nice pool , salt chlorinate . free wi - fi . it be near take - off pattern airport , quiet inside . people friendly , ask get late check - out hassle extra price . large well equip exercise room , extra charge use . shuttle strip run every hour MGM Grand . walk Mandalay Bay buffet . absolutely great weekend Vegas , thank Staybridge . definitely would stay . criticism wife -- full length mirror . be pretty minor , worth half star . 
 Sep 22 2009 	 # 1 Hotel Vegas 	 planning trip Vegas , husband decide Staybridge due ranking review site . disapponte . able check early 3pm check room everything expect . stay King Suite full kitchen washer / dryer . actually not use kitchen often think would , use washer dryer every single day . room spotless modern , comfy couch bed . breakfast great ( since free ! ) not try light dinner serve week . there little bit street noise ( room face strip ) could hear airplane occasionally , overall place quiet . pool oustanding , be large saltwater pool kiddie pool , hot cold jacuzzi . location strip fact entire hotel non - smoking high plus . staff extremely helpful nice . call one day room not clean take care right away . ever decide return Vegas , return Staybridge . 
 Sep 21 2009 	 great place stay Las Vegas 	 brother fly Vegas see concert little bit gaming . soon walk suite blow away size & quot ; newness & quot ; suite . stainless steel appliance separate sleep area King Bed , huge bath tub stand shower . couch also queen size bed brother say comfortable . two large flat screen tv 's stainless steel appliance . say would stay next time come Vegas . 
 Sep 21 2009 	 Nice Hotel Strip . 	 drive Strip enjoy free parking . staff nice , interested helping . Las Vegas business 3 day want large room kitchen . room good size couch area . kitchen well stock utensil , along work freezer compartment . bed comfortable . AC forceful … either blow hard quite . downside wall bit thin tv next door keep one night . the free breakfast good morning . big HD flat screen ( 42 " ? ) nice . 
 Sep 9 2009 	 thoughtful hotel 	 husband , two teenage son return vacation Las Vegas California . base positive review hotel , book last 2 night vacation . disappointed . one bedroom suite queen pullout couch son sleep . suite feature well lay kitchen ample dish gadget cook . full size table 4 . furniture tasteful bed quite comfortable . room clean quiet even though sell second night .. front desk staff pleasant helpful well . morning generous , albeit undistinguished , breakfast serve lovely dining room lobby . Staybridge Las Vegas people want quintessential Las Vegas experience lot action , bell whistle . fact , slot machine casino . perfect people somewhat ambivalent craziness outsize nature Las Vegas ( describe family ) . glad find look stay Staybridge property . 
 Sep 8 2009 	 wonderful stay great value money 	 fiance stay Staybridge Suites past Labor Day weekend . usually stay strip Vegas trip realize expensive would holiday weekend , look alternative notice great review place Tripadvisor . little apprehensive hotel like could rank # 1 hotel Vegas , stay definitely understand rave review get . hotel locate right side i-15 highway Mandalay Bay THEhotel , would highly recommend anyone travel Vegas car . walk distance strip shuttle run MGM , run every hour stop 11 pm , drive place want go take advantage free valet parking everywhere . when check Saturday , front desk tell number people ahead us overbooke room would move across parking lot Fairfield Inn Suites , would get refund back night stay . would ' ve nice pay night 's stay , not want stay somewhere else , luckily since Priority Club member , room still available we . assign room 514 view pool . room look completely new , full kitchen , living room , large bathroom , separate bedroom king bed , even washer / dryer one machine . other mention , free breakfast include stay serve 7:30 - 10:30am weekend , 6:30 - 9:30am weekday . plenty food , cereal , oatmeal , bagel / bread , yogurt , fruit , premade cheese omelet , sausage patty , biscuit , gravy , waffle maker quite popular . also hang pool one morning handful people around . comfy lounge chair , well 3 cabana anyone use . look somewhere stay poolside service $ 20 slushie , not place , want peace quiet sun shade , whatever preference , perfect spot . , could get good deal strip , would probably prefer stay convenience . however , staybridge cheap strip offer , would not hesitate stay . able find convenience kitchen , laundry facility , free internet , free breakfast anywhere else price . 
 Sep 6 2009 	 great overall experience 	 hotel mile Las Vegas strip . pleased experience . King Suite sleeper sofa - perfect couple teenager . Kitchenette make convenient snack drink hand . room good size . would recommend family hotel near strip . convenient thing main drag strip . room clean , . staff courteous . overall positive - particularly price . would definitely recommend friend . 
 Sep 2 2009 	 must familie little kid 	 return 6 - night stay Staybridge , can not say enough visit . hotel locate past & quot ; Strip & quot ; , make far enough congestion , noise , smoke , poker machine poster / video scantily - clothe woman please parent , convenient enough get see site ( like pirate show volcano , big hit preschool set ) . hotel offer shuttle middle Strip , although rent car park casino , free . hotel brand - spank new , room gigantic . book king - suite , include separate bedroom we door , pull - out sofa 5 - year - old living room , small dining room & amp ; full kitchen complete oven , dishwasher , full washer / dryer . big , new bathroom double sink . Balcony overlook pool ( definitely request pool view , side hotel look highway ) . Maid service spotless . bed super comfy , sofa - bed bad either . two flat - screen tv , one room . pool large , great shallow end little kid ( 1 ½ foot deep ) fountain cascade wall . two hot tub , cabanas ( free ! ) nice squishy lounger . could not get daughter pool , people entire week , either be little off - season adult casino . feel like own place . 's outdoor gas grill guest use – go buy steak grill ( cheap tastier casino ) . breakfast include hot dish – rotation omelet scramble egg , sausage , bacon , usual continental fare like bagel , danish , oatmeal . oh , make - your - own waffle . tue - Thurs also serve 530 pm appetizer buffet , hotdog / burger fresh grill , taco , salad bar , etc . make breakfast / appetizer service really special Sandra , woman run dining room . welcome hospitable – go back get daughter fruit one evening meal , show little early late breakfast , make sure something eat . ( lot hungover patron make similar comment drag downstairs late breakfast ... ) 's rare find attentive warm service day , set great standard . oh , free internet business center , really nice fitness center overlook mountain . Vegas exciting 's lot Strip ( not miss Zion Bryce ! ) , be kid , 's REALLY nice glitter relax place 's really welcome family . would definitely stay . 
 Aug 30 2009 	 wonderful place ! highly recommend ! 	 tripadvisor fanatic - read take review seriously . book one bedroom king size suite one night ( August 28 - 29 2009 ) , since needed stay Vegas one night family trip , want clean place take forever get around like huge strip hotel yet close everything amenity . glad choose Staybridge Suites ! usually travel 4 - 5 star resort skeptical whether would indeed find similar quality , yet ! arrive 11:30 , way early , yet staff wonderful check we immediately - suite 500 , private , last suite end hallway , pool view . whole hotel clean , new modern , trace musty smell come old ( er ) mega hotel strip . non - smoking property well , everything fresh clean . the one bedroom like timeshare apartment - full kitchen Whirlpool stainless steel appliance , two flat screen large tv ( one bedroom one living room ) , AC , two ( small ) closet hanger , dining table chair , small balcony two chair one table , alarm clock , washer drier unit , bathroom double sink . free breakfast nice , yet healthy eater could find many healthy choice - pastry , egg cheese inside ( part like , cheese make meal heavy ) , fresh fruit sink sweet syrup , bagel , waffle . good meal terribly health conscious . the business center free internet printing , print boarding pass , since carry laptop we , wireless also free need . parking free , resort fee , additional charge nightly room rate plus tax . the pool lovely , towel available back chair , shade actual cabanas mattress lay , usually find 4 - 5 star resort . use free shuttle understand free shuttle strip every hour 11 pm . overall , love place - want close strip yet away craziness , want clean , new , modern place musty smell , want resort fee wireless fee sort extra charge , free breakfast , place . would stay hesitation go back Vegas . 
 Aug 25 2009 	 Best Hotel Trip 	 recently complete sixteen - night cross - country road trip stay different hotel every night , include extend - stay property brand . unquestionably good hotel bunch . suite essentially spacious one - bedroom apartment amenity home , washer / dryer sink disposal . fitness room gym - quality equipment , include several weight - stack cardio machine . tell room connect door . could hear neighbor 's tv mine , albeit faintly . separate bedroom , disturb sleep . on whole , exceptional experience . note / caveat : 1 ) breakfast room could use table peak time . see one use sofas , take valuable space . 2 ) housekeeping staff could use training . forgot leave shampoo leave use towel drape curtain rod check . 3 ) extra rinse stain removal option , washer cycle take two hour . plan ahead use machine guest laundry . minor concern , though . whole , really appreciate place consider lemon encounter elsewhere trip . 
 Aug 21 2009 	 hide gem visit asap secret place 	 hotel hide gem . stay two night second week August appear two people stay ( mostly family ) . pool two Jacuzzi 's day - although temperature hit time high 107degrees & amp ; spend umbrella cushion lounger . 4 poster bed style lounger want . nosey pool area Luxor heave people cram pool area - staybridge breath fresh air . room fab brand new , bed huge high . ' m 5 ft 2 need jump bit get ! ! kitchen fully equip everything need free coffee popcorn also washer dryer . location wise , hotel strip . fact side I15 , mean drive 5 min strip park free Luxor . not much problem . issue trip organise organiser would pick we location , drive - think issue organiser trip - Pallion Helicopters . breakfast good fresh fruit hot option dinner poor ( soup & amp ; poor limp salad ( limp due weather think ) ) - free add bonus self catering facility . finally , hotel close airport I15 noise hear hotel . 
 Aug 20 2009 	 StayBridge Suites answer ... ! ! 	 StayBridge Suites answer , whether travel alone , business , family . StayBridge Suites & quot ; bridge & quot ; comfort home luxury hotel living . hotel staff management team proud accomplish . pride show smile face eager please attitude begin delicious full course breakfast , late afternoon snack , late night swim . Staybridge Suites exactly ' ve look travel Las Vegas , anywhere else . sincerely , Tracie Craig - Porter 
 Aug 20 2009 	 Superb 	 absolutely fantastic hotel , staff especially perfect ; friendly , approachable , full personality without top . room spacious , comfortable , clean well furnish . shuttle service strip excellent . atmosphere breakfast afternoon lounge area , pool friendly without intrusive . we glad stay strip , good hotel stay whole holiday America . would absolutely recommend anyone , would definately stay . can not praise whole experience hotel enough . 
 Aug 20 2009 	 absolutely top notch ! ! 	 fantastic hotel , return two week stay fault aspect . staff , without exception , friendly courteous utmost ensure enjoy stay . one bed suite incredible , roomy well equip - hotel open fairly recently everything brand new . complimentary breakfast fine , fresh fruit , cereal , scramble egg , bacon , bagel , toast , waffle etc etc also provide three decent evening meal guest ( Tue - Thu ) . hotel run shuttle bus service strip every hour also come pick - save fortune taxi fare . also run airport ! pool really nice , quiet week although hotel little busy weekend pool still use . location wise 10 minute strip ( shuttle ) entertainment immediate vicinity hotel - absolutely stuck petrol station five minute away sell sort food petrol station sell like hotel / motel area Marriot Inn Holiday Inn express . wander around compare opulence Staybridge . meal Marriot not particularly good . also free internet access use safety deposit box ( also free ) . Maid service provide every day , make bed , sort bathroom kitchen ( replenish basic - coffee , popcorn etc ) tidy general living area . hire car Walmart Supercentre 15 min away need stock goody . 
 Aug 19 2009 	 good hotel area - value location 	 3 day . room great - clean update . get full size kitchen w / dishwasher , washer , dryer , microwave , oven , 4 -person dining room . bathroom huge , big tub , 2 sink , nicely tile , well lit . 's balcony bedroom well . bedroom seperate room , 2 hd flat screen lve room bedroom . living room huge ! hotel locate outside McCarren Intl Airport , less 2 mile Las Vegas strip . goo dif do not want stay downtown want quiet still want option ease head casino . hotel also convenient major highway well , stil quiet far noise go . pol fantastic , small pool 2 jacuzzi area . outside shower rinse chlorine three cabana 's want get heat want privacy . BBQ grill pool area well . get free breakfast buffet nice room , along free wifi throughout hotel . 's nice workout rooom business center well . $ 90 / day find well place stay area . hotel 's exterior clean 's plenty parking . check pic - like look . Bravo Staybridge ! 
 Aug 18 2009 	 oustanding value service level 	 simply good value hotel ever stay anywhere world ! ! . many great comment make TA not need repeat however agree . practical comment see may help.1 . shuttle bus excellent ( leave ' top hour ' strip ' bottom hour ' airport request , strip want bus home need ring reception , no - one go strip will not get pick . shuttle bus driver helpful , indeed call Petrol sation / food store opposite we pick beer / water use ID we not ( Vegas need ID time irrespective age ! not need car.2 . pool large , clean good suppy clean towel , enough sun bed all.3 . find location superb . whilst strip great fun not want 24/7 . quiet night free Pizza delivery hotel , course stock fridge / freezer drink ! 4 . daughter particularly enjoy free Wi Fi throughout hotel . 5 . Fitness Suite superb . large , several machine well air conditioned.6 . not try evening meal Mon - Thurs would like . breakfast excellent , girl serve we every morning really friendly.7 . nothing much trouble front desk staff . Scott particular great . also may help ... 1 . Sundance Grand Canyon 4 1 trip superb . recommend pre -booke limited availability.2 . go watch Jersey Boys Venetian Hotel .. would recommend . after 3 week holiday start Vegas , tour West Coast still talk hotel excellent level service value moneyIf adamant want stay strip clearly Staybridge not far walk , apart would say we close faultless get consider balanced fair not normally give anything top mark ! 
 Aug 12 2009 	 peaceful calm place stay Las Vegas ! 	 stay catch breath en route San Francisco Grand Canyon Bryce . everything rave review say true wonderful spacious accomodation lovely pool . great variety item breakfast buffet . decide return two night return Canyons fly home . second time upgrade huge suite picture window look towards strip . want middle hustler strip not place . lovely time relax time pool take advantage free laundry facility - first time ' ve arrive home suit case full clean clothe . thank helpful staff reception Shuttle bus driver rescue us strip have enough . 
 Aug 11 2009 	 great value strip 	 stay Staybridge excellent TripAdvisor.com review . disappointed . excellent choice family go Las Vegas . the highlight follow : * full suite kitchen * free , excellent breakfast every morning ( egg , waffle , sausage , cereal ) * free dinner serve Tue , We d , Thu ( soup , hambuger , hot dog ) * extra charge exercise room , Wi - FiWe many family suite . stay hotel Strip . everyone jealous room accommodation Staybridge . I would strongly recommend get rental car stay Staybridge . short 5 minute drive Airport 5 minute Strip . key benefit relax room pool . helpful car visit grocery store go different Strip Casinos . hotel shuttle go MGM Grand every 30 minute . we thoroughly enjoy visit would suggest stay StayBridge visitor Vegas , especially family . if be go Vegas gamble party , not place . 's casino , restaurant , bar . 
 Aug 10 2009 	 totally Amazing - Best ! 	 stay Staybridge Suits 6th 7th August 2009.this hotel well ever stay . one bedroomed apartment come full kitchen , oven , microwave , hob , dishwasher , washing machine , tumble dryer . huge living area dining table , L shape settee 50 & quot ; tv . bedroom massive bed tv , wardrobe bath area two sink door lead shower / toilet room ! staff hotel like family could enough make everything right . swim pool good adult child along two seperate hot tub . Whn pool come around offer clean towel every hour ! hotel also run shuttle bus airport strip Vegas 5 minute away , depart hour upto 10 pm come back pick outside side entrance MGM half past hour last one 10:30pm . this hotel build timeshare option company offer timeshare could get sell Staybridge purchase whole building make change good hotel area ......... stay enjoy luxry quality hotel10 10 area ! well do staybridge staff amazing ! 
 Aug 10 2009 	 stay 	 wife , along another couple two teenage daughter stay 3 night part trip Grand Canyon . we two room , one Studio wife one 1 Bedroom Suite w / queen size foldout couch friend girl . both room excellent shape include small kitchenette . 1 Bedroom Suite also Washer / Dryer huge bonus family . I think Studio Washer / Dryer guess 1 & amp ; 2 Bedroom Suites do . the room hotel quite . nice hear slot machine ring background wonder around Las Vegas day . Customer Service well experience many hotel stay . the Breakfast include every morning good plenty it . the shuttle MGM every hour time convenient . the swimming pool small nothing wrong . 
 Aug 10 2009 	 Loved hotel 	 hotel great , friend stay circus circus last time dump time book somewhere not typical tacky vegas hotel . get cute guy reception upgrade we big suite free . staff always really friendly room amazing-2 plasma tv screen , huge bedroom , sit room , kitchen bathroom . breakfast great , suppose serve til 10.30 struggle stair 12 night make we anyway.this hotel great shuttle bus strip every 30 min - however within walking distance . overall great able access strip easily still able come back really nice quite hotel.10/10 
 Aug 8 2009 	 Strip oasis 	 return 4 day visit Staybridge Suites Las Vegas . base upon Trip Advisor review decide try . Met exceed every expectation . previously stay everywhere Strip Bellagio Venetian etc 25 year trip . good . room first class every way - marble entry , 2 flat screen , full kitchen , great A / c . lovely , quiet pool . parking right front door . excellent daily breakfast smile , helpful face - Jason Sandra . great local casino drive 5 mile south South Point .. $ 88 night prepay upgrade we check - in . much well walk casino get room , deal casino parking crowd pool . highly recommend ! ! ! 
