great 	 good location step euston station . fall pretty much endless .. starter staff rude unfriendly , heating work room absolutely freezing , tv work even though 15minute policy get problem solve time stay free .. even 3days several complaint tv never fix hey guess not get stay free . clean staff must say friendly helpful walk room willy nilly even knock .. catch towel twice . stay Ibis UK must say ibis worst ever . 
 Perfect location 	 book online get rate £ 63 night double room , room . less 50 metre Euston . room adequate short stay spotlessly clean . staff helpful . difficult ot fault , hot night air con sure summer . 
 excellent value money london 	 stay total 5 night break 3 set stay . since 5 us-2 adult 3 kid , take 2 double room . book everything online take fully prepaid option rate quite cheap day . room clean , comfortable , nice shower get pay . Centraly locate - near Euston Euston St Pancras station brlliant get around London . lot nice eatery around hotel breakfast good value money especially prepay . kid breakfast free good . interconnect room somehow trouble allocate we despite repeat request . finally inadvertently put set one night persuade open connect door . room modern other . last night think problem plumbing / sewage one room water would not go . front desk littls shortstaffe always long queue buildup checkin checkout even enquiry . but would consider major get room thing fine hotel promise do - give good value comfortable accommodation Central London book online get good rate - I even get couple night 60 + pound per night per room consider steal London ! 
 Jun 19 2009 	 really can not go wrong 	 central location , safe neighborhood , easy get to / from major train station tube . wife stay three night happy general . front desk staff helpful . room clean bed comfortable . shower great water pressure . thing look . not look frill . bar lobby , well buffet , not use much can not really review . would , go , be tour around city day sleep night , perfect place . need crazy pamering experience , luck . 
 Jun 7 2009 	 love atmosphere 	 first time london , love ibis hotel euston great location , staff amazing speak many different languagge , polite , welcome people room clean everything want , internet , music .... planning go back 
 May 27 2009 	 Excellent Hotel reasonable price great location ! 	 honestly say hotel great . stay Ibis hotel one far good one stay . right next Euston station great location attraction may want visit . come London theatre break usually go 4 star pay silly price think would go cheap cost £ 35each night well worth price . room small comfortable sleep really well next road noise hear . mum never sleep whilst away even really good sleep ! would reccomend hotel anyone want mini break away London without pay ridiculous price . 
 May 26 2009 	 good value base london visit 	 large hotel ( 197 room think ) quiet street literally next door Euston underground rail station , 15 min Leicester Square tube , rate good value book advance , modern furnishing , clean , good breakfast choice . slow service bar . large open reception area . room enough space bed , us luggage . would like choice tv channel . bed comfortable , foundation pretty basic looking . 
 May 25 2009 	 Clean well locate adn basic 	 ideal location access Euston station foot , st . pancras station 5 min away taxi . also main bus stop catch many bus outside Euston station . Euston station Marks Spencer food open 24 hrs . hotel basic , ibis . clean , comfortable , staff rude say least . check , ask front desk bus take oxford st . guy say arrogantly , believe name Bashir , & quot ; would not know , not ride bus . & quot ; shock respond think funny teach anything hospitality . also last 2 day elevator not work time check ask help bag say not service . point elevator , be ask help . front desk guy , make face , go help husband came carry small bag . ok hotel good location not expect much staff . 
 May 12 2009 	 ideal location - crazy baggage reclaim experience ! 	 fiancee stay towards end April . book check review honest review time pretty scathing ! instance state que check reception man person couple fact luggage door leave open kid run put we wee bit ! ! ! ! say bit ! ! arrive Sunday morning , find hotel bit walk wrong direction give report place DIRECTIONS anyone new wanting stay ! ! head main door , turn right , pass puccino ( fab grub morning ) head end block , turn right hotel 50 metre ahead opposite side road make corner ! find hotel early morning , go enquire time could check deal straight away ! fantastic ! arrive back hotel 2 pm check Gent remember we straight away ! ! ! warn ! ! pay cash like take extra £ 16 security get back check ! would nice make known we prior heck ! ! ! bother ! room right NEXT linen closet could hear chamber maid clamber first thing morning ANNOYING ; make know managment BAD ! secondly ! actually feel vibration tube run ground first thing morning ! think room number 601 first floor think ! warn ! hotel stay fantactic last die minute trip ! check , PROBLEM leave bag capable young man ! watch lock door inside return reception desk ! arrive back 5 hour later get bag plane catch like 4 hour ! ! ! que desk unbelievable ! ! least 20 people front we , least 16 trying get bag ! ! hear tube line take we terminal 1 experience major delay due someone heartattack one train literally could not spare moment ! ! wandered bar see someone could perhaps help we MANAGER massive scowl face stand restaurant opening . approach explain situation greet slamming hand , sign loudly deeply storm front desk ! totally arrogant ! ! open door thank god fiancee 6foot make way , front 16 trying get bag get first ! check Tuesday morning one person behind desk ! & quot ; Manager & quot ; scowl poor gent behind reception level good deal amount people total BLONDE want know really really STUPID stuff ! ! ! ! anyways make flight time thank god ! yes though would stay ! ! ! ! ! 
 May 4 2009 	 good price good location business 	 good hotel London , stay several time business , bad , good room , large , good breakfast , good position , front station . 
 May 2 2009 	 Give chance not fussy . 	 Ibis mid - spruce - up . lay new carpet floor . furniture seem new also . tv fine . room look good , small . bed hard . pillow really thin , put hoodie pillow boost little . toilet not flush - hardly water would flow . flush toilet fill waste basket water pour ! complain time avail . staff front desk not seem helpful . also noisy night , street noise noise room . the structure place odd , hallway layout seem square around middle building . walk two hall get room . the breakfast buffet good though , staff bar nice . might want eat drink stay elsewhere ! 
 Apr 13 2009 	 great hotel great location . great deall round 	 get back home great day London stay hotel . main thing will need know : great location right next train station ( next Euston ) noisy room window open room side train station ( might worth ask rear facing room ) . good room rate price plan ahead book online . close tube station Oxford Street 15 minute walk Leicester Square 20 minute walk . clean modern room nice flat screen tv . comfy large bed . clean fresh white bed linen . clean bathroom ( overly big ) . room sufficent two people . check check swift . can not make comment restaurant bar never venture find breakfast price high eat . basically , clean decent hotel ideal business pleasure trip . visit infact would first choice ( get another great low rate ) turn room , pay much high rate ( 60 % book online advance ) 
 Apr 13 2009 	 Euston good place stay 	 day hotel good . near rail - station near centre city tube . everyone hotel nice sympathic . maybe breakfast angle little bit small 380 room . 
 Apr 12 2009 	 clean comfy well - locate near Euston station . 	 normally stay expensive hotel five minute road , decide try Ibis , base great review . disappointed . book Ibis hotel 's website happy rate £ 224 two night . hotel easy find less five minute ' walk Euston station . hotel lobby nicely present , staff effiecient friendly . room fine , exactly appear website photo - clean , bright , nice flat screen tv . bed surprisingly comfy great sleep . bathroom clean nice , powerful shower . sure hotel not luxurie hotel , e.g . gym , swimming pool , room service , etc , want nice , clean , functional room great location could whole lose bad Ibis Euston . I not try food , choose go food court Euston station ( . however , buffet menu hotel restaurant seem like good value money ( £ 15 starter , main dessert ) like try next time stay there . all , happy hotel , think see lot ! 
 Apr 12 2009 	 functional good price good location 	 next Euston rail station easy walk distance tube , Ibis Euston good choice value hotel . room basic , clean . restauraunt attach , preferred go town Camden one stop tube . queue checkout little excessive , & quot ; challenging & quot ; guest ahead , ' m give benefit doubt ! 
 Apr 2 2009 	 bad - particularly location 	 stay 30th March - 1st April , join boyfriend check 29th . location hotel excellent , literally stone 's throw Euston station , yet really quiet , excellent busy area , London , hotels standard ' ve stay road noise problem . room stay ( 6202 ) small simple need . bathroom small - shower powerful bathroom room spotlesslessy clean . bed relatively comfortable well . not eat hotel can not comment seem popular ( although be city full restaurant , many excellent , never understand people would satisfied hotel buffet meal ) . ' m maybe picky , not hairdryer room find little annoying , really think one . ask reception give we one use , however want £ 10 deposit - little cheeky really . also , believe mention review , ALWAYS , whatever time day evening massive queue people reception , good . perhaps staff issue need address . staff come across polite helpful . overall , London good value option , great location , ' ve stay hotel much bad much money . be fussy be look something simple clean comfortable will not disappoint . 
 Mar 31 2009 	 excellent location Eurostar QUIET 	 stay overnight head Paris Eurostar want quiet night . location excellent ( slow 7 minute walk Eurostar station ) really rather quiet ( hotel busy area sometimes corner ; bus tear around time day night ) .Very french feel chain hotel ; much nicer either ... lodge use near king Cross . 
 Mar 23 2009 	 Crap hotel - pay bit stay somewhere nice 	 absolutely awful hotel , steer clear . horrible RUDE arrogant UNHELPFUL UNFRIENDLY STAFF make catalogue mistake one brazen way apology whatsoever . overcharge twice get seriously thick try resolve , include manager speak . end refunded - - overcharge . ' m still argue refund correct amount . tiny room not decorate since 1970 look , plug inside bedroom door floor use laptop sit floor . toiletry bathroom half roll toilet paper never stock even though staff empty bin 3 time 2 day . you pay watch television . iron room , iron available bring room . walk half mile find iron room iron steam vent leave stain clothe . breakfast ... extremely poor choice , bad /no serviceovercooke bacon , cheap horrible process sausage would not even give dog . could believe -- - jug sour milk leave beside tea machine ( milk take fridge , sour actually curdle top ) . toaster machine work - either not work , burn one side leave side untoasted . overall horrible experience hell hole . wish pay money stay somewhere decent . ibi try ryanair hotel world .... will need try lot hard . 
 Mar 20 2009 	 Good Location ! ! Good Food ! ! 	 Location hotel good . near Euston station . reception service bit slow . long queue check . food good reasonably price . room small clean tidy . room window open towards construction site quiet noisy day time . overall good hotel . 
 Mar 17 2009 	 good hotel 	 stay group 15 - 16 March 2009 . comfortable hotel locate near Euston station . hotel offer would expect Ibis . 
 Mar 15 2009 	 ideal location good value money 	 boooke two room next , reception busy arrive , take we 10 minute get room , staff pleasant freindly . Breakfast offer good variety hot , cold healty option . certianly go back . 
 Mar 15 2009 	 good location 	 stay five day business . check take quite well , ten people waiting check . room fine double bed seem separate lay right middle , guess two mattress push together . Room clean every day tea coffee supply . one thing irritate try use laptop , ethernet cable be not long enough stretch bed either sit table juggle laptop edge bed - good want relax use laptop . also , internet connection flaky . Restaurant ok , choose buffet first two day dinner find pretty poor selection , steak menu ok . Staff restaurant nice , polite attentive . room basic fine need excellent location , across road ffrom Euston station , literally 30 second walk . 
 Mar 1 2009 	 check staff 	 like do not appreciate unpleasant staff aware . get bad start moment go check Vinjay , reception say anything , raise eybrow gesture desk . stand wait instruction & quot ; welcome Ibis & quot ; say yes ! unpleasant manner . Hmmm go bad start . ay way thing do not improve go book system , 1 question except 2 word .... & quot ; Credit card & quot ; keep together think must really sad treat people like , never mind usual think go mind customer service , aswell do not like leave repeat business etc etc . anyway ... room efficient , rest staff main ok strain busy waiter breakfast work really hard knife , , , fork , , spoon .. milk ... juice run ( could go ) try polite make difference ( take note VINJAY ) member staff go motion hope get impression . anyway , happy stay concerned service attitude okay , like odd please thank return , probably . 
 Feb 23 2009 	 poor check - in okay ! 	 hotel excellent location across road side door Euston train station . really could not get close . I arrive 5 pm all - day meeting find bit queue check - in . two people desk serve 4 people queue . eventually 3rd person help check people queue move slightly fast . check - in take long necessary even though room breakfast pay advance not even need hand credit card . delay mainly due guest nab person serve sort small problem ( eg key card work , give room not clean ) whilst fill guest registration card . give slip complimentary drink without ask make length time stand queue . I eventually get room key ( point run late meet colleague ) quickly go room find male guest stand bed fold trouser . thank goodness still wear pair ... back reception report ask have definitely go right room find insult also slightly worry key card could open room . another eky produce another room time knock enter ! thankfully one one make sure door lock go quick shower run 30 min late . shower disaster clean leave show head face bath get face full water whilst stand outside shower therefore flood bathroom . good start . my room look centre building therefore onto open top atrium want well description . convince window open could clearly hear announcement come Euston train station pa system . however window definitely shut . wear earplugs night hotel sleep soundly however people light sleeper may disturbed Euston station close . breakfast go smoothly quite queue seat person duty could not find name list pay breakfast . probably due room change yet another niggle hotel . I another day meeting decide leave luggage leave luggage room reception note child run unlocked room whilst wait check previous day . thought would safer leave luggage ( laptop ) Euston leave luggage facility charge least secure ! 
 Feb 12 2009 	 break away friend .. 	 hotel ideal location next Euston station . first stay Ibis hotel , although room basic fine 2 day . room ( 425 ) small , small hotel room ever stay , clean , maid great job . towel small hard , suggest take comfort . staff except one seem really friendly helpful , not like attitude one staff reception , answer ask extra pillow possible ' of course pillow not cry ' say sarcastic manner ... need training customer service .... food great , breakfast well worth money , wine bottle reasonably price £ 11.25 house white . great 2 day great friendly hotel . 
 Feb 7 2009 	 Near train 	 2nd time ' ve Ibis London Euston . main reason location , across street Euston Station , huge train / tube station . 's easy go London 's landmark . and 's Ibis hotel , relatively cheap London , clean , small room regular service . forget meal hotel Euston Station good food court pastry , sandwich , fast - food coffee . 's also small Mark 's & amp ; Spencer buy food include cold sandwich fruit . 
 Feb 1 2009 	 good value money 	 Budget hotel convenient location near tube Euston / St . pancra train station . Russell Square British Museum short stroll away . plenty restaurant nearby , walk distance Soho Trafalgar Square . service efficient . room clean , well furnished functional , although bit small even european standard . overall , excellent value money good experience . 
 Jan 22 2009 	 need ? ! 	 hotel locate conveniently Euston station handy underground national rail service . stay one night business say service fantastic . food need meeting day room spacious really quiet good night sleep . breakfast enough start day . obviously look something romantic break holiday would not recommend place go London 1 - 2days business visit someone place ideal . good job ! 
 Jan 12 2009 	 great 2nd stay 	 easy bookie direct via website check everything plain sailing . location ibis main attraction close Euston really make shortfalling hotel may have . yeah room not massive plenty big enough amount time spend . nice flat screen t.v . clean bathroom great shower . breakfast bit expensive get traditional english really good continental . overall really good visit ibis . 
 Jan 1 2009 	 Smallest Room ever 	 recently stay hotel part holiday London South West England . when allocate room turn small double room ever see hotel , & quot ; swinge cat & quot ; come mind . complain informed & quot ; room size & quot ; . , see inside least 2 room . deliberation behind reception give another room , big . I would strongly advise people give & quot ; La Table & quot ; restaurant miss . thing french name . food disgusting . seem revive old skill make everything taste like cardboard . buffet style restaurant everything lie light counter . anything sauce congeal skin . staff stir around time time . thing hot fresh joint produce . vegetable luke warm closed eye would able tell vegetable eating ( tasteless ) .On positive side hotel convenietly locate central London area interest due proximity Euston underground station . I look another hotel next visit . 
 Dec 6 2008 	 15 min satisfaction contract -not honour 	 broadband cable connection room 212 miss get one defective work . call engineer 18:30 26/11 . manage get work 30mins 19:05 26/11 . include time without lead . ask reception desk 15 min service gurantee tell room network connection cover promise . challenge adamant willing discuss . clear conflict [ -- ] try contact accorhotel use web base mail without success . 
 Nov 23 2008 	 great first time stay 	 stay first time stay London say great little place stay . stay 2 night weekend location perfect sight - see tour , be directly opposite Euston station around corner Euston Square station . room small really clean andwell keep , staff friendly helpful , breakfast run midday time lie still able breakfast . definitely stay future . 
 Nov 20 2008 	 Great Value- Ideal Location 	 return home excellent weekend London , include attend wedding friend . search internet thoroughly good value hotel stay around London Central decide take chance Ibis Euston . fly Heathrow take Tube Euston Square around corner Euston Central Station Ibis Hotel . hotel little side street opposite entrance train station . first impression good nice atmosphere buzz around foyet . staff friendly helpful room small basic ideal require . use bar restaurant number occasion please service food . pleased stay , think excellent value well run . also afraid use Tube around London right Euston Station doorstep 5 - 10 minute away everything . would problem return would recommend anyone visit central London budget . 
 Oct 27 2008 	 Absolute Bargain 	 return 3 night stay hotel say fault it . the location perfect , outside Euston station , yes hear faint bing bong announcement th station stop 11 pm let face spend day hotel room London anyway ! ! ? Underground line Euston take we Leicester sq 10min ! ! ! whole hotel modern clean tidy , large bar area restaurant . check quick , book double room give twin mistake .... one quick phone call reception offer we another room within minute . couple prob key th staff helpful resolve quickly ! room not massive functional tea coffee tv nice good size bathroom lush shower , modern . Breakfast-£6.95 , u eat buffet great selection , probably one good breakfast ' ve hotel long time ... hot thing might want avoid ur heart set fry ! ! ! would stay ? absolutley .... great experience , great value money great location could want London ! ! ! ! ! 
