wonderful 	 need stay somewhere Jubilee Line watch Tennis O2 . hotel round corner London Bridge Mainline Tube , across road Borough Market .... quiet ! reasonably sized room ... massive , well appoint everything need . staff great . stay , train Gatwick London Bridge . 
 simply good 	 Location hotel , décor quality food highly commend , however truly make stay special service give we Hotel ' wonderful staff . staff unobtrusive yet time manage always available cater every need friendly helpful way . staff London Bridge Hotel credit management owner Hotel family grateful time effort give look we stay . special service play large part make stay London memorable . many thank . 
 friendly helpful staff hotel 	 Excellent location 4 stop tube O2 . smallish well furnish room good storage flat screen tv . friendly helpful staff every dept . reception provide warm welcome . breakfast buffet good plenty choice . good London experience long time . 
 clean comfortable affordable 	 book three room four night August London Bridge hotel . two twinbedde room one double room clean comfortable . get excellent deal six people four night hotelsclick.com . the hotel situate Southbank close Southwark Cathedral lot nice restaurant bar . sure visit Borough market one morning . 's lot fresh gorgeous produce . Restaurant Vinopolis definitely worth visit real treat go Oxo Tower restaurant . view city amazing . underground around corner hotel , nice day 's pleasant walk along Thames side river . founder arm pub along river nice place stop drink . all , want see different side London ( instead W1 ) London Bridge hotel absolutely worth stay ! 
 Oct 27 2009 	 adequate much 	 group 6 middle aged woman friend return four - night stay London Bridge Hotel choose base recent travel magazine article european hotel recommend good choice London although stay unpleasant , would recommend foreign tourist follow reason : room bathroom small ( even London standard , 3 room twin bed ) , space move around , small bathroom window fan make hot stuffy , lobby small inadequate seat small bar sporatic service , like nightcap lobby retire lobby comfortable purpose . hotel locate unsightly seedy street across London Bridge train station much traffic noise all - night station activity . good front desk staff friend use find knowledgable friendly . summary , hotel business traveler ( room adequate one , two person ) , want quick access train station , otherwise tourist stay somewhere else . 
 Oct 26 2009 	 good location good hotel . 	 Booked London Bridge Hotel one - night stay . bedroom clean well equip flat screen tv , walk wardrobe etc . find staff helpful advance visit . restaurant tight hotel standard , trip buffet challenge spatially . food make effort worth while . recommend . 
 oct 22 2009 	 perfect world hotel would like 	 go club night SEOne nightclub short walk away . would mess booking not expect we day , click later check class room want ( one basic ) . car parking nearby reasonably price . lot takeaway , restaurant , bar convenience store round corner bus , taxis train two minute walk away . price value side fair location standard room good : scrupulously clean , good decorative order quite well appoint - 4 * good . but staff helpful beyond call duty . 's independently own clearly make difference . stayed & quot ; branded & quot ; hotel similar standard price London month early impersonal point unfriendly - hotel really show poor one . make want find excuse visit London . 
 Oct 19 2009 	 good Christmas ever Hotel ! 	 travel London Christmas , need : * reasonably price hotel allow smoke room- * central location tube train- * several choice eat drinking- * bed double comfy seat guests- * staff accommodate surprise - you simply well London Bridge Hotel . these people bend backwards accommodate eccentric family college - age artist friend , give we wonderfully memorable Christmas . do not expect corporate type decor environment , anonymous server . London Bridge Hotel quite professional ; be like family run hotel , real people . they take lot pride work , deserve compliment courtesy . the first night arrival wake 2:30 , need food pain med . hotel guide say room service available . kitchen close , however , around 11 pm ; concierge make bring sandwich ! silly little tree cram backpack , daughter contribute local light . decorate ornament course , maid room service leave many little treat , cover tree biscuit chocolate well ! have pack personal travel toiletry , frankly , hotel amenity superior . use those . they advertise pillow duvet choice . idea important be . I sleep like rock , could choose pillow plumpness , duvet weight ! bring laptop , use hotel computer , londinium retaurant level - perfect ! & quot ; smoker & quot ; room face street ; not get smoky , crack window fresh air . decor subtle brown neutral ( contemporary pop color ) perfect people traipse , event . bed decor set beautifully double sit space . since tube stop run Christmas Eve , unexpected guest , hotel happy accommodate . one party get stick hotel hour , temporarily penniless , return errand . staff thoughtfully provide drink , warm fire lobby . when arrange Christmas Eve dinner Londinium , ask could supply & quot ; holiday cracker & quot ; . said & quot ; & quot ; , not time get large grocery store event . however , street bridge , group hawker demonstrate glow - in - the - dark toy . ( course become gift night ! ) dinner elegant , gourmet perfection , lo - and - behold ; Christmas Crackers place set -- spite elegant setting ! across street , Southwark Cathedral hold gorgeous Christmas Eve Midnight mass . plan attend ; unforgettable golden glow candle , flower , music goodwill . Christmas day unexpectedly busy hotel . ( staff expect it - I do not ; ^ ) dining room pack , manage accommodate family friend , give we good hearty breakfast . waddle outside see day , Cathedral Bells burst peal Christmas . honestly , feel like transport Dickens , CS Lewis , every good Christmas story ' ve ever read . feel could not get well . but do . imagine utter surprise delight get back room ; sit 2 giant tray pipe hot tea , coffee , scone , jam , clot cream strawberry ! ! sister phone hotel , arrange motley crew receive surprise Christmas Cream Tea . unbelievable ! would go heartbeat . London Bridge Hotel cozy professional , offer thoughtfully organize homey hospitality . truly home away home big city ; surpass expectation . 
 Oct 12 2009 	 seriously good ! 	 manage get room late notice , rare judging review website . disappoint . room decent size , clean , modern . everything could want . staff absolutely wonderful , helpful , friendly . location superb - short romantic walk along thame number london attraction , 1 min underground station / bus stop afield . stand London Bridge breathtaking view direction ! want bit luxury affordable price , look . 
 oct 8 2009 	 great location good hotel 	 stay one night . situate next London Bridge station convenient transport around town . also 100 m Borough market - food heaven . hotel clean staff helpful friendly . autumn package also include fruit , chocolate wine bring room . would definitely stay . 
 Oct 8 2009 	 nothing wrong wonderful review make sound 	 spend one night London Bridge Hotel September 2009 nice stay , read review , expect something . room pay gift , not know much hotel charge maybe would influence slightly . cheap side , pretty good . check painless fairly efficient , albeit especially friendly . ask get room reception desk . lift behind entrance area , be immediately obvious first walk . lift SLOW - use time , find easy use stair whenever try call lift , usually leave fairly long wait . end actually wonder either lift work ! not help well one occasion call lift go , get lift , go one floor pick member staff first , drop ground floor . room small side , fairly clean comfortable . notice stray hairs bathmat , bathroom not quite spotless would like . convenience excellent city - right outside London Bridge station short walk London Bridge City London . convenient West end , easily accessible tube bus . breakfast good , get busy easily feel plate wrong end buffet table . check one member staff duty phone , minute leave nothing pay . could not decide whether rate hotel 3 4 , plump 4 . nothing really wrong , minor niggle leave feeling could try bit hard . could ideal people want near City , people fly Gatwick train link London Bridge . 
 Oct 7 2009 	 excellent friendly hotel 	 impress hotel . staff friendly effusive , room fresh modern . breakfast wonderful stay dine evening menu look good . a really pleasant stay , wiil definately backtony Paula Joyce 
 Oct 1 2009 	 well run hotel convenient location dedicated staff . 	 check check really impressed hotel , staff service provide . many year London business leisure stay first time move write hotel review award well deserve ' excellent ' rating . our fist visit book son celebrate Ruby wedding anniversary . staff pick give room upgrade fruit chocolate . reception staff welcome , courteous informative treat complimentary drink room prepare follow late checkout previous guest . room guest area well present , clean , comfortable modern . staff obviously proud hotel give impression genuinely pleased see anxious make stay pleasant one . use Londinium restaurant excellent evening meal enjoy one good hotel buffet breakfast ever . the location hotel ideal business pleasure city major attraction easily accesssable foot conveniently situate public transport link . it extra touch provide hotel staff make visit memorable would certainly use hotel recommend friend family . 
 Sep 29 2009 	 terrific 	 hotel wonderful , room extremely clean comfortable . staff helpful time breakfast one good would ever . definitely use hotel next time visit london . 
 Sep 29 2009 	 London Bridge definately fall ! 	 celebrate Ruby Wedding Anniversary always special recent weekend stay realy ' special ' make even so . from outside facade exactly inspiring huge atrium acre glass inside modern boutique ' style ' reception area welcome , smart , polished , gleaming , fact . reception staff Concierge smart , extremely helpful feel really proud hotel . the lift , though small , speedy corridor clean quiet . room , 3rd floor , front large window able see London Bridge ' gherkin'building . the room modern , tastefully furnish comfortable importantly extremely CLEAN ..... bathroom modern marbled towel fluffiest whitest ' ve ever have . the choice lighting superb , could play DS use small flexible LED whilst husband read motor magazine modern anglepoise one . tv flatscreened place perfectly . the welcome'trays ' perfect white china necessity . bed king size bed beautiful , clean , crisp WHITE ! pillow mainly feather , fine asthma , rang housekeep new lovely anti - allergenic pillow arrive within 10 min ! . room controllable air - con heating double glazing slide could open window , great weather fantastic . lucky we . breakfast absolutely fantastic , nothing much trouble lovely staff . seperate table , good cutlery china good choice proper ' breakfast ' service tea / coffee toast ( unlimited ) great vary either morning . we would like stay forever ......... definately stay London Bridge Hotel ......... ! ! ! ! ! ! ! ! sincerely Hilary & amp ; Mike Randall , North Wales . 
 Sep 28 2009 	 Impressed - Average 	 Booked hotel due mainly good review . reception staff business like arrival not give info free internet access , breakfast location location lift . room ready early check plus point . like hurdle get corridor past use towel clean stuff corridor . room disappointment - small . small window wadrobe something else - like old broom cupboard full dirt dust . safe not & quot ; safe & quot ; whole thing could lift take away ! bathroom ok - disappoint shower bath . not make aware booking . wifi hotel free - see try use . connection poor - every couple minute . annoying site log onto timer make sure not go 24 hour total . site not work properly could not always log stop count . review comment room service plate stuff get leave sit corrider age . experience stay - 2 wine glass leave sit reason cleaner Sunday morning still leave Monday lunchtime . breakfast choice poor far cold stuff go - limit choice bread cold meat / cheese . hot breakfast well seem problem undercooke sausage ! waiter / waitress seem attitude problem - take ever get coffee / tea ordering toast like real episode . ask order still not come not ask tell uncertain term & quot ; come & quot ; - maybe next morning ! last day stay nice water feature breakfast - stream water collect pot airconditione unit . table wet area still get set lunch ! not scene expect see 4star hotel ! housekeeping slow come room weekend - annoying want come back room 3 - 4 room still clean go let cleaner . would stay noisy construction work , airconditione working - could get cool air . overall disappointing stay . well option central location available . street hotel bit dreary hotel look part surface lack many aspect . 
 Sep 22 2009 	 great location great staff great breakfast -could not ask ! 	 desk staff especially helpful we , arrive discover travel agency go bankrupt booking cancel . give room reasonable rate , staff go way extra kind we . even make we coffee waiting ride Heathrow 5:30 a.m . room small , immaculate , everything might need . close Tube site South Bank . you stay - will not disappoint ! Elizabeth Thompson 
 Sep 17 2009 	 clean modern hotel great location . 	 stay four night hotel . room clean modern , new ( small ) bathroom amenity like flat screen tv , in - room safe , read light , etc . standard room small , enough room walk around bed 's . service good , easy check check , excellent help concierge get around back airport . report burn bulb someone door fix 5 minute . we enjoy buffet breakfast save time money . extravagant buffet , good hot food ( i.e . egg , sausage , ham , cereal , fruit , bean , pastry , fruit juice drink ) .My complaint part hotel bar / club next door . first floor ( second floor US term ) right bar . bass - heavy dance music thump midnight Friday ( though Saturday ) . travel partner third floor fine , perhaps avoid first floor weekend . 
 Sep 15 2009 	 Excellent Hotel 	 firstly let say extremelly fussy stay . ex - travel agent therefore research hotel thoughly ! find hotel via Trip Advisor site think review balanced decide take chance hotel . book via HotelDoorman internet pay £ 90 per night inc breakfast . arrive hotel check - in swift receptionist pleasant . unfortunately room bar extremely noise late night . room 121 beware get room weekday night . ask move different room follow morning argument hassle . even offer help pack bag move new room ! move room 323 much quieter . later find bar close Sat Sun night beware want nightcap bar weekend . breakfast serve Londinium resturant quite small table close together food choice excellent . food good quality hot food top regularly food not get cold . good selection cereal , fruit , cheese , meat etc also full supply English Breakfast food well . location hotel great . really handy get tube 2 minute walk station pick either northern line Jubilee line London Bridge underground station . tourist London not visit regularly would recommend get Visitors Oyster card use underground bus . pay go card top ticket machine run low . automatically deduct fare start startion end station show much got leave go barrier exit underground . not worry buy ticket section yur journey . take stress travel tube . find detail Transport London website . hope information help would definitely recommend hotel anyone include friend . 
 Sep 10 2009 	 comfortable 	 stay 6 night london room bit small comfortable stay.service good buffet brekfast plentifull good variety.location 100 metre london bridge underground day pass could get sight easily.free internet connection room downside motor running day outside window loud annoying 6 am till 11 pm , day sightsee much problem last day rest mention staff happy change room.would stay london . 
 Sep 9 2009 	 WOW ! outstanding hotel really impressed 	 find hotel TripAdvisor , end stay brilliant experience hotel . excellent customer service , amazing luxury spotless room tasty breakfast . could ask , good price ? ? 
 Sep 2 2009 	 impressed 	 quiet , comfortable , nicely decorate clean room . Attentive freindly staff , prompt room service . 
 Sep 1 2009 	 Poor ! - go somewhere else ! 	 hotel disappointing front . breakfast limit awful , rock hard fry egg , garlicly button mushroom , crusty baked bean etc . room average hairdryer do not work one send replace have not pat test year . limit minibar etcThe room movie choice limit nothing child . room service stop 11 10 pm unable make form cocktail . room next door us room service , include strawberry , 2 day later mouldy strawberry still wait collect - place awful . never go back - even free ! 
 Aug 31 2009 	 nice hotel 	 1 . close underground & amp ; bus station2 . close Borough Market & amp ; Southwark Church3 . good service4 . Delicious breakfast5 . Clean & amp ; tidy6 . comfortable mattress 
 Aug 31 2009 	 great place stay 	 spend 2 night weekend . hotel smart , stylish & amp ; clean , staff take good service seriously . breakfast little limited , excellent quality & amp ; cook well . decent coffee ! dinner also good . room small , old converted building . good , would stay quite happily . 
 Aug 27 2009 	 fabulous 	 friend stay & quot ; girlie & quot ; weekend London . absolutely love hotel . staff fabulous friendly helpful . room small well furnish , clean everything need night stay . close underground bus station , still quiet . good eat nearby along Thames close walk Tate Modern ( well could not shop whole time ) . get good deal include breakfast , breakfast quite substantial . love hotel hotel stay London equivalent price ( ) brilliant value money ( London hotel expensive get ) . finally fault staff - customer service wonderful . plan return . 
 Aug 25 2009 	 would return ..... probably . ok nothing special 	 stay London Bridge Hotel 3 night August 2009 . book review unfortunately , disappointed hotel . initial impression good - service reception desk pleasant although early room ready . book Deluxe Room lovely large room . unfortunately room view not expect view could not disappoint ! lovely initial touch plate fruit deliver room along chocolate receive lovely handwritten card Manager . unfotunately though initial good impression not last thing think hotel could improve : - Breakfast serve Londinium resturant low ground floor . can not leisurely breakfast table close together room also hot ! - night room service . return theatre late Saturday night know 11.00pm could order Day Night menu include nice sounding sandwich lasange . take time phone answer response signifcantly underwhealme advertised sandwich available . apology / explanation menu not available 11 pm eventhough advertise ! problem hotel not area get food time night . overall , probably will not stay . us hotel wrong area - normally stay close westend look return area next year . 
 Aug 24 2009 	 good find 	 stay one night attend function hold Southbank . the Hotel within walk distance London Bridge Station ( 2 minute away ) close tube bus route . got good deal breakfast include . room comfortable good lighting - not expect great view London ( look back building ) room may well view . room surprisingly quiet give close proximity station . would stay excellent base visit London 's tourist attraction . 
 Aug 24 2009 	 pleasant surprise 	 nice surprise hotel . away bustle chaotic hectic city centre , usually get shabby room price four season suite , yet conveniently locate 10 minute walk London city , hotel exceed expectation . first location : right opposite London bridge railway tube station , need cross road access lobby . lively area day yet quite night pretty safe well . along road also find couple wonderful bar pub happy hour . side station , fully renovate dock area host real size ship , pave promenade along Thames , lot barsd inn , reach Tate modern London eye really 10 15 minute foot . pricing : price quality ratio . opt bed & amp ; breakfast package , really get nice room charge average price two / three star accomodation central london ( still central London zone 1 ) .breakfast good anything 5 star hotel offer . internet connection free stay , need ask staff log - in password . room small clean modern decor . flaw small closet absence chest drawer store thing ( one see picture fact fridge ! ) .You also access Fitness First Club stay integrated hotel direct access ( include price stay ) .I absolutely would recommend business traveller solo traveller . 
 Aug 20 2009 	 good London hotel price 	 London expensive hotel good value . room small side generally speak - UK pretty roomy ! ! really nicely decorate clean quiet . Windows open huge plus . staff extremely helpful friendly . hotel literally minute major tube station bus hub though may look way really minute anywhere . not eat malaysian restaurant - look nice food average . 
 Aug 20 2009 	 Fantastic Hotel .............. ! 	 third stay London Bridge get well every time ! ! service great , room clean spacious & amp ; breakfast lovely . location brilliant , 1 minute walk London Bridge station , 10 minute walk London Bridge financial district , 5 minute walk Borough Market & amp ; around 15 minute walk Tate Modern Gallery , Shakespears Globle & amp ; St Pauls Cathedrel . could need great weekend . look forward next stay London Bridge . 
 Aug 19 2009 	 pleasant time 	 hotel price quality . staff really helpful , room clean , spacaious , bathroom great location brilliant . go back day away friend , weekend break . price time write good , hope not get greedy raise price ! ! centrally place load easy underground access lot attraction . 
 Aug 19 2009 	 Excellent Hotel 	 stay hotel couple night August wonderful time . staff extremly helpful , room clean fit breakfast excellent . 
 Aug 18 2009 	 Brilliantunexpectedhotel right next tube ! 	 stay 3 night early August , would certainly stay . room bright clean airy , little small , location terrific within easy walk distance Tower Bridge Tower London . access rest London easy tube virtually next door . staff welcome friendly , breakfast ( include package ) good , exceptional . 
 Aug 17 2009 	 Great Hotel ... part 	 London Bridge Hotel great , except fact long treck hotel room . go two flight stair 2 double door two flight stair two double door get room . , stay great . room clean quiet . many attraction nearby . concierge , Alpay , great ! room also alarm clock could charge ipod iphone . 
 Aug 16 2009 	 Fantastic - do not stay anywhere else ! 	 always stay visit London . fantastic value money weekend anything ' ve improve even since last visit . do not pay extra & quot ; upgrade & quot ; cook breakfast option absolutely fantastic - worth stay , much like nearlyeverything could think , everything top quality ! ask get room view London Eye , -law could see top Gherkin room - ask room 4th floor good view . can not wait next visit ............ 
 Aug 12 2009 	 Super location close attraction transport 	 hotel superbly locate aspect . number tourist attraction within walking distance , London Bridge station 100 metre , Borough Market across road bar / restaurant abundance . parking , NCP Novotel close , 5 min walk drop bag first . the lobby / bar area small sofas bar service . check in / concierge efficient happy help . restaurant breakfast , lunch dinner serve . the room contemporary clean huge bed tv . usual find class hotel tea / coffee facility , mini bar , air con , iron , trouser press plus nice touch like complimentary water , dress gown slipper . free WiFi need get voucher code reception allow 24 hour access 3 day . alot even number room face towards air conditioning unit kitchen fan outside noisy ' industrial ' view . ask move due noise chap reception happy allocate new room side hotel , also help move bag take new room . train line side surprisingly quiet . bathroom clean albeit compact clean fluffy towel nice toiletry minus hair conditioner . breakfast good quality excellent selection suit consist buffet affair everything full english fresh fruit , pastry , yogurt , bread , cereal , juice , tea / coffee , also kipper porridge request . hotel provide room service also Fitness First gym free guest . a great hotel excellent location lovely helpful staff . 
 Aug 9 2009 	 great location great room 	 proximity London Bridge station perfect Borough Market great upgrade suite free .Well do , staff helpful friendly .Well worth trip explore London 
 Aug 8 2009 	 good london hotel 	 stay 2 night partner birthday . get special deal via bank travel service pay £ 153 2 night BB . previously live london say hotel situate anice area , great travel connection . London bridge station across road give access jubilee northern tube line easy get central london , Monument tube station 5 minute walk away connect number tube line . northern line wll take leicester squarefrom monument station . room comfortable look onto Guys hospital ( emergency department guy ambulance siren go ) view big ben london eye . room quiet . breakfast good , staff excellent honest fault hotel . 
 Aug 7 2009 	 great hotel great location great price ! 	 stay two night LBH week end get - away London . the hotel perfectly locate discover london - heart city immediately close London Bridge Tube National Rail station . surrounding lively plenty pub fancy restaurant . the hotel staff friendly prompt help . breakfast hotel good lot choice . breakfast staff ok , however remind couple time order coffee toast ... nothing serious , see wife not first morning coffee ! ! overall good hotel reasonable price . would absolutely come back . 
 Aug 6 2009 	 great way enjoy stay London 	 ' ve stay London Bridge Hotel last three visit London , quality comfort never change -- always wonderful . small boutique hotel part London 's less crowded near site . train underground station near buy convenient , almost Thames Walk , get lot site without walk busy street . near Borough Market , Globe , Tower London , easy walk London Eye Westminster . breakfast generous delicious , staff concierge always extremely helpful welcoming . will not stay anywhere else go London . 
 Aug 4 2009 	 would stay poor room Service 	 hotel close London Bridge Tube station . also surround come neighbourhood , part grotty part nice . find hotel without problem . walk hotel , small lobby reception desk . wait check whilst clerk conversation phone talk waitress require change . stand 10 minute , without apology . impressed . check fast , attend . ask Conceirge 2 question closing time museum . answer receive great , & quot ; well stay tomorrow night would open later today & quot ; . sorry helpful . room twin . small clean . could imgaine 2 people stay , luggage long period time . 1 bar soap , 1 shower gel leave bathroom bare minimum towel . overall give impression hotel try save money . ask require paper . ask paper never deliver , way wake call never do . poor service . the breakfast morning complete shamble . stand wait seat 15 minute , totally ignore manager . Breakfast serve street level room , notnatural light let . full breakfast buffet style . limited cereal , tasteless cheese , bread , water juice drink fresh juice taste . cook breakfast part ok . next problem , , never ask want toast tea / coffee . wait many minute fetch waitress order drink toast . ask want white brown bread . table next we exact problem . fact 4 we spend 20 minute analyse hotel check list find wrong . overall service , size room , toiletry breakfast far 4 star hotel standard , let alone one rate highly site . book strength past review disapointe . save grace price £ 70 per twin room full breakfast . price bargain , akin travelodge type hotel . normal price £ 180 upwards would insisted speak manager . London every month would use hotel , give experience . poor standard poor management . well 4 star hotel London . 
 Aug 4 2009 	 good choice London hotel 	 get little quiet weekend business area town , well place get around London . Tube 2 min walk , DLR . bus right beside Tower London 2 min , preferred way get around get watch London go hot underground . easy walk London Bridge museum , market , restaurant , etc . take walk around St Katherine 's dock reach underground tunnel across Tower . nice restaurant charming , canal , barge boat trendy apartment . give room new wing hotel , modern nicely decorate . huge bathroom large bath shower , however not happy glass wall even frosted . luckily room look onto deserted office building . plenty towel nice toiletry . room equip desk , flat screen tv , coffee make facility , iron ironing board , safe , usual thing . odd though , not bedside clock . we not use restaurant room service , plenty cafe quick breakfast , pret manger next door . reception always helpful , arranged taxi airport us set price . would use business leisure London . 
 Jul 27 2009 	 Excellent Hotel - luxury everything ! ! ! 	 stay london bridge hotel 2 night birthday wedding anniversary ( child ! ) . hotel good base close ( 2 min walk ) underground . arrival updgraded suite absolutely fantastic , not think stay nice hotel anywhere certainly London . lovely bottle red wine large tray exotic fruit 2 box handmade chocolate - quality . huge tv satellite channel free wifi add bonus ( well use teenage daughter ) . bed comfortable annoying noise evening either bar neighbour . breakfast plentiful good quality something everyone . 
 Jul 26 2009 	 pleased find gem . 	 hotel exceed expectation . look something close public transport , away city centre close tourist attraction , close local amenity clean . let . hotel right London Bridge station although close , barely hear railway away street traffic , not problem contend , happy back ground noise . not hear neighbour either sure appreciate good thing . the room clean spacious plenty storage . bathroom little small well lay clean still city centre hotel , room overall impressed . we think Antonio front desk one polite helpful people ever meet hotel think nobody could well attitude warmth . wrong . everyone helpful complaint staff desk right breakfast room Londinium restaurant . breakfast two morning hotel standard buffet style decent selection cereal , continental english breakfast . also pre show dinner restaurant service spot meal well present delicious . serve lay back atmosphere without feel rush show yet still serve good time allow plenty time get train west end show . this right heart West end want , . say , short train ride away Charring Cross , 7 8 minute course right heart thing . plenty cab station course lovely walk along south bank , take sight , not mind stretch leg . close hotel within easy walk HMS Belfast , Tower Bridge , Tower London , Millennium Bridge , Golden Hind , Clink Prison Museum , absolutely brilliant Borough Market , London Dungeon Hays Galleria . tour bus drop side station hotel course another way get around town . I would recommend hotel position everything . clean smart . staff deal without exception professional friendly . close number local amenity attraction . food good . , would say stay enjoy . back show later year without hesitation . 
 Jul 25 2009 	 around excellent 	 find ! excellent value , good service , comfort fantastic location . very close station train noise , compensate location . I intend return use hotel every future trip London . the american couple front decline free ( honeymoon ) upgrade suite want smoking room ! 
 Jul 25 2009 	 surprisingly delightful ! 	 London Bridge Hotel slip road London Bridge railway station one busy railway station London scenic ( although convenient especially arrive Gatwick go City ) . outside hotel discreet , even modest , fool . truly pleasure stay . quiet , comfortable , well maintain smart , staff charm helpful . detail right obviously carefully watched attend . room well equipped , spacious ( although speak basis upgrade ) even stylish . even breakfast really good - properly cook , fresh food . small hotel look forward stay even business trip simply get right thing need right without charge thing not care . still expensive - come within even careful travel budget organisation . set standard judge business hotel many match . 
 Jul 25 2009 	 good choice frequent travel tube problem 	 stay comfortably 5 day modern 4 star boutique hotel . since locate near business district area , feel like business hotel . therefore , many tourist mean less people breakfast . got corner room quiet spacious since space 2 big luggage . light sleeper , would probably find noisy especially room face road . breakfast ok much variety . hotel staff reception , conceige , service housekeeping , nice friendly . manage get late checkout since evening flight . location good since restaurant near like Hay 's Galleria 15 min walk Bulters Wharf near Tower Bridge . Bulters Wharf , could find several decent restaurant Thames River . indian cuisine must try London . attraction like Tower London , St Paul , Tate Mordern Monument within walking distance . hotel beside London Bridge Train station well underground tube . convenient come Gatwick airport 1min walk station hotel . however Heathrow airport , could challenge luggage tube especially peak hour . end , take black cab cost we 45 pound . certain tube station escalator . hence inconvenient people big luggage tire day . even though little time spend change tube , still find easy travel around London Bridge attraction . day travelcard expensive therefore tube main transport get around London . , pay city tour bus great catch main attraction instead walk . however prefer near main attraction , shopping area ( near oxford st knightsbridge ) escape hassle change station frequently , try find hotel near circle / district line . , hotel fit perfectly . would definitely come back price right hotel still well maintain . 
