nice 	 visit hotel 7 night November , pleased service receive relative good price pay stay . hotel relatively central location , minute away tube . room basic whatever necessary make stay good one , clean fresh towel provide daily basis . breakfast good one , fresh fruit really fresh , whilst hotel environment staff extremely helpful . hotel ideal anyone look centrally locate budget hotel london good price , would recommend hotel anyone . 
 Jul 29 2009 	 great ! 	 love umi hotel , stay 5 day , happy ! cute breakfast morning simple yogurt , croissant , juice , coffee , tea , fruit . 4 option . nice . room clean- simple nice , hair dryer , soap , flat screen tv , etc . close train block - love area ! fact 2nd hotel bad try come back umi book get another one around corner do not want leave bayswater . nice people , good internet although little pricey later find block way train time limit 2 pound less . want stay every time go back 
 Jul 28 2009 	 good value location 	 Room clean , bathroom small well supply towel soap . hotel well locate tube shop close Kensington garden . staff pleasant helpful . as light sleeper request quiet room duly give one look onto leinster square ensure good night sleep . I would recommend hotel anyone visit London budget look sight seeing . I use hotel restaurant price seem reasonable . 
 Jul 28 2009 	 hope 	 reason book hotel fantastic website promise ' new concept hotel ... offer good London hotel accommodation , excellent service facility , value price . ' young couple really sound street ! keep eye price Grovsner Room fluctuate right £ 165 per night find £ 80 jump chance ' great deal ' expect fresh , vibrant funky hotel comfortable , contempory room ( reflection website ) .On arrive hotel werre definatley impress location hotel building ( really Notting Hill setting ) . staff helpful promise everything look good ! problem enterering room ... furniture look like something would pick car boot sale bathroom small could not even fit sink subseqently bedroom . definatley type room promise ... pay extra Grovsner Room . even call downstairs double check right room . know find room London £ 100 night challenge really believe Umi Hotels promote false idea hotel offer . 
 Jul 26 2009 	 good value London 	 like location hotel ; be three block Queensway Street ( load restaurant pub ) four block bayswater tube station Circle Line . like neighborhood , multicultural busy street . room good size , although ( ' m guess 's build old ) 10 - degree list . ' m kid , slant much . could feel slant even ont ground floor . also , never hear anything neighbor either side we , hear everything neighbor we . thin ceiling , plus floor creak much . part , upstairs neighbor not anything ordinary loud room . ' m sure people we . get room top floor ! staff nice , although breakfast overprice . go look home base nice location , place . also , ewre close Kensington Gardens , wife go early able run morning . internet available , price . 
 Jul 9 2009 	 Really Old Dirty 	 book three room pay advance hotel website . however , check - in say book one room ! finally , parent stay hotel , rest we stay apartment one night . finally get another two room next day , finally give we explaination booking . satisfied room . firstly , stain carpet , seem carpet clean long period time . secondly , find two reading lamp work , wait three day lamp repair . thirdly , hair dryer weak , fortunately sister bring one . there many door corridor , think unnesssary make people inconvenient go go ! possible , choose room fifth floor - lift go fourth floor must go fifth floor stair . hotel give we room fifth floor , clumsy taking suitcase walk stair ! advantange hotel location - quite near bayswater underground station also restaurant convinent dining sightseeing . however , compare money pay , think worth get room service ! 
 Jul 4 2009 	 Umi Deluxe suite 	 move Umi hotel Ibis hotel bark happy . book deluxe suite one adjust building . room nice view park front building . area quiet room cozy . small though , stay night bother . little kitchnette everything look nice . well choose color nice furniture good impression . look close , lot thing damage hardly hold together . decrease final rating . staff helpful far need . breakfast special , OK . get expect see bark happy move bayswater ... : -D 
 Jul 2 2009 	 Good Location 	 stand four night UMI Hotel London please location . underground station near quiet area London , although close restaurant cafés , perfect night walk . agree customer noise flush problem , room cozy sleep well . surely come back . 
 Jun 28 2009 	 Room service give we garbage 	 okay , budget hotel * still * ... stay four night , book overseas friend stay . not much * London * price ( 89GBP 139 GBP ) still seem like complete waste money . wake first morning obscene shout come corridor / next room . think maybe guest ignore , leave realize make noise . next room service 's little ' office ' third floor . okay , door wall thin . last morning woken room service shouting & quot ; [ -- ] bottle room , many [ -- ] bottle bl * * dy room . & quot ; Nice . perhaps not tip room service , basically not bother clean room first day ; mean , make bed , not bother wipe sink ( bedroom , yes ) .there also matter leak bath faucet , probably disturb someone downstar , hotel employee try get room fiancee shower order see whether somehow joyously spray water bathroom . not fix day ; instead go rigmarole next morning ; time , finish shower let look tub . fix LOT grout . the hotel need bit repair ; creak floorboard shriek tap noisy , bed really uncomfortable roll basically ... tub crack bathroom ceiling mouldy ... okay , budget ... yes , tv work fine ( except plug something -- stop ) ... probably good part third night arrive back find full bag garbage room leave room service . guess ' forgot ' . awesome . take reception write something little book , apologize ... . guess business usual Umi Hotel . if reason go need wireless access search next stay , not spend 3gbp 3 hour internet , go street one several internet cafe there . oh course ... keep mind not check 11 am , require pay stay two night , rather one . 
 Jun 24 2009 	 family trip London - Umi ok 	 british standard , anyway clean hotel beautiful old building . renovated british way . people want big hotel chain standard . quite good situation ( bayswater Queensway underground station 5 - 10 min walk distance ) . lot teenager guest fun hotel door step night Friday / Sunday - & gt ; noisy two night five night . floor old house make noise well . ear plugs : ) .beautiful small park front hotel . good breakfast nice restaurant . breakfast could see quiet guest ( couple , family ) well . international . Umi concierge service example Mme Tussauds & amp ; sightseeing bus tour ticket buy hotel without quee . overall : ok . 
 Jun 13 2009 	 beware ! 	 friend stay Umi outset trip fly Italy also conclusion fly home US . first room sink bedroom . sink two faucet , one hot one cold , neither work well . trick get toilet flush repeatedly pump handle . carpet huge stain bed give backache . shower impossible turn need grab towel order get strong grip shut valve . stay second room , problem remain except crummy sink bathroom . amazed , one hand worried could not flush toilet , yet could watch flat screen tv . ' m sure Umi priority straight . ' m use luxury travel little much . 
 Jun 9 2009 	 small room good location . bad car parking . 	 ok . room small know beforehand clean good enough couple day . big hassle get hotel though park load car park street try ring pay parking even though leave want grab case go . try ring end spend heap $ $ phone call parking fee . really annoyed wanted go think ridiculous . get special permission drop off / pickup bay . good location , near Hyde park Oxford St . 
 Jun 8 2009 	 disappoint 	 although staff helpful polite . afraid hotel let least room stay . clean well furniture litle shabby . taps shower do not work well . one good point location . near tube , shop many type eatery . 
 Jun 3 2009 	 impressive hotel London 	 stay en - suite twin bedroom . although room little small , nicely design amenity provide - clean towel , wardrobe , tea coffee , hair dryer , iron ironing board . hotel locate slightly Bayswater high street plenty eatery shop nearby ! definitely stay hotel ! 
 Jun 2 2009 	 nice great value london 	 really impress Umi Hotel . location pleasant - quiet square nice little park close decent restaurant . bayswater Queensway tube station 10 minute walk hotel taxi Paddington cost 7 pound . room small , clean - room overlook park nice . small LCD tv , nice touch . negative thing noise hallway people haul luggage little annoying , floor pretty creaky , 's oldish building , be expect . continental breakfast really substantial get proper latte want also . staff also really friendly warm . would definitely stay . 
 May 21 2009 	 well worth money simple clean 	 stay Umi hotel friend , book quite late , literally day go & amp ; last option . look hotel within price range & amp ; find bad review hope well one . when arrive pleasantly surprised find situate quite nice area , though not good way enough allow decent sleep . tube station short walk away & amp ; location not awful , travel tube & amp ; know line quite well already . the room twin bunk , 2 bunk bed , desk , freeview television , kettle & amp ; en - suite . clean , white sheet bed spotless can not complain . bathroom statisfactory , spotless dirty . though two light literally hang wall ( yes safety hazard would think ) major issue , though fairly annoy squeeze wall get top bunk one bed , clearly think postion bed through . overall like hotel , find clean & amp ; well worth money . would definately stay next time visit London price great get & amp ; ' ve hear real horror story hotel . 
 may 7 2009 	 nice stay 	 3 person stay 3 night may double single room . good service reception breakfast room . good breakfast apart tea coffee taste much . big double room , small single room . comfort bed could well . otherwise great location quet surrounding 
 May 3 2009 	 could fault 	 group 10 girl hen weekend Wales . close Paddington Station minute walk shop restaurant . friendly staff , room clean towel change eventhough two night not expect . continental breakfast nice serve noon . barman bar downstairs friendly stay open early hour ! ! would definatly recommend hotel would stay visit London . great weekend , thank ! 
 Apr 1 2009 	 good visit London 	 hotel perfect position visit London , close yellow , red green tube line ( think strong point structure ) .room old ( wooden flat , old moquette ) sufficiently clean spacious . the quarter lovely quiet ; fiew minute foot Queensway , animate cool street full pub , restaurant , night open supermarketprice room cheap London . would advise hotel 
 Mar 18 2009 	 thank 	 stay umi london last week group 42 people , great stay staff really friendly hard working , food great breakfast much expectte ( continential ) concierge helpfull reception staff cafe staff hard work nice , room clean housekeeping fantastic ! great location , quite hotel great prices.we deffinently come back.and happy stay there.thank umi staff 
 Mar 5 2009 	 Mmmm - quite sure . 	 share love hotel . maybe get old single room decidedly tatty poorly furnish . bathroom pull cord light goodness sake . plus side staff friendly load european family stay nice atmosphere place . stay see unlucky room overall stay well value money alternative pretty much location . 
 Feb 6 2009 	 highly recommend - Fab place price 	 gem hotel one good location London . near form public transport nice area London . Reception , cafe relaxation area clean , stylish comfortable . load free daily newpaper , Timeout etc . Roam compact neat pin . comfortable bed ( single ) . little extras sewing kit , tea cofee etc one expect hotel London category . breakfast great - big frothy cappucino , croissant , muesli orange juice along national daily newspaper . service reception courteous efficent . stay night bad snow London 18 year ( 1st Feb 2009 ) glad do . recommend place without hesitation . 
 Jan 11 2009 	 Great Place Stay London 	 recently stay 3x Umi trip viste friend . place fantastic . clean , friendly reasonably price . first impression clean room . staff friendly helpful . would hesitate moment return Umi thankful hotel helping make stay UK enjoyable . 
 Jan 6 2009 	 serve purpose well 	 decide stay umi hotel location , price ( £ 89 three us ) reasonable review website . reach hotel ( not good direction arrive thank passerby ) please see quite modern decor seem clean . receptionist say right thing although seem abrupt manner male counterpart mcuh friendly . she inform we upgrade quad room excellent suppose get triple bunk . lift good condition room average clean good view onto pretty garden middle leinster square . window hard use not really want use shower old although probably clean , not pleasant . there flat screen television room , wardrobe safe ( cost £ 5 use . ) duvet thin cold one point night , also awake footstep we suppose 's much hotel that . the next day check able leave luggage ' luggage room ' convenient not drag luggage around day , receptionist pleasant . there also concierge hotel although seem sincere helpful enough , great grasp english ( something would consider vital concierge ) could not supply we tube map , although tell we station etc . the cafe hotel nicely decorate breakfast really nice friendly waitress , downside lack english cause get order wrong twice . day arrival however , sit cafe order drink perhaps something eat ( claim available throughout day ) wait age eventually go ask receptionist could get something cafe politely . replied & quot ; want ? & quot ; say not know would like ask available etc . on retrospect umi serve we well purpose one night . comfortable enough , great location price . however , would not recommend long stay not feel inclined use shower . also , although staff helpful enough particular receptionist terrible manner not make eye contact we . would stay stay one night , long period would invest hotel well bathroom . 
 Dec 15 2008 	 average 	 hotel badly price London standard - book hotel website quite far advance . location good - safe , noisy five minute walk bayswater underground . room tiny ( be inevitable London price ) , clean well stock robe , hot drink etc . bathroom clean good shower . breakfast bad , include . good system , bit stingey . nice coffee though ! staff whole not bad - exactly sunbeam joy laughter rude either . , be good value hotel not much character . 
 Dec 11 2008 	 Great Hotel ! ! ! 	 deifintely return hotel . situate safe neighbourhood amenity one could need . hotel staff friendly informative . even book London bus tour hotel . great cab service reliable reasonable . restaurant bar hotel nightcap bed . near tube station Bayswater central ( central line ) far anywhere wish go . room clean comfortable . would stay without question rate fantanstic comparrison other neighbourhood . highly recommend Umi ! ! 
 Nov 29 2008 	 disappoint 	 decide use hotel follow high recommendation site however extremely disappointed . initial entrance reception pleasant staff friendly . enter room , 116 rear hotel , first thing notice dire need modernisation . although fairly large , sink main bedroom ( take quarter room ) , little room bed sink .. , pass health safety check , never know . thank god not need get emergency . tap sink run hot water buy bottled water clean tooth . despite rear hotel , noise throughout night , ( inside hotel ) , ie creak floor board door bang want lie , well forget ... , hoover start 8.30 . despite negative , hygiene high standard would wish go back . also positive note , situate pleasant part London within couple minute hotel , shop restaurant could wish . 
 Nov 22 2008 	 Loved Umi London 	 family stay 4 night Umi October really enjoy stay ! ! staff friendly serviceminde , quad room nice clean four lovely single bed , fridge nice private bathroom ! maid make bed , clean room change towel every day ! great come back hotel long day , shopping sightseeing ! hotel bar , small restaurant internet , unusual budget hotel . area nice calm , close restaurant , shop tube . also please price hotel = good value money ! really recommene hotel stay next time go London ! 
 Nov 19 2008 	 good value hotel center London ; clean 	 great place stay be budget 's clean , cheerful right center Nottinghill Gate / Bayswater . pay £ 100 / night family room one double bed one single 6 - yr - old . reception & amp ; cafe staff friendly helpful . room basic small clean . wear tear bottom wall door , otherwise room clean cheerfully decorate . bed linen / drape clean new . bed white cotton - cover duvet nice change usual polyester budget hotel bed cover . bathroom basic / small clean well - organize . shower bath work lack hot water drawing bath . there 3 minor negative : 1 . give room ground floor face front building bit noisy car & amp ; guest talk front building night . stay , definitely request room face garden side quiet . 2 . cafe continental breakfast not terribly fill -- croissant muffin rather empty taste well calorie . 3 . tv reception awful -- even tv bar fuzzy dot line program show . 
 Nov 11 2008 	 great ! ! ! 	 pleasant stay , staff extremely friendly , room clean comfortable , food lovely price , brilliant location . impressed : ) downside stay : chef not turn 1st night , load place eat within 5 minute walk not problem . the room slightly small , not spend much time not really notice it . the croissant breakfast cold ! : ) , everything else lovely . I find price room , hotel good value would definately stay . quirky , sink bedroom ( oppose bathroom ) slightly wonky floor ... think use victorian town house join make hotel , get lot personality ! stay ' groove room ' get cafetiere fresh coffee every day , kimono well paper every day . overall , nice stay : 
 Nov 1 2008 	 could bad ... 	 return week Umi - single room business . be okay London hotel - ' ve definitely stay bad . reception area bar give impression 's reasonably smart almost trendy room not keep image . room tiny actually not bother . bit odd sink bedroom part rather bathroom one make . manage pull headboard try move bed glue ! replace next day quick service ! think come romantic weekend have disappoint not sort hotel . backpack want somewhere cheap rest head , away business , ideal . breakfast high point food coffee 's good quality rather cheap nasty . agree another reviewer though feel like hotel 's try do , cheap . overall would return wanted weekend London visit museum theatre etc location fab . staff relatively friendly . 
 Oct 31 2008 	 Disappointed 	 expect average 3 * hotel good quality / price . ... 1st room , over - heat + + + . wondow wide open time . tv not work & amp ; way could watch sit sink ( yeah sink not bathroom ) . change room . 2nd stairs & amp ; lift entrance hotel . not sleep 3 night . real nightmare . 
 Oct 30 2008 	 great hotel stay 	 ' ve come back 2 night Umi hotel would definitely recommend hotel friend plan return visit next year . lovely hotel beautiful area 5 min Bayswater tube station . plenty restaurant , bar amenity area . the staff extremely pleasant helpful always greet smile . continental breakfast include help we good start day breakfast serve til 12 need lie . room spotless good size . 
 Oct 21 2008 	 good central london hotel 	 stay Umi Hotel London October 15th 2 night . read last review slightly nervous . arrive 8 pm & amp ; check go smoothly & amp ; receptionist pleasant . double room ( 408 ) really nice clean room ( spotless infact ) also nice view garden window . beverage tray stock range tea & amp ; coffee include fresh ground coffee . breakfast lovely good choice fast do not bother we , staff friendly & amp ; helpful . would definitley stay Hotel . complaint would floorboard room , maybe ask top floor room . the area around Hotel excellent , good range restaurant , take away , pub & amp ; shop . use bayswater tube stop & amp ; 5min walk Hotel . go maps.google.co.uk give exact walking instruction . 
 Oct 8 2008 	 worth money 	 expensive . room old , small noisy . staff friendly . breakfast expensive compare local pub breakfast . really good choice price . 
 Oct 8 2008 	 ok bit disappointing 	 book Umi read good review location ( Bayswater / Notting Hill ) convenient . arrival please look onto garden square reception look smart contemporary . staff , time , lovely . however disappointed get room . pay Grove room ( 311 ) - unfortunately could see class ' superior double ' . furnishing old fashioned tatty , bathroom see well day bath really need replace . go straight time energy complain staff - regret complete customer feedback form . bed comfy , digital tv work well , breakfast simple pleasant . anything disappointed could really nice 3 * let presentation . 
 Sep 25 2008 	 cut 	 Umi definitely provide well value money many similarly - price London hotel , especially able arrange favourable rate booking ahead . last thing first - room small , least , mine . , else one need London , rest , change clothe maybe enjoy cup tea ? room , Nº 224 , large window VIEW - something will get every London hotel . room overlook idyllic garden one could catch sight squirrel playing ; nice lift blind morning lie bed look garden . speak , bed comfortable : two nice pillow : coffee / tea facility room ; modern , functional bathroom : flatscreen tv full assortment channel ( lot BBC ITV plus CBeebies , Sky News , CNN ) - , something will find comparably price hotel . someone even thoughtful enough hand little sign various room ground level explain live area Umi 1891 , show census extract year . the hotel noisy get room window , pack earplug case - always , hotel . definitely pleasant experience . two thing bear mind : 1 ) ask either swipe credit card £ 20 deposit check - in cover possible damage room , prepare ; also - coffee in - room apparently limit one sachet , per person , per day ! ( enough we ... ) 
 Sep 15 2008 	 average London hotel fair price 	 share tripel room Umi Hotel 3 day september 2008 . hotel locate nice quiet neighbourhood conveniently situate 5 min walk tube station . find room quit big triple furnish nice bed light duvet ( nice Scandinavian ! ) . room clean acceptable standard clean towel every day . one issue comment flat screen telly ' carry decent signal channel . breakfast serve ground floor good service give lot staff available – sure arrive later 8 – 8 15 may otherwise wait free table . continental breakfast serve table - give choice 4 item list consist fruit / cereal , bread drink . remember toast side order without extra charge . sure choose fruit salad – really nice . ' plan sit slow meal – look like hotel need move lot guest ' trough breakfast café real fast . really nice budget hotel city budget hotel tend really rundown . would go back Umi hotel another occasion look place stay price range – hand might choose move scale bit need double room next visit London get bit " luxury " ' really necessary . 
 Sep 9 2008 	 last good hotel London not cost earth 	 single room one night Umi not quite sure expect read previous review . say hotel excellent value central London staff meet friendly helpful . room clean comfortable although bathroom small , cleanliness important room space . would read review criticise room staff experience great start finsh . price excellent include continental breakfast . minor niggle mattress soft single bed . not know apply room though , good sleep anyway . arrive quite late happy find late - open place eat Westbourne Grove nearby . be locate good safe area take 5 - 10min walk bayswater tube station hotel . will definitely stay ' ve disappoint budget hotel London cost . real find . thank Umi . 
 Aug 16 2008 	 gem budget hotel London 	 Book via Venere.com ... find , gem budget hotel London ! room , though small expect , comfortable , certainly closet like another hotel ' ve previously stay London . safe , clean , quiet , underground - accessible Westminster neighborhood . hotel staff superb - helpful , courteous . lift . reliable internet service / computer workstation . reserve return London . 
 Jul 28 2008 	 Excellent ! 	 alway stay Bayswater area last , UMI , find base ! exactly & quot ; budget & quot ; traveller need : clean everything need , squallid like many hotel area . ok , room small , go London stay room ? not find basin room problem . like touch box tissue . breakfast also excellent staff friendly professional . hope continue exactly way offer great quality / price ratio ! 
 Jul 28 2008 	 great value money savvy staff ! 	 great hotel ! room really cheap , never encounter professional staff London . I find hard find decent price single room London ; single supplement charge hotel room usually horrendous , find frustrating since normally travel couple . Umi pay 59 pound per night include breakfast ( strongly recommend blueberry muffin ) lot friend pay per person double room . room huge ( state several previous review ) however , ' ve ever London would know room 10 square metre not exist . the location excellent . walk distance Portobello market Kensington garden , area really nice . good thing hotel staff though . normally get really frustrated stay London , normally receptionist know less London , hard get good advice go . however receptionist Umi know good nightclub give great little tip weekend , great little shop , eat , drink , not end touristy expensive place ... ' ve London many time , want see new place , know exactly go . hotel great value money ! ! 
 Jul 23 2008 	 verygood 	 really good experience , think long flight india staff really welcome offer room wihtin 1 hour nice coffee shope get nice coffee fresh food . overall would say nice hotel would come back stay . 
 Jul 20 2008 	 go somewhere Else - ANYWHERE else ! ! ! ! 	 never experience bad customer service hotel ! watch clerk roll eye guest talk behind back guest walk away . incredibly argumentative guest make stay uncomfortable . e - mail corporate office let know rude front desk staff never get response . room okay , much well money . call make ( include phone card credit call card ) charge $ .50 minute ! , use call card , pay minute card additional $ .50 minute use hotel phone . not use call card call direct , rate outrageous ! room shabby rundown . Breakfast pre - package danish yogurt . find much well Umi ! 
 Jun 26 2008 	 Simple London Hotel 	 stay four night February stay single room . good price London ( 100 usd per night ) consider painful exchange rate . 's far tube station . use Bayswater Queensway . now room small squeaky floor throughout hotel , not huge bother . glad really clean bed comfortable . little room place thing place toiletry bathroom . the staff excellent concierge guy well helped arrange transportation airport . something different hotel like breakfast include room . many product organic fair trade . make sure every morning breakfast . ' m definitely come back hotel . 
 Jun 24 2008 	 bad customer service ' ever encounter ! 	 stay awful – hotel bad customer service ' ever encounter . firstly , book online hotel different name - westminister . never inform name change spend number hour search arrive London . weather particularly bad finally arrive reception , completely soak . young man desk try convince cancel book previous week ! ask manager arrive young man full - blow argument right front ! could hear say room blame " loose " booking . two hour ( ! ) sit drench clothe reception finally ( begrudgingly ) give single room ( even though book & amp ; pay double ) . stay one night check girl try charge stay – despite fact pay online month previous receipt prove . call manager get hold hour try convince fact pay . highly embarrasing lobby full time treat sensitivity whatsoever . finally , call credit card provider manager , accept already recieve payment . tell girl & amp ; manager enjoy stay would recommend hotel anyone . , girl actually cheek roll eye laugh ! ask laugh – could hardly believe eye – make face ! ! ! manager , stand beside , never say word ! get apology barely even goodbye . absolutely appalling customer service . stay comfortable treat third - rate citizen . 
 Jun 13 2008 	 nice enough wee break . 	 stay Umi hotel 3 night double room mid June , place look old hotel do cheap , least try . the staff helpfull happy enough & quot ; tick breakfast & quot ; order card ideal seem little speak English . I do not think one straight wall level floor build hey , mortgage ! night stuffy room could fan , ( ` sure Ikea range Mr Umi ) apart nice stay . ideal base day 
