great 	 great hotel location transport link . room large New York , clean , large clean bathroom . use iron board free safe room - would definitely return next NYC . 
 Sep 9 2009 	 Loved ! 	 two girlfriend stay Labor Day holiday . book early get good price studio suite two queen bed sleeper sofa . accommodation exceed expectation ! room spacious bathroom big one home . everything clean comfortable . doorman bell people friendly helpful . location great subway one block away . one good place stay definitely return . 
 Sep 2 2009 	 fantastic place stay 	 slightly hide gem first sight little obscure , inside transformation stunning . friendly , helpful staff help welcome make feel comfortable outset . Tony doorman really helpful . indeed Manager maid staff kind helpful . kitchen area breakfast serve get wee bit crowded , survive . food breakfast basic , nutritious . easy access transport Metro ( 1 block away ) lead NY want find . bedroom comfortable , shower / bathroom clean vibrant , fact relax know every need catered require . & quot ; well do - Manager staff Broadway Plaza , make stay enjoyable & quot ; .Hugh & amp ; Philomena McClung , Stirling , Scotland 
 Aug 22 2009 	 great price great location 	 stay Broadway Plaza hotel 5 night love . central location subway station block away . friend feel comfortable neighborhood ( two young girl walk night ) never feel other way hotel room . room quiet clean , two must have . pleased staff , friendly helpful . especially appreciated doorman Tony 's help find good place eat visit . would recommend hotel really perfect one need , comfortable room visit sight New York . one downside elevator slow take stair time ( big deal overall ) breakfast room could get crowded know want go , grab go room eat . outside might turn people , slightly hide , really great hotel ! 
 Aug 12 2009 	 good 	 good hotel stuff accommodate position good . 5 minute ( walk ) reach Empire 10 minute reach Time Square . room clean every day clean . price vs quality ratio positive respect hotel new York . positive thing breakfast room small wait table ( least possible bring breakfast room ) . 
 Aug 8 2009 	 great value hotel city centre 	 choose hotel price relative proximity city centre sound like great value disappoint . room looks date still clean well maintain . bed high bloated remind grand bed see visit stately home . son give double room provide we fold bed extra charge . toilet bathroom clean well maintain . 's shame wifi internet extra expect complimentary . staff helpful look case day departure . 
 Jul 28 2009 	 Diamond Rough 	 travel NY leisure trip , hit ball park , ground zero , time square , soprano tour ... etc ... alot online reasearch hotel travel , review sell hotel . alittle shaddy outside street , hotel exactly want . something clean , central location , continential breakfast reasonable price . would definately stay ! 
 Jul 27 2009 	 Great Hotel great staff great room ! 	 hotel meet need . staff extremely helpful nice . room quite large . neighborhood fine . subway entrance close . breakfast room small , eat room . juice machine break . extremely impressed hotel would definitely stay . 
 Jul 25 2009 	 clean convenient 	 New York City 4 day July 4th weekend . son ( 8 year ) want within block Empire State Building . could see window make weekend . walk everywhere hotel minimal complaint 6 8 year old . Times Square bit hike do - able . park ( aquapad ) block away kid play enjoy cup coffee . the staff friendly helpful . room clean spacious . bed comfortable . continental breakfast nice start day offer something we . toast bagel orange juice kids coffee muffin we . also small selection fruit . take room eat . air conditioning efficient appreciate hot . would like small refrigerator room . hotel basic , frill definitely comfortable reasonable . immediate neighbourhood pretty definitely safe interesting . overall , nice , quiet , basic hotel . complaint ! ! ! 
 Jul 23 2009 	 Broadway Plaza Hotel 	 good small inexpensive hotel , near everything easy access subway . 
 Jul 21 2009 	 Great Hotel 	 location great . room HUGE ! bathroom HUGE ! stay N.Y. pay money room half size . could hear noise street . good view Empire State Building . staff helpful courteous . doormen Anthony Tony also friendly helpful . breakfast area small warm . take breakfast room comfortable control tv . the area around hotel look little sketchy night , sometimes roll 3 am feel perfectly safe . pizza downstairs really good . overall , would highly recommend Broadway Plaza Hotel . 
 may 31 2009 	 would definitely recommend 	 hotel overall good choice . block away subway good place eat next door great / cheap breakfast ( assume food ) . far neighborhood , people outside look little shady , honestly , 's new york day try sell stuff , never feel unsafe . lobby really small sometimes elevator long wait , care ? room huge perfect . ' m college student fit budget pretty well . stressful part experience pull hotel , drop luggage try figure check , pull car way back around block parking garage , crazy busy street . parking deal great not realize get park car can not access day schedule pick . well though , be cheap . overall , think hotel great ! 
 Apr 29 2009 	 staff make trip we . 	 locate commercial area within easy walk distance thing . large room - one 4 adult ensuite . breakfast eat room din room small negative . staff absolutely brilliant , efficient knowledgable . get know door man , Tony Anthony - guy need pay rise ! overall cheap comfortable - good value money . 
 Apr 28 2009 	 good clean hotel good location 	 room spacious , clean nice . location great staff friendly helpful . breakfast ok , bagel pastry , OJ , coffee tea 's really need . breakfast room small could bring breakfast room . bad thing 's restaurant close walk 10 - 15 min find good one . 
 Apr 24 2009 	 say Manhattan room not good ? 	 wide room , view Empire building ( near ) excellent service . many choice breakfast not eat anything well toast bread roll breakfast . suggest reserve Internet , consider be go write evaluation later pay special attention good room ( think ) ! 
 Apr 19 2009 	 ok 	 hotel OK . website get impression 's quite classy . be actually really dingy inside look like old man 's batchelor pad . location make easy get part city though . not comment value ' ve never New York not know 's good could expect ! definitetly well comfort Inn road cheap . 
 Apr 8 2009 	 frill hotel 	 hotel pokey entrance inside seem ok . room locate 10th floor mean could get use one 2 elevator , 2 occasion wait elevator 10 min ! ! . surround area seem dominate perfume wig store lot empty board store around hotel . not feel unsafe walk around hotel area also do not feel completely ease . short walk take underground buy 7 day pass , excellent value.the free breakfast okay start day would not depend , 3 table small pokey kitchen , 1 grill machine bagels/ toast etc often fight guest use . 3rd day decide eat breakfast.one doorman try rip we broadway ticket , repeatedly tell we show would sell could get we ticket , quote we $ 480 2 ticket show , decline go TKS booth times square get 2 ticket show night $ 84 , massive saving compare & quot ; contact & quot ; .room service contract local fast food outlet , call store would deliver , wife unwell one evening could not leave hotel call number tell busy delivery could take 1 1/2 hrs , promptly put phone . 
 Mar 26 2009 	 Great Place stay 	 room spacious clean . staff friendly . doorman exceptionally helpful give we direction . motel centrally locate Broadway spend one day Time Square one day China Town , Little Italy , etc . lot see lot 3 day Broadway Plaza great place stay . 
 Mar 13 2009 	 need NY hotel 	 stay Broadway Plaza Hotel 6 night first visit ny . excellent value money , room good size 6th floor view Empire State Building . breakfast good bonus we , although get busy time . room clean maid service everyday lot hot water . find hotel great location Times Sq , Macys , Madison Sq Garden , Empire State subway . area directly around hotel lot wholesale shop time number people hang around never feel unsafe . would definitely use hotel . buy bus tour ticket ( $ 80 ) valid 4 day include Statue Liberty ferry crossing , Empire State Building access museum access plus Uptown , Downtown , Brooklyn Night bus tour . find bus tour really useful orientate first day guide informative . would recommend Hill Country bar restuarant next street ( 30 West 26th Street ) , particularly like meat ! Texas BBQ get beef brisket , beer chicken , mac cheese chilli plus load often live music . 
 Mar 10 2009 	 not set expectation high will fine 	 friendly staff doorman , room adequate price , nothing . Avoid & quot ; free & quot ; breakfast -- coffee disgusting fighting cheapskate choose stay space toaster lone unbruised banana . will not feel good . overall , be cheap hotel NYC be get pay . 
 Mar 8 2009 	 Nice could well 	 mum arrive NY , wait shuttle hotel , drop everyone else , finally get hotel . little entrance , nothing fancy . staff friendly try hard accomadate we . we book room 5th floor , double room good view Empire State Building , view . upgrade big room due noisy neighbour sound lift free charge . new room nice , good view nice neighbour ! area nice , bit intimidating . overall , nice little hotel class . 
 Feb 18 2009 	 Lovely Place stay 	 room great big . bed nice . room 201 safe , iron board iron , hair driyer . view broadway ave . yes walk little do not like walk new york city . concierge friendly cleaning staff good job . love breackfast coffee great , even newspaper free . tv program littly tricky first get use , good channel . recommend hotel enyone , great place stay . 
 Feb 17 2009 	 good value price 	 stay Broadway Plaza long weekend early month . location warehouse / wholesale , not feel unsafe , 5 6 block south Herald Square block north Chelsea . subway ( R / W ) less block away . staff attentive helpful , room decent size clean . bed bit lumpy , comfortable . Skip & quot ; free continental breakfast & quot ; walk one diner Chelsea . would stay ? probably . 's hotel romantic , not want take subway get anyplace people uncomfortable rather deserted section city dark , be look clean relatively comfortable room great price NYC , Broadway Plaza can not beat . 
 Feb 8 2009 	 New Favorite place stay NYC 	 Broadway Plaza Hotel great . be always risk book hotel NYC , never know be go get . well , must say pleased . stay 2 night . first night book Jr. Suite please . lot room huge bathroom , fridge ( bathroom ) sit area . second standard king bed room . , nice clean room space move around . bed comfy , free breakfast adequate staff incredibly pleasant helpful . everyone doorman front desk staff housekeep friendly , helpful chatty . negative girl room next we night 2 loud . sure minimal room soundproof inconsiderate . either way , hotel staff cooperative helpful quieting . would hesitate stay . 
 Feb 6 2009 	 decent place stay 	 physical location not well - 's surround wig shop hair extension palace . day , several people pass way subway make we feel little anxious . one point , walk pretty intense argument . the hotel fine . arrive several hour check - in store bag extra cost . nwrq line one block away , convenient . our room two twin bed comfortable . three we total room get slightly crowd time , really can not complain . good part probably large , nice bathroom . as other mention , continental breakfast 4th floor small room . every time visit , ton people stand around . rather fight crowd , take breakfast back room . serve several type donut , bagel , fruit , well juice coffee . the doorman extremely helpful stay , patiently answer many question give recommendation ask . 
 Feb 3 2009 	 cheap frill hotel . Doormen liar ! 	 pay € 360 double 4night , excellent NYC . mention previous reviewer immediate area little dodgy , although one bother we . good walk 5th Ave come+go hotel , surrounding pleasant 5th Ave Broadway . walk distance almost everything . 20/25mins walk Times Square , 10min Macys & amp ; Empire St Building - ( do not spend extra $ 15 go 102nd floor worth ! view alot well 86th floor ) , 2mins Flat Iron building see hotel front door ( hop on / hop bus stop handy want get lift back hotel ) . 28th st subway 1min away . bus depot Jersey gardens 15min walk ( $ 10 return ticket JG ) taxi flat rate JFK $ 45 + $ 5 toll . receptionist advise would well let book we car JFK . decline know flat rate . Anthony ( doorman ) advise taxi wold rip we put we metor . leave another doorman approach we tell we , whoever tell flat rate JFK & quot ; tell wrong & quot ; car would & quot ; & quot ; cost $ 60 . literally leave case right take car . end cost we $ 72 ! ! ! pay remainder credit card . believe car cheap liar ! ! real let hotel . they get commission hire firm . flat rate $ 45 JFK anywhere Manhattan . JFK 2hrs flight leave need early . the room fine . clean important thing we . good view Empire building room . nice diner breakfast call naturally tasty corner 27th 5th Ave . good restaurant bar call Houston 's 27th 3rd 4th Ave 5mins walk hotel . dinner excellent ! overall get pay hotel . spend little time hotel fact fancy romantic not bother we much . budget bad , next time will probably stay New Yorker , look really cool well locate everything . New York amazing place sure amazing trip ever stay ! 
 Jan 26 2009 	 terrible 	 room incredibly dirty upon check . hotel staff & quot ; & quot ; .would stay . 
 Jan 25 2009 	 Plaza plus 	 find hotel tripadvisor live billing . Taxi airport charge toll top fix fee ( much change ready ) . not know hotel find via junction Broadway 27th St . staff friendly helpful upgrading us arrival corner room view Empire State Building . room large expect , well decorate ( except wardrobe three piece white conti board rail inside safe top ) ( see pic ) bathroom although expensive fixture fitting clean functional . queen bed comfortable well dressed . ( see pic ) tv choice free air News free hard disc film choice . take breakfast back room tray . consist bagel , doughnut fruit . not great coffee not taste . orange juice option much well although available day . find hotel good value less busy slightly noisy location would stay . communal area not spacious clean tidy . weather overcast weekend spoil view ' til Monday . store bag time late flight . toilet breakfast room available day . street side mainly discount / wholesale clothing , never feel unsafe . walk use underground . 
 Jan 22 2009 	 ' ok ' 	 boyfriend stay broadway plaza 3 night jan 09 ....... arrive hotel seem clean small , check problem.our room small clean keep well throughout stay , room 203 second floor ..... however experience problem , noise problem outside local vocal outside early hour tube constant source noise ....... also little visitor ceiling , mouse run around scratch hour ! ! ! ! ! ! inform hotel staff several occassion didi not seem interested care issue ..... hotel location ok , not know way around would well stay close time square tourist spot . surround area slightly intimidating.overall hotel small clean friendly helpful doorstaff.cheap cheerful .................... em dave , durham uk 
 Jan 14 2009 	 great location price 	 book junior suite . huge room high ceiling alot space . reasonable price make sure check hotelwebsite click special make sure get low rate . pay average $ 140 night room 2 quen size bed sofa bed huge bathroom quite reasonable nyc . Staff isvery nice location good . neighborhood might seem little sketchy nobody bother we come back room 11:30 pm night party 2 woman 12 year old girl feel completely safe . definitely would stay . one thing drive ourselvesand parking easy convenient willing hold luggage hotel checkout ready top pick staff right load you . GREAT ! ! 
 Jan 13 2009 	 nice hotel spacious room - concierge liar 	 Basically hotel good . room extremely spacious , clean , even heating work perfectly ! Breakfast also include rate . but upset concierge . tell we would well organize limo get JFK airport . taxi would extremely expensive since busy get time day . know always flat rate Manhattan JFK . mention tell lucky last time would not normal case . liar ! read information every taxi . even ask taxi driver confirm know already . expect get correct fair information concierge . limo hotel get provision taxi ... experience give bad picture hotel would reason go back . 
 Jan 7 2009 	 Great Hotel Great Value ! 	 stay duration visit New York City . hotel great service , large room , especially hear expect New York City ! pleased , great view Empire State Building . the area bad , feel comfortable walk night child . know bit worried reading review pleasantly surprise everything . include continental breakfast nice , work perfect get early family one leave wait other . nice bonus NY ! would definitely stay ! 
 Dec 31 2008 	 surprisingly good 	 travel New York Christmas find hotel review tripadvisor . would agree reviewer say ; be luxurious , clean , basic amenity , centrally locate major site . arrive NY morning , check - in , visit museum first thing . arrive hotel 2:30 . check - in 3 , travel extensively never problem check close time . shocked tell we room ready . attendant front desk offer waiting area 4th floor tea coffee . still find surprising ready . when get check - in trouble get room , 13th floor . ask one staff , discover room room 13th floor elevator go high service elevator ! little odd . storage closet right next room , could hear staff go supply talk amongst themselves . as another reviewer mention , light florescent ceiling light ( like office ) . floor tile , carpet ! thing make though absolutely fantastic view city . perfect view Empire State Building . snow well watch cloud snow whirl around building def . one memorable aspect trip . there good spread continental breakfast . would advise stop early . open 7 . go 7:20 room already cram people . Coffee , tea , OJ , cranberry juice , fruit , muffin , pastry , bagel ( toaster ) . grab plate food take room . if budget , would recommend hotel . 
 Dec 25 2008 	 Excellent Bargain 	 be look clean , boutique hotel good service ( desk , housekeeping , doorman ... ) hotel certainly worth price . expect frill glamour , clean , recently renovate , close lot attraction . 8 block Times Square , several subway station , 2 block away . bed super comfortable , linen soft clean , plenty pillow , clean bathroom . furniture fixture new modern ( soiled linen , carpet , chair covering ) fact , everything spotless . of course , go NYC depend be look hotel . entrance nothing door awning , doorman offer call taxi , ( obviously ) open door . also , serious security checking room key hour . lobby small ; see picture website really . ( much time really spend lobby ? ) someone comment & quot ; slow lift , & quot ; not notice problem . complain something ( really look hard ) lighting room odd . well could office building transform hotel . flourescent light doorway rest room light lamp . seem take lighting lamp get good light entire room , not problem , worth comment . really good bargain . be look Park Avenue glamour , stay Park Avenue . otherwise , place certainly worth money , probably comfortable actually pay . 
 Dec 11 2008 	 right heart everything ! 	 okay third time ' ve stay hotel seem get well . check hassle staff help we name local eatery bus reservation Woodbury Common . evening conceirge ( Tony ) HOT ! 
 Dec 8 2008 	 overall pretty good ... 	 stay Broadway Plaza 1 - 9 Nov. 2007 parent sister . two standard room , queen sized bed , think 7th floor . parent room corner room big good size clean . room front hotel overlook street not overly noisy . location not look much first arrive 10min walk time square walk back evening without problem . reviewer say free breckfast not great din next building breckfast / pizza handyoverall want / need first timer New York would not hesitate recommend / return 
 Nov 30 2008 	 good quality reasonable price 	 group 10 adult look comfortable accomodation reasonable price , follow Tripadvisor report decide hotel . totally satisfied three junior suite room , clean , large well furnished . bathroom large well . confirm guest ' opinion breakfast room small relate capacity 68 room , accomodate four small table obviously always crowded . good solution bring food , available large quantity anytime 7 10 a.m. , room . hotel offer include bagel , muffin , pastry , coffee , tee , juice , fruit , butter jam . within 100 meter hotel buy complementary food like yogurt cereal fruit . not people work front desk smile friendly , however anytime ready help . I would like mention Mr. Terry , really perfect , patient , meet specific need like good friend . location corner Broadway 27th good subway yellow line ( N , R , W ) one block 28th . Macy 's , Empire State Building Times Square within 15 minute walk . area safe quite work hour . 
 Nov 22 2008 	 clean quite comfortable 	 clean , quite , large room , comfortable bed , close 28th st subway , ok breakfast , helpful staff - con free internet 
 Nov 19 2008 	 Affordable Semi - Luxury Hotel NYC 	 take recommendation fellow trip advisor traveler book hotel 1 night business stay Nov 2008 . disappointed . excellent price room quality amenity . room clean room large size NYC property . hotel offer decent complimentary continental breakfast , wi - fi / internet access additional $ 10 / day . entrance hotel narrow hallway front desk , counter space bathroom limit , , room clean , good size , bed excellent . staff also helpful . the hotel locate 1 block away 28th street WR train station , locate close Fashion Institute NY . overall , decent quality boutique hotel $ 300 / night . 
 Nov 18 2008 	 Bad Good ! 	 go NYC stay Central Park day book & quot ; Broadway Plaza & quot ; 2 night end week . arrive fairly impressed though mean overwhelmed ! entrance small re - assuring see well present friendly door security chap welcoming . staff desk fairly friendly . check go Room 802 , upon enter partner impress . room look clean tidy well present , large old style tv ( suprisingly Signal , unusual many Hotels NYC ) room corner room queen size room decent size tidy bathroom . also drink machine Sweets , Crisps dispenser floor . good far ! venture outside night go Maddison Square Garden see AC / DC play little shocked first , 500 metre strectch directly outside hotel slightly dodgy ! many group hang around well much hanging ! girlfriend little worried , honest harrass talk not worry , also little bother ! bad point - ignore breakfast 4th floor ! tiny room expect que , though hell NYC go elsewhere enjoy delight breakfast . EXTREMELY BAD POINT - night check hotel - feel happy enough Plaza , enter JFK Airport ready board plane partner complain bite arm , hey ' m tell big bite , think nothing fly home Newcastle via Amsterdam , start itch back leg , Schippal Airport go Gents find god know many bite back , pretty horrible . partner pretty healthy 33 27 Year old never anything like unfortunalty know come previous two night stay Plaza ! put damper thing - well be ' m say , be 2 day return write must stop back still itch ! ! ! ! 
 Nov 15 2008 	 Best Okay Base . 	 good area room bit basic okay couple night . Hotel Manhattan area bit run down . staff friendly room basic , large clean . only stay two night fly Bermuda . 
 Nov 11 2008 	 Great Hotel Price 	 hotel well staff great . room comfortable well clean roomy . 1 block subway . NYC day fact many review state neighborhood much desire night help make sure hotel early first night . bad . wholesale district close 8 pm quiet area feel threaten . price , location cleanliness hotel , will stay . definately recommend one ! ! 
 Nov 7 2008 	 excellent choice NY City tourist 	 stay Broadway Plaza 04 part honeymoon recently return 6 night run marathon Nov 08 . hotel perfect want heart Manhattan . 's midtown , close lot attraction subway next block along . facade quite small unassuming , even looby / reception small staff exactly would want ; polite , friendly helpful . room 10th floor , spacious , huge bed large bathroom bath shower . quiet hotel , never see child whilst complimentary continental breakfast adequate ( bagel cream cheese & amp ; jam , danish patrie , muffin , fresh fruit , juice tea & amp ; coffee ) coffee & amp ; tea available 24 hrs . definitely recommend hotel , everything would want visit city . 
 Oct 24 2008 	 Great Hotel ! Great Price ! 	 friend meet NYC business , also fun . two lady , never NYC , safety concern . arrive night . check - in quick convenient , really pleased room . spacious , up - to - date clean , great view Empire State Building . already get late , area pretty dark , decide stay order room service , deliver nearby restaurant . food arrive quickly , good reasonable price . could hear elevator room , sound not bothersome , not interrupt sleep . one thing make note -- pillow narrow almost round , nearly like bolster . think would uncomfortable , sleep great every night . doorman perfect gentleman , always helpful . need cab , will get one . order room service , bring . ' ve read complaint breakfast room , please everything . ( great bagel ! ) plan take food / coffee / tea back room due space limitation . walk everywhere -- location hotel convenient shopping , restaurant , show , bank park . everyone else say , lot guy stand around sidewalk outside , not problem . go night . walk back hotel late night , feel safe . would stay Broadway Plaza flash . 
 Oct 10 2008 	 great stay 	 return week stay cousin friend read review do not know expect . in opinion hotel lovely feel quite safe area . room great view esb.the staff lovely especially young doorman tony help request matter unusual . the room clean everyday comfortable . iwould recommend hotel 
 Oct 3 2008 	 large comfortable room 	 room reason stay . room large - much large expect - big tv , big desk , air con fairly quiet . bed comfortable bathroom large hot , high pressure shower . top mark giving ask , i.e . room top floor view ( unimpeded ) Empire State Building . go top floor room be light sleeper - 's little noise . staff professional efficient . service personal , would not expect kind hotel . area pretty pleasant - would not go nice dinner stroll - be minute metro not matter . be perfectly safe - reason feel bit dodgy shop seem sell cheap clothe second hand watch offer unlock SIM card . ( be London , think Tottenham Court Road - bit dump , basically safe ) . big slap wrist hotel breakfast . & quot ; breakfast room & quot ; tiny - half size bedroom nearly adequate hotel size . natural light dimly light basically feel horrible dingy . air conditioning stiflingly hot . muffin doughnut actually melt - look disgusting . needless say , not eat anything . I make complaint hotel management response email ask feedback . credit , manager leave message voicemail apology . think sound sincere . say breakfast room large step use 's hotel accommodate . also say air condition - maybe break go . however , not think make point breakfast complimentary . hotel breakfast , be excuse bad point not want eat even stay room second long . room size , say tray provide room guest bring breakfast back room - 's fair enough , suppose . breakfast aside , though , good hotel use sightseeing base . , suppose , care hotel 's breakfast many eat option street New York .... ? seem like quality let - down , . 
 Sep 12 2008 	 Little Gem ! ! ! 	 read review go know expect . area not good ( be amazing change couple block ! ) other say , no - one bother ( two lone female ) . subway ( also non - threatening ) block away Times Sq easy walk . View Empire State Building bedroom ( window could clean though ! ) room not huge bathroom ! shower bath great lot hot water . load towel . bed - someone say - really comfortable crisp clean sheet . Aircon good . tv enough free channel ! safe iron / iron board . breakfast room bit crowded morning go time - really bagel Grand Central Station must anyway ! lucky 4th floor could pop along get coffee / tea time - kettle room would convenient . staff ( particularly one concierge whose name unfortunately not get ) friendly helpful . leave luggage last morning ( take lock away safely , leave lie around reception ) come back get shuttle airport - remember ask key restroom ( ) 3rd floor ! would definitely go back ! great value money . 
 Sep 3 2008 	 would definately go back 	 ' take age write review boyfriend actually stay Broadway Plaza last year end April begin May ( 2007 ) . initially stay 7 night travel Boston New Hampshire come back New York 2 night . stay quite night New York find chain hotel crazy expensive . hour trawling internet , look something half decent ' break bank find Broadway Plaza . remember right $ 1500 7night , book hotel direct – time £ 750 – let remind 7 night hotel block empire state building Macys , ' double hotel times square . ' notice review mention street seller admit taxi first pull ' look like hotel good area Broadway . say boyfriend ' bother vendor day , night go . on stay room generously size – 7 night room two double bed . hotel clean , staff great , breakfast nothing shout home ' New York go explore one million diner . 
 Jul 16 2008 	 great staff 	 live street hotel couple year ago , prepare trash hustle wholesale district . yes , not nice area NYC , get harm . weekend , shop board 's many people around . for hotel , staff great . problem theatre ticket , although could not help , concierge try . always willing hail us cab . hold bag we checked check . great . the room really small , fantastic view empire state building Broadway . stay one night barely room , not mind . bathroom good size , although shower stall bath . not take bath hotel room , problem . hotel offer free continental breakfast , not take advantage , free coffee tea 24/7 , really nice NY hotel . rate comperable well place city . if need stay area ago , would absolutely stay hotel . will probably stay elsewhere next time convience near Penn Station Times Square . 
 Jul 15 2008 	 Best Little Hotel ...... 	 get back spend 3 night Plaza ... read review little worried , find nothing worry .... hotel wonderful , room large . 4 we do not feel crowded . pay even room somewhere else never room large . bathroom huge . doorman concriege Anthony awesome , people front desk . first day want go Mars 2112 , could find phone book , Anthony tell we worry would take care , sure , leave we little note tape luggae . manager great .. give we great idea go find good hotdog . hotel centrally locate everything need see . review complain location , four woman never feel unsafe . yes people approach ask want buy something , say thank leave we alone . can not say enough good thing hotel staff could write forever . end definatley say come New York Broadway Plaza stay ......... 
 Jun 26 2008 	 Super Hotel 	 stay January 2008 hotel excellent though bad breakfast little eat space . it situate wholesale area mean lot streetseller morning evening , harm . wholesales nearby buy cheap stuff from . the Room nice toilet bathtub every room . icemachine 7th remember . -- Rasmus 
 Jun 22 2008 	 Loved Broadway 	 return NYC 4 night stay @ Broadway Plaza terrific ! ! well expect . book reservation via travelocity read review TripAdvisor ; mixed feeling , expect well . anyone reservation whether stay hotel ; put aside , disappointed . 3 friend please room size arrangement . room spacious bed pillow - top mattress sleep like dream . hotel NYC allow 4 adult room without additional charge , Broadway charge anything extra 3rd & amp ; 4th person room . bathroom nice large . not view like folk , planning see everything hotel window anyway ! ! hotel staff great help we direction , suggestion , request . hotel clean especially quiet . change one thing hotel , would 's physical location . actually central location near subway , ' garment district ' clean area town . feel small sacrifice wonderful amenity receive would hesitate stay . 
