recommend 	 Hotel really suck ... outside look nice close Times Square , however , hotel deserve 4 star . its old Hotel Hotel Lobby nice , room really bad small .... mother split queen size bed , say do not double bed even King bed receive complimentary upgrade Queen Size Bed anyways .... usually give full size ... even 2 people ... find Kingsize Beds give we ... anyways , room really small dark ... room do not window etc ... get nice room , might ok ... standard Hotel 4 star ! ! 
 Oct 25 2009 	 perfection PERSONIFIED ! ! 	 friend stay 4 night short trip New York . honestly say , hotel clean , bed pillow amazing , never sleep comfortable bed anywhere else . room large , offer require would rather small room quiet , clean well equipt large room poorly decorate adequate ! ! thing would suggest hotel would nice small fridge mini bar room , hotel provide , courtesy , bottled water , mean keep cold weather hot climate ! ! would also nice tea / coffee making facititie set start day . safe room charge , real bonus british visitor normally charge addiional feature . eat hotel comment food , however , drink one evening find little expensive , order 1 x schnapps lemonade 1 x glass wine come $ 28 ! ! two drink bar would $ 11 , worth shop around bar good price . also meet Matilda cat , gorgeous , although mood guest meet . location hotel fantastic , close everything need , use taxi 's last day leg could physically walk .... hotel well deserve 4 * rating staff attentive polite - shall definiately return without hesitation ! ! ! 
 Oct 24 2009 	 Great Place 	 2nd trip hotel . be NJ use Broadway night package include parking breakfast . great value . last time , book suite lovely . ' ve already book suite Christmas planning stay February 2010 concert city . even take daughter day trip NYC snack bar . also bring friend drink day shopping . relax . wonderful oasis midtown . staff great ! ! ! ! 
 Oct 17 2009 	 price far well quality facility service NY ! 	 1 . $ 400 per night2 . small room bath3 . thick gray dust along edge carpet , corner anywhere would much trouble clean4 . heat not work right . call 3 time resolve , engineering never show . go front desk talk manager ( seem care less ) , still show . tell concierge way biz dinner correct return , want another room5 . return . heat way high way control tired complaining6 . room service food average , ask hamburger medium , come close raw . got part order wrong well automatic delivery fee 18 % gratuity ( guideline say 15 % auto discretion tipper ) - ! old run hotel ? show ! 
 Oct 14 2009 	 Ear plug need 	 stay 5 day part trip around US honeymoon . hotel walk distance times square , broadway close subway . room tiny believe standard New York . problem us noisey room , impossible sleep chill noise road . 7th floor front hotel , loud noise road , people walk past , build work convince window open ! noise not seem stop even middle evening . thing busy day / evening New York want come back . relax sleep - find impossible therefore could recommend hotel . 
 Oct 14 2009 	 bad hotel experience life . 	 1 . not 4 * hotel room English speak world double bed . 2 . bathroom disgusting - wallpaper peeling , mold walls.3 . room exceptionally hot a / c would cool room . September day . 4 . elevator small , slow , underserve hotel . take stair times.5 . factoring price , star level , cleanliness , room setup , far bad hotel stay ever . 
 Oct 12 2009 	 much value 	 awful elevator , often one little elevator service . disintereste staff , doorman sit watch we struggle door . do not really demand big hotel room NYC , & quot ; classic room & quot ; & gt ; $ 300 per night literally small suitcase open . bathtub , shower ( clean appeal one ) dissappointing . alarm clock work could never get operator pick wake call ( get record saying & quot ; message receive & quot ; ? ? ? ? ) incorrect charge bill ( telephone call never make ) desk clerk say & quot ; forget charge & quot ; ask statement show zero balance desk clerk say & quot ; can not give receipt people book Travelocity ... & quot ; ' ve never hear ... , yes , hotel story history charming lobby end , dump . 
 oct 8 2009 	 Retro boutique hotel 	 husband 12th month old baby stay one night Algonquin Hotel 2 room suite . room small even though suite . staff nice polite . Breakfast offer part Expedia package ( include , tea / coffee , fruit , juice pastry ) .The hotel small charm boutique hotel retro 1930 's . bathroom style old antique furniture . & quot ; Bath Body Works & quot ; brand bathroom miniature nice well . located central area mix touristic business district ( 6th avenue close time square ) clientele mostly business ( nice restaurant lobby , even small ) foreigner touristis thinking & quot ; broadway getway & quot ; .I would say problem hotel elevator . small time one work . hour 7 am 9 am could take 20 minute wait get one . staff use stair unless cart ( enter space ) . people complain cleaniness place , think clean , be timing , clearly see cleaning crew fast would want , can not get elevator ! ! ! would take stair baby stroller diaperbag feel like clinmbe 8 floor reach room 12 ( recall right ) . think also luggage ! ! overall one night fine , issue elevator would unbearable stay long . would still recommend hotel friend ( place nice ) tell ask 2nd 3rd floor max . luggage valet day , climb stairs child ! . 
 Oct 8 2009 	 Time machine room spare 	 Algonquin Hotel beautiful old hotel one good location city . take time see movie Mrs. Parker 's Vicious Circle arrive , new hotel 's history . Algonquin elegant live entertainment least evening stay . want shiney new , . one bedroom suite husband room kid sleep sofa bed living room . addition privacy , give we room hotel stay trip . although & quot ; kids & quot ; hotel , staff charming child ( 9 11 ) . even go hunt hotel cat , Matilda . give constructive criticism , elevator small slow - really not important . really enjoy stay ! 
 Oct 7 2009 	 Quiet well locate ideal senior 	 Hotel ideally locate , 2 block Times Square close everything . check - in easy , get room 603 . enter room find really small ( max . 12 x 12 ) . king size bed could fit room . end bed , place dresser . even though room small , not bother , since travel alone . , fine . room well appoint , nothing miss smell good . appreciate free wireless internet access complimentary bottled water ( supply day ) . would say room size good single person couple , family . bed confortable , pillow sheet . nothing complain . overall , room clean . the bathroom small , shower rust stain around outdate ( tile floor look old use ) . clean however . feel safe hotel hear noise guest street whatsoever . curtain filter light well . ventilation make noise , turn , not bother much . the lobby little disappointing . 33 year old woman , feel place not . lot senior , elder , young people . furniture antique style Lobby , dark old . like , fine , really thing . even think know expect give prior research hotel , not feel like cool place hang . however like fact free apple reception desk . nice touch . everyone work hotel kind helpful . waiter Blue Bar especially nice seem enjoy job . , bar frequent young professional , old client . not regret choice , good time Algonquin ! 
 Oct 7 2009 	 really want 4 star experience place find ! 	 book well advance Expedia king deluxeroom anniversary . everybody situation wish wehad nice experience . care much price rooma long figure hotel stand reputation . Wewere assign small room reception staff even havethe courtesy inform we hand reserve room notavailable . inquired say provide arefund offer 2 drink ( never provide ) reminderthat understand customer ... hotel nice , well keep , maybe quite 4 star ( linen ordinary , room small withfurniture so - so ) service provide staff worthyof by - the - highway 2 star motel . 
 Oct 7 2009 	 Beautiful Hotel 	 hotel stunning inside outside . the staff friendly helpful . the room lovely , clean comfy . the location perfect far Times Square , lovely park ' Bryant Park' . I love whole New York expercience anything like 
 Oct 7 2009 	 wonderful old hotel could use diligent cleaning crew 	 Algonquin take back New York use mega - hotel come town . 's small - around 150 room - luxury hotel , rich history , absolutely charm . public room open lobby ( close ) still clubby feel - comfortable , intimate - course restaurant feature famous round table various literary light gather decade ago . food pricey , excellent . include continental breakfast generous tasty . great service around . our room small ( expect ) comfortable well - appoint . bathroom , tub , step cubby . not really problem . disappointing poorly clean . arrive late first two night not notice next morning . one night not spend much time room anyhow , decide make issue it . I would still definitely recommend hotel . feel sure kind service offer , have complain , would respond promptly . shop around rate . get great deal Expedia . business traveler , aware Business Center consist one computer one printer 's poorly maintain . connect internet room though . 
 oct 1 2009 	 Quiet Comfortable Beds -- Slept well . Dorothy Parker Luxury Suite ! 	 price , MANHATTAN , LOCATION , nice room , extremely comfortable bed . also quiet , everyone sleep well . front desk manager duty arrive could courteous . hotel cat , mascot , sweet . also free apple bowl lobby desk -- big apple ? thing appreciate cold reception show room key evil eye three we return Broadway play , evening afterwards restaurant ... late night , party dress high heel -- lawyer teenager teenager 's friend . not greet like guest upon entry ! hotel not particularly set restaurant , although one . nice Wellington . not far Radio City Music Hall Times Square -- cost $ 5 - 8 cab play , etc . tip , give 10 spot cabby . cost $ 35 LaGuardia hotel cab . hotel marble step , walk exercise instead elevator double french vertical room dimension . oh , go daughter ' Sweet 16 . hotel not make fuss guest type occasion .... well , least non - celeb ! funny thing not change Bellman look disappointed receive $ 20 tip take 3 carry - ons . ... mini apple ... $ 1- $ 5 would get , zip ! be like wooden nickel ! 
 Sep 28 2009 	 pleasant stay clean place need update . 	 stay September room small , restroom old place general need update . night could hear everything outside . would recommend place . one good thing would location . 
 Sep 27 2009 	 great location noisy air con ! 	 nice welcome ny , porter etc friendly check - in easy . room TINY , fine - n fridge etc ok we . bed nice comfy , air con , noisy . first night not matter much exhausted , keep we awake bit second night . hotel lot charm location great , facility quite . 
 Sep 26 2009 	 breakfast nto value money 	 take husband breakfast birthday . charge food highly average , nothing special . service non - existent . initial order waiter concerned chat another couple another table . never get second cup coffee . mention Host sit we way smile really not seem concerned experience . would recommend breakfast hotel would never consider stay hotel base experience . 
 Sep 25 2009 	 cute hotel - buy tiny 	 Great Hotel , fab location , small room . mindyou everything , room move feel little claustrophobic . Windows would not open either air con noisy . clean bed change daily luxury . busy street , noisey night , tired sight seeing do not really matter . breakfast nice expensive also wait 3/4 first day , do not return eat hotel . web site say lively bar , , generally old client , plus 65 , little old hubby . New York great adn hotel good short stay 
 Sep 12 2009 	 average bad nyc hotel 	 look old feel clean . room incredibly noisy . AC work properly . would stay 
 Sep 8 2009 	 excellent location clean great value . 	 first time NYC . love hotel . quaint , old fashioned historic . renovate past couple year look beautiful . room clean comfortable . location close many attraction . coffee shop , restaurant shop near . especially like Gregory 's Coffee shop right across street . would definetly stay . look deal travel site good price . oh yes , hotel cat name Matilda reside lobby . nice touch . 
 Sep 2 2009 	 Perfect location sight - see NYC 	 Room size fine 2 people . clean , although carpet look worn need replace . bathroom oddly shape small . tub extremely high annoyance anyone petite . people note , problem key card . one stop work rely . bed comfortable room overall . service inconsistent issue : day check hotel , lady front desk crack smile . proceed ask we stay night . surprise we book night package . tell need paper documentation . although " apologize " , absolutely sincerity tone . concierge door helpful , kind obviously appear enjoy interact people . staff latter part stay MUCH friendly beginning . horrible service encounter one head staff dining room . first morning go continental breakfast , gentleman come pour coffee rudely stop mid - way & amp ; shooed assume head dining staff . promptly tell we serve breakfast ' . bother check we , refill coffee etc . , ask would like upgrade different breakfast ( nominal charge ) . overall service dependent staff shift stay . understand everyone bad day , however surprise many staff . location perfect sight - see get around subway . great package stay good due convenience . notable items:1.the lobby wait area elevator small since 2 elevator , time need wait . 2 . verify package pay possible charge , include occupancy , informed package , first ever heard.3 . eat Red Flame Diner corner street . food horrible MAJOR tourist trap ( TT ) . 
 Sep 1 2009 	 ooze charm character 	 great hotel fantastic location . many place within walking distance , Times Square , Rockerfeller Centre . room size adequate fridge request also room . great flat screen tv , superbly comfy bed exquisite fluffy pillow . do not need silence sleep air con never bother , taxis NYFD truck go past , want silence do not go ny ! concierge staff always welcome helpful . never eat hotel can not comment , seem little pricey food cocktail ! red Flame diner next door excellent place grab bite , good VFM generous portion . would definately recommend Algonquin , check price comparison site real bargain find 4 * luxury ! stay ever return ny . 
 Aug 25 2009 	 great little hotel 	 stay hotel 2 night find everything excellent . room small , clean , well design . bed comfortable room quiet . the location central within walking distance Time Square , 5th ave , Central Park , Broadway . staff friendly helpful . concierge give useful suggestion diner night life . I would definitely return hotel charm , location , friendly staff . this enjoyable stay . 
 Aug 24 2009 	 excellent location 	 excellent location , find hotel expensive . ' ve major problem hotel however , room tiny could not turn a / c night even low set ridiculously loud . 
 Aug 22 2009 	 clean friendly perfect location 	 minute arrive 5 night stay Algonquin staff extremely helpful . hotel excellent location , minute Times square , 5th Ave , Rockerfella Centre . room good size , clean well air condition . room safe , flat screen tv cable extremely comfortable bed . Red Flame diner next door also excellent breakfast . would definitely return hotel . 
 Aug 16 2009 	 would stay 'd thing differently . 	 one comfortable bed ever sleep -- never want leave ! pleasant international staff accommodate much possible . food good . bar good -- though questionable cosmo one bartender . bar food expensive , be diner right next door 's decent reasonably price restaurant within walking distance . room service come surcharge addition build - in gratuity make one $ 17 martini actually $ 29 . hotel two block either Grand Central Station Broadway , make terrific location see theatre ( choose ) . hotel 's history rich well - indulge staff atmosphere cozy . issue meal ; advertise pepper ahi tuna mango chutney mango chutney really pineapple chutney . taste great ' m allergic fresh pineapple would not bitten know beneath ingredient . take finagle , manager finally get Benadryl near pharmacy . gave drink free meal . probably could talk grateful alive not think argue . one issue someone smoke non - smoking floor management could not clear ... would not . could not quite tell room smoke come not want go knock door . one night not permeate room , lovely . overall , fabulous stay -- pineapple incident . 
 Aug 14 2009 	 great hotel price 	 take mother NYC 70th birthday stay Algonquin love . price excellent , hotel incredibly charming , furnishing new clean . room small , yes , expect NYC ? two us fine . incredibly comfortable king size bed , desk , dresser , flat screen tv bay window . bathroom fine - tub european deep careful getting - buy like say mom 70 fine . location fantastic , service superb , complaint . cafe next door affordable breakfast can not beat . always greet feel welcome appreciate everyone lobby - 's warm environment . our room fridge coffee important ( really put stuff ) cafe close . price beat Algonquin . want pay large room additional amenity go right ahead , not pass Algonquin be look great , affordable stay 's convenient everything . will not believe well hotel maintain , love traditional charm , marble brass accent , well wonderful service . also free internet room ! 
 Aug 10 2009 	 well locate ... 	 day 1after fly West Coast check hotel , visit reception desk three time receive electronic card key work . two elevator fit maximum 3 people take 5 - 10 minute summon floor lengthy process . once finally able get work key multiple time consume trip reception , discover room large enough fit bed provide walkway around edge bed . ' NYC number time truly incredible . ask move large room ; possible next day . day 2i finally able move slightly large room member hotel staff arrive room personally let know . tell go reception get new key . pick bag move new room however , staff member say bag would move take care worry . I move new room wait hour bag . appear decide head next meeting without change shoe soak afternoon rainstorm . also call tv repair person new room ; fortunately service turn around quickly . I return hotel meet lobby bar , thought would pick ice cold water room . ice machine individual floor ’ call room service deliver ice way get ice . think since already lobby bar ice would much easy going room wait room service . ask waiter tell go room call room service wait . handful people bar waiter not help anyone , believe arrange fake candle go table . fortunately , find another waiter willing provide glass ice . I return new room ; time move new room 3 hour . still bag . speak reception tell bag move . clearly case point reception say idea bag be . Edwin front desk leave post look bag . able locate , old room , move . go way make sure finally bag . day 3after day meeting late dinner , return room find shirt leave bed long . call speak Nelson night manager explain likely wrap bed linen change unfortunately housekeep closed night . offer look lose & amp ; find would call back . receive call back night . the next morning call reception know nothing . speak housekeeping , also informed , could locate shirt . day 4upon check , ask miss shirt nothing . seem little concern , offer free breakfast incidentally room rate already come free breakfast . phone number take hear hotel since . 
 Aug 9 2009 	 Excellent Boutique Hotel 	 exceptionally well locate boutique hotel . never pay retail , always go skoosh easyclick travel get room 50 % . hotel match . pleasant lobby small well appoint room . comfortable hotel business , anot westin hilton character . 
 Aug 2 2009 	 simply Outstanding 	 lot choice lodge NYC please select Algonquin . stay 4 night serve nice peaceful home away home middle busy NYC . entire staff cordial , respectful helpful . stuffy one Matilda cat ... not cat ? ? facility well maintain , clean nostalgic . could believe quiet room . location can not beat safe go Broadway show . look forward return someday . 
 Aug 2 2009 	 homely hotel full literary ghost 	 small room adequate . wish fridge air con little quieter . a happy atmosphere , old fashioned / comfortable . mostly helpful . room safe stop work ask several time fix one come . 
 Aug 1 2009 	 great experience 	 wife visit NY celebrate birthday familiar city delight close Times Square Broadway . stay number old hotel familiar typical small room old plumb happy room . , indicate , small well set clean . staff friendly helpful ; follow doorman 's recommendation lunch spot premise great meal . thank Algonquin 
 Jul 31 2009 	 clean comfortable great location - a nice surprise NYC 	 frequent traveler New York , favorite always affordable search good deal right location come special price two room Algonquin . often stay either Royalton across street ( favorite hotel NYC ) Sofitel , another top - notch hotel block . never even enter Algonquin . get small room , nicely furnished , comfortable big bed , good decor pleasing color important , wonderful ( prefab plastic ) shower ! bathroom small uncomfortable . amenity good . slipper bathrobe minibar ; good service , laundry , good concierge . good housekeeping . nice lobby bar . pleasant surprise ! 
 Jul 30 2009 	 nice place 	 quirky place lot history . location great easy walk hear New York . lobby popular drink see load people meeting stay . room small everything need noisy curtain little keep light . aside , place nice . gym quite good wall paper something novelty . 
 Jul 29 2009 	 Clasic NYC small clean old fashion 	 resort experience seek , go elsewhere . want clean room , Manhattan & amp ; Hong Kong size ( tiny ) lovely lobby /bar 2 block form Grand Central & amp ; Times Square . like it . NYC hotel always small , sometimes small & quot ; normal & quot ; USA standard . old elevator , even mail drop , remember quaint mean old , fun interesitng , modern posh . I hotwire room , 4 start would agree . Maui , certainly Manhattan . would stay minute . 
 Jul 21 2009 	 go elsewhere 	 unfortunate stay Algonquin . expect luxury hotel , find anything luxurious . room tiny outdated . book room , ask whether come New York special occasion - wedding anniversary , said & quot ; yes . & quot ; shortly , receive email say would upgrade suite , arrive , suite available . robe promise . coffee facility room . give one small bottle water per day 2 people . room service cost $ 4 per person addition taxis , fee whatever food might actually order . food hotel horribly expensive , go morning coffee nearby Starbucks ( sell coffee lobby , additional $ 1 ) . first , feel uncomfortable bringing coffee morning realize lobby pack people thing ! bathroom clean enough take tub bath , would want take bath small tub ' ve ever see ! air conditioning break despite tell repair within 20 minute request , return room afternoon find temperature 80 degree . finally move 11th floor 4th floor room work a / c . request refrigerator wait 2 hour tell not available , one magically appear . lobby small nice , warn & quot ; special & quot ; cocktail cost $ 17 really special . surprising thing hotel refuse allow we stay room extra 30 minute check - out time , sit lobby wait time go airport . go back upstairs leave find room untouched housekeeping , problem allow we stay room additional 30 minute . charge $ 3 use hotel computer check flight home plus additional 50 cent per page print 2 boarding pass . basically , want luxury hotel expect pay . instead , get tiny , uncomfortable room feel like somebody 's hand pocket entire time . location good , especially go theater , hotel luxury hotel , expect nothing . hype hotel - hype . 's worth amount money see fluffy cat lie around expensive lobby . remember Dorothy Parker member famous round table lobby stay hotel visit lunch many , many year ago . , look something special , go elsewhere . will not go back . 
 Jul 14 2009 	 FAB HOTEL - GREAT LOCATION reception STAFF could FRIENDLIER 	 stay Algonquin 4 night , beautiful hotel , really charming . I find reception staff stand offish , seem reluctant want help coming go hotel , anyone smile . as bellboy good helpful always seem happy job . matilda cat , really live reputation fact friendly front desk staff ! ! review , room small comfotable clean , bed amazing sleep soundly everynight , due location hotel experience noise outside be not problem . food drink exoensive hotel , do not want good breakfast diner literally road . all great stay would go back location hotel fantastic fact close everywhere reason alone would recommend . ! ! ! one word warning , use hotel house computer reconfirm flight automatic 3 dollar charge 1 dollar charge every piece paper use ! ! ! woudl think guest let use least limited amount time free . 
 Jul 10 2009 	 good value midtown 	 perfectly - locate hotel enjoy Times Square , Rockefeller Center sight around midtown Manhattan , competitively price . ordinary guest room small awkward layout , front desk service awful , overall ambience lobby room great will not find convenient , livable hotel price . 
 Jul 8 2009 	 ` ` SUPERB '' HOTEL NEW YORK CITY .............. 	 daughter stay 3 night Algonquin Hotel , New York City . moment check ' til check , staff friendly helpful . would recommend Hotel everyone visit New York . would love return take significant - quaint romantic . appetizer drink Oak Room , everything wonderful . Sangria delicious ! room / bathroom , clean . one night Queen move King remainder stay . 
 Jul 8 2009 	 wonder sense old traditional style 	 although hotel small make charm character . room small comfotable fit everything would need . location amazing , really walk almost everywhere two block Time Square . the loung relaxed serve wide array cocktail . would highly recommend stay sunday local thespian come perform theme week , absolutely amazing .. well free show see New York ! .. thank everyone lovely stay . 
 Jul 7 2009 	 Try Priceline -- get great rate . 	 get award Algonquin Hotel Priceline . first Priceline experience . designate area city ( Midtown ? ) select 3 + star . bid $ 95 accept . , tax , will pay $ 119 hotel ! low price ' ve see travel search engine Algonquin . 
 Jul 1 2009 	 another great stay Algonquin 	 look comfortable hotel , Algonquin offer . heart Manhattan steep history , room service comfy bed experience . check slideshow historic hotel around world . 's fill interesting tale historic figure stay . http : //www.switchyardmedia.com / image / story / showcase / historic_hotels / slideshow448 - framed.html 
 Jun 27 2009 	 great hotel find NYC 	 great find reasonable price Priceline , convenient location walk distance 5th Ave , Times Square , Madison Square Garden , etc . room clean ok size city service friendly helpful . 
 Jun 16 2009 	 Luxury Good Price Great Location 	 place ... fame Algonquin Hotel Matilda Cat . hotel staff wonderful . cater every request . think booked site pay & quot ; full & quot ; price , get upgrade suite without even ask . one & quot ; splurge & quot ; trip . notice whilst check , customer mention discount site like Priceline Hotels.com . folk seem get low floor treatment . room quiet huge walk - in closet big LCD tv . bed super comforatble . dinner restaurant serve four course fixe prix theater menu 's good . big bonus , free WiFi / internet ( something not always get luxury hotel reason ) . 's Matilda Cat . run place . morning will top reception counter watch people check . Midday find reception counter sleep . afternoon , will find luggage cart near front door watch people come go & quot ; hold court . & quot ; life , pamper kitty city ! ! ! another big bonus , offer military discount cheap thier ( non - priceline type ) rate applicable available room . something not see much NYC . go luxurious time . 
 Jun 15 2009 	 Fab Hotel ! 	 recently stay hotel must say could fault . worried size room would delight find actually good size city hotel . room clean fresh nicely decorate . staff nice could helpful . location great far time square & amp ; broadway . choose hotel definiatly right decision would recommend price , book 1800hotels.ie . 
 Jun 12 2009 	 wonderful stay ! perfect location ! 	 not know begin . ok , will start arrival . moment approach door , promptly open we , love hotel . Peter , hotel manager ( maybe owner , not know ! ) welcome we , Matilda , famous cat . Peter mention birthday , even well ! lobby describe review , website depict . comfortable , elegant , plenty room either mingle guest , find quiet spot corner . one bedroom suite , number 309 , HUGE New York City standard . bedroom little small , bed heavenly , need much room bedroom giant living room ? ! always travel small fan , idea noisy outside night . sleep like baby , definitely choose hotel return New York . Blue Bar pretty , also pricey . not care , good time chatting bartender . wish could remember name , everyone hotel friendly accommodating ! 
 Jun 3 2009 	 Room View James Thurber Suite 	 Algonquin Hotel load tradition , one tradition cat lobby run place , practice date 1930 , hotel lore say actor John Barrymore suggest cat need theatrical name , ( hotel block away theatre district ) , name Hamlet , whenever hotel male , carry name ; female name , Matilda . & quot ; Matilda & quot ; currently prowl property beauty ... algonquin . resident New York City many year often visit lobby drink see someone perform showroom . live California recently choose stay Algonquin night . delightful . room comfortable employee eager please ... ' ask much hotel . enjoy ' charm ' landmark provenance ... sight Matilda lounge mini chaise , never fail amuse . 
