get 	 Excellant hotel every aspect , size room , spotless clean , modern , everything work ! Anna reception star girl nice chattyTry ninja restaurant hudson street will not disappoint try chicken wing Mudville 9 around corner . close subway load bar like Ward 111 great personal service guy . if go ny personal tour REAL NEW YORK TOURS must 
 Oct 15 2008 	 Location boutique charm perfection 	 Duane St hotel admirably site anyone whose work play low Manhattan . transport anywhere New York -- indeed , anywhere world -- straightforward hotel . almost subway line , save 7 , G , shuttle F / B , converge within block hotel . within minute ' walk major WTC PATH station quick trip EWR ( 48 min ) , train even quick trip JFK ( 41 min ) . Taxis cruise Church St day night -- even rain . Greenwich Village Downtown Brooklyn 10 minute away subway . tribeca Financial Dist location easy walk , even South St Seaport 15 minute foot . hotel small enough desk clerk know we -- name , well enough remember leave day -- second day . 6 floor , need not wait elevator bind one staircase . ( elevator wait major time sink tall Manhattan hotel , especially old elevator technology . ) room face directly onto Church St ( busy two street , whereas Duane St relatively quiet ) . problem street noise , even rush - hour . a / c / e train faint rumble every minute . hotel guest privilege well equip health club two block away . basement sub - basement , club strike many visitor claustrophobic , huge array free - weight , machine , cardio equipment . Duane St Hotel staff uniformly informal , friendly , helpful . not always perfectly competent , least nice . room sparse , stylish , fully equipped . two queen sized bed comfortable linen copious pillow we rest comfortably . room small , closet - like . subject , not really enough closet space , two hanger , enough drawer space couple child . use room service one breakfast , soft - boil egg perfectly do , pot genmaicha generous hot , chocolate croissant not even get second bite . still , price fine plenty food day night within block hotel . problem , first particularly annoying : - book car ewr hotel 1 pickup . two e - mail , well arrival , provide complete flight detail . driver not show . , hour back forth , finally arrive , not curbside , lead we parking access parking lot . absurd , $ 110 rather $ 71 quote . ( much $ 50 cab . ) - sheet immaculate . minor stain small tear ; nothing distress . - item room seem restocked kind Soviet - era plan . one day single water beaker disappear ; one day cotton - swab ; another day short bath towel . next day get double delivery shampoo hand lotion . end ask three water glasses.- bathroom fixture functional perfect , hand - towel bar mount directly toilet paper holder ! try dry sock be worry drip onto roll toilet paper . - air conditioning unconscionably loud . like jet engine room . fortunately , blast cold air rapidly 's time course night . midsummer , would want wear Ipod sleep . - mysterious mini - bar & quot ; coke & quot ; charge appear final bill . not think we coke decade , take off . I would recommend Duane St Hotel people want location Tribeca . 's considerably cheap comparable , large slightly swanker , Gansevoort , 20 block north similarly fashionable neighborhood . boutique hotel go , pretty cheerful . staff might always get everything right , genuinely seem try , friendly openness one favorite thing visit New York . rate average $ 409 plus taxis 4 night . expensive wallet , fine upscale New York place almost absurdly cheap London standard . 
 Oct 5 2008 	 great location - insanely loud ! ! 	 great location many thing , subway close walk Chinatown , little Italy , financial district . staff friendly . good , except came sleep . third floor , never stay loud room life . face Church st windows zero sound proof . could hear people talk street ! get bad buy ear plugs eye cover make absolutely terrible sleep . get room $ 300 night , people pay $ 500 hear another guy complain front desk price noise . end get sick sleep 5 hrs 3 day getting run . nice hotel , not expect sleep wink ! 
 Sep 17 2008 	 worth money 	 Boutique hotel usually charm , avoid big hotel chain travel . stay 2 night find restful . first , customer service mildly friendly , attentive check . room , small fill cheap furniture . noisy , wear earplug sleep well night . food ok , boring , anything reflect price . be nyc , might well go elsewhere . usually expect boutique hotel . 
 Aug 22 2008 	 stylish Clean Convenient Boutique 	 recently stay Duane Street hotel travel business . perfectly adequate one - night stay really room sleep . room clean tiny , 's Manhattan 's expect . Decor stylish modern . convenient location . one travel companion upgrade Deluxe room say spacious great . would stay depend price -- recently look book another trip $ 100 last time , book elsewhere . though nice boutique hotel , worth premium price . 
 Aug 22 2008 	 Outstanding ! 	 return great little hotel tribeca ( Triangle canal ) neighborhood new york city . fiancee stay four night fall love Duane Street Hotel . staff great ( especially door man ) , concierge well inform efficient ( Maggie good ) . room small - ish , reasonable new york standard . loved hardwood floor beautiful bedding . make room feel extraordinarily clean . small sweet treat leave we night also delicious ! breakfast morning restaurant rate include breakfast . service great , food awesome ! notice , other , noise street construction take place outside , not enough keep we night . lay insanely comfortable bed , like light ! definitely back Duane Street Hotel ! great time , can not recommend enough ! cheer ! 
 Aug 16 2008 	 good price 	 stay 5 night end June / begin July . room small expect tiny closet nowhere luggage start long trip 16 day worth luggage . fresh bright decorate room note already , design bed , whilst comfortable mattress wooden base easy walk get bruise . fridge . also safe closet slightly big closet closet door would not shut properly . problem , poor design . another design fault ( due size room doubt ) one bedside light . flat screen tv.small bathroom , small hotel ( could hook bathrobe , actually could second bathrobe - enough number guest room ? Boston hotel - new trend ? ) shower rain shower powerful . nice toiletry bathroom decent hairdryer . very noisy outside hotel sort roadwork go - sure sort giant orange white cone cover hole ground always noisy . hotel 's fault always bring earplug anyway . location good , close subway easy get anywhere away midtown madness , much peaceful away crowd . really like stay downtown . find staff pleasant helpful . accept package we arrive ( Yankees ticket Stubhub ) bring we soon arrive . so negative design ( somebody prefer practical pretty ) yes would return price stay reasonable ( well NYC reasonable ) due location staff . 
 Aug 1 2008 	 great stay pleasant friendly hotel 	 ' ve stay ny many time time try somewhere new . time choose Duane St enjoy feel tribeca easy walk access soho village . hotel new . I m glad probably well stay far . could not really fault hotel all.stoppe extremely comfortable would say friendly staff really make everyone feel welcome . ( notice seem british people time ? ! ) . go way accommodate everything ask ... even special request could not front desk manager go way make sure ok . the bed , like someone say , comfortable do not want leave , amazing chocolate pillow evening , great bathroom reasonable size bedroom room feel alot relaxed personable large ones.the whole time never hear noise guest inside hotel . could understand street noise Church room look onto , may cause people discomfort . time roadwork 8 pm till morning still do not disturb . would recommend ask top floor like did.overall problem stop , especially you re look quiet friendly extremely clean ! ( free internet access ac room ) .the guy reception , think call Sebastian also need mention always make effort . u always mean always get taxi straight away outside church st . subway station close too.minor thing guest might want know . -the hotel ice machine , everyday house keeping would fill ice bucket we incase.-the corner bed sharp shelved lip , come back alot bruise due much room manouver round side queen bed.-the lift slow , 6 floor cares.-i do not see anyone use bar small restaurant , New York do not really need to.and get one robe day ? ! room seem pretty much , budget option penthouse style suit either , functional room . everything really need.i keep go back leave feel sense trust . excellent 3star hotel NY . away usual tourists.there probably teethe problem still hear people vocalize issue . absolutely none . come back feel really positive stay . 
 Jul 31 2008 	 Clean Comfortable Simple 	 go Duane room available $ 400 night NYC business . room totally clean decorate new , modern style . staff friendly helpful . location near many good casual restaurant . enjoyed stay . 
 Jul 10 2008 	 July ' 08 DSL 	 appear hotel get past & quot ; hew hotel & quot ; grow pain highlight . somewhere online read new manager may helped turn around property shaky start . read review online , double check reservation arrive reading overbooking . first time call , hotel employee say conifrme two double , actually reesrve Executive King online confirmation . problem , fix . person speak say woke interface issue web site reservation system . hotel compact certainly quaifie boutique . room 502 believe large get short Junior Suites . feel roomy NYC hotel . northeast corner roo window two different wall . need King , ask room end -02 . bathroom compact storage room minimal ( match decor ) . hotel room tastefully decorate cool contemporary look without over - the - top . street noise complaint , 's kernel truth , not intrusive . front desk attendent tell we check hotel go replace window room make room quiet . speak quiet , not hear peep anyone stay see one guest entire three day . service housekeeping pleasant attentive . hotel two short block two subway station , conveneient . think hotel 's location tribeca great . really feel like mix local ( young family professional ) . City 's good restaraunt within easy , easy walk distance upscale shopping cluster west hotel . love meander tribeca , SoHo West Village . make mistake though , downtown hotel , will hike uptown lot be big museum Broadway show . nice stay . would recommend . 
 Jun 13 2008 	 nice small room great location noisy . 	 stay three night , May 2008 . hotel locate mixed neighborhood . be safe fairly lively , chic trendy Greenwich Village . entrance Duane Street understate , even easy miss . entire hotel perhaps 20 foot wide mostly face onto Church Street . busy noisy street NYC seem pick trash night long take special pride make much noise possible . also , hotel build subway line entire hotel shake train pass . even glass bottle bar dance around tinkle bit . also numerous loud clunk bang air - handle system throughout night . hotel brand new spare , Euro - modern decor do nicely 's thing . small room hotel , approximately 10 12 foot , 11 foot ceiling ( window ) - room actually taller wide ! top quality fixture , linen , flat panel tv , free WiFi , laptop - sized safe . refrigerator room , ice machine nearby . small restaurant bar lobby , try . staff member professional courteous . since hotel new , seem price little well comparable property . Orbitz 10 % summer sale go booked way . 
 May 23 2008 	 never stay hotel 	 never stay hotel . recently book overnight stay . arrive , tell over - book . manner insult . not mind send hotel chose end manhattan . late night , single woman , imagine disbelief . line previous reviewer , ask find suitable hotel call . never bother call . terrible customer service . woman front desk tell happen several occastion last month . 
 May 19 2008 	 Hotel staff take money safe 	 stay hotel May 8 - 13 , 2008 four night staffer steal $ 1,300.00 room safe . management do nothing except tell file police report . be return call . manager tell would take care not need file one . arrive , put thing safe first morning . not open 12th may around 3 pm . try open , password not work call front desk someone come room help . open 5 second . look inside , find $ 1300 case go ! call local american friend come hotel help . talk Ms. Nelia Rodrigues , Front Desk Supervisor , tell we would check video camera see go room take money . say would get back 48 hour . since leave n.y.c early next day , say would call friend . never hear 48 hour call last Wednesday . still , say call back Saturday , finally wait till Tuesday . tomorrow . promise pay cash back anyway . though ' m doubt ..... 
 May 15 2008 	 frequent traveler 	 Hotel tiny . arrive late evening restaurant share lobby . interesting quiet . room tiny 604 . nice amenity room room Service . pay $ 300 room serivce . could even get drink restaurant license refer restaurant accross street . staff friendly ok . restaurant breakfast much . Orange juice mint leaf bread egg . seem top place simple understate . want egg toast please ! 
 Apr 8 2008 	 Small Friendly Hotel 	 daughter ( 11 ) , return 4 night stay new - ish hotel Tribeca . room smallish well design modern , clean fresh feel . bed comfortable ever sleep - great mattress , lovely sheet comfortable pillow . two downside : traffic Church Street weekday quite noisy early morning restaurant sparsley populate , probably new personally feel uncomfortably eat restuarant people dine . however , make place special staff , kind , helpful , friendly , efficient good fun . look we well . hope return soon . 
 Mar 24 2008 	 great little boutique hotel 	 husband stay Duane Street hotel recently find good experience . location tribeca great , walk Brooklyn Bridge , plus SoHo even Village quite easily . room small well design clean ; staff friendly . king size bed extremely comfortable . hotel great option prefer spend time part Manhattan oppose midtown . 
 Mar 15 2008 	 nice boutique hotel 	 stay weekend early month ( March ) , overall good experience . hotel locate Tribeca , plus visitor trying avoid Times Square , Broadway , etc . place visit Village below . the staff friendly , room clean thoughtfully design ( although extremely tiny , like place NYC ) . aesthetic modern , vaguely Ikea - ish , bright green wall lot maple wood build - in piece . amazingly comfortable bed ! bathroom great radiant heat floor . lobby extremely narrow little awkward , fine area b / c guest around . guest , would not easily navigate luggage , etc . rest street level restaurant not use -- probably b / c 's still new . mix - up check - in , 's new hotel , exchange little extra patience low room rate ! book hotel 's website b / c low rate find anyway . 
 Feb 18 2008 	 thoughtful Modern Design Craft 	 Duane Hotel lot go . finish 7 day business stay small basic room . architect , love interior design . lobby restaurant ultra - modern fine anything ' see . room smallish typical NYC yet carefully detailed space high ceiling , clever cabinet , excellent bathroom . less 2 month old spotless build fine craftsmanship . plenty daylight third floor room one xtra large double hung operable window . wrong ? much . large window let much N e plow , sweeper , traffic , rumble subway , garbage truck Church Street throughout night . light sleeper , bring ear plug . coffee good nearby spot ; restaurant open time little business due lack reputation liquor license . hardly ever see anyone dine . price little high , guess . need signage visibility outside , plenty competition surround block good food . white bed huge comfortable . bathroom expansively design . good light mechanical system ( except would startled loud bang pipe wall occasionally ) , Wardrobe tight , many room seem closet . know , company 5 we staying week . room work HD wall mount lcdtv endless cable channel . laptop safe ( need ) . nice evening turn - down service , fresh gourmet chocolate , bucket fill ice . neighborhood week recently , get love varied plentiful restaurant ( & amp ; sit near Lou Reed Laurie Anderson one place block away ) , handy convergence two major subway line , safe feeling . much retail see four fine wine shop . good sign . recommend Chambers Street Wines . hotel staff friendly often see four work small lobby ; certainly thing cover . use fancy gym 4 block away thank pass hotel . conclude , design top good value . neighborhood make shortcoming , consider Church street noise infiltration . 
 Jan 25 2008 	 Duane Street Hotel great ! 	 great little hotel wonderful bed . open week . pay $ 245 room 2 QUEEN ( double ! ) bed . room clean modern lot extra space typical ny . hotel staff could not nicer . close 2 different subway stop . not near tourist attraction midtown , close shop SoHo Century 21 ( good discount shopping world ! ) . would stay . 
 Oct 3 2008 	 ? ? ? ? ? ? ? ? ? ? ? ? ? ? 
