can 	 come London Heathrow , can not beat location . take tube airport , get Green Park , come tube station . stare Hotel Ritz , 5 minute walk Fortnum & amp ; Mason 's , Royal Academy , Picadilly Circus , walk 5 minute across Green Park , Buckingham Palace . , fine hotel world ? nope . like buy house , location , location , location be about . we stay 6th floor , feel like stay different hotel people ' ve leave complaint website . bathroom perfectly modern clean , lot fresh towel ( extras closet ) . room look like American Holiday Inn ( small ) . two double bed , desk , small table 2 chair . stay place London , recognize difficult find room two double bed . the furnishing , include bed covering drape , new . notice , however , carpet room stain dirty . negative comment come abroad stuff suitcase , beware . luggage rack one one suitcase . room anything else . closet big , however , stow suitcase there . if want stay hotel big , fancy lobby , lot meeting room super exercise gym .... place . however , want clean , modern room smack dab center London , not think could find well spot . 
 Disappointing ; 2 star 	 book 4 room , evaluation fair repesentation 6 night stay . math property : rate @ 4 star @ 60 % price = 2.4 star may little high establishment . positive : location , staff helpful . poorly maintain , cleanliness , poor HVAC system , uncomfortable experience . 
 Oct 10 2009 	 poor value money - see well day 	 everything be wrong ( right ) hotel mention previous review , summarise : fantastic location central London . ridiculously over - price give poor state room ( old fashioned , badly maintain grubby ) , out - of - service lift ( likely service time ) lack - lustre service . stay poorly maintain hotel sometimes improve service good , staff seem pretty miserable , perhaps state place be work ? unless be get room free cheap Holiday Inn Priority Club , much , much well hotel London . 
 oct 4 2009 	 amazing location fancy hotel 	 book hotel hotwire $ 119 / nite , get great deal central london course heart sink little learned name hotel .... holiday inn ? hhmmmph .... read couple bad review nervous stay , say mom , sister stay 5 night enjoy much . around corner green park 3 underground line ( victoria , picadilly jubilee ) mean get around london stop matter go . able walk buckingham palace tour .... location fantastic . hotel fancy ? . agree other room small , LONDON people ... actually surprise roomy hotel toilet lobby , restaurant , one computer internet use . pillow menu nice , take 4 hour get us pillow concierge call ask simple question say & quot ; come look list & quot ; response use concierge . overall long not pay much think hotel fine . celebrate look hotel amenity ... would look somewhere else . 
 Sep 27 2009 	 Perfect location Hotel ok 	 hotel fancy due great location btw Green Park Picadilly Circus . room clean need refurbishment . good value - get good price . would go , mainly due location . 
 Sep 24 2009 	 everything exclude 	 Breakfast ( 10 pound ) , internet ( 17 pound ) , switcher euro plug ( 2 pound ) , elevator ( work ) , hair dryer ( work ) , hair conditioner ( exist ) , shower cap ( exist ) - horrible experience . 
 Sep 21 2009 	 good location value London 	 stay several time return . hotel old building , si well maintain comfortable room excellent staff . locate within walking distance many attraction underground line several bus route . number restaurant area . will back . 
 Sep 21 2009 	 great location 	 stay Holiday Inn Mayfair September 18 - 19 . location excellent - close underground short walk Buckingham Palace . 4 room 2 double bed . small . hotel old bit tired . room look Starbucks across street . road quiet , road corner keep we night . kid love pillow menu . hotel visit trip ( 9 night 5 hotel ) would stay not sleep well . 
 Sep 20 2009 	 condemn hotel replace staff one conceirge name Keith ! 	 say , replace staff Keith , homeless people meet outside street class staff friendly helpful ! oh , would rate hotel big ZERO could ! hotel want $ 400 front security deposit never anywhere else travel many place . soon walk room , exact word , & quot ; EEEW ! ! & quot ; could believe pay much dump ! wall dirty carpet cover stain everytime come back room smell ! one elevator working take forever get floor ! many time use stair lead way side hotel outside courtyard . staff pretty much worthless extremely rude , except one conceirge name Keith . one particular conceirge make we miss one tour , reschedule , thank goodness could , actually even say , & quot ; not make get rude & quot ; , hand phone back slam . lucky control temper ! housekeeping keep aduste AC really work great either . notice mini bar miss two Pepsi 's first night get course hotel try charge drink , happen . two front desk female clerk ( get name ) rude , never say hello good morning actually catch give daughter dirty look , unprofessional ! restaurant 's food disgusting price ! ask two wake call , one hour late , never recieve , call get we go airport go home . thank goodness driver hire come hotel lobby ask staff call we . staff even come help us luggage say make wake call we ! also , not expect watch tv , variety suck channel local channel view weather news . would recommend hotel friend , ! ! would even recommend hotel bad enemy ! wonder roach hiding ? 
 Sep 16 2009 	 expensive good stay 	 stay person wheelchair . room excellent , pity shower lot space . good location , close lot sight . staff courtious , give every bit help information need . two elevator one order due renovation long wait wich pity use staircase . hotel definitely old bit tired , good staff , clean good breakfast . overall good stay . 
 Sep 14 2009 	 impressed 	 Booked room use free room offer charge , room seem ok little tired , tv reception poor channel unwatchable bathroom cause concern ! black mould round bath fitting bathroom door could closed all . this first time ever complain Holiday Inn , reception seem surprised problem offer another room big improvement bathroom still leave lot desire . 
 Sep 11 2009 	 location great everything else poor . awful experience ! 	 stay three night hotel take sight great city earth . wife bring 18 20 year old rent two room , include executive suite . location excellent - mayfair - close everything . 's quality element end . hotel run staff bad attitude ever encounter hotel world ... many country . not know start end give experience let judge . two slow elevator . one whole time leave single elevator size broom closet . front desk staff non - chalant good . rude bad . one effeminate male front desk clerk answer question could not hear speak softly fast . ask kindly speak little look like two head raise eye ceiling . not need attitude , especially be pay equivalent $ 600 night flea - bag hotel ! member Holiday Inn Priority Club , mean upon arrival get free bottle water . water give awful sparkling water taste disgusting . ask could bottle spring water instead . one bottle spring water . front desk clerk say , would buy bottle spring water . cost ? get load ... $ 4 ! ! ! talk feeling violate . restaurant site squuze well . unless politician company pay bill , not appreciate gouge . bring family hotel think Holiday Inn would acceptable standard . wrong ! ask conceirge direction respond ask stupid question world . awful awful attitude staff . simply ridiculous . room pathetic . equivalant would find $ 49 night rough part Detroit Toronto . dirty , run - down , tired hotel staff people brutal attitude . redeem point whole experience location existence Sainsbury 's grocery store across street . fellow North Americans might familiar Sainsbury 's , Sainsbury 's third large good supermarket UK God - send . not supermarket fine Sainsbury 's North America . provide customer exquisite ready - make food protein lover vegetarian alike . shop every day amazed variety food drink ridiculously - low price ! talk high quality food . not eat hotel ... hotel London . go Sainsbury 's ! 
 Sep 10 2009 	 Seedy hotel bulldozere 	 age hotel chain ( yes , even Holiday Inn ) try re - invent become design boutique , brand flagship , prime location charge high price , actually run - down ever see . much wear tear , dirty carpet , claustrophobic bathroom , old - style tv . happy spend loyalty point . yes , location great , charge high GBP 150 , simply book Holiday Express bit ( like Kensington ) , offer much well room much cheap . 
 Sep 9 2009 	 absolutely 4 Star Hotel 	 good thing hotel location . one elevator work sporadic good , one point instruct use service elevator ride bag dirty laundry . 4th floor use stair time . concierge service non - existent , ask direction nearby restaurant give map assistance offer give ask . complain concierge regard service issue suggest write letter manager . AC room barely work finally get liveable temp , housekeeper would change every morning . housekeeping minimal , stay week bedding never change , trash basket empty twice floor never vacuum . one morning daughter use last toilet paper leave day , return evening toilet paper replenish , call front desk request , housekeeper bring we open roll another room . 
 Sep 8 2009 	 good location price 	 stay several time mainly location - next Green Park Tube . rate vary depend demand . stay last time £ 104 per night ( breakfast ) bargain . add room upgrade well . room acceptable old hotel London . trick join Holiday Inn Priority Club likely get upgrade . public space poor restaurant convinient well go . consierge helpful store luggage would cost £ 10 rail station . 
 Sep 6 2009 	 Excellent everything 	 stay surgery wheelchair access room , comfortable . 
 Sep 3 2009 	 avoid financial waste 	 familiar London , half family still live , trust inner voice stay somewhere else . location lure we trap , across road Ritz , real hotel , Berkley Street , 50 meter Berkley Square . arrival , short walk Green Park underground station , feel like buy lemon use car dealer . build non - descript , plane ugly . would know hotel queue freshly rob traveller spill road . see invite lobby Microtel Hotel 6 . ridiculously small , disorganized , dirty , crowd unaccompanied luggage strew place . staff curt , slow , inarticulate , downright clueless . one lift working take 10 minute go five floor . fire exit poorly mark hard locate , use stairway instead lift , would take outside small courtyard carpark . find way back entry lobby . room extremely plane , ok want pay average hotel tariff , price double room astronomical receive return -- easily quadruple worth similar room another hotel area . would ashame charge amount dump = GBP395 per night . complete absolute rip - off -- stay away -- run away . save money , take room another part London , within mile direction save hundred dollar / pound . afford , spend amount little get real luxury Sofitel , Dorchester , etc . Holiday Inn America -- one embarassement carry brand name . never ! 
 Sep 3 2009 	 excellent get right price 	 get 2 one deal Holiday Inn website - 2 night Holiday Inn Mayfair £ 160 , run non smoking room executive free , get upgrade - fantastic . whilst unlikely match luck get £ 400 per night room £ 80 , stay get pleasant room nice part town . 50 yard green park tube 19/38 bus route , 1 km Picadilly Circus Buckingham Palace , could not fault service , location incredible quietness room night , Breakfast pretty good value £ 10 enough feed army last day , get local one fiver know , would not bother . lack gym pool - apart , go ! 
 Aug 31 2009 	 fabulous location service . could not ask well hotel . 	 stay hotel Mom & amp ; 7 year old daughter 30th Birthday escape . location wise absolutely superb , Stones Ritz Green park tube station . walk distance major sight , Buckingham Palace , Hyde park , Trafalgar square , Piccadilly , also shopping area , Oxford street , Regents street , even find boutique Stella Mcartney , Matthew Williamson & amp ; Vivienne Westwood matter budget shop till heart content . eatin , yes stay hotel little expensive heart Mayfair , close u get Celeb hangout Nobu also Starbucks , & amp ; boot . quiet hapy buy sandwich boot lunch eat Green park . as hotel review state room bein date hotel need refurb , would like say furnish traditional english way like new hotel contemporay consider England quite nice see . daughter jaw nearly hit floor walk mighty impressed & amp ; keep ask go back hotel love much . birthday hotel upgrade room executive room , bed huge pull sofa bed clean , everything spotless . day arrive back room birthday card wait little tin sweet hotel think really nice not expect anything like . mini bar expensive different 4 * hotel stay in . the staff really friendly . everytime walk past member staff would smile say good morning , hello greet smiley friendly way . stay London times hotel would definately come back time time , location service fantastic even decor not 2 taste , let face long actually go stay hotel , even business pleasure really go sit around lobby go either business meeting explore sight London . would recommend hotel anyone thoroughly enjoy stay make 30th birthday one remember . people complain decor suely person individual taste would let put want great central london location reasonable price hotel . 
 Aug 25 2009 	 three word location location location .. sum 	 Stayed Holiday Inn Mayfair three night family vacation . disappointing hotel , date furniture . soap sliver provide bathroom seem keep suppose hotel quality , Quality Inn type . lotion , bathroom amenity , basic shampoo gel available . room size quite good locate 7th floor . hotel clean . lobby staff friendly , concierge ( ) especially unhelpful pretentious . pretense would expect well room amenity skimpy towel bathroom , similar provide gym . be able get rate 153 $ US per night excellent value . note lift repair another six week mid september cause tremendous delay guest use one lift mean wait two three trip . internet access available , 17.50 GBP per 24hr period ludicrous . find wireless near window access BT Onlline Opensource service pay 5.80gbp 24 hr access , try this . phone call expensive , access 800 number cost 2.50 GBP connection . the one thing hotel go location , extremely well situated , next Green Park tube station take one train direct Heathrow 4gbp . ( bit long ride easier go Paddington change expensive Heathrow express ) . 
 Aug 15 2009 	 got well room ask 	 get hotel via Priceline . location excellent Central London sightseeing , etc .. everything within short walk , Green Park Tube outside hotel . arrive first room give great . low floor look directly onto wall building renovate - 10 foot away . big complaint , though , dust everywhere , include bedspread . look like last room never use ( dust ) . little cajole move much well & quot ; executive & quot ; room . supposedly go charge , never bill extra . the hotel fine , not expect & quot ; Four Star & quot ; level claim . staff bit diffident , obviously room quality vary greatly . get good deal , go , expect could find well value money . 
 Aug 14 2009 	 Tired Hotel Good Location . expensive . 	 Londoner say good point Hotel location . corner piccadily Berkeley Street opposite Ritz , hotel tired need complete refurbishment . good value . 
 Aug 11 2009 	 Great Location 's ! 	 good thing hotel location . 's heart Mayfair , minute walk Green Park Tube station , Buckingham Palace , Piccadilly Circus . lot cafe shop , boot pharmacy , supermarket restaurant nearby . City Tour Hop - on bus right along Picaddily Street , step hotel . People consierge helpful approach . negative side premise hotel condition / service . : * outdated , old furnish finishing ; hotel room look unclean air smell dampness . switch room Day 1 find cockroach running desk drawer . quite shock ! * 2 slow elevator ( lift ) one currently construction ; * high internet access fee - 15 pound per day 6 pound hour ; * fitness , pool , business centre ( one old computer lobby fee ) ; * on - site restaurant pricey menu * Beddings - request duvet cover sheet change daily ask extra pillow two per double bedif hotel undergo major renovation update furnish finishing , hotel would great place stay due location especially family need two double bed . hotel rate 3 - star . 
 Aug 7 2009 	 perfect 	 can not beat location hotel - convenient tube bus stop , within walk distance many London 's top attraction . the room well appoint , scrupulously clean comfortable . grateful air conditioning ( quiet thermostat reponde accurately ) temperature around 30 degree C outside week ! room not huge , be cramp either . I can not thank wonderful staff enough kindness eagerness help request . daughter get migraines fluorescent lighting course light fluorescent . ask possible swap one two bulb incandescent bulbs , investigation turn light fitting not compatible . staff sprang action promise someone would nip buy desk lamp room necessary - seem regard really important mission make we feel genuinely care need . little ingenuity solve problem make stay much comfortable . similarly helpful problem wireless internet connection room , speedily resolve - really can not fault customer service . I not eat restaurant - many alternative nearby . 's Starbucks immediately opposite hotel , Marks Spencers ' simply Food ' adjacent Green Park Tube , Sainsbury 's ( supermarket ) across road Berkley street , well plethora place like Pret Manger , Costa , etc stone 's throw away Piccadilly . bar fridge well facility coffee / tea making room , able store snack breakfast comfortably cheaply venture day . highlight stay - tea Ritz , picnic Green Park ( opposite hotel ) able hike central London amazingly convenient location . 
 Aug 5 2009 	 Locaton Excellent plus 	 true location hotel excellent room relatively spaceous . positive find . staff cold unwelcome every request make meet indifference negative . room shabby well . strong smell damp large watermark ceiling wall . grout around bath black mould . lift service replace use stair lobby exception 15 min wait move lugguage departure . call cost room prohibitive - 5 minute international call 6 minute local mobile call cost 36pound . grant rate publish room , still imagine justification outrageous markup . stay another hotel Kensington early trip rate lower rooms/ service ambiance considerably superior would future compromise location make difference room rate catch taxi . 
 Aug 4 2009 	 Grand room overlook Ritz 	 partner upgrade grand room overlook ritz separate live area jacuzzi bathroom - hotel staff really friendly helpful- location hotel perfect 
 Jul 29 2009 	 Incredible Location Nice Hotel Small Room 	 anyone look affordable hotel room London sleep four know 's easily find . book online price , location , two queen bed ! good thing hotel location . walk anything want see London not want walk 's block underground . lobby small . staff excellent . restaurant adequate . food necessarily well anywhere , definitely bad . convenience . room small , clean . bed comfy . much furniture room . bathroom .... excellent shower . funny plumbing sink ( turn handle entire faucet would turn ! ) . happy hotel , despite funky plumbing ! 
 Jul 7 2009 	 Book get good rate 	 get good offer 2 room , 2 night request 2 double bed room perfect , get room face directly opposite Ritz sure size room comparable room Ritz . 5 star location , simply one good . yes , hotel look bit out - date could refurbishment . pay get , thus price pay , value money . bed comfortable fine . 
 Jul 4 2009 	 fabulous location - despite tube strike . 	 husband stay hotel early June opt use exclusive 2 1 night rate offer enable we treat four night £ 345.00 - bargain ! ( would even bargain not tax . ) mention , breakfast reduce £ 5 , save lose want breakfast room . not eat hotel really budget , cheap option elsewhere nearby . we arrive quite late , 11 pm , check - in smooth . late order newspaper next day , ( receive one duration reason ? ) late quick freshen , take stroll around surround area find bearing . Nobu Berkeley along street hotel , Mahiki corner next street , ideal location be well , young , able get guest list . unfortunately be none : - ) short time spend celebrity spot ( none see ) stroll along opposite direction , within short walk hotel , 's & amp ; food go , ( handy delicious hot tomato basil soup bread roll enjoy quick lunchtime snack later week ) Sainsbury be around corner . Cafe Nero Starbucks also close hand , Pret Manger Hard Rock Cafe road . 's Boots pharmacy two door away forget necessity bottled water - something might need hotel tap water rarely cold . mention , Ritz across road , Langan 's Brasserie locate one street away . check place return back hotel , even though well midnight , feel safe walking every direction take - always bonus , although Piccadilly lively place stay , reveller not disturb sleep . room 6th floor view , although small one , Ritz one angle , Green Park . fact , could see Green Park underground room , soon realise might bonus first thought , tube worker strike nearly three day spend . yet despite well - lay plan thwart regard tube would get we various theatre restaurant need , strike enable we see even London . hotel really good location reviewer mention , apart long journey , use Oyster card bus DLR 's , majority time spend walk find little gem like Burlington Arcade , short walk away , similar arcade , forget Fortnum & amp ; mason - worth quick visit . theatre , would sometimes hail taxi previous visit , take tube , hardly distance walk , ( someone avoid walking , hope trust one ! ) four night five day wander around Chinatown , Soho , Trafalgar Square , Downing Street even , ( tourist trail honest ) always end picaddilly Circus ( never seem sleep ) , head back hotel , twice bother take bus - stop two away hotel anyway , , first evening , always feel safe . side room , even though not need spend much time , want see much London could , not room would liked spend long . although roomy two comfortable double bed clean bedding , ample hang space , table two chair , fridge , every necessity like iron board , safe , hospitality tray , complimentary toiletry etc , tired need refurbishment . furniture decor see well day , carpet curtain , would big disappointment have pay normal room rate . likewise , bathroom clean dull , towel , also ample supply , also well - wear . overall , bathroom could relaxed , serve purpose guess . check bill though , show breakfast not take , something not unique hotel ' ve since find hotel chain . add overcharge quickly amend . I would recommend hotel family friend without hesitation , ' ve save enough Priority Club point , 's hotel will definitely return . tube strike , would like say big thank concierge help we get need , even foot : - ) hope whoever stay enjoy much , despite room need update . 
 Jun 29 2009 	 Reception Location first Class 	 stay Holiday Inn Mayfair Sat 26th June use priority plus point free . would cost £ 300 would give miss . contact hotel day inform would arrive midday request early book . book time 14.00.as arrive tell couple room ready fear bad . Fortunatley available chance freshen trip theatre 14.30 see rock ( excellent ) .We offer discount full breakfast £ 11 instead £ 16 special offer . the room date quality feel bed comfortable air conditioning low 16 degree still warm . it 5 min green park underground 5 min Washington Mayfair excellent 3 course meal £ 10 per head.pre book Lastminute .com ( review resturaunt ) . excellent hotel staff match plenty pub eatery around Flying Footman close by . but £ 300 + night little price range fantastic free . 
 Jun 18 2009 	 great location value 	 hotel good location London access three tube line . clean basic hotel reasonable price . spend five night hotel complaint . remember Holiday Inn . warn concierge much help research come London sight see restuarant etc . 
 Jun 13 2009 	 great location excellent value 	 hotel frill perfect centrally locate . access Green Park tube right across street Piccadilly Circus within walking distance . even walk Covent Garden time use tube rush . the room old would expect old hotel London . upgrade bathroom would nice complain give value . 
 May 31 2009 	 Excellent Location . 	 location wise hotel excellent . walk distance picadilly circus , buckingham palace , etc . right next tube station well connect bus too . we leave airport early morning 4 tube start service . we easily reach airport direct bus 2 pound per person . overall nice experience . 
 May 22 2009 	 ok 	 great location , Piccadilly near Ritz , excellent base . staff professional & amp ; friendly . room - date style wise , obviously good quality & amp ; height fashion swag & amp ; tail era curtain ! ( late 80 / early 90 maybe ? ) . clean . Bathroom - shabby really , need refurbish sure , clean & amp ; job , good shower . not good : small thin , threadbare towel - difficult / expensive buy new one ! staff provide bath sheet quickly request . bedsheet clean , bit old . Mattress cover stain ! ! late / too tired complain put towel sheet & amp ; leave comment next day . reply . impressive IHG ! finally breakfast room dire . dark , old fashioned . much daylight , fact one bit could middle night ! ! Doubles bar area ( bar behind table - bizarre . breakfast mediocre . suggest not bother & amp ; go one many coffee shop close , buy breakfast Sainsbury be across road & amp ; eat room . bright & amp ; sunny ! overall , clean , date shabby furnishing . want somewhere handy sleep , location great staff friendly 
 May 19 2009 	 love hotel need update 	 stay hotel past , love hotel location . however , agree reviewer -- 's time update ! location room size excellent , staff terrific housekeeping front desk . room get tired . furniture fairly bang , bathroom miss tile generally tired . view Green Park ask . food dining room good , service good . location great walk many sight , theatre , shop etc . hope put $ $ renovation soon , will definitely stay next time travel London . however , admit first time hotel would probably leave negative feeling . 
 May 8 2009 	 elegant comfortable 	 end hotel mix - up entirely different hotel . stay Executive King Suite . room beautifully decorate fine fabric furniture . bath large jet tub nice add touch . room service meal arrive hot taste excellent . tube stop step front door make great choice . be willing splurge bit great place . 
 Apr 28 2009 	 bad experience 	 poor hotel excelent location basically pay location nothing else substantial hotelreally boring ! ! ! room bad well 
 Apr 26 2009 	 average overprice hotel excellent location solid personell 	 HI Mayfair one good location London , need renovation . breakfast could lot well , seem standard Holiday inn nowday . friendly staff excellent location push rate average . price / quality ratio good . 
 Apr 20 2009 	 highly recommend 	 staff excellent . arrive drop luggage , tell we head Buckinham Palace catch change guard . every day time year know . locate walk distance major attraction . reasonable rate . leave ipod room mail . look forward stay . three , taxi cheap Heathrow Express . 
 Apr 20 2009 	 wouldn´t recommend 	 check - in unwelcoming . receptionist hardly looked arrive , mention smile . wasn´t anything wrong cleaning room old scruffy , that´s wasn´t please stay Mayfair Holiday Inn . breakfast room beautiful quality food ok . location hotel good . 
 Apr 19 2009 	 bad 	 read review know get , location brilliant , hotel room definitely could ' facelift ' , however staff helpful friendly taxi rank outside never wait Green Park tube station opposite ( although many tube problem weekend ... long get ? ... sat despite we ' all - day ' travel ticket ... Piccadilly line 5pm - ish Jubilee line completely , spend around £ 50 taxi travel 3 stop £ 24.50 travel pass ... rip ! still nothing hotel stay perfectly acceptable . 
 Apr 17 2009 	 Affordable Clean Perfect location 	 stay hotel 2 night . arrive room ready able leave bag handy . greenpark tube station around corner . Buckingham palace short 5 min walk Green Park hotel also short walk Piccadilly Circus . room clean bed comfortable . buffet breakfast morning okay nothing special . London sightseeing location perfect . would definitely recommend hotel . 
 Apr 14 2009 	 Fantastic Location ! 	 money , hotel bargain . include buffet breakfast adequate . ( nothing fancy ) . nice family ( 2 young kid ) able go downstairs decent breakfast . service mediocre . concierge hand - wave direction 1 occasion wrong . print map area near hotel . hotel also try nickle dime . need check email , use Kinkos ( 24 hour ) 2 block hotel . right tube station 2 block Green Park . 10 minute walk Buckingham Palace ; Regents / Oxford shopping center ... one two elevator break entire 7 day . use stair bit , big deal . , great value long remember holiday inn . size room actually pretty decent London . 6th trip london ' ve stay lot fancy hotel one fairly dingy one . will definitely come back one . 
 Apr 13 2009 	 one man show 	 arrive London , exhausted , tell one Holiday Inn overbooke not room . tell relocate Mayfair H.I . much nicer , right . must realized see . waste good part first day relocate arrive . one superior employee site , Mark , not rest help . since pick up tour schedule H.I . change . fortunately first H.I . help we since Mayfair seem useless . another problem meal plan first hotel second seem hard time accept , especially Mark not . course even though stress reassure meal charge show credit card get home even though check ? Virgin , tour company take care one hassel courtesy H.I . plus Mayfair one elevator , one set , one elevator , needless say always quite wait usually fill come . frustrating . pay internet computer lobby not work . din room nice server good . 
 Apr 12 2009 	 excellent hotel 	 holiday inn mayfair worth every penny , excellent service , location bed room extremely comfortable ! room clean staff helpful . tube station round corner leicester square short walk away . would definately reccommend hotel excellent . 
 Apr 12 2009 	 great place stay London 	 lot reviewer mention hotel bit tired guess 's true , can not get away fact 's Holiday Inn ( know exactly be go get ) , be right next tube stop one London 's good tourist location . oh , be cheap ( London ) well . room good size , staff helpful , nice quiet night surprisingly little road noise ( room anyway ) . nothing complain good stay . we not eat , bar price seem reasonable , everything be clean . would stay without hesitation . 
 Apr 1 2009 	 great stay good location 	 Mum , Sister stay family room two night weekend March . Location- Excellent sightseeing 02 arena travel want . Green Park underground right doorstep Jubilee line take everywhere . price - get two one offer work 185 pound 3 we two night ( breakfast ) .rooms - nice size particularly London two comfy double bed , tv , blackout curtain etc . cup glass two hotel bring another set really speedily ask . bathroom bite basic everything nice clean . other facility - not use room service eat hotel . drink bar . bar service good price bite steep . reception - Hit miss . one chap good checking checking , lot ' extras ' bill ( breakfast , mini bar etc ) . beware sort , lady reception apologetic . overall great stay price pay . 
 Mar 28 2009 	 Great Location see well day . 	 stay friend day shopping night theatre club afterwards . even though live half hour away nice stay . walk everywhere want go , shop Bond St Oxford St , dinner Soho , theatre Covent Garden , club Soho back hotel . fantastic location . have delux 2 double bed comfortable . room need update fine time spend . staff helpful . would definately stay . 
 Mar 25 2009 	 certainly four star hotel .. poor service 	 let say agree other , hotel good location , close Picadilly Circus ... nevertheless hotel , opinion , 4 star hotel .... room old , along furniture , decoration , bath , etc ... , bad matress , bent , roll middle time ( happen 4 star hotel ) ... also find mini bar open ham , previous guest , ( great cleanling guess ) ... service terrible ... upon check receptionist name Cristina , even say good bye leave , ask we stay , nothing ..... certainly would recommend ... 
 Mar 17 2009 	 Perfect location 	 excellent hotel price . staff helpful room good size clean . there taxis ouside front door . around corner across street Green Park Tube station bus step away . boot one block hotel sandwich drink sale low level.1/2 block direction supermarket . what could want center London ? 
