bad 	 Stayed Trop October . Room call & quot ; garden room & quot ; . Checked take elevator ! room ground floor . slide glass door lead parking lot . question safety staying room . old hotel room ever stay ( stay seedy place ) . bed disgusting , sleep clothe . bed old sink middle . stain mattresse . mold bathroom . be upgrade next day tell would check ( stay 2 night Vegas ) .Magic show Trop circa 1984 . Buffet good . would stay . 
 Oct 30 2009 	 horrible .... can not believe still open 	 could not believe .... room gross , dirty , bed stained , wall dirty , bathroom break tile , miss grout , awful say least . poor service . could not get drink save life . drab atmosphere . pool not open . Buffet terrible . spa closed . fitness area close . almost like place closing door right we . check 1 hour checking . 
 Oct 27 2009 	 CAREFUL section stay 	 stay hotel taekwondo competition terrible . give we room old section resort & quot ; non - smoking & quot ; room soon walk room could smell year smoke accumilate . carpet discustingly stain dirty . bathroom black mold . furniture break afraid even touch anything . go request another room much trouble finally move normal hotel room , suite anything sort , atleast clean . careful booking go cheap likely section halloween movie . 
 Oct 27 2009 	 Worth 	 Vegas little , want try lower price hotel ease pocketbook , stay fancy hotel / casino . first problem occur , get hotel price room like $ 9 lady phone tell 'd , & quot ; resort fee & quot ; ..... stayed suppose & quot ; newly renovate & quot ; room ... thing seem renovate hallway space elevator , glamorous . shocked entered room look dirty old . carpet look dirty stain . room not smell good either . bathtub shower head seem outdated well . tv SMALL , could really make picture bed ... also , Door connect another room next mine . feel unsafe door really old deadbolt lock seem really small ... also , could hear everything people room ... thing like fact fridge closet ( although small .. ) , b.c enough hotel fridge anymore . also , casino area trashy feeling . pay like $ 76 taxis night stay there . the would ever pay stay would like $ 18 less . 
 oct 22 2009 	 start bad end good . 	 first get extremely disappointed price could stay much nice hotel , supposedly & quot ; upgrade & quot ; . room ( rent total 3 room 3 couple go ) almost roach motel material : extremely ugly , dirty tub , a / c not work . one people travel decide talk manager see could either get move new room get refund would go another hotel . express complete disgust manager move new part hotel ( process renovate complete another year ) lot nicer like . , although stay start complete bad , end well complain order receive well room without pay difference . overall , think next time would stay different hotel , especially go price . 
 Oct 21 2009 	 great price 	 stay want strip budget . 's really date one Casinos would choose eat , drink hang , room big nice clean 's great spot . we not want go Las Vegas stay hotel / casino perfect we . day night need somewhere crash . say , quite nice great pool area . unless look somewhere palatial want spend time hotel , reason would not stay . 
 Oct 19 2009 	 Oct Trip 09 	 hotel seem bit shabby , revamp , remodel . think future nice . room slightly shbby bed comfortable , light good . plenty linen ask extra pillow , get time . 
 Oct 19 2009 	 Tropi - ghetto 	 choose stay Tropicana great price location picture online not look bad . purposely not check review not want know cheap . ' m give Tropighetto 3 - star staff helpful ( big group get move together nice tower cost ) , price awesome location , pool pretty good ( crowd easy bring friend stay hotel ) . not dirty , everything read need update true . hope update not take away kitch , clean / fix place . 
 Oct 19 2009 	 decent stay money . 	 Tropicana locate midst happening Las Vegas Blvd . hotel rather out - date , process make upgrade . room decent . accomodate three woman comfortably . one thing stand elevator come record speed . ' ve stay hotels strip wait enourmous amount time elevator come . 
 Oct 12 2009 	 Awesome retro 	 survive drive bat country stay room Island Tower . lobby look movie seventy , room look pretty old , great deal , pretty neat . lot mirror around / above bed . great old fashioned cheesy Vegas experience . 
 Oct 11 2009 	 Better sleep Park Bench 	 wife Staying Monte Carlo book room Tropicana Daughter & amp ; Son - in - law 2 child stay 1 night visit we stay Las Vegas . when arrive give Garden room look great website photo ( probably take first construct ) .The room dirty garden view alley way behind hotel . I immediately contact hotel move Tower room much well . this casino hotel need update give complete makeover Board Health shut down . my wife feel bad not get room Monte Carlo casino hotel strip . if look good stay good price go somewhere else stay away dump .... yes dump ...... 
 Oct 10 2009 	 good value money 	 stay hotel husband summer romantic vacation . go read review sort concern outdated construction place . arrive , feel old - fashioned room decoration turn pretty interesting . mirror around bed , include ceiling , romantic enjoyable . location hotel perfect . planning trip LV specially fancy hotel overall fun city , hotel good choice good value money . 
 Oct 8 2009 	 good bad 	 nice thing casino good location . also nice pool arcade area fun kid adult . however , feel facility well ventilate & quot ; smoke free & quot ; smoke free area like casino . also , tile bathroom practically fall apart one part tub . 
 Oct 8 2009 	 Oldie goodie 	 simply look place sleep great hotel . Cozy , comfortable quiet ! 
 Oct 8 2009 	 Good Location Nice Pool Rooms ehh ... 	 spend 4 night Tropicana . location right strip really convenient pool actually really nice crowded . stay old part hotel ( tower ) room old could tell need remodeling . however , room size actually quite large room amenity require really could complain value money spend . additionally , work facility include hotel fee ( mandatory $ 8 per day ) , bad Vegas , consider resort charge $ 20 per day use small , cramp work facility . overall , good value . 
 Oct 8 2009 	 great price ! 	 hotel old one really need update room clean everyone hotel friendly helpful , good service . pool great , lot tropical ambiance ... would go back look budget hotel . 
 Oct 8 2009 	 Great Value Great Pool Nice Staff New Owners ! 	 can not beat price compare other , pool fabulous open night , nice jacuzzi inside cave , 24 hr buffet need revamp , new owner process update entire hotel ! bell mgr staff nice whatever take make stay enjoyable , stay tower room elevator near bell desk , across elevator bar nice lady serve coffee early morning , room nice view strip stay 22nd floor , find electric chair rent due walking problem , great ! outside hotel bus stop $ 7 24 hour pass go strip , also free shuttle outside Orleans hotel , plus free monorail outside 3 hotel , wayne brady film price right 's free go contestant , enjoyable stay great bell manager staff , thank guy ! ! 
 Oct 1 2009 	 WOW view Great Pool Staff ....... Xtreme Magic want vacation ! 	 want start say : special people research last trip 8 year ago Vegas Summer . hot could boil crawfish pot outside hotel fire ...... time trip real fun vegas Tropicana . return great trip Tropicana ... get fantastic deal construction peroid speical time .. call Gloria get Ultimate Cool Deal last . start renovation picture VIP Lounge . wife stay Island room easy access pool area give we ticket Best Majic ever see . great Moments Magic " Xtreme Magic star Dirk Arthur & quot ; hen go outside try new Salsa Band Dance Group . fanstastic . coupon book player club great thing hotel . also take two show Fab 4 V Varity Show 1/2 . like inclusive Cancun . staff great ! help . wife leave sweater jacket chair one morning . security wrap tag . know server area gaming clerk tip . never go thirsty- cold water juice wife cold beer plus premium liquor form . everyone friendly help . got see contestant let make Deal .. get invitation audiance non contestant much see three day . would go pool area restroom enjoy watch contestant getting pump & gt ; & gt ; & gt ; & gt ; & gt ; & gt ; & gt ; & gt ; & gt ; & gt ; think Mardi Gras Houma / New OrleansI get treatment mega casino . day staff around know face help we always . take taxi easier less shuttle ... plus leave go back Airport schedule . thank Jake know .... 7 dollar day ride anywhere ticket great . Jake tell catch pay . early check bag door come back room ready . Gloria say would happy view WOW . could room arrive tell wait liitle enjoy . right wait enjoyable ! guess ! second time Vegas slot free startup monie . also learn play Blackjack $ 1 day Shara also . buy lotto ticket quick Texas Louisiana . iview : view 1683 fantastic .. WIW night longpool : five acre tropical island waterfall , adult area , bird , flower , spa much . music great pool staff helpful . plenty lounge chair towel . ask recieve . buffet : eat 24 hour 24 buck per day place . arrive early get buffet join Tropicana club . great Prme Rib , different fish every meal , Shrimp etc . kind dessert - Sugar Free . good pie good cold milk . tea fanstastic . the chef friendly buffet ( 3 Joses great ) evern make special Big Cajun Omlette we bring table fantastic pool view ! personal service . treat people well recieve life ! room : clean cooooooold . put extra towel bath mat . big corner Shower real bamboo furniture . ( Laminate stuff ) gaming : blast get see fun Lets make Deal . like Mardi Gras ... show : fantastic travel time business like go someplace holiday staff make enjoyable . remember wife glass always half full due good planning surprise . 
 Sep 30 2009 	 good deal pleasant staff old stink room 	 Tropicana old closed renovation long time ago . might keep awake night telly guest . staff good make stay comfortable , hope people avoid hotel , close renovation . due late 80 's . 
 Sep 29 2009 	 good value decent location 	 cheap price ( $ 40 ) incitive stay 2 day trip Vegas way Grand Canyon . come conclusion place sleep book hotel instead pay close $ 100 well hotel . location not center strip fine we since rental car could drive part strip easily . Checkin take less 2 minute not check 11 pm probably something , easy front desk friendly . already know $ 8 per day hotel fee not include initial room price aware understanding hotel kind ' daily use ' fee $ 8 not bad . the hotel definitely date discount hotel strip . room little cheesey mirror ceiling clean surprisingly quiet pretty much right next airport . start smell like smoke second day even though smoking floor . guess someone not follow rule . never wake plane night . pool area nice getaway casino lot water feature tropical environment . 's great place hang , especially swim bar . we not gamble hotel stay pretty busy . say seem like 90 % guest 50 us 20 not really place hang gamble go across street NY hotel fun . overall be look place sleep stay Tropicana go fun hotel . really enjoy pub bar NY hotel also duel piano bar well . 's plenty see nice casino price can not beat Tropicana . never eat hotel not know food , definitely not many option large hotel , , be easy walk several hotel Tropicana . 
 Sep 27 2009 	 Good Value Location 	 stay ( Paradise Tower ) conference hold MGM save ton money ( ~ $ 100 / night ) . Paradise Tower build close strip literally step away walk way MGM Excalibur . my room clean , adequate plenty room . still tube tv chip sink counter , obviously 4 5 star establishment . gym open 7 7 even free weight Smith Machine . good pool area . not eat restaurant , since well option neighboring hotel . overall be plan spend lot time hotel ( example : guy road trip , business conference ) great place - walk distance everything , cheap , clean . be look & quot ; wine dine & quot ; , look spend money one posh establishment . 
 Sep 21 2009 	 excellent value 	 love . spend 20 dollar night wonderfuld groundfloor - room face pool - 3 step water ; love swimming alone middle night . room need think ` beat price , really get lot money . of course 5 - star - hotel , room like would spend ten time city . 
 Sep 15 2009 	 Old hotel original staff 	 Tropicana great location , however back tower old shabby . front tower nice room hotel old shabby . majority staff since open , service bad , except staff buffet . staff serve banquet terrible , spilt drink , hit people head plate , throw plate table rude . 
 Sep 11 2009 	 good place 	 read many negative review truly concerned pleasantly surprised . yes spot carpet , room large comfortable face Strip ( take room one tower , Garden Kabanas old lot noise street ) . service clean totally ok give low rate imagine stupid people neighbor 5 star luxury temple would feel , know place . check - in well check - out fast friendly . queue neither front counter , front elevator . yes one walk Casino ; Las Vegas . the pool area well keep sun 10.00 til evening lot really good music , life guard duty all . the negative experience food . buy buffet Breakfast quality mediocre - well eat somewhere else . summary : good place chill , gamble sleep . 
 Sep 10 2009 	 Disappointed ! 	 stay Tropicana many time . although get room request good , thing definately go downhill Trop ! vip close , coffee shop close , garden cafe move small . tell VIP open slot tournament - play slot tournament ! ! supposedly instal new computer system comp - idea compe . cocktail waitress fantastic , room service good - always . hypnotist show joke , not bother . magic show good . buffet really expensive . really like stay Trop , sure hope straighten thing . seriously consider find another place . say employee come contact fantastic ..... sure hope treat well ! 
 Aug 26 2009 	 ugh - old date 	 staff nice 's close airport . unfortunately , Trop really old dingy . awaken morning mudjacke crew try fix foundation keep awake night tv guest 's conversation paper - thin wall . Tip maid , Lord know be try good lot work . oh , watch grizzled bartender name Drew ; be crotchety really retire . do favor stay someplace else . 
 Aug 22 2009 	 pleasantly surprised ! 	 check close 4 am morning gruele day 's travel pick large room wonderful full view Strip less $ 50 night fee taxis . wife love pool area love cocktail service casino . room service breakfast order arrive less 10 minute , blaze fast anywhere . yes , place seem last decorate 70 carpet wall show age . nonetheless , admit kind like unintentional retro feel one old resort Strip . staff attentive friendly , 's lot say aloof , impersonal service ' ve receive Luxor , MGM , Mandalay Bay property . mention $ 50 night ? 
 Aug 14 2009 	 can not beat location need makeover 	 group finally decide go group trip plan well decade . economic time put us budget , find Tropicana Orbitz part package deal pick up . as thing get pay , overall Tropicana provide good value price . hotel Strip , can not beat location - close airport Excalibur , Luxor , Mandalay Bay , New York New York , MGM Grand either within easy walk distance tram ride away . our room Island Tower , farth entrance casino . bed comfortable , though decor bit date bit peel wallpaper . short , nothing fancy - kinda like Holiday Inn crap table . , infrastructure problem - escalator repair , plus problem elevator call button ( could call elevator might go ride order go ) .as staff , though , bell staff helpful . housekeeping service : generally ok , except one night come back room briefly 8 p.m. find room clean . call front desk leave find clean get back . casino floor , run nice crap dealer last day there . for purpose , though , satisfied hotel . overall , Tropicana good choice someone think hotel place sleep , necessarily place spend day . 
 Aug 12 2009 	 place lie head 	 come back Vegas past weekend stay Tropicana . would read horror story prepare get : dirty carpet hallway , check . a / c : check . price get clean room really , could ask ? be hang room Vegas be wrong . could do without girl casino restroom cry toilet friend scream overdoing coke . okay , funny . 
 Aug 7 2009 	 enjoy stay 	 leary reading review . stay Paradise Tower find clean comfortable . never problem get 17th floor . eat breakfast speak Garden Cafe good every time . enjoy pool area well . negative Pai Gow like play , like place go slot tight . price great would return . 
 Jul 27 2009 	 give Tropicana chance 	 leery reading review , glad go ahead stay . price right , location fabulous . yes , hotel bit date , heck , be one original hotel strip . staff fabulous , front desk people , housekeeper , lifeguard , casino staff security . piece duct tape carpet not whole big thing ... ... many people walk carpet every day ? room clean , bed perfect , everything work . pool alone worth stay . use pamper perfect surrounding , stay elsewhere . want nice , cheap hotel right strip access everything , stay . know stay Tropicana next time go Vegas . last time two year ago ... stay Luxor . nice place , get Vegas experience MUCH cheap stay Tropicana , pool well ... hand . 
 Jul 23 2009 	 need read review 	 read review book Tropicana .. glad scare away .. place great .. upgrade we free tower also give we strip view room last three day ask .. perfect location strip nice expensive hotel .. spend day hugh pool lifeguard friendly pool boy would bring towel waitress would bring stiff drink ... not afraid give & quot ; Trop & quot ; try .. 
 Jul 21 2009 	 RELAXING 	 kind get scared read review . experience turn bad . first time . return . 
 Jul 17 2009 	 not Worry ... GREAT ! 	 Tropicana July 7 thru 10th . read review worried would total dump ... pleasantly surprised actually really nice hotel - ' m complete hotel snob ! staff interact incredibly friendly helpful . room 18th floor Island Tower CLEAN , ie : bedbugs brand new comfy mattress ! yeah , decore bit date , get to love bamboo mirror ceiling ... not bad people make tripadvisor . ok , bit tape occasional spot carpet main walkway , least not trip fray carpet ! hotel build 1950 's great , cheezy Vegas charm . bartender awesome , especially Jason Lorenzo . great time hang ! pool awesome well ! ! ! ' ve stay Monte Carlo Luxor Vegas Tropicana top hotel service comfort . DEFINETLY stay ! ! ! 
 Jul 16 2009 	 classic need update upkeep 	 one hallway Tropicana , picture Vegas Late 50 's early 60 's , Tropicana . even recognize building today amid tower new pool . , add stay Tropicana . classic hotel major need update . seem like every hallway different set door decor . Vegas past . Vegas New York New York , Venician Paris etc . etc . Tropicana part kitchy , glitzy , cheap neon fun Vegas , 3 Tshirs $ 10.00 . room Island Tower . walk , chuckle wide grin face . Bed & quot ; Ceiling Mirror & quot ; 44 year old male , feel transport time 10 would overhear adult talk & quot ; bad & quot ; Vegas , people go adult thing . top , decorate like disco still king . say room clean staff come contact friendly . Tropicana , would tell Run Run fast . classic , take . 
 Jul 13 2009 	 nice pool .... unfortunately be . 	 stay one night base picture pool internet . check right wing political preacher .... get room find floor garbage previous guest wet stain . go bathroom ..... soap . view nice dirty window .... venture pool pretty happen ! go evening return find door wide open not latch properly ! luckily everything intact . next day go leave 3 outer elevator not work . could not wait get outta ! worth $ 50 . 
 Jul 13 2009 	 great location cheap friendly 	 partner stay one night . room large balcony view pool . allow check 10 real bonus tell 2 pm . alot hotel think hotel good standard . pool lovely . spend alot time room cost $ 30 brill price . parking really easy extra charge . 
 Jul 11 2009 	 get pay 	 fourth stay Trop . ideal location strip , minute walk away big casino short ( cheap ) cab ride airport . the MGM monorail across road , give access way Sahara . rate good essentially place put head shower . spa resort , excellent room service , hotel dining place not leave hotel , not stay Trop ! budget , centre strip hotel good pool , place you . we recommend buffet - walk across Excalibur fantastic breakfast great & quot ; eat day & quot ; deal . Dirk Arthur 's Extreme Magic really see believe ! win free ticket , get give ticket room , get pay ! ! ! ! ! want kill hour run theatre whilst pretty average magic perform , watch video preserve endanger big cat , go ! ! summary , not go Trop major expectation . go . excellent value , excellent location , everything else hotel strip ! 
 Jul 8 2009 	 Perfect ! 	 stay many hotel strip . Trop classic perfect we . not overwhelmingly huge ( MGM ) pretentious ( Bellagio ) . staff soooo friendly . Garden Cafe delicious food ! upgrade without even ask room Island tower . room spotless nice . need help twice ( wireless Internet b / c key somehow demagnitize ) help immediately . pool attendant friendly helpful . would go back heartbeat . wonderful experience ! thank Tropicana staff ! 
 Jul 8 2009 	 get pay ! 	 say be one cheap hotels strip .... be also pretty rundown . even upgrade tower room ( hate see garden room look like ! ! ) still disappoint room maintain . not put money place long time . old furniture , carpet , etc . want cheap place crash good location strip , great place recommend ( otherwise expect shell lot money ) . not spend much time room anyways might stay save money ( plus earn comp next trip ) . casino actually pretty decent . receive great cocktail service first day . 
 Jul 8 2009 	 Got pay 	 price , location , hotel pool key decision stay Tropicana . key point , deliver . rate per night , deal incentive casino , restaurant bar . hope , guest , eat shop gamble stay ultimately spend dime . & quot ; White Southerners & quot ; well there . the room adequate view nice Island Tower . elevator issue plague we much stay . walk elevator casino walk long hallway kiosk shop salesperson ultimately make find different route . use side door parking lot . pool nice . also offer adult pool nice waterfall drown noise large pool . close Island tower accessable . good bad point Trop like place . temper expectation , enjoy stay . 
 Jul 6 2009 	 NEVER 	 book reservation Tropicana April . decide pay additional money upgrade reservation Paradise Tower . three day schedule leave , send e - mail confirm reservation ( something learn avoid disappointment ) discover Paradise Tower close renovation would move Island Tower . call customer service thing could give we $ 10 per night credit . base condition room Island Tower , decide stay elsewhere . never stay Tropicana ! 
 Jun 30 2009 	 value value VALUE ! ! ! nice dang : VALUE ! 	 long gruesome road trip 6 friend , stay Luxor Thursday night ... fine ... get expensive wanted extend stay Friday night . call Tropicana get super great value Friday night , $ 120 room two double . tread hotel , check - in process absolutely amazing ! work hotel , high expectation , pleased staff member , Kimberlee ( try catch ! ) . hook we awesome room garden view , next private pool , ground floor patio , two double bed , plus large sofa bed , huge room ! ! ! large bathroom ! super nice , AWESOME stay , pool incredible ( lot yummy young guy float around , hehe ) sleep well . Tropicana not Wynn , strip get kind value service ... complain ? 
 Jun 29 2009 	 never 	 June 26th 2009 stay Tropicana . make reservation rant rave get non - smoking room . finally able get Non - smoking room 20 minute ! get room ( believe room 4104 ) bottom level garden tower . room two lamp light , one lamp work . since bottom level , slide door small patio look like clean year cigarette butts , trash , sandbag ground . room face back building view . try connect Wifi tell floor get . top , one bed disposable razor head sheet . long hair bathroom floor , towel . look like room rent clean month . absolutely disgusting . needless say , check early next day stay somewhere else . feel absolutely rip pay dump . never stay . 
 Jun 28 2009 	 nothing special 	 Basic hotel say get everything around . also middle strip look window get tall amazing architector . a bit date one hotel & amp ; casinos strip indoor swimming pool wich useful go winter useless summer also outdoor pool . ppol massive run threwout hotel ground . 
 Jun 26 2009 	 bad hotel ever ! ! ! ! ! 	 hotel old dirty ! carpet wear , old tape throughout hotel . restaurant awful . actually serve moldy food player deli garden deli serve water orange juice not melt cheese cheese omelet order . food service legend slow food ok . management awful ! ! ! ( explain 's terrible hotel ) . key room not work 3 different occasion hotel staff tell we different reservation ( stay room whole time know ! ) time walk way front desk waste lot time ( walk get new key ) find key would not work 2 time ! someone puke outside room hallway ( tell housekeeping management ) never fully clean . one elevator not work . toilet seat room break . elevator STINK terribly ! complain several occasion ( accommodate many way ) problem still remain . absolute bad hotel ' ve ever stay . stay excalibur across street basically price much well hotel . spread word ......... stay tropicana ever ! ! ! ! ! ! ! save money hassle stay somewhere else . trust 's worth stay somewhere else ! ! 
 Jun 24 2009 	 terrible tropicana 	 carpet tape casino -- toilet casino basic importantly -- pit boss way friendly totally disintereste punter good time think objective try lure tourist hotel -- reputation give good comp think find totall myth -- someone stay couple time give free room standard anyway vegas get player card prepared gamble hour evening also say would make room complimentary player card two year ago re - use -- gamble quite lot -- 5 hour per night put 400 dollar extra room account belief ( previous vegas visit tropicana ) would complimentary gamble lot money relatively speak check figure correct amount time gambling amount basically tell friend room part complimentary extras fine mean give credit gambling do not get extra gambling time / money do not could eaten gamble elsewhere . -- staff reception totally inefficient frustrating deal even though vip check - in friend . never stay go vegas 4 time year live state never stay either visit vegas -- room fairness clean tower area decor carpet curtain depressing room -- final advice stay somewhere well get player card get comp prepared gamble -- -if gambling pay bit extra enjoy well hotel . 
 Jun 15 2009 	 Show 	 , stay tropicana never . upset pay 369.00 call vip ticket Sopranos show , lie receive everything state discription vip ticket , ticket buy advance also birthday gift . ticket , computer , four ticket think four reservation two go back two , show start take seat general admission seat lie say 1hour show e - mail confirmation state could pick ticket early 6:30 p.m show start 7:00 anyway show good could see 369.00 dollar sit back room big pole block view would recommend hotel anything . thank 
 Jun 12 2009 	 great old hotel . friendly staff good food good pool Las Vegas . 	 room spacious tub huge -- could almost swim . nice refrigerator . pool area fantastic . waterfall ( walk ) , hot tub hide away , island swim . pool alone worth visit . food steak house exceptional reasonably price . 24 hour cafe great view good breakfast . massive stained glass ceiling part casino definitely Old Las Vegas . like much , ' m use & quot ; name & quot ; .My concern television room small ancient -- need upgrade . also , 24 hour room service . 
 Jun 8 2009 	 Moth Infestation 	 stay garden view room . 3 4 live moth room . naturally , call front desk ask move . walk lobby get set key . move another room area . surprisingly , room also several moth . call walk back front desk . time & quot ; upgrade & quot ; us tower room . moth , wear . Shower crack bit dirty . next morning loading car , swarm moth fly towards we . stay Tropicana future . 
 Jun 6 2009 	 much well expect / fear 	 reading review , bit concerned hotel , especially Garden Rooms . arrive 8 pm , upgrade Island Tower free apology ( ? ) 5th floor , still great view airport , Luxor Mandalay Bay . complaint fact air conditioning insufficient afternoon . 95 degree outside 79 degree inside . problem resolve sun go room cool 74 degree . bathroom perfect . bathtub huge water pressure strong use shower . casino , admit , old looking become half - empty 11 pm . use monorail good idea , easy get take escalator & quot ; Lucky $ 20 & quot ; promotion onto pedestrian walk MGM Grand . Garden Cafe good meatloaf ( wrap bacon ) . garden area amazing surround two pool three hot tub . one point hot tub watch bird build nest tree . main pool open rather late , around 9 am , walk garden area . garden room seem stairwell lead directly garden / pool area , could see actually plus . overall , experience great . tight budget , would highly recommend spending evening two visit casino gift shop Freemont Street . example , bottle water Tropicana : $ 2 - 3 . Freemont street : 2 $ 1 . free concert Freemont Street night not bad either . 
 Jun 3 2009 	 terrible terrible terrible 	 sister take mom vegas Mothers Day . stay Tropicana Atlantic City think price strip would stay . BAD JUDGEMENT . check send Island Towers . room muscky smell , bed awful . go back front desk ask another room . well first one . ask put another tower tell new one . check go New York , New York . know hotel old update definitely need . that s old saying & quot ; : get pay & quot ; . unless serious upgrade add dollar stay place else . 
 Jun 2 2009 	 Decent hotel look somewhere cheap 	 first room dirty , broken door headboard , shower drain work . stand water almost immediately . upgrade much nice , clean room patio . hotel elevator terrifyingly small slow . opt take stair stay . pool beautiful casino pleasant never crowd . not food . 
 may 27 2009 	 enjoy stay 	 hotel need repair . room clean price economical . also feel location good since easy get strip I-15 . stay several Las Vegas Strip hotel . one large good pool compare Treasure Island , Monte Carlo & amp ; other . room nothing fancy not go Las Vegas stay hotel room since much . 
 May 27 2009 	 nice cheap midweek smoky room 	 love hotel $ 40 pay midweek room . room huge hot tub nice view strip . room different tower casino smoky either . pool really nice famous blackjack table not open . also shallow area baby . ground lovely . 
 May 21 2009 	 stay somewhere else 	 Tropicana one old hotel strip . alot room , need update . seem gear towards interested cutting expense , , hotel nice , nearby . 
 may 21 2009 	 worth upgrade another hotel 	 hotel serious need renovation . girlfriend stay Tropicana weekend look like great value give location strip . well , really go location . room old , dirty feeling , poor condition . shower probably upgrade since hotel build . a / C unit sort work , room feel damp humid entire time . definitely well value strip , would spend little extra money next time instead stay . 
 May 20 2009 	 bad deal great either . 	 ' ve stay 18 hotel Las Vegas , place historic good . I like pool lot . 's main reason stay . section pool indoor . if get room , get tower room . room dumpy . there be really big reason stay , get tower room , not think have disappoint . stay history , stay Flamingo . 
 May 20 2009 	 Mirrors ceiling ..... endless entertainment ! 	 Hotel Tropicana place remember ! 's old school . Perfect stag hen party much family honeymooner . the food site poor Las Vegas pool crack room good size . location fantastic right middle need . good hotel area probably bottom three character cater need . be look luxury , well ... be look wrong hotel ! 
