expensive 	 extremely expensive consider state . public area beautiful , however room terrible . stay two night previously Harrington Hall ( 4 * ) far well half price . room need total renovation . tea coffee make facility . bathroom poor shower gel shower attachement tap therefore could stand . corridor extremely noisy well . great location . 
 lovely building great location beware ` ` extra '' 	 first qualifi : stay Starwood point . lovely hotel great location - walker runner , Green Park , Hyde Park , Kensington Gardens doorstep . also easy walk Underground West end theater . beautiful area serve tea day drink night . grand space . pay privilege . one gripe layout hotel nowhere lounge sit lobby . health club nice - nothing special certainly adequate . this old building , room type size vary . room clean spacious - London - nicely appoint . bathroom especially nice . service good , great - find level concierge service unpredictable . one thing one qualifier & quot ; extras & quot ; really overprice . ok , certainly great breakfast restaurant 23 pound ( be $ 40 today 's exchange rate ) . Starbucks street Marks & amp ; Spencer wonderful pastry buy less pound . also , Internet Access 18 pound per night - huge ripoff . nearly $ 500 / night hotel , breakfast internet access cost $ 75 . 
 excellent service 	 stay three night great period hotel service give staff excellent ! ! ! stay many london hotel past twenty year would problem recomende , breakfast one good london ! ! , bed heavenly want take home staff helpful I ve happy time 
 Oct 30 2009 	 top class hotel 	 would highly reccomend hotel , staff pleasant helpful , cleanliness first class , would go back 
 Oct 30 2009 	 five star service ! 	 book room hotel father partner . although stay feel service receive prior arrival worth review . contact hotel let know booking special occasion service outstanding . manager approachable happy assist request . fact go way make sure stay incredibly memorable one . for level service receive would happily stay hotel recommend other . 
 Oct 29 2009 	 dreadful - 2 star good 	 check midnight follow long haul flight . room noisey level 1 a / c unit outside window . Decor shabby , furniture old room facility non - existent . room even mini - bar call reception see could get water ( would want drink tap .. ) tell room service close would wait 6 am . story request password log onto internet . 5 * hotel without water room - get real . would never stay . 
 Oct 28 2009 	 never never never stay awful hotel 	 something look good true normally . call unexpectedly London make mistake go onto lastminute late room . 5 * hotel Park Lane advertise ' Top Secret ' - hotel soooo good not want name detail release offer good true . originally price £ 119 come book £ 99 . say point PA away take booking responsibility . oh dear . my initial joy snap bargain turn concern check tripadvisor . clearly quite lot disgruntle people . now . hell . room convert cupboard . smell terribly , terribly paint . bathroom full fume . wall cover scuff , carpet threadbare , wood chip . cupboard cheap , wonky would place Butlins c. 1950 . shower hold bath job . ; try pressure needless say expectation anything dribble incredibly low . the entire place look jaded , tired , desolate . really clsoe immediately . see face people walk - nothing glum look . room hour terrible headache fume . reception tell move hotel full . awful . I feel lastminute lot answer . earth advertise top secret ' luxury ' 5 * hotel . squalid awful . it be funny , not use many year thought would give try . never again . this hotel clsoe immediately advertise 2 star good . ; good enough manager come tell people sorry experience . late . People need tell hotel 2 * hotel 5 * . please , please , please - ; con lastminute never book hotel ! ! 
 Oct 26 2009 	 3 * hotel - avoid ! 	 tiny , dirty bedroom airconditione unit pipe go single - glaze window . bathroom tiny diry . dining room poor quality food clueless staff , incapable even make decent coffee . famous Palm Court beautiful ever , really would not bother stay hotel . wander , check lovely Art Deco public room stay somewhere else ! 
 Oct 23 2009 	 disappointing 3 * 5 * 	 first impression impressive , arrive outside entrance Piccadilly appear impressive . decamp taxi , doorman assist luggage . walk door arrive lobby area staff signage reception , unless look carefully miss map indicate fact back entrance hotel ! ! main entrance dingy narrow back street dangerous negotiate park car cab make walk road luggage ! finally arrive main entrance , , doorman greet ! inside , appear quite impressive , start look around decor tired . peel wallpaper , grubby carpet , wear furniture etc etc . check swift professional although check enquired direction room waive general direction lift ! floor room , tired decor even apparant , lop sided picture hung wall crack yellow paint adorn door frame . room , greet warm , dark , rather whiffy room wear grubby carpet , yellow cracked paint , bathroom mildew every crevice . tea make facility room large comfortable bed evident ! ! worse however , yet come ! ! evening enjoy good London offer , ready good night 's sleep , however take long time arrive . firstly , ground floor hotel ballroom company function take place . think unfortunate saty night function take place , thump base music go well midnight could feel hear ! secondly , wall room paper thin . although room adjoining door , guest neighbouring room talk internet various people throughout night ... conversation hear room ! , dissappointe experience , expect expensive alledge 5 * hotel . needless say stay time soon ! ! please buck idea potentially fantastic hotel Sheraton ..... one flagship hotel , much let organisation ! ! 
 Oct 22 2009 	 need make - over 	 way overdue review - sorry folk ! stay Xmas holiday use Starwood point - thing make hotel palatable . location fabulous - several block away Underground walk ( brisk ) away Buckingham sight . room OLD require major overhaul . upgrade suite connect large double kid - staff take upon automatically upgrade we make sure room connect ! ! email communication easy fast response . never eat dining room quite nice use many folk many mealtime ( little kid seem quite welcome ! ) . gym basement via circuitous route well - appoint . stay great ( & quot ; free & quot ; point ) centrally locate area ( location , location , location ) . London fabulous not really need stay much one 's room ! 
 Oct 20 2009 	 2 star hotel 5 star death - trap 	 disappointed hotel . first room send chuckle receptionist dingy , dreary small . wonder receptionist laugh ! bathroom horribly drench condensation , much afraid pull back shower curtain case someone still ! return reception complain , send slightly big room - 720 , presume half presentable room management reserve people complain . room initially appear well perhaps approach standard reasonable 3 star hotel . sadly bathroom complete death trap . shower pressure temperature suddenly change , cause shower head break free holder cover floor extremely hot water fall floor . sound comical time bit painful . old person child could badly injure . overall hotel shabby sorry state . stay prepared argue reception upgrade Room 720 - watch Shower Doom ! 
 Oct 17 2009 	 great location wonderful staff 	 stay Park Lane Sheraton use Starwood point . 10,000 point / nt . location perfect . starwood hotel , Le Meridian right middle Picadilly Circus seem middle craziness . sheraton right across Green Park , walk door get see Buckingham Palace 10 minute walk across park . room big quite , bed pillow comfortable . staff nice helpful . even allow we stay room 4 pm check day since Starwood Gold Members . bus system super easy use city , buy day bus pass take tour . would definately stay . 
 Oct 12 2009 	 hit miss 	 stay hotel ghalf dozen time . hit miss . big room overlook park great . lie bed see Eye Big Ben . liklihood get one room pretty small . rest room small , damp , desperate need renovation unbelievably expensive . opinion place worth punt . London hotel expensive compare rest world , place not Sheraton . expectation Sheraton base stay lot other , dispense check place . even close . 
 Oct 12 2009 	 Refurbish hotel ! ! ! ! 	 hotel qualify 4 5 star hotel ... not spend money unless like dissapointe . read review decide take chance - great location great hotel ! ! live past - complaint - 1 . ) main enterance piccadily small alley behind hotel - doorman help bag & quot ; front & quot ; door . get reception area lug baggage tea room stair shabby reception area . 2 . ) complimentary internet / computer station check e - mail - pay $ 250 $ 500 can not give couple minute computer check e - mail print boarding pass - get well service starbuck $ 2.00 coffee ( free wi - fi starbuck ) . 3 . ) hallway dark musty smell - understand hotel older old not = shabby . 4 . ) room sure upgrade year . bed compfortable price room well condition - peel paint window , old carpet , furnish - bed side lamp look like go tip . 5 ) bathroom look nice - nicely tile nice shower smell toilet leak large puddle floor . one nice thing hotel modern work room - not use walk way look nice . 
 oct 8 2009 	 Best Location ! 	 Comfortable ( Exec . level ) room . excellent bathroom - Hotel location absolutely well ! 
 oct 8 2009 	 definitely five star hotel - room big dissapointment 	 upon entrance , tea room / bar grande stylish . harpist playing look plush comfortable . service bar good also , staff friendly . where hotel fall big way room . date serious need redecoration . room stuffy musty smell everything old tatty . heater / dehumidifier room eye sore . room general small pretty depressing view side building . I suppose main attraction hotel nice location across Hyde Park . also , think hotel would get well review four star hotel expectation assosiate , comparison five star hotel , leave dissapointe . rate hotel poor need rate basis claim five star hotel , poor five star hotel . would score higher rate four star category . 
 Sep 28 2009 	 would never ever stay ; even be free 	 list 5 star hotel , be like 3 star bad 4 star good . bestfriend stay 4 night ( Sun - Thurs ) girl trip . room tired old . bathroom sink crack , carpet dirty , paint chip wall . not want pay upgrade suite ( push check - in ) , know would ' ve get room view stairwell instead . concierge condescend , sarcastic unhelpful perhaps bestfriend look younge age . go London 3 - 4 time year , stay 5 - 6 ( 4 - 5 Stars ) hotel city , get bad hotel ' ve ever stay . positive thing could say location . would never ever stay ; even be free . 
 Sep 23 2009 	 bad Sheraton ever ..... 	 Sheraton Park Tower ( normally stay ) show rate ~ $ 600 usd , choose stay rate ~ $ 300 usd . area feel comfortable give hotel positive rating location ; rest abysmal . musty room flake paint , tired carpet furnishing shower shower - head not function properly . Sheraton ( patron ) service either remove Sheraton name completely renovate property make worthy name . in end , tired property excessive rate class . ' ve stay much nice property London half price . 
 Sep 23 2009 	 stay could wonderful ! 	 long - stand SPG member , make reservation Sheraton Park Lane trepidation read negative review site . however , stay 7 night , begin Aug. 28th could wonderful . upgrade beautiful room lovely bathroom . by way , absence bathroom hair dryer outlet likely result safety regulation , cousin stay Atheneum Hotel next door & amp ; issue . many Sheraton Hotels feature & quot ; sweet sleeper & quot ; bed , comfortable bed ' ve ever sleep ! service receive remarkable , especially large hotel . staff extremely pleasant & amp ; helpful , fulfil request within minute . in addition , Sheraton Park Lane fabulous location . husband & amp ; , really walker , able walk many sight . fact , London several day need use London 's superb underground system . Green Park station close & amp ; serve several line . give location , purchase hop - on Hop - off bus ticket really unnecessary , unfortunately not realize buy . Shepherd 's Market , couple block away , offer several convenient & amp ; varied dining choice ( breakfast , lunch , dinner late evening dessert ) . , ' m thrilled choose Sheraton Park Lane & amp ; recommend highly other . 
 Sep 17 2009 	 NEVER 	 ok last stay Hotel can not stand anymore . this hotel suppose 5 star hotel bearly reach standar 3 star , except price course . 6 7th stay bad experience already also good one try faithfull hopping pay ... big mistake ! arrive thursday mention spuse join week end nice get nice room . 20 minute explain Platinium member faithfull customer establishment finaly get old park view room hotel , room really tired kind dirty , amenetie , bathroap . bad experience dinner Palm court ( rare must say ) .It even disapointe wife want enjoy one fine hotel london feel like Al multlak Hotel Ryadh ! complain every day something gesture make toward all . even well receive email Assistant manager next week ask answer survey sure usual stay parik lane must blissfull time . 
 Sep 16 2009 	 dire need refurbishment be well Travelodge ! ! 	 travel London frequently mix business pleasure . I book stay hotel lastminute.com 's secret hotel deal . result achieve good rate . pay full rack rate immediately check upon enter ( investigate ) room . I classic room . unlike reviewer , view not bad . room keep temperate mobile air con unit - something one expect one be allegedly 5 star venue . the room size fine consider central London location . the furniture fitting much old ( not mind classic look ) shabby . the bed sag middle . the bathroom clean 's thing say favour . advertised rain shower head make think nothing else might get modern shower arrangement , . 3/4 bath indeed rainhead shower unit difficult enjoy experience one wrestle shower curtain scene place Psycho ! ! mini bar remove . water provide . there kettle , one request tell would order room service . price apart , long wait general inconvenience call cup tea iron one brought promptly request ( promptly ) .On plus side ........ staff pleasant helpfulPalm Court bar goodlocation excellent 
 Sep 13 2009 	 Hotel room need update asap 	 Booked hotel 7 - night stay point despite read so - so review site . save grace hotel great location ! ! ! management team pleasant efficient answer question prior arrival . Shepard 's Market near provide pub restaurant option within 5 minute walk . ( skip El Pirata around corner , worth price tapas ) upgrade suite first floor , barely overlook roof top restaurant ( mean view window ) . room 101 ' update year : carpet wear dirty , floor board creak , bathroom light fixture mis - match , shower curtain 1 " tub result floor every shower . hair dryer , nowhere plug bathroom . perhaps one stay room time layer dust desk top tv . housekeeping never clean / replace coffee cup , 4 day call get replacement . hand , quick provide slipper extra pillow soon call . vacation two couple , luck get well room . room condition space barely enough lay suite case . hotel restaurant breakfast over - price ! ! 26GBP continental breakfast buffet outrageous , even central London . next trip London , perhaps try 2 spg property close . 
 Sep 8 2009 	 Crown Jewel 	 stately gem class character prime location . enjoy large well - equip room , spacious modern bath ( heat towel rack lovely touch ) , friendly service , elegant Palm Court lounge . arrive , taxi driver seem know 's convenient bring guest Brick Street entrance , may wish specify sure . 
 Sep 8 2009 	 oh dear oh dear oh dear ! 	 go Lastminute.com Mystery , work well past time disaster . hotel cheek proclaim 5 * idea . room 6th Floor tired . bathroom like victorian Spa old chip tile , expose drill hole previous attach accessory . room overlook scruffy inner courtyard constant whir piece machinery listen dare open creeky window . there bath robe promise booking . iron board present iron ! find housekeeper not speak word English almost play game Charades ten minute get understand need iron almost unusable due burn underside . brekafast extortionate £ 20 still charge tray charge want bed ! probably spend 1000 night hotel room life , first one Coffee / tea make facility room . request Room service take age deliver bedroom hang around expectantly await tip provide something room first place ! plus side Conceirge brilliant arrange phantom ticket we short notice generally helpful efficient . overall however will not rush back hurry Sheraton chuck million pound serious cosmetic surgery hotel far well standard obtain less star rate hotel London fraction price . the place seem almost desert people mill around . perhaps word already get around stay clear 's turn mystery hotel heavily discount . 
 Sep 7 2009 	 definitely 5 star hotel ! 	 pick hotel list 5 star property Expedia . DEFINTIELY 5 star property . 3 star appropriate . service location fine , DIRE need renovation . bathroom room fine , hallway hotel room overall old school . also , arrive room ready wait one . meantime , go breakfast main restaurant . food ok great , bar / lounge scene non - existent . bottom line , go renovate hotel list 3 star . 
 Sep 3 2009 	 great location be 	 book last Minute top secret hotel . apart excellent location , right opposite Green Park , poor . the room dark dingy , paint drab grey , rather tired furniture . view side another building , unattractive . tea / coffee make facility . plus side , bed large comfortable . dreadful bathroom bad feature room , absolutely ancient . shower narrow bath plastic shower curtain always swishing - yuck . supply toiletry seem random mirror shaving makeup . we use restaurant breakfast , tell £ 23.95.I would recommend hotel anyone , even cheap rate . 
 Sep 2 2009 	 5 star bit tired 	 go friend wife 2 night stay last weekend take chance Superbreak 's Mystery Hotel offer . hotel frankly need refurbishment look tired . public area ok bedroom need uplift get anywhere near 5 star rating . minimal tolietrie , bathrobe slipper . overprice breakfast partake due price alone , much well take short walk Shepherds Market Mayfair . please get rid teddy bear bed , look cute many people touch , nice . convenient car park rear £ 38 per night . overall enjoy stay offer price would dissapointe . 
 Sep 1 2009 	 GREAT LOCATION ..... hotel need Work ! 	 SPG member , friend . stay Park Lane year ago , happy location ( love walk hotel make easy ) , know grade Sheraton Hotels would stay summer . upgrade room lovely bathroom , separate shower , view Park .... furnishing even garage sale quality .... chip leg , ancient dresser drawer would open . call bathrobe slipper know room .... also call iron . bath outlet hair dryer , outlet mirror .... also hot pot make tea London ! ! ! ! room need new furniture , hotel need nice attitude ... friend complain room face alley , horrible lighting .. way treat SPG member ? need early breakfast day pick tour one staff know restaurant open ! 
 Aug 26 2009 	 solid Choice SPG member 	 SPG Gold member . got two adjoining room end hall . one bit large . room face front / park . photo show hotel make look like 's middle huge park . . Picadilly Street main drag london . lot traffic . park across street . hotel sandwhiche next building , stand alone . note , nothing standalone Europe . do not know show picture like . really do not matter thought would point out . this really prime location book . 10 minute walk Picadilly Circus , Soho . quite central london . subway stop 2 block away bus stop across street . room remodel quite nice . comfortable sheraton sweet sleeper bed . good one europe . AC work great quiet . good thing add third window sound isolation noisy street barely hear street noise . big plus noisy european city especially since hotel face busy street . staff great helpful . lobby decor classic ( would call dated ) european 50 's look . still comfortable . eat bar food one night late snack bad . tea time course hotel expensive ok lot well one london . ( tea Orangrey park fantastic ) . new small italian themed cafe ( forget name ) face picadilly open breakfast pretty decent outrageously price like main hotel restaurant ( never eat ) . solid recomend . make sure get upgrade remodeled room ' m sure do . 
 Aug 26 2009 	 Execllent Hotel good location friendly staff 	 partner stay one night hotel 22 Aug 50th birthday . choose hotel look lovely hotel exact location want . afternoon tea book Ritz afternoon , theatre evening follow meal Chinatown want walking distance . give lovely quiet executive room overlook Green Park . room nice size lovely comfortable sleeper bed . every member staff see say hello we time even walk wonderful palm court . Mr Igor Buercher extremely helpful make sure stay memorable . would hesitate return hotel next London . 
 Aug 26 2009 	 Uncaring staff old neglect hotel 	 wife recently spend three night poorly run hotel . upon check promise complementary bottle wine never deliver . in addition upon arrive room view airshaft never see sunlight . also discover room safe not work even lamp light room not bright enough read comfortably . call desk report defective safe someone security come room confirm safe working . say safe would replace room would change . repeatedly remind staff problem three day later leave nothing do correct problem , wine deliver . at check ask stay . inform clerk miserable . explain problem inform we mention computer . ask compensation miserable experience . clerk say would speak manager , five minute return offer 1500 Starwood point . voice displeasure upped offer 2000 point . woefully inadequate compensation lousy experience . manager could not even come talk we directly . wonder hotel poorly run . shock Sheraton name associate miserable hotel . place avoid unless masochist . 
 Aug 24 2009 	 good hotel - excellent location 	 concern stay hotel consider mixed review note different travel site ; however , impressed pleased stay . room nice size modern ; stay efficiency suite . staff pleasant helpful stay . find location ideal , close Buckingham Palace major shopping area . 
 Aug 21 2009 	 Location Location Location . 5 Star Staff . 5 Star Bar 	 excellent hotel . aside 's central location 5 min stroll Buckingham Palace , staff bring place life . take pride hotel pamper guest every level . room , 644 , nice , clean large London standard . spectacular view , acceptable . bathroom long clean , nice traditional fixture . ' ve read comment water pressure true . bath full less 3 minute . ... would highly recommend hotel 's unbeatable location friendly staff . 2 min walk Hard Rock , 5 min walk Ritz , 10 min walk Regent Street & amp ; shop . bus , taxis & amp ; tube accessible . Green Park directly across street gorgeous . not miss pub & amp ; cafe tuck back behind hotel Sheppard ' market . I can not wait return . ~ Barrett 
 Aug 20 2009 	 well situate well appoint 	 fan Starwood brand , happy experience Park Lane . centrally locate - within walking distance Buckingham , Fortnum & amp ; Mason , West end , Piccadilly , Canada House , National Gallery much more- Park Lane pleasant hotel . staff friendly attentive - especially Palm Court ( everyone great ) bracewell ( Anne , especially great ! ) - Citrus need pick pace lead charge hotel ; one meal disappointing , could not help think much possible . like acknowledge staff hotel , Park Lane excel : clean staff front desk , people truly pleasant . will back . 
 Aug 17 2009 	 look elsewhere . first sheraton ever stay would last . 	 long queue check cause old system . dingy room public area . noisy airco cold wind blow even low setting . noise ventilator outside window open . constant slamming door room service / housekeeping . voice neighbour clearly audible also airco . tea coffee make facility . tiny bath / shower scald high pressure water wet shower curtain cling back . never ! well , location good , advice , stay enjoy London . 
 Aug 12 2009 	 free weekend night ... mare ! 	 like spend night smelly room , old worn mattress , tear curtain , scald shower , noisy a / c & amp ; noisy bathroom pipework ? Use award point book overnight night Park Lane Sheraton Hotel . reward bad hotel could offer you . as member Starwood Preferred Guest free weekend night award use September . book 8th August one night king size bedroom . receive confirmation offer upgrade executive room park view £ 40 . thought would treat partner , book upgrade give card detail . get room upgrade , get bad room building . wake 5 pipe noise bathroom ( like Scotsman play bagpipe bathroom ) . leave , never return ready write warn fellow traveller . 
 Aug 6 2009 	 Grim date 	 Stayed one night pick location central position . parking garage great motorcycle reasonably price . reception area strangely place rear hotel small . room grim dark crack , marked paint damp , peel wallpaper . bathroom ancient , crack tile grubby . shower good powerful set midget . shower curtain waterproof floor swamp . not think bathroom refit since thirty ! noisy , portable air conditioner make humid night bearable . good thing room sweet sleeper bed . when check several people reception complaining . spite arrange late checkout key expire lunchtime trail back get one update . next time go back Waldorf - Hilton much well . 
 Aug 5 2009 	 Great Location 	 location great could walk site Tube also block away . hotel clean everything need . would recommend . 
 Jul 22 2009 	 London Rocks 	 1st trip London stay Park Lane Sheraton ( Suite ) 5 night . SPG member try stay brand one not disapoint . not big opulent Sheraton Park ( Sydney ) , really nice hotel great location , shop / cafe , Buckingham Palace short walk , West End theatre district . if be walk hotel ( bag ) nearest Underground Station ( Green Park ) 's easy bag go lane main street entrance go reception laneway . way not drag bag etc cafe area . laneway access also taxis pick up . the suite lovely ( bit cosy ) , awesome shower usual , great Sheraton Sweet Sleeper bed . try interesting cold drink reception every morning , ( we ) strange flavor idea go there . the thing could negative & quot ; English Breakfast & quot ; tea room think strange England - however quick word Guest Services fix room not ready arrival , however , get 8am . the staff excellent service stay . even extend trip cab airport , discover ( airport ) one bag not cab , Sheraton already put another cab ( expense ) turn minute later - good work guy ! ! ! negative report weather UK , blue sky warm temp whole time , actually get bit sunburnt - hard be Australia . 
 Jul 13 2009 	 simply Superb 	 go check review hesitant visit , keep loyalty Sheraton book anyhow . pleased ! whole experience start end excellent . staff attentive extremely polite , superb room ( 329 ) , extremely spacious , clean quiet . layout rom well though , even extra bed daughter arrive still roomy point feel cramp . the concierge help lot arrangement , even put picnic get F & amp ; Saturday cold storage need Sunday . we leave car Sharaton Garage , reasonable cost , excellent staff car well look after . would go back ? ... flash yes ! baffle reviews regular traveller globally extremely satisfied . 
 Jul 8 2009 	 Room let - 5 star mean 	 one night stay book ' blind ' lastminute.com unnamed ' 5 star hotel.overlooke Green Park ' . pay £ 148 . manage check early . christian Reception good . got Room 718 . small room . difficult get round door wheel suitcase . old tired bathroom . drip bath tap . water hammer noise toilet cystern . old mirror fitting . standard . sure visitor US would laugh bathroom . sure room well ? 5 star mean . tea / coffee making room - poor show . hotel guide book stationery . instead strange choice glossy mag - ' Wallpaper ' lot sexual content . not use Hotel facility - look expensive . great location - attend Buckingham Palace garden party - easy walk away . have pay , would happy bunny room , otherwise ok night . 
 Jul 4 2009 	 expect 	 web site list property 5 - star . lobby location great , room 3.5 - star good . central air- noisy portable unit need constantly keep running room alternatively hot cold . hotel restaurant overprice . high speed internet hard get room . price star rating try project - sorely disappointed . could stay real 5 - star hotel price . 
 Jul 3 2009 	 great location Service 	 stay 4 night sheraton park lane mid June 2009 . location excellent 5 min walk centre Picadilly . room ok nothing special think need re - furbish give lift ( e.g . carpet wear , furniture wear ) . staff seem professional helpful could . stay would worth room 100 pound cheap . 
 Jul 3 2009 	 overprice Small Room Annoying Lobby Configuration 	 Park Lane Sheraton locate ten minute walk Green Park Tube Station , 15 minute walk Piccadilly Circus . upon enter Park Lane must haul luggage across bar / tea room ( step ) Reception . take one two elevator room floor , enter room discover can not fit little wheely suitcase bed close door . business hotel , find unplug light order plug laptop . however , reasonable wireless internet service fee £ 38 week ( stay five day ) .in room rate , least , £ 184 per night pay include neither breakfast internet service . none horribly surprising , give expensive London , pretty much high season . however , think still well . need far Tube station , instance . 
