much 	 travel train QC daughter , 7 5 . walk across street station . check - in easy . room 2139 . average . 's room here . great location . pool great . go swim , inside entry swim deck enter great White North . [ cold . ] Pony - tail lifeguard zero personality , efficient . girl love swim . freeze . concierge staff remarkable . 45 minute face - off , Roberto get ticket ( $ 220 ) 7 row ice scalper . pay pick ticket nearby gas station . thanksgiving ? american ? concierge book we Globe . incredible . the restaurant . breakfast one day . expensive . friendly . good . Waiter make recommendation girl day . problem ? return one day -- door ajar . Maid shut . nothing take . reasonably secure . bar good drink . arrive . wife sort send cocktail . much well . a great location . non - Hilton . personable . Unique . I use point pay spend , good . good . well expect Hilton . kid winter , pool gem . class French - speak child watch one afternoon swam . want jump steamy outdoor pool . and ' m runner . Old Montreal short run . long walk . 
 Sep 23 2009 	 pleasant staff surprise 	 location great business close trendy galerie like Fonderie Darling , activity Place des Arts , chinatown quaint street Old Montreal . staff friendly , helpful knowledgeable , lifeguard concierge housekeeping reception , see manager efficiently assist couple would leave passport previous hotel joke share first name . housekeeping also good locate return something have leave room check out . the gym adequate , pool look nice , though position outside reception window bit odd . fact , layout hotel spread pretty much single layer length city block little labyrinthine , fair amount walk get one place . architecture ( concrete glass - in green terrace ) much reflection lot Montreal 's boom Expo 67 Olympics 76 , give slightly date feel , rather Austin Powers cool might have . my standard room decent size . , bell whistle , staightforward , clean , sufficient . for taste , would pick something little personality , 's chain convenience chain absolutely fine . complaint . 
 Sep 11 2009 	 good location pretty hotel property professional staff 	 hotel locate center downtown Montreal across street Metro station within walk distance Art museum , shopping St. Catherine street Old Town Montreal . hotel property surround garden , water feature , offer great pool well equip gym feel almost like resort middle city . concierge offer many good suggestion moderately price restaurant area would not find without suggestion . 
 Sep 9 2009 	 Hilton make difference stay Montreal ! 	 excellent time Hilton ! first time visit Montreal Front Desk ( can not remember name ) Concierge ( Roberto ) friendly , helpful make difference stay . make reservation we , print direction Quebec City day . Room Service fast outrageous thought would . time hear people open close door hall way , extent noise . not realy bother we since tired problem sleep . our hotel room clean , spacious newly renovate . shower head nice strong bed super comfortable . pleasant enjoyable stay . there outdoor heat pool life gaurd kinda cute look . ; DIn morning , timmy be across street , along Mcdonalds , food court VIA rail station . the Hilton heart downtown Montreal , within walk distance St. Catherines Centre street ... although be well take $ 8 taxi ride centre street be heel . = ) would recommend stay hilton . 
 Sep 6 2009 	 pay 	 whim vacation quite literally start conversation like ? & quot ; wan na go somewhere weekend : & quot ; end Montreal Quebec ( first trip province . ) credit card reservation decide go see could come ; unfortunately idea land we ' bonaventure ' ; tell convention go day ; course mean room right convention room event still go ; bagpipe 8:00 night . room basic ; two queen bed , carpet , tv , view city ensuite bathroom . worth price pay hotel room . ask anything could recommend since town girl front desk say & quot ; everyone town ; not time discuss trivial matter . & quot ; hotel lobby dead ; else ? one point night fiancee lose cell phone cab ; play tag phone company cell phone try find ; cab driver say would drop we -- trip front desk five minute later ask woman anyone drop cell phone outside . tell we . wait cab drive outside thinking would see . twenty minute wait fiancee go back front desk talk sweet man go & quot ; sure one drop cell phone ? & quot ; look behind desk say & quot ; phone one . drop 2 minute friend ask . & quot ; upset stay ; actually leave hotel . since two hour manage get full refund . not know go bad day , , would not stay . fact stay another hotel disgusted service tell give we suite Bonaventure 's price basic room . 
 Sep 6 2009 	 great choice Montreal stay 	 love serenity roof top garden . lush foliage seat arrangement along walk . large size pool pool area lovely . room nice , spacious , newly furnish . tapas bar restaurant wasvery good open 11:30 Saturday night . apparently new chef Portugal . hotel conveniently locate . downtown across street Amtrak station . Buffet breakfast do nicely , good pastry , etc . small set stair without ramp various level hotel could problem people . would gladly stay . . 
 Sep 2 2009 	 great stay heart Montreal 	 Hilton Montreal Bonaventure great location downtown quick acceess Metro . room bit date , property interesting clean . pool amazing ! concierge quite knowledgeable help we find great brew pub ( Dieu du Ciel ) , well several wonderful restaurant . 
 Aug 31 2009 	 not like noise not come hotel . 	 stay hotel 2 night past weekend . first give room right staircase , went exchange another room near another staircase . lot noise people talk cell phone late night clean lady chat loud day . give exchange room figure probably everywhere . find 2 spider room . spider web bathroom . bed bit soft taste work anyone back problem . location ok . 's right downtown financial district . neighbourhood pretty dead . price pay , bad . go back hotel however . 
 Aug 27 2009 	 Fantastic Arrival Departure 	 stay luxurious 1 bedroom suite living room piano ! can not beat value entertaining friend Montreal area . staff friendly efficient , accommodate . hotel manager , tend critical . I find room clean well maintain . great big THANK managment upgrade , definately recommend hotel collegue . 
 Aug 10 2009 	 city centre Hilton hotel - know expect 	 arrive Montreal train , hotel locate directly across road rail station . also couple minute walk nearest Metro station , Hotel connect directly & quot ; RES & quot ; underground network metro station , shop , restaurant , etc . indeed , find get destination across Montreal network tunnel far interesting above - ground ! check - in straightforward painless process , staff friendly . the room perfectly standard Hilton fare , although $ 15 packet nut $ 5 bottle water provide room unsuitable travel young kid ( quite grasp concept hotel price ) . would preferable item keep minibar instead table . odd dial button bathroom loose , otherwise perfectly clean well - equip . we not sample food hotel 4 - day stay , prefer instead explore city eat wherever happen feel hungry ( , alternatively , food court underground network beneath hotel ) .The swimming pool excellent - heat 30 degress celsius , perfect pre - breakfast late night dip . get busy around 10 am , sunbeds premium suggest arrive around 9 am intend snooze day away sunshine . would come back ? well , nothing wrong hotel , think would try another hotel downtown Montreal return . not quite seem relaxed atmosphere Radisson , example . 
 Jul 31 2009 	 terrific hotel great location great service 	 stay four night via Priceline really please . problem first room either near elevator shaft pipe hum would wake we . state problem move different room comp would parking . yes , layout little strange , certainly offputte . room large nicely furnish , reception area , pool , gym , bar first rate . short walking distance downtown old city . hotel staff interact courteous knowledgeable . would stay sure . 
 Jul 29 2009 	 Hotel okay . 	 first , give we bad room place check , right elevator shaft ! immediately go reception complain , get quieter room . place maize , hard navigate . mobility problem , not stay . room 2 glass . give ? business center computer expensive SLOW . also hhonor member , give we paper . staff bite pretentious IMO . would rather stay & quot ; old & quot ; Montreal . 
 Jul 25 2009 	 comfortable ! problem ... 	 husband & amp ; stay hotel 2 night International Jazz Festival . first good : bed extraordinarily comfortable ! want get . room nicely decorate modern , foyer & amp ; hotel lobby . truly enjoy rooftop pool , warm comfortable temperature , long day sightseeing . like elevator take we away activity quiet lobby hotel . metro conveniently locate building ( long long walk ) . problem : signage first . difficulty find hotel , even address & amp ; map , sign side building . driveway easy miss sign . frustrate drive town rush hour . check , tell choice follow room : room 2 double bed , room queen bed . upon inquiry queen , discover actually queen pull - out sofa locate suite , hotel already rent bedroom portion suite someone else ! ! ( note book room low rate priceline.com ... excuse offer pull - out sofa call bed ! ) choose double bed , satisfied . another problem : room grassy weedy area outside window junk lay around , mostly appear unused electrical fixture . ugly make view look like something cheap motel ( post picture . ) addition , hallway door open onto junky area , allow anyone open stand right outside window , even though 12th floor ! actually stand next window wear next nothing door open , quickly draw curtain , leave room darkness . since visit coincide jazz festival , major event Montreal , ask concierge get ticket particular concert . look event calendar , say event invitation could not go . helpful . later walk around city , enter Hyatt ask concierge concert . even though say guest Hyatt , concierge friendly , make call , draw we map show we exactly go . go venue concert buy ticket . Hilton concierge able figure . ( Hyatt concierge also recommend fabulous restaurant ( Restaurant Julien .... great food , great service ! ) ) .and finally , although hotel lobby room elegant comfortable , hallway carpeting look 30 year old , fray threadbare place . even problem , would stay get good rate . would pay $ 200 / night hotel . 
 Jul 18 2009 	 almost perfect practically cloud serene peaceful 	 Hotel top two story block - sized downtown office building private elevator , convention space directly beneath . Lobby 's middle , room split - level around perimeter four courtyard . two patio bar / restaurant room lobby form two courtyard , spectacular outdoor pool third courtyard , serene rooftop garden fourth . garden plentiful , truly unique space peace busy city . enter 900 Rue De la Gauchetière Ouest , Montreal , QC , Canada Google Earth will see driveway entrance , pool garden . garage underground . waterfall fountain everywhere ( even pool , open year - round small indoor entry ) . pool comfortably warm smell chlorine , surround lily , flower mature tree . study fire exit graphic will quickly get layout . yes , must go 1/2 flight shallow stair get room , baby stroller could challenge . go anywhere Montreal , will climb many stair lot walk . let porter handle luggage . price Montreal high everything tourist would want . cheap place local go eat , not bother unless be tight budget . go Beijing Chinatown good , affordable meal . get restaurant recommendation Chantal Concierge desk - never steer we wrong . Gibby 's Old Montreal , Vertige , nearly everything eat really fabulous , presentation service ( price ) beyond compare . avoid Cora 's ( 6 - block walk ) breakfast unless want dull , comparatively inexpensive impressive look meal . I find $ 10 / day fee in - room wire wireless internet access generate quite casually - dress folk lobby area ( unlimited free wi - fi ) . try every trick know get free signal room ; luck . may de rigeur Montreal , look ridiculous business traveller ( make comment lobby ) . every hotel town free in - room wi - fi , one . hope fix issue . staff courteous professional , stylishly dress , bilingual . room completely quiet unless get cry baby adjoining room . self - parking $ 17 / day & amp ; . want use car , be $ 25 / day valet parking come go like . uncommon downtown hotel . bed comfortable , comforter two sheet -- nice . bring pillow -- pretty tall . room nice , roomy , clean , well - appoint . nice closet , dresser , tv , electric outlet , bathroom . every room view courtyard skyline . Mini - bar mean 's refrigerator use . Roomy desk / work area nice office chair . minor maintenance issue , seem pretty normal hotel -- need tell someone want stuff fix . fitness center usual machine huge unused , additional room yoga mat & amp ; pilate , locker , more . about 6 block walk Chinatown , 9 block Old Montreal . Metro subway station basement , could get anywhere town without car ( subway train coordinate bus route ) . train station across street town travel . two block freeway exit , gps come handy wish drive town . lot one - way street , sign French . print English see hotel ( ) menu . local driver pretty aggressive tailgating , yet incredibly courteous turn . gridlock common . cab good local transportation . rent bike $ 5 / day automate BIXI kiosk nearby ( be town ) might struggle find empty slot return late night bike group . very nice hotel -- would stay , be pricey ( $ 150 / night convention , $ 225 ordinary folk , plus tax , tip , parking , wi - fi , etc . ) . price high everything town , be beautiful , food chart . would come back restaurant nearby . 
 Jul 14 2009 	 fussy traveler excellent experience ! 	 title read : ' m fussy traveler . expect get pay . ' ve work hotel restaurant industry expect receive level service deliver . experience Hotel Bonaventure excellent . moment arrive morning check ( reluctantly ) find superior hotel excellent location . never experience negative item mention reviewer . true step layout bit labyrinthine , trouble locate room hotel amenity . hotel conveniently locate across street Gare Central Bonaventure Metro Station . wife delight find Montreal easily accessible . not want cast aspersion , reviewer say hotel locate near food completely mistaken . large & quot ; food court & quot ; locate inside Gare Central . , say & quot ; food court & quot ; , not think fast food blight local mall . food court large variety cuisine 5 - star dining experience certainly great place quick lunch bite eat meal . my wife amazing time Montreal hotel significant part experience . return city , stay Bonaventure . 
 Jul 14 2009 	 Nice Staff 	 stay Bonaventure . call ask every room accessable . tell would fine . alas , floor accessable four set step . strange design , rather like maze . hotel well situate close many attraction . use underground walk many place rain . great bakery . staff helpful valuable suggestion . executive lounge o.k . fanastic , like European Hilton executive lounge . serve appetizer night vary . staff friendly . pool always crowd not rain always impossible find chaise . would return again . go great steak house name Vargas . 
 Jul 14 2009 	 good stay great location 	 good location , arrive Montreal train get hotel underground passage 5 min . nice lobby , comfy bed wonderful pool . reception people bite distant feeling , service staff great . hallway look date . recommend walk around underground area , lead right major shopping stree St. Catherine , great 's raining take 15 min . 
 Jul 13 2009 	 good stay 	 one hotel one would search find anything quite right . staff excellent . helpful find we restaurant , tour , etc . gardens hotel add ambiance . Resteraunt good ... great omlet ... bring table ... hover wait finish . the hotel connect underground another plus ... within walk distance Old Town . great stay . 
 Jul 12 2009 	 keep come back 	 stay hotel many time , business pleasure , keep come back . hotel locate Place Bonaventure , accessible elevator street level , room locate upper two floor building . exceptionally convienient drive Montreal south direct easy access Montreal subway line via train ( canadian rail system ) ; train station directly across hotel accessible street level Underground . ready access transportation , , around Montreal key advantage hotel . folk find inside hotel difficult navigate , be never big problem . room mostly periphery upper two floor building surround nice outdoor pool heat isolated wind . pool even accessbile inside hotel , usable winter time without expose one neck head cold . ( skeptical first time winter snow grind around pool , work well . ) room ' ve large , functional , comfortable , quiet , clean , good work area comfortable bed , particularly exciting otherwise . room recent stay ( 6/09 ) issue . seal layer thermopane window fail , result window full moisture not provide much view . tub / shower bit worn look not use early morning , water not hot . hotel restaurant excellent buffet breakfast . hotel staff friendly helpful . ' m certain stay . 
 Jul 5 2009 	 Pricey stair stair stair hot water water 	 stay Hilton Bonaventure . year ago run Prince Philip elevator . previous stay poolside glorious hot Montreal spring day . forget place like Andrew Lloyd Wright maze . hour walk City last thing want climb staircase find room move Hotel Gouverneur Place Dupuis . much ambience far accessilbe / comfortable . charge $ .69 minute internet Hilton . , water bedroom ? never get warm enough shower 
 Jul 4 2009 	 Great Rooftop Pool 	 Nice hotel great setting , like garden . say , one downfall fact stair everywhere , 3 4 5 luggage fun . nice atmosphere handy location ....... 
 Jun 28 2009 	 Stairs everywhere . place like maze . would need athletic rat 	 Pricey . room lovely a / c work not . pricey . take forever day get hot water shower . pricey . pool nice , gardens nice . pricey . back hit miss time . elevator help get floor get rom go go go around . fine need workout not . pricey . give luggage run money . pricey . internet cost $ .69 minute . pricey . can not imagine wat room serice would cost . pricey . appeared lot rich middle Eastern like folk 
 Jun 22 2009 	 pretty good hotel ! 	 stay hilton Montreal Bonaventure . can not say design hotel great . kind maze actually . nice ground consider be top concrete building . nice pool area ... drink outrageously price ! corona cost $ 11.25 ! nice accomodation one King size bed pull couch . bathroom could bit big . overall : clean convinient downtown hotel . 
 Jun 21 2009 	 large old hotel nice renovation good service 	 maze ' 60 's concrete structure .... super weird floor plan place still confuse confound . start figure realize spite large , ungainliness place , element : friendly professional service , nice pool fitness center , convenient / central restaurant bar nice , newly renovate guestroom nice functional . not quaint , romantic place , get job do fairly nicely . 
 Jun 14 2009 	 Welcome Labyrinth Bonaventure ... 	 rather high expectation book Hilton Bonaventure . check quick efficient , find room take since hotel quite literally lay labyrinth ( turn hallway , go stair , walk hallway ) interesting archictectural point view . walk hallway , see garden outside , little cascade waterfall dine patio . pool look bit small photo make seem , 's diminutive mean . bedroom clean bed comfortable . set stuff , decide take shower . walk run water tub ; low behold , tub water not drain . decide not absolutely need shower right go supper , wash sink notify front desk tub drain not work ; ask room number say would fix right away . get back 3 hour later , decide try ; would say French , & quot ; Rien & quot ; nothing . tub still not drain . phone front desk , say someone would shortly . , & quot ; Rien & quot ; . next morning , call apologetic front desk attendee ask want switch room would like wait hour repairman arrive . would prefer offer we room night , since leave morning still early , say would wait repairman . hour later , call say would come right away , . trouble fix tub drain quickly leave mess . ' m sure issue service side hotel , leave rather poor impression we . thankfully , valet helpful give we great direction . not upset hotel much could , especially not get sale price . pay full price , would furious . 
 Jun 12 2009 	 solid generic 	 relatively large hotel , layout make feel intimate . location convenient main train station underground ( Metro access ) , major tourist destination . option food within walking distance unless count food court train station good fast food coffee . room generic , comfortable window open . breakfast buffet restaurant quite good , include rate and/or someone else foot bill , would pay full price . 
 Jun 8 2009 	 Pleasant consider alternative first 	 Hilton Bonaventure unusual pleasant hotel Montreal ' downtown business district . sit two level , ten story high , cryptically spread several penthouse garden , pond large outdoor pool . arrive , narrow rather unwelcome alcove foyer street level , signage ' exactly clear , ' elevator main reception . point elevator ; room spread hallway , like wheel spoke , central reception bar . ' somewhat disorient also refreshing change standard downtown skyscraper . although ' two split - level , ' let deceive ; 295 room Hilton accommodate major conference street level , four day , , busy . build Expo 67 , architecture design bone mid - century modern Wallpaper magazine gem . unfortunately , bone much modify , various attempt update modernization , feel interior space rather charmless haphazard often " hotel generic . " room basic king ; spacious , clean , comfortable bed , good LG flat screen , nice working area , read area , good lighting roomy closet . complaint layout . bathroom however 1967 small , , 1957 small , shower let - down , half decent hand - hold so - so pressure , little tub absolutely nowhere put sundrie . however , well - place well - light shaving mirror pleasant thought , give hard shave hotel room dim light distant mirror desk - level make - up mirror — in word , norm . hotel sit quite far east , border old Montreal block busy St Catherine ' , good spot tourist , bit slog want get touristy area hang interesting urban neighbourhood . staff level exceptionally pleasant ; housekeeping efficient always say hello , desk staff helpful , door staff prompt concierge desk always quick , courteous offer we nice dining suggestion . hotel restaurant wonderful open deck border pond small waterfall khoi ; appeal sunny morning ( culinary destination ; give diversity volume epicurean delight Montreal , eat like penance ) . really like quiet , relax interior open space , pool restaurant , interior view plant pond . ' like irritate green blink light smoke alarm , fact blackout blind half inch short thus room flood light crack dawn , efficient noisy AC , small bathroom , coarse toilet paper fact get invoice phone call even ' voice mail five - ring answer leave call ! level service would pleasant wake newspaper door , luck . although great stay sleep well , give Hilton online price point — which hover much high many central hotel — I would incline try another venue next time round . 
 Jun 6 2009 	 great outdoor pool 	 stay Hilton Bonaventure attend conference hold hotel . find hotel quite good . the hotel build building feel like be ground level . quite well architecte create illusion . outdoor swimming pool heat quite enjoyable even winter . hotel conference facility good , wireless internet available throughout lobby meeting area . room wire internet available fee . the hotel base downtown Montreal close shopping , cinema , restaurant , club . bonaventure train station hotel get without exit building . Montreal 's underground city also pass hotel . 
 May 30 2009 	 great location great staff enjoyable stay . 	 location hotel extremely convenient - especially use Gare Centrale . also directly link Metro . staff extremely friendly , helpful courteous time . food also extremely well present taste delicious . try Nachos ! negative would room little dark . however , seem common many hotel . 
 May 21 2009 	 great stay 	 spend nine night recently please every aspect . room service excellent . staff ( especially executive breakfast lounge ) professional , efficient polite . room spacious well appoint . fitness room clean well equip . pool warm ( cold ) attractive . close rather early though . bar close early standard , especially Montreal . hotel location perfect business vacation stay . close excellent shopping . meet room spacious well ventilate . hear one complaint anyone hotel . 
 Apr 13 2009 	 4 Star Hotel 	 good : linen bed nice hotel easy location get around ( near metro walk distance old port ) , be it . the bad : horrible view , date lobby noisy , musty room permeate smell chlorine pool . be go stay Montreal , try something else . not waste money . want hotel caliber ( 3 star ) , get lot cheap elsewhere ; want 4 star hotel Montreal , try something else . 
 Mar 30 2009 	 Perfect location kind staff 	 really good time hotel . room clean big enough . view not good , face dirty - strange park , bright enough . big fan Hilton Hotels , would definetly go back one ! perfect location , right next Place Bonaventure . good subway connection . friendly staff . perfect couple night ! 
 Mar 22 2009 	 good couple business travel 	 husband come back weekend away Montreal stay . room nice clean . bed super comfy 5 pillow choose King room , unfortunately none husband like result sore kneck . room nice size , spacious high ceiling . hardly drawer unpack clothe , hasle . bathroom clean fair size , fan ( keep stay hotel fan bathroom not understand ? ? ? ) . really like rooftop pool , would not recommend young child . shallow part 4.5 & quot ; . opt eat hotel restaurant price option . hotel central everything ( Bell Centre , shopping , dining , short distance casino BioDome ) . would stay husband , would choose another hotel bring daughter . fyi- hotel 's parking lot . pay park underground . prepared give key attendent let car spot , mean car park front car move attendent whenever car get . 
 Mar 22 2009 	 average 5 - star hotel . 	 stay one night , 7 friend 16th birthday . the hotel locate top floor build wich pretty unsual . lobby usually see hotel hotel . outside pool one highlight . probably one good Montreal . souther Side however offer bad view . ( highway , train line , etc . ) .overall , nice hotel . reasonable price offer . 
 Feb 19 2009 	 hate hotel 	 stay hotel honeymoon Montreal . visit Montreal heat unreal . 34 degree celsius everyday . decide cool drink pool . quite busy poolside , one waitress run around serve drink . understand busy sit patiently wait drink menu bring . wait 25 min even come near us menu . waitress go break , waiter busy clean bar notice anyone around . sit another 15 minute give wait go bar get drink . get bar , waiter look cleaning say , 's food order today . say want drink continue clean bar . couple minute husband angry wait . go reception make complaint . explain honeymoon severe lack service put downer thing . not even get apology management . would not recommend hotel bad enemy ! 
 Jan 18 2009 	 give Montreal chance - look elswhere ... 	 frequent visitor Montreal , review base comparison downtown hotel . location Bonaventure great location Old Port , Downtown China Town . Self Park hotel $ 17.00 reasonable . low rating give hotel room . hotel build 1967 Expo , small sized & quot ; shoe - box & quot ; shape room probably ok . read airline move seat together accomodate passenger -so wall hotel compact squeeze guest . the newly renovate decor : horrific ! Tan bland , maroon & quot ; gray matter & quot ; chenille . ergonomic chair give son nightmare . think Hannibal Lector may actually design chair ( see photo website ) . business type furnishing much large unappeale size room . wire show behind every piece furniture , blue white behind desk , jumble black wire behind tv.internet $ 10:00 per day ! ! sheet nice new , tuck . everything come loose ... bathroom size might expect cruise ship . inroom coffee $ 2.75 per ( pod ) cup , complimentary coffee anywhere morning . small window , horse blanket type covering , dark day . pool interesting deep- 6 foot part . pool attendent bite unfriendly . actually never give review low . two point give staff , seem ok.montreal historic beautiful city , please advise check hotel . 
 Nov 28 2008 	 newly renovate downtown hotel attractive courtyard garden 	 base rating property partly great rate get ( 100 usd ) . pay 300 + hotel , minor irritation encounter would likely magnify view . location : hotel downtown Montreal easily connect underground city . actual room high floor ugly office building first enter small foyer area elevator take actual hotel lobby top floor . like walk around area Montreal night . dead almost ominous . ' consider ideal location Montreal , certainly convenient enough . lobby public area : hotel layout quite atypical , something approach courtyard garden w / pool around many room situate . plant foliage garden delightful pleasant walk public area hotel view garden . lobby general seating area also decorate nicely pleasant . find variety artwork public area quite interesting . complaint hallway carpet pretty much part hotel dismayingly filthy , point distraction . perhaps renovate yet . addition permanent staining wear , end food , tray , towel , mess would show hallway constantly . staff ' seem care attend hallway . room bathroom : room stay clean , newly renovate nice furnishing odd shape . nice flat screen tv oddly - shape long corner courtyard room give we result tv quite distance bed ( none tripadvisor photo post traveler reflect odd l - shape room ) . general furniture placement strange room , bed & quot ; alcove & quot ; desk , dresser tv awkwardly fit close portion l - shape . room standard modern amenity . bed extremely comfortable , nice comforter . bathroom extremely nice - high quality material use renovation . room face edge garden light block – partly plant cover window area also part window cover would result folk pool area full view we room . altogether wish give different room location ( preferably face courtyard ) – sell time check . fact , request two bed , irritated give room single queen . live rollaway provide . internet : disappoint free internet provide . 
 Nov 12 2008 	 I d go back 	 place bury downtown building would never know find happy . maybe could big sign ? downtown pay parking drove , underground . once settle quite nice hallway bite long tunneling maid staff leave awful lot & quot ; stuff & quot ; lay around . check staff , doorman , information desk friendly informative map city suggest many place visit , shop dine . the highlight place rooftop outdoor experience would never know downtown sit back enjoy sunshine breakfast outdoor patio stream fill fish run along side . heat outdoor pool also unique refreshing well lay lounge chair pool bar . great afternoon sun . if consider place get something meal coupon save money . eat breakfast buffet see waffle pancake get not wait next plate buffet go fast . for downtown hotel disapointe not wireless internet running building . 
 Oct 26 2008 	 Smart downtown hotel 	 stay location conference early October , 2008 . location hotel great , right centre Montreal downtown find convenient able get Station via underground city without go outside raining leave . the building really ugly layout bad long walk get everywhere . however , negative , plus side accommodation great . room furnish high standard 's much view speak 's low - rise hotel facility within hotel good include pool gym . staff friendly helpful . 
 Oct 12 2008 	 great stay Hilton Bonaventure 	 arrive train Quebec . Hilton Bonaventure directly situate outside train station . however , wonderful underground network available Montreal , could remain station arrive Hilton Bonaventure . time arrive , strike action begin many hotel time Ontario . however , affect strike . staff management Restaurant excellent Hilton stay , come realise standard treatment . one highly recommend . well do ! manner etiquette commend . variety breakfast excellent probably well encounter anywhere . would stay , yes ! old town Montreal interesting . restaurant really good italian food particular really good . pool rooftop hotel provide busy city everyday . would definitely recommend Hotel . 
 Sep 16 2008 	 Excellent Service 	 receive excellent service everyone Hilton . however layout bizarre room okay . location good 20 minute walk old Montreal , 15 min walk Ste Catharine , metro stop across train station . get deal , worth stay , $ 300 / night would try something else . 
 Sep 1 2008 	 FANTASTIC 	 hotel beautiful ! love lobby 13th floor . location hotel near shop line rue Sainte - Catherine . 's 15 minute walk China Town Old Montreal , 35 minute walk gay village . this hotel perfect ! 
