Rude 	 location hotel offer little . stay . front desk staff consistently rude unhelpful exception far . concierge , maintenance cleaner friendly helpful . good way describe room patch . let photo website deceive . walkway room smell old carpet . room next vend machine make noise switch complain . towel bathroom old two tear use . hot water problem 07:00 08:30 morning . end shower time . also often flush toilet once . but override memory hotel rude front desk staff . time threaten completely ruin stay . 
 Fantastic Hotel ! ! even well staff management ! ! ! 	 stay 6 night recently honeymoon hotel perfect ! ! ! ! upgrade amazing suite 21st floor . could see Times Square bedroom window ! ! hotel perfect location access New York offer .. staff always extremely helpful concierge help we question day trip etc .. small problem heat within two minute maintenance guy fix ... lobby really welcome food gorgeous ... hotel perfect brilliant value anyone travel New York staff really make feel welcome .. would highly recommend hotel friend family ! do not rip overpriced hotel keep money holiday ! stay Park Central ! ! ! ! Great Hotel ! ! ! 
 Nov 15 2009 	 fabulous location - average room ... stay room day ? ? 	 stay Park Central two day , business - relate trip , free time explore city . hotel wonderfully locate , review note - easy walk Times Square , 7th Ave/57th St shopping , Central Park . access subway line equally close by . the room small ( average size Manhattan hotel ) , fairly run - down condition ( peel wallpaper bathroom , aircondition / heat unit dirty filter , saggy mattress ) . clean reasonably comfortable , besides ... sleep , back city . the concierge front desk staff extremely helpful , friendly , happy answer question . appreciate effort service . 
 Nov 14 2009 	 ideal location clean friendly . 	 return hotel . please stay . room clean comfortable . staff friendly , especially concierge . Times Square 10 minute walk 7th avenue , shop 5th 10 minute walk along 54th street . metro next block . the cost stay hotel middle road , think good value . 
 Nov 13 2009 	 start spreadin ' news 	 stay room 851 Oct. 29 Nov. 4 , ' 09 . major problem . town marathon . small item . & quot ; get & quot ; lobby remodel & quot ; cut edge & quot ; & quot ; & quot ; , get rid crappy music . happen lot : million put remodel think music . turn jazz , big band , oldie ? . next , call three time coffee pot not charge we , like . bathroom mold : give housekeeper bottle Tylex spray moldy caulking . reall simple , would make difference . free apple desk nice touch . like hotel , elevator , location , price . would stay , gladly . 
 Nov 13 2009 	 Nice hotel 	 modern posh hotel . drink food quite expensive , nice place stay . staff helpful room nice . towel change every day housekeeping staff good . reception area bar nice indeed . can not really fault place . kettle room starbuck next door . 
 Nov 10 2009 	 Brilliant location 	 could not really fault hotel . room spotless location fantastic . would definitely stay . 
 Nov 9 2009 	 excellent location particular staff helpful lousy follow 	 hotel excellent location , presentation impeccable , room clean comfortable however hotel service par expectation . particularly helpful staff help use phone - phone system US particularly user friendly expensive . also experience quote without various taxis boost bill unexpectedly worst charge twice accommodation . charge appear two separate transaction credit card . call hotel several time return home keep call till finally get put person , rather voicemail matter still unresolved . would recommend hotel location , caveat buyer beware ! would happy update rating matter resolve . 
 Nov 9 2009 	 good location average hotel 	 stay park Central 2 night end October quite disappointed hotel . location really great , look , not stay many night definitely go it . it also good bargaign we , since find 60 % discount booking.com . find offer like , consider location , hotel definitely worth . would never stay Park central full rate . the hotel quite old style , particularly room bathroom . nice design lobby bar . 3 small elevator ( see 5 people max ) 35 floor , one broken whole stay . nothing special room ( fridge , nothing boil water make tea , ... ) amenitie hotel . Wifi connection expensive . check suppose 12:00 morning leave hotel , clean man come knock door three TIMES know time plan leave . first time , since 8 morning still sleep , even come room . one good point : book desk broadway ticket / tour / restaurant woman nice helpful . 
 Nov 8 2009 	 location everything . 	 somewhere rest one 's head midtown without break bank , Park Central offer reasonable comfort location ideal . everything either within walking distance accessible via ' bus subway . plenty excellent etae every sort within block . Breakfast Europa ( two block ) civilised . have pre - book line problem check . room ( 11th floor ) fine ) adequate amenity clean bathroom . disadvantage room lack natural light daytime look deep central well blank face wall look . upside little traffic noise . one two minor niggle ( enough spoil anything ) : * lack tea / coffee make faciltie room * enough lift certain time ( four entire south end ) * ask movie listing Concierge curtly inform disintereste young man provide would use business centre log . * lack free internet access lobby area ( quite standard many european hotel ) * pay leave luggage day follow checkout - really part service . never charge . similar vein unable use nearby rest room collect luggage require room card access . I mention put anybody stay pass management clearly read review . overall facility pretty good hotel 's grade position . tweak could excellent hotel . 
 Nov 4 2009 	 not stay hotel . 	 get hotel really like . lobby nice check quick easy . room dirty , dust carpet , airconditione work bathroom hair tub mold ceiling . write hotel never receive response . board health would see bathroon ceiling would closed hotel . 
 Nov 2 2009 	 exceptionally bad service 	 stay week . upon arrival , hand cash accomodation . inform 14.75 % city taxis include cost approximately 200dollars extra . documentation . room clean basic . location excellent . 5 - 10mins walk time square also near central park . on third day , receive call hotel demand 100dollars extra deposit . however , 50dollars take credit card , friend receive 50dollars back either . leave room good condition , use mini bar etc duration stay . one staff member tell we entitle back , upon collection promise unfulfille . when en route JFK , realise have forget phone . decide would call hotel soon get home ( not number . ) call hotel ELEVEN time . communication skill staff implorable . tell 4occasion would call back ( never happen ) , tell another occasion hotel would not call back international number . another occasion hang on - as soon call back another staff member give hang colleague . livid . hotel past 3DAYS get simple answer . 72hour later , finally tell phone find - I would not trust staff hotel , ' m 100 % leave . realise fault leave , false promise , lack communication disrespect much I . I believe get well value money another hotel good location . false promise , new bill add , complete utter incapable management would completely deter recommend hotel anyone . these people not capable give simple answer , never mind run hotel . 
 Nov 2 2009 	 lovely hotel need 	 locate busy - enough part Manhattan ( corner 55th Street 7th Avenue ) . ten minute walk Times Square , Broadway show , Madame Tussaude 's , 5th Avenue , Central Park . subway stop right outside door ( $ 2 per single trip , good value compare taxi . great place stay be interested sight - seeing . would need get subway downtown area would not take 25 min . good size room New York , stay King room plenty space 2 large suitcase . flat - screen tv , en - suite , room service , air conditioning , comfortable bed , clean . some thing watch : Breakfast include dear . buy somewhere else . room bit dark , need lamp time . sometimes hear people corridor outside not loud . elevator slow go lobby fast go room . 
 Nov 1 2009 	 great location great service great room 	 Park central hotel one good experience ' ve ever . hotel locate great location great view Time Square . room clean every single detail . price affordable . customer service great entrance people bring luggage room . especial consideration front office manager George Jacob . kind , helpful pleasant time we . I ' m definitely come back refer hotel anyone want unique experience heart NYC . 
 Nov 1 2009 	 great hotel 	 stay 5 night sister think great . apprehensive reading review , arrival happy . shower curtain rail loose ; informed reception , within hour fix . ask fresh towel every day dry towel ; fresh towel deliver . would nice tea / coffee facility , ' ve stay many hotel not , plus starbuck next door . we stay 3rd floor not probelm lift - mainly use stair . I would stay happily recommend other . 
 Oct 30 2009 	 not stay Hotel . Rude Impolite not Care Guest 	 friend stay hotel weekend Oct , 2009 , shed ask send package ( totally 7 ) go Front Desk Luggage Room give one package . try help call hotel talk several different guy , rude , impolite , really not care guest 's request , etc ... other 6 package give ... one hotel 's employee tell faced system problem weekend , be not give pakcage time ask package , nobody know . leave hotel , find ask send stuff new hotel , ask credit card number charge expense fault HOTEL , friend . really not know package ... try contact someone hotel , say package send not even give we tracking number . obligation send package address free DOMICILE shipment really not care . also talk Executive Office Assistant though able help represent hotel surprise , rude person have talk hotel . try get stuff one helps ... not want bad experience , really encourage never stay hotel . 
 Oct 30 2009 	 Good Stay 	 great location , NQR Subway . find good base get around . good size room , however , plumbing not work first room allocate . move another room much old . request move update room . ask see choice room move well one . starbuck locate corner hotel . Lot 's deli be around . sample think great . checkout , reception print boarding pass think quite helpfull . use hotel black taxi JFK check - out . got good price think good treat . 
 Oct 29 2009 	 Geared Tourists Business : Read Full Review Better Help decide 	 point Concern ? * old style NY Hotel imply space - lack room , design sleep , socialize out - of - room relax lobby on - the - town ( charming , due design , especially vacation rather business ) ? * desk room -- poor design business traveler ( laptop room ) ? * Air Conditioning work room -- hot ; possibly turn - off season ? * window prove challenge open , give we fresh air ? * accent table 's lamp fall apart wobble utilize table surface ? * Housekeeping 's cleaning cart store hallway in - use ? * toilet maintenance day unit store hallway multiple floor mid - afternoon , go evening ( might concern ) ? * housekeeping pull bottom sheet short tall people foot touch actual mattress ? * Curved shower rod rotate downward cause shower curtain sag 7 & quot ; gap end rod ? * hot water first night ; front desk call plumber ; difference second night ; jiggle faucet find 1 degree 360 faucet provide tepid water ? * black scuff mark wall ; yes , hotel old , could splash clean paint cover ? ? point Interest ? * water volume pressure shower acceptable ? * plenty towel good - to - high quality ? * big screen flat - panel tv ? * in - room internet -- Ethernet ( fee - base ) ? * Lobby prove reasonably attractive comfortable ? * wonderful stone facade entrance * good location within couple block subway close Carnegie Hall ? ? , decide hotel work need . happy traveling enjoy NYC . 
 Oct 26 2009 	 Great Location Nice Room Good Value 	 like hotel ... room 15th floor good size face front hotel . nicely decorate , comfortable king size bed , seem roomy hear hotel NYC . good rate book early stay five day . location suit we perfectly central park ( couple block ) easy walk Broadway play , Times Square lot restaurant . subway stop step hotel entrance convenient . not come coffee maker rent one $ 10 cover week long stay . nice fitness centre . 2 people concierge 's desk helpful . 
 oct 22 2009 	 like hotel 	 enjoy stay hotel although location good expect . timesquare several block away . do not take black cab outside hotel tell stay hotel entitle complimentary ride cab actually end charge we double yellow cab would . thank pamela work bar friendly . also tall gentleman porter look we wait cab take we airport . 
 Oct 21 2009 	 ` ` stay hotel .... please ! ! ! ! ! ! ! 	 pay extortionate rate stay hotel wife October Bank Holiday weekend . 1970 's style room bathroom need urgent cleaning . low behold money pay place , complimentary tea & amp ; coffee wi - fi access charge daily extortionate rate . honestly .... least Attica State prison give complimentary coffee & amp ; clean bathroom . waste money ...................... poor 
 Oct 21 2009 	 love 	 love hotel . really love . staff nice friendly , could enough . room clean big comfortable . highly recommend hotel everyone know . central everything . 5 min everywhere . 
 Oct 20 2009 	 FILTHY mattress old UNCOMFORTABLE 	 Park Central Hotel advertise luxury hotel . hotel far luxurious . room filthy , restroom smell urine , mattresse extremely old uncomfortable . guest pay $ 14.99 internet service use business center print anything still pay additonal amount internet service pay cost printing . apple give front desk rotten . smoker allow smoke entrance hotel guest welcome smell smoke clothe walk lobby . would not recommend hotel bad enemy . 
 Oct 19 2009 	 stay Park Central 870 Seventh Avenue NYC 	 October 10 , 2009 book 3 night stay 1 night several reason . air conditioner detach hotel air circulatiion room smell like swamp . bathroom deplorable condition , shower cover mildew , kleenex holder piece toilet paper sit next sink dispenser break . complain management nothing . room $ 99.00 room well pay $ 460 . felt cheat every way . stay Park Central 870 Seventh Avenue New York City . 
 Oct 18 2009 	 great Choice - great location 	 take advantage website offer 169.00 can not beat hotel . consider high price everything manhatten , absolutely best deal ! ! read mixed review hotel 's interesting explain why . I think floor room well other . we spend 3 night . meet inlaw fly England 3 day we . come Chicago meet . lobby wait we arrive come room we . level room ( standard double ) much high floor . step elevator father law say & quot ; floor much nice carpet plusher . get room comparison continue . ice bucket glass , coffee maker coffee desk chair . also say light bright ? well , think funny go room 5th floor could see meant . it room seem older shabby . our room perfect . bed comfortable pillow soft absolutely SPOTLESS , ' m talk edges floor carpet meet wall . look brand new ! . also , acid test walk around pair white sock . tell clean room trust immaculate 3 day sock still white . bathroom like new , mold dirt shiny clean . when ever travel get hotel room , husband always say first thing & quot ; unpack stay ? & quot ; anything right always insist move trust happen LOT well within 10 second start unpack . another reviewer complain curtain close look behind sheer would see thick blackout shade pull across block light . window double pane glass high silent street noise 's something manhatten . pay regular rate 300 dollar night would expect fridge room free internet price could live without . the location absolutely phenomenalthe lobby dark side 's style hotel go website look picture not lie . it perfect stay would go back . 
 Oct 16 2009 	 great location rest ok 	 location could not beat . service ok . 4 we stay one room keep give we towel 3 . request extra several time not always come . pre - request fridge not check . also charge we $ 25 per day fridge tell we $ 25 whole stay . take charge bill though . bathroom bit rundown : peel wall paper , little mold weak water pressure . think price location though , good deal . sure would stay . 
 Oct 15 2009 	 think lift brilliant ! 	 ask room high ( 19th floor ) disappointed- fantastic view could see light Times Square , relatively quiet particular corner hotel . check early problems- realise case everyone . coffee make facility bed comfortable . think lift great , take 2 minute get hang - super quick do not seem stop every floor- save lot time . there safe room reassure . subway doorstep . neraby restaurant include nougatine @ Jean Georges- do not miss Mariella Pizza quick slice fantastic pizza go . on downside , toiletry seem poor quality not top stay . 
 Oct 15 2009 	 A+ Location Good Value 	 spend one night able walk everywhere incredible little time NYC . room ready arrive . think corporate group would expect we . give one room keep bag , ideal arrive red - eye . hotel staff control availability though , sincerely hold . solid three star hotel . recommend want see budget . Carnegie Deli next door , highly recommend breakfast central park well ! street . 
 Oct 10 2009 	 great location everything else ok . 	 stay one night apartment exterminate . location great get good rate Hotwire . room clean wall bit scuffed . wall bathroom could use good scrubbing remove mold stain overall clean . one major issue bed appear short average . 5'11 & quot ; foot hang edge bed . luggage storage charge bit annoying . 
 Oct 10 2009 	 Great 	 stay one night return cruise , arrive hotel around 11.00am room available 16:00 hour , charge $ 1.50 per bag leave bag room available . this perfect location 7th avenue , 5 min central park 10 min Times Square . this hotel & quot ; mansion block & quot ; hotel nice lobby area , room 16th floor , hallway room floor date need update . in room curtain design close protection sunlight ? staff great attitude take leave attitude , could believe morning check room 09:30 room clean knock door answered & quot ; told & quot ; placing & quot ; absolutely & quot ; sign door , ever use disturb sign sleep want use , convenience room clean ! ! bad part experience check noon , charge $ 3.75 per bag ( 4 ) leave two hour taxi airport ! ! ! ! ! ! ! ! complain tell part hotel ( yer right ) also hotel New York , stay Crown Plaza cruise stay hotel never . give two bag free charge explain guest relationship way build relationship customer ! think twice stay option . 
 Oct 6 2009 	 supercalifragilisticexpialidocious ! 	 great hotel . reception staff friendly helpful even let we check little early . several people seem problem lift , find easy use efficient . room clean get keep good standard throughout week long stay . bed comfy BIG , plenty storage space adundance towel toiletry . complaint lack decent water pressure tea/ coffee make facility room . be not expect charge store luggage check less $ 4 end world . airline check - in facility nice touch . we corner room 11th floor great view towards Times Square , Central Park favourite , Carnegie Hall . well locate , Park practically doorstep Times Sq short walk away . recommend Citysights NY tour , great value informative . make sure try La Parisienne breakfast , couple block towards Central Park , great pancake , steak egg die for . I ' ve recommend Park Central sister holiday next year do not think beat value location . book Hotwire get great deal . I would careful though , hear Albert Anastasia shoot barber shop :0 ( ask Google ! ) 
 Oct 6 2009 	 love place ! ! ! 	 stay 5 night really love place . location excellent , central park time square within 10 minute walk , hardly use public transport . also street carnegie deli well big cheesecake ever ! ! ! hotel modern , clean staff helpful polite . sure lift system typical really big deal ? never wait long lift not slow ( 20th floor ) Room clean every day bed confortable . another hotel mess booking ( morningside inn ) little choice go hotel , soooo thankful hotel perfect ! ! ! 
 Oct 6 2009 	 Excellent hotel great value ! 	 great location , good clean room . problem recommend hotel anyone . good thing value - book hotwire get great deal amazing hotel . minus wireless include . 
 Oct 5 2009 	 not stay PARK CENTRAL 	 take mother first time NY 65th birthday . excited whole idea . decide stay centrally location willing pay price close excitement . check , disappointed find share king SIZE BED among three US . . book month ahead time pay 3 adult surprise proper room reserve we . request two bed next day . glad 2 bed remain stay next night , leave tip cleaning lady hope clean room return . wrong , clean lady outside room every morning wait we leave collect tip . bed make get new towel nothing else . ice bucket never clean 7 night , carpet vacuum , bathroom clean , shower curtain smell . stop tip 3rd night . day , nothing do room , cleaning , towel , bed making , nothing .... call front desk , wait 2 hour get new towel . arrive late room , wait another 2 hour long . hallway every floor strong dog smell . staff friendly . thing like location . never stay Park Central . pro con : pro : location . con : smelly hallway , smelly room , smelly shower curtain , old furniture , uncomfortable bed . small slow elevator . 
 Oct 5 2009 	 excellent value beautiful hotel 	 let us start location - could ask anything well hotel offer . easy walk Park , Columbus Cir , Times Square , etc . additionally , hotel extremely sophisticated look room , NYC standard least , quite large . far logistic hotel- cleanliness , promptness service , navigatability , etc . - nothing praise . oh , find staff professional , personable courteous . brief stay trip look forward book room Park Central stay little long . 
 oct 2 2009 	 treat Badly 	 stay hotel recommend group ( 3 woman include senior ) go check room notify hotel book move we property near Times Square , Paramount . complain location ( want near park away chaos TImes Square ) ask compensation ( Paramount cheap ) skillfully move hotel lobby ask wait 10 minute ride hotel . attempt communicate ignore . 
 oct 2 2009 	 great location room not clean could 	 location hotel can not beat price , room leave wish spend little clean room . shower mold several area bathroom wall . generally room not feel clean could 8th floor window face 55th St , street noise Saturday night club keep awake late night . doubt would stay . 
 Sep 30 2009 	 great location smelly room 	 stay room 1136 late August . overall hotel great location , close subway within walk distance major attraction . hotel staff ok major compliant room 's smell . enter room hit musty damp smell . spend alot time room NYC see sight . not worth time etc change room 4 night stay . feel since spend much time sleep . hotel good conscience rent room know smell bad ? ? ? ? 
 Sep 29 2009 	 great location need renovation . 	 stay twice last couple year . first time put we dark dingy room immediately go back reception ask another room . pleasantly surprised give we much big corner room view times square ! second time stay , situation even though request corner room month advance give dingy , stain carpet , moldy smell room . accommodate & amp ; could give another room hotel full . BS . positive side , location could not well . Broadway show around corner & amp ; time square walking distance . never feel unsafe walk around night subway step away . also bed pretty comfortable . pushy get well room give dingy one . find good pizza NY Lombardi 's ! try ! also Carnegi deli really good ( good pastrami sandwich ) & amp ; be pretty much next door . 
 Sep 28 2009 	 good location charge erroneously service 	 location hotel simply great . step Time Square , few get Central Park . fairly clean people kind . useful tourist information desk . I one thing recommend hotel : check mistake bill easily clarify reception desk ( charge meal ; eventually find signature bill signature mine someone else give waiter wrong room number . ) problem credit card charge hotel twice , right amount additional ( guess wrong ) charge exactly amount meal . try contact several time via form website receive reply . ask reason charge ( bill signature ) ! actually additional charge less 20 buck , wrongly charge ? reply email ... good . 
 Sep 26 2009 	 Meh . 's bad other say remain bad option NYC . 	 stay 5 night early month nothing particularly nice say . hotel well - locate plus . lobby newly renovate decent make way elevator , quickly realize kind place be stay . elevator exceptionally slow - typical old hotel city , one - corridor fairly small . floor smell like urine hallway 5 day , pleasant . room dingy musty . despite fresh coat paint new carpet , hotel look scummy well - wear . shower pressure minimally hot water , except occasional flash boiling - temp make show fun experience . hold one glass tumbler pour glass bottled water find lipstick smear mark - clearly clean anything towel since ' know . nothing would ever compel stay hotel . disappoint grateful late night office not spend time need . 
 Sep 25 2009 	 stay away ! ! ! 	 hotel , far disgusting hotel ever stay . MOLD ( bathroom , curtain ! ) . staff bunch nasty jerk . except housekeep woman , nice . the good ridiculous story ... girlfriend send fruit basket specific instruction deliver room . well , work 17 hour straight noticed message phone ( work course , could retrieve message ) - tell basket .... call lobby - answer . travel DOWNSTAIRS boxer dress shoe find someone get basekt - charge $ 4 dollar ! ! ! ! say store . guy nasty too . also , menu say room service til 10 pm ... true close 9:45 reflect menu . bed old uncomfortable elevator stink . room smell . signage lobby . hung sign room service please nobody come til 4 pm ! high speed internet access slow . far bad hotel ever stay - would rather sleep Central Park homeless . 
 Sep 24 2009 	 Excellent ! need ! 	 Excellent ! careful negative evaluation hotel post . agree room floor lucky assist well housekeeper other , overall view hotel great . location fantastic ! front desk , name Michael , extremely helpfull gentle people luggage storage well . lift & quot ; intelligent & quot ; slow definitely . People need understand way work simple . not need brain & quot ; upgrade & quot ; . wonderful stay . return certainly recomend anyone . 
 Sep 24 2009 	 money go somewhere else . 	 stay wife seven night . New York brilliant . hotel ok , ok . got hotel 1 pm , tired could not check til 4 pm . room ok damp smell cupboard clothe hang . condition room average hotel would expect hotel average nightly cost £ 180-£190 pound . bath shower . tea / coffee make facility , fridge / bar room . mattrass see well day uncomfortable . main problem view , lack . room middle hotel window look inner courtyard room permanently darkness . necessary light day see anything virtually daylight come . really able spend sort money shop around something well sure would not look far . 
 Sep 22 2009 	 Dog Hotel 	 hotel clean . ask maid clean bathroom really well . big problem hotel never mention allow dog stay website . , hotel advise check give option sleep floor dog . big dog lover want stay hotel dog . hotel notorious clean dog add germ environment . friend allergie good environment . hotel allow dog advertise want stay kind environment . also , staff rude helpfull . 
 Sep 21 2009 	 great hotel location price ! 	 recently buy reservation via Priceline Park Central . since first time New York City expectation give people . tell hotel room would small cramp expensive . since make reservation Priceline would get bad room treatment . find opposite true . room spacious , clean hotel staff accomodate . Priceline not get specify type room want tell would get stick king - size bed unless pay extra . case . front desk person ask would like two double bed , say yes charge extra . nice surprise . love 's central location would definitely reccomend friend ! 
 Sep 21 2009 	 Manhattan minus rip - off price tag 	 never America , determined find hotel NYC would serve excellent base could walk everywhere , get subway . arrive NYC , catch bus alight Port Authority Bus Terminal , actually walk hotel , pass Times Square . room sufficient ! large comfy bed typical fixture appliance . everything associate NYC within reach hotel - Central Park , street fare , Times Square , Broadway , Cargnegie etc etc etc . not expect staff fall - actually quite happy thing - not contact staff much room service daily , suit we fine ! need subway , yellow line stop right side entrance hotel . happy travel ! ! 
 Sep 18 2009 	 Dirty room A / c cool 	 room dirty - bathroom wall wipe . hair everywhere 1 towel . call ask towel wait close hour deliver . wall paper thin well . stay . positive - location . 
 Sep 18 2009 	 location ... location ... location ... 	 arrive hotel long flight extra long wait JFK immigration longing flop comfortable room ! request non - smoking room - room smell strongly smoke . reception unable move we another room night hotel fully book offer freshen room - open window ! ! ! ! room adequate size - little shabby ... do not eat drink hotel comment service food - concierge desk well man ( womane case maybe ) find staff informative helpful . the location hotel definately 's good selling point - subway station locate next hotel numerous cafe locate within minute walk . also Times Square Central Park doorstep . overall - bit pricey side - 's location compensate complaint 
 Sep 18 2009 	 never bad experience hotel 	 everything Park Central hotel awful . moment get deal mess call & quot ; valet parking & quot ; annoy . staff front desk could rude . never see anything like it- act like bother want check - in , check - out borrow pen sign food deliver . expensive hotel -- people pay good money stay staff need give seminar hospitality . room smell , feel dirty . carpet not vaccume entire 5 day . never write review anything angry experience take time make sure everyone know : n't stay PARK CENTRAL , NY ! ! ! 
 Sep 17 2009 	 FANTASTIC ! ! 	 staff extremely friendly . lobby , lounge room spotless . book online thru hotel 's website request suite upgrade possible . give huge ( New York ) suite 25th floor stare right Times Square $ 40 night . already book next trip hotel return time travel take we Manhatten . 
 Sep 16 2009 	 good price right ! 	 group six we stay six night Aug 31 Sept 6 . second time stay get spectacular rate $ 88 plus tax per night . good deal Park central good value . location brilliant , bed comfy , room decent size . however issue could improve upon . room smell bit musty , enough request move noticeable . room always well clean , buck maid always help ! elevator system pain use allocate lift not big deal . public area decent enough . allow check early request nice . front desk staff pleasant arrival . one group issue towel room . thing really annoyed come check . transpire hotel put $ 100 per day hold card addition cost room . continue holiday afterwards inconvenient . time inform would put hold place holiday weekend take day clear . lady deal checkout rude unhelpful matter . staff encounter pleasant . night fire alarm go satisfied system place keep guest inform . shame make announcement english explain say people not speak english . overall ok stay though , would probably return get deal future . 
 Sep 13 2009 	 good Hotel NYC ! ! ! 	 father travel NYC first time july 09 . lot internet research finally decide Park Central . read variety reveiw quite dubious stay however arrival blow away . room 4th floor two clean , comfortable double bed . bathroom quite substantial spotless clean . tv huge easy work . window open ten inch pleasent display nice view 56th street . location could not well . flash neon light times square could see two hundred meter right distance Central Park leave . double decker bus tour well worth . fabulous way see sight new york . unlike big city traffic move fast pleasent ride . Ellis Island staue liberty tour $ 15 must ! ! cheap , quick simple get airport ny yellow cab . $ 45 flat rate airport . one traveller cab easy cheap way ( unless feel like try figure rail system ) . food cheap nice around NYC ( not use hotel resteaunt however aways look nice occupied ) use subway Park Central wonderfully locate . everywhere easily accessable foot soooo much see . could not recommend park Central ! ! ! ! could ask anything . definatly stay park central ! ! 
