would 	 stay past weekend 11/26 - 11/28 celebrate one year anniversary . book stay directly hotel , book large king room . $ 215.00 quote rate . request high floor room east view since main picture Hotel Felix Chicago website lovely picture Chicago skyline include beautiful view John Hancock tower . tell everything would taken care going receive large king room lovely view . arrive early Friday tell housekeeping finish get room ready we . give free drink coupon drink front lobby small bar / lounge tell bag would brought room wait lounge . 1/2 hour later , go room 9th floor ( hotel consist 12 floor ) . king room , look window view - face South , east view pay parking lot Copperfield 's ( liquor store ) .The next morning , speak guest service question room . tell receive room & quot ; celebrity & quot ; receive stay . gentleman , remain nameless not want give name , say upgrade room 906 room 904 , large king room . still question not receive East view promise , tell could East view room , would downgrade Queen size much small room . , choose stay room . follow complete laundry list review hotel : problem find hotel:1 . ) give multiple excuse lack service / continuity . information receive ask not receive room promise , feel inadequate unprofessional . breakfast next morning restaurant , & quot ; Elate & quot ; ask spoon coffee . server state get ready lunch set - up 's not give spoon . also tell server restaurant hotel way connect ask trading breakfast voucher pay get well breakfast pay difference cost . tell we take hotel restaurant hotel connect way . female check we hotel Friday afternoon hostessing restaurant Saturday morning . , seem connected . addition , restaurant provide room service hotel give option bill room dine restaurant . , seem connected.2 . ) state provide & quot ; whisper quiet room & quot ; . inaccurate description . hear t.v . , conversation , etc ... adjacent room hallway . would honestly compare sound level stay cheap hotel . 's want top - star hotel certainly would classify good want romantic weekend . would certainly never bring three - year old son fear may hear come another guest 's room.3 . ) storage clothing suitcase insufficient . suitcase fold - out provide tiny closet poorly design . tiny build closet space hang bar also act curtain rod close hide belonging , choose put shelf middle safe . also face - out bar shelf , item put drag floor use top curtain rod hang , item jammed safe shelf can not close curtain . walk room iron board lean wall even stored.4 . ) bathroom decent size , small sink lack mirror two people , adjustable shower head set low height . raise shower head normal height , 1/2 length shower curtain cause tiny flood bathroom not extend full length bathtub / shower.5 . ) state luxury comfort bathrobe provide room book 2 adult , one bathrobe room . ask another never receive 2 day stay . perhaps shortage robes.6 . ) pillow - offer one size pillow bed quite full uncomfortable sleep . like full pillow , could use pillow . fiancee sleep pillow - less try well stay edge pillow . next day speak housekeeping directly ( avoid guest service ) provide we seem ( 2 ) throw pillow put pillowcase we could sleep . appreciate effort make we comfortable.7 . ) feel food restaurant & quot ; Elate & quot ; consistent . would recommend coffee Felix burger . ( side note : not put cheddar cheese request . request replace & quot ; creamed leeks & quot ; cheddar cheese possible come nothing ) . seasoned fry come burger good . french style omelet house potato good well , granola , quiche , 2 egg want french toast enjoyable . train chef dissatisfied quality food overall . when check , receipt give checkout match Hotel Felix charge Mastercard . charge upgrade room rate not request . hotel also charge we bottled water drink room . call guest service return home discover online checking , tell credit make expect within 2 - 3 business day . would sure obtain receipt checkout make sure charge correctly . overcharge we $ 645.00 waiting credit Mastercard . good thing find hotel:1 . ) great location - promise & quot ; whisper quiet & quot ; fulfil . also disregard photo view website hotel . west side construction large building approximately 20 foot window completely obstructed.2 . ) nice H20 spa product bathroom ( soap , shampoo , conditioner ) 3 . ) Free wi - fiI would stay hotel would recommend . feel though tried put many room hotel revamp building , not allow soundproof . also feel like give far many excuse lack service . 
 Nov 2 2009 	 overall nice stay 	 Hotel Felix four night conference . hotel locate nice area Chicago , plenty thing happen around area , include several nice restaurant Whole Foods near by . when arrived apparently overbooke offer we two separate room instead ( four people ask room two double bed ) extremely nice gesture responsible thing . boutique hotel , know mean ... room small . regardless , room immaculately clean recent renovation apparent everything look incredibly new spotless . offer nice bathrobe boutique line toiletry extremely impressed . tv big flatscreen bed soft , comfy . fitness room nice , however hope weight . Breakfast ( continental ) complimentary nice choice fruit variety pastry . business center nice use use color injet printer computer free . wireless internet free fast ( fast low floor ) . Bellman open door feel like small royality stay . bar lobby look nice although not time try . 
 Oct 30 2009 	 think Felix great 	 everyone extremely nice helpful . yes room bit small not go live there . the good thing clean everything be . we would stay also recommend Felix anyone stay dowtown . 
 Oct 19 2009 	 Great Location Great Hotel 	 staff extremely friendly upon arrival , welcome we door ! room small , well worth . centrally locate easy walk anywhere downtown ! 
 Oct 19 2009 	 so - so bargain 	 husband want go Chicago weekend visit son , attend school . downtown hotel expensive -- $ 300 night -- decide book Hotwire . result two - night stay Hotel Felix . several nice thing hotel , notably friendly helpful staff . common area nice , hotel clean well - keep . location good -- corner Huron Clark -- easy access Magnificent Mile short cab ride long walk cultural attraction . also several shortcoming : room bathroom size postage stamp -- really tiny , little space hang clothe sit read paper ( one small barrel chair ) . clock illuminate dial , make difficult see time happen wake time night early morning . amenity second class -- rough toilet paper , meager towel , lousy hair dryer , etc . hotwire price two night $ 488 include tax relate charge , compare $ 740 Talbott , favorite Chicago hotel . saving considerable -- enough cover outrageous amount spend transportation . also , elevator really small , adequate volume transport busy time day . often wait second third elevator . wifi not work . -- sure would ever stay . really would depend many night -- one two , would bite bullet stay nice place . 
 Oct 16 2009 	 disappointment 	 hotel hold eco - friendly , & quot ; green & quot ; not really case . in - room recycle one recycle receptacle lobby . towel replace despite hung . room teensy really loud . not know say room & quot ; whisper quiet & quot ; advertised website . Everytime go neighboring room , sound like come room . disappointment walkin shower , tub . positive : nice , modern decor , clean , friendly helpful staff nice bathroom amenity . 
 Oct 14 2009 	 horrible stay- would never stay . 	 book hotel priceline . price .. 225.00 night . lot ? yes ! especially stay hotel price nearby huge suite . room small , nauseate . felt completely rip . bathroom stupid curtain door , sink little tiny thing low flow . place extremely loud . room would either get hot cold , could hear elevator go . somebody try enter room one occasion . thank god lock . would never stay warn everyone else look hotel stay stay clear disaster . 
 Oct 11 2009 	 happy stay 	 big complaint airconditione loud . unable open window room get hot without airconditione . also mess give room give room another person somebody try enter room around 9 pm . manager call apologize . 
 Oct 7 2009 	 Great Weekend stay Hotel Fleix ! 	 arrive greet immediately reception . room 6th floor , nice . bed bed comfortable . directly front bed large flat screen LCD Television cable station . bathroom good size everything need be away home . hotel location ideal . staff available need . CTA subway ( Red Line ) block , along Michigan Ave . 
 Sep 29 2009 	 good hotel good location could well 	 hotel excellent location . close Michigan avenue , mile away shore , good outdoor run . hotel room stay quite small . double bed almost take entire room , small open wardrobe . hotel offer free wireless internet access always good , especially business personal use . be not restaurant breakfast area hotel , however restaurant share location hotel offer discount rate hotel guest . bar area entrance area quite small . all decent hotel , would stay would say could probably get well hotel money . 
 Sep 28 2009 	 wonderful stay 	 review place second - guess stay hotel . picky , could go either way . get , mind put ease . recently stay Felix Wednesday Sunday . check - in fast easy . finally get room , realize small PEOPLE make . come , folk . be little small 'd use , hotel market extend stay suite kitchen . plenty enough space wife room . feel cramp . family 4 , probably would not comfortable be . the room well - decorate . wife like modern look , perfect . bed EXTREMELY comfortable , especially long day foot sightseeing . bathroom nicely do , . H2O amenitie much - appreciate . room also flat screen hdtv , IPOD dock station alarm clock , in - room safe easy use . put valuable go . understand previous complaint A / c . whole time , never bother we . all , great stay . thing hotel management could improve ? course . never seem coffee ready go lobby . room unusual odor first day get . someone come spray we . 's . two big complaint . deal breaker . book hotel priceline , worry treat differently . case experience . some quick pointer : -- free , wireless internet access room . not want travel laptop like not , 's business center print stuff free . -- would request room high street noise not bother . not issue we 9th floor . -- doorman map help guide around city top tourist destination . -- red line short walk away hotel W Chicago . wife walk subway station hotel luggage without problem . hotel GREAT location . 's bus stop right front , well . . 22 Clark run downtown throughout River North neigbhorhood hotel in . -- plenty food option nearby . Portillos right street N Clark . great italian beef sandwich , Chicago hot dog , wife get great pasta . 's fancy place , walk eat cafeteria . great option quick bite eat avoid go McDonalds across street . also , yolk fantastic . eat breakfast leave . be right around corner N Wells . must brunch meal leave town . Whole food two block away hotel W Huron . great pick snack room day . bottom line : Hotel Felix safe , clean hotel great location . provide wife great place drop bag see Chicago offer . 
 Sep 18 2009 	 fantastic hotel 	 wife enjoy night Hotel Felix celebration anniversary . fantastic . super - clean king room -- perhaps big queen room review other maybe folk need lot space . think size room fine . bring bottle wine drink bartender hotel 's restaurant gracious loaning we two glass . room well - equip iPod docking station , stylish fixture , wonderful bed , cool bathroom / shower robe . well situate city also quiet night ( a / c fine we ) . staff great . tiny negative think narrow hallway -- would nice clear bin cart often around . will sure back ! 
 Sep 17 2009 	 maybe ny 	 room tiny ... have embarrass walk another person . come Chicago every month stay many hotel may style , would much rather return one . love look Felix find bed comfortable , room joke . bathroom also tiny , place put anything . hardly window natural light . fortunately , ' m work exhausted time reach room basically sleep , really feel like sleep closet . on plus side , be clean people nice helpful . room service offering times available limited , nothing 7 be 11 pm dessert . the location okay . like nearby Whole Foods , many great choice Chicago , come ? 
 Sep 15 2009 	 Great Location friendly staff small room strong aircon . 	 other site already mention , room hotel quite small . storage space much premium wardrobe curtain - off rail wall . think bit imagination could help solve this . however , bathroom fine room , bed comfy not mind trading size give central location . staff helpful restuarant recommendation great . walk everywhere find hotel easy get to . the downside aircon , strong loud meant sometimes turn . fan speed say low , feel like engine running room . other good stay . 
 Sep 12 2009 	 OMG ! 4 star ? ha ! ha ! 	 save money ! small hotel room eve stay ! extremely tiny NYC standard ! queen size bed 12 inch table side - 's ! bathroom sink shallow man 's hand fit facet ! clost - short rod curtain . noisy ! restaurant except McDonalds Subway immediate area . Room Service 4 breakfast 5 lunch selection ! one bad hotel experience ever ! staff portray & quot ; boutique Silver LEED hotel & quot ; .what excuse ! ! 
 Sep 10 2009 	 small 	 hotel currently construction road front hotel , remember tell make reservation . fairly nice location , close Whole Food market 7 block Miracle Mile - michigan Avenue . the room clean comfortable small room hotel stay Europe , small . really glad solo , think small one person time . they nice give late check 2:00 pm . charge , rather rare . 
 Sep 8 2009 	 4 star hotel stretch imagination 2 1/2 star hotel . 	 hotel call & quot ; boutique & quot ; hotel . translate extremely tiny room . closet consist short rod cover curtain . bed take 3/4 room navigate around bed difficult , especially dark . hear everything come hallway . bathroom sink barely hold water hand normal large , will not fit beneath faucet . 
 Aug 29 2009 	 comfy bed small room 	 book hotwire stay 1 night . nice & amp ; friendly staff . eclectic style hotel . stay 10th floor . indeed , room small ( big window ) . good 1 2 person . bed really comfy . clean room . limit space luggage . nice flat screen tv . bathroom nice & amp ; clean . behind bathroom door hanger note & amp ; say something like , & quot ; enjoy complimentary robe .... & quot ; - robe . overall , like hotel . room small , even hallway bit narrow . guess way go green . be big person , probably would like room . hotel 5 - 6 block away mile . valet parking overnight $ 42 , across street $ 33 , & amp ; parking garage $ 23 . 
 Aug 28 2009 	 small lovely room great location explore Chicago 	 book Hotel Felix Expedia reduced rate ( approx £ 75 per night ) seem like fair rate get . Breakfast not include hotel fantastic location . room small , solo traveller not really matter I . Felix block away Michigan Avenue , walk distance many sight - John Hancock Centre , Water Tower , Sears Tower etc etc . even walk back late night one evening neighbourhood seem pretty safe . staff helpful , particularly front desk give direction help book theatre ticket . one small problem get check , give key use access ' my ' room man 's case clothe . lucky room ( shower ) time . went tell front desk , promptly move slightly large room . happy later evening two guy try get room . turn give key room ! bed time luckily ( thank goodness ) dead bolt door . , would good experience . go let Reception know - not overly impressed room allocate . that aside , really like hotel . 's small functional 's boutique room decorate nicely . comfortable location mean right heart Windy City - perfect first - time visitor . 's great base explore city , be plan spend 24/7 hotel room probably not need load space anyway . there be actually Aveda spa site although not get time visit , nice extra touch feel like pamper . not sure would pay full £ 150 ish night , happy get pay . think hotel well fact 's eco - friendly add extra something . 
 Aug 26 2009 	 Itty Bitty 	 much research , choose Felix Hotel Chicago 4 night stay . many place choose , make choice . room , although well appoint ( especially lovely bathroom ) TINY . think queen bed 18 inch either side . ask much needed luggage rack ( three time ) well ice bucket . problem bill check - someone contact accord desk clerk - manager call leave airport . 1 week contact . maybe take 3 try well . 
 Aug 24 2009 	 Fantastic 	 wonderful weekend Felix . staff encounter pleasant helpful . Claudia help many reservation etc add nice touch room birthday celebration . hotel clean , neat , modern perfectly locate . definitely returnthank everyone ! ! ! Charles 
 Aug 18 2009 	 great room want relive college day dorm 	 check Hotel Felix late Friday night four night stay . booked room Priceline list 4 star hotel , recently renovate . picture look nice excited go . arrive late , around 11 pm . greet valet / bellman / doorman help we unload luggage park car ( valet parking option $ 40 per night not really unusual Chicago ) check go smoothly , want additional $ 35 per night king size bed . seemed bit pricey decide try queen room . one help we bag take luggage cart upstairs . elevator small barely fit cart two we . sign . hotel nicely decorate clean . stay 8th floor . open door room , almost die shock . room small could not believe ! freshman door room 20 year ago big ! one bed , sure even queen size . closet , simply bar stick wall hang thing . could pull curtain close & quot ; closet . & quot ; room safe shelf closet nice feature . iron , iron board . dresser . bed platform bed two drawer pull foot bed . could not open drawer walk around bed time . narrow desk nice flat screen tv , side bed either lay side way see tv . place unpack luggage even stow luggage unpack . the bathroom nice , sink vanity space makeup , etc . shower nice toiletry high quality body lotion , shampoo , conditioner body wash . the hotel ice machine Pepsi machine floor convenient . ice bucket plastic liner use zip lock bag bring . drink glass use two bathroom ceramic glass , small size . do not count type view room . look onto another buildlng construction , wrap plastic whip wind . the bed pillow top comfortable . however bed sheet , heavy comforter another sheet . melt comforter get cold sheet . air conditioning inconsistent . set 67 try sweat night , fan would turn go hot cold night . the first morning , Disturb sign door want sleep . not stop housekeeping knock three four time . not work , call we . sense may miss point sign . we not eat restaurant seem limited menu . Whole Foods grocery store block away great source breakfast ( although eat bed place we set food ) also find great place breakfast four block away call yolk . try breakfast burrito go fresh fruit . yummy ! overall Felix nicely decorate clean , sure four star hotel . expect bit price star rating . example , would nice loaner umbrella unexpectedly rain , loan . alas , nice location , easy walk great restaurant , tiny , tiny room ! 
 Aug 18 2009 	 noisy room 	 Hotel service great , room look great , unfortunately room noisy . main source noise air conditioning , loud fan , also hear every time someone close room come back hotel.location great . brunch restaurant preaty good . one thing , decide stay , carefull bed corner stick quite bit . 
 Aug 16 2009 	 unexpected surprise ... 	 book Felix . mean stay Whitehall Hotel tell arrival transfer Felix due problem . ' m glad . Hotel Felix unexpected surprise . location near place want get downtown Chicago . room small ( & quot ; closet & quot ; literally curtain hole wall ) bathroom big , shower luxurious . amenity H2O Essentials , bed comfortable . ( small ) bar downstairs , convenient self - park across street reasonable rate overnight parking . also close CTA station want take train . oh , mention rate reasonable ? 
 Aug 11 2009 	 Cozy mod hotel 	 room small , be true . incredibly well - design make small space . bed incredibly comfortable everything impeccably clean . stay one night able take advantage business center restaurant . staff friendly helpful . definitely stay Hotel Felix next time ' m Chicago ! 
 Aug 10 2009 	 Awesome find ! 	 ' m happy find place . place new clean . decor perfect modern . get great rate ( $ 100 ) book early consider place locate , amazing rate . entire staff encounter friendly get overall good feeling hotel . next time Chicago will stay , please keep rate reasonable . highly recommend place . 
 Aug 7 2009 	 Fabulous Boutique Hotel ; superb location .. perfect . 	 boyfriend & amp ; great stay Hotel Felix . could well . arrive early delay check . lobby room decor hip & amp ; modern . room quite small , well appoint . lack nothing . bed comfortable & amp ; sheet top notch . bathroom shower beautiful functional . Great H2O product ! staff amazing , front desk lady fill coffee urn . yolk restaurant Wells great breakfast get try Mexique W. Chicago Ave . dinner . 
 Aug 2 2009 	 beautiful hotel sorry service 	 room small design terrific , build charming . hotel need serious reassessment customer service . check 3:05 , not get room 5:00 ; never call notify us room ready , say would . call ahead retrieve car valet ; 40 minute later , car , message never relay valet . need aspirin ; luck ( send we drugstore street ) . coffeemaker room . general acknowledgement staff flaw service . price , would well somewhere else . 
 Aug 1 2009 	 love room ! 	 style amazing solo traveller . do not microwave room , coffee maker , coffee everyday lobby . need Iron not forget ask one , not one every room . like style perfect bed really comfortable . get i - pod wan na use I - Home alarm clock . staff accommodate door man yet suggest place eat not like . try get top floor room light sleeper , city hustle disturbing . 
 Jul 26 2009 	 stay ! 4 Star Hotel ! ! ! 	 ' ve never see small ROOMS . say tiny room , take seriously . sit bed boyfriend walk bathroom . concur previous reviewer , treat hotwire customer like garbage . entire staff train parrot line , & quot ; boutique hotel & quot ; - well travel world stay hundred boutique hotel abroad ' m tell room unbearably small - mention without discernible amenity . tiny ledge mount wall call & quot ; desk & quot ; small chair . & quot ; closet & quot ; 2 foot cut wall curtain hang front . bathroom consist tiny sink ( COUNTER SPACE ) , toilet , small standup shower . believe folk , rv room . also , know Hotwire customer treat we . room look alley . would not even let we pay money upgrade . must mistake 4 STAR HOTEL . be barely 2 . 
 Jul 26 2009 	 great hotel great value 	 hotel ideally locate short walk John Hancock Tower magnificent mile . rate may low brand new , comfortable , staff helpful . room pretty small though . 
 Jul 25 2009 	 good stay Hotel Felix 	 Hotel Felix small well design modern room . location near attraction / metro / club / restaurant . staff friendly helpful without request tip . business center 3 fast pc gym 2 treadmills/2 elliptical / weight bench . room could use small fridge coffee maker . ~h2o+ product bathroom nice touch well shower design . 
 Jul 22 2009 	 good hotel around 	 one good hotel be ever stay . love feel chic lobby . room super clean & amp ; simply design . small though other say ... uncomfortable . staff 110 % amazing . doorman never forget face & amp ; helpful . one guy ( Dave , think ) walk around lobby ask people need anything & amp ; introduce . employee seriously understand customer service actually like customer - say airline come . 
 Jul 22 2009 	 ok get good price 	 stay Hotel Felix July . book hotel get special rate Expedia.com $ 109 / night . agree previous reviewer hotel absolutely deserve 4 - star rating ( list 4 - star Expedia well ) . would say deserve 3 - star , 3 - 1/2 - star top . corner room probably small hotel room ' ve ever stay life . negative : -there barely enough room walk around bed . -The sink bathroom poorly design barely get hand faucet ( people travel range small medium size ) . baffle mind anyone would design something manner . positive : -The hotel good part town Michigan Ave within 5 - 10 minute walk - the staff helpful pointing right direction require help find thing . every time leave , ask know going.-It new , everything inside niceI would say get rate close $ 100 hotel , mean worth . other travel purchase room $ 189 / night . definitely many well option price . 
 Jul 16 2009 	 wonderful hotel ! ! 	 location great - walk distance major site , bus stop train station right , many restaurant around .... staff nice - friendly always willing help ... overall great place price ! 
 Jul 14 2009 	 nice 2 Star property bad list Four Star ! 	 lot disappointment stem fact Hotwire list property four star quality far accurate , problem seems occur often book Hotwire . particular order , issue first , hotel good part town . list Hotwire Miracle Mile close mile away Michigan Ave . positive note , least quiet . room incredibly tiny , chest dresser clothing , closet hang clothe , niche hook , room provide less 18 & quot ; clearance around bed , tv wall mount . bath shower stall , toilet , tiny wall mount sink nowhere place toiletry except toilet tank . sufficient towel good quality extra roll bathroom tissue . bathroom door appear lock either . room disagreeable smell reminiscent carpet glue , fact entire hotel smell . lobby / registration area similarly tiny , comprised small desk , chair small bar . suppose restaurant open yet also mean room service , fact leave hotel website . hotel claim boutique property base european model element truth claim , small room , small lobby , etc . , point remain even Europe would never 4 star property . perhaps problem Hotwire hotel ... 
 Jul 10 2009 	 exceed expectation every respect 	 Hotel Felix achieve unbeatable combination great value ; comfortable , immaculately clean well appoint room ; friendly , helpful staff without trace stuffiness ; cozy , invite lobby bar . love would absolutely stay . 
 Jul 9 2009 	 bed embrace 	 stay Hotel Felix week ago end June . little nervous book Hotwire know hotel new . worry go window time greet airport shuttle get bag . great time Chicago hotel wonderful . bed AWSOME , blackout curtain great , location ok -- would prefer little close downtown really complaint , room size fine ( travel solo ) . complaint bathroom sink small , basin sufficent size . 's real complaint . staff courteous helpful . would defintely stay . hotel beautiful love 's GREEN hotel . I also recommend folk go architecture tour , one favorite part trip besides hang friend show city eye . P.S . free internet 
 Jul 6 2009 	 Superb Hotel Stay ! 	 Hotel Felix fabulous hotel great location . family spend four day hotel enjoy immensely . staff ( Errol , Julian , Conrad David ) awesome - customer service 's fine . knowledgeable city . as guest state , room somewhat small , work fine we . need require large room , call Hotel Felix booking . 
 Jul 5 2009 	 hotel well worth try . 	 Felix open short time sadly restaurant behind schedule eat . also mean tea coffeee available morning . that say however hotel well situate access city plenty eat place within easy walk distance . would suggest YOLK Wells excellent breakfast . room hotel perfectly adequate , comfortable well air condition . staff friendly helpful bar , though small , bad place come back end day . , spend ten day visit Chicago would certainly bypass Phoenix . Dennis Johnston 
 Jul 3 2009 	 european style ' green ' hotel 	 room ready check , 5 p.m. room reserve , two double bed room . expect small room size , tiny closet , sit chair counter bathroom read review site . small room hotel . go spend time room comfortable place sleep ( although air conditioning blow night ) . forewarn . not pay full price . enjoy downtown Chicago . 
