maybe 	 let say hotel not really bad thought going get little . room good size . room really not update clean matter ( least not ) . family two room hotel room much well update compare . room & quot ; non - smoking & quot ; room , find cigarette butt floor living area leave see cleaning person would ever pick . unfortunately , answer & quot ; & quot ; . many maintenance issue room address obviously overlook . one think probably important metal handle tub faucet extremely hot even turn water . cold water come , scald water . hotel personnel always personable complaint . even fact travel teen ( boy ) overabundance teen throughout hotel , especially casino behave way hope son never . ' m hotel snob guess like little well . 
 Staying Orleans Hotel 	 strip cheap fun ! room nice huge variety place eat . fun atmosphere ! 
 Jul 31 2009 	 solo traveler 's paradise 	 stay third time twice solo daugher , enjoy hotel much , great pool ( always find chair ) , good slot ( yeah ! ! ! ! ) , nice staff , quick check . receive 2days comp happy pay ( 3 ) day low .. price .. request high flr statye 18th flr view mountain , nice clean room . shuttle strip quick wait long period strip . buffet special $ 21 daily 3 meal great idea . great coupon food drink also.great movie theatre see ( 2 ) recent movie , really think great place bring child grandchild , nice activity keep quite busy . great stay orleans return next year . 
 Jul 25 2009 	 wonderful 	 nice hotel . facility great , great place kid arcade , 70 lane bowling alley , many place eat . price food bit high side , really hotel . big casino like gamble . lot table game , half closed time , even though game fill . overall great experience . 
 Jul 22 2009 	 great hotel entertain young child 	 wonderful time stay Orleans Hotel extend family include 5 kid age seven . ball . food choice great . bowl kid , go arcade , play kids pool , even let go secure & quot ; kids & quot ; play area go gamble . movie theater , circus building . ask . buffet also great . also receive coupon upon arrive use food entertaining . another plus , pay parking 
 Jul 20 2009 	 favorite Vegas ! 	 yearly trip Vegas . stay many place ( strip , boulder , downtown ) . far favorite place stay ! check - in - early check - in problem . offer room 5th floor , ask high floor , give room 19th floor view strip ! ROOM - Fantastic always ! clean , spacious well equip . problem bathroom door break would not shut completely . really problem since dh.food - Big Al 's Oyster bar : always first stop clam chowder bread . never fail please ! Buffet : eat breakfast . 2/1 , inexpensive . normal buffet food . good value ! CASINO - favorite ! atmosphere enjoy . good cocktail service almost always . decent video poker . pretty good offer return visit medium play . we continue return long thing remain . especially return room offer ! 
 Jul 20 2009 	 can not wait stay ! 	 first time stay Orleans . ' ve stay several hotel strip downtown . stay two daughter . many thing kid arcade , theater , bowling alley , kid tyme , pool . easy drive strip i-15 . Shuttle strip convenient . two room , one across , large nice . sink stop we immediately fix two friendly maintanence staff . eat buffet cafe can not say enough good thing food have . the thing would change next time request room close elevator . Orleans main hallway long ' ve encounter Vegas walk elevator room long . can not wait stay ! 
 Jul 19 2009 	 Nice hotel lot convenience 	 Vegas stay strip . hotel equivalent one . room good size . time Vegas hockey rather Vegas well location strip time time limit would nice strip quick access see sight . really depend purpose trip whether would stay . shuttle watch time closely go strip . plenty free , convenient parking . hotel clean long not look anything , staff friendly , security staff near elevator always helpful friendly . variety food service , like hotel Vegas . pool nice crowd use . highlight family Wranglers dressing room ... stop arena one day coach say could go dress room check , big smile around . 
 Jul 17 2009 	 enjoy time 	 first trip Vegas want money spend gambling , show , food stuff choose hotel base price . glad . room nice view mountain everyone hotel friendly . able catch free shuttle go strip every day . Sushi bar hotel fantistic . Tuesday buffet offer two one special . day would eat breakfast buffet eat night . great time stay make back Las Vegas . 
 Jul 13 2009 	 Great Hotel / Casino - Lots Offer ! 	 stay 2 night Orleans 4 night Ballys ( Love Ballys ) .having do strip year , nice stay strip , certainly feel make right decision . rental car key Vegas , not think will walk strip day day ! want money strip casino treat right , machine want , great food choice ball waitress . you really get 4 money ! 1 decent hit machine strip,3 nice hit Orleans 2 day . room nice , nothing special nice clean . great view strip ! pool area nice , quiet , great famile . Buffet good lunch , good breakfast . I like splitting trip continue stay strip . will back Orleans Ballys ! 
 Jul 13 2009 	 strip 	 strip bite old style large room nice buffet . be also near airport not care stay strip 's nice . become member get discount buffet ! 
 Jul 12 2009 	 Orleans good Value Las Vegas 	 know be Vegas not think get well Orleans . not get wrong - hotel uber - level Wynn , Bellagio , Mandalay Bay . 's even strip . value one get stay ( assume type get full room comp high end property ) unsurpassed . rate room often dirt cheap , 40 - ish buck normal mid - week discount rate - room low 29 / night ( without player club offer - free night offer . ) not dive . local joint , sure , probably one nice anywhere . this hotel casino complex nice large . colorful great vibe . scary mardi gras head pit hoot . Vegas ! room pretty nice , kind basic , though bathroom kind funny weird slide door . casino large , ( one time large vegas - not know still true though ) good restaurant , large movie theatre , entertainment arena . the pool respectable - much well one sister property Gold Coast ( also decent similar property , nice large Orleans ) .price surprisingly reasonable good within hotel complex ( include small liquor store , full complement , low price ) . also mention next door ( go door west side ) fine irish bar Vegas ( McMullans ) . comp good beverage you re even look machine - else among low roller comp Newcastle ? gambling condition above - average ( use well couple year ago ) . large professional poker room back serve notorious shark tank local . serve unwary newbie say . a car help ( easy parking despite be relatively large size ) , not one 's ok run free shuttle strip . airport ( almost casino hotel Vegas regular people ) . hotel lobby small side Vegas , really area side main casino - check almost always quick . local tip : car , try head North West good ethnic restaurant choice rather overpriced albeit fancy strip . try go north block turn leave Spring Mountain Sahara Desert Inn . 
 Jul 12 2009 	 another great Stay Orleans 	 four year since last stay . everything seem well keep . room look fresh , problem . Casino get rid bunch video poker machine add penny slot great fun . food Buffett Mex . Miguels great . use ACG save coin . pool area good hang day time . problem get lounger day , 6:00 chair hog . Valet parking seem work well good , friendly service . front desk staff also friendly helpfull info . overall return Vegas stay 
 Jul 12 2009 	 Orleans Inconsistent 	 place inconsistent . review hotel / casino April find go way downhill . over past decade probably spend 15 20 night hotel . recent visit one disappointment place . valet : ' ' care job well . greet friendly fashion , upon check offer bellman , get one . upset tell valet go park car need one , advise ' around " 8 10 minute , " observe two empty cart head valet area back hotel . obvious say nothing bell desk , ' flag one , ' get one . ' cheap , tip $ 10 get bag trunk another $ 10 deliver room . first day , self - park . waste time money people ' want really provide sort customer service ? Rooms / Front Desk : book line reserve two room , one king non smoke another two queen non smoking . arrival around 2:30 p.m. ( check - in 3 , ) advise king non smoking room . hotel 1800 plus room , city know hold room high roller , give customer reserve absurd . next day move we , whole process ridiculously inconvenient . room becomme run . knob miss furniture , light ' work , towel bar miss , back , smelly sink two room occupy . queen bed mushy , king bed much firm . really suck ' let place go . room pretty good sized , ' really nice thing still say . cleanliness : , seem staff lose desire work , perhaps one & quot ; 's job & quot ; syndrome . example : two day , gum , yes , use gum , stick onto button elevator 15th floor . leave , still residue button . tell not many housekeeping & amp ; maintenanace staff walk use every day -- see , ignore problem . kind lack care small thing indicate react , , issue arise . Fitness Center : nice , machine work fine , wife find bicycle uncomfortable base way lay back seat position . use stair climber & amp ; work fine . gambling : everything tight . place play five dollar slot , two pull , second cash out . food : buffet : excellent value morning . lunch dinner worth charge . food breakfast spread fresh look taste . dinner lunch awful ; breakfast four day row , dinner lunch each . fuddrucker ' hamburger : serve unique offering , buffalo , salmon ostrich . latter really good ' try . gripe condiment soft drink area small get crowd around dinner time . Room Service : fast , delicous club sandwich deliver around 20 minute , prepare exactly order . pool : Yuck ! cloudy highly chlorinated . much use beer leave pool . nasty ! swam . overall : ' get work . place need well maintenance , TLC rather duct tape wire . really shame , since Orleans use one favorite hotel . still recommend place , , warning place . 
 Jul 11 2009 	 Great Kids ! ! 	 look place satisfy kid Vegas thing ( without consider age Circus Circus ) place ! ! stay 5 day , 8 - year old daughter could not get enough Kids Tyme day care ! ! worried would get bore one night , could not wait go back every night ! ! place secure , 's kind thing , small snack bar , authorize budget eat get hungry . 's big crawl gym slide , playstation , Nintento Wii station , kind fun stuff . also enjoy bowling alley , put bumper young kid will not get discourage gutter ball . not time 18 - plex movie center , hear spacious . well , Ringling Brothers / Barnum Bailey Circus happen come Orleans Arena weekend , get FRONT ROW seat daughter ! ! time life ! ! not even take Circus Circus Adventuredome trip , much fun stay . even make friend Kids Tyme center , cry kid leave ! enjoy crap table , dealer boxperson nice friendly , grouchy like old Stardust dealer . also , several table open , $ 5 minimum day / night ! ! hard find strip near strip . also , cocktail waitress hot ! ! every single one , sexy outfit . good job hiring ! ! casino floor little smoky side , young kid may get use . daughter use air freshener cover mouth / nose , get use it . the Budget rentacar site bit challenge get , although across street , could not even jaywalk traffic . parking convenient , even cover structure . drive strip not take long . the room really nice , clean , large . family 4 comfortable . bathroom well keep . advice : make sure get room close elevator , building & quot ; & quot ; shape , long hallway . really enjoyable stay ! 
 Jul 8 2009 	 could ask except strip price 	 first time stay strip Vegas visit . I impress stay property . I car get strip issue . Valet parking efficent check well rest process . we 19th floor room 15 minute drive up . the room spacious spotless , much large standard room strip . we try cafe buffet breakfast fine . visit pool three time M - Th . visit never crowd fairly quiet . notice tobacco odor hallway , room . we even catch early afternoon movie complex upstairs . will back next visit . 
 Jun 27 2009 	 JOB WANTED 	 stay weekend Hatten fight . ticket could get hold . lucky ! ! ! ! ! .We pick Orleans stay year ago , know expect . deal $ 219 $ 100 credit . think good deal prove so . front desk line , deal quickly courtiously . big hotel always ask high room , connect door get 19th floor view towards strip . room bathroom little date ( know ) clean tidy . all staff come across pleasant helpful . minus . dinner buffet , seem cut back thing . plus . got credit . also friday night jazz pool seem gone . overall pleasant experience . 
 Jun 26 2009 	 Excellent Value Strip 	 Orleans part former Coast group hotel ( Sun Coast , Gold Coast ) own Boyd Gaming ( Sam 's Town ) . , hotel include multi - screen movie theater bowling center want get away gaming table slot machine . Orleans offer clean , comfortable room along selection restaurant make almost destination resort traveler not need stay strip . 
 Jun 25 2009 	 pleasantly suprised ! go back ! 	 let begin state less excited husband say would stay portion Vegas trip . bowl USBC . main purpose trip also stay Mandalay Bay want take Lion King show get great package . well know start Orleans seem less delightful considering would go mb later week . not expect would like Orleans much . pay $ 39 night room . check efficient . give really good coupon eatery check . room good sized . bed comfortable room clean . also safe room well . extremely picky come hotel room . pleased . plenty amenity casino resort . fuddrucker , Sbarro , TGI Fridays , Buffett ( good wide selection clean ! ) , Prime Rib Restaurant , Rocky Mountain Chocolate Store . like Chocolate Covered Strawberries try ! ! amazing right elevator go room . view hotel amazing . view mountain nice pool area . husband play Dice , blackjack etc . like watch find plenty game suit well . addition easy navigate around casino atmosphere relaxed . staffer hotel casino seem friendly . we rent car husband drive we ever need go . however shuttle right front hotel take right strip . seem like 5 minute drive strip . let say park right front hotel . huge parking garage navigate . also valet parking utilize parking easy . all enjoy stay Orleans . go back planning stay . huge value get . 
 Jun 19 2009 	 good internet Use Beware Resort Fee 	 good point - room large , clean , bed comfortable . reasonable base price . bad point - $ 12.99 day internet use room . charge criminal . claim free internet use Seattle Best Coffee Shop . week unable use free internet . might allow maybe 2 user , else deny IP address . go coffee shop city Internet Access . also tack hide $ 5 resort fee per day . consider write Federal Trade Commission . deceptive advertising . resort fee Free unlimited local call provide coffee room . not believe opt charge . search hotel base rate , location , amenity , get hit hidden fee . one item seem like 3 mile walk elevator room . ' m fairly good shape long walk end day . also , 3rd floor front building hear delivery truck morning . otherwise quiet room . the internet issue prevent stay . keep mind strip car ok . 
 Jun 17 2009 	 overall nice hotel 	 would stay room nice , bed comfortable . but valet service room service terrible . valet guy rude . nice hotel strip . money great . 
 Jun 10 2009 	 large Room $ 29 can not beat 	 room large , well keep , large bath nice view strip . location mixed , strip parking easy . shuttle bus run regularly . think Big Al 's Oyster bar great ( include halibut , salmon & amp ; oyster ) . staff friendly & amp ; helpful except surly cashier buffet breakfast staff buffet make . occupy day without ever look table show , Red Rock Canyon & amp ; eat . 
 Jun 9 2009 	 Orleans Hotel- mixed Bag 	 like spacious clean room , well - than - expect dining option ( especially Miguel 's Mexican ) ; also , price reasonable . nice pool area . one strong dislike cluelessness front desk hotel personnel regard major event occur hotel . one talk seem idea where / when event take place , even though big marquee front hotel ! also , overwhelming stench decade ( ? ) cigarette smoke awful ; even non - smoking floor simply reek . overall , marginal thumb base decent value , good sized clean room , well - than - expect dining . 
 Jun 7 2009 	 great room make average service terrible location . 	 first trip Vegas hindsight would splurge stay one iconic hotel locate Strip look good value , no - frill accommodation $ 40 night Orleans okay option . catch shuttle run regular timetable never wait long 15 minute shuttle driver friendly pleasure tip . pro : great king size comfortable bed cheap dining option lot choice . con : Location ( least 15 minute bus ride to / from strip felt & quot ; trap & quot ; hotel isolate action , average service ( encounter rude abrupt Manager front desk ) , surround tasteless decoration , casino cheap ambiance . advice spend extra money go stay one well hotel Las Vegas . 's worthwhile investment . 
 Jun 5 2009 	 still great value 	 second time Orleans despite read review claim go downhill equally satisfied last year . the room clean good value ever dine option good enough . throw bowling alley cinema along drink half price strip hotel well casino reasonably loose slot picture . I would recommend anyone not feel need live strip . 
 Jun 5 2009 	 great anymore ( late review ) 	 stay 2 night Christmas 2008 . room original tower everything original . room still large strip view still outstanding . carpet disgrace , big spot everywhere . carpet want walk barefoot . furniture old , like sofa , worn . even though price charge extremely low , not think would stay . maybe new tower well ? 
 Jun 1 2009 	 SUPER HOTEL $ 5.00 Pai Gow 	 return first time stay Orleans . choose Orleans base review boy right money . room really nice large couch , chair coffee table sit area . perfect place computer . bathroom large ( phone toilet ) . carpet fresh feel ok walking sock . one thing really like get clean bed spread every time way be decorate bedspread decorative large sheet ( look nice sound tacky ) . coffee pot coffee nice touch every room free room safe set passcode everytime lock safe . free valet parking 24hour . the restaurant nice . buffet nice ( & quot ; gourmet & quot ; & quot ; fine dining & quot ; ) be good . scale one 10 give 8.get B1G1 coupon 's worth . miguel 's fajita awesome , many b1g1 coupon . Courtyard Cafe 2 egg , brown , 3 large saugsage ( bacon ) 2 big slice sourdough toast 3.99 right late nite steak egg special around 6 7 , can not remember exactly . you spend 4 hour casino come smell like smoke , YIPPPEEEE ( hate cigarette smoke ) ! ! smell smoke occassionally not hang air , & quot ; smokey & quot ; . guess high ceiling good ventilaiton system . pool nice , large hot tub big palm tree middle really nice . certain time nite security require room key present order get elevator room . good security appearance . five dollar Paigow poker ( week ) day ( 2 table ) 8 pm table time get & quot ; grandfathered & quot ; could continue bet 5.00 nite want , lose ( ) . Maid service good . staff nice pleasant . make sure hang distrub sign door night maid wake every morning 8 am room check . unless really have / want stay strip ( see NYNY Orleans ) can not fathom stay anywhere else . suggestion , ask view pool . not ask would nice could see part strip room . 
 May 30 2009 	 fantastic value ! ! 	 Orleans great value . go son four night midweek . book hotel website , pay $ 33 rate first three night , fourth night throw free hotel . even $ 5 & quot ; resort fee & quot ; add first three night , still less $ 30 night average , room would go much $ 200 night place like New York . here positive stay Orleans . parking free convenient Casino check - in . check - in fast ( hotel Vegas , particularly strip , know boon ) . room , two queen bed , large clean , nice decor . sit area large bathroom . bed comfy nice pillow firm mattress . air conditioning touch loud , hear one sound hallway , another room , outside hotel entire stay . seventh floor , nice view strip room . houseclean great job room every day . Orleans full service hotel casino , several restaurant , spa , movie theater , business center , multiple performance venue , swimming pool , even bowl alley . unfortunately , live performance schedule week . food generally inexpensive good . receive several coupon check - in make food even less expensive . pool realy fancy , nice enough .. son play blackjack . Orleans pretty much always two three five - dollar table , good . table big strip hotel generally ten dollar . blackjack dealer friendly . also bet horse race . sport book Orleans effiicient , though bit run compare strip hotel . play poker well , though casino ( Orleans ) . many local Orleans . orleans minor drawback . mile strip , stand , want go strip downtown casino need car need take shuttle . rental car , problem . try shuttle . you also pay internet want room . get ten minute free internet day business center ( come & quot ; resort fee & quot ; ) . also get free internet Seattle 's good coffee vendor near check - in desk , reason first day ' get work . bottom line : less $ 30 night , Orleans steal . rate like , would go back time . and couple tip Vegas -- stunning scenery Western Hemisphere , entire world , hour away car . go visit Grand Canyon ( north south rim ) Zion National Park . simply awesome . 
 May 29 2009 	 nice place great value 	 think price hotel would nice , pleasantly surprised ! really nice , clean , friendly , overall great experience . room 21st floor great . like much go back night later repeat . : ) value incredible . also enjoy pool movie theater . 13 month old we , easy push around stroller , place feel safe clean . go back . 
 may 29 2009 	 nice large room strip unbelieveably low price 	 stay several time - always appreciate remove Strip . Located West Tropicana always slide in - and - out Burger way hotel . usually avoid table walk upstairs catch movie on - site theater . ventilation system could use refresh smell like ozone smoke walk floor area . room clean spacious . current pricing really unbelievable ( ns 2q Suite $ 34 + $ 5 resort fee night ! ) . pay $ 100 next night stay close airport - next time think will stay long , get early make flight , save extra $ 100 pay stay Doubletree ! 
 May 29 2009 	 Love Orleans ! 	 love ! ' ve roughly 6 time Mom girl 's trip , great everytime ! not like strip , that s be hope , will not give want ! , be great place stay , everyone friendly , be generally clean , overly crowded ! love shuttle get strip , still get experience nightlife , hustle bustle aspect vegas ! 
 may 28 2009 	 Orleans slip ...... definitely hidden gem anymore . 	 Orleans use awesome place 3 - 4 year ago , seriously slip opinion . deal offer we still good pass will seriously consider somewhere else stay annual getaway . seem like something negative grab attention everytime stay . last year buffet not seem tasty times desk staff seem little less friendly . year little , make matter bad switch room soon get AWFUL ( mean AWFUL ) stench come room give we . smell like raw sewage wife almost lose lunch soon open door . front desk guy ' help ' we tell high floor could give 13th floor ( ominous beginning ) could face we North directly face strip ( east ) . go tip . anyway decide ask another guy desk switch room lot helpful . actually put we 19th floor face strip . could not & quot ; Twinkletoes & quot ; ? anyway ............ get new room o.k . could still smell sewage drain use bathroom sink . find later nice front desk guy & quot ; pump sewage & quot ; work 's explanation get . decide grin bear next 3 day since smell not come main room , still think unacceptable . picky , would move , guess $ 35 night , decide heck since high face Strip . ( great view night ! ) still good thing Orleans beside price room . main buffet place still good filling time Fridays , Subway , little spot offer good variety stuff eat munch . little gym always clean , though sometimes machine occupy use machine intention use .... : - ) still decent place overall , one reviewer hit head say & quot ; hit miss & quot ; .... never use unpredictable . ' m sure new people still look price positive rate place & quot ; great & quot ; . unfortunately can not anymore ...... would love place soft spot heart , pay attention detail anymore may soon lose long time customer ...... 
 may 27 2009 	 Great Value 	 beat hotel overall price value . stay several time never disappointed . room spotlessly clean nice layout , check quick staff efficient friendly . take advantage restaurant , outdoor pool movie theater please . car , provide shuttle service want head strip block away . 
 may 27 2009 	 doubt orleans read .. 	 reading , bet doubt hotel , like . first reluctant book week stay orleans , say well worth ! first , good ... check in / out fast , try switch room cause near elevator staff nice enough move another room question ask , shuttle strip not take long weekday , be almost always half full weekend could terrible . shuttle guy kind enough drop goldcoast ( one casino ) favor . room big clean nice . provide shampoo , conditioner , lotion , soap mouthwash . coffee tea available . towel always ready get back room . safe bolt big enough accomodate laptop stuff . wait elevator really , really short elevator not leave floor . clean lady accomodate although speak break english , really see try hard help we direction . ( ever stay please leave tip bed staff , appreciate ! ) , surround area resort pretty good , walgreen store , supermarket , car rental ( hertz budget - go hertz much cheap ) , adult store , strip bar , gas station . band play casino kinda repetitive coz band play whole week . charge room internet service go downstair near seattle 's good shop complimentary internet access . bring laptop connect wi - fi . parking huge free ! bad ... lobby strong scent , like really shampooed carpet weird smell detergent , bad experience waiter one 24 hour cafe call & quot ; courtyard cafe ) nobody take order , draw attention 3 4 waiter , storm cafe frustration . hotel room toilet lock . 's much selection food late night . believe subway , sbarro , fuddrucker , TGIF courtyard cafe . overall , pleased hotel . budget look great place stay . question mail bullmarket76 @ yahoo.com try good answer question . 
 May 25 2009 	 Off - Strip Gem 	 4 - night , two room stay Mid - May 2009 . arrive mid - afternoon check room within 5 minute . front desk clerk accomodate request room specific floor view provide refridgerator medication charge . could ask smoother check - in process . the room Orleans large standard room find Las Vegas . room extremely clean upon check - in , housekeep great job stay . the Orleans leave little desire : great Video Poker bar , low minimum table game , lounge watch favorite sport , excellent food option budget helpful , kind staff around . fairly large pool , although hotel offer great & quot ; pool scene & quot ; ... definately gear towards relaxation rather party . on - site bowling alley , movie theater food court . for familiar Las Vegas , hotel locate ~1 mile off - Strip consider local casino rather tourist destination compare large , on - Strip property . rental car helpful plan stay Orleans visit area Las Vegas . hotel run free shuttle to / from Strip Gold Coast ( sister property north ) 9:30 midnight , daily . great money - save alternative cab ride . hotel guest get priority . fyi : Orleans charge $ 5 per room , per night Resort Fee , include 10 minute internet access business center , among thing . 
 May 24 2009 	 great hotel would recommend 	 14th trip Vegas , decide stay Strip change . Orleans great choice . check easy , room nice . eat choice hotel fantastic . ok , large queue 2 1 buffet night , take long . feed 2 us $ 15 change great . great , give 2 1 coupon kind lady exiting buffet , decide use steak buffet next day . complaint , steak excellent . also eat Courtyard cafe every day breakfast , speciall £ 3.99 - could not beat . use free bus strip every day - except weekend hire car . stay 7 night probably next time would split time Orleans Strip . Kinda miss action little bit . definately would come back hotel , try real hard . 
 May 24 2009 	 price Right 	 great hotel - problem whatsoever . great price food drink . show good . love convenience movie theatre arena . definitely stay . love much well strip . 
 May 23 2009 	 Vegas Trip May 2009 	 4th trip Vegas , 2nd time strip . stay strip last year also prefer strip .. less crowded . this first time Orleans love it . the room spacious noise hallway night yes security 24/7 elevator room . the pool area nice , smoke bar cooler allow . if look lie sun sit side bar first sun come first , get side pool noon . we rent car get strip easy we . park valet times concert hotel , never wait minute get car need it . plenty place eat hotel .. really impressed buffet . would stay ... ABSOLUTELY ! ! ! 
 may 21 2009 	 place change ! 	 Staff . I not back 10 year . be stay eastside Cannery ( fine & amp ; drop Orleans . this , believe , large Boyd Properties , nearly 2000 room . since car & amp ; avoid Strip , location big deal . Played slot & amp ; come away profit ! .So , go Host office & amp ; tell move current hotel , would get RF compe ( noob - all room & amp ; food charge compe ) .Also compe ticket Four Tops Show showroom - top ticket- $ 77 each . room large sitting room area , separate bath & amp ; sink area . security locate elevator room 24/7/365.they shuttle not use it . do not . day fill numerous promo & amp ; activity . won $ 100 free slot play wheelspin & amp ; convert $ 500.only beware ! Buffet ok , line long specialty night . go early late . numerous graveyard special coffee shop also . gourmet room Canal Street - Food & amp ; service like Old Vegas . quite reasonable bit ec.room quiet , Rowdies & amp ; fight weekend ! kid stay kid 's area parent hit slot , well supervised . must say GM do helluva job turn place around 180 dgrs . 
 May 21 2009 	 Hotel Stay Las Vegas ! 	 stay Orleans everytime visit Vegas . ' ve 3 time since August 08.The hotel huge , lot . lot casino , bar , restaurant , bowling alley , cinema pool . room huge clean , decent price . book room Travelocity . the staff always helpful valet service amazing ! ! definitely stay . 
 May 18 2009 	 use 	 visit vegas twice year 20 year . know city backwards forward must say change great deal time unfortunately well . orleans open mid 90 coast family property . favorite place stay acount & quot ; hide gem & quot ; . since boyd gaming take property several year ago go hill . still k value use amazing . hit miss . cut back obvious wether result economy poor management last 2 stay back . there far well value much well service waste time mediocre establishment let give reason . 1 . Valet fast good vegas horrible good , mean every time 20 min wait min excuse . I m great tipper make doubley hard swallow . 2 . service mean service wether front desk drink girl restaraunt etc . mediorcre best.3 . gambling staff attitude worst . use friendly inexcusably poor . 4 . food buffet cafe eatery use excellent good great . one would recomend big al oyster bar food still fabulous wait staff exceptionally poor . eat sit counter . food dynamite . the buffet use consider good value vegas . see hoard nasty local feed grose kid diguste food cheap price . 5 . that s clientel become local dreg hang kid . apparantly orlean desperate business acceptable . I m picky stretch believe go something give good effort . Wether run casino act civil social situation involve large mix peolple . current management staff obviously lower standard great new amway mentality . hotel great value cheap place stay . do not get wrong definitely wost place stay may appeal . however find well value elsewhere provide exceptional service . 2 place would recomend South Point golden nugget . price issue try mandallay bay ( great property ) . do not fool place like Bellaio Wynn big joke cesear . nothing people try pad egos money trust I ve stay every kind propety vegas low high . need cheap place stay could bad orleans even spend money . do not expect much place nowhere near use reputation far exceed current management employee ability . 
 may 15 2009 	 hide value gem Las Vegas 	 love Orleans Vegas . Sure 's nice hotel ' ve ever stay Vegas , other like Luxor Mandalay Bay even Golden Nugget ( maybe favorite hotel Vegas ) nicer well place eat can not beat price Orleans , let put way ... three night 89.00 dollar total ! that s right read right . also movie house , bowl alley pretty decent place eat like Big Al 's Oyseter Bar Koji Sushi bar . also recently add small food court . hotel really family friendly . not kid would stay Orleans time ... movie , bowling , cheap eat without drunk tourist run around . Orleans starr almost always helpful . room really decent size price drop low $ 28 night , would say 450 sq ft . ' ve minor problem like safe working , maybe phone acting usually right ball fix problem bring attention . highly recommend hotel friend time , sing praise orlean anyone ask frequent trip Las Vegas . pretty kick butt pool area hotel cheap . ' m tell can not beat price . 
 may 11 2009 	 much well stay thought read review 	 read alot negative comment post expect rather & quot ; rough & quot ; stay ... pleasantly surprised ... $ 40 night , absolutely complaint . room nice roomy , a / c work perfectly . bed firm like extra - cushy pillow - top , will not happy . like bed nice firm , will fine . tv 's room pretty small , hopefully will not sit room much ! pool area extremely nice . two pool jacuzzi pool . restaurant think good food fairly good price . quite bit gambling movie theater , bowling alley , good workout room , free shuttle strip . nice strip . last time Vegas stay Bally 's loud ( siren , party , traffic , etc . ) . actually enjoyed stay away croud little . 
 May 8 2009 	 Perfect place not want stay strip 	 love stay Orleans Las Vegas work ( play ) . convenient location town . like fact not fight & quot ; Strip & quot ; traffic get . room price usually economical work week . day price important business travel ! please note - charge $ 5 resort fee top price room per day . look lot night life hotel not . want clean , quiet , well price room ( away casino part ) it . the sushi restaurant awesome ! casual food excellent . nice selection beer sake . coffee shop also handy running door first meeting day . the room nice size clean . find bed comfortable well . internet room free use business center want check email print something . big gambler like play penny slot Vegas . lot slot / game option & quot ; low roller & quot ; gambler like . strip not many place penny slot variety fun . overall , price well worth . 
 May 7 2009 	 WONDERFUL TIME 	 return yearly trip Vegas . choose ORLEANS several reason , price value main reason . check breeze . arrive around 9 p.m. room 9:15 . request ( get ) first room near elevator . 9th floor . the room comfortable , roomy . bathroom small , nothing really complain . bed comfortable ( like hard , firm mattress ) . hardly ever watch television , can not comment . casino easy get around . never large crowd , coul play almost machine want . even little ( wife hit $ 600 jackpot .5 machine , hit keno machine thousand ! ) Orleans buffet nice , lot different station . 2/1 coupon 2 day . the coffee shop reasonable , food great . service could well . wait staff superb , friendly . Shuttle strip quick easy ..... 10 minute ride . pool nicer expect . frill , nice . even go movie ( matinee ) great time . would highly recommend hotel anyone . first trip Vegas , want experience Strip ... do not stay bit beat path , otherwise ..... LOVE ORLEANS ! ! ! ! ! 
 May 4 2009 	 much well anticipate ! 	 ' m Vegas person . attend conference last week , book room Orleans . clean , smoke - free , A / C not freeze we . pool great shuttle strip helpful . uaually smoke free room mean filter dirty ans still smell smoke matter . bed comfy little complaint would mini refrigerator room keep water cold . otherwise fab . oh , conference lunch , serve Ginger Mousse dessert- die ! ! ! still dream ............... 
 May 2 2009 	 360 degree difference 2 year ago 	 second stay Orleans - two year great time , love buffet - tolerate strip location value general friendliness staff . time around stay exact opposite . staff , part , disintereste untrained , blatant error billing would correct unless pursue matter , french Market buffet either edible inedible - total difference 2 year ago . even coffee maker ( guess could call ) sorry excuse . bad part - billing error - go lot time energy get straight . 
 may 2 2009 	 bad Place Play Craps 	 finish session Orleans . dealer average poorly train . serious problem pay bet . dice call , & quot ; Seven mean early out . & quot ; . player leave table without tipping , & quot ; thank everything . & quot ; constantly watch tv talk pay attention . tell three time get bet place . rarely hear & quot ; thank & quot ; tip . 
