Best 	 stay Langham 5 day Thanksgiving holiday . good service moment walk door check . place clean , bed great , service amazing . ask bucket ice one time , get 5 minute . watch service charge , though . order room service , will get service charge well tray charge . coffee water cost 15 GBP . also charge use internet - 7gbp 40 mintue computer center , 20 GBP hook laptop . need internet , 's internet cafe 2 block away 1gbp 1 hour . need water ( beverage ) , 's newstand block away leave side Regent St , 1.5l evian cost 1.45gbp . avoid eat hotel 's expensive . be many good restaurant within walking distance . Soho 20 minute away foot ... will not even feel long since be many thing see way . 
 great service amazing room 	 stay Langham first wedding anniversary . room amazing , staff great make we feel really special . there two thing let hotel , long wait cab fact key card disable first night . oh , watch service charge , be add * everything * 
 good London hotel stay ! 	 moment arrive outside hotel 's grand facade , feel though special treat ... nothing Langham disappoint . book room 2 night celebrate partner 's birthday . room upgrade arrival , receptionist wish happy birthday ; escort suite . find fresh flower fruit , gorgeous little cupcake ' happy birthday ' ice plate , handwritten welcome manager hotel sumptuous look bed would ever see ( not disappoint either - like sleep air ) ! set tone wonderful weekend . breakfast morning - room , ' the Landau ' - meal fantastic . ambience Artesian Bar wonderful ; champagne chill perfection . nothing much trouble . really treat like royalty . location hotel fantastic ... couple minute walk Oxford Circus tube , able walk theatre , good restaurant , shopping Regents Oxford Street . could not ask anything , not want leave ! disappointment forgot take swimwear , not experience spa . will save next time ! 
 Nov 2 2009 	 favourite London hotel 	 love Langham . young family not get much chance break , special . hotel pure luxury quality . 's certainly one good hotel ' ve ever stay attention detail outstanding . enjoy . 
 Nov 2 2009 	 well done 	 stay Langham year thought would give another try . wonderful surprise . place totally refurbish immaculate . staff friendly efficient . eight foot bed heavenly room lovely quiet . breakfast service room first class , would like choice - compote fresh fruit . also tad expensive . overall - not quite wow factor , comfortable sylish hotel super staff - hard fault . 
 Oct 30 2009 	 absolute luxury 	 moment door open special.the hotel spectacular , decor opulent staff unobtrusive polite.the location excellent.and good bit ..... beds.i stay good hotel worldwide , long since impressed , comfortable ever hurry return visit , can not wait return here.visit hotel soon . 
 Oct 27 2009 	 absolutley fabulous 	 beautiful hotel ever stay . close shop . close tube . staff friendly helpful , bed pillow wonderful could stay ever ! although bar bit expensive expect , lovely ! 
 Oct 27 2009 	 get well 	 lucky enough get great deal 2 night weekend break last Minute.com . read someone also discount rate feel treat guest . well must paranoid treat like royalty stay . moment check - smoothly way case deliver back we end service impeccable . place fantastic history place . wait go back . 
 oct 22 2009 	 Brilliant 	 hotel lie city centre also tube station . room gorgeous , clean , comfortable huge ! Breakfast always ... bit boring . 
 Oct 20 2009 	 stay Langham London excellent romantic getaway 	 stay two night Langham unforgettable experience . location great . bed really comfortable . love design hotel room . try breakfast Landau . excellent service . 
 Oct 13 2009 	 Perfect location not feel welcome 	 book classic room Lastminute rate £ 246 2 night , exclude breakfast , hundred pound cheap usual rate . this hotel amazing central location 2 minute walk Oxford Circus . build beautiful quite experience stay grand historic place . book confirmation mention anything check - in time disappoint arrive 2.30pm tell room ready . overhear guest check upgrade well room . afternoon tea serve Palm Court invite wait , tell bar would open half hour . end walk around Regent Street 45 minute cold . check - in receptionist say partner ( suitcase ) & quot ; oh stay well ? & quot ; seem strange booking form clearly state 2 person double room . perhaps Langham Hotel use entertaining gay couple ? room well - present small . eighth floor far end corridor . start get impression hotel not want we see guest ! attic ceiling two small window make room seem little claustrophobic , nice view rooftop towards Regent 's Park . bed good size , everything clean , decent bath shower plus flatscreen television , mini - bar , desk one study chair , reception chair end table . breakfast mention reception read info see could get deliver room . nowhere room we sit properly eat not bother . apparently eat breakfast Landau tell that . the second night stay ask could eat dinner Landau restaurant tell fully book 6 pm 9 pm . suspicion hotel not want us mingle guest increase . paranoid ? opt couple pre - dinner cocktail Artesian instead come lovely nibble , head Soho dinner . , stay Langham enjoyable one although feel staff could make we feel bit welcome . disappointed miss eat Landau irritate get special deal another website feel service guest . 
 Oct 7 2009 	 oasis luxurious calm centre 	 absolutely love stay Langham . location almost perfect - short walk Oxford Street , restaurant Fitzrovia Regent 's Park . hotel renovate superbly - really think everything . whilst room ( ' Grand ' room ) huge , well appoint , impeccably clean well furnished . feel incredibly comfortable hotel , decadent , austere . bed huge comfortable . bathroom stunning . complaint ( minor , really ) : breakfast bit disappointment ( nothing special cold coffee ) ; bath small ; doorman inattentive . 
 Oct 6 2009 	 luxurious hotel within stone throw Oxford Street 	 spend romantic weekend early year . hotel exceed expectation ideally locate short London break . room 5 star full lavish detail . recommend membership Langham Club . could put foot club louge enjoy good champange meeting wife , happily shop away Oxford Street . 
 oct 2 2009 	 Flawless Service 	 husband recently take quick trip London long weekend . choose stay Langham could get great deal Langham Club room pay advance , have stay travel business like hotel . flight arrive early - night flight Chicago - hotel 8:15 . early expect drop luggage send way without able check . however , room ready - 8:15 ! ! - permit check encourage partake breakfast Club Lounge . ( Free Club room . ) ability check early , shower , relax make difference enjoy day , survive it . part hotel recently rennovate , Club room rennovate 3 year ago . minor sign wear tear furniture , overall room lovely : nicely decorate , spacious ( , Club Room , large standard room ) comfortable . service within without Club area top - notch . location also plus - right near Oxford Circus tube stop . would certainly stay . 
 Sep 1 2009 	 wonderful hotel - back ! 	 stay Langham / London 4 night & amp ; wonderful experience . arrival GM happen greet guest check we & amp ; organise upgrade junior suite . room meet expectation , want take bed home , well ever sleep . staff delightful anything request problem . concierge extremely helpful make sight seeing visit big attraction pleasure ' fast track ' ticket avoid queue . would stay ... yes ! 
 Aug 24 2009 	 Best Hotel London 	 hotel fantastic ; good service , room , bed , location , restaurant , bar ... everything . appreciate good , place stay . son wake first day London ear infection ; within 15 minute speak concierge , appointment doctor around corner , someone family sick , problem , nothing valuable staying good hotel city , . never think would say ... ' ve finally find hotel well Ritz Carlton Four Seasons stay . 
 Aug 19 2009 	 Definately 5 star 	 several month read review narrowing search , finally choose Langham London - ' m glad . book Langham Club Room 1st week August . receive upgrade Executive Club Room 9th floor , much surprise . love everything Langham - room , helpful friendly staff , beautiful flower decor , excellent resturant exceed expectation . use Club Room breakfast , beverage evening drink fit daily plan perfectly . think stay , - will not disappoint . thank Langham make first trip London memorable one . 
 Aug 19 2009 	 elegant hotel excellent location 	 mention previous review , hotel renovation do exceptionally high standard . room elegant comfortable lobby bar area beautiful . previous review comment room small side . although room not huge really well design - large bed , dress table , plenty wardrobe drawer space . bathroom classical modern style per bedroom , well lay beautifully design . different 5 star hotel stay , also convenient tea / coffee make facility iron room . the staff courteous knowledgable hotel also fantastic location , minute walk Oxford Circus tube station . use bar hotel times fabulous cocktail free canape . not eat hotel lot lovely bar restaurant Marylebone village five minute walk away ( also lot coffee bar Pizza Express etc right doorstop hotel ) .The Langham would definitely first choice hotel stay London next time . 
 Aug 18 2009 	 great location great room ! 	 arrive busy friday evening two night great stay Langham Hotel London . everything hotel great although spend much time hotel , say enjoyable stay . first stay hotel quite impressed service politness staff . recommend friend . 
 Aug 18 2009 	 hotel HOTELS . 	 pay 480 dollar night double room regret great choice . UK 12 day spend 3 12 Langham London enjoy every minute . reveiwer mention , food great real quality nothing hard work kitchen . go back London , stay . 
 Aug 18 2009 	 Great Hotel - well locate 	 stay Langham 2 night weekend . wife treat w / e London without kid . hotel refurbish open recently extensive renovation . arrival give upgrade , wife request make reservation . service round excellent . room great really comfortable bed . view let , look central internal area could see pile old furniture room across yard . pretty sight . the breakfast find little expensive side ( £ 30 might describe british Breakfast ) . lot option withe 3 min walk short choice . the location truly excellent shopping / dinner / theater . Covent Garden reach 20 - 30min walk . would recommend 1 day travel card cost £ 5.40 . short stay like avoid tour bus ( cost £ 24 per person ) .I would recommend hotel great 5 star stay , get room view overlook road . 
 Aug 17 2009 	 ' m hook ! 	 normally , stay Manadrin Oriental , Hyde Park due unavailability book club room Langham say Langham stay London . service excellent effortless ! travel 18 month old special request numerous ... always meet execute problem - staff happy meet request ... charge ! ! service great club level think stay club level . Mandarin Oriental poopoo club level say guest VIP 's ' ve never level service MO receive Langham . room spotless , amenity plenty .... negative thing would say numerous guest use library lounge hold interview guest enter use internet ... low voice continue interview discreetly - perhaps management might want consider booth avoid inconvenience guest . 
 Aug 16 2009 	 dissapointment . get pay MUCH Thanks 	 arrive wife busy Saturday afternoon front desk busy order make we wait , someone walk back reception greet we ask detail buy we couple cocktail bit snack wait 10 minute room ready suitcase already ! WOOWW ...... don´t come across everyday ! get well everyda matter question ask conceorge , answer like many 5 star hotel make many phone call find answer . the location excellent look forward go back soon . 
 Aug 12 2009 	 beautiful hotel London 	 quite simply perfect : service , decor , style , ambiance , food . husband , mobility difficulty , could beautifully look totally unfussy way . Langham outclass many 5 * hotel London - stay several - whilst expensive true value money absolutely get pay . Grand Junior Suite extremely comfortable magnificent bathroom superb rooftop view . even open window ! staff train treat guest courtesy style , yet retain air breezy informality enhance relaxed , cossette feeling get soon enter magnificent hall . refurbishment elegant , sophisticated bit querky - stylish edgy , difficult clever balance manage attain . recommend glorious place highly enough . 
 Jul 29 2009 	 positive surprise 	 positive stay Langham hotel London . travel 11 - year old really impressed acknowledge child . give welcome letter nephew check - in explain service provide child ( include special swimming hour pool ) .The service good ( equivalent Dorchester ) , room nice , clean recently renovate . Theu lovely bar hotel well beautiful breakfast room . all , good value money . 
 Jul 28 2009 	 London will stay Langham ! 	 stay 6 night one new refurbish junior suite . excellent room ; spacious , stylish , clean quality bed . everything hotel category . overall service spot courteous . dining experience relax excellent breakfast day . visit hotel 2 little child welcome . room service bit late , bad thing world complain ! location hotel good ; Regent Street , near Bond Street close theater . excellent , well equip gym nice swimming pool . interior design studio do great job . love stay . London ; ' back ! 
 Jul 21 2009 	 lovely stay - awkward start 	 boyfriend invite stay Langham birthday - lovely ! slightly awkward start ( receptionist check - in really seem know , lady show we room take we wrong lift ) , really enjoy room , gym pool , glass Champagne Palm Court Artesian Bar . breakfast lovely , too . after one night , feel away holiday . 
 Jul 20 2009 	 history building 	 stay Langham Wimbledon week love every minute . update room product ( king double sitting area ) suit we perfect . locate close Regent Street work walk picnic Regent Park add attraction . service impeccable . 
 Jul 17 2009 	 Style Luxury centrally locate 	 great hotel long history , relaunche extensive refurbishing . 
 Jul 8 2009 	 disappointing ! 	 read great review tripadvisor decide book langham fiance anniversary weekend . book junior suite 3 night enter hotel find staff friendly that s probably positive thing find hotel . enter room size good carpet do not look vacuum . go meal first night come back find complimentary water would say standard hotel order breakfast room follow morning breakfast come chair sit ! ! course stay shower gel replace finish one point toilet roll replace servicing room do not leave ! drink order room recieve , definately be not ask ! would think thing would high standard five star hotel ! overall disappointing stay ! 
 Jul 6 2009 	 Disappointed 	 want stay Langham , seemingly policy ' discriminate ' baby . ludicrous , refuse Grand Room , basis 2 ' people ' could occupy , almost 1 year old baby 1 many ! not require cot , special facility . the infuriate thing waste endless time attempt book online direct hotel , yet clear indication not like baby share parent 's room : - ) make international call hotel tell reservation department close weekend ( yes , honestly ) someone would call back Reception , never happen . we book Chesterfield Mayfair arrival London difference deal , reply helpfully email within 20 minute . decide give Langham another shot departure stay , telephone ( email not reply fact still not ) inform hotel policy . apparently , could ' third ' Classic Executive room , believe part building , account read Trip Advisor less desirable main building . so , hugely disappointed , partly hotel policy , far total lack kind service toward prospective ( actually eager ) guest . difference service compare stay Peninsula Bangkok , would cost less well . so , ' ve shortlist Langham child , aware room limitation . 
 Jul 6 2009 	 wery nice 	 son 6 spend weekend Hotel . exxelent think stay . back . 
 Jul 6 2009 	 pretty good hotel experience 	 overall , good experience . wife stay four night Grand Room . one nice promos three night price two , make much well value , cheap similar level hotel time year . still , price cheap fairly small room ( price , get big London , although easy get small ) . location excellent , reasonable walk sort tourist site restaurant . arrival area comfortable separate drop area . inside , nice hotel . do nice job resoration . someone take we reception desk ( people wait assist anyone inside ) . wait 2 - 3 minute people work desk phone . hate wait . anyway , check we quickly efficiently . room , ( minor ) issue . importantly , robe dirty . replace speed much soft one originally give . housekeeping wake we twice change room . partly fault switch indicate ' do disturb ' forget , rang even 9AM . towel good fluffy . a / c strong ( definite plus hot 80s/90s type high . concierge recommend Redfort restaurant , ok certainly well know indian restaurant London . helpful get Pier take boat Greenwich well . total , level service high . internet usage different . charge apply 24 hour time period ( like elsewhere ) , except start moment check ( unlike other time period start time first log onto service ) . clearly way make money customer pay time period . find bit irritating . overall , pretty good experience , well overall value probably available elsewhere , although feel service close top level hotel quality ( mean 5 star level service ) , maybe worth pay . will let decide . 
 Jul 2 2009 	 top class hotel operate 	 hotel simply ooze quality service match . superb lounge drink / cocktail rather expensive 's environment be in . the Grand Executive room worth every penny comfortable bed ever ! top quality room bathroom fitting make enjoyable stay . would recommend hotel without question ! 
 Jun 27 2009 	 Enchanting 	 look website stay , expectation high . Wwhen visit London always stay Dorchester decide try Langham . absaloutely wonderful . stay 2 night partner , father sister birthday , stay could perfect . hotel extremely elegant grand clear money spend . stay room 412 , although fairly small , grand , cosy romantic bed comfortable ever sleep ! use Hotel Pool several time surprised quiet , occasion partner pool ! ! ! breakfast excellent , bijoux wonderland afternoon tea Palm Court divine service impeccable . staff always helpful friendly , concierge doorman . 21st birthday could celebrate well enchant stay Langham ! ! 
 Jun 25 2009 	 superb hotel ! 	 travel London weekend great pleasure stay Langham , London , England . member Leading Hotels World , Langham definately live membership . the hotel recently renovate BEAUTIFUL ! room spacious , clean , elegant . the staff courteous helpful . the location excellent see tourist attraction London . and fantastic breakfast serve elegant dining room ! without question , visit London , Langham hotel choice . disappointed . 
 Jun 17 2009 	 Superb Service well run hotel great location 	 stay Club Room Langham long weekend London . check handle glass champagne club lounge . room well appoint slightly small service well stay . free continental breakfast , afternoon tea evening canape , free drink make club lounge welcome shopping excursion . concierge club lounge staff helpful good hotel experience London . my slight critisicm would hotel corridor keep hot . 
 may 23 2009 	 agreat time 	 first time stay Langham London since refurbish . I decide treat husband night away . new entrance reception area create welcome image service provide reception concierge staff impeccable . fortunate upgrade one newly renovate room , think call Grand Room beautiful . new bedroom furnishing decor delightful bed comfortable find hard leave room . great bathroom really powerful shower huge fluffy towel , luxury weak shower home superb stay back soon . Langham must one London 's good locate hotel , 2 minute walk Oxford Circus , near Marylebone High Street , Bond Street Oxford Street . tired shopping pop back afternoon tea , listen pianist gorgeous Palm Court . evening short walk Theatre Soho . return , artesian bar warm welcome amazing cocktail . compliment Langham create great customer experience . back . 
 may 20 2009 	 six star luxury 	 treat ourslves night london west counrty . luxurious junior suite every facility comfortable bed ever ! staff attentive welcoming felt cossette . location excellent short walk Oxford Street regent Street shop , strolled buzzy Marylebone lane shopping area walk theatre evening . great bar - artesian fun drink pre theatre stunning Palm Court . all great experience . 
 May 18 2009 	 Langham - Brilliant 	 husband , 4 month old baby spend brilliant four night Langham London . upgrade Club room give we access quiet breakfast facility afternoon tea canape . staff fantastically helpful , facility great , renovation quite stunning , bed divine , even room service food good . handle baby well access cot baby product . altogether fabulous experience feel quiet spoilt ! 
 May 6 2009 	 absolutely fabulous ! 	 stay family late April . stay many hotel get use ' same old , old ' hotel . welcome little thing experience hotel make visit relax , enjoyable memorable . certainly stay ! 
 May 6 2009 	 disappoint ridiculous extra ! 	 although Langham hotel beautiful well locate disappointed overall general service experience recently . pay 5 star rate expect 5 star service although staff generally friendly efficient handle simple problem . morning arrival check - in hotel confirmation twin Club room early reception staff promise call we room ready .. 1 pm get call fine however arrival back hotel early afternoon tell have upgrade classic room Grand room , explain actually Club room confirm much shuffle confusion tell wait bar reception would take hour get twin room ready housekeeping . pay £ 15 per drink bar eventually get room confirm 1.5hours late time get shower ready pre - reserved dinner reservation . club room albeit lovely strange part hotel , one floor lift , stair second floor , one block instruct take service elevator 3rd floor .. confuse unpleasant overall . the little extra 's extremely expensive hotel also , £ 22.50 continental breakfast & quot ; tray service & quot ; £ 4.45 top charge .. else go arrive ? ? last straw charge £ 10 bar bill wait bar add room bill .. not expensive enough ! bar also close every evening midnight , ask possible resident get drink midnight tell rudely want could order room service .. middle London 5 star hotel can not get drink midnight ? ? think hotel lovely would stay recommend friend ... 
 May 4 2009 	 great hotel 	 upgrade arrival excellent Club room 9th ( top ) floor whichwa spacious newly furnish high standard . bathroom spotless well appoint . from hotel short walk Oxford St & amp ; Oxford Circus underground . nevertheless , Langham situate quiet area noise intrusion room . the top - hat doorman / concierge rather arrogant ( not try interrupt ask anyquestion - will not tolerate throw grimacing look try ! ! ) fail spoil enjoyment traditional beautifully appoint victorian hotel . plenty parking local street ( pay card via phone ) . restaurant , bistro take - out abound area will not problem find something suit taste bud ! 
 Apr 27 2009 	 Relaxing 	 stay Saturday night girlie weekend break great location staff friendly helpful go way make stay perfect . hotel recently refurbish stunning comfortable bed ever sleep . 
 Apr 25 2009 	 Fantastic 5 * stay 	 would reccomend Langham 5 ' stay London , everything perfect . 
 Apr 1 2009 	 absolutely excellent ' m fussy 	 wonderful experience start finish agree staff superb . helpful without patronise certainly make stay thoroughly enjoyable . give free upgrade club class room access club room ask £ 40.00 per person per night . great value , breakfast , afternoon tea , canape , drink comfortable lounge 7 - 11pm . hotel well situate near oxford st . , room good size every amenity available . downside quality bathroom product poor , oh yes wall seem thin , possible ? ? anyway , can not wait return . 
 Jan 11 2009 	 outstanding experience Langham 	 daughter return week London , wonderful memory time Langham Hotel . although lobby Langham Hotel still construction , small lobby area sufficient concierge hotel staff provide good service make we feel welcome day . concierge service remarkable . daughter realize might leave map restaurant prior evening . restaurant open left morning , ask concierge please call restaurant inquire map find . apparently staff member go pick front desk return . find work area pool area large attractive . room spacious , bed comfortable bathroom well appoint great shower . hotel conveniently locate London metro station close . numerous restaurant great shopping find within minute walk . would highly recommend Langham picky traveler . 
 Nov 30 2008 	 Great Hotel Renovations ! 	 stay hotel Thanksgiving weekend say friendly hotel staff ever encounter . everyone without fail helpful made feel like value customer . even send goody wish we Thanksgiving . I book regular room upgrade junior suite nice size small sitting area . toiletry penhaligon , fully stock amenity get without first call housekeeping ( e.g . include toothbrush / toothpaste deodorant ) . decor plain though ( not think renovated room ) . location good ... minute walk tube ( Oxford Circus ) hullabaloo Picadilly West end . the renovation pain , however . transfer elevator walk long maze ( even give map ! ) get room . 
 Nov 6 2008 	 really Loved Langham 	 stay early November although hotel currently undergo renovation not appear affect operation hotel . entrance Regent Street little less grand normal one around corner staff exceptionally warm welcome location superb . stay 10 year old son course & quot ; lad & quot ; weekend staff could not nicer we . frequent visitor leisure centre 16 m basement pool real feature . room spacious well appoint even though getting involve two different elevator trip . minor issue fact food bar little pricey fairly average fair splitting hair , overall would thoroughly recommend be prepared pay little bit extra decent quality hotel London . 
 Oct 10 2008 	 Fanatstic Hotel 	 Langham Hotel wonderful , place stay ! everything hotel first rate . the staff exceptionally friendly helpful , keen help well mannered . room " Robert Browning Suite " lovely , dine room two occasion service superb . quality accommodation second none . special occasion stop Langham hotel make even special . dining room superb beautiful meal Artisan Bar something behold . concierge helpful pleasant , go way helpful time everyone . King commoner ' matter Langham , hotel meet need more . if life stay Langham experience plan repeat next year , possibly . 
 Oct 2 2008 	 Excellent ! can not well ! 	 hotel ' ve ever stay London since 1998 -- every time visit Langham feel like go home . the location hotel really good -- minute walk away Oxford Circus tube station Regent Street , great shopping eating . time stay one bedroom suite family 7th floor old / main wing -- excellent condition suite , plasma tv living bedroom , new quality wooden furniture , upgrade bathroom toiletry penhaligon . Turndown service great usual . the Langham Club Lounge serve hot cold beverage , include wide range alcohol , complimentary breakfast morning also good . real complaint main wing still renovation -- may hear noise occasionally afternoon access main wing also bite complicated . always great stay already look forward return hotel near future ! 
 Sep 5 2008 	 perfect hotel perfect location ! 	 decide stay Langham London previous stay Langham property Pasadena . hotel absolutely amaze we ! outside look like build London , inside like step another world ! soon enter lobby hand pink rose take Club level , check room first floor . room spacious nicely equip , bathroom blow we away . shower big least 6 people could fit comfortably ! club lounge definitely worth upgrade , breakfast morning save we much money . hotel perfect location , block away tube station near ton shop West end theatre . 
 Aug 15 2008 	 bit fray around edge 	 stay one night business meeting . like old style London hotel ( experience ) nothing special , bit drab , chintzy affair hot room brusque , impersonal staff . , per se , nothing wrong hotel nothing special would stay leisure . room hot quite dark cramp chintzy . staff ok friendly helpful . see ever go back . need bit refurb think . 
 Jul 19 2008 	 Superb hotel ... 	 pleasantly surprised hotel , especially read review regard renovation . family stay five night July really find one thing fault . upon arrival upgrade junior suite , renovate spotless . bed make request , bathroom clean room large comfortable even three people . worry noise unfounded room quiet ( light sleeper ) . help air conditioning room fan act like white noise machine keep room perfect temperature well . hallway noise night - greatly appreciate , although lobby move , thing renovation affect we logistic finding room , ( be little maze - like ) , get hang , issue . use pool , clean well maintain , although hot tub order duration stay . Landau restaurant extremely good excellent food staff , eat breakfast every day dinner one night . front desk staff part pleasant concierge helpful . location incredible well . really minor complaint , nothing worth write review . would highly recommend hotel pleased find renovation impact stay . 
 Jun 29 2008 	 Love Hotel 	 get chance visit London holiday past May . stay Langham Hotel Regent street . love & quot ; Grande Dame & quot ; type hotel one live description . location great . staff look we well . bar restaurant stunning . use . hope stay next London ( though sure company splash place ! ) 
 Jun 23 2008 	 good hotel stay London 	 book Langham Valentine 's weekend . take train London , get tube Oxford Circus walk . main entrance close use spa entrance makeshift reception . upon check - in inform management upgrade we junior suite . hotel 2 part - old new receptionist accompany we room AMAZING ! ! ! big room sit area . 40 & quot ; flatscreen tv , room overlook Regents Street , everything fantastic . staff could enough we . use pool big enough length . rate include continental breakfast order room service expensive tell 5 * hotel be not . quality food lovely . also late night room service foo plentiful tasty . I would look go back Langham .... need save money ! 
 May 13 2008 	 warning 	 hotel undergo major repair ; hotel entrance side entrance convert makeshift reception - cum - parlour ( even proper seat aerea guest washroom ) , long labyrinthine walk experience guest get room . there warn booking ! 
 May 6 2008 	 one good 	 stay one Saturday night wife 's birthday treat . be corporate travel agent , somewhat blase claim reality high quality hotel . however , drive submit highly complimentary comment note hotel manager . the staff good ! highly professional , discrete - friendly . hotel process major refurbishment - ongoing another 9 month - quality ' package ' still shine through . the Landau restaurant one impressive space dine experience food match . pre - theatre menu 2 course £ 20 smile way though evening . even let go back theatre dessert course ! hotel review feel need write . 
 Mar 18 2008 	 wonderful time Langham 	 family return five night stay Langham . stay premium suite access Langham Club Lounge . the location excellent , right Regent Oxford Streets . suite beautifully decorate , spotless view Church across street . fresh flower , newspaper everyday robe plus slipper everyone include child . Langham Lounge wonderful bonus . continental breakfast good , sandwich ' tea time' . the bar Lounge also wine , beer , scotch , champagne ! . Langham Club room rather pricey , worth money consider price food drink London . my child love swimming pool . the hotel undergo renovation , suite quiet . see evidence construction go . definetely return next time visit London . 
