Excellent 	 Neighborhood nothing much , be great location get everything , near Penn Station Bolt / Megabus stop . new clean . Saturday night noise not factor , base print notice room , & quot ; white noise & quot ; generator room , etc . could problem , especially garbage truck , weekday morning - would ask high floor staying night Saturday . staff extremely pleasant helpful . room decent size NYC . restaurant bar premise ( dinner possibly lunch - breakfast ) . continental breakfast average quality include room rate . 
 Nov 5 2009 	 nice clean reasonable hotel 	 husband stay first time October 28 Nov. 1 . room newly remodel bathroom great . good water pressure , clean , good amenity . bed comfortable room pretty quiet . bit cramp newness cleanliness make . hotel staff friendly accomodating . continental breakfast definite plus staff serve we coffee bar helpful congenial . overall , like hotel . neighborhood bit gritty . 's really garment district . subway close not really spend time neighborhood anyway , fine . be look fun neighborhood atmosphere , place . want nice , newly remodel clean , reasonably price hotel base adventure , great place stay . 
 Nov 3 2009 	 definitely recommend hotel 	 wife go NYC celebrate 65th birthday . Loved New York please hotel 5 day visit . room , food service good , make stay really enjoyable staff ( could not nicer helpful ) . location good we use subway extensively day . also want close Times Square . use taxis evening surprise $ 6.00 plus tip go two Broadway show . walk 6 - 8 block back hotel show weather pleasant stay . issue we , understand people feel uncomfortable walk 36th street dark pretty deserted . look good steak , recommend Frankie & amp ; Johnnie 's Steakhouse 37th Street . nice surprise complimentary stretch limousine back hotel . agree two elevator slow weekend . issue week . 4th floor , use stair . recommendation hotel give , loan sell compass & quot ; directionally challenge & quot ; town visitor . 
 Nov 3 2009 	 Outstanding Customer Service 	 husband , 2 friend stay Wyndham Garden Hotel - Times Square South Oct. 26 - 30 , 2009 . customer service outstanding ! melissa front desk well ever experience ; travel extensively throughout US abroad ( be senior citizen ) . concierge bellman could helpful . never stay another hotel visit ny . room meticulously clean ; small , 's typical ny hotel . Breakfast awesome - wait staff . we will back , Melissa ! 
 Nov 1 2009 	 could ask anything ! 	 second time ' stay Wyndham property , second time disappoint . hotel immaculate . staff could helpful pleasant . two block away subway station . also number small place eat conveniently locate near hotel . could ask anything ? 
 Nov 1 2009 	 Good Location @ Manhanttan 	 stay 6 day 5 night hotel . great hotel good lcoation service . comfortable Clean Room . Most place within walk distance 10~15 minute like Madison Square Garden , Fifth Avenue , Penn Station etc .... optionally could take Bus M34 M16 able help explore city Manhanttan . FYI , able get well offer travelzoo.com booking . check ya ! 
 Oct 31 2009 	 much nicer have expect price range NYC 	 know awesome accommodation NYC . not bottomless bank account access , much afraid price range would bring . read glow reference Wyndham Garden Hotel several web site , find great deal Travelzoo , decide take chance , hoping not entice bogus review . find Wyndham every bit spotlessly clean comfortable review indicate , . Travelzoo & quot ; deal & quot ; include continental breakfast . daily sameness become little boring fifth morning , appear everyone stay must sort similar deal room , tend little crowded around buffet table , still tasty convenient , guess can not really complain . waiter bring juice coffee also nice touch , garden room lovely clean . since daughter live NYC can not room two parent small apartment , ' m sure return , certainly look first Wyndham accommodation . hope continue offer deal ! 
 Oct 31 2009 	 stay ! 	 nice , clean , new hotel . request early check - in get . welcoming , polite professional staff . comfy bed , flat screen , refrig . room small , issue solo traveler . also , quiet consider NY . great location -- 4 block Penn station / subway , 6 block theatre . free access internet printer . got great price Travelzoo complimentary cocktail ( 1 buy get 1 free ) night complimentary breakfast . could not beat deal . hotel restaurant also great food ( try organic chicken artichoke , carrot potatoe ) . would recommend hotel ( NY ) heartbeat ! 
 Oct 31 2009 	 enjoyable stay ! 	 first time New York , hour hour research , pick hotel happy . get good deal , rate get even include continental breakfast great way start morning . also , get little welcome snack drink member reward program . good location seem close enough needed get . room nicely renovate , big shower , Bath Body work product bathroom , also free internet access lobby handy ! complaint room could bit clean ; forgot empy garbage one day , big brown stain throw blanket end bed . state & quot ; green & quot ; , change towel put floor , REALLY like , not need new towel every day ... except & quot ; green & quot ; , wonder recycle bin room ? would definately stay go back New York ! 
 Oct 30 2009 	 irish love great location . 	 fantastic location heart New York . 45 min Taxi JFK . close Fifth Ave . , Times Square , Tir Na nOg pub , Shops , Bus train station . good rate . Clean & amp ; crisp . excellent staff & amp ; facility . room & amp ; ensuite bit small side contain everything require . 
 Oct 27 2009 	 great hotel great location 	 come back 4 night hotel nothing great thing say . location perfect close shop , subway train station ( Penn ) connection JFK . comment review shady street etc . meaningless . room clean ok size bathroom great . definately book hotel next trip , provide price decent course ... 
 Oct 26 2009 	 Quality Cozy Setting 	 Wyndham Garden create feel small , concierge hotel high quality reasonable price . room small , spotlessly clean well appoint everything need . bathroom new large tile shower , nice soap thick towel . bedroom well organize large wardrobe , desk computer chair flat screen tv . bed comfortable lot fluffy pillow . ask room upper floor hear street traffic . get room teh 10th floor pleasantly surprised room door small terrace could let fresh air . room quiet , particularly NYC.It 's location Times Square Penn Station work since come train short 3 block walk hotel . hotel old garment district , lot place eat block , plently within block . not take advantage hotel offer Starbucks , breakfast choice small bar / restaraunt tv full menu . I greet cordially check find staff helpful . think good value dollar give cost mid - town hotel drawback and/or sterility . would definitely stay . 
 Oct 25 2009 	 good overall hotel experience ever . 	 wife stay 3 night October 13th 16th . good part stay staff . travel business somewhat frequently stay quite hotel never experience nice hotel staff . arrive early first day front desk graciously get room 10 . concierge guy take garbage , staff extremely personable . hotel close Penn Station , subway , 5 6 block Times Square . negative comment street noise somewhat bothersome first night , drink expensive hotel bar , room small attribute come NYC . would highly recommend hotel visitor NYC . get great price 179 night free continental breakfast coupon half price drink hotel travelzoo.com . 
 Oct 23 2009 	 fine hotel great staff 	 stay night . good rate priceline . staff check - in check - out great . bed one good ' ve New York . room huge , definitely comfortable . impressed little touch like white - out stapler desk . good free internet service throughout hotel . actually write review sit lobby wait car . atitude helpfulness staff encounter definitely make stay pleasant . even though room rear hotel , little street noise , room well insulate , noise room hall . 
 Oct 21 2009 	 great place stay price 	 everything hotel terrific -- friendly staff , location , continental breakfast beautiful dining area , price , location theatre Times Square . room quiet , clean , small , small experience NYC . concierge recommend walk & quot ; Hell 's Kitchen & quot ; eat dinner two fabulous meal -- one Zuni 's one Marseille . 
 Oct 19 2009 	 S.C. Nurses New York City 	 four labor delivery nurse experience new york city . hotel clean , close attraction staff always polite helpful . would stay would recommend everyone . thank 
 Oct 19 2009 	 good value location 	 agree previous review . centrally locate , especially convenient Penn Station . room small little room bed wall . bang leg sharp corner bed frame least night . bed , however , comfortable . nice natural light 18th floor room decent view . two small elevator seem barely adequate number guest , real problem . great rate TravelZoo promotion include continental breakfast . consist great bagel , yougurt , juice . great way start full today . 
 Oct 19 2009 	 another great review ! 	 first time NYC celebrate anniversary New York City disappoint . stay Wyndham Garden four night . hotel exactly read , wonder get excellent review . lucke exceptionally good rate via Priceline . choose hotel we , ' glad . ' much else street around ' short walk Penn Station subway easy 10 min . walk Times Square . last night treat yellow cab theatre 44th Street ( experience ! ) think fare around $ 6.we 12th floor overlook street exception odd rumble train something , bother noise . room small extremely clean . small fridge behind bureau door not even notice last day . small room , still adequate storage closet space . bathtub would nice shower excellent . large window bright light great curtain privacy . happy room . except one quick coffee muffin Starbucks breakfast counter , eat drink hotel , ' comment . terrace close season arrival . as everyone say , staff wonderful . one morning , request , concierge point we direction nearby city diner breakfast exactly look . highly recommend hotel . would hesitate stay . love New York City return ! 
 Oct 18 2009 	 Great price Great Value 	 travel business NY every 4 - 6 week . 5 minute walk Amtrack . real dive area . Wyndham open year ( 2009 ) plus . well design clean . use stay Washington Jefferson close Times Square . Wyndham close Penn Station office . property clean staff attentive business traveler great place stay . they know like food bar room service . outside terrace great drink weather nice . would stay low floor morning elevator busy may opt stair . ny hotel expensive many part city either overprice horrible stay . Wyndham winner . 
 Oct 17 2009 	 Great Value 	 stay Wyndham total 3 night love . great value - hotel perfectly locate , room small size , warm invite one comfortable bed ever sleep . flat screen tv bathroom modern bright . staff great , service bar , reception , concierge housekeeping service . drawback minor elevator service . get quite busy morning trying take elevator main floor . luckily , stay 6th floor walk could tricky old people , carry luggage combine high floor . however , minor irritant would dissuade return . good stay yet New York City.lolaottawa 
 Oct 17 2009 	 great place money 	 hotel within walk distance Empire State Building , Macy 's little theater central park . 4th Floor outside street noisy . light sleeper , well get room away front high . room small clean . bathroom extra big nice . staff helpful . breakfast good . would stay . 
 Oct 16 2009 	 great hotel location 	 hotel great . clean . nice staff . 9 min walk Times Square . lobby nice , modern clean . stay 2 nite another hotel 2 nite ( check ) . bad move . stay 4 nite NYC . - Fernando , Toronto 
 Oct 15 2009 	 fantastic noisy depend room ... 	 say New York city never sleep , neither room low floor 36th street face road . first room 205 noisy ever try sleep . ' get sleep constant noise lorry clatter road garbage collection . despite couple beer wreck travel day meeting friend dinner ' manage drop . go reception 6.30am ask move good let move hour later 1405 remain six night . give hotel four star base second room high back virtually noise . bed massively comfortable wall mount flat screen hd television many hd channel fantastic , bathroom large ocnfortable . location hotel great midtown theatre near enough subway make get around breeze . staff hotel warm friendly , something wrong correct quickly . fussy traveller mention event show good response . lose temper bit one day wait serve start seat big group arrive later , , ? ? get table go get buffet return people sit place , stuff move another table without tell . complain service reception give free upgrade full american breakfast $ 20 food voucher hotel . Read past gripe , would happily stay , staff nice hotel stay New York room location excellent . see high list recommend hotel . lucky enough get rate $ 179 plus tax form website often feature hotel special . consider EASILY pay $ 300 night horrible hotel New York day bargain , especially since continental breakfast include . 
 Oct 15 2009 	 Nice Hotel 	 room small , clean comfortable . ' v work properly air conditioner little wierd would switch heat reason go back cold . amount time spend room really not care . staff friendly . would recomend hotel , close everything middle light noise either . 
 Oct 14 2009 	 Clean Modern Friendly Staff 	 stay Wyndham recently room 2 double bed . room definitely small side modern , clean reasonably price . free continental breakfast include package nice perk . Hotel conveniently locate 1/2 block 8th 1 1/2 block Penn St . subway . decent italian restaurant 2 block north 9th Ave ( opposite side street ) . reception staff wonderful - Victoria accomodate early check - in . complaint would wait elevator - 2 visitor use ( plus lot service staff use ) quite small slow move base frequent stop . 
 Oct 14 2009 	 noisy - road noise air conditioning 	 ' m particularly light sleeper keep awake hour noise street . give room seventh floor front hotel honestly say noisy hotel ' ve ever stay . seem truck collect ruubbish start around 11 pm go night 4/5am . window provide little sound proof - really need sort problem . air conditioe also extremely noisy seem either really cold all . why not ask move room ? quite simply final leg three week holiday USA 8th hotel . Think have reach point could not bother pack unpack thing . not case would demanded move would move hotel - really bad . check also rush - unlike hotel give choice room stay . hindside almost seem like try palm noisy room hope not complain / ask move . the room small big issue really go back room sleep ( try case ! ) bed nice comfortable . bathroom decent size nice shower ( although shower leak onto floor badly ) .Wait lift annoying - 2 c.30 floor enough . staff breakfast bellhop friendly helpful . location ok good . ok term pretty central Times Square subway decent restaurant immediate vicinity . would stay - would not risk get noisy room . 
 Oct 13 2009 	 gem middle Manhattan ! 	 not spend fortune really nice , centrally locate Manhattan hotel Wyndham Garden Hotel . get great deal online extend Continental breakfast . hotel nine month old everything brand new . room small side , immaculate bed really great . bathroom large . everyone could not nicer helpful reception desk , bellhops Food & amp ; Beverage Manager breakfast . two minor complaint . twenty something floor two elevator , make long wait couple time . also , small tv elevator , find quite annoying . not anyone like silence anymore ? overall though , really happy hotel would definitely return . 
 Oct 12 2009 	 great Choice ! ! 	 daughter stay 4 night Wyndham , completely satisfied would recommend hotel other . find everything wonderful . room decor wonderful . walk shower great ! location convenient close subway , etc . book travelzoo great rate . continental breakfast good . good thing hotel staff .... everyone friendly extremely helpful . regret choose Wyndham . 
 Oct 12 2009 	 great hotel 	 great hotel , good location far time square , 10 minute walkthe room small 3 passanger ok , comfortabel bed , bathroomstaff friendly helpful 
 Oct 11 2009 	 Decent Hotel Great Location Two Noisy Streets 	 second stay hotel past year . hotel new hotel , already show wear tear compare first visit . black stain carpet bed light switch bathroom work correctly . air conditioner somewhat loud could turn even though weather outside mild . shower door seal poorly allow significant amount water leak onto bathroom floor . wise , room good condition reasonably clean . the sheet pillow good quality clean , fit bottom sheet keep come loose expose mattress mattress pad . this hotel full visit . seem hotel use Travel Zoo deal keep full . result good value , hotel service seem little stretched crowd . the room small , adequate two people . couple child cramp standard room . the hotel locate two busy street heavy truck traffic night long . first visit , seem like noisy garbage truck park front hour . time second visit , metal plate place street back hotel result large bang every time truck run one plate . the noise fault hotel , care take soundproof room street noise . on first visit . ask room clerk quiet room . appear listen , place room street . even earplug , sleep interrupt many time . next morning ask another room place high floor back . much well . essentially , thing , clerk , happen second visit . time , go back immediately ask another room . another clerk give satisfactory room . noises bother , satisfy one front room right street . hotel must know noisy room resist moving assign one . the hotel couple block Penn Station make easy get . within easy walk distance many tourist attraction , include Times Square Theater District . overall , hotel twice expensive half nice good Residence Inn , suspect good New York City price . reason , recommend . 
 Oct 10 2009 	 great hotel 	 be look hotel , stay Wyndham Garden ! get good deal Travel Zoo . hotel clean , bed absolutely comfortable , staff friendly helpful , location pretty close subway station . Times Square short 10 minute walk . recommendation try italian restaurant , Carbone short distance hotel . pizza pasta delicious good selection italian wine . 
 oct 9 2009 	 room 2 bathroom ! 	 newish , clean , friendly staff , comfy bed . 
 Oct 8 2009 	 Fabulous ! 	 first time New York finding reasonably price hotel , also nice , roomy , clean , etc . easy . find particular hotel , special Travelzoo mom could happy . room beautiful ! yes , bit small , space utilize well . bed beyond comfortable ! good rest ' ve long time . special , give complimentary continental breakfast , absolutely delicious . also give welcome drink ticket use 10th floor terrace bar . great ! ! ever go back New York , stay . recommend anyone planning trip . 
 oct 8 2009 	 good Clean Comfortable Central NYC hotel 	 family ( mom , dad plus two kid age 10 13 ) spend five night one room Wyndham Gardens Hotel Sept 09 . first family city break kid first trip US UK . book consistent high rating ( usually ) 5.0 Trip Advisor . find great . two twin bed room big enough we comfortable even look forward return every evening hard day 's tour city . hotel prides comfort bed rightly . room relatively compact four us shower room relatively spacious room keep clean well stock four we ( eg : always sufficient towel toiletry make thing hassle free ) . back hotel , view not great quiet . hotel central , area not appear bad reviewer suggest usefully close 9th Avenue house wide range small family run restaurant ( turn right instead leave exit hotel ) . staff helpful intrusive , hotel useful ' home ' policy provide stuff may forget unable bring ( include laptop ) . great base city break , would happily return recommend wholeheartedly . enjoy ! 
 oct 8 2009 	 pleasant comfortable clean . 	 aside smile accomodate staff , room lovely comfortable . surprised size bathroom . much large hotel ' ve stay . view beautiful day night . overall pleasant stay hesitate stay ( ) . 
 Oct 5 2009 	 Great Location close subway walk everywhere . 	 convenient Central Park , Maceys , Times Square much . room small , clean , big window . restaurant good food . service friendly welcoming . book online Travelzoo get amazing deal New York hotel price ! not spend much time room , except sleep , room size important price . 
 Oct 5 2009 	 great around ! room service 	 3 room clean , comfortable well locate . queen room plenty space 2 adult furnishing decorate modern & amp ; new . bed comfortable . impressed GREAT customer service well . treat stay Wyndham Garden Hotel Times Square South . continental breakfast ample & amp ; fresh could pay extra item well . want check 10th Floor Terrace drink & amp ; tapas , weather force 's closure stay . next time . DEFINITELY return another stay NYC . 
 Oct 3 2009 	 great hotel 	 stay Wyndham Garden 11 night September . find deal Travelzoo $ 179.00 night include continental breakfast . hotel staff friendly helpful breakfast filling . guest comment neighborhood express concern safety . however husband feel safe night area . 9th ton restaurant within walk distance also easily walk Times Square . hotel two block subway stop make transportation simple use . yes room small side , find could easily store belonging . bathroom good size shower wonderful . 17th floor hear traffic noise . bed comfortable maid service good ( always provide enough towel toiletry item ) . would definitely stay again . CourtneyWhittier , CA 
 Oct 2 2009 	 look great Hospitality NYC ! ! 	 need stay . reservation Gem Hotel Midtown , block away . soon walk Gem Hotel total attitude front desk clerk immediately check walk street block Wyndham Garden - Times Square South . moment walked greet bell man front desk , whole staff beyond friendly entire stay . find rate exactly GEM happy surprise checking room tell everything much nice date . comfortable bed , nice view 26th floor , nice little restaurant lobby floor , free continental breakfast & amp ; cocktail coupon . love stay , turn almost ruin trip New York great comfortable time . definitely come back stay . disappointed . 
 oct 2 2009 	 Fine Hotel 	 return NYC stay hotel 7 night . really nothing good comment stay fine hotel . hotel location convenient , block away Time Square couple block away subway station . hotel decor modern great lighting room clean ... clean ! bed super comfortable . also free continental breakfast every morning - definitely bonus ! staff friendly really helpful . free internet room well free access computer lobby area charge printing - useful need print direction map . overall , complaint hotel . definiitely recommend stay . 
 oct 1 2009 	 Treasured memory Wyndham Garden Inn Times Square South 	 friend travel NYC celebrate birthday . choose hotel hopeful would work everyone . ball ! room small ( NYC ) ..... immaculate . well appoint quiet . ball . what make stay superb service ...... front desk , room service , sky deck cafe ..... everyone friendly go way make stay comfortable . location good . convenient walk Times Square .... close subway Macy 's . all - in - all .... well do . 
 Sep 28 2009 	 love hotel 	 stay 4 night hotel love . room modern , clean nicely furnish ( although small , standard area ) . bathroom quite large beautiful glass shower stall . staff helpful friendly , give we hand luggage give subway direction . maid service folk wonderful friendly , give we extra shampoo rearrange schedule clean room . breakfast include plan , lovely ( muffin , juice , fresh fruit , etc . starbuck coffee , love ) . lobby funky furniture free computer station , great look place go keep touch folk home . 
 Sep 28 2009 	 Excellent Stay 	 recently stay wonderful small hotel . immaculate service outstanding . great quick getaway . 
 Sep 28 2009 	 Great Hotel 	 boyfriend decide come New York Red Sox / Yankees game . start look price New York hotel could not believe much . want stay somewhere close action get affordable price well . search travelzoo find deal hotel $ 179 night include continential breakfast buy 1 get 1 drink . hotel great ! second floor slow elevator even issue we . bed comfortable shower powerful . location perfect . walk Times Square multiple time , Empire State Building walk subway go Statue Liberty Yankee Stadium . never need taxi . one night go Marinos italian restaurant short walking hotel would highly recommend . hotel short walking distance liquor store , convenience store , dunkin donut , pizza place . grab quick inexpenisve meal time . ever go back New York would hotel would stay . 
 Sep 23 2009 	 HIDDEN GEM NYC 	 sister plan trip NYC celebrate 21 birthday . book Wyndham Garden Times Square South hotel . hotel exceed expectation would definitely stay ! checkin process quick efficient . satff warm friendly . room clean bed oh comfortable . hotel decor date modern . really enjoy free WiFi well complimentary continental breakfast stay concierge floor . hotel short walk Times Square , Bryant Park Shoppimg . picky trveler would highly recommend hotel . 
 Sep 22 2009 	 Quaint hotel wonderful staff great value comfortable room close subway station . 	 mom stay first trip NYC . staff wonderful ! friendly accomodating . breakfast wonderful we go . close subway station easy get anywhere Manhattan . wonderful terrace bar could sit wonderful weather away fromt city street relax . would definitely recommend hotel anyone stay Manhattan . value hard beat ! 
 Sep 21 2009 	 would recommend anyone 	 wife stay first week September 4 night part east coast tripWe originally book 4 star hotel close Grand central station change plan find hotel refurbish - great movecome train Penn Station Washington short walk 36th street bad lot people describe ( walk back hotel late night feel threaten ) Quickly check hotel settle smallish room modern amenities- plan spend lot time it . very helpful pleasant staff bar restaurant area , breakfast 3 time 1 evening meal - moderately expensive plentiful , let breakfast fresh fruit chop fruit bowlone big plus free internet use ; hotel stay charge this.it wife 50th birthday whilst travel agent informed hotel think may card bottle wine day , nothing . # minor let would hesitation recommenig hotel friend travel big apple 
 Sep 18 2009 	 Hard Fault Hotel 	 recently stay four night be not upset choice . large kingsize room ( even NYC standard ! ) every possible extra , even umbrella rainy day . good size bathroom lovely walk shower . food service top notch room service till 11 pm . state , street full activity , supermarket corner pub / cafe talk , never feel unsafe even get fairly late . location superb Penn within 20mins walk central park . overall , would highly recomend hotel price , location everything , service amenity . deffo back ! 
 Sep 14 2009 	 convenient comfortable ! 	 Booked hotel via Hotwire.com get pretty good deal hotel boast location . close subway station hotel Penn Station , pretty busy station easily accessible diff colour line New York subway system . room clean quite small , expect New York not mind lack space . hotel locate street could bit unsettling night make sure walk alone around area sun set . minor setback would lack toothpaste guest , , service great would definitely recommend hotel price location ! 
 Sep 14 2009 	 efficient hotel 	 stay last week 2 night please . staff friendly accomodate especially Mark Laura . Room immaculate great bed . would stay heartbeat . 
 Sep 12 2009 	 nice new tiny ! 	 boyfriend recently spend eight day New York . want stay hotel whole trip able stay first three night ( remain date available ) . everything room great ( super comfy bed , great bedding , bright nicely do bathroom , refridgerator ) except size . stay somewhere else , probably would not minded since end different similar price point hotel last four night , able compare two . room hotel good sleeping . armchair / sit area minimal room luggage . one thing bother could not bathroom door open get ready bathroom door would hit wall open try . location wise , great we take subway everywhere . always quick walk Penn Station line block away . breakfast good coffee great ( brew starbuck ) . would recommend hotel sleep room not spend extra time . 
 Sep 11 2009 	 Immaculate new . 	 completely positive experience hotel . room tiny alone , great . staff wonderful . 
 Sep 10 2009 	 inexpensive unremarkable 	 hotel clean fairly inexpensive , New York standard . nice exercise room basement , cardio equipment free weight . business center lobby available 24 hour per day . hotel locate fairly quite block right fashion district . bed quite comfortable . room small , typical New York . , hotel fairly nice . complaint hotel unremarkable . stay dozen hotel , price , near neighborhood , experience . word , good reason stay , avoid , hotel . 
 Sep 9 2009 	 GREAT HOTEL COOL ROOMS GREAT LOCATION 	 hotel open refurbish , room deck really cool . nice bathroom ( spacious shower , bath tub thou ) . staff nice attentive . two room stay small , space use well feel quite cozy ergenomic . cool lighting room , A / C work great , bed , pillow , covering soft comfy . do not use room service judge rest service would great . breakfast restaurant beer bar , good stuff . workout room small , couple good machine , treadmill , free wieght . awesome stay plan go ! 
 Sep 9 2009 	 Excellent Hotel ! stay ! 	 return 2 night stay Wyndham love . husband NY Tennis US Open , hotel much , see great . hotel modern inside . hotel staff wonderful attentive need . check breeze . hotel 3 internet station lobby free usage guest . printer also available . big plus make check flight easy quick . continental breakfast also serve option upgrade breakfast buffet $ 7 . room small clean tastefully decorate modern amenity , include flat screen t.v . nice comfy linen . exercise room nice size equipment work , durable , totally top line . several complimentary item availabel upon request , like bottled water , toiletry , item may forget pack . place great . kind locate deserted block , be 6 block walk Time Square close major shopping . get great deal travelzoo.com . 
 Sep 8 2009 	 good deal New York ! ! 	 anyone interested go New York kind budget travel , place stay , look luxury go somewhere else . go stay couple night move Queens US Open , two night decide stay total trip , convinient , excellent location , super staff . place stay New York , breakfast coupon could use cafeteria starbuck site ( even noon later , wake early breakfast ) . 40 K 70 K , think , good cost / benefit option . 
 Sep 8 2009 	 nice 	 nice hotel , price pay , however not tell charge $ 50 per room extra recovery cost seperate price check , still yet reverse like say , room discount price small , overall good look hotel compaire other 
 Sep 7 2009 	 would stay 	 2 elevator bit slow everything else great . book deal include breakfast well worth .. choice bagel pastry , coffee tea , yogurt fruit . check bag hotel checkout belonging return without harm . location beat path bit , single female might feel comfortable travel alone night . 's several block Port Authority shady character part think would leave everyone alone . also 2 bro 's pizza offer $ 1 slice near . 
 Sep 7 2009 	 Wyndham Request 	 forget sign Wyndham Request . nice surprise find split red wine , high quality fruit plate two bottle water waiting check in . we stay hotel five night . room small , well organize clean . bathroom spotless really quite large compare room . breakfast staff excellent - very friendly hard working . the two draw back : 1 . slow elevator morning . 2 . walk west 36th street dark bit scary . our Travelzoo deal give we excellent value dollar . would stay without hesitation . 
 Sep 7 2009 	 great location modern room beautiful bathroom 	 hotel great location . close action 32nd Street . visit Manhattan every couple year stay hotel . hotel staff extremely accomoate . one good overall staff experience witness throughout year stay New York hotel . Room modern , comfortable size couple share king size room . bathroom nice large modern . 
 Sep 6 2009 	 Great Value Location 	 Hotel ' amenity fantastic value . staff helpful accommodating . location great , couple block Penn Station ( Madison Square Garden ) 3 4 block Times Square , Broadway , Macy 's , Empire State . two block subway station easy - transfer train downtown direct Yankee Stadium . reviewer note , location little isolate quiet evening , ' run problem - allow restful sleep . hotel helpful tour , transportation information . come Newark airport take train Penn Station .... 15 buck person -- leave right airport terminal . know ' stay next time come New York ... one ' keeper . 
