stay 	 begin ? .... believe rat hole still business ( excuse language ) . instead use profit receive we unfortunate customer upgrade refurbish & quot ; hole & quot ; , instead remold lobby attract unsuspecting tourist . ' m sure other fall victim one nice picture show lobby . explain lack ammenitie receive discomfort feel , call thug , hoodlum ( wear business suit ) , warn police would call ! source problem . wife give & quot ; continental breakfast & quot ; , & quot ; free internet & quot ; , towel , heat , toilet paper , service , respect ! please contribute scam run . risk health sanity . Save . , , stay ! 
 Oct 16 2009 	 stay gross ! 	 stay HORRIBLE ! hotel take care hotel staff could care less . family pay $ 75 night ' expect anything fancy expect place clean . room musty odor , a / c window screen safety . able come room open window . shower big hole lead know . offer free continental breakfast would not trust anything people . obvious not care hotel customer service . also not tell , stay 5th floor get elevator 4th walk flight . this hotel really need inspect shut . 
 Oct 16 2009 	 Biggest Mistake 	 place Big Mistake ! disgustingly inhumane , infest insect , dust mite , dirt soil , ceiling wall , floor look like never complete wash since first build . air thick contaminate appearance . unfortunately , photo virtual video warn customer poor , outdated , soiled room , floor , furniture . hotel terrible customer service . indian guy font desk treat we disrespectful . soon walk thick asbestos like air room 426 decide call cell phone book room else . room not even AC unit ventilation . book three night hotel leave within hour . book night Hilton Hotel O'Farrell phone left room . ask front desk man paperwork show proof stay refuse help we say deal website . hotel Heritage Marina Hotel review San Francisco Authorities seriously away entire hotel employee rebuild ground . one stay place . place close business . 
 Oct 13 2009 	 BED BUGS 	 absolutely disgusting excuse hotel . bed bug everywhere staff nothing help problem , deny ! ! 
 Sep 23 2009 	 nightmare stay 	 book hotel via hotels.com . look nice picture really cheap . I book three night , minute get room want check . do regardless could get money back . check 5 o'clock next morning find severely bite bug ! itchy bad develop severe case allergy . take month get partly recover ! believe SF dirty unsafe hotel ! ! ! ! ! ! ! 
 Sep 18 2009 	 nightmare sleep ! ! ! ! 	 horrible ! horrible ! horrible . can not believe kind hotel exist US . somebody authority shut ? please ! ? ad internet scam . be show nice picture be be like horror movie . I m still itchy bed bug writing review . book 2 night husband baby stay 1 night . not care can not refund money anymore . feel guilty let 6 month old baby sleep bed . OMG be like horrible experiece . next day immidiately check transfer Grand Hyatt Hotel . 
 Sep 14 2009 	 stay HOTEL ! 	 RUDE ! ! RUDE Customer service . indian guy make feel like be intruder home instead pay customer . filthy room . friend get bug bite first night . see yell another customer lobby . skim everything , continental breakfast joke , post free internet outside window , pay use . want good vacation , stay hotel . 
 Sep 8 2009 	 bad Hotel ever ! ! ! 	 boyfriend go San Francisco see 49er game . find hotel online thought sound nice . dead wrong . get , yeah lobby seem clean keep really well . get elevator ( one ) outside tiny . do not even go floor . go room , disgusted . trash trash still , damp , yes damp towel still leave bathroom floor . immediately go downstairs complain . & quot ; upgrade & quot ; us & quot ; suite & quot ; appartment hotel transfered & quot ; suite & quot ; . towel room , heat . mind go December . call clean towel never receive follow afternoon . use clothe help dry we ! ! fact great time game , enjoy go Peir 39 Fishermans , bad experience life . HIGHLY RECOMMEND STAYING ! ! ! ! ! find place else . 
 Sep 2 2009 	 bed BUGS ! ! ! DISGUSTING ! ! ! 	 girlfriend choose hotel free parking , price , familiar location . unfortunately , make bad decision . lose reservation ( even call advance avoid problem ) , shower spray everywhere , drain clog , bathroom light not work , find TICK bed ! ! ! ! tight budget , unfortunately , could not find reservation another hotel within price range . show bug manager , make excuse , give we & quot ; well & quot ; room & quot ; view & quot ; . BIG MISTAKE . stay night room , wake morning bite hand later spread throughout entire arm , later throughout entire body ! ! ! ! return home , go see doctor tell BED BUGS ( relation first bug find ! ! ! ! ) . can not even begin desribe disgust . Heritage Marina Hotel unorganized , dirty , rundown hotel San Francisco . can not believe type establishment still business . please go ! ! ! 
 Aug 31 2009 	 bad hotel money 	 pay $ 87 hotel A / C , room smell terrible , suppose smoke free yet blanket tv remote ( work ) burn cigarette . clear invest place long , long time . good thing close Russian Hills , Chinatown north bay . I would recommend say place , unless find $ 20 room . I never pay much little . 
 Aug 24 2009 	 hotel rent hour month apparently ... 	 absolutely reason book stay . filthy desk unresponsive . aside remote tv not even room phone call front desk . I regular guy , easy please place make skin crawl fear safety two female companion . 
 Aug 24 2009 	 not even stay still HORRIBLE ! ! ! ! ! ! ! ! ! 	 make mistake , apparently like every person leave review hotel , go without check review leave online . review put we AFTERWARDS .... ( put name review , , know entire hierarchy name , later see ) stay start August 11th . two friend arrive flight 11am , decide drop bag lobby go around town check - in 3pm . get lobby , friend , major asthma , ask could get peek one room . woman front desk kind enough give we key take look . open door , smell mold hit we face like brick . friend nervous , not think would able handle smell , decide wait see room give we , fluke.3pm come , check , room give we exact way . friend already start feel slight reaction , go lobby see switch . accord rude horrible indian guy everyone else describe work , room available . say stay room condition , say supervisor half hour , want talk . say will wait ask refund , suddenly , another room we check . room , however , even bad ! door not lock fully , light not work , mold smell even worse , seem cat hair single chair countertop . , fun start : go back downstairs , say absolutely stay , want refund . apparently , book non - refundable rate , money already take nothing could . say would wait supervisor , suddenly , not come anymore night . not answer phone , call back next day 9am 1pm . ( obviously , line people door still wait check horrible service , not want problem lobby ) say fine , spend rest first day San Francisco look another hotel . tthe next day , woman answer lobby phone say supervisor come hour leave , get 8:30 morning , right suppose call . ask go ... say 3:00 . ask manager 's number . give different phone number different name , ask explain situation . , suddenly say supervisor not come anymore today tired , not call manager , deal supervisor , tomorrow 10 2 . call back 3 , , indian guy answer , say supervisor around , hard get phone , will good , not know will able talk . make long story long , supervisor never call back . call manager several time , STILL given run around get refund non - stay . hotel bad experience EVER hotel . close immediately , people subject , people front desk charge never allow work hotel . spend total 20 minute place , stress trouble cause we get refund time not spend awful ( especially since be like not show .... , expect take money nothing , sort decency hope sleep comfortably without bed bug , mold , sickness ) .Please avoid hotel cost .... would give negative star possible ...... 
 Aug 22 2009 	 bad . 	 elevator not work 2 day . breakfast ... witch breakfast ? ? ? LOL , suite ( room 427 ) ok , clean good size , bug ! great location . 
 Aug 17 2009 	 Awfull _ awfull _ Big Rip Off- Filthy- Unsafe Dump 	 hotel CONDEMED . idea city close ! ! ! first try say no - show 8/9 8/10 reservation 1 night stay 8/12 . guy front desk check ( India ) hard understand RUDE . elevator ` work time smell awful , room NASTY look like something 3rd world hostle , lightbulb burn room tv ` work , railing pool totally loose . hotel CODE ! ! ! & quot ; deluxe & quot ; contential breakfast advertise coffee , apple , water oj cereal claim jsut & quot ; ran & quot ; milk ! woman front desk next morning check also rude guy day try give we hard time dispute fact remove one fake no - show night charge credit card ! ! ! stay DUMP . like stay homelss shelter 3rd world country - seriously ! ! ! 
 Aug 16 2009 	 stay disgust unsafe total SCAM 	 oh gosh , even begin describe crack den hotel ? ! begin , guess ... boyfriend , parent ( visit England ) decide long weekend SF . parent want treat we weekend , book hotel , set beautiful drive coast . arrive 11 pm - tired drive , look forward crawl comfy hotel bed . tell guarantee parking hotel guest , course , arrive , none - first strike . boyfriend wait car , parent check . hour later head room . walk room , actually say loud & quot ; place look like rent hour ! & quot ; super sketchy , weird people hang around watch we . get room , key not work . amazing . freeze , can not get . shadow , man normal clothe say & quot ; key not work ? go get someone ... & quot ; promise , sweaty man comes run we open door . immediately , smell smoke , urine disaster hit we face . light go , room look like one movie - one die middle night . go , decide smell bad enough want change room , since door break , move room sound like good plan . sweaty ( nice ) man take boyfriend 's mom another room around back , feel really sketchy . open door , quickly slam shut , nervously say & quot ; one not ready . move tomorrow . & quot ; soon leave , said & quot ; probably dead prostitute bed ... & quot ; half joke . we return stinky room , decide deal night . seriously not want touch anything . go gross bathroom , lift toilet seat , find poop . lovely . needless say , hold . quickly get change , rip nasty bedspread bed , get . minute , look bed , notice seem like ant crawl boyfriend 's dad would pillow nearing head . say something , pop look , kill . joke , think friend come funeral . almost immediately , bug everywhere . Bedbugs . BEDBUGS ! ! ! WTF ? ! take pic video , bad . also blood sheet . we jump , decide something needs do immediately , since 3 night non - refundable rate . immediately try get & quot ; complimentary & quot ; internet find another hotel , surprise , surprise , not work ! 1 am . bf 's dad go handle everything , get cell get we new hotel . turn , every single hotel book solid whole weekend , get . dad come back , notice window open , could open outside room . safe . get hell . Dad tell we upgrade we suite , one king bed , single pullout couch bed . also mention not seem like surprised hear complaint desk . whatever , long clean . key not work , time , give we master key . MASTER KEY ! ! ! could get room . scary . check entire room , bug sight , new matress . pullout couch joke , completely cave . three sleep bed , sleep small l - shape couch , sheet direct contact fabric couch . next morning , switch yet 2nd floor nice room yet , not say much . Cowhill Suite . 2 king bed , large , clean . remain room rest time , spend little time room possible , keep valuable we ( case other master key also ! ) would comment breakfast , would never even step foot room , let alone eat food offer . check , walk car , something else amazing happen ... 2 cop car park right behind car - one regular cop car , undercover car . 2 undercover cop walk two young guy handcuff , lovely hotel . put cop car , undercover go back . , said & quot ; gnarli hotel ever & quot ; , said & quot ; 's be ... & quot ; Par course . stay . 
 Aug 14 2009 	 absolutely disgusting place ever lay head ! 	 suppose relax vacation husband wake middle night find bed BUGS bed end sleep rental car ! experience look . bad feeling minute walk door room . musty look dirty . please waste money hotel cost think ... buy new luggage fear bring bug home ! hotel absolutely disgusting ! 
 Aug 8 2009 	 oh GOD ! ! ! ! ! ! ! ! ! ! ! stay ! ! ! ! ! ! 	 please read review hotel . say thing true . horrible , dirty , nasty , bug , smelly , . cerainly deserve 1 star rating low give . 
 Aug 3 2009 	 tay hotel ..... want feel clean 	 bad Hotel ever stay life . arrive hotel pleased looby .... turn corner suprise see run hotel .... do not let lobby fool think spend cash lobby run outta money rest hotel joke ..... room worst .. carpet .. bed spread , bathroom , , , , etc alll nasty filthy ... even sleep well becuse fear filth ... swear room need burn ground ... hotel matter fact ... tha stafff unplesant .. well breakfast ... hahhhahahah bowl old stale cereal.and that s .... write hotel say get free paper lie ... free paper internet free ..... even though say ... hotel wrong many way please beg save money do not ever come stay yucky hotel buissness ..... bad part poor boss eat alive BED BUGS ...... arm leg bite bad bleed ..... please do not stay hotel care health .. HERATIGE MARINA HOTEL ashamed charge anyone stay filthy rooms PROVIDE .... would not even leave dog hotel sec ... try help fellow americans .. stay away nasty hotel 
 Aug 3 2009 	 property list anywhere 	 filthy dirty carpet lift corridor , stale urine smell breakfast room , smelly rooms- mouldy stale , bathroom need replace , toilet block would flush , general UNSAFE feeling , stay one night cost $ 728.80 australian dollar online reservation fee reply worldinhotels.com website take money happily ignore complaint . stay one night ( reluctantly ) 5 night booking locate another hotel July 4th holiday weekend . this propery delete website matter good faith money refund . 
 Aug 1 2009 	 horrible Heritage ! ! ! stay 072709 	 absolutely dire ' hotel ' - smell urine elevator musty smell room unsuccessfully mask lemon disinfectant . furniture fitting look come car boot sale wall / floor thin husband get little sleep verbally attack distressed guest beneath we ' noise ' make walk bathroom ! every day ask extra towel since four we ; face towel sink tap come daughter 's hand . coffee machine clean continental breakfast consist cheerio , bran flake , milk , apple , tea coffee . visit US twice year bad hotel ever stayed - stay much well backpacker hostel ymca . guest want move brusquely tell would fine would get money back . stay - 's even cheap ! ! 
 Jul 29 2009 	 Read review 	 travel reg say good experiance . hotel old show age . bad part moldy smell hallway room . wall thin hear everything . wall dirty , daughter start cry look like smash bug wall . dirt dry wall , dust build ceiling . book close every thing . bottom line , spend 40 - 50 get real hotel . family wll thank get good night sleep . 
 Jul 23 2009 	 Horrific : warn stay ! 	 move room five time ! get worse- bed bug , electricity , flush toilet , disgusting smell , lock door . horrific place shut now- hear local close year ago re - open alteration . also whilst sit reception hear manager tell staff show people good room book poor rooms- honestly minge place ever stay . please listen review not book here- make ill ! 
 Jul 4 2009 	 avoid place cost 	 bad hotel ever stay . feel like third world country . a / C , fan not work , room dirty , window not lock , noisy . breakfast coffee cold cereal apple water OJ . parking almost non - existant . not stay . 
 Jun 28 2009 	 highly recommend Hotels.com ! never felt rip unsafe . 	 never rent room ! never use Hotels.com ! ! ! ! ! call Hotels.com ask could assist find good place stay one night . road access internet . first question ask & quot ; much willing spend ? & quot ; . say $ 200 . & quot ; service & quot ; agent suggest Heritage Marina Hotel . . . & quot ; great pool enjoy , close great attraction Warf , $ 175 / night will not find anything nice . . would like book . . .ok . . .oh , nonrefundable process . . . & quot ; WTF ! ! would not stay place Free known & quot ; & quot ; ! fact , not stay PLACE . take money still could not stomach sleep cess pool , leave around mid - night refuse refund extremely rude front desk agent ask HELP Hotels.com ( receive hour tell 's basically fault , & quot ; supose know kind place & quot ; , nothing could , & quot ; & quot ; could speak manager ! Hotels.com rep hung ask speak manager . Bottom Line : hotel beyond bad Hotels.com refuse help book place recommendation . PLACE SHUT ! ! fact PLACE operating take PEOPLE 's money wrong . ALLOW HAPPEN ? ! HOTELS.COM - JOKE . congratulation provide EXCEPTIONALLY bad CUSTOMER service ( bad HANDS ever RECEIVED ) hire dumb [ -- ] DELIVER ! ask & quot ; supose know ? & quot ; . . .well , one , could check Tripadvisor.com site advertise ! ! 
 Jun 27 2009 	 Bed Bugs - never ever stay ! ! ! ! ! 	 whole body get itchy get bed keep scratch night witness horrible scene life wake . hundred bed bug ( another hundred already dead drink blood ) crawl bed . get room bag check . do not know breakfast , coz feeling breakfast make stomach churn . do not get deceive look hotel outside , suck ! ! regret read review booking room . 
 Jun 16 2009 	 don´t even think stay hotel ! ! ! ! ! 	 spend four day hotel , mid february . first counter spend almost 40 minute find reservation , complain delay , give we room last floor , take two elevator , one bad , bad smell . room dirty , bathroom light didn´t work ( claim , maintenance guy , mexican -and speak spanish - tell problem wire old didn´t work well - lie , tell ) . also door key didn´t work , wasn´t room .. hear people complain problem , wait lot time outside somebody come help we opening door . chance change room .... breakfast area mess , people ( homeless steal breakfast ) come ouside free breakfast , without control hotel . see happen different day .... heater didn´t work , window didn´t close well . sometimes employee nice guy , also speak language , try help we , couldn´t anything all . in summary ... book place .......... 
 Jun 1 2009 	 Blood Sheets - Do stay ! 	 stay ! room bad get . nearly everything break room , tv , shower head , tub drain , chain latch rip wall , unbelievably dirty . plan suck stay one night leave next morning , pull sheet back bed find considerable sized streak blood ! ! leave at1am move st . leave place busy prostitute come . place make motel6 look like ritz .. really ! 
 May 29 2009 	 awful 	 Bed bug around ! ! ! nightmare ! force change three room could not find clean one bed bug . eclatant example horror movie scene . would never recommend anyone . ever . 
 May 27 2009 	 * * bed bug alert * * beware careful * * 	 boyfriend stay one night ( thank goodness book one night ) wake discover bite bed bug ! careful ! ! ! think right thing strip bed ( hear bed bug ) soon get there- not see bed bug think clear ! ! boy wrong ! ! ! obviously , bed bug disturb thing hotel lot issue . overall place gross , dirty , deliver suggest online website~ joke ! ! would say 80 % & quot ; offer & quot ; way . pay extra $ $ $ stay somewhere else . place ghetto fabulous ! place buggin - literally ! ! 
 may 26 2009 	 not stay 	 place awfullllll , noise homeless bed bug bite ... not even think booking , stay memorial day weekend , get everything seem ok , location great free parking ( u find spot ) overall place dirty , elevator not work smell like urine , reserve room friend online get , hotel fully book , not honer reservation , finaly give room full bed bug .. room smell ... u can not sleep night noise ... problem staff seem know problem not anything ...... ohhh breakfast apple cereal .. milk OJ cofee ..... go forever bad thing horrible PLACE ... save hassle not stay , matter fact think place shut ... 
 may 19 2009 	 kidding ? ! 	 stay ! spend extra $ 50 well know hotel save hundred dollar steal personal property . seriously . see red flag soon check say record reservation ; cancel ( never ) . end get room regret decision every since . room break first night luggage personal item steal add hundred dollar together . reception desk zero help even go move we another room first . offer help we except let we use phone try make police report . room stay horrible . light work , bathroom smell look like clean month none door dead bolt ; chain lock . stay 3rd floor joke say prostitution ring second floor everyone work seem know care . taxi driver pick we take us airport report see drug deal go bad say lucky get steal personal property . please learn mistake stay . terrible , horrible , good , bad idea . ' honestly surprised place still business . 
 May 18 2009 	 alert 	 serious teenage binge drinker look intercity ghetto experience , place . 
 Apr 9 2009 	 do not stay . book 3 day leave first . 	 Bedbugs , can not use bath , dirty , ... terrible . miss lot sight see San Francisco early leave . even free : not stay . book organisation 2 room 3 day 's leave one night . 
 Mar 28 2009 	 Bedbugs -do stay hotel 	 stay . bedbug room husband become ill . stay two different room neither smoke detector work bathroom vent . first room phone coffee maker . many transient find syringe pump ground outside . use live city not expect much outside great location , place condemn . never stay wish take review hotel seriously . pay half stay due bedbug easy convince hotel receptionist , lead we believe thing happen often hotel . also mention smoking room originally request give key , already occupy another guest . move another room complain bedbug , either take we room also bedbug . pluse hotel location great , room view Golden Gate / Presidio / Palace Fine Arts , cheap parking free . 
 Mar 24 2009 	 omg 	 wonderful view , non smoking room reek cigarette smoke , cigarette burn sheet curtain , bed sheet towel smell like cigarette friend bed bug bite arm . 
 Mar 23 2009 	 go bad bad - do stay 	 ' ve put place past great location unbeatable price . however , long stay . be always dingy , be recently become gross feel unsafe . let list thing wrong : tattered sheet , stain carpet , clog tub , non - working heat ( yes , wake shiver middle night ) , non - working door lock ( yes , lock 2 am scary place ) , chair ( yes , table desk , chair ) , urine smell stair well , shady character lurk around . stay . 
 Mar 14 2009 	 warning : stay ( please listen review ) 	 hi everyone , currently stay Heritage Marina hotel , warn anyone think stay , please think . bad hotel ever stay . first glance hotel short walk Fishermans wharf , complimentary breakfast wireless internet cheap cheap price . however plus sign not weigh negative . hotel full homeless , drug addict , prostitute young female feel safe hotel . arrival staff extremly slow checking take hour check ( note : Expedia actually make error book add lengthy check process . ) proceed room , follow sketchy , drug dealer type Guy watching , wait outside door see room enter . go express concern staff , laugh tell room 5th floor , tell would not like ' the 5th floor ' stupid weird long stay people stay . ' advise take risk stay , refuse stay 5th Floor . I awake homeless man outside , still hotel premise , pool , continually moan outside . breakfast standard ( 2 choice cereal , bagal cream cheese , apple , orange juice ) large room , get see visitor ..... look work night . honestly look like homeless person hostel occupy , drug dealer , couple prostitute morning eat . hotel also fail stop anyone street come , hoard bagel cereal . I draw fact hotel free internet , however SLOWEST UNRELIABLE internet ever use ..... cut take long load page . the room hand ... experience fairly clean , standard , room stunk smoke , even though non smoking . never less ... please not stay , pay extra $ 10 - 20 night stay somewhere safe . I express bad hotel ! ! ! 
 Feb 15 2009 	 absolutely disguiste stay ! 	 book hotel internet parent ( one night ) . know something charge credit card check in . here list issue find hotel:1 . room threadbare carpets2 . curtain hole them3 . slide door outside could lock , therefore offer little security4 . bed cover dirty , along rest room ( elevator ) 5 . hotel smelly , furniture room extremely dirty ... parent even sit chair6 . hole ceiling light been7 . hotel noisyhere list good points:1 . breakfast satisfactory2 . location good3 . shower okdo stay HOTEL , even appear TOURISTS come DROVES.-JL 
 Feb 3 2009 	 please stay 	 tempt vert cheap room rate $ 45 preview room couple day check look ok . BIG MISTAKE . first room get face west 5th floor distant view GG Bridge , unfortunately ceile fan work room really hot , ac available , switch low level pool . big MISTAKE . room next elevator machine room noisy next morning kill couple big fat bloodfille bug leave bed upon investigation find evidence bad infestation mattress , REMINDER ....... look hotel review check ! ! ! ! ! ! ! ! ! ! ! 
 Jan 30 2009 	 call crack hotel ! 	 book room internet , big mistake ever ! ! arrive hotel , become apparent hotel ill repair . front staff give course customer service . take 20 minute get room key . finally get roomm swipe key , find room already occupy . go back receptionist wait another 30 minute try find new room we . finally new key give go enter room clean staff stop we say need check room first . attempt cover smell spray air freshener . enter room tidy , ill reapair , smell drug phone . feel comfortable hotel choose leave . ask receptionist return visa number refuse say would talk manager tommorrow get back . try two day get ahold manager tell repeatedly manager unavailable . still try get money back horid place . 
 Jan 21 2009 	 listen previous review ! ! ! 	 husband , 3 young child stay 7 day January . tempt good rate offer Expedia . read reviews Tripadvisor , somehow think bad could hotel , good neighborhood . know right away make bad choice hotel take elevator room smell urine . get room , door wide open electricity not work . carpet utterly filthy . asthma attack immediately . almost break tear , know book 7 day , nonrefundable , could not cry front kid . go back front desk ask could change we clean room remodel room , would mean clean carpet . kindly upgrade we suite , lot well . thought could manage . many guest hotel walk life go BUSINESS . feel safe room lock door bit loose . liqour bottle bag garbage leave outside people door 12 hour time . staff clean . car park also garbage people empty car leave . also , keep trash , pile 20 foot high black bag , along local bum go . parking car one night , come across young man empty car take speaker . not say anything , see car three kid . needless say , car break second last day . stay hundred hotel around world , use work airline , worst far , ever come across . 
 Dec 28 2008 	 place business 	 mistakenly end hotel taxi driver get Marina Inn ( make reservation ) hotel ( Heritage Marina Hotel ) mix . odd reason , front desk check we make mention not even computer system tire 6 hr flight realize not right Marina . quick rundown thing fully convince place business.1 ) bed BUGS ! ! ! lay head 5 min quick nap wake bite body . quick search reveal bedbug sheet . report hotel maintenance guy , come , take look dead bug sheet , promptly insist & quot ; impossible & quot ; . show we crack wall mattress cover plastic covering - proof way room bed bug , despite multiple bite body dead bug bed . mother get really angry say go report , make threatening gesture storm room . prompt we leave hotel right away - feel safe.2 ) thing work hotel : key , toilet , telephone , bedside lamp ( miss bulb ) .3 ) room smell cigarette smoke urine . Blanket stain . 4 ) constant thumping ceiling , apparently clean staff move furniture around vacuum we 11 pm . 5 ) speak front desk inform leave another hotel , overhear 3 family also midst switch another hotel . long line disgruntle customer wait help one staff work . heartfelt advise - use hotel . business practice deplorable . business . get confuse Marina Inn ( one initially book eventually find ) ! ! love Marina Inn ( thankfully disastrous stint Heritage Marina ) . 
 Dec 14 2008 	 Bedbug hellhole 	 place look fine outside nice pool presentable lobby . 's good location offer free breakfast wireless internet . not fool : whole thing superficial dishonest facade . the place filthy . on family 's first night attack bedbug . complain staff audacity suggest not bedbug bite one bite . even tell catch bug ! switch room , avail ; mother get bite . cut short stay check early . place save grace . the way save place close . GO . 
 Nov 3 2008 	 Hated do not ever go ! ! ! ! ! ! 	 frequent traveler San Francisco area . use stay Shi Yu Lang YMCA hotel never problem . sell look another inexpensive hotel call & quot ; home & quot ; whenever travel SF , see price location think hit jackpot -- wrong ! not let picture lobby pool fool you - the place dump . first night , give room third floor mar lock card work , man claim work take maid key let we , go back downstairs get another marlock key one not work either . get room try take nap could go later trick treat kid . go sleep wake several bite shoulder neck . report front desk try say allergic detergent ! give another room thing happen - bug bite ! move another room bite -- child - I even capture bug pillow take health dept . if value health child , not stay hotel -- infest bed bug ! ! ! ! SAY LAWSUIT ? first time take child along business trip look forward explore SF kid . never stay 
 Nov 2 2008 	 Bed bug mouse 	 bed bug mouse room . not find place dirty , be infested bed bug . 's bad staff really nice , hotel breakfast include , free parking , free wireless connection . really surprised travel world never see bed bug . really hurt ! 
